Much of the humour derives from slips of the tongue, an occupational hazard.	0 0 0 0 0 0 1 1 0 1 0 0 0	slip of the tongue	figurative	inflection	ADJ ADP DET NOUN VERB ADP NOUN ADP DET NOUN DET ADJ NOUN	▁Much ▁of ▁the ▁h umour ▁derives ▁from ▁slip s ▁of ▁the ▁tongue , ▁an ▁occupational ▁hazard .	0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0	ADJ ADP DET NOUN NOUN VERB ADP NOUN NOUN ADP DET NOUN NOUN DET ADJ NOUN NOUN
Troop commanders and the men were briefed from a model with each house's position shown and other fine details except place names, so avoiding the possibility of literally fatal slips of the tongue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	slip of the tongue	figurative	inflection	PROPN NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN ADP DET NOUN NOUN VERB CCONJ ADJ ADJ NOUN ADP NOUN NOUN ADP VERB DET NOUN ADP ADV ADJ NOUN ADP DET NOUN	▁Tro op ▁commander s ▁and ▁the ▁men ▁were ▁brief ed ▁from ▁a ▁model ▁with ▁each ▁house ' s ▁position ▁shown ▁and ▁other ▁fine ▁details ▁except ▁place ▁names , ▁so ▁avoiding ▁the ▁possibility ▁of ▁literally ▁fatal ▁slip s ▁of ▁the ▁tongue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	PROPN PROPN NOUN NOUN CCONJ DET NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN VERB CCONJ ADJ ADJ NOUN ADP NOUN NOUN NOUN ADP VERB DET NOUN ADP ADV ADJ NOUN NOUN ADP DET NOUN NOUN
' Slip of the tongue.	0 1 1 0 1	slip of the tongue	figurative	case	PUNCT VERB ADP DET NOUN	▁' ▁S lip ▁of ▁the ▁tongue .	0 1 1 1 0 1 1	PUNCT VERB VERB ADP DET NOUN NOUN
The general view was that this was a slip of the tongue for ‘ imports’, but Baldwin when questioned persisted in his first statement.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	DET ADJ NOUN VERB ADP DET VERB DET NOUN ADP DET NOUN ADP PUNCT ADJ CCONJ PROPN ADV VERB VERB ADP ADJ ADJ NOUN	▁The ▁general ▁view ▁was ▁that ▁this ▁was ▁a ▁slip ▁of ▁the ▁tongue ▁for ▁ ‘ ▁imports ’ , ▁but ▁Bald win ▁when ▁questioned ▁persist ed ▁in ▁his ▁first ▁statement .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB ADP DET VERB DET NOUN ADP DET NOUN ADP PUNCT PUNCT ADJ ADJ ADJ CCONJ PROPN PROPN ADV VERB VERB VERB ADP ADJ ADJ NOUN NOUN
I think that my hon. Friend the Member for Tooting displayed the facts well, and it was perverse of Conservative Members to pick him up for a slip of the tongue when he gave an incorrect figure, which it is relatively easy to do.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	PRON VERB ADP ADJ NOUN VERB DET PROPN ADP PROPN VERB DET NOUN ADV CCONJ PRON VERB ADJ ADP ADJ NOUN PART VERB PRON PART ADP DET NOUN ADP DET NOUN ADV PRON VERB DET ADJ NOUN ADJ PRON VERB ADV ADJ PART VERB	▁I ▁think ▁that ▁my ▁ hon . ▁Friend ▁the ▁Member ▁for ▁To ot ing ▁displayed ▁the ▁facts ▁well , ▁and ▁it ▁was ▁per verse ▁of ▁C onservative ▁Members ▁to ▁pick ▁him ▁up ▁for ▁a ▁slip ▁of ▁the ▁tongue ▁when ▁he ▁gave ▁an ▁incorrect ▁figure , ▁which ▁it ▁is ▁relatively ▁easy ▁to ▁do .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP ADJ NOUN NOUN NOUN VERB DET PROPN ADP PROPN PROPN PROPN VERB DET NOUN ADV ADV CCONJ PRON VERB ADJ ADJ ADP ADJ ADJ NOUN PART VERB PRON PART ADP DET NOUN ADP DET NOUN ADV PRON VERB DET ADJ NOUN NOUN ADJ PRON VERB ADV ADJ PART VERB VERB
A worthwhile person is always competent : he never makes mistakes, slips of the tongue, errors of judgement or loses his thread halfway through a lesson or a meeting.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	inflection	DET ADJ NOUN VERB ADV ADJ PUNCT PRON ADV VERB NOUN NOUN ADP DET NOUN NOUN ADP NOUN CCONJ VERB ADJ NOUN ADV ADP DET NOUN CCONJ DET NOUN	▁A ▁worthwhile ▁person ▁is ▁always ▁competent ▁ : ▁he ▁never ▁makes ▁mistakes , ▁slip s ▁of ▁the ▁tongue , ▁errors ▁of ▁judgement ▁or ▁lose s ▁his ▁thread ▁half way ▁through ▁a ▁lesson ▁or ▁a ▁meeting .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB ADV ADJ PUNCT PUNCT PRON ADV VERB NOUN NOUN NOUN NOUN ADP DET NOUN NOUN NOUN ADP NOUN CCONJ VERB VERB ADJ NOUN ADV ADV ADP DET NOUN CCONJ DET NOUN NOUN
The most painful —’ He paused, corrected a slip of the tongue, and went on, ‘ The most painless way is for us to keep out of each other's way until you can leave.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	DET ADV ADJ ADV PRON VERB VERB DET NOUN ADP DET NOUN CCONJ VERB ADV PUNCT DET ADV ADJ NOUN VERB ADP PRON PART VERB ADP ADP DET ADJ NOUN ADP PRON VERB VERB	▁The ▁most ▁painful ▁ —’ ▁He ▁pause d , ▁corrected ▁a ▁slip ▁of ▁the ▁tongue , ▁and ▁went ▁on , ▁ ‘ ▁The ▁most ▁pain less ▁way ▁is ▁for ▁us ▁to ▁keep ▁out ▁of ▁each ▁other ' s ▁way ▁until ▁you ▁can ▁leave .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADV ADJ ADV ADV PRON VERB VERB VERB VERB DET NOUN ADP DET NOUN NOUN CCONJ VERB ADV ADV PUNCT PUNCT DET ADV ADJ ADJ NOUN VERB ADP PRON PART VERB ADP ADP DET ADJ ADJ ADJ NOUN ADP PRON VERB VERB VERB
If you are going away, tell only those who need to know — a slip of the tongue in the street, pub or corner shop could be overheard by the wrong sort.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	ADP PRON VERB VERB ADV VERB ADV DET NOUN VERB PART VERB PUNCT DET NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ NOUN NOUN VERB VERB VERB ADP DET ADJ NOUN	▁If ▁you ▁are ▁going ▁away , ▁tell ▁only ▁those ▁who ▁need ▁to ▁know ▁ — ▁a ▁slip ▁of ▁the ▁tongue ▁in ▁the ▁street , ▁pub ▁or ▁corner ▁shop ▁could ▁be ▁over he ard ▁by ▁the ▁wrong ▁sort .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB ADV ADV VERB ADV DET NOUN VERB PART VERB PUNCT PUNCT DET NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN CCONJ NOUN NOUN VERB VERB VERB VERB VERB ADP DET ADJ NOUN NOUN
‘ A slip of the tongue.	0 0 1 1 0 1	slip of the tongue	figurative	identical	PUNCT DET NOUN ADP DET NOUN	▁ ‘ ▁A ▁slip ▁of ▁the ▁tongue .	0 0 0 1 1 0 1 1	PUNCT PUNCT DET NOUN ADP DET NOUN NOUN
This is not simply an incautious and unconsidered statement by Mr Baldwin, a slip of the tongue : it is the settled and deliberate policy of the governing class, who have entered upon a course of action which has for its object the deliberate intensification of unemployment as a method of forcing down wages.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	DET VERB ADV ADV DET ADJ CCONJ ADJ NOUN ADP PROPN PROPN DET NOUN ADP DET NOUN PUNCT PRON VERB DET ADJ CCONJ ADJ NOUN ADP DET VERB NOUN NOUN VERB VERB ADP DET NOUN ADP NOUN ADJ VERB ADP ADJ NOUN DET ADJ NOUN ADP NOUN ADP DET NOUN ADP VERB PART NOUN	▁This ▁is ▁not ▁simply ▁an ▁in c aut ious ▁and ▁un considered ▁statement ▁by ▁Mr ▁Bald win , ▁a ▁slip ▁of ▁the ▁tongue ▁ : ▁it ▁is ▁the ▁settled ▁and ▁deliberate ▁policy ▁of ▁the ▁governing ▁class , ▁who ▁have ▁entered ▁upon ▁a ▁course ▁of ▁action ▁which ▁has ▁for ▁its ▁object ▁the ▁deliberate ▁intensification ▁of ▁unemployment ▁as ▁a ▁method ▁of ▁forcing ▁down ▁wages .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB ADV ADV DET ADJ ADJ ADJ ADJ CCONJ ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN DET NOUN ADP DET NOUN PUNCT PUNCT PRON VERB DET ADJ CCONJ ADJ NOUN ADP DET VERB NOUN NOUN NOUN VERB VERB ADP DET NOUN ADP NOUN ADJ VERB ADP ADJ NOUN DET ADJ NOUN ADP NOUN ADP DET NOUN ADP VERB PART NOUN NOUN
A slip of the tongue.’	0 1 1 0 1	slip of the tongue	figurative	dashes	DET NOUN ADP DET NOUN	▁A ▁slip ▁of ▁the ▁tongue . ’	0 1 1 0 1 1 1	DET NOUN ADP DET NOUN NOUN NOUN
I also believe that just as an individual ’s dreams and slips of the tongue reveal his or her repressed knowledge, so a culture ’s “ dreamwork ” – its films, pop ~ music, visual arts, and even in the resonant jokes, cartoons and advertising images – reveal the signs of this collective unconscious.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	inflection	PRON ADV VERB ADP ADV ADP DET NOUN PART NOUN CCONJ NOUN ADP DET NOUN NOUN ADJ CCONJ ADJ ADJ NOUN ADP DET NOUN PART PUNCT NOUN PUNCT PUNCT ADJ NOUN VERB PUNCT NOUN ADJ NOUN CCONJ ADV ADP DET ADJ NOUN NOUN CCONJ NOUN NOUN PUNCT VERB DET NOUN ADP DET ADJ NOUN	▁I ▁also ▁believe ▁that ▁just ▁as ▁an ▁individual ▁ ’ s ▁dreams ▁and ▁slip s ▁of ▁the ▁tongue ▁reveal ▁his ▁or ▁her ▁re pressed ▁knowledge , ▁so ▁a ▁culture ▁ ’ s ▁ “ ▁dream work ▁ ” ▁ – ▁its ▁films , ▁p op ▁ ~ ▁music , ▁visual ▁arts , ▁and ▁even ▁in ▁the ▁re son ant ▁joke s , ▁car to ons ▁and ▁advertising ▁images ▁ – ▁reveal ▁the ▁signs ▁of ▁this ▁collective ▁unconscious .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB ADP ADV ADP DET NOUN PART PART PART NOUN CCONJ NOUN NOUN ADP DET NOUN NOUN ADJ CCONJ ADJ ADJ ADJ NOUN NOUN ADP DET NOUN PART PART PART PUNCT PUNCT NOUN NOUN PUNCT PUNCT PUNCT PUNCT ADJ NOUN NOUN VERB VERB PUNCT PUNCT NOUN NOUN ADJ NOUN NOUN CCONJ ADV ADP DET ADJ ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT PUNCT VERB DET NOUN ADP DET ADJ NOUN NOUN
