Er you know I think i er it's all up up for grabs really.	0 0 0 0 0 0 0 0 0 0 1 1 1 0	up for grabs	figurative	identical	INTJ PRON VERB PRON VERB PRON INTJ PRON DET PART PART ADP NOUN ADV
Two fundamental considerations come to mind, and their ramifications in " up - for - grab " countries in Latin ~ America, such as El ~ Salvador, are particularly significant.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	combined-inflection	NUM ADJ NOUN VERB ADP NOUN CCONJ ADJ NOUN ADP PUNCT ADP PUNCT ADP PUNCT NOUN PUNCT NOUN ADP PROPN PUNCT PROPN ADJ ADP PROPN PUNCT PROPN VERB ADV ADJ
Freud's Bowery bums up for grabs	0 0 0 1 1 1	up for grabs	figurative	identical	PROPN PROPN NOUN PART ADP NOUN
THE biggest individual guaranteed cash prize ever offered in North West fishing is up for grabs in Saturday's Octoplus Echo Spring Classic final.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	up for grabs	figurative	identical	DET ADJ ADJ VERB NOUN NOUN ADV VERB ADP PROPN PROPN NOUN VERB ADP ADP NOUN ADP PROPN PROPN PROPN PROPN PROPN ADJ
‘ The Welsh outside - half position is still up for grabs,’ Davies said.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	up for grabs	figurative	dashes	PUNCT DET PROPN ADJ PUNCT NOUN NOUN VERB ADV ADV ADP PROPN PROPN VERB
The official added : ‘ There's another 12 months to run on the ITV's domestic deal and then it's up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	DET NOUN VERB PUNCT PUNCT ADV DET NUM NOUN PART VERB ADP DET PROPN ADJ NOUN CCONJ ADV PRON ADP ADP NOUN
Three places are up for grabs in each of the individual kayak, Canadian singles and women's kayak singles classes.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	NUM NOUN VERB ADP ADP NOUN ADP DET ADP DET ADJ NOUN ADJ NOUN CCONJ NOUN NOUN NOUN NOUN
The material, long hidden in KGB files or in the memories of intelligence operatives, is up for grabs as ageing ex - KGB agents come in from the cold to trade in their undercover pasts for over - the - counter assets.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	DET NOUN ADV VERB ADP PROPN NOUN CCONJ ADP DET NOUN ADP NOUN NOUN VERB ADP ADP NOUN ADP VERB NUM PUNCT PROPN NOUN VERB PART ADP DET NOUN PART VERB ADP ADJ ADJ NOUN ADP ADP PUNCT DET PUNCT NOUN NOUN
Between October and December over 40 % of our country ’s governorships will be up for grabs in new elections.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up for grabs	figurative	identical	ADP PROPN CCONJ PROPN ADP NUM NOUN ADP ADJ NOUN PART NOUN VERB VERB ADP ADP NOUN ADP ADJ NOUN
‘ There will be places up for grabs, but batsmen with less ability and in most cases less experience have overtaken John.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	PUNCT ADV VERB VERB NOUN PART ADP NOUN CCONJ NOUN ADP ADJ NOUN CCONJ ADP ADJ NOUN ADJ NOUN VERB VERB PROPN
For the Scots there were tour places to Australia up for grabs : for the Welsh there was the need to secure the appointment of Davies and Norster by winning.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADP DET NOUN ADV VERB NOUN NOUN ADP PROPN ADP ADP NOUN PUNCT ADP DET PROPN ADV VERB DET NOUN PART VERB DET NOUN ADP PROPN CCONJ PROPN ADP VERB
There are eight positions up for grabs which are vice president, sports officer, entertainments officer publicity officer, welfare officer, women's officer and minorities and overseas officer.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADV VERB NUM NOUN PART ADP NOUN ADJ VERB NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN CCONJ ADJ NOUN
He could be in the right place at the right time when top jobs come up for grabs next summer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	up for grabs	figurative	identical	PRON VERB VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADV ADJ NOUN VERB PART ADP NOUN ADJ NOUN
Posh have been up for grabs since last year and chairman John Devaney, a property magnate and ex - Oxford director, will sell if the price is right.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADJ VERB VERB PART ADP NOUN ADP ADJ NOUN CCONJ NOUN PROPN PROPN DET NOUN NOUN CCONJ NUM PUNCT PROPN NOUN VERB VERB ADP DET NOUN VERB ADJ
‘ Everything is up for grabs with this Government.	0 0 0 1 1 1 0 0 0	up for grabs	figurative	identical	PUNCT NOUN VERB ADP ADP NOUN ADP DET PROPN
THE famous Ritz hotel is up for grabs for a knock down Pounds 100 m.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	up for grabs	figurative	identical	DET ADJ PROPN NOUN VERB ADP ADP NOUN ADP DET NOUN PART PROPN NUM NOUN
PLUS there are £ 6,000 worth of videos up for grabs.	0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	CCONJ ADV VERB SYM NUM NOUN ADP NOUN PART ADP NOUN
Following the Olympic bronze medalist Denis Stewart's decision to retire from competition after a poor performance in the world championships in Belgrade, two months ago, the No.1 spot was up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	VERB DET ADJ NOUN NOUN PROPN PROPN NOUN PART VERB ADP NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN ADP PROPN NUM NOUN ADV DET ADJ NOUN VERB ADP ADP NOUN
They are born under the ancient Chinese curse, ‘ May you live in an interesting time’, a time in which values, lifestyles, relationships, employment are up for grabs, and in which traditional answers to the question ‘ How to live?’ are weak and conflicting.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	PRON VERB VERB ADP DET ADJ ADJ NOUN PUNCT VERB PRON VERB ADP DET ADJ NOUN DET NOUN ADP ADJ NOUN NOUN NOUN NOUN VERB ADP ADP NOUN CCONJ ADP ADJ ADJ NOUN ADP DET NOUN PUNCT ADV PART DET VERB ADJ CCONJ ADJ
‘ QIS has made a very successful job of forming corporate glue’ across locations between colleagues and now the inevitable fragmentation and the feeling of being up for grabs’is destroying links and making people retreat into defending their own area.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	insertion-determiner	PUNCT PROPN VERB VERB DET ADV ADJ NOUN ADP VERB ADJ INTJ ADP NOUN ADP NOUN CCONJ ADV DET ADJ NOUN CCONJ DET NOUN ADP VERB PART ADP NOUN VERB NOUN CCONJ VERB NOUN VERB ADP VERB ADJ ADJ NOUN
After five minutes in Chicago, where every lamp - post is festooned with flyers, where every office is up for grabs, and where every name proclaims the city's ethnic diversity, a visitor swims in the sheer exuberance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADP NUM NOUN ADP PROPN ADV DET NOUN PUNCT NOUN VERB VERB ADP NOUN ADV DET NOUN VERB ADP ADP NOUN CCONJ ADV DET NOUN VERB DET NOUN ADJ NOUN DET NOUN VERB ADP DET ADJ NOUN
Up for grabs today is a K - Reg Metro 1.4s, worth around £ 10,000 on the road which will come to our winner fully taxed for a year and with a full tank of petrol.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	case	ADP ADP NOUN NOUN VERB DET PROPN PUNCT PROPN PROPN NUM ADJ ADP SYM NUM ADP DET NOUN ADJ VERB VERB ADP ADJ NOUN ADV VERB ADP DET NOUN CCONJ ADP DET ADJ NOUN ADP NOUN
Regional and runners - up prizes will also be up for grabs.	0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	ADJ CCONJ NOUN PUNCT PART NOUN VERB ADV VERB ADP ADP NOUN
Topping the list of expensive discards are Mark Wright, Paul Stewart and Michael Thomas, with veteran goalkeeper Bruce Grobbelaar and Hungarian midfielder Istvan Kozma also up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	VERB DET NOUN ADP ADJ NOUN VERB PROPN PROPN PROPN PROPN CCONJ PROPN PROPN ADP NOUN NOUN PROPN PROPN CCONJ ADJ NOUN PROPN PROPN ADV ADP ADP NOUN
Utah and Nevada were up for grabs since the Turner - Harvest - Ramirez and US Cav joint action put the Western Maniax out of business, and Jazzbeaux thought the ‘ pomps could gain something from a quick fight rather than a long war.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	PROPN CCONJ PROPN VERB PART ADP NOUN ADP DET PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN PROPN ADJ NOUN VERB DET PROPN PROPN ADP ADP NOUN CCONJ PROPN VERB DET ADJ NOUN VERB VERB NOUN ADP DET ADJ NOUN ADV ADP DET ADJ NOUN
ERNIE has £ 9 million up for grabs in unclaimed prizes.	0 0 0 0 0 1 1 1 0 0 0	up for grabs	figurative	identical	PROPN VERB SYM NUM NUM ADP ADP NOUN ADP ADJ NOUN
The whole of the, the whole of the A G M has a say there because it's all up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	DET NOUN ADP DET DET NOUN ADP DET PROPN NOUN PROPN VERB DET NOUN ADV ADP PRON DET ADP ADP NOUN
He told me : ‘ At the moment I think everything is up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	PRON VERB PRON PUNCT PUNCT ADP DET NOUN PRON VERB NOUN VERB ADP ADP NOUN
After an exhausting schedule of two days of pool matches — the most tortuous ‘ trial by fire’ ever devised for a sevens tournament — Namibia had established themselves as firm favourites to claim top spot among the four qualifying berths up for grabs in Catania for Murrayfield, 1993.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	up for grabs	figurative	identical	ADP DET ADJ NOUN ADP NUM NOUN ADP NOUN NOUN PUNCT DET ADV ADJ NUM NOUN ADP PROPN ADV VERB ADP DET NOUN NOUN PUNCT PROPN VERB VERB PRON ADP ADJ NOUN PART VERB ADJ NOUN ADP DET NUM NOUN NOUN ADP ADP NOUN ADP PROPN ADP PROPN NUM
Then the Kuwait Investment Organisation put 60 m Midland shares up for grabs through brokers Hoare Govett, at a discount rate of 362p.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADV DET PROPN PROPN PROPN VERB NUM SYM PROPN NOUN PART ADP NOUN ADP NOUN PROPN PROPN ADP DET NOUN NOUN ADP NUM
In the context of the discussion, however, this disagreement is not treated as face - threatening : it is not directed at Brenda's personal position but at a proposition ( that the existence of " halfcastes " has confused racial boundaries ) which she has articulated and which is now " up for grabs ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	up for grabs	figurative	identical	ADP DET NOUN ADP DET NOUN ADV DET NOUN VERB ADV VERB ADP NOUN PUNCT VERB PUNCT PRON VERB ADV VERB ADP PROPN ADJ NOUN CCONJ ADP DET NOUN PUNCT ADP DET NOUN ADP PUNCT NOUN PUNCT VERB VERB ADJ NOUN PUNCT ADJ PRON VERB VERB CCONJ ADJ VERB ADV PUNCT ADP ADP NOUN PUNCT
‘ Potentially there are a lot of places up for grabs.	0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	PUNCT ADV ADV VERB DET NOUN ADP NOUN PART ADP NOUN
Entry is free and there is £ 100 up for grabs with the overall winner receiving the Roy Tongue Cup.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	NOUN VERB ADJ CCONJ ADV VERB SYM NUM ADP ADP NOUN ADP DET ADJ NOUN VERB DET PROPN PROPN PROPN
There are 50 sets of tapes up for grabs — Basic Instinct, The Super, Cape Fear, Wayne's World, The Lawnmower Man, Don't Tell Mom The Babysitter's Dead, Memoirs Of An Invisible Man and The Hand That Rocked The Cradle.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADV VERB NUM NOUN ADP NOUN PART ADP NOUN PUNCT PROPN PROPN DET PROPN PROPN PROPN PROPN PROPN DET PROPN PROPN VERB VERB PROPN DET PROPN PROPN PROPN ADP DET PROPN PROPN CCONJ DET PROPN ADJ VERB DET PROPN
Choice of location for the joint venture company is still up for grabs, the source said, although Hitrail, which is based outside Amsterdam, is lobbying for the Netherlands, while Nynex would like to have it in its own continental back yard in Brussels.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	NOUN ADP NOUN ADP DET ADJ NOUN NOUN VERB ADV ADP ADP NOUN DET NOUN VERB ADP PROPN ADJ VERB VERB ADP PROPN VERB VERB ADP DET PROPN ADP PROPN VERB VERB PART VERB PRON ADP ADJ ADJ ADJ NOUN NOUN ADP PROPN
For Somerset House, begun in 1776 and indisputably one of the finest Classical buildings in Britain, is, it seems, up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	ADP PROPN PROPN VERB ADP NUM CCONJ ADV NUM ADP DET ADJ ADJ NOUN ADP PROPN VERB PRON VERB ADP ADP NOUN
BANGKOK – “ Thailand ’s future is up for grabs, ” proclaimed the eminent Thai scholar Thitinan ~ Pongsudhirak just before the country ’s Constitutional ~ Court ruled, in effect, that the ruling People Power ~ Party ( PPP ) and its two smaller coalition partners are “ illegal, ” and hence must disband due to “ election frauds ” committed by party executives a year ago.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	PROPN PUNCT PUNCT PROPN PART NOUN VERB ADP ADP NOUN PUNCT VERB DET ADJ PROPN NOUN PROPN PUNCT PROPN ADV ADP DET NOUN PART PROPN PUNCT PROPN VERB ADP NOUN ADP DET VERB PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT CCONJ ADJ NUM ADJ NOUN NOUN VERB PUNCT ADJ PUNCT CCONJ ADV VERB VERB ADP ADP PUNCT NOUN NOUN PUNCT VERB ADP NOUN NOUN DET NOUN ADV
Otherwise, things work at the print media in the same way as they do elsewhere : men promote men, and when the top jobs are up for grabs, they prefer to keep a closed shop.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADV NOUN VERB ADP DET NOUN NOUN ADP DET ADJ NOUN ADP PRON VERB ADV PUNCT NOUN VERB NOUN CCONJ ADV DET ADJ NOUN VERB ADP ADP NOUN PRON VERB PART VERB DET ADJ NOUN
•MORE than £ 1,000 in prizes is up for grabs in the British All - comers Championships at Tynemouth this Sunday, February 17.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADJ ADP SYM NUM ADP NOUN VERB ADP ADP NOUN ADP DET ADJ PROPN PUNCT NOUN PROPN ADP PROPN DET PROPN PROPN NUM
But the new lift sector in the UK still has £ 400 m worth of work a year up for grabs, from the smallest nursing home service lift to multi - storey hotel contracts.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	CCONJ DET ADJ NOUN NOUN ADP DET PROPN ADV VERB SYM NUM NOUN ADJ ADP NOUN DET NOUN PART ADP NOUN ADP DET ADJ NOUN NOUN NOUN NOUN ADP ADJ PUNCT NOUN NOUN NOUN
Euro chances up for grabs	0 0 1 1 1	up for grabs	figurative	identical	PROPN VERB PART ADP NOUN
Up for grabs is the post of director - general of the European Space Agency, the 11-nation ' club ' that spends about £ 400 million annually.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	case	ADP ADP NOUN VERB DET NOUN ADP NOUN PUNCT NOUN ADP DET PROPN PROPN PROPN DET NUM PART NOUN PUNCT ADJ VERB ADP SYM NUM NUM ADV
There are no rules or regulations everything's up for grabs.	0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	ADV VERB DET NOUN CCONJ NOUN NOUN ADP ADP NOUN
I 'm reminded of the story about the time when a British Rail advertising contract was up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	PRON VERB VERB ADP DET NOUN ADP DET NOUN ADV DET PROPN PROPN NOUN NOUN VERB ADP ADP NOUN
So, the play of party politics at the ballot box may give us interludes of constitutional peace, but we can not escape the fact that the British constitution is still up for grabs, in politics, and on the agenda for change.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADV DET NOUN ADP NOUN NOUN ADP DET NOUN NOUN VERB VERB PRON NOUN ADP ADJ NOUN CCONJ PRON VERB ADV VERB DET NOUN ADP DET ADJ NOUN VERB ADV ADP ADP NOUN ADP NOUN CCONJ ADP DET NOUN ADP NOUN
Does it refer to territory already held by the Croatians or does it apply to old frontiers which are up for grabs?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	VERB PRON VERB ADP NOUN ADV VERB ADP DET PROPN CCONJ VERB PRON VERB ADP ADJ NOUN ADJ VERB ADP ADP NOUN
The first view would suggest that in Cabinet issues are ‘ up for grabs’ and whichever minister gets his or her own way on an issue has power.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	dashes	DET ADJ NOUN VERB VERB ADP ADP PROPN NOUN VERB PUNCT PART ADP NOUN CCONJ ADJ NOUN VERB ADJ CCONJ ADJ ADJ NOUN ADP DET NOUN VERB NOUN
In all eighteen of west oxfordshire's forty - nine seats are up for grabs tomorrow	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	up for grabs	figurative	identical	ADP DET NUM ADP ADJ NOUN NUM PUNCT NUM NOUN VERB ADP ADP NOUN NOUN
Rangers are already assured of a near half million pound pay - out from UEFA for reaching the last eight and, with around £ 200,000 at stake for each point earned from now on, a maximum of £ 2.4 m is also up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	NOUN VERB ADV VERB ADP DET ADJ DET NUM NOUN NOUN PUNCT NOUN ADP PROPN ADP VERB DET ADJ NUM CCONJ ADP ADP SYM NUM ADP NOUN ADP DET NOUN VERB ADP ADV ADV DET NOUN ADP SYM NUM NOUN VERB ADV ADP ADP NOUN
In another marvellous Mirror give - away, worth £ 8,500, we have 100 videos of his smash - hit movie My Girl up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	ADP DET ADJ PROPN NOUN PUNCT NOUN ADJ SYM NUM PRON VERB NUM NOUN ADP ADJ NOUN PUNCT VERB NOUN ADJ NOUN PART ADP NOUN
As the ball hangs there, moon - white against the wall of cloud, everything in the world seems briefly up for grabs and I am seized by two contradictory feelings : there is so much beauty in the world it is incredible that we are ever miserable ; there is so much shit in the world that it is amazing we are happy even for a moment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADP DET NOUN VERB ADV NOUN PUNCT NOUN ADP DET NOUN ADP NOUN NOUN ADP DET NOUN VERB ADV ADP ADP NOUN CCONJ PRON VERB VERB ADP NUM ADJ NOUN PUNCT ADV VERB ADV ADJ NOUN ADP DET NOUN PRON VERB ADJ ADP PRON VERB ADV ADJ PUNCT ADV VERB ADV ADJ NOUN ADP DET NOUN ADP PRON VERB ADJ PRON VERB ADJ ADV ADP DET NOUN
Art is up for grabs.’	0 0 1 1 1	up for grabs	figurative	dashes	NOUN VERB ADV ADP NOUN
A £ 1 million jackpot will be up for grabs every week for that one person who picks the right six numbers.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	DET SYM NUM NUM NOUN VERB VERB ADP ADP NOUN DET NOUN ADP DET NUM NOUN NOUN VERB DET ADJ NUM NOUN
She knew she had been dismissed from Algox because she had not been up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	PRON VERB PRON VERB VERB VERB ADP PROPN ADP PRON VERB ADV VERB PART ADP NOUN
There were 18,000 tickets up for grabs when the ticket office opened at 9 o'clcock this morning.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADV VERB NUM NOUN PART ADP NOUN ADV DET NOUN NOUN VERB ADP NUM NOUN DET NOUN
FIVE hundred jobs are up for grabs — but applicants must be prepared to spend time off sick.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	NUM NUM NOUN VERB ADP ADP NOUN PUNCT CCONJ NOUN VERB VERB VERB PART VERB NOUN PART ADJ
International : Najibullah deposed ‘ and under arrest’ Afghanistan up for grabs as fighting spells last days of UN peace plan and crumbling regime	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADJ PUNCT PROPN VERB PUNCT CCONJ ADP PROPN PROPN PART ADP NOUN ADP NOUN VERB ADJ NOUN ADP PROPN NOUN NOUN CCONJ VERB NOUN
Something that is up for grabs? ”	0 0 0 1 1 1 0	up for grabs	figurative	identical	NOUN ADJ VERB ADP ADP NOUN PUNCT
