Ciggie lands gran in dock	0 0 0 1 1	in the dock	figurative	inflection	PROPN VERB NOUN ADP NOUN	▁C ig g ie ▁lands ▁ gran ▁in ▁dock	0 0 0 0 0 0 0 1 1	PROPN PROPN PROPN PROPN VERB NOUN NOUN ADP NOUN
Faced with a national drought that was playing havoc with his own garden and those of his village neighbours, one Richard Bullock took matters into his own hands and ended up in the dock for his pains.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the dock	figurative	identical	VERB ADP DET ADJ NOUN ADJ VERB VERB NOUN ADP ADJ ADJ NOUN CCONJ DET ADP ADJ NOUN NOUN NUM PROPN PROPN VERB NOUN ADP ADJ ADJ NOUN CCONJ VERB PART ADP DET NOUN ADP ADJ NOUN	▁Fac ed ▁with ▁a ▁national ▁drought ▁that ▁was ▁playing ▁hav oc ▁with ▁his ▁own ▁garden ▁and ▁those ▁of ▁his ▁village ▁neighbours , ▁one ▁Richard ▁Bull ock ▁took ▁matters ▁into ▁his ▁own ▁hands ▁and ▁ended ▁up ▁in ▁the ▁dock ▁for ▁his ▁pains .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	VERB VERB ADP DET ADJ NOUN ADJ VERB VERB NOUN NOUN ADP ADJ ADJ NOUN CCONJ DET ADP ADJ NOUN NOUN NOUN NUM PROPN PROPN PROPN VERB NOUN ADP ADJ ADJ NOUN CCONJ VERB PART ADP DET NOUN ADP ADJ NOUN NOUN
( 4 ) A specific immunity, possessed by accused persons undergoing trial, from being compelled to give evidence, and from being compelled to answer questions put to them in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	PUNCT PUNCT PUNCT DET ADJ NOUN VERB ADP VERB NOUN VERB NOUN ADP VERB VERB PART VERB NOUN CCONJ ADP VERB VERB PART VERB NOUN VERB ADP PRON ADP DET NOUN	▁( ▁4 ▁ ) ▁A ▁specific ▁immunity , ▁possess ed ▁by ▁accused ▁persons ▁undergoing ▁trial , ▁from ▁being ▁compelled ▁to ▁give ▁evidence , ▁and ▁from ▁being ▁compelled ▁to ▁answer ▁questions ▁put ▁to ▁them ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT PUNCT PUNCT DET ADJ NOUN NOUN VERB VERB ADP VERB NOUN VERB NOUN NOUN ADP VERB VERB PART VERB NOUN NOUN CCONJ ADP VERB VERB PART VERB NOUN VERB ADP PRON ADP DET NOUN NOUN
There's a marina down in the docks!	0 0 0 0 1 0 1	in the dock	literal	inflection	ADV DET NOUN ADV ADP DET NOUN	▁There ' s ▁a ▁mar ina ▁down ▁in ▁the ▁dock s !	0 0 0 0 0 0 0 1 0 1 1 1	ADV ADV ADV DET NOUN NOUN ADV ADP DET NOUN NOUN NOUN
But already the ships in the Morpork docks — laden with grain, cotton and timber, and coated with tar — were blazing merrily and, their moorings burnt to ashes, were breasting the river Ankh on the ebb tide, igniting riverside palaces and bowers as they drifted like drowning fireflies towards the sea.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-inflection	CCONJ ADV DET NOUN ADP DET PROPN NOUN PUNCT ADJ ADP NOUN NOUN CCONJ NOUN CCONJ VERB ADP NOUN PUNCT VERB VERB ADV CCONJ ADJ NOUN VERB ADP NOUN VERB VERB DET NOUN PROPN ADP DET NOUN NOUN VERB NOUN NOUN CCONJ NOUN ADP PRON VERB ADP VERB NOUN ADP DET NOUN	▁But ▁already ▁the ▁ships ▁in ▁the ▁Mor por k ▁dock s ▁ — ▁laden ▁with ▁grain , ▁cotton ▁and ▁timber , ▁and ▁coated ▁with ▁tar ▁ — ▁were ▁bl az ing ▁me rri ly ▁and , ▁their ▁mo or ing s ▁burnt ▁to ▁ash es , ▁were ▁breast ing ▁the ▁river ▁An kh ▁on ▁the ▁e bb ▁tide , ▁ignit ing ▁rivers ide ▁palace s ▁and ▁bow ers ▁as ▁they ▁drift ed ▁like ▁dr own ing ▁fire fl ies ▁towards ▁the ▁sea .	0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV DET NOUN ADP DET PROPN PROPN PROPN NOUN NOUN PUNCT PUNCT ADJ ADP NOUN NOUN NOUN CCONJ NOUN NOUN CCONJ VERB ADP NOUN PUNCT PUNCT VERB VERB VERB VERB ADV ADV ADV CCONJ CCONJ ADJ NOUN NOUN NOUN NOUN VERB ADP NOUN NOUN NOUN VERB VERB VERB DET NOUN PROPN PROPN ADP DET NOUN NOUN NOUN NOUN VERB VERB NOUN NOUN NOUN NOUN CCONJ NOUN NOUN ADP PRON VERB VERB ADP VERB VERB VERB NOUN NOUN NOUN ADP DET NOUN NOUN
Then they ran across lawyers ' benches to try to reach driver Christopher Lewin, 19, and passenger David Nnah in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	ADV PRON VERB ADP NOUN PART NOUN PART VERB PART VERB NOUN PROPN PROPN NUM CCONJ NOUN PROPN PROPN ADP DET NOUN	▁Then ▁they ▁ran ▁across ▁lawyers ▁' ▁benches ▁to ▁try ▁to ▁reach ▁driver ▁Christopher ▁Le win , ▁19 , ▁and ▁passenger ▁David ▁N n ah ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV PRON VERB ADP NOUN PART NOUN PART VERB PART VERB NOUN PROPN PROPN PROPN PROPN NUM NUM CCONJ NOUN PROPN PROPN PROPN PROPN ADP DET NOUN NOUN
Labourers were found in the docks, railways, factories and domestic spheres, many of them employed on a casual basis.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	NOUN VERB VERB ADP DET NOUN NOUN NOUN CCONJ ADJ NOUN ADJ ADP PRON VERB ADP DET ADJ NOUN	▁Labour ers ▁were ▁found ▁in ▁the ▁dock s , ▁railways , ▁factories ▁and ▁domestic ▁spheres , ▁many ▁of ▁them ▁employed ▁on ▁a ▁casual ▁basis .	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB VERB ADP DET NOUN NOUN NOUN NOUN NOUN NOUN CCONJ ADJ NOUN NOUN ADJ ADP PRON VERB ADP DET ADJ NOUN NOUN
There are no homes close to the area where the body was found, but workers in the docks area expect to be questioned by police.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the dock	literal	inflection	ADV VERB DET NOUN ADJ ADP DET NOUN ADV DET NOUN VERB VERB CCONJ NOUN ADP DET NOUN NOUN VERB PART VERB VERB ADP NOUN	▁There ▁are ▁no ▁homes ▁close ▁to ▁the ▁area ▁where ▁the ▁body ▁was ▁found , ▁but ▁workers ▁in ▁the ▁dock s ▁area ▁expect ▁to ▁be ▁questioned ▁by ▁police .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	ADV VERB DET NOUN ADJ ADP DET NOUN ADV DET NOUN VERB VERB VERB CCONJ NOUN ADP DET NOUN NOUN NOUN VERB PART VERB VERB ADP NOUN NOUN
Er if my choice, I 'd like to be in the docks, but things can not ha happen that way, we 've got a lot o, a lot of the yuppies moving in that area, and that seems to be taking over that area so no chance of a football stadium there.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	INTJ ADP ADJ NOUN PRON VERB VERB PART VERB ADP DET NOUN CCONJ NOUN VERB ADV INTJ VERB DET NOUN PRON VERB VERB DET NOUN NOUN DET NOUN ADP DET NOUN VERB ADP DET NOUN CCONJ DET VERB PART VERB VERB PART DET NOUN ADV DET NOUN ADP DET NOUN NOUN ADV	▁Er ▁if ▁my ▁choice , ▁I ▁' d ▁like ▁to ▁be ▁in ▁the ▁dock s , ▁but ▁things ▁can ▁not ▁ha ▁happen ▁that ▁way , ▁we ▁' ve ▁got ▁a ▁lot ▁o , ▁a ▁lot ▁of ▁the ▁y up pie s ▁moving ▁in ▁that ▁area , ▁and ▁that ▁seems ▁to ▁be ▁taking ▁over ▁that ▁area ▁so ▁no ▁chance ▁of ▁a ▁f ootball ▁stadium ▁there .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ ADP ADJ NOUN NOUN PRON VERB VERB VERB PART VERB ADP DET NOUN NOUN NOUN CCONJ NOUN VERB ADV INTJ VERB DET NOUN NOUN PRON VERB VERB VERB DET NOUN NOUN NOUN DET NOUN ADP DET NOUN NOUN NOUN NOUN VERB ADP DET NOUN NOUN CCONJ DET VERB PART VERB VERB PART DET NOUN ADV DET NOUN ADP DET NOUN NOUN NOUN ADV ADV
The first in the docks area was the Gloucester Steam Mills, arriving around 1840.	0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	DET ADJ ADP DET NOUN NOUN VERB DET PROPN PROPN PROPN VERB ADP NUM	▁The ▁first ▁in ▁the ▁dock s ▁area ▁was ▁the ▁G lo uc ester ▁Steam ▁Mill s , ▁arriving ▁around ▁18 40 .	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADP DET NOUN NOUN NOUN VERB DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP NUM NUM NUM
The street looked much the same — a cul - de - sac, with a brick wall at the far end, closing the road ; and above the wall, towering above the slate - roofed houses, a ship rode at anchor in the Jubilee Dock, its masts and funnels silhouetted against the sky.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	in the dock	literal	combined-other	DET NOUN VERB ADV DET ADJ PUNCT DET NOUN PUNCT NOUN PUNCT PROPN ADP DET NOUN NOUN ADP DET ADJ NOUN VERB DET NOUN PUNCT CCONJ ADP DET NOUN VERB ADP DET NOUN PUNCT VERB NOUN DET NOUN VERB ADP NOUN ADP DET PROPN PROPN ADJ NOUN CCONJ NOUN ADJ ADP DET NOUN	▁The ▁street ▁looked ▁much ▁the ▁same ▁ — ▁a ▁cul ▁- ▁de ▁- ▁sa c , ▁with ▁a ▁brick ▁wall ▁at ▁the ▁far ▁end , ▁closing ▁the ▁road ▁ ; ▁and ▁above ▁the ▁wall , ▁to wer ing ▁above ▁the ▁slate ▁- ▁roof ed ▁houses , ▁a ▁ship ▁rod e ▁at ▁anchor ▁in ▁the ▁Ju bil ee ▁Doc k , ▁its ▁mast s ▁and ▁funnel s ▁sil hou ett ed ▁against ▁the ▁sky .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADV DET ADJ PUNCT PUNCT DET NOUN PUNCT NOUN PUNCT PROPN PROPN PROPN ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN VERB DET NOUN PUNCT PUNCT CCONJ ADP DET NOUN NOUN VERB VERB VERB ADP DET NOUN PUNCT VERB VERB NOUN NOUN DET NOUN VERB VERB ADP NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN ADJ NOUN NOUN CCONJ NOUN NOUN ADJ ADJ ADJ ADJ ADP DET NOUN NOUN
Ipswich's cereal import and exports continue to play a vital role in the dock's success.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the dock	literal	identical	PROPN NOUN NOUN CCONJ NOUN VERB PART VERB DET ADJ NOUN ADP DET NOUN NOUN	▁I ps wich ' s ▁cereal ▁import ▁and ▁exports ▁continue ▁to ▁play ▁a ▁vital ▁role ▁in ▁the ▁dock ' s ▁success .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0	PROPN PROPN PROPN PROPN PROPN NOUN NOUN CCONJ NOUN VERB PART VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN NOUN NOUN
The ship ended her seagoing life when she was berthed in the West Old Dock, Leith, in 1928 where she remained until moved to the Newcastle Quay in 1969.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-other	DET NOUN VERB ADJ NOUN NOUN ADV PRON VERB VERB ADP DET PROPN PROPN PROPN PROPN ADP NUM ADV PRON VERB ADP VERB ADP DET PROPN PROPN ADP NUM	▁The ▁ship ▁ended ▁her ▁seagoing ▁life ▁when ▁she ▁was ▁berth ed ▁in ▁the ▁West ▁Old ▁Doc k , ▁Le ith , ▁in ▁19 28 ▁where ▁she ▁remained ▁until ▁moved ▁to ▁the ▁Newcastle ▁Qua y ▁in ▁1969 .	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADJ NOUN NOUN ADV PRON VERB VERB VERB ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP NUM NUM ADV PRON VERB ADP VERB ADP DET PROPN PROPN PROPN ADP NUM NUM
They were not themselves in the dock.	0 0 0 0 1 0 1	in the dock	figurative	identical	PRON VERB ADV PRON ADP DET NOUN	▁They ▁were ▁not ▁themselves ▁in ▁the ▁dock .	0 0 0 0 1 0 1 1	PRON VERB ADV PRON ADP DET NOUN NOUN
Christie sat in the dock yesterday gently nodding as if she agreed with the judges ' decision to increase her sentence by 80 per cent.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PROPN VERB ADP DET NOUN NOUN ADV VERB ADP ADP PRON VERB ADP DET NOUN PART NOUN PART VERB ADJ NOUN ADP NUM NOUN NOUN	▁Christ ie ▁sat ▁in ▁the ▁dock ▁yesterday ▁gently ▁no dding ▁as ▁if ▁she ▁agreed ▁with ▁the ▁judges ▁' ▁decision ▁to ▁increase ▁her ▁sentence ▁by ▁80 ▁per ▁cent .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB ADP DET NOUN NOUN ADV VERB VERB ADP ADP PRON VERB ADP DET NOUN PART NOUN PART VERB ADJ NOUN ADP NUM NOUN NOUN NOUN
