Could I have his telephone number and give him a ring?	0 0 1 1 0 1 0 0 0 0 0	have someone's number	literal	combined-inflection	VERB PRON VERB ADJ NOUN NOUN CCONJ VERB PRON DET NOUN	▁Could ▁I ▁have ▁his ▁telephone ▁number ▁and ▁give ▁him ▁a ▁ring ?	0 0 1 1 0 1 0 0 0 0 0 0	VERB PRON VERB ADJ NOUN NOUN CCONJ VERB PRON DET NOUN NOUN
But but these you know, you had your telephone number and you know, just had a whole statement of everything about you.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	have someone's number	literal	combined-inflection	CCONJ CCONJ DET PRON VERB PRON VERB ADJ NOUN NOUN CCONJ PRON VERB ADV VERB DET ADJ NOUN ADP NOUN ADP PRON	▁But ▁but ▁these ▁you ▁know , ▁you ▁had ▁your ▁telephone ▁number ▁and ▁you ▁know , ▁just ▁had ▁a ▁whole ▁statement ▁of ▁everything ▁about ▁you .	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ CCONJ DET PRON VERB VERB PRON VERB ADJ NOUN NOUN CCONJ PRON VERB VERB ADV VERB DET ADJ NOUN ADP NOUN ADP PRON PRON
Make sure you have your race number	0 0 0 1 1 0 1	have someone's number	literal	combined-inflection	VERB ADJ PRON VERB ADJ NOUN NOUN	▁Make ▁sure ▁you ▁have ▁your ▁race ▁number	0 0 0 1 1 0 1	VERB ADJ PRON VERB ADJ NOUN NOUN
The school hadn't had his number at A.W.E.	0 0 0 1 1 1 0 0	have someone's number	literal	combined-inflection	DET NOUN VERB VERB ADJ NOUN ADP NOUN	▁The ▁school ▁had n ' t ▁had ▁his ▁number ▁at ▁A . W . E .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	DET NOUN VERB VERB VERB VERB VERB ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN NOUN
She was going to ring you but we don't have your number.	0 0 0 0 0 0 0 0 0 1 1 1	have someone's number	literal	possessive	PRON VERB VERB PART VERB PRON CCONJ PRON VERB VERB ADJ NOUN	▁She ▁was ▁going ▁to ▁ring ▁you ▁but ▁we ▁don ' t ▁have ▁your ▁number .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB PART VERB PRON CCONJ PRON VERB VERB VERB VERB ADJ NOUN NOUN
' They have my car phone number.	0 0 1 1 0 0 1	have someone's number	literal	combined-inflection	PUNCT PRON VERB ADJ NOUN NOUN NOUN	▁' ▁They ▁have ▁my ▁car ▁phone ▁number .	0 0 1 1 0 0 1 1	PUNCT PRON VERB ADJ NOUN NOUN NOUN NOUN
I 'd like to see him as well if possible so do you have his number?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	have someone's number	literal	possessive	PRON VERB VERB PART VERB PRON ADV ADV ADP ADJ ADV VERB PRON VERB ADJ NOUN	▁I ▁' d ▁like ▁to ▁see ▁him ▁as ▁well ▁if ▁possible ▁so ▁do ▁you ▁have ▁his ▁number ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB VERB PART VERB PRON ADV ADV ADP ADJ ADV VERB PRON VERB ADJ NOUN NOUN
I rang his agent and said : ‘ Do you think I could have his number so that I could persuade him?’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	have someone's number	literal	possessive	PRON VERB ADJ NOUN CCONJ VERB PUNCT PUNCT VERB PRON VERB PRON VERB VERB ADJ NOUN ADP ADP PRON VERB VERB NOUN	▁I ▁ rang ▁his ▁agent ▁and ▁said ▁ : ▁ ‘ ▁Do ▁you ▁think ▁I ▁could ▁have ▁his ▁number ▁so ▁that ▁I ▁could ▁persuade ▁him ? ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PRON VERB VERB ADJ NOUN CCONJ VERB PUNCT PUNCT PUNCT PUNCT VERB PRON VERB PRON VERB VERB ADJ NOUN ADP ADP PRON VERB VERB NOUN NOUN NOUN
I can try first thing Monday, but maybe Tom has Tony's home number??	0 0 0 0 0 0 0 0 0 1 1 0 1	have someone's number	literal	combined-inflection	PRON VERB VERB ADJ NOUN PROPN CCONJ ADV PROPN VERB PROPN NOUN NOUN	▁I ▁can ▁try ▁first ▁thing ▁Monday , ▁but ▁maybe ▁Tom ▁has ▁To ny ' s ▁home ▁number ? ?	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1	PRON VERB VERB ADJ NOUN PROPN PROPN CCONJ ADV PROPN VERB PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN
Then, as efficient as ever, ' You 'd better have my phone number here just in case you need to tie up with me on anything, ' she decided, and, giving her number, paused only long enough for Fabia to take it down and was then asking, ' Well? '	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have someone's number	literal	combined-inflection	ADV ADV ADJ ADP ADV PUNCT PRON VERB ADV VERB ADJ NOUN NOUN ADV ADV ADP NOUN PRON VERB PART VERB PART ADP PRON ADP NOUN PUNCT PRON VERB CCONJ VERB ADJ NOUN VERB ADV ADV ADV ADP PROPN PART VERB PRON PART CCONJ VERB ADV VERB PUNCT INTJ PUNCT	▁Then , ▁as ▁efficient ▁as ▁ever , ▁' ▁You ▁' d ▁better ▁have ▁my ▁phone ▁number ▁here ▁just ▁in ▁case ▁you ▁need ▁to ▁tie ▁up ▁with ▁me ▁on ▁anything , ▁' ▁she ▁decided , ▁and , ▁giving ▁her ▁number , ▁pause d ▁only ▁long ▁enough ▁for ▁Fa bia ▁to ▁take ▁it ▁down ▁and ▁was ▁then ▁asking , ▁' ▁Well ? ▁'	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADJ ADP ADV ADV PUNCT PRON VERB VERB ADV VERB ADJ NOUN NOUN ADV ADV ADP NOUN PRON VERB PART VERB PART ADP PRON ADP NOUN NOUN PUNCT PRON VERB VERB CCONJ CCONJ VERB ADJ NOUN NOUN VERB VERB ADV ADV ADV ADP PROPN PROPN PART VERB PRON PART CCONJ VERB ADV VERB VERB PUNCT INTJ INTJ PUNCT
Police patrol cars have their numbers painted on their roofs, so the helicopters will recognize them.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	have someone's number	literal	combined-inflection	NOUN NOUN NOUN VERB ADJ NOUN VERB ADP ADJ NOUN ADP DET NOUN VERB VERB PRON	▁Police ▁patrol ▁cars ▁have ▁their ▁numbers ▁painted ▁on ▁their ▁roof s , ▁so ▁the ▁helicopters ▁will ▁recognize ▁them .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB ADJ NOUN VERB ADP ADJ NOUN NOUN NOUN ADP DET NOUN VERB VERB PRON PRON
Well I don't actually have his er telephone number.	0 0 0 0 1 1 0 0 1	have someone's number	literal	combined-inflection	INTJ PRON VERB ADV VERB ADJ INTJ NOUN NOUN	▁Well ▁I ▁don ' t ▁actually ▁have ▁his ▁er ▁telephone ▁number .	0 0 0 0 0 0 1 1 0 0 1 1	INTJ PRON VERB VERB VERB ADV VERB ADJ INTJ NOUN NOUN NOUN
If anyone still has his number, they can ring him up and tell him so.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	have someone's number	literal	combined-inflection	ADP NOUN ADV VERB ADJ NOUN PRON VERB VERB PRON PART CCONJ VERB PRON ADV	▁If ▁anyone ▁still ▁has ▁his ▁number , ▁they ▁can ▁ring ▁him ▁up ▁and ▁tell ▁him ▁so .	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	ADP NOUN ADV VERB ADJ NOUN NOUN PRON VERB VERB PRON PART CCONJ VERB PRON ADV ADV
‘ Do you have his number?’	0 0 0 1 1 1	have someone's number	literal	combined-inflection	PUNCT VERB PRON VERB ADJ NOUN	▁ ‘ ▁Do ▁you ▁have ▁his ▁number ? ’	0 0 0 0 1 1 1 1 1	PUNCT PUNCT VERB PRON VERB ADJ NOUN NOUN NOUN
