Scatter the cheese over the top.	0 0 0 1 0 1	over the top	literal	identical	VERB DET NOUN ADP DET NOUN	▁Sc atter ▁the ▁cheese ▁over ▁the ▁top .	0 0 0 0 1 0 1 1	VERB VERB DET NOUN ADP DET NOUN NOUN
Right, I 've just got a, two or three minutes, I 've just wanna get something quickly done before we, we close and I 'm not gon na look up all the references, because your get them for next week any way in, in the house group, but, now, now in a sense it's difficult to understand to take all this in after all his God and were people, how do we understand Jesus, it's, it's difficult, however knowing something about them does help us to understand something important, it helps us to understand what happened when Jesus ascended, when he went back to heaven, you see when Jesus arose from the earth the, the disciples who watch him it says there in Acts chapter one, they saw him go up in to the heaven, up into you know in a cloud, have you ever thought what that really means what on earth was it, they saw him go up in a cloud, can you image a sort of great clouds coming and dropping down over the mountain top there and was suddenly whisking Jesus up and then watching Jesus going up in this cloud into the sky, I don't really think it was quite like that, have you ever wonder why it was that Jesus went up in a cloud, you see what was he doing, he wasn't beginning a journey to some far off place in the universe, some distant corner where God the father was, he wasn't doing that at all, what do you think a cloud can you, give any suggestions of what a cloud might represent because very often a lot of some of the language in the bible is picture language and it, it, it speaks as something else, what do, what do you think a cloud, does any body have suggestions of what a cloud might speak to us about, or speak to us of, sorry, power yeah, any thing else	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	insertion-other	INTJ PRON VERB ADV VERB DET NUM CCONJ NUM NOUN PRON VERB ADV ADV VERB NOUN ADV VERB ADP PRON PRON VERB CCONJ PRON VERB ADV VERB PART VERB PART ADJ DET NOUN ADP ADJ VERB PRON ADP ADJ NOUN DET NOUN ADV ADP DET NOUN NOUN CCONJ ADV ADV ADP DET NOUN PRON ADJ PART VERB PART VERB ADJ DET ADP ADV ADJ ADJ PROPN CCONJ VERB NOUN ADV VERB PRON VERB PROPN PRON PRON ADJ ADV VERB NOUN ADP PRON VERB VERB PRON PART VERB NOUN ADJ PRON VERB PRON PART VERB NOUN VERB ADV PROPN VERB ADV PRON VERB ADV ADP PROPN PRON VERB ADV PROPN VERB ADP DET NOUN DET DET NOUN NOUN VERB PRON PRON VERB ADV ADP PROPN NOUN NUM PRON VERB PRON VERB PART ADP ADP DET PROPN ADV ADP PRON VERB ADP DET NOUN VERB PRON ADV VERB NOUN DET ADV VERB NOUN ADP NOUN VERB PRON PRON VERB PRON VERB PART ADP DET NOUN VERB PRON VERB DET NOUN ADP ADJ NOUN VERB CCONJ VERB PART ADP DET NOUN NOUN ADV CCONJ VERB ADV VERB PROPN PART CCONJ ADV VERB PROPN VERB PART ADP DET NOUN ADP DET NOUN PRON VERB ADV VERB PRON VERB ADV ADP DET VERB PRON ADV VERB ADV PRON VERB ADP PROPN VERB PART ADP DET NOUN PRON VERB NOUN VERB PRON VERB PRON VERB VERB DET NOUN ADP DET ADV ADP NOUN ADP DET NOUN DET ADJ NOUN ADV PROPN DET NOUN VERB PRON VERB VERB DET ADV ADV NOUN VERB PRON VERB DET NOUN VERB PRON VERB DET NOUN ADP NOUN DET NOUN VERB VERB ADP ADV ADV DET NOUN ADP DET ADP DET NOUN ADP DET ADJ VERB NOUN NOUN CCONJ PRON PRON PRON VERB ADP NOUN ADV NOUN VERB NOUN VERB PRON VERB DET NOUN VERB DET NOUN VERB NOUN ADP NOUN DET NOUN VERB VERB ADP PRON ADP CCONJ VERB ADP PRON ADP INTJ NOUN INTJ DET NOUN ADV	▁Right , ▁I ▁' ve ▁just ▁got ▁a , ▁two ▁or ▁three ▁minutes , ▁I ▁' ve ▁just ▁w anna ▁get ▁something ▁quickly ▁done ▁before ▁we , ▁we ▁close ▁and ▁I ▁' m ▁not ▁ gon ▁na ▁look ▁up ▁all ▁the ▁references , ▁because ▁your ▁get ▁them ▁for ▁next ▁week ▁any ▁way ▁in , ▁in ▁the ▁house ▁group , ▁but , ▁now , ▁now ▁in ▁a ▁sense ▁it ' s ▁difficult ▁to ▁understand ▁to ▁take ▁all ▁this ▁in ▁after ▁all ▁his ▁God ▁and ▁were ▁people , ▁how ▁do ▁we ▁understand ▁Jesus , ▁it ' s , ▁it ' s ▁difficult , ▁however ▁knowing ▁something ▁about ▁them ▁does ▁help ▁us ▁to ▁understand ▁something ▁important , ▁it ▁helps ▁us ▁to ▁understand ▁what ▁happened ▁when ▁Jesus ▁a scend ed , ▁when ▁he ▁went ▁back ▁to ▁heaven , ▁you ▁see ▁when ▁Jesus ▁arose ▁from ▁the ▁earth ▁the , ▁the ▁disciples ▁who ▁watch ▁him ▁it ▁says ▁there ▁in ▁Acts ▁chapter ▁one , ▁they ▁saw ▁him ▁go ▁up ▁in ▁to ▁the ▁heaven , ▁up ▁into ▁you ▁know ▁in ▁a ▁cloud , ▁have ▁you ▁ever ▁thought ▁what ▁that ▁really ▁means ▁what ▁on ▁earth ▁was ▁it , ▁they ▁saw ▁him ▁go ▁up ▁in ▁a ▁cloud , ▁can ▁you ▁image ▁a ▁sort ▁of ▁great ▁cloud s ▁coming ▁and ▁dropping ▁down ▁over ▁the ▁mountain ▁top ▁there ▁and ▁was ▁suddenly ▁whi s king ▁Jesus ▁up ▁and ▁then ▁watching ▁Jesus ▁going ▁up ▁in ▁this ▁cloud ▁into ▁the ▁sky , ▁I ▁don ' t ▁really ▁think ▁it ▁was ▁quite ▁like ▁that , ▁have ▁you ▁ever ▁wonder ▁why ▁it ▁was ▁that ▁Jesus ▁went ▁up ▁in ▁a ▁cloud , ▁you ▁see ▁what ▁was ▁he ▁doing , ▁he ▁was n ' t ▁beginning ▁a ▁journey ▁to ▁some ▁far ▁off ▁place ▁in ▁the ▁uni verse , ▁some ▁distant ▁corner ▁where ▁God ▁the ▁father ▁was , ▁he ▁was n ' t ▁doing ▁that ▁at ▁all , ▁what ▁do ▁you ▁think ▁a ▁cloud ▁can ▁you , ▁give ▁any ▁suggestions ▁of ▁what ▁a ▁cloud ▁might ▁represent ▁because ▁very ▁often ▁a ▁lot ▁of ▁some ▁of ▁the ▁language ▁in ▁the ▁b ible ▁is ▁picture ▁language ▁and ▁it , ▁it , ▁it ▁speaks ▁as ▁something ▁else , ▁what ▁do , ▁what ▁do ▁you ▁think ▁a ▁cloud , ▁does ▁any ▁body ▁have ▁suggestions ▁of ▁what ▁a ▁cloud ▁might ▁speak ▁to ▁us ▁about , ▁or ▁speak ▁to ▁us ▁of , ▁sorry , ▁power ▁ye ah , ▁any ▁thing ▁else	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ PRON VERB VERB ADV VERB DET DET NUM CCONJ NUM NOUN NOUN PRON VERB VERB ADV ADV ADV VERB NOUN ADV VERB ADP PRON PRON PRON VERB CCONJ PRON VERB VERB ADV VERB VERB PART VERB PART ADJ DET NOUN NOUN ADP ADJ VERB PRON ADP ADJ NOUN DET NOUN ADV ADV ADP DET NOUN NOUN NOUN CCONJ CCONJ ADV ADV ADV ADP DET NOUN PRON PRON PRON ADJ PART VERB PART VERB ADJ DET ADP ADV ADJ ADJ PROPN CCONJ VERB NOUN NOUN ADV VERB PRON VERB PROPN PROPN PRON PRON PRON PRON PRON PRON PRON ADJ ADJ ADV VERB NOUN ADP PRON VERB VERB PRON PART VERB NOUN ADJ ADJ PRON VERB PRON PART VERB NOUN VERB ADV PROPN VERB VERB VERB VERB ADV PRON VERB ADV ADP PROPN PROPN PRON VERB ADV PROPN VERB ADP DET NOUN DET DET DET NOUN NOUN VERB PRON PRON VERB ADV ADP PROPN NOUN NUM NUM PRON VERB PRON VERB PART ADP ADP DET PROPN PROPN ADV ADP PRON VERB ADP DET NOUN NOUN VERB PRON ADV VERB NOUN DET ADV VERB NOUN ADP NOUN VERB PRON PRON PRON VERB PRON VERB PART ADP DET NOUN NOUN VERB PRON VERB DET NOUN ADP ADJ NOUN NOUN VERB CCONJ VERB PART ADP DET NOUN NOUN ADV CCONJ VERB ADV VERB VERB VERB PROPN PART CCONJ ADV VERB PROPN VERB PART ADP DET NOUN ADP DET NOUN NOUN PRON VERB VERB VERB ADV VERB PRON VERB ADV ADP DET DET VERB PRON ADV VERB ADV PRON VERB ADP PROPN VERB PART ADP DET NOUN NOUN PRON VERB NOUN VERB PRON VERB VERB PRON VERB VERB VERB VERB VERB DET NOUN ADP DET ADV ADP NOUN ADP DET NOUN NOUN NOUN DET ADJ NOUN ADV PROPN DET NOUN VERB VERB PRON VERB VERB VERB VERB VERB DET ADV ADV ADV NOUN VERB PRON VERB DET NOUN VERB PRON PRON VERB DET NOUN ADP NOUN DET NOUN VERB VERB ADP ADV ADV DET NOUN ADP DET ADP DET NOUN ADP DET ADJ ADJ VERB NOUN NOUN CCONJ PRON PRON PRON PRON PRON VERB ADP NOUN ADV ADV NOUN VERB VERB NOUN VERB PRON VERB DET NOUN NOUN VERB DET NOUN VERB NOUN ADP NOUN DET NOUN VERB VERB ADP PRON ADP ADP CCONJ VERB ADP PRON ADP ADP INTJ INTJ NOUN INTJ INTJ INTJ DET NOUN ADV
I mean she had a picture of him on the headstone and oh, thought she went over the top I 'm afraid and she get loads of support because then that Clifford was very popular and er his was	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	identical	PRON VERB PRON VERB DET NOUN ADP PRON ADP DET NOUN CCONJ INTJ VERB PRON VERB ADP DET NOUN PRON VERB ADJ CCONJ PRON VERB NOUN ADP NOUN ADP ADV ADP PROPN VERB ADV ADJ CCONJ INTJ ADJ VERB	▁I ▁mean ▁she ▁had ▁a ▁picture ▁of ▁him ▁on ▁the ▁head stone ▁and ▁ oh , ▁thought ▁she ▁went ▁over ▁the ▁top ▁I ▁' m ▁afraid ▁and ▁she ▁get ▁loads ▁of ▁support ▁because ▁then ▁that ▁C l if ford ▁was ▁very ▁popular ▁and ▁er ▁his ▁was	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON VERB DET NOUN ADP PRON ADP DET NOUN NOUN CCONJ INTJ INTJ INTJ VERB PRON VERB ADP DET NOUN PRON VERB VERB ADJ CCONJ PRON VERB NOUN ADP NOUN ADP ADV ADP PROPN PROPN PROPN PROPN VERB ADV ADJ CCONJ INTJ ADJ VERB
he can be funny but sometimes he just goes over the top.	0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	PRON VERB VERB ADJ CCONJ ADV PRON ADV VERB ADP DET NOUN	▁he ▁can ▁be ▁fun ny ▁but ▁sometimes ▁he ▁just ▁goes ▁over ▁the ▁top .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB ADJ ADJ CCONJ ADV PRON ADV VERB ADP DET NOUN NOUN
Rincewind watched Hrun over the top of his slab of greasy meat.	0 0 0 1 0 1 0 0 0 0 0 0	over the top	literal	identical	NOUN VERB NOUN ADP DET NOUN ADP ADJ NOUN ADP NOUN NOUN	▁Ri nce wind ▁watch ed ▁H run ▁over ▁the ▁top ▁of ▁his ▁slab ▁of ▁ gre asy ▁meat .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB VERB NOUN NOUN ADP DET NOUN ADP ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN
The rivers ' safety record is reckoned to be quite good and the authority wants tyo ensure that this wweeekend people don'ty do over the top in case they wind up going under.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	over the top	figurative	identical	DET NOUN PART NOUN NOUN VERB VERB PART VERB ADV ADJ CCONJ DET NOUN VERB PART VERB ADP DET VERB NOUN PART VERB ADP DET NOUN ADP NOUN PRON VERB PART VERB ADV	▁The ▁rivers ▁' ▁safety ▁record ▁is ▁reckon ed ▁to ▁be ▁quite ▁good ▁and ▁the ▁authority ▁wants ▁ty o ▁ensure ▁that ▁this ▁w we e ek end ▁people ▁don ' ty ▁do ▁over ▁the ▁top ▁in ▁case ▁they ▁wind ▁up ▁going ▁under .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	DET NOUN PART NOUN NOUN VERB VERB VERB PART VERB ADV ADJ CCONJ DET NOUN VERB PART PART VERB ADP DET VERB VERB VERB VERB VERB NOUN PART PART PART VERB ADP DET NOUN ADP NOUN PRON VERB PART VERB ADV ADV
he's being a zombie, so he's coming downstairs with two sleeping bags over the top of his head and knocking everything over, just look at it	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PRON VERB DET NOUN ADV PRON VERB ADV ADP NUM VERB NOUN ADP DET NOUN ADP ADJ NOUN CCONJ VERB NOUN PART ADV VERB ADP PRON	▁he ' s ▁being ▁a ▁ zo mbi e , ▁so ▁he ' s ▁coming ▁down st air s ▁with ▁two ▁sleeping ▁bags ▁over ▁the ▁top ▁of ▁his ▁head ▁and ▁knock ing ▁everything ▁over , ▁just ▁look ▁at ▁it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON VERB DET NOUN NOUN NOUN NOUN NOUN ADV PRON PRON PRON VERB ADV ADV ADV ADV ADP NUM VERB NOUN ADP DET NOUN ADP ADJ NOUN CCONJ VERB VERB NOUN PART PART ADV VERB ADP PRON
We 'll just have to tell everybody, she goes, right the way down and straight over the top	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	PRON VERB ADV VERB PART VERB NOUN PRON VERB INTJ DET NOUN ADV CCONJ ADV ADP DET NOUN	▁We ▁' ll ▁just ▁have ▁to ▁tell ▁everybody , ▁she ▁goes , ▁right ▁the ▁way ▁down ▁and ▁straight ▁over ▁the ▁top	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	PRON VERB VERB ADV VERB PART VERB NOUN NOUN PRON VERB VERB INTJ DET NOUN ADV CCONJ ADV ADP DET NOUN
Like death he looked, with a handkerchief held up against his face all bloodied, and his black eyes glaring over the top of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	over the top	literal	identical	ADP NOUN PRON VERB ADP DET NOUN VERB PART ADP ADJ NOUN DET VERB CCONJ ADJ ADJ NOUN VERB ADP DET NOUN ADP PRON	▁Like ▁death ▁he ▁looked , ▁with ▁a ▁hand ker chi ef ▁held ▁up ▁against ▁his ▁face ▁all ▁blood ied , ▁and ▁his ▁black ▁eyes ▁glar ing ▁over ▁the ▁top ▁of ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	ADP NOUN PRON VERB VERB ADP DET NOUN NOUN NOUN NOUN VERB PART ADP ADJ NOUN DET VERB VERB VERB CCONJ ADJ ADJ NOUN VERB VERB ADP DET NOUN ADP PRON PRON
‘ What?’ she asked over the top of hers.	0 0 0 0 1 0 1 0 0	over the top	literal	identical	PUNCT INTJ PRON VERB ADP DET NOUN ADP PRON	▁ ‘ ▁What ? ’ ▁she ▁asked ▁over ▁the ▁top ▁of ▁her s .	0 0 0 0 0 0 0 1 0 1 0 0 0 0	PUNCT PUNCT INTJ INTJ INTJ PRON VERB ADP DET NOUN ADP PRON PRON PRON
Paul heads it back over the top — and they 've scored, Oxford United have scored, it's Andy Melville that has put the ball into the net, into injury time.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PROPN VERB PRON ADV ADP DET NOUN PUNCT CCONJ PRON VERB VERB PROPN PROPN VERB VERB PRON PROPN PROPN ADJ VERB VERB DET NOUN ADP DET NOUN ADP NOUN NOUN	▁Paul ▁heads ▁it ▁back ▁over ▁the ▁top ▁ — ▁and ▁they ▁' ve ▁score d , ▁Oxford ▁United ▁have ▁score d , ▁it ' s ▁And y ▁Mel ville ▁that ▁has ▁put ▁the ▁ball ▁into ▁the ▁net , ▁into ▁injury ▁time .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB PRON ADV ADP DET NOUN PUNCT PUNCT CCONJ PRON VERB VERB VERB VERB VERB PROPN PROPN VERB VERB VERB VERB PRON PRON PRON PROPN PROPN PROPN PROPN ADJ VERB VERB DET NOUN ADP DET NOUN NOUN ADP NOUN NOUN NOUN
I mean the first couple of days, we spent a lot of time just trying to cool people down and and stop them panicking and er and stop them going over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	PRON VERB DET ADJ NOUN ADP NOUN PRON VERB DET NOUN ADP NOUN ADV VERB PART VERB NOUN ADV CCONJ CCONJ VERB PRON VERB CCONJ INTJ CCONJ VERB PRON VERB ADP DET NOUN	▁I ▁mean ▁the ▁first ▁couple ▁of ▁days , ▁we ▁spent ▁a ▁lot ▁of ▁time ▁just ▁trying ▁to ▁cool ▁people ▁down ▁and ▁and ▁stop ▁them ▁pan ick ing ▁and ▁er ▁and ▁stop ▁them ▁going ▁over ▁the ▁top .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB DET ADJ NOUN ADP NOUN NOUN PRON VERB DET NOUN ADP NOUN ADV VERB PART VERB NOUN ADV CCONJ CCONJ VERB PRON VERB VERB VERB CCONJ INTJ CCONJ VERB PRON VERB ADP DET NOUN NOUN
Remember, For Sale boards are subject to a maximum legal size, so make sure you don't fall foul of the law by going over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	figurative	identical	VERB ADP NOUN NOUN VERB ADJ ADP DET ADJ ADJ NOUN ADV VERB ADJ PRON VERB VERB ADV ADP DET NOUN ADP VERB ADP DET NOUN	▁Remember , ▁For ▁Sale ▁boards ▁are ▁subject ▁to ▁a ▁maximum ▁legal ▁size , ▁so ▁make ▁sure ▁you ▁don ' t ▁fall ▁fo ul ▁of ▁the ▁law ▁by ▁going ▁over ▁the ▁top .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	VERB VERB ADP NOUN NOUN VERB ADJ ADP DET ADJ ADJ NOUN NOUN ADV VERB ADJ PRON VERB VERB VERB VERB ADV ADV ADP DET NOUN ADP VERB ADP DET NOUN NOUN
Pat Morley, producer of RTE's major youth programme Beatbox, said : ‘ It's a bit over the top for us, it might offend viewers.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	over the top	figurative	identical	PROPN PROPN NOUN ADP PROPN ADJ NOUN NOUN PROPN VERB PUNCT PUNCT PRON DET NOUN ADP DET NOUN ADP PRON PRON VERB VERB NOUN	▁Pat ▁Mor ley , ▁producer ▁of ▁R TE ' s ▁major ▁youth ▁programme ▁Be at box , ▁said ▁ : ▁ ‘ ▁It ' s ▁a ▁bit ▁over ▁the ▁top ▁for ▁us , ▁it ▁might ▁off end ▁view ers . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NOUN ADP PROPN PROPN PROPN PROPN ADJ NOUN NOUN PROPN PROPN PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT PRON PRON PRON DET NOUN ADP DET NOUN ADP PRON PRON PRON VERB VERB VERB NOUN NOUN NOUN NOUN
If so, provide an opening yourself and as the opponent goes for it, rock back and punch over the top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	identical	ADP ADV VERB DET NOUN PRON CCONJ ADP DET NOUN VERB ADP PRON NOUN ADV CCONJ VERB PART DET NOUN	▁If ▁so , ▁provide ▁an ▁opening ▁yourself ▁and ▁as ▁the ▁opp on ent ▁goes ▁for ▁it , ▁rock ▁back ▁and ▁punch ▁over ▁the ▁top .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP ADV ADV VERB DET NOUN PRON CCONJ ADP DET NOUN NOUN NOUN VERB ADP PRON PRON NOUN ADV CCONJ VERB PART DET NOUN NOUN
I think there's a danger that you can go over the top with praise, in that you 're anxious to give quality feedback, the thing that you have to be careful with is that it's not just meaningless like that, because that can be just as bad as giving negative feedback.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	identical	PRON VERB ADV DET NOUN ADP PRON VERB VERB ADP DET NOUN ADP NOUN ADP ADP PRON VERB ADJ PART VERB NOUN NOUN DET NOUN ADJ PRON VERB PART VERB ADJ ADP VERB ADP PRON ADV ADV ADJ ADP DET ADP DET VERB VERB ADV ADV ADJ ADP VERB ADJ NOUN	▁I ▁think ▁there ' s ▁a ▁danger ▁that ▁you ▁can ▁go ▁over ▁the ▁top ▁with ▁praise , ▁in ▁that ▁you ▁' re ▁anxious ▁to ▁give ▁quality ▁feedback , ▁the ▁thing ▁that ▁you ▁have ▁to ▁be ▁careful ▁with ▁is ▁that ▁it ' s ▁not ▁just ▁meaningless ▁like ▁that , ▁because ▁that ▁can ▁be ▁just ▁as ▁bad ▁as ▁giving ▁negative ▁feedback .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADV ADV DET NOUN ADP PRON VERB VERB ADP DET NOUN ADP NOUN NOUN ADP ADP PRON VERB VERB ADJ PART VERB NOUN NOUN NOUN DET NOUN ADJ PRON VERB PART VERB ADJ ADP VERB ADP PRON PRON PRON ADV ADV ADJ ADP DET DET ADP DET VERB VERB ADV ADV ADJ ADP VERB ADJ NOUN NOUN
Over - the - top accessories accompany all her collections, from fake pearl chokers to quilted handbags and gilt belts.	1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	combined-other	ADP PUNCT DET PUNCT ADJ NOUN VERB ADJ ADJ NOUN ADP ADJ ADJ NOUN ADP VERB NOUN CCONJ NOUN NOUN	▁Over ▁- ▁the ▁- ▁top ▁accessories ▁accompany ▁all ▁her ▁collection s , ▁from ▁f ake ▁pear l ▁ cho kers ▁to ▁qui lt ed ▁handbags ▁and ▁gilt ▁belts .	1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PUNCT DET PUNCT ADJ NOUN VERB ADJ ADJ NOUN NOUN NOUN ADP ADJ ADJ ADJ ADJ NOUN NOUN NOUN ADP VERB VERB VERB NOUN CCONJ NOUN NOUN NOUN
So, if you have applied the paint using a sponge and there is a lot of detail, successive layers of colour over the top will not dissolve the existing paint.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	over the top	literal	identical	CCONJ ADP PRON VERB VERB DET NOUN VERB DET NOUN CCONJ ADV VERB DET NOUN ADP NOUN ADJ NOUN ADP NOUN ADP DET NOUN VERB ADV VERB DET VERB NOUN	▁So , ▁if ▁you ▁have ▁applied ▁the ▁paint ▁using ▁a ▁sponge ▁and ▁there ▁is ▁a ▁lot ▁of ▁detail , ▁successive ▁layers ▁of ▁colour ▁over ▁the ▁top ▁will ▁not ▁dissolve ▁the ▁existing ▁paint .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	CCONJ CCONJ ADP PRON VERB VERB DET NOUN VERB DET NOUN CCONJ ADV VERB DET NOUN ADP NOUN NOUN ADJ NOUN ADP NOUN ADP DET NOUN VERB ADV VERB DET VERB NOUN NOUN
He had forgotten to take off his spectacles and he peered over the top of them.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	over the top	literal	identical	PRON VERB VERB PART VERB PART ADJ NOUN CCONJ PRON VERB ADP DET NOUN ADP PRON	▁He ▁had ▁forgotten ▁to ▁take ▁off ▁his ▁spectacle s ▁and ▁he ▁peer ed ▁over ▁the ▁top ▁of ▁them .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PRON VERB VERB PART VERB PART ADJ NOUN NOUN CCONJ PRON VERB VERB ADP DET NOUN ADP PRON PRON
