Christ, he was going round in circles.	0 0 0 1 1 1 1	go round in circles	figurative	inflection	PROPN PRON VERB VERB ADV ADP NOUN	▁Christ , ▁he ▁was ▁going ▁round ▁in ▁circles .	0 0 0 0 1 1 1 1 1	PROPN PROPN PRON VERB VERB ADV ADP NOUN NOUN
Now she was not orientated at all and for all she knew she could have been going round in circles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	inflection	ADV PRON VERB ADV VERB ADV ADV CCONJ ADP DET PRON VERB PRON VERB VERB VERB VERB ADV ADP NOUN	▁Now ▁she ▁was ▁not ▁ orientated ▁at ▁all ▁and ▁for ▁all ▁she ▁knew ▁she ▁could ▁have ▁been ▁going ▁round ▁in ▁circles .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV PRON VERB ADV VERB VERB ADV ADV CCONJ ADP DET PRON VERB PRON VERB VERB VERB VERB ADV ADP NOUN NOUN
Oh Christ, there he was going round in a circle again.	0 0 0 0 0 1 1 1 0 1 0	go round in circles	figurative	combined-inflection	INTJ PROPN ADV PRON VERB VERB ADV ADP DET NOUN ADV	▁O h ▁Christ , ▁there ▁he ▁was ▁going ▁round ▁in ▁a ▁circle ▁again .	0 0 0 0 0 0 0 1 1 1 0 1 0 0	INTJ INTJ PROPN PROPN ADV PRON VERB VERB ADV ADP DET NOUN ADV ADV
behavioural problems such as getting side - tracked, going round in circles, people hogging it	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	go round in circles	figurative	inflection	ADJ NOUN ADJ ADP VERB NOUN PUNCT VERB VERB ADV ADP NOUN NOUN VERB PRON	▁behavioural ▁problems ▁such ▁as ▁gett ing ▁side ▁- ▁track ed , ▁going ▁round ▁in ▁circles , ▁people ▁h ogging ▁it	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0	ADJ NOUN ADJ ADP VERB VERB NOUN PUNCT VERB VERB VERB VERB ADV ADP NOUN NOUN NOUN VERB VERB PRON
going round in circles	1 1 1 1	go round in circles	figurative	inflection	VERB ADV ADP NOUN	▁going ▁round ▁in ▁circles	1 1 1 1	VERB ADV ADP NOUN
It is easy to see, therefore, how going round in circles is not a vicious circle, but a circle nonetheless.	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB ADJ PART VERB ADV ADV VERB ADV ADP NOUN VERB ADV DET ADJ NOUN CCONJ DET NOUN ADV	▁It ▁is ▁easy ▁to ▁see , ▁therefore , ▁how ▁going ▁round ▁in ▁circles ▁is ▁not ▁a ▁vicious ▁circle , ▁but ▁a ▁circle ▁nonetheless .	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ PART VERB VERB ADV ADV ADV VERB ADV ADP NOUN VERB ADV DET ADJ NOUN NOUN CCONJ DET NOUN ADV ADV
The District Council's argument is in danger of going round in a circle.	0 0 0 0 0 0 0 0 1 1 1 0 1	go round in circles	figurative	combined-inflection	DET PROPN PROPN NOUN VERB ADP NOUN ADP VERB ADV ADP DET NOUN	▁The ▁District ▁Council ' s ▁argument ▁is ▁in ▁danger ▁of ▁going ▁round ▁in ▁a ▁circle .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	DET PROPN PROPN PROPN PROPN NOUN VERB ADP NOUN ADP VERB ADV ADP DET NOUN NOUN
An explorer who does not compile maps as he or she proceeds is likely to end up going round in circles ; likewise, a society that does not know where it has come from in the past has no chance of knowing where it is going in the future.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	DET NOUN NOUN VERB ADV VERB NOUN ADP PRON CCONJ PRON VERB VERB ADJ PART VERB PART VERB ADV ADP NOUN PUNCT ADV DET NOUN ADJ VERB ADV VERB ADV PRON VERB VERB ADP ADP DET NOUN VERB DET NOUN ADP VERB ADV PRON VERB VERB ADP DET NOUN	▁An ▁explore r ▁who ▁does ▁not ▁compile ▁maps ▁as ▁he ▁or ▁she ▁proceeds ▁is ▁likely ▁to ▁end ▁up ▁going ▁round ▁in ▁circles ▁ ; ▁likewise , ▁a ▁society ▁that ▁does ▁not ▁know ▁where ▁it ▁has ▁come ▁from ▁in ▁the ▁past ▁has ▁no ▁chance ▁of ▁knowing ▁where ▁it ▁is ▁going ▁in ▁the ▁future .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN VERB ADV VERB NOUN ADP PRON CCONJ PRON VERB VERB ADJ PART VERB PART VERB ADV ADP NOUN PUNCT PUNCT ADV ADV DET NOUN ADJ VERB ADV VERB ADV PRON VERB VERB ADP ADP DET NOUN VERB DET NOUN ADP VERB ADV PRON VERB VERB ADP DET NOUN NOUN
He says that he's fed up of going round in circles — how can he make a fresh start when he can't get a grant for clothing, and so can't then tunr up for job interviews?	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB ADP PRON VERB PART ADP VERB ADV ADP NOUN PUNCT ADV VERB PRON VERB DET ADJ NOUN ADV PRON VERB VERB DET NOUN ADP NOUN CCONJ ADV VERB ADV VERB PART ADP NOUN NOUN	▁He ▁says ▁that ▁he ' s ▁fed ▁up ▁of ▁going ▁round ▁in ▁circles ▁ — ▁how ▁can ▁he ▁make ▁a ▁fresh ▁start ▁when ▁he ▁can ' t ▁get ▁a ▁grant ▁for ▁clothing , ▁and ▁so ▁can ' t ▁then ▁tu nr ▁up ▁for ▁job ▁interview s ?	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP PRON PRON PRON VERB PART ADP VERB ADV ADP NOUN PUNCT PUNCT ADV VERB PRON VERB DET ADJ NOUN ADV PRON VERB VERB VERB VERB DET NOUN ADP NOUN NOUN CCONJ ADV VERB VERB VERB ADV VERB VERB PART ADP NOUN NOUN NOUN NOUN
We have been arguing the point with the inspector at claims branch for many many months and we just seem to go round in circles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	identical	PRON VERB VERB VERB DET NOUN ADP DET NOUN ADP NOUN NOUN ADP ADJ ADJ NOUN CCONJ PRON ADV VERB PART VERB ADV ADP NOUN	▁We ▁have ▁been ▁arguing ▁the ▁point ▁with ▁the ▁inspector ▁at ▁claims ▁branch ▁for ▁many ▁many ▁months ▁and ▁we ▁just ▁seem ▁to ▁go ▁round ▁in ▁circles .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB VERB DET NOUN ADP DET NOUN ADP NOUN NOUN ADP ADJ ADJ NOUN CCONJ PRON ADV VERB PART VERB ADV ADP NOUN NOUN
you can get th I 've seen people spend sort of quite a few minutes going round in circles and give up on that when they 're nearly at the answer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB VERB INTJ PRON VERB VERB NOUN VERB ADV ADV ADJ DET ADJ NOUN VERB ADV ADP NOUN CCONJ VERB PART ADP DET ADV PRON VERB ADV ADP DET NOUN	▁you ▁can ▁get ▁th ▁I ▁' ve ▁seen ▁people ▁spend ▁sort ▁of ▁quite ▁a ▁few ▁minutes ▁going ▁round ▁in ▁circles ▁and ▁give ▁up ▁on ▁that ▁when ▁they ▁' re ▁nearly ▁at ▁the ▁answer .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB INTJ PRON VERB VERB VERB NOUN VERB ADV ADV ADJ DET ADJ NOUN VERB ADV ADP NOUN CCONJ VERB PART ADP DET ADV PRON VERB VERB ADV ADP DET NOUN NOUN
I was going round in circles because it's a very small world — pimps and prostitutes.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	PRON VERB VERB ADV ADP NOUN ADP PRON DET ADV ADJ NOUN PUNCT NOUN CCONJ NOUN	▁I ▁was ▁going ▁round ▁in ▁circles ▁because ▁it ' s ▁a ▁very ▁small ▁world ▁ — ▁p imp s ▁and ▁pro stitute s .	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV ADP NOUN ADP PRON PRON PRON DET ADV ADJ NOUN PUNCT PUNCT NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN
And also, but half the time it's the problem arises because it's, the machines gone to personnel without something, and then we 've got to spend time either chasing it up or getting another bit or going round in circles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go round in circles	figurative	inflection	CCONJ ADV CCONJ ADJ DET NOUN PRON DET NOUN VERB ADP PRON DET NOUN VERB ADP NOUN ADP NOUN CCONJ ADV PRON VERB VERB PART VERB NOUN CCONJ VERB PRON PART CCONJ VERB DET NOUN CCONJ VERB ADV ADP NOUN	▁And ▁also , ▁but ▁half ▁the ▁time ▁it ' s ▁the ▁problem ▁arises ▁because ▁it ' s , ▁the ▁machines ▁gone ▁to ▁personnel ▁without ▁something , ▁and ▁then ▁we ▁' ve ▁got ▁to ▁spend ▁time ▁either ▁cha s ing ▁it ▁up ▁or ▁gett ing ▁another ▁bit ▁or ▁going ▁round ▁in ▁circles .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	CCONJ ADV ADV CCONJ ADJ DET NOUN PRON PRON PRON DET NOUN VERB ADP PRON PRON PRON PRON DET NOUN VERB ADP NOUN ADP NOUN NOUN CCONJ ADV PRON VERB VERB VERB PART VERB NOUN CCONJ VERB VERB VERB PRON PART CCONJ VERB VERB DET NOUN CCONJ VERB ADV ADP NOUN NOUN
For I appear to be going round in circles in answer to a question which has been worrying me for some time.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go round in circles	figurative	inflection	ADP PRON VERB PART VERB VERB ADV ADP NOUN ADP NOUN ADP DET NOUN ADJ VERB VERB VERB PRON ADP DET NOUN	▁For ▁I ▁appear ▁to ▁be ▁going ▁round ▁in ▁circles ▁in ▁answer ▁to ▁a ▁question ▁which ▁has ▁been ▁worrying ▁me ▁for ▁some ▁time .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB PART VERB VERB ADV ADP NOUN ADP NOUN ADP DET NOUN ADJ VERB VERB VERB PRON ADP DET NOUN NOUN
