‘ He's on the square.’	0 0 1 0 1	on the square	figurative	dashes	PUNCT PRON ADP DET NOUN
This hotel has an enviable position on the main square, just a stone's throw from the lake and the resort's bell tower, and offers an excellent standard of accommodation.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	insertion-other	DET NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN ADV DET NOUN NOUN ADP DET NOUN CCONJ DET NOUN NOUN NOUN CCONJ VERB DET ADJ NOUN ADP NOUN
Late Wednesday night the mist seemed to freeze around our nostrils and form halos made luminous by the garish neon lights on Wenceslas Square.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the square	literal	combined-other	ADJ PROPN NOUN DET NOUN VERB PART VERB ADP ADJ NOUN CCONJ VERB NOUN VERB ADJ ADP DET ADJ NOUN NOUN ADP PROPN PROPN
Yet once behind the sentry box, guilt and failure lay stacked on the barrack square.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the square	literal	insertion-other	CCONJ ADV ADP DET NOUN NOUN NOUN CCONJ NOUN VERB VERB ADP DET ADJ ADJ
Indeed the Kyrie of Ludford's Lady - Mass for Tuesday is based on the same square as the organ piece.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	on the square	literal	insertion-other	ADV DET PROPN ADP PROPN PROPN PUNCT PROPN ADP PROPN VERB VERB ADP DET ADJ NOUN ADP DET NOUN NOUN
She was English, a little older than he was, working as a buyer for Gump's, the big department store on Union Square.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the square	literal	combined-other	PRON VERB PROPN DET ADV ADJ ADP PRON VERB VERB ADP DET NOUN ADP PROPN DET ADJ NOUN NOUN ADP PROPN PROPN
The areas and squares on the two short sides add together to equal the area on the square of the hypotenuse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the square	literal	identical	DET NOUN CCONJ NOUN ADP DET NUM ADJ NOUN VERB ADV PART VERB DET NOUN ADP DET NOUN ADP DET NOUN
Located at the very heart of San Francisco on Union Square, this elegant and historic hotel is arguably San Francisco's finest, and offers a wide range of facilities and excellent accommodation to the discerning traveller.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	combined-other	VERB ADP DET ADJ NOUN ADP PROPN PROPN ADP PROPN PROPN DET ADJ CCONJ ADJ NOUN VERB ADV PROPN PROPN ADJ CCONJ VERB DET ADJ NOUN ADP NOUN CCONJ ADJ NOUN ADP DET VERB NOUN
The latest move comes a day after Ke Zaishuo, the senior Peking representative to the Joint Liaison Group — the Anglo - Chinese body overseeing Hong Kong's return to mainland sovereignty in 1997 — blamed Britain for the crisis of confidence in the territory after the Chinese army assault on Tiananmen Square.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the square	literal	combined-other	DET ADJ NOUN VERB DET NOUN ADP PROPN PROPN DET ADJ PROPN NOUN ADP DET ADJ PROPN PROPN PUNCT DET ADJ PUNCT ADJ NOUN VERB PROPN PROPN NOUN ADP NOUN NOUN ADP NUM PUNCT VERB PROPN ADP DET NOUN ADP NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN ADP PROPN PROPN
One London community, centred on Tolmer's Square, battled against property developers ( Wates, 1976 ).	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the square	literal	combined-other	NUM PROPN NOUN VERB ADP PROPN PROPN VERB ADP NOUN NOUN PUNCT PROPN NUM PUNCT
Perkin took Mackie to shuffle on the square of dance floor adjoining the table.	0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the square	literal	identical	PROPN VERB PROPN PART VERB ADP DET NOUN ADP NOUN NOUN VERB DET NOUN
The demonstrations, which began with the death of a former Communist Party leader on 15 April, 1989, ended with an army assault on Tiananmen Square on 4 June that killed hundreds of people.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the square	literal	combined-other	DET NOUN ADJ VERB ADP DET NOUN ADP DET ADJ PROPN PROPN NOUN ADP NUM PROPN NUM VERB ADP DET NOUN NOUN ADP PROPN PROPN ADP NUM PROPN ADJ VERB NOUN ADP NOUN
the design is based on squares, but if it were knitted without proportional adjustment, the whole thing would be incorrect and pulled out of shape.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	deletion-determiner	DET NOUN VERB VERB ADP NOUN CCONJ ADP PRON VERB VERB ADP ADJ NOUN DET ADJ NOUN VERB VERB ADJ CCONJ VERB ADP ADP NOUN
The Cathedral of the Assumption on Red Square had been demolished along with other redundant relics of reactionary religion.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	combined-other	DET PROPN ADP DET PROPN ADP PROPN PROPN VERB VERB VERB ADP ADP ADJ ADJ NOUN ADP ADJ NOUN
Click on this square and select the color you want.	0 1 0 1 0 0 0 0 0 0	on the square	literal	determiner-narrow	VERB ADP DET NOUN CCONJ VERB DET NOUN PRON VERB
During all the activity on the square, 5 Platoon have been working away in the gym doing circuit training under the watchful eyes of the Physical Training Instructors.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	identical	ADP ADJ DET NOUN ADP DET NOUN NUM PROPN VERB VERB VERB ADV ADP DET NOUN VERB NOUN NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN
The strip is easy to apply, simply put it white side down on the squares to be corrected and rub gently but firmly with a ball point pen on the back of the strip.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	inflection	DET NOUN VERB ADJ PART VERB ADV VERB PRON ADJ NOUN ADV ADP DET NOUN PART VERB VERB CCONJ VERB ADV CCONJ ADV ADP DET NOUN NOUN NOUN ADP DET NOUN ADP DET NOUN
The relief on the square side is of Governor Tresseno and is attributed to Benedetto Antelami.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	identical	DET NOUN ADP DET ADJ NOUN VERB ADP PROPN PROPN CCONJ VERB VERB ADP PROPN PROPN
Clinton asked, his eyes fixed on the tiny square.	0 0 0 0 0 1 0 0 1	on the square	literal	insertion-other	PROPN VERB ADJ NOUN VERB ADP DET ADJ NOUN
Situated at a superb vantage point close to the Royal Palace on Dam Square and Amsterdam's famous shopping areas, the Ascot offers exceptional standards of comfort and service for its 4 star rating.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	combined-other	VERB ADP DET ADJ NOUN NOUN ADV ADP DET PROPN PROPN ADP PROPN PROPN CCONJ PROPN ADJ NOUN NOUN DET PROPN VERB ADJ NOUN ADP NOUN CCONJ NOUN ADP ADJ NUM NOUN NOUN
' One grain of corn placed on the first square on the board.	0 0 0 0 0 0 1 0 0 1 0 0 0	on the square	literal	insertion-other	PUNCT NUM NOUN ADP NOUN VERB ADP DET ADJ NOUN ADP DET NOUN
Once the transition had occurred, some builders expanded on the square and rectangular theme and added wild, exuberant and curvaceous forms — this is sometimes called Baroque.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	identical	ADP DET NOUN VERB VERB DET NOUN VERB ADP DET ADJ CCONJ ADJ NOUN CCONJ VERB ADJ ADJ CCONJ ADJ NOUN PUNCT DET VERB ADV VERB NOUN
A similar B1 Class Tradesman's patch has a black shamrock, veined dark green, on the dark green square, and without the tank symbol.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	on the square	literal	insertion-other	DET ADJ PROPN PROPN PROPN NOUN VERB DET ADJ NOUN ADJ ADJ ADJ ADP DET ADJ ADJ NOUN CCONJ ADP DET NOUN NOUN
These ' Mietkaserne'(literally ' rental barracks ' ), to avoid the slum problem of a London or central Berlin, would be four storeys high and would open up on an interior square that was green and ample enough to permit plenty of light and fresh air.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	combined-other	DET PUNCT ADV PUNCT ADJ NOUN PUNCT PUNCT PART VERB DET NOUN NOUN ADP DET PROPN CCONJ ADJ PROPN VERB VERB NUM NOUN ADJ CCONJ VERB VERB PART ADP DET ADJ NOUN ADJ VERB ADJ CCONJ ADJ ADV PART VERB NOUN ADP ADJ CCONJ ADJ NOUN
Best way patterns produced some interesting variations on the knitted square.	0 0 0 0 0 0 0 1 0 0 1	on the square	literal	insertion-other	ADJ NOUN NOUN VERB DET ADJ NOUN ADP DET VERB NOUN
Choose which party you wish to represent ( Conservative, Labour, Liberal, Monster Raving Loony ) and place the playing tokens on the START square.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the square	literal	insertion-other	VERB ADJ NOUN PRON VERB PART VERB PUNCT PROPN PROPN ADJ PROPN PROPN PROPN PUNCT CCONJ VERB DET NOUN NOUN ADP DET PROPN ADJ
The Alba — set on a square	0 0 0 0 1 0 1	on the square	literal	determiner-narrow	DET PROPN PUNCT VERB ADP DET NOUN
You are presented with a blank crossword and a list of clues, and as you click on a square the relevant clue is highlighted.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the square	literal	determiner-narrow	PRON VERB VERB ADP DET ADJ NOUN CCONJ DET NOUN ADP NOUN CCONJ ADP PRON VERB ADP DET NOUN DET ADJ NOUN VERB VERB
Numerous people arrested after the army assault on Tiananmen Square are known to be still imprisoned, even though Beijing may not classify them either as students or political prisoners.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	combined-other	ADJ NOUN VERB ADP DET NOUN NOUN ADP PROPN PROPN VERB VERB PART VERB ADV VERB ADV ADP PROPN VERB ADV VERB PRON CCONJ ADP NOUN CCONJ ADJ NOUN
Today is the 4th of June — a day when Chinese government killed hundreds of people on a peaceful demonstration on the Tiananmen square.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the square	literal	insertion-other	NOUN VERB DET NOUN ADP PROPN PUNCT DET NOUN ADV ADJ NOUN VERB NOUN ADP NOUN ADP DET ADJ NOUN ADP DET PROPN NOUN
One non - Communist politician, Winfield Wolk, said he feared ' things could happen like in China ', where Mr Gorbachev's arrival in May provoked a hunger - strike on Tiananmen Square.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the square	literal	combined-other	NUM ADJ PUNCT ADJ NOUN PROPN PROPN VERB PRON VERB PUNCT NOUN VERB VERB ADP ADP PROPN PUNCT ADV PROPN PROPN NOUN ADP PROPN VERB DET NOUN PUNCT NOUN ADP PROPN PROPN
Finally, place the ladders on the board carefully, making sure that they start and end on squares of the same colour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	on the square	literal	deletion-determiner	ADV VERB DET NOUN ADP DET NOUN ADV VERB ADJ ADP PRON VERB CCONJ VERB ADP NOUN ADP DET ADJ NOUN
If, for instance, a cloud is hovering over Times ~ Square, then we can determine its position relative to the surface of the earth by erecting a pole perpendicularly on the Square, so that it reaches the cloud.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the square	literal	case	ADP ADP NOUN DET NOUN VERB VERB ADP PROPN PUNCT PROPN ADV PRON VERB VERB ADJ NOUN ADJ ADP DET NOUN ADP DET NOUN ADP VERB DET NOUN ADV ADP DET PROPN ADP ADP PRON VERB DET NOUN
He wooed and married one of the prettiest secretaries in the office on Dzerjhinsky Square.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the square	literal	combined-other	PRON VERB CCONJ VERB NUM ADP DET ADJ NOUN ADP DET NOUN ADP PROPN PROPN
There was a rally of 200,000 people on Aug. 20 on Palace Square.	0 0 0 0 0 0 0 0 0 0 1 0 1	on the square	literal	combined-other	ADV VERB DET NOUN ADP NUM NOUN ADP PROPN NUM ADP PROPN PROPN
The doctor's house was on the main square of Chiguana, with three steps up to his door : ' to deter the crippled and the halt ', he told me, genially.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	insertion-other	DET NOUN NOUN VERB ADP DET ADJ NOUN ADP PROPN ADP NUM NOUN ADP ADP ADJ NOUN PUNCT PUNCT PART VERB DET ADJ CCONJ DET NOUN PUNCT PRON VERB PRON ADV
If there is a queen on the board on the square in the ith row and jth column, then the ith entry in the list is the number j.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	identical	ADP ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ VERB NOUN ADV DET ADJ NOUN ADP DET NOUN VERB DET NOUN NOUN
As he laid out his instruments on squares of cloth like a surgeon, he said, ' You know, Pop, fishing's a very good relaxant.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	deletion-determiner	ADP PRON VERB PART ADJ NOUN ADP NOUN ADP NOUN ADP DET NOUN PRON VERB PUNCT PRON VERB NOUN NOUN DET ADV ADJ NOUN
So Thomas Goldney selected as his architect George Tully, a fellow Quaker who had learnt his trade working as a carpenter on Queen Square for another carpenter turned contractor, John Price.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the square	literal	combined-other	ADV PROPN PROPN VERB ADP ADJ NOUN PROPN PROPN DET NOUN PROPN NOUN VERB VERB ADJ NOUN VERB ADP DET NOUN ADP PROPN PROPN ADP DET NOUN VERB NOUN PROPN PROPN
There were shaky cane chairs to go with the table, which I carried home on my head, and there Mum sat hour after hour, doing calligraphy — Christmas and birthday cards on squares of lush paper.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	on the square	literal	deletion-determiner	ADV VERB ADJ NOUN NOUN PART VERB ADP DET NOUN ADJ PRON VERB ADV ADP ADJ NOUN CCONJ ADV PROPN VERB NOUN ADP NOUN VERB NOUN PUNCT PROPN CCONJ NOUN NOUN ADP NOUN ADP ADJ NOUN
The fantastic art treasures of the Uffizi Gallery, the ancient gold and silversmiths ' shops on the Ponte Vecchio and the bustling pavement cafés on the wide, elegant squares — it's full of beauty and atmosphere.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0	on the square	literal	combined-inflection	DET ADJ NOUN NOUN ADP DET PROPN PROPN DET ADJ NOUN CCONJ NOUN PART NOUN ADP DET PROPN PROPN CCONJ DET ADJ NOUN NOUN ADP DET ADJ ADJ NOUN PUNCT PRON ADJ ADP NOUN CCONJ NOUN
McAllister, coughing slightly against the stench of the room — Dr Neil was hardened to it — laid the towelling and the scissors on the clean square, and said briskly to Dr Neil, ' Is there anything in your bag which you might need urgently?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	insertion-other	PROPN VERB ADV ADP DET NOUN ADP DET NOUN PUNCT PROPN PROPN VERB VERB ADP PRON PUNCT VERB DET NOUN CCONJ DET NOUN ADP DET ADJ NOUN CCONJ VERB ADV ADP PROPN PROPN PUNCT VERB ADV NOUN ADP ADJ NOUN ADJ PRON VERB VERB ADV
They spent their evenings together in a trattoria on the square beside the Ponte Milvio or down in Trastevere, before a couple of hours at his place, or half a night at her apartment.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the square	literal	identical	PRON VERB ADJ NOUN ADV ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN CCONJ ADV ADP PROPN ADP DET NOUN ADP NOUN ADP ADJ NOUN CCONJ ADJ DET NOUN ADP ADJ NOUN
The beautiful old building in neoclassical style is called the Palacio de Anaya, situated on the square of that name, and it was built in 1760.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the square	literal	identical	DET ADJ ADJ NOUN ADP ADJ NOUN VERB VERB DET PROPN PROPN PROPN VERB ADP DET NOUN ADP DET NOUN CCONJ PRON VERB VERB ADP NUM
One version of Rios 2 apparently combines nine separate chips on a substrate 4 ' square.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1	on the square	literal	combined-other	NUM NOUN ADP PROPN NUM ADV VERB NUM ADJ NOUN ADP DET NOUN NUM PUNCT NOUN
