Food for thought	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
food for thought for Hereford who deserved at least a draw … they'd did themselves proud in a game which sent the fans home happy	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	NOUN ADP NOUN ADP PROPN NOUN VERB ADP ADJ DET NOUN PUNCT PRON VERB PRON ADJ ADP DET NOUN ADJ VERB DET NOUN ADV ADJ
And there is plenty of food for thought.	0 0 0 0 0 1 1 1	food for thought	figurative	identical	CCONJ ADV VERB NOUN ADP NOUN ADP NOUN
And that has given Bangor secretary Freddie Anderson plenty of food for thought.	0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	CCONJ DET VERB VERB PROPN NOUN PROPN PROPN NOUN ADP NOUN ADP NOUN
From food for thought to fitness!	0 1 1 1 0 0	food for thought	figurative	identical	ADP NOUN ADP NOUN ADP NOUN
Food for for thought for Mrs Heseltine.	1 1 0 1 0 0 0	food for thought	figurative	combined-other	NOUN ADP ADP NOUN ADP PROPN PROPN
Then, Bert and Jasper — but not Jack, a fact which had to give her food for thought — met a certain comrade in a certain private house in a suburb.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	ADV PROPN CCONJ PROPN PUNCT CCONJ ADV PROPN DET NOUN ADJ VERB PART VERB ADJ NOUN ADP NOUN PUNCT VERB DET ADJ NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN
We have invited one outside lecturer,, who will be showing a different approach to mobility and stress release and I am sure his work will give food for thought in your own teaching.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	food for thought	figurative	identical	PRON VERB VERB NUM ADJ NOUN NOUN VERB VERB VERB DET ADJ NOUN ADP NOUN CCONJ NOUN NOUN CCONJ PRON VERB ADJ ADJ NOUN VERB VERB NOUN ADP NOUN ADP ADJ ADJ NOUN
Coaches will find the ideas stimulating, and all cricketers will find food for thought in the link chapters : should second and third slips watch bat or ball?	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	NOUN VERB VERB DET NOUN VERB CCONJ DET NOUN VERB VERB NOUN ADP NOUN ADP DET NOUN NOUN PUNCT VERB ADJ CCONJ ADJ NOUN VERB NOUN CCONJ NOUN
He is likely to be tested at Twickenham as never before, but a really good game there could even give the Lions ' selectors food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	PRON VERB ADJ PART VERB VERB ADP PROPN ADP ADV ADV CCONJ DET ADV ADJ NOUN ADV VERB ADV VERB DET PROPN PART NOUN NOUN ADP NOUN
Further food for thought : Cohen Griffith, the winger Kettering signed for £ 3,000 from Leicester United last season, has joined Cardiff for 20 times that amount ; the GM Vauxhall Conference leaders Darlington will defend a 10-match unbeaten start, the best in the competition's 10 years, tomorrow at Enfield ; and Dunstable have withdrawn from the FA Cup following the 38th - minute abandonment of the tie with Staines when what was left of their team walked off after the dismissal of three colleagues.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	ADJ NOUN ADP NOUN PUNCT PROPN PROPN DET NOUN PROPN VERB ADP SYM NUM ADP PROPN PROPN ADJ NOUN VERB VERB PROPN ADP NUM NOUN DET NOUN PUNCT DET PROPN PROPN PROPN NOUN PROPN VERB VERB DET NUM ADJ NOUN DET ADJ ADP DET NOUN NUM NOUN NOUN ADP PROPN PUNCT CCONJ PROPN VERB VERB ADP DET PROPN PROPN VERB DET ADJ PUNCT NOUN NOUN ADP DET NOUN ADP PROPN ADV NOUN VERB VERB ADP ADJ NOUN VERB PART ADP DET NOUN ADP NUM NOUN
Food for thought.	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
That body of work provided much food for thought and Forster responded with a series of questions : ‘ Firstly it was interesting to note how varied it was.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	DET NOUN ADP NOUN VERB ADJ NOUN ADP NOUN CCONJ PROPN VERB ADP DET NOUN ADP NOUN PUNCT PUNCT ADV PRON VERB ADJ PART VERB ADV ADJ PRON VERB
Food for thought	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
I 'm sure you 'll find it's food for thought.	0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	PRON VERB ADJ PRON VERB VERB PRON NOUN ADP NOUN
On a song like ‘ What Did Your Last Servant Die Of?’ he provides neither food for thought nor reveals anything about himself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	food for thought	figurative	identical	ADP DET NOUN ADP PRON NOUN VERB ADJ ADJ NOUN VERB CCONJ PRON VERB DET NOUN ADP NOUN CCONJ VERB NOUN ADP PRON
It won't do any harm, but I 'd rather not give him food for thought, because I consider him an idiot and I don't think he's capable of interpreting it correctly.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	PRON VERB VERB DET NOUN CCONJ PRON VERB ADV ADV VERB PRON NOUN ADP NOUN ADP PRON VERB PRON DET NOUN CCONJ PRON VERB VERB PRON ADJ ADP VERB PRON ADV
Food for thought	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
Food for Thought on GM Crops	1 1 1 0 0 0	food for thought	figurative	case	NOUN ADP PROPN ADP PROPN NOUN
Food for Thought	1 1 1	food for thought	figurative	case	NOUN ADP PROPN
‘ Plenty of food for thought in that.’	0 0 0 1 1 1 0 0	food for thought	figurative	identical	PUNCT NOUN ADP NOUN ADP NOUN ADP PUNCT
The prospect of a marriage between his most important baron in the North and the daughter of the English king's most dangerous enemy across the still ambiguous northern border must have given Rufus considerable food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	DET NOUN ADP DET NOUN ADP ADJ ADV ADJ NOUN ADP DET PROPN CCONJ DET NOUN ADP DET ADJ NOUN ADV ADJ NOUN ADP DET ADV ADJ ADJ NOUN VERB VERB VERB PROPN ADJ NOUN ADP NOUN
But last year's GBH was seven hour - and - a - half episodes of broad, jaundiced political satire laced with classic double - bluffs, highly effective set - pieces, a touch of ( Tory ) evil and an abundance of food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	CCONJ ADJ NOUN PROPN VERB NUM NOUN PUNCT CCONJ PUNCT DET PUNCT NOUN NOUN ADP ADJ ADJ ADJ NOUN VERB ADP ADJ ADJ PUNCT NOUN ADV ADJ NOUN PUNCT NOUN DET NOUN ADP PUNCT PROPN PUNCT NOUN CCONJ DET NOUN ADP NOUN ADP NOUN
Just before half - time City came back with a goal from Ian Baird it was well made and well taken … food for thought for the United defence and of course Smith who started off in the directors box but was down on the touchline after this incident in which David Penney charged into Junior Bent …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	ADV ADP ADJ PUNCT NOUN PROPN VERB ADV ADP DET NOUN ADP PROPN PROPN PRON VERB ADV VERB CCONJ ADV VERB PUNCT NOUN ADP NOUN ADP DET PROPN NOUN CCONJ ADP NOUN PROPN NOUN VERB PART ADP DET NOUN NOUN CCONJ VERB ADV ADP DET NOUN ADP DET NOUN ADP ADJ PROPN PROPN VERB ADP PROPN PROPN PUNCT
Food for thoughts, puns the hysterical Kate as they depart.	1 1 1 0 0 0 0 0 0 0	food for thought	figurative	combined-inflection	NOUN ADP NOUN VERB DET ADJ PROPN ADP PRON VERB
Food for thought	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
Food for thought	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
At the very least, the exhibition provides food for thought : as the 21st century nears, do we really want architecture that looks as if it was built in the 18th?	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	ADP DET ADV ADJ DET NOUN VERB NOUN ADP NOUN PUNCT ADP DET ADJ NOUN NOUN VERB PRON ADV VERB NOUN ADJ VERB ADP ADP PRON VERB VERB ADP DET NOUN
Food for thought.	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
food for thought	1 1 1	food for thought	figurative	identical	NOUN ADP NOUN
Incidentally, though Walker is held to be still more than a touch rusty after so long away from rugby — inclined, for instance, to carry the ball under the wrong arm — the rapidity with which he has come into cap contention ought to be food for thought for our own Jamie Henderson.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	food for thought	figurative	identical	ADV ADP PROPN VERB VERB PART VERB ADV ADJ ADP DET NOUN ADJ ADP ADV ADV ADV ADP NOUN PUNCT VERB ADP NOUN PART VERB DET NOUN ADP DET ADJ NOUN PUNCT DET NOUN ADP ADJ PRON VERB VERB ADP NOUN NOUN VERB PART VERB NOUN ADP NOUN ADP ADJ ADJ PROPN PROPN
Food for thought	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
We thought it might be a good idea to spend an evening aimed at providing some entertainment and some food for thought, not to mention some sustenance of more tangible nature.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	PRON VERB PRON VERB VERB DET ADJ NOUN PART VERB DET NOUN VERB ADP VERB DET NOUN CCONJ DET NOUN ADP NOUN ADV PART VERB DET NOUN ADP ADV ADJ NOUN
Finally, the pulse comparator arrangement shown in Fig. 3 has been provided as ‘ food for thought’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	dashes	ADV DET ADJ NOUN NOUN VERB ADP PROPN NUM VERB VERB VERB ADP ADJ NOUN ADP NOUN
Just something to give you some food for thought is there are two types of ability know what they are?	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	ADV NOUN PART VERB PRON DET NOUN ADP NOUN VERB ADV VERB NUM NOUN ADP NOUN VERB NOUN PRON VERB
Readers whose stomachs are turned will not partake of any food for thought.	0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	NOUN ADJ NOUN VERB VERB VERB ADV NOUN ADP DET NOUN ADP NOUN
If you attended the lunchtime fringe meeting on shops you probably had even more food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	ADP PRON VERB DET ADJ NOUN NOUN ADP NOUN PRON ADV VERB ADV ADJ NOUN ADP NOUN
food for thought	1 1 1	food for thought	figurative	identical	NOUN ADP NOUN
THE Scottish Amateur Rowing Association executive must have derived plenty of food for thought from open house discussions with clubs and individuals on Sunday, to help prepare the next development plan.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	DET PROPN PROPN PROPN PROPN NOUN VERB VERB VERB NOUN ADP NOUN ADP NOUN ADP ADJ NOUN NOUN ADP NOUN CCONJ NOUN ADP PROPN PART VERB VERB DET ADJ NOUN NOUN
Swindon's got a name as a town where the bubble hasn't burst, but high interest rates are giving those in the market place food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	PROPN VERB DET NOUN ADP DET NOUN ADV DET NOUN VERB VERB CCONJ ADJ NOUN NOUN VERB VERB DET ADP DET NOUN NOUN NOUN ADP NOUN
Yet a careful reading of the various standpoints will give much food for thought.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	ADV DET ADJ NOUN ADP DET ADJ NOUN VERB VERB ADJ NOUN ADP NOUN
His study certainly provides food for thought, though.	0 0 0 0 1 1 1 0	food for thought	figurative	identical	ADJ NOUN ADV VERB NOUN ADP NOUN ADV
Residential workers and social workers alike will find much food for thought in, for example : the feelings of new residents, the loneliness of group living, and the aspects of staff support which proved most helpful.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	ADJ NOUN CCONJ ADJ NOUN ADV VERB VERB ADJ NOUN ADP NOUN PART ADP NOUN PUNCT DET NOUN ADP ADJ NOUN DET NOUN ADP NOUN VERB CCONJ DET NOUN ADP NOUN NOUN ADJ VERB ADV ADJ
The red army marches on its stomach, although the dream of Wembley and premier league football is food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	DET ADJ NOUN NOUN ADP ADJ NOUN ADP DET NOUN ADP PROPN CCONJ ADJ NOUN NOUN VERB NOUN ADP NOUN
Food for thought as government issues registration scheme	1 1 1 0 0 0 0 0	food for thought	figurative	case	NOUN ADP NOUN ADP NOUN NOUN NOUN NOUN
Food for thought.	1 1 1	food for thought	figurative	case	NOUN ADP NOUN
But this is still a reading of great insight which I shall often return to, for it offers much food for thought.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	food for thought	figurative	identical	CCONJ DET VERB ADV DET NOUN ADP ADJ NOUN ADJ PRON VERB ADV VERB ADP ADP PRON VERB ADJ NOUN ADP NOUN
Having given you food for thought, I 'd like to move on to a discussion of the criteria and can I say right now that I think it would be right and proper to limit our discussion this morning to the criteria.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	food for thought	figurative	identical	VERB VERB PRON NOUN ADP NOUN PRON VERB VERB PART VERB PART ADP DET NOUN ADP DET NOUN CCONJ VERB PRON VERB ADV ADV ADP PRON VERB PRON VERB VERB ADJ CCONJ ADJ PART VERB ADJ NOUN DET NOUN ADP DET NOUN
