All spare pared dead wood they can clamber on	0 0 0 1 1 0 0 0 0	dead wood	figurative	identical	DET ADJ VERB ADJ NOUN PRON VERB VERB ADP
Similar efficiency programmes were soon seeking to remove ‘ dead wood’ from the public services ; and by 1935 an American national pension scheme had been enacted by Congress.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	figurative	dashes	ADJ NOUN NOUN VERB ADV VERB PART VERB ADJ ADJ NOUN ADP DET ADJ NOUN PUNCT CCONJ ADP NUM DET ADJ ADJ NOUN NOUN VERB VERB VERB ADP PROPN
The incoming chairman of a public company can swiftly dispose of dead wood, to arrange a board in sympathy with new policies.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	dead wood	figurative	identical	DET ADJ NOUN ADP DET ADJ NOUN VERB ADV VERB ADP ADJ NOUN PART VERB DET NOUN ADP NOUN ADP ADJ NOUN
They 're just getting rid of the dead wood at the moment ; there 'll be new jobs in new growth industries.’	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	figurative	identical	PRON VERB ADV VERB ADJ ADP DET ADJ NOUN ADP DET NOUN PUNCT ADV VERB VERB ADJ NOUN ADP ADJ NOUN PROPN
The largest living lemur, Indri indri, weighs 9 kg and lives in the Madagascar rain forests, feeding mainly on leaves, 40–70 % of sightings being of buds and young leaves being eaten, though fruits, seeds, dead wood and earth ( possibly involved in improving the physical texture of the food ) are also taken.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	literal	identical	DET ADJ NOUN NOUN PROPN NOUN VERB NUM NOUN CCONJ VERB ADP DET PROPN NOUN NOUN VERB ADV ADP NOUN NUM NOUN ADP NOUN VERB ADP NOUN CCONJ ADJ NOUN VERB VERB ADP NOUN NOUN ADJ NOUN CCONJ NOUN PUNCT ADV VERB ADP VERB DET ADJ NOUN ADP DET NOUN PUNCT VERB ADV VERB
The poor rarely fell trees : they mainly lop off small branches, twigs, roots and dead wood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	dead wood	figurative	identical	DET ADJ ADV VERB NOUN PUNCT PRON ADV VERB PART ADJ NOUN NOUN NOUN CCONJ ADJ NOUN
He took out his knife and cut away some of the dead wood from the rose trees.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	dead wood	figurative	identical	PRON VERB PART ADJ NOUN CCONJ VERB PART DET ADP DET ADJ NOUN ADP DET NOUN NOUN
' When he first came to Rangers there was a lot of dead - wood that needed to be sold.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	dead wood	figurative	dashes	PUNCT ADV PRON ADV VERB ADP PROPN ADV VERB DET NOUN ADP ADJ PUNCT NOUN ADJ VERB PART VERB VERB
The workers eat almost nothing but dead wood.	0 0 0 0 0 0 1 1	dead wood	figurative	identical	DET NOUN VERB ADV NOUN CCONJ ADJ NOUN
It may be that they are in fact onycophorans, a group of arthropods now represented by caterpillar - like velvet worms that burrow through dead wood in Australia.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	dead wood	literal	identical	PRON VERB VERB ADP PRON VERB ADP NOUN NOUN DET NOUN ADP NOUN ADV VERB ADP NOUN PUNCT ADJ NOUN NOUN ADJ NOUN ADP ADJ NOUN ADP PROPN
Long term insect action may produce modifications similar to that produced by wood - boring insects on dead wood ( Behrensmeyer, 1978 ; Thorne & Kimsey, 1983 ), but this does not seem to be common.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	literal	identical	ADJ NOUN NOUN NOUN VERB VERB NOUN ADJ ADP DET VERB ADP NOUN PUNCT ADJ NOUN ADP ADJ NOUN PUNCT PROPN NUM PUNCT PROPN CCONJ PROPN NUM PUNCT CCONJ DET VERB ADV VERB PART VERB ADJ
‘ I forced myself to write a chapter or two about the good things he did : getting rid of dead wood in the bureau ; eliminating corruption among his agents ; setting up a fingerprint system, an FBI laboratory that could serve as a technical resource for police forces all over the country.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead wood	figurative	identical	PUNCT PRON VERB PRON PART VERB DET NOUN CCONJ NUM ADP DET ADJ NOUN PRON VERB PUNCT VERB ADJ ADP ADJ NOUN ADP DET NOUN PUNCT VERB NOUN ADP ADJ NOUN PUNCT VERB PART DET NOUN NOUN DET PROPN NOUN ADJ VERB VERB ADP DET ADJ NOUN ADP NOUN NOUN ADV ADP DET NOUN
