Oh go up in smoke.	0 1 1 1 1	go up in smoke	figurative	identical	INTJ VERB PART ADP NOUN
Sport now … and as England's cricketers ' hopes of saving the ashes go up in smoke … we'll catch up with the women who 're hoping to restore some national pride.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go up in smoke	figurative	identical	NOUN ADV PUNCT CCONJ ADP PROPN NOUN PART NOUN ADP VERB DET NOUN VERB PART ADP NOUN PUNCT PRON VERB PART ADP DET NOUN NOUN VERB VERB PART VERB DET ADJ NOUN
Late one night she forgets to turn off the gas after heating up some left - over mutton vindaloo, and a loud explosion rocks the mansion as Tracey's beautiful designer kitchen goes up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	inflection	ADJ NUM NOUN PRON VERB PART VERB PART DET NOUN ADP VERB PART DET ADV PUNCT PART NOUN NOUN CCONJ DET ADJ NOUN VERB DET NOUN ADP PROPN ADJ NOUN NOUN VERB PART ADP NOUN
The result was all wrong … 6 - 2 on aggregate to Tranmere but there was a flicker of hope in the flames as United's cup run went up in smoke …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	go up in smoke	figurative	inflection	DET NOUN VERB DET ADJ PUNCT NUM SYM NUM ADP NOUN ADP PROPN CCONJ ADV VERB DET NOUN ADP NOUN ADP DET NOUN ADP PROPN NOUN NOUN VERB PART ADP NOUN PUNCT
This causes onlookers to despair, and TV schedules to go up in smoke, which can't please Philip Morris, the sponsor.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	go up in smoke	figurative	identical	DET VERB NOUN ADP NOUN CCONJ NOUN NOUN PART VERB PART ADP NOUN ADJ VERB VERB PROPN PROPN DET NOUN
Such deliberation, while the youth of Britain were liable to go up in smoke, outraged many.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	go up in smoke	figurative	identical	ADJ NOUN ADP DET NOUN ADP PROPN VERB ADJ PART VERB PART ADP NOUN VERB ADJ
Counting the cost of a fire which has brought his business to a standstill and caused ten years of research to go up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	identical	VERB DET NOUN ADP DET NOUN ADJ VERB VERB ADJ NOUN ADP DET NOUN CCONJ VERB NUM NOUN ADP NOUN PART VERB PART ADP NOUN
Five grand, no problem as long as you 're prepared to er go up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	identical	NUM NOUN DET NOUN ADV ADV ADP PRON VERB ADJ PART INTJ VERB PART ADP NOUN
For the next three hours I witness a surreal nightmare of racing fire engines, caravans of police cars with blue and red lights flashing, a few looting bands, but mostly residents in bathrobes and curlers, gathered in silence to watch corner markets go up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	identical	ADP DET ADJ NUM NOUN PRON VERB DET ADJ NOUN ADP VERB NOUN NOUN NOUN ADP NOUN NOUN ADP ADJ CCONJ ADJ NOUN NOUN DET ADJ NOUN NOUN CCONJ ADV NOUN ADP NOUN CCONJ NOUN VERB ADP NOUN PART VERB NOUN NOUN VERB PART ADP NOUN
SCRAM found itself caught in the middle between those who felt nonviolent protest was the only way and those who really wanted to see the whole place go up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	identical	NOUN VERB PRON VERB ADP DET NOUN ADP DET NOUN VERB ADJ NOUN VERB DET ADJ NOUN CCONJ DET NOUN ADV VERB PART VERB DET ADJ NOUN VERB PART ADP NOUN
Oh Taurus Since you may not be capable capable, qualified or experienced enough to deal with certain matters, even partners, family matters or legal advices to act on your behalf, and there lies your problem, because some of your plans maybe go up in smoke unless you get actively involved, so legal matters needs to be	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	go up in smoke	figurative	identical	INTJ PROPN ADP PRON VERB ADV VERB ADJ ADJ ADJ CCONJ VERB ADV PART VERB ADP ADJ NOUN ADV NOUN NOUN NOUN CCONJ ADJ NOUN PART VERB ADP ADJ NOUN CCONJ ADV VERB ADJ NOUN ADP DET ADP ADJ NOUN ADV VERB PART ADP NOUN ADP PRON VERB ADV VERB ADV ADJ NOUN VERB PART VERB
Oh, crumbs, she thought, any faint hope she might have nursed of still being able to make it to Prague and Karlovy Vary just gone up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	inflection	INTJ NOUN PRON VERB DET ADJ NOUN PRON VERB VERB VERB ADP ADV VERB ADJ PART VERB PRON ADP PROPN CCONJ PROPN PROPN ADV VERB PART ADP NOUN
So scum are now 13 points ahead, and our 14 match unbeaten run goes up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	inflection	ADV NOUN VERB ADV NUM NOUN ADV CCONJ ADJ NUM NOUN ADJ NOUN VERB PART ADP NOUN
Nor did any intuition, any extra sense, alert him to the fact that part of the case he was quietly and imperceptibly building up inside him was going up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	inflection	CCONJ VERB DET NOUN DET ADJ NOUN VERB PRON ADP DET NOUN ADP NOUN ADP DET NOUN PRON VERB ADV CCONJ ADV VERB PART ADP PRON VERB VERB PART ADP NOUN
But there was only misery for Middlesbrough as their treble hopes went up in smoke with a 4–2 defeat at home to Portsmouth in their replay.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	go up in smoke	figurative	inflection	CCONJ ADV VERB ADV NOUN ADP PROPN ADP ADJ ADJ NOUN VERB PART ADP NOUN ADP DET NUM NOUN ADP NOUN ADP PROPN ADP ADJ NOUN
Mike's joke goes up in smoke …	0 0 1 1 1 1 0	go up in smoke	figurative	inflection	PROPN NOUN VERB PART ADP NOUN PUNCT
Drug baron's limousines go up in smoke	0 0 0 1 1 1 1	go up in smoke	figurative	identical	NOUN NOUN NOUN VERB PART ADP NOUN
Three hundred tons of freshly harvested hay and straw went up in smoke.	0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	inflection	NUM NUM NOUN ADP ADV VERB NOUN CCONJ NOUN VERB PART ADP NOUN
Hopes of renewed love and peace soon went up in smoke.	0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	inflection	NOUN ADP VERB NOUN CCONJ NOUN ADV VERB PART ADP NOUN
In a debt restructuring, the northern eurozone countries ( including France ) will see ~ hundreds of billions of euros go up in smoke.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	go up in smoke	figurative	identical	ADP DET NOUN NOUN DET ADJ NOUN NOUN PUNCT VERB PROPN PUNCT VERB VERB PUNCT NOUN ADP NOUN ADP NOUN VERB PART ADP NOUN
When a person goes up in smoke	0 0 0 1 1 1 1	go up in smoke	figurative	inflection	ADV DET NOUN VERB PART ADP NOUN
Yeah, we can get started on that anyway, sort of thing before we Erm should the house go up in smoke, Theresa across the road run to her	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	go up in smoke	figurative	identical	INTJ PRON VERB VERB VERB ADP DET ADV ADV ADP NOUN ADP PRON PROPN VERB DET NOUN VERB PART ADP NOUN PROPN ADP DET NOUN VERB ADP PRON
BELFAST could soon see annual profits of over £ 1 m go up in smoke and become a dumping ground for waste from all over Europe, it was warned today.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go up in smoke	figurative	identical	PROPN VERB ADV VERB ADJ NOUN ADP ADP SYM NUM NOUN VERB PART ADP NOUN CCONJ VERB DET VERB NOUN ADP NOUN ADP ADV ADP PROPN PRON VERB VERB NOUN
A POLO sponsorship deal won by Major Ron Ferguson has gone up in smoke — only weeks after Fergie's topless snaps were revealed.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	go up in smoke	figurative	inflection	DET PROPN NOUN NOUN VERB ADP PROPN PROPN PROPN VERB VERB PART ADP NOUN PUNCT ADJ NOUN ADP PROPN NOUN NOUN VERB VERB
