Half of Shelbyville is piling onto him, resenting his obstruction, which forces my hand a bit.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	force someone's hand	figurative	combined-inflection	NOUN ADP PROPN VERB VERB ADP PRON VERB ADJ NOUN ADJ VERB ADJ NOUN DET NOUN
Spitting and spluttering, forcing his flailing hands and knees to get a grip on the earth and push him back upright, he heard the rushing creak of the rickshaw's wheels and the patter of feet as the haulier sped off into the night.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	literal	combined-inflection	VERB CCONJ NOUN VERB ADJ VERB NOUN CCONJ NOUN PART VERB DET NOUN ADP DET NOUN CCONJ VERB PRON ADV ADJ PRON VERB DET VERB NOUN ADP DET NOUN NOUN CCONJ DET NOUN ADP NOUN ADP DET ADJ VERB PART ADP DET NOUN
It is possible that Richard's letter to York did mark the beginning of a planned chain of events but that something then forced his hand and he found himself having to deal with Hastings before his plans had matured.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	literal	combined-inflection	PRON VERB ADJ ADP PROPN NOUN ADP PROPN VERB VERB DET NOUN ADP DET VERB NOUN ADP NOUN CCONJ ADP NOUN ADV VERB ADJ NOUN CCONJ PRON VERB PRON VERB PART VERB ADP PROPN ADP ADJ NOUN VERB VERB
Gloucestershire County Council says its reluctant to make the cuts, and blames the Government for forcing its hand.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	force someone's hand	figurative	combined-inflection	PROPN PROPN PROPN VERB ADJ NOUN PART VERB DET NOUN CCONJ VERB DET PROPN ADP VERB ADJ NOUN
‘ By the grace of God, yes,’ he said, and leaned and took her gently by the wrist, but did not force her hand away.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	force someone's hand	literal	possessive	PUNCT ADP DET NOUN ADP PROPN PROPN PRON VERB CCONJ VERB CCONJ VERB PRON ADV ADP DET NOUN CCONJ VERB ADV VERB ADJ NOUN ADV
‘ Three of them raped her, one first forced his hand into her at knifepoint and then made her lick her own blood.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	literal	combined-inflection	PUNCT NUM ADP PRON VERB PRON NUM ADV VERB ADJ NOUN ADP PRON ADP NOUN CCONJ ADV VERB ADJ NOUN ADJ ADJ NOUN
He 'd threatened to withdraw his money from the Bank of England in 1832 like all the other manufacturers of his acquaintance, and to withhold his taxes, in a bid to force the government's hand so that the new industrial cities could elect their own MPs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	PRON VERB VERB PART VERB ADJ NOUN ADP DET PROPN ADP PROPN ADP NUM ADP ADJ DET ADJ NOUN ADP ADJ NOUN CCONJ PART VERB ADJ NOUN ADP DET NOUN PART VERB DET NOUN NOUN ADP ADP DET ADJ ADJ NOUN VERB VERB ADJ ADJ NOUN
The twin arms of that mechanical gibbet forced his hands down into the liquid, which sizzled and steamed.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	force someone's hand	literal	combined-inflection	DET ADJ NOUN ADP DET ADJ NOUN VERB ADJ NOUN PART ADP DET NOUN ADJ VERB CCONJ VERB
The reason for approaching the Archbishop in such a manner was essentially to ‘ force his hand’ as, according to Mrs Whitehouse, he had frequently seemed unwilling to become involved in public debates on questions of morals.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	DET NOUN ADP VERB DET PROPN ADP ADJ DET NOUN VERB ADV ADP PUNCT NOUN ADJ NOUN ADP VERB ADP PROPN PROPN PRON VERB ADV VERB ADJ PART VERB ADJ ADP ADJ NOUN ADP NOUN ADP NOUN
According to the magazine ENDS, it seems likely that ' at least five years will elapse before further NSAs are [ then]designated unless the government's hand is forced by EEC legislation. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	force someone's hand	figurative	misc	VERB ADP DET NOUN NOUN PRON VERB ADJ ADP PUNCT ADV ADV NUM NOUN VERB VERB ADP ADJ NOUN VERB PUNCT VERB ADP DET NOUN NOUN VERB VERB ADP PROPN NOUN PUNCT
( That would tie in with the pregnancy in the summer — an earlier attempt to force Steen's hand. )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	force someone's hand	figurative	combined-inflection	PUNCT DET VERB VERB PART ADP DET NOUN ADP DET NOUN PUNCT DET ADJ NOUN PART VERB PROPN NOUN PUNCT
Brussels concedes that government pressure for payment might force CNP into receivership, but has nevertheless launched legal proceedings which may have the effect of forcing the government's hand.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	force someone's hand	figurative	combined-inflection	PROPN VERB ADP NOUN NOUN ADP NOUN VERB VERB PROPN ADP NOUN CCONJ VERB ADV VERB ADJ NOUN ADJ VERB VERB DET NOUN ADP VERB DET NOUN NOUN
So OK, he 'd probably never have married her if his hand hadn't been forced, or at least not so quickly, but didn't some of his behaviour indicate that perhaps he wasn't quite so averse to the situation as he pretended?	0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	figurative	misc	ADV INTJ PRON VERB ADV ADV VERB VERB PRON ADP ADJ NOUN VERB VERB VERB CCONJ ADP ADJ ADV ADV ADV CCONJ VERB DET ADP ADJ NOUN VERB ADP ADV PRON VERB ADV ADV ADJ ADP DET NOUN ADP PRON VERB
It is possible that Richard's letter to York did mark the beginning of a planned chain of events but that something then forced his hand and he found himself having to deal with Hastings before his plans had matured.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	PRON VERB ADJ ADP PROPN NOUN ADP PROPN VERB VERB DET NOUN ADP DET VERB NOUN ADP NOUN CCONJ ADP NOUN ADV VERB ADJ NOUN CCONJ PRON VERB PRON VERB PART VERB ADP PROPN ADP ADJ NOUN VERB VERB
He then forced Ranulf's hand close to that of the corpse.	0 0 1 1 1 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	PRON ADV VERB PROPN NOUN ADV ADP DET ADP DET NOUN
‘ Trying to force my hand!’	0 0 0 1 1 1	force someone's hand	figurative	combined-inflection	PUNCT VERB PART VERB ADJ NOUN
There had been Ministerial resignations and they 'd forced Chamberlain's hand.	0 0 0 0 0 0 0 0 1 1 1	force someone's hand	figurative	combined-inflection	ADV VERB VERB ADJ NOUN CCONJ PRON VERB VERB PROPN NOUN
Stephen felt compelled to try to force the government's hand in extending the registry.	0 0 0 0 0 0 1 0 1 1 0 0 0 0	force someone's hand	figurative	combined-inflection	PROPN VERB VERB PART VERB PART VERB DET NOUN NOUN ADP VERB DET NOUN
The fact that she was pregnant was forcing both their hands in a way which was nearly amusing.	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	DET NOUN ADP PRON VERB ADJ VERB VERB CCONJ ADJ NOUN ADP DET NOUN ADJ VERB ADV ADJ
They rushed out into Regent's Park — out of earshot — and Simon told her, yes of course he was forcing her hand, it was blackmail : he did love her so, she was the right one for him and he 'd take her tomorrow on five hundred pounds, if someone would lend them to him, and he did rather fancy himself as a married man at twenty - one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	PRON VERB PART ADP PROPN PROPN PUNCT ADP ADP NOUN PUNCT CCONJ PROPN VERB PRON INTJ ADP NOUN PRON VERB VERB ADJ NOUN PRON VERB ADJ PUNCT PRON VERB VERB PRON ADV PRON VERB DET ADJ NOUN ADP PRON CCONJ PRON VERB VERB PRON NOUN ADP NUM NUM NOUN ADP NOUN VERB VERB PRON ADP PRON CCONJ PRON VERB ADV VERB PRON ADP DET ADJ NOUN ADP NUM PUNCT NUM
However, with attendances falling and United facing a potentially damaging FA Cup third - round draw away to Nottingham Forest, Edwards's hand may yet be forced.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1	force someone's hand	figurative	misc	ADV ADP NOUN VERB CCONJ PROPN VERB DET ADV ADJ PROPN PROPN ADJ PUNCT NOUN VERB ADV ADP PROPN PROPN PROPN NOUN VERB ADV VERB VERB
But it was the arrival of the brilliant paper from the much younger, socially insignificant Alfred Russel Wallace which forced his hand — affording Darwin the full posthumous credit for Wallace's discovery, and the bequeathing to subsequent generations of a " Darwinian bias " which is considerably less enlightened than Wallace's own interpretation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	force someone's hand	figurative	combined-inflection	CCONJ PRON VERB DET NOUN ADP DET ADJ NOUN ADP DET ADV ADJ ADV ADJ PROPN PROPN PROPN ADJ VERB ADJ NOUN PUNCT VERB PROPN DET ADJ ADJ NOUN ADP PROPN NOUN CCONJ DET NOUN ADP ADJ NOUN ADP DET PUNCT ADJ NOUN PUNCT ADJ VERB ADV ADV ADJ ADP PROPN ADJ NOUN
