‘ Someone's been telling tales …	0 0 0 1 1 0	tell tales	figurative	inflection	PUNCT NOUN VERB VERB NOUN PUNCT
The pyramids were already 2,000 years old when Herodotus visited them in the middle of the fifth century BC, but he found the Egyptians still told tales of misery about their construction, the horrors suffered by the populace.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	tell tales	figurative	inflection	DET NOUN VERB ADV NUM NOUN ADJ ADV PROPN VERB PRON ADP DET NOUN ADP DET ADJ NOUN PROPN CCONJ PRON VERB DET PROPN ADV VERB NOUN ADP NOUN ADP ADJ NOUN DET NOUN VERB ADP DET NOUN
The Forum will focus on four main topics — A VIEW FROM THE BROADCASTERS ( reflecting on the range of schemes now available in the regions for new directors, for example, BBC Bristol's 10x10 ; TVS / Southern Arts — Take One;— Shoot First etc ) ; NEW FICTIONS, NEW WRITERS — where are the opportunities for new dramas and new ways of telling tales? ;	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	tell tales	literal	inflection	DET PROPN VERB VERB ADP NUM ADJ NOUN PUNCT DET NOUN ADP DET NOUN PUNCT VERB ADP DET NOUN ADP NOUN ADV ADJ ADP DET NOUN ADP ADJ NOUN ADP NOUN PROPN PROPN NUM PUNCT PROPN SYM PROPN PROPN PUNCT VERB NOUN NOUN ADJ X PUNCT PUNCT ADJ NOUN ADJ NOUN PUNCT ADV VERB DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP VERB NOUN PUNCT
I lived to tell the tale, but my aeroplane, G - FLIX, Flyer's own, didn't.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	tell tales	figurative	combined-inflection	PRON VERB PART VERB DET NOUN CCONJ ADJ NOUN NOUN PUNCT PROPN PROPN ADJ VERB
Unfortunately, the spatial resolution of the best radar images so far obtained is too poor to have revealed such tell - tale signs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	tell tales	figurative	combined-inflection	ADV DET ADJ NOUN ADP DET ADJ NOUN NOUN ADV ADV VERB VERB ADV ADJ PART VERB VERB ADJ ADJ PUNCT ADJ NOUN
Most commonly, tales are told of mermaids who fall in love with mortal men and painfully shed their tail in order to be able to live with them on land.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	literal	misc	ADV ADV NOUN VERB VERB ADP NOUN NOUN VERB ADP NOUN ADP ADJ NOUN CCONJ ADV VERB ADJ NOUN ADP NOUN PART VERB ADJ PART VERB ADP PRON ADP NOUN
( For a clear explanation of tell - tale gaps, see Chambers, 1977. )	0 0 0 0 0 0 1 0 1 0 0 0 0 0	tell tales	figurative	combined-inflection	PUNCT ADP DET ADJ NOUN ADP ADJ PUNCT NOUN NOUN VERB NOUN NUM PUNCT
He could tell endless tales, normally with himself as the butt.	0 0 1 0 1 0 0 0 0 0 0	tell tales	literal	insertion-other	PRON VERB VERB ADJ NOUN ADV ADP PRON ADP DET NOUN
That's a tale for someone who tells tales.	0 0 0 0 0 0 1 1	tell tales	figurative	inflection	DET DET NOUN ADP NOUN NOUN VERB NOUN
Bigger waves undoubtedly occur, but those who witness them do not return to tell the tale.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tell tales	literal	combined-inflection	ADJ NOUN ADV VERB CCONJ DET NOUN VERB PRON VERB ADV VERB PART VERB DET NOUN
‘ Caught telling tales again.’	0 0 1 1 0	tell tales	figurative	inflection	PUNCT PROPN VERB NOUN NUM
‘ Now you don't want us telling tales out of school, do you?’	0 0 0 0 0 0 1 1 0 0 0 0 0	tell tales	figurative	inflection	PUNCT ADV PRON VERB VERB PRON VERB NOUN ADP ADP NOUN VERB NOUN
And then go on to tell this tale.	0 0 0 0 0 1 0 1	tell tales	literal	combined-inflection	CCONJ ADV VERB PART PART VERB DET NOUN
Tales were told of trips abroad and their social pitfalls.	1 0 1 0 0 0 0 0 0 0	tell tales	figurative	misc	NOUN VERB VERB ADP NOUN ADV CCONJ ADJ ADJ NOUN
‘ It is natural for men to tell tales, and I suppose the short story was created in the night of time when the hunter, to beguile the leisure of his fellows when they had eaten and drunk their fill, narrated by the cavern fire some fantastic incident he had hear of.’	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	figurative	identical	PUNCT PRON VERB ADJ ADP NOUN PART VERB NOUN CCONJ PRON VERB DET ADJ NOUN VERB VERB ADP DET NOUN ADP NOUN ADV DET NOUN PART VERB DET NOUN ADP ADJ NOUN ADV PRON VERB VERB CCONJ VERB ADJ NOUN VERB ADP DET ADJ NOUN DET ADJ NOUN PRON VERB VERB ADP
He's telling the tale from his bed, all about the fact that he asked his wife if before the end he could see another woman from his past.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	literal	combined-inflection	PRON VERB DET NOUN ADP ADJ NOUN ADV ADP DET NOUN ADP PRON VERB ADJ NOUN ADP ADP DET NOUN PRON VERB VERB DET NOUN ADP ADJ NOUN
' I 'll tell no tales.	0 0 0 1 0 1	tell tales	figurative	insertion-other	PUNCT PRON VERB VERB DET NOUN
The biographies of those arrested tell a similar tale to those of other eighteenth - century riots.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	tell tales	literal	combined-inflection	DET NOUN ADP DET VERB VERB DET ADJ NOUN ADP DET ADP ADJ ADJ PUNCT NOUN NOUN
Written in 1962 by tennis star Pat Cash's late aunt Deirdre Cash, who wrote under the pen - name Criana Rohan, it told the tale of working class urban lovers, who grew up in the harsh environment of Australia in the Fifties.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	literal	combined-inflection	VERB ADP NUM ADP NOUN NOUN PROPN PROPN ADJ NOUN PROPN PROPN NOUN VERB ADP DET NOUN PUNCT NOUN PROPN PROPN PRON VERB DET NOUN ADP VERB NOUN ADJ NOUN NOUN VERB PART ADP DET ADJ NOUN ADP PROPN ADP DET PROPN
Played out by amateur actors, it tells the tale of a bored teenager.	0 0 0 0 0 0 1 0 1 0 0 0 0	tell tales	literal	combined-inflection	VERB PART ADP ADJ NOUN PRON VERB DET NOUN ADP DET ADJ NOUN
Unlike civilian frogmen, who use compressed air, Crabb was using the naval closed - circuit oxygen diving equipment which leaves no trail of tell - tale bubbles to disclose a diver's presence.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	tell tales	figurative	combined-inflection	ADP ADJ NOUN NOUN VERB ADJ NOUN PROPN VERB VERB DET ADJ ADJ PUNCT NOUN NOUN NOUN NOUN ADJ VERB DET NOUN ADP ADJ PUNCT NOUN NOUN PART VERB DET NOUN NOUN
Yes I think they was had up, if they were alive t, excuse me, to tell the tale.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tell tales	figurative	combined-inflection	INTJ PRON VERB PRON VERB VERB PART ADP PRON VERB ADJ NOUN VERB PRON PART VERB DET NOUN
Debbie Taylor tells a tale with a twist.	0 0 1 0 1 0 0 0	tell tales	figurative	combined-inflection	PROPN PROPN VERB DET NOUN ADP DET NOUN
All these are antisemitic texts, telling a tale of conspiracy only slightly more sophisticated than the Protocols.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	tell tales	figurative	combined-inflection	ADJ DET VERB ADJ NOUN VERB DET NOUN ADP NOUN ADV ADV ADV ADJ ADP DET PROPN
A yunker who had been in the Winter Palace told a highly - coloured tale of the heroism of himself and his comrades, and disgraceful conduct of the Red ~ Guards - all of which was devoutly believed.	0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tell tales	literal	combined-inflection	DET NOUN NOUN VERB VERB ADP DET PROPN PROPN VERB DET ADV PUNCT VERB NOUN ADP DET NOUN ADP PRON CCONJ ADJ NOUN CCONJ ADJ NOUN ADP DET PROPN PUNCT PROPN PUNCT DET ADP ADJ VERB ADV VERB
Theatres specialise for children, ready to tell us tales, ancient and modern, in spectacular fashion.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	tell tales	literal	insertion-other	NOUN VERB ADP NOUN ADJ PART VERB PRON NOUN ADJ CCONJ ADJ ADP ADJ NOUN
