THE Goldsmith factor had beer shares on the hop yesterday.	0 0 0 0 0 0 1 0 1 0	on the hop	figurative	identical	DET ADJ NOUN VERB NOUN NOUN ADP DET NOUN NOUN
They catch you on the hop.	0 0 0 1 0 1	on the hop	figurative	identical	PRON VERB PRON ADP DET NOUN
Compliments always caught Miss Gilberd on the hop, she was so little used to them.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the hop	figurative	identical	NOUN ADV VERB PROPN PROPN ADP DET NOUN PRON VERB ADV ADJ ADJ ADP PRON
Like Julia, in the earlier book, Beth catches things ‘ on the hop’— almost as a student whose mind is more imaginative than philosophical will react to a first reading of Bishop Berkeley by quickly turning his head, hoping to witness the sudden appearance or disappearance of those external objects which are supposed to depend on his perception of them for their existence.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the hop	figurative	dashes	ADP PROPN ADP DET ADJ NOUN PROPN VERB NOUN VERB ADP DET NOUN ADV ADP DET NOUN ADJ NOUN VERB ADV ADJ ADP ADJ VERB VERB ADP DET ADJ NOUN ADP PROPN PROPN ADP ADV VERB ADJ NOUN VERB PART VERB DET ADJ NOUN CCONJ NOUN ADP DET ADJ NOUN ADJ VERB VERB PART VERB ADP ADJ NOUN ADP PRON ADP ADJ NOUN
‘ Well, he sounded surprised and a bit worried — as if he 'd been caught on the hop.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the hop	figurative	dashes	PUNCT INTJ PRON VERB ADJ CCONJ DET NOUN ADJ PUNCT ADP ADP PRON VERB VERB VERB ADP DET NOUN
Sorry about the mess but you caught me on the hop like.	0 0 0 0 0 0 0 0 1 0 1 0	on the hop	figurative	identical	ADJ ADP DET NOUN CCONJ PRON VERB PRON ADP DET NOUN ADP
I CAUGHT Bob Dockerty on the hop last month.	0 0 0 0 1 0 1 0 0	on the hop	figurative	identical	PRON VERB PROPN PROPN ADP DET NOUN ADJ NOUN
I had not thought of catching things on the hop, as Ivy would say.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the hop	figurative	identical	PRON VERB ADV VERB ADP VERB NOUN ADP DET NOUN ADP PROPN VERB VERB
PUNDITS who advised the 2 m shareholders of British Gas to sell their shares have been caught on the hop.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the hop	figurative	identical	NOUN NOUN VERB DET NUM NOUN NOUN ADP PROPN PROPN PART VERB ADJ NOUN VERB VERB VERB ADP DET NOUN
Caught on the hop!	0 1 0 1	on the hop	figurative	identical	VERB ADP DET NOUN
NORTH Sea oilmen were caught on the hop by petroleum tax changes announced by the Chancellor — and many did not like what they heard.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the hop	figurative	identical	PROPN PROPN NOUN VERB VERB ADP DET NOUN ADP NOUN NOUN NOUN VERB ADP DET PROPN PUNCT CCONJ ADJ VERB ADV VERB NOUN PRON VERB
It's too hard to think on, you know, on the hop, you know, it's not a, it's impossible.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the hop	figurative	identical	PRON ADV ADJ PART VERB ADP PRON VERB ADP DET NOUN PRON VERB PRON ADV DET PRON ADJ
It is better to recognise that situation in good time rather than being caught on the hop.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the hop	figurative	dashes	PRON VERB ADJ PART VERB DET NOUN ADP ADJ NOUN ADV ADP VERB VERB ADP DET NOUN
Yes, I think I caught her on the hop.	0 0 0 0 0 0 1 0 1	on the hop	figurative	identical	INTJ PRON VERB PRON VERB PRON ADP DET NOUN
You caught us on the hop there, ol' buddy.	0 0 0 1 0 1 0 0 0	on the hop	figurative	identical	PRON VERB PRON ADP DET NOUN ADV ADJ NOUN
‘ Caught you on the hop this morning!’ said Postie.	0 0 0 1 0 1 0 0 0 0	on the hop	figurative	identical	PUNCT VERB PRON ADP DET NOUN DET PROPN VERB PROPN
This surprise offer of a legitimate job with a very famous star, a very famous director and a lot of money caught Jack on the hop.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the hop	figurative	identical	DET NOUN NOUN ADP DET ADJ NOUN ADP DET ADV ADJ NOUN DET ADV ADJ NOUN CCONJ DET NOUN ADP NOUN VERB PROPN ADP DET NOUN
In the main cash market, dealers who have progressively flattened their trading books over the past two weeks were caught on the hop by the sudden decision of several large institutions to buy stock while voting was still going on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the hop	figurative	identical	ADP DET ADJ NOUN NOUN NOUN NOUN VERB ADV VERB ADJ NOUN NOUN ADP DET ADJ NUM NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP ADJ ADJ NOUN PART VERB NOUN ADP NOUN VERB ADV VERB PART
Er, caught me on the hop.	0 0 0 1 0 1	on the hop	figurative	identical	INTJ VERB PRON ADP DET NOUN
FOURTEEN months ago Matchbox announced that repeats of the TV series Thunderbirds had caught them on the hop and they wouldn't be able to supply any tie - in toys for Christmas 1991.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the hop	figurative	identical	PROPN NOUN ADV PROPN VERB ADP NOUN ADP DET NOUN NOUN PROPN VERB VERB PRON ADP DET NOUN CCONJ PRON VERB VERB ADJ PART VERB DET NOUN PUNCT PART NOUN ADP PROPN NUM
