Yeah but it does rather sort of fit the bill doesn't it.	0 0 0 0 0 0 0 1 0 1 0 0	fit the bill	figurative	identical	INTJ CCONJ PRON VERB ADV ADV ADV VERB DET NOUN VERB PRON	▁Ye ah ▁but ▁it ▁does ▁rather ▁sort ▁of ▁fit ▁the ▁bill ▁does n ' t ▁it .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	INTJ INTJ CCONJ PRON VERB ADV ADV ADV VERB DET NOUN VERB VERB VERB VERB PRON PRON
There must be someone to fit the bill in the League of Ireland Declan?	0 0 0 0 0 1 0 1 0 0 0 0 0 0	fit the bill	figurative	identical	ADV VERB VERB NOUN PART VERB DET NOUN ADP DET PROPN ADP PROPN PROPN	▁There ▁must ▁be ▁someone ▁to ▁fit ▁the ▁bill ▁in ▁the ▁League ▁of ▁Ireland ▁Dec lan ?	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	ADV VERB VERB NOUN PART VERB DET NOUN ADP DET PROPN ADP PROPN PROPN PROPN PROPN
Okay, Health Master, is that the plan that's going to fit the bill.	0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	INTJ PROPN PROPN VERB ADP DET NOUN ADJ VERB PART VERB DET NOUN	▁O ka y , ▁Health ▁Master , ▁is ▁that ▁the ▁plan ▁that ' s ▁going ▁to ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	INTJ INTJ INTJ INTJ PROPN PROPN PROPN VERB ADP DET NOUN ADJ ADJ ADJ VERB PART VERB DET NOUN NOUN
For those who fit the bill the rewards can be considerable and usually reflect the size of the responsibility.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	identical	ADP DET NOUN VERB DET NOUN DET NOUN VERB VERB ADJ CCONJ ADV VERB DET NOUN ADP DET NOUN	▁For ▁those ▁who ▁fit ▁the ▁bill ▁the ▁reward s ▁can ▁be ▁considerable ▁and ▁usually ▁reflect ▁the ▁size ▁of ▁the ▁responsibility .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN VERB DET NOUN DET NOUN NOUN VERB VERB ADJ CCONJ ADV VERB DET NOUN ADP DET NOUN NOUN
The attic apartment perfectly fitted the bill and was much in demand.	0 0 0 0 1 0 1 0 0 0 0 0	fit the bill	figurative	inflection	DET ADJ NOUN ADV VERB DET NOUN CCONJ VERB ADJ ADP NOUN	▁The ▁at tic ▁apart ment ▁perfectly ▁fitted ▁the ▁bill ▁and ▁was ▁much ▁in ▁demand .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	DET ADJ ADJ NOUN NOUN ADV VERB DET NOUN CCONJ VERB ADJ ADP NOUN NOUN
He 'd need someone as a safety valve — you fit the bill.’	0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	dashes	PRON VERB VERB NOUN ADP DET NOUN NOUN PUNCT PRON VERB DET NOUN	▁He ▁' d ▁need ▁someone ▁as ▁a ▁safety ▁valve ▁ — ▁you ▁fit ▁the ▁bill . ’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB VERB VERB NOUN ADP DET NOUN NOUN PUNCT PUNCT PRON VERB DET NOUN NOUN NOUN
Only the Lockheed Hercules would fit the bill.	0 0 0 0 0 1 0 1	fit the bill	figurative	identical	ADV DET PROPN PROPN VERB VERB DET NOUN	▁Only ▁the ▁L ock he ed ▁Her cul es ▁would ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN NOUN
The search becomes desperate and one begins to get the impression that Aristotle alone is going to fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	DET NOUN VERB ADJ CCONJ NOUN VERB PART VERB DET NOUN ADP PROPN ADV VERB VERB PART VERB DET NOUN	▁The ▁search ▁becomes ▁desperate ▁and ▁one ▁begins ▁to ▁get ▁the ▁impression ▁that ▁Ari s to tle ▁alone ▁is ▁going ▁to ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN VERB ADJ CCONJ NOUN VERB PART VERB DET NOUN ADP PROPN PROPN PROPN PROPN ADV VERB VERB PART VERB DET NOUN NOUN
The groups who were deemed worthy of attention played scratchy guitar music, usually very fast and The Wedding Present fitted the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	inflection	DET NOUN NOUN VERB VERB ADJ ADP NOUN VERB ADJ NOUN NOUN ADV ADV ADJ CCONJ DET PROPN PROPN VERB DET NOUN	▁The ▁groups ▁who ▁were ▁deemed ▁worthy ▁of ▁attention ▁played ▁scratch y ▁ gui tar ▁music , ▁usually ▁very ▁fast ▁and ▁The ▁We dding ▁Present ▁fitted ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN NOUN VERB VERB ADJ ADP NOUN VERB ADJ ADJ NOUN NOUN NOUN NOUN NOUN ADV ADV ADJ CCONJ DET PROPN PROPN PROPN VERB DET NOUN NOUN
Which fits the bill perfectly.	0 1 0 1 0	fit the bill	figurative	inflection	ADJ VERB DET NOUN ADV	▁Which ▁fits ▁the ▁bill ▁perfectly .	0 1 0 1 0 0	ADJ VERB DET NOUN ADV ADV
He had specifically wanted somewhere with a farm and Highgrove had 410 acres ; also, to be within easy range of his friends and relatives, and again it fitted the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	inflection	PRON VERB ADV VERB ADV ADP DET NOUN CCONJ PROPN VERB NUM NOUN PUNCT ADV PART VERB ADP ADJ NOUN ADP ADJ NOUN CCONJ NOUN CCONJ ADV PRON VERB DET NOUN	▁He ▁had ▁specifically ▁wanted ▁somewhere ▁with ▁a ▁farm ▁and ▁High g rov e ▁had ▁410 ▁a cre s ▁ ; ▁also , ▁to ▁be ▁within ▁easy ▁range ▁of ▁his ▁friends ▁and ▁relatives , ▁and ▁again ▁it ▁fitted ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADV VERB ADV ADP DET NOUN CCONJ PROPN PROPN PROPN PROPN VERB NUM NOUN NOUN NOUN PUNCT PUNCT ADV ADV PART VERB ADP ADJ NOUN ADP ADJ NOUN CCONJ NOUN NOUN CCONJ ADV PRON VERB DET NOUN NOUN
Q&A fitted the bill.	0 1 0 1	fit the bill	figurative	inflection	PROPN VERB DET NOUN	▁Q & A ▁fitted ▁the ▁bill .	0 0 0 1 0 1 1	PROPN PROPN PROPN VERB DET NOUN NOUN
You agree that our police fit the bill	0 0 0 0 0 1 0 1	fit the bill	figurative	identical	PRON VERB ADP ADJ NOUN VERB DET NOUN	▁You ▁agree ▁that ▁our ▁police ▁fit ▁the ▁bill	0 0 0 0 0 1 0 1	PRON VERB ADP ADJ NOUN VERB DET NOUN
ICL, of course, claims that its boxes fit the bill on both counts.	0 0 0 0 0 0 0 1 0 1 0 0 0	fit the bill	figurative	identical	PROPN ADP NOUN VERB ADP ADJ NOUN VERB DET NOUN ADP DET NOUN	▁I CL , ▁of ▁course , ▁claims ▁that ▁its ▁boxes ▁fit ▁the ▁bill ▁on ▁both ▁counts .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PROPN PROPN PROPN ADP NOUN NOUN VERB ADP ADJ NOUN VERB DET NOUN ADP DET NOUN NOUN
As I notice that no reserve has been included in the lot, it should fit the bill precisely.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	fit the bill	figurative	identical	ADP PRON VERB ADP DET NOUN VERB VERB VERB ADP DET NOUN PRON VERB VERB DET NOUN PUNCT	▁As ▁I ▁notice ▁that ▁no ▁reserve ▁has ▁been ▁included ▁in ▁the ▁lot , ▁it ▁should ▁fit ▁the ▁bill ▁precisely . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	ADP PRON VERB ADP DET NOUN VERB VERB VERB ADP DET NOUN NOUN PRON VERB VERB DET NOUN PUNCT PUNCT PUNCT
Fergie, it has to be said, never did fit the bill.	0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	PROPN PRON VERB PART VERB VERB ADV VERB VERB DET NOUN	▁Fer g ie , ▁it ▁has ▁to ▁be ▁said , ▁never ▁did ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN PRON VERB PART VERB VERB VERB ADV VERB VERB DET NOUN NOUN
A fifty - year - old cache of letters hardly seems to fit the bill, does it?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	fit the bill	figurative	identical	DET NUM PUNCT NOUN PUNCT ADJ NOUN ADP NOUN ADV VERB PART VERB DET NOUN VERB PRON	▁A ▁fifty ▁- ▁year ▁- ▁old ▁c ache ▁of ▁letters ▁hardly ▁seems ▁to ▁fit ▁the ▁bill , ▁does ▁it ?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	DET NUM PUNCT NOUN PUNCT ADJ NOUN NOUN ADP NOUN ADV VERB PART VERB DET NOUN NOUN VERB PRON PRON
Clark fits bill as new Gazza	0 1 1 0 0 0	fit the bill	figurative	combined-inflection	PROPN VERB NOUN ADP ADJ PROPN	▁ Clark ▁fits ▁bill ▁as ▁new ▁Ga zza	0 0 1 1 0 0 0 0	PROPN PROPN VERB NOUN ADP ADJ PROPN PROPN
Got any glad rags that would fit the bill?’	0 0 0 0 0 0 1 0 1	fit the bill	figurative	dashes	VERB DET ADJ NOUN ADJ VERB VERB DET NOUN	▁Go t ▁any ▁glad ▁ rag s ▁that ▁would ▁fit ▁the ▁bill ? ’	0 0 0 0 0 0 0 0 0 1 0 1 1 1	VERB VERB DET ADJ NOUN NOUN NOUN ADJ VERB VERB DET NOUN NOUN NOUN
Virgin, he thought, fitted the bill.	0 0 0 1 0 1	fit the bill	figurative	inflection	PROPN PRON VERB VERB DET NOUN	▁Virgin , ▁he ▁thought , ▁fitted ▁the ▁bill .	0 0 0 0 0 1 0 1 1	PROPN PROPN PRON VERB VERB VERB DET NOUN NOUN
For those with an undying desire to stretch themselves to the limit, the Raid Gauloises should fit the bill, according to Jeremy Hart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	fit the bill	figurative	identical	ADP DET ADP DET ADJ NOUN PART VERB PRON ADP DET NOUN DET PROPN PROPN VERB VERB DET NOUN VERB ADP PROPN PROPN	▁For ▁those ▁with ▁an ▁und ying ▁desire ▁to ▁stretch ▁themselves ▁to ▁the ▁limit , ▁the ▁R aid ▁Ga ulo ises ▁should ▁fit ▁the ▁bill , ▁according ▁to ▁Je rem y ▁Har t .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	ADP DET ADP DET ADJ ADJ NOUN PART VERB PRON ADP DET NOUN NOUN DET PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN NOUN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN
It was dead right but it gave me a tough act to follow and only Joyce's famous ‘ George, don't do that’ would fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	PRON VERB ADJ ADJ CCONJ PRON VERB PRON DET ADJ NOUN PART VERB CCONJ ADV PROPN ADJ NUM PROPN VERB VERB NOUN VERB VERB DET NOUN	▁It ▁was ▁dead ▁right ▁but ▁it ▁gave ▁me ▁a ▁tough ▁act ▁to ▁follow ▁and ▁only ▁Jo y ce ' s ▁famous ▁ ‘ ▁George , ▁don ' t ▁do ▁that ’ ▁would ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB ADJ ADJ CCONJ PRON VERB PRON DET ADJ NOUN PART VERB CCONJ ADV PROPN PROPN PROPN PROPN PROPN ADJ NUM NUM PROPN PROPN VERB VERB VERB VERB NOUN NOUN VERB VERB DET NOUN NOUN
It is revealing, therefore, to see what sort of people are thought to fit the bill in these places.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	fit the bill	figurative	identical	PRON VERB VERB ADV PART VERB NOUN NOUN ADP NOUN VERB VERB PART VERB DET NOUN ADP DET NOUN	▁It ▁is ▁reveal ing , ▁therefore , ▁to ▁see ▁what ▁sort ▁of ▁people ▁are ▁thought ▁to ▁fit ▁the ▁bill ▁in ▁these ▁places .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PRON VERB VERB VERB VERB ADV ADV PART VERB NOUN NOUN ADP NOUN VERB VERB PART VERB DET NOUN ADP DET NOUN NOUN
St Sylvester's Betterhouse, on the south bank of the Thames, upstream from Lambeth, fitted her bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	combined-inflection	PROPN PROPN PROPN ADP DET ADJ NOUN ADP DET PROPN ADV ADP PROPN VERB ADJ NOUN	▁St ▁S yl ve ster ' s ▁Better house , ▁on ▁the ▁south ▁bank ▁of ▁the ▁Tha mes , ▁upstream ▁from ▁Lamb eth , ▁fitted ▁her ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN ADV ADP PROPN PROPN PROPN VERB ADJ NOUN NOUN
The Fleadh seemed to fit the bill, combining as it does a great outdoor site with such an appropriate city and a cause dear to our hearts.’	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fit the bill	figurative	identical	DET PROPN VERB PART VERB DET NOUN VERB ADP PRON VERB DET ADJ ADJ NOUN ADP ADJ DET ADJ NOUN CCONJ DET NOUN NOUN ADP ADJ ADJ	▁The ▁F lead h ▁seemed ▁to ▁fit ▁the ▁bill , ▁combining ▁as ▁it ▁does ▁a ▁great ▁outdoor ▁site ▁with ▁such ▁an ▁appropriate ▁city ▁and ▁a ▁cause ▁dear ▁to ▁our ▁hearts . ’	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN VERB PART VERB DET NOUN NOUN VERB ADP PRON VERB DET ADJ ADJ NOUN ADP ADJ DET ADJ NOUN CCONJ DET NOUN NOUN ADP ADJ ADJ ADJ ADJ
Convincing him or her that you are the one to fit the bill is a challenge.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	fit the bill	figurative	identical	VERB PRON CCONJ PRON ADP PRON VERB DET NOUN PART VERB DET NOUN VERB DET NOUN	▁Con vin c ing ▁him ▁or ▁her ▁that ▁you ▁are ▁the ▁one ▁to ▁fit ▁the ▁bill ▁is ▁a ▁challenge .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	VERB VERB VERB VERB PRON CCONJ PRON ADP PRON VERB DET NOUN PART VERB DET NOUN VERB DET NOUN NOUN
SWOOP : IAN CROOK fits the bill at Roker Park	0 0 0 0 1 0 1 0 0 0	fit the bill	figurative	inflection	NOUN PUNCT PROPN PROPN VERB DET NOUN ADP PROPN PROPN	▁S WO OP ▁ : ▁I AN ▁C RO OK ▁fits ▁the ▁bill ▁at ▁Ro ker ▁Park	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	NOUN NOUN NOUN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP PROPN PROPN PROPN
It would be lovely if we could produce another top local rider and these three boys could fit the bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fit the bill	figurative	identical	PRON VERB VERB ADJ ADP PRON VERB VERB DET ADJ ADJ NOUN CCONJ DET NUM NOUN VERB VERB DET NOUN	▁It ▁would ▁be ▁love ly ▁if ▁we ▁could ▁produce ▁another ▁top ▁local ▁rid er ▁and ▁these ▁three ▁boys ▁could ▁fit ▁the ▁bill .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB ADJ ADJ ADP PRON VERB VERB DET ADJ ADJ NOUN NOUN CCONJ DET NUM NOUN VERB VERB DET NOUN NOUN
In any case, I fitted the bill,	0 0 0 0 1 0 1	fit the bill	figurative	inflection	ADP DET NOUN PRON VERB DET NOUN	▁In ▁any ▁case , ▁I ▁fitted ▁the ▁bill ,	0 0 0 0 0 1 0 1 1	ADP DET NOUN NOUN PRON VERB DET NOUN NOUN
The fact that she and Hugh happened to fit the bill seemed to give her every opportunity for finding out.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	fit the bill	figurative	identical	DET NOUN ADP PRON CCONJ PROPN VERB PART VERB DET NOUN VERB PART VERB PRON DET NOUN ADP VERB PART	▁The ▁fact ▁that ▁she ▁and ▁Hugh ▁happened ▁to ▁fit ▁the ▁bill ▁seemed ▁to ▁give ▁her ▁every ▁opportunity ▁for ▁finding ▁out .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP PRON CCONJ PROPN VERB PART VERB DET NOUN VERB PART VERB PRON DET NOUN ADP VERB PART PART
