' Not that I 'm dropping hints, darling! '	0 0 0 0 0 1 1 0 0	drop a hint	figurative	combined-inflection	PUNCT ADV ADP PRON VERB VERB NOUN NOUN PUNCT
There's something spooky about them : you sense momentarily what it must be like to live in an ordered, God - run universe, with Himself looking over your shoulder and helpfully dropping coarse hints about a cosmic plan.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	drop a hint	figurative	combined-inflection	ADV NOUN ADJ ADP PRON PUNCT PRON VERB ADV NOUN PRON VERB VERB ADP PART VERB ADP DET VERB PROPN PUNCT VERB NOUN ADP PRON VERB ADP ADJ NOUN CCONJ ADV VERB ADJ NOUN ADP DET ADJ NOUN
' Get hold of some ordinary chap and drop a few hints in his ear. '	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	drop a hint	figurative	combined-inflection	PUNCT VERB NOUN ADP DET ADJ NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN PUNCT
By contrast, neither Mr Bush's alleged lover nor any disaffected ' friends ' have dropped even a hint to substantiate the charges.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	drop a hint	figurative	combined-inflection	ADP NOUN CCONJ PROPN PROPN VERB NOUN CCONJ DET VERB PUNCT NOUN PUNCT VERB VERB ADV DET NOUN PART VERB DET NOUN
‘ Maybe I can drop a hint or two and put her right, otherwise Maggie will have them both ostracized if she goes round saying that girl's a Republican.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	identical	PUNCT ADV PRON VERB VERB DET NOUN CCONJ NUM CCONJ VERB PRON NOUN ADV PROPN VERB VERB PRON CCONJ VERB ADP PRON VERB ADV VERB ADP NOUN DET PROPN
‘ You do drop a hint here and there.’	0 0 0 1 0 1 0 0 0	drop a hint	figurative	identical	PUNCT PRON VERB VERB DET NOUN ADV CCONJ NOUN
Gooch, now 38, has dropped hints in recent months that he might be approaching the twilight of his playing career but declined to speculate on his future beyond this summer.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	PROPN ADV NUM VERB VERB NOUN ADP ADJ NOUN ADP PRON VERB VERB VERB DET NOUN ADP ADJ NOUN NOUN CCONJ VERB PART VERB ADP ADJ NOUN ADP DET NOUN
The company has dropped strong hints to union leaders that the current programme involving cuts of 24,000 over the next year will be followed by a further rundown, although at a lower rate.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	DET NOUN VERB VERB ADJ NOUN ADP NOUN NOUN ADP DET ADJ NOUN VERB NOUN ADP NUM ADP DET ADJ NOUN VERB VERB VERB ADP DET ADJ NOUN ADP ADP DET ADJ NOUN
Dexter dropped a heavy enough hint a fortnight ago by failing to back Lamb when the row erupted.	0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	PROPN VERB DET ADJ ADJ NOUN DET NOUN ADV ADP VERB PART VERB PROPN ADV DET NOUN VERB
It might be nice to have a few of us go along, and I will drop a few subtle hints so a meeting with the players or at least a trip round the ground and watching a training session is on the cards : - )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	PRON VERB VERB ADJ PART VERB DET ADJ ADP PRON VERB ADV CCONJ PRON VERB VERB DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP ADJ DET NOUN ADP DET NOUN CCONJ VERB DET NOUN NOUN VERB ADP DET NOUN PUNCT PUNCT PUNCT
He assured me he hadn't mentioned the glass to anyone, hadn't dropped any hints.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	drop a hint	figurative	combined-inflection	PRON VERB PRON PRON VERB VERB DET NOUN ADP NOUN VERB VERB DET NOUN
But sometimes, the trash drops a hint to a waiter.	0 0 0 0 1 0 1 0 0 0	drop a hint	figurative	inflection	CCONJ ADV DET NOUN VERB DET NOUN ADP DET NOUN
It might be better to drop a hint to your best friend ( who also frequents the school gates ) that you are willing to knit pullovers in the school colours.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	identical	PRON VERB VERB ADJ PART VERB DET NOUN ADP ADJ ADJ NOUN PUNCT NOUN ADV VERB DET NOUN NOUN PUNCT ADP PRON VERB ADJ PART VERB NOUN ADP DET NOUN NOUN
‘ Are you certain Dana didn't drop a hint about my dress?’ she asked.	0 0 0 0 0 0 1 0 1 0 0 0 0 0	drop a hint	figurative	identical	PUNCT VERB PRON ADJ PROPN VERB VERB DET NOUN ADP ADJ NOUN PRON VERB
By now your legs should be dropping hints about their preferences and if tiredness really has set in, the last top, Sgurr na Moraich, can be avoided by descending to the glen from the final col.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	ADP ADV ADJ NOUN VERB VERB VERB NOUN ADP ADJ NOUN CCONJ ADP NOUN ADV VERB VERB PART DET ADJ NOUN PROPN ADP PROPN VERB VERB VERB ADP VERB ADP DET NOUN ADP DET ADJ NOUN
Sources in the US say Data General will this week take the wrapping off the eight - way AViiON multi - processors it has been dropping hints about for some time ( UX No 389 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	NOUN ADP DET PROPN VERB PROPN PROPN VERB DET NOUN VERB DET NOUN PART DET NUM PUNCT NOUN NOUN ADJ PUNCT NOUN PRON VERB VERB VERB NOUN ADP ADP DET NOUN PUNCT PROPN DET NUM PUNCT
They managed to see Maeda who dropped hints and told them to be circumspect.	0 0 0 0 0 0 1 1 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	PRON VERB PART VERB PROPN NOUN VERB NOUN CCONJ VERB PRON PART VERB ADJ
‘ He is not — nor is he likely to be as far as I can make out — although Matt dropped a hint that there had been someone at one stage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	drop a hint	figurative	inflection	PUNCT PRON VERB ADV PUNCT CCONJ VERB PRON ADJ PART VERB ADV ADV ADP PRON VERB VERB PART PUNCT ADP PROPN VERB DET NOUN ADP ADV VERB VERB NOUN ADP NUM NOUN
It might be nice to have a few of us go along, and I will drop a few subtle hints so a meeting with the players or at least a trip round the ground and watching a training session is on the cards : - )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	PRON VERB VERB ADJ PART VERB DET ADJ ADP PRON VERB ADV CCONJ PRON VERB VERB DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP ADJ DET NOUN ADP DET NOUN CCONJ VERB DET NOUN NOUN VERB ADP DET NOUN PUNCT PUNCT PUNCT
Novels may have changed, but dropping hints about your will remains a sure - fire way to annoy your nearest and dearest.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	NOUN VERB VERB VERB CCONJ VERB NOUN ADP ADJ NOUN VERB DET ADJ PUNCT NOUN NOUN PART VERB ADJ ADJ CCONJ ADJ
He dropped hints that real alien implants have been discovered, but said he couldn't reveal anything yet because, well, you know … … but something pretty earth - shattering may be on its way.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	PRON VERB NOUN ADP ADJ ADJ NOUN VERB VERB VERB CCONJ VERB PRON VERB VERB NOUN ADV ADV INTJ PRON VERB PUNCT PUNCT CCONJ NOUN ADJ NOUN PUNCT NOUN VERB VERB ADP ADJ NOUN
She's been dropping some not - so - subtle hints about what she would like for Christmas.	0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	PRON VERB VERB DET ADV PUNCT ADV PUNCT ADJ NOUN ADP NOUN PRON VERB VERB ADP PROPN
He even dropped a hint that he had a conference in Perugia at about the same time and might very well find himself in Rome after it was over.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	inflection	PRON ADV VERB DET NOUN ADP PRON VERB DET NOUN ADP PROPN ADP ADP DET ADJ NOUN CCONJ VERB ADV ADV VERB PRON ADP PROPN ADP PRON VERB ADV
Too many hints are dropped ; it is not hard to guess what ensues.	0 0 1 0 1 0 0 0 0 0 0 0 0 0	drop a hint	figurative	misc	ADV ADJ NOUN VERB VERB PUNCT PRON VERB ADV ADJ PART VERB NOUN NOUN
He dropped hints.	0 1 1	drop a hint	figurative	combined-inflection	PRON VERB NOUN
Gadre was also dropping heavy hints that Sun will soon likely move to offer a hardware - based solution for users wishing to run MS - DOS applications on its Sparc systems.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	combined-inflection	PROPN VERB ADV VERB ADJ NOUN ADP PROPN VERB ADV ADV VERB PART VERB DET NOUN PUNCT VERB NOUN ADP NOUN VERB PART VERB PROPN PUNCT PROPN NOUN ADP ADJ PROPN NOUN
After his ' over by Christmas ' offensive into North Korea had ended in a rout he began to drop dark hints about Red China's inability to wage ' modern war '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	determiner-broad	ADP ADJ PUNCT ADV ADP PROPN PART NOUN ADP PROPN PROPN VERB VERB ADP DET NOUN PRON VERB PART VERB ADJ NOUN ADP PROPN PROPN NOUN PART VERB PUNCT ADJ NOUN PUNCT
Perhaps Gwendoline might even drop a hint to Miss Potts about Elissia and Daryl putting the spider in the desk.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	identical	ADV PROPN VERB ADV VERB DET NOUN ADP PROPN PROPN ADP PROPN CCONJ PROPN VERB DET NOUN ADP DET NOUN
Gwendoline Mary Lacy a sneak, all because she just wanted to drop a kindly hint, Gwendoline didn't no what to say she felt as if she 'd like to burst into tears, but Miss Potts always got very impatient with girls who did that.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop a hint	figurative	insertion-other	PROPN PROPN PROPN DET NOUN DET ADP PRON ADV VERB PART VERB DET ADJ NOUN PROPN VERB INTJ NOUN PART VERB PRON VERB ADP ADP PRON VERB VERB PART VERB ADP NOUN CCONJ PROPN PROPN ADV VERB ADV ADJ ADP NOUN NOUN VERB DET
