So let's look on the bright side, Mr. Coles.	0 0 1 1 0 1 1 0 0	look on the bright side	figurative	identical	ADV VERB VERB ADP DET ADJ NOUN PROPN PROPN	▁So ▁let ' s ▁look ▁on ▁the ▁bright ▁side , ▁Mr . ▁Col es .	0 0 0 0 1 1 0 1 1 1 0 0 0 0 0	ADV VERB VERB VERB VERB ADP DET ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN
Well, I 'm terribly sorry if I didn't add another notch to your bedpost, but look on the bright side — at least I saved you the bother of having to come up with a nice little farewell speech at the end of it all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	INTJ PRON VERB ADV ADJ ADP PRON VERB VERB DET NOUN ADP ADJ NOUN CCONJ VERB ADP DET ADJ NOUN PUNCT ADP ADJ PRON VERB PRON DET NOUN ADP VERB PART VERB PART ADP DET ADJ ADJ NOUN NOUN ADP DET NOUN ADP PRON DET	▁Well , ▁I ▁' m ▁terribly ▁sorry ▁if ▁I ▁did n ' t ▁add ▁another ▁not ch ▁to ▁your ▁be d post , ▁but ▁look ▁on ▁the ▁bright ▁side ▁ — ▁at ▁least ▁I ▁saved ▁you ▁the ▁both er ▁of ▁having ▁to ▁come ▁up ▁with ▁a ▁nice ▁little ▁far e well ▁speech ▁at ▁the ▁end ▁of ▁it ▁all .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ PRON VERB VERB ADV ADJ ADP PRON VERB VERB VERB VERB VERB DET NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN CCONJ VERB ADP DET ADJ NOUN PUNCT PUNCT ADP ADJ PRON VERB PRON DET NOUN NOUN ADP VERB PART VERB PART ADP DET ADJ ADJ NOUN NOUN NOUN NOUN ADP DET NOUN ADP PRON DET DET
Looking on the bright side	1 1 0 1 1	look on the bright side	figurative	combined-inflection	VERB ADP DET ADJ NOUN	▁Look ing ▁on ▁the ▁bright ▁side	1 1 1 0 1 1	VERB VERB ADP DET ADJ NOUN
‘ Well, look on the bright side — it might actually be hot if they did that.’	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	PUNCT INTJ VERB ADP DET ADJ NOUN PUNCT PRON VERB ADV VERB ADJ ADP PRON VERB PUNCT	▁ ‘ ▁Well , ▁look ▁on ▁the ▁bright ▁side ▁ — ▁it ▁might ▁actually ▁be ▁hot ▁if ▁they ▁did ▁that . ’	0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT INTJ INTJ VERB ADP DET ADJ NOUN PUNCT PUNCT PRON VERB ADV VERB ADJ ADP PRON VERB PUNCT PUNCT PUNCT
MISERY GUTS Rod Mackay never looks on the bright side of life he doesn't believe there is one!	0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	look on the bright side	figurative	inflection	NOUN PROPN PROPN PROPN ADV VERB ADP DET ADJ NOUN ADP NOUN PRON VERB VERB ADV VERB NUM	▁ MIS ERY ▁GU TS ▁Ro d ▁Mac ka y ▁never ▁looks ▁on ▁the ▁bright ▁side ▁of ▁life ▁he ▁does n ' t ▁believe ▁there ▁is ▁one !	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADV VERB ADP DET ADJ NOUN ADP NOUN PRON VERB VERB VERB VERB VERB ADV VERB NUM NUM
Look on the bright side, you 're braver than I was. '	1 1 0 1 1 0 0 0 0 0 0 0	look on the bright side	figurative	case	VERB ADP DET ADJ NOUN PRON VERB ADJ ADP PRON VERB PUNCT	▁Look ▁on ▁the ▁bright ▁side , ▁you ▁' re ▁brave r ▁than ▁I ▁was . ▁'	1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	VERB ADP DET ADJ NOUN NOUN PRON VERB VERB ADJ ADJ ADP PRON VERB VERB PUNCT
Always look on the bright side of life	0 1 1 0 1 1 0 0	look on the bright side	figurative	identical	ADV VERB ADP DET ADJ NOUN ADP NOUN	▁Always ▁look ▁on ▁the ▁bright ▁side ▁of ▁life	0 1 1 0 1 1 0 0	ADV VERB ADP DET ADJ NOUN ADP NOUN
Tallboy wasn't sure how to judge his superior's tone but he needed a fillip to his esteem right now so he looked on the bright side.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	look on the bright side	figurative	inflection	PROPN VERB ADJ ADV PART VERB ADJ NOUN NOUN CCONJ PRON VERB DET NOUN ADP ADJ NOUN ADV ADV ADV PRON VERB ADP DET ADJ NOUN	▁T all bo y ▁was n ' t ▁sure ▁how ▁to ▁judge ▁his ▁superior ' s ▁to ne ▁but ▁he ▁needed ▁a ▁fill ip ▁to ▁his ▁esteem ▁right ▁now ▁so ▁he ▁looked ▁on ▁the ▁bright ▁side .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PROPN PROPN PROPN PROPN VERB VERB VERB VERB ADJ ADV PART VERB ADJ NOUN NOUN NOUN NOUN NOUN CCONJ PRON VERB DET NOUN NOUN ADP ADJ NOUN ADV ADV ADV PRON VERB ADP DET ADJ NOUN NOUN
She was consoled, too, to have them in her house where they made an uncommon amount of noise and were certainly not easy guests but their beaming countenances and determination to look on the bright side of everything lightened the atmosphere immensely.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0	look on the bright side	figurative	identical	PRON VERB VERB ADV PART VERB PRON ADP ADJ NOUN ADV PRON VERB DET ADJ NOUN ADP NOUN CCONJ VERB ADV ADV ADJ NOUN CCONJ ADJ VERB NOUN CCONJ NOUN PART VERB ADP DET ADJ NOUN ADP NOUN VERB DET NOUN ADV	▁She ▁was ▁con sole d , ▁too , ▁to ▁have ▁them ▁in ▁her ▁house ▁where ▁they ▁made ▁an ▁uncommon ▁amount ▁of ▁noise ▁and ▁were ▁certainly ▁not ▁easy ▁guest s ▁but ▁their ▁beam ing ▁countenance s ▁and ▁determination ▁to ▁look ▁on ▁the ▁bright ▁side ▁of ▁everything ▁light ened ▁the ▁atmosphere ▁immense ly .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB VERB ADV ADV PART VERB PRON ADP ADJ NOUN ADV PRON VERB DET ADJ NOUN ADP NOUN CCONJ VERB ADV ADV ADJ NOUN NOUN CCONJ ADJ VERB VERB NOUN NOUN CCONJ NOUN PART VERB ADP DET ADJ NOUN ADP NOUN VERB VERB DET NOUN ADV ADV ADV
Look on the bright side.	1 1 0 1 1	look on the bright side	figurative	case	VERB ADP DET ADJ NOUN	▁Look ▁on ▁the ▁bright ▁side .	1 1 0 1 1 1	VERB ADP DET ADJ NOUN NOUN
I 'm sure you must feel pretty bloody at the moment but look on the bright side, you could be Belgian.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0	look on the bright side	figurative	identical	PRON VERB ADJ PRON VERB VERB ADV ADJ ADP DET NOUN CCONJ VERB ADP DET ADJ NOUN PRON VERB VERB ADJ	▁I ▁' m ▁sure ▁you ▁must ▁feel ▁pretty ▁blood y ▁at ▁the ▁moment ▁but ▁look ▁on ▁the ▁bright ▁side , ▁you ▁could ▁be ▁Belgian .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0	PRON VERB VERB ADJ PRON VERB VERB ADV ADJ ADJ ADP DET NOUN CCONJ VERB ADP DET ADJ NOUN NOUN PRON VERB VERB ADJ ADJ
JAMIE REDKNAPP last night looked on the bright side of Liverpool's worst start to a season since 1954.	0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	inflection	PROPN NOUN ADJ NOUN VERB ADP DET ADJ NOUN ADP PROPN ADJ NOUN ADP DET NOUN ADP NUM	▁J AM IE ▁RE DK NA PP ▁last ▁night ▁looked ▁on ▁the ▁bright ▁side ▁of ▁Liverpool ' s ▁worst ▁start ▁to ▁a ▁season ▁since ▁1954 .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN NOUN NOUN NOUN NOUN ADJ NOUN VERB ADP DET ADJ NOUN ADP PROPN PROPN PROPN ADJ NOUN ADP DET NOUN ADP NUM NUM
Ex - Wigan favourite Iro was looking on the bright side yesterday.	0 0 0 0 0 0 1 1 0 1 1 0	look on the bright side	figurative	inflection	PROPN PUNCT PROPN ADJ PROPN VERB VERB ADP DET ADJ NOUN NOUN	▁Ex ▁- ▁W igan ▁favour ite ▁I ro ▁was ▁looking ▁on ▁the ▁bright ▁side ▁yesterday .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0	PROPN PUNCT PROPN PROPN ADJ ADJ PROPN PROPN VERB VERB ADP DET ADJ NOUN NOUN NOUN
‘ There ; ll be nobody left behind to grieve,’ carolled Lehrer, looking on the bright side, Kahn, on the other hand, advocated massive investment in deep shelters so that at least the lucky half — or should it be the unlucky half?— would be left behind to grieve, and to prove that war need not yet be quite abandoned as mankind's most addictive sport.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	inflection	PUNCT ADV PUNCT VERB VERB NOUN VERB ADV ADP VERB ADJ PROPN VERB ADP DET ADJ NOUN PROPN ADP DET ADJ NOUN VERB ADJ NOUN ADP ADJ NOUN ADP ADP ADP ADJ DET ADJ NOUN PUNCT CCONJ VERB PRON VERB DET ADJ ADV VERB VERB VERB PART ADP NOUN CCONJ PART VERB ADP NOUN VERB ADV ADV VERB ADV VERB ADP NOUN ADV ADJ NOUN	▁ ‘ ▁There ▁ ; ▁ ll ▁be ▁nobody ▁left ▁behind ▁to ▁g rie ve , ’ ▁ca rolled ▁Le hr er , ▁looking ▁on ▁the ▁bright ▁side , ▁K ahn , ▁on ▁the ▁other ▁hand , ▁advocate d ▁massive ▁investment ▁in ▁deep ▁shelter s ▁so ▁that ▁at ▁least ▁the ▁luck y ▁half ▁ — ▁or ▁should ▁it ▁be ▁the ▁un l uck y ▁half ? — ▁would ▁be ▁left ▁behind ▁to ▁g rie ve , ▁and ▁to ▁prove ▁that ▁war ▁need ▁not ▁yet ▁be ▁quite ▁abandoned ▁as ▁mankind ' s ▁most ▁addict ive ▁sport .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADV PUNCT PUNCT VERB VERB VERB NOUN VERB ADV ADP VERB VERB VERB VERB VERB ADJ ADJ PROPN PROPN PROPN PROPN VERB ADP DET ADJ NOUN NOUN PROPN PROPN PROPN ADP DET ADJ NOUN NOUN VERB VERB ADJ NOUN ADP ADJ NOUN NOUN ADP ADP ADP ADJ DET ADJ ADJ NOUN PUNCT PUNCT CCONJ VERB PRON VERB DET ADJ ADJ ADJ ADJ ADV ADV ADV VERB VERB VERB PART ADP NOUN NOUN NOUN NOUN CCONJ PART VERB ADP NOUN VERB ADV ADV VERB ADV VERB ADP NOUN NOUN NOUN ADV ADJ ADJ NOUN NOUN
She should look on the bright side, she kept trying to tell herself.	0 0 1 1 0 1 1 0 0 0 0 0 0	look on the bright side	figurative	identical	PRON VERB VERB ADP DET ADJ NOUN PRON VERB VERB PART VERB PRON	▁She ▁should ▁look ▁on ▁the ▁bright ▁side , ▁she ▁kept ▁trying ▁to ▁tell ▁herself .	0 0 1 1 0 1 1 1 0 0 0 0 0 0 0	PRON VERB VERB ADP DET ADJ NOUN NOUN PRON VERB VERB PART VERB PRON PRON
He squirmed uncomfortably on the damp stone, and tried to look on the bright side.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	look on the bright side	figurative	identical	PRON VERB ADV ADP DET ADJ NOUN CCONJ VERB PART VERB ADP DET ADJ NOUN	▁He ▁s qui rm ed ▁un com for tably ▁on ▁the ▁damp ▁stone , ▁and ▁tried ▁to ▁look ▁on ▁the ▁bright ▁side .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PRON VERB VERB VERB VERB ADV ADV ADV ADV ADP DET ADJ NOUN NOUN CCONJ VERB PART VERB ADP DET ADJ NOUN NOUN
And to look on the bright side, you will have your husband with you throughout the summer and I daresay you will enjoy it very much.’	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	identical	CCONJ PART VERB ADP DET ADJ NOUN PRON VERB VERB ADJ NOUN ADP PRON ADP DET NOUN CCONJ PRON VERB PRON VERB VERB PRON ADV ADJ	▁And ▁to ▁look ▁on ▁the ▁bright ▁side , ▁you ▁will ▁have ▁your ▁husband ▁with ▁you ▁throughout ▁the ▁summer ▁and ▁I ▁dare s ay ▁you ▁will ▁enjoy ▁it ▁very ▁much . ’	0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PART VERB ADP DET ADJ NOUN NOUN PRON VERB VERB ADJ NOUN ADP PRON ADP DET NOUN CCONJ PRON VERB VERB VERB PRON VERB VERB PRON ADV ADJ ADJ ADJ
Look on the bright side, you 're given a chance to review and revise your current plans and make any changes or adjustments necessary.	1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	case	VERB ADP DET ADJ NOUN PRON VERB VERB DET NOUN PART VERB CCONJ VERB ADJ ADJ NOUN CCONJ VERB DET NOUN CCONJ NOUN ADJ	▁Look ▁on ▁the ▁bright ▁side , ▁you ▁' re ▁given ▁a ▁chance ▁to ▁review ▁and ▁revise ▁your ▁current ▁plans ▁and ▁make ▁any ▁changes ▁or ▁adjustments ▁necessary .	1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADP DET ADJ NOUN NOUN PRON VERB VERB VERB DET NOUN PART VERB CCONJ VERB ADJ ADJ NOUN CCONJ VERB DET NOUN CCONJ NOUN ADJ ADJ
Yet when the final came around, frivolity — England sang ' Look on the bright side of life ' in response to the ' Haka ' — gave way to an enthralling forward battle with the All Blacks giving way to no - one.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	look on the bright side	figurative	case	ADV ADV DET ADJ VERB ADV NOUN PUNCT PROPN VERB PUNCT VERB ADP DET ADJ NOUN ADP NOUN PUNCT ADP NOUN ADP DET PUNCT PROPN PUNCT PUNCT VERB NOUN ADP DET VERB ADJ NOUN ADP DET PROPN PROPN VERB NOUN ADP DET PUNCT NUM	▁Yet ▁when ▁the ▁final ▁came ▁around , ▁ fri vol ity ▁ — ▁England ▁s ang ▁' ▁Look ▁on ▁the ▁bright ▁side ▁of ▁life ▁' ▁in ▁response ▁to ▁the ▁' ▁H aka ▁' ▁ — ▁gave ▁way ▁to ▁an ▁ent hr all ing ▁forward ▁battle ▁with ▁the ▁All ▁Black s ▁giving ▁way ▁to ▁no ▁- ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET ADJ VERB ADV ADV NOUN NOUN NOUN NOUN PUNCT PUNCT PROPN VERB VERB PUNCT VERB ADP DET ADJ NOUN ADP NOUN PUNCT ADP NOUN ADP DET PUNCT PROPN PROPN PUNCT PUNCT PUNCT VERB NOUN ADP DET VERB VERB VERB VERB ADJ NOUN ADP DET PROPN PROPN PROPN VERB NOUN ADP DET PUNCT NUM NUM
Always look on the bright side of life.	0 1 1 0 1 1 0 0	look on the bright side	figurative	identical	ADV VERB ADP DET ADJ NOUN ADP NOUN	▁Always ▁look ▁on ▁the ▁bright ▁side ▁of ▁life .	0 1 1 0 1 1 0 0 0	ADV VERB ADP DET ADJ NOUN ADP NOUN NOUN
‘ Anyway, let's look on the bright side.	0 0 0 1 1 0 1 1	look on the bright side	figurative	identical	PUNCT INTJ VERB VERB ADP DET ADJ NOUN	▁ ‘ ▁Any way , ▁let ' s ▁look ▁on ▁the ▁bright ▁side .	0 0 0 0 0 0 0 0 1 1 0 1 1 1	PUNCT PUNCT INTJ INTJ INTJ VERB VERB VERB VERB ADP DET ADJ NOUN NOUN
' Look on the bright side.	0 1 1 0 1 1	look on the bright side	figurative	case	PUNCT VERB ADP DET ADJ NOUN	▁' ▁Look ▁on ▁the ▁bright ▁side .	0 1 1 0 1 1 1	PUNCT VERB ADP DET ADJ NOUN NOUN
