As I say, it is the chorus which too often fails to rise to the occasion.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	identical	ADP PRON VERB PRON VERB DET NOUN ADJ ADV ADV VERB PART VERB ADP DET NOUN
‘ Well, I 'll tell you what, the guitar's a little bit more shallow when you 've got to sing and play some of this shit, and the new album's got a lot of riffs, but I 'll rise to the occasion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	identical	PUNCT INTJ PRON VERB VERB PRON NOUN DET NOUN DET ADJ NOUN ADV ADJ ADV PRON VERB VERB PART VERB CCONJ VERB DET ADP DET NOUN CCONJ DET ADJ NOUN VERB DET NOUN ADP NOUN CCONJ PRON VERB VERB ADP DET NOUN
The Threarah would no doubt have risen to the occasion perfectly.	0 0 0 0 0 0 1 1 0 1 0	rise to the occasion	figurative	inflection	DET PROPN VERB ADV ADV VERB VERB ADP DET NOUN ADV
Gould rose to the occasion and, driven by the feverish excitement of a treasure - seeker, surmounted every obstacle Tasmania's chequered geography could throw at him.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	PROPN VERB ADP DET NOUN CCONJ VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT NOUN VERB DET NOUN PROPN VERB NOUN VERB VERB ADP PRON
The fact that Scotland tried to rise to the occasion was worth more than just two precious points.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	DET NOUN ADP PROPN VERB PART VERB ADP DET NOUN VERB ADJ ADJ ADP ADV NUM ADJ NOUN
When occasions have occurred, as they do in all organizations, where it is necessary to take a ‘ big’ risk on a young man whose experience and background we think inadequate for the task, nine times out of ten not only does he rise to the occasion but he does even better than we would expect.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	ADV NOUN VERB VERB ADP PRON VERB ADP DET NOUN ADV PRON VERB ADJ PART VERB DET ADJ NOUN NOUN ADP DET ADJ NOUN ADJ NOUN CCONJ NOUN PRON VERB ADJ ADP DET NOUN NUM NOUN ADP ADP NUM ADV ADV VERB PRON VERB ADP DET NOUN CCONJ PRON VERB ADV ADJ ADP PRON VERB VERB
They may, for instance, be capable of rising magnificently to the occasion when a neighbour's sick, deprived, or even delinquent child needs help, or they may be wonderful wives, husbands or parents and do much useful voluntary work in the community, and yet lack the particular type of emotional muscle required to support old people.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	combined-inflection	PRON VERB ADP NOUN VERB ADJ ADP VERB ADV ADP DET NOUN ADV DET NOUN ADJ VERB CCONJ ADV ADJ NOUN VERB NOUN CCONJ PRON VERB VERB ADJ NOUN NOUN CCONJ NOUN CCONJ VERB ADJ ADJ ADJ NOUN ADP DET NOUN CCONJ ADV VERB DET ADJ NOUN ADP ADJ NOUN VERB PART VERB ADJ NOUN
Sunderland again rose to the occasion against better opposition and just about deserved to get the points to ease their relegation worries considerably.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	PROPN ADV VERB ADP DET NOUN ADP ADJ NOUN CCONJ ADV ADP VERB PART VERB DET NOUN PART VERB ADJ NOUN NOUN ADV
I 'm sure your spirits will rise to the occasion like the balloons in our logos and the banners at the side here.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	identical	PRON VERB ADJ ADJ NOUN VERB VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN CCONJ DET NOUN ADP DET NOUN ADV
‘ Particularly since the public rose to the occasion when the Sick Kids appealed for £ 10 million.’	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	PUNCT ADV ADP DET NOUN VERB ADP DET NOUN ADV DET PROPN PROPN VERB ADP SYM NUM DET
Well I can rise to any occasion	0 0 0 1 1 0 1	rise to the occasion	figurative	determiner-broad	INTJ PRON VERB VERB ADP DET NOUN
Another added : ‘ Now what the politicians have always called for has happened, we must rise to the occasion.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	dashes	DET VERB PUNCT PUNCT ADV NOUN DET NOUN VERB ADV VERB ADP VERB VERB PRON VERB VERB ADP DET NOUN
Doreen rose to the occasion by smiling radiantly as she said, ‘ I doubt that I 've ever really been far away from Silas — at least I know I 've always been in his thoughts.’	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rise to the occasion	figurative	inflection	PROPN VERB ADP DET NOUN ADP VERB ADV ADP PRON VERB PUNCT PRON VERB ADP PRON VERB ADV ADV VERB ADV ADV ADP PROPN PUNCT ADP ADJ PRON VERB PRON VERB ADV VERB ADP ADJ PUNCT
With the Rugby World Sevens being played this weekend, the game at Kingsholm was a taster ; a curtain raiser for good things to come and Gloucester rose to the occasion with a stirring display.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	rise to the occasion	figurative	inflection	ADP DET PROPN PROPN PROPN VERB VERB DET NOUN DET NOUN ADP PROPN VERB DET NOUN PUNCT DET NOUN NOUN ADP ADJ NOUN PART VERB CCONJ PROPN VERB ADP DET NOUN ADP DET ADJ NOUN
Could I, or could I not ' rise ' to the occasion.	0 0 0 0 0 0 0 1 0 1 0 1	rise to the occasion	figurative	combined-other	VERB PRON CCONJ VERB PRON ADV PUNCT VERB PUNCT ADP DET NOUN
He and his wife have two puppies, but he was thankfully alone and ready to rise to the occasion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	rise to the occasion	figurative	identical	PRON CCONJ ADJ NOUN VERB NUM NOUN CCONJ PRON VERB ADV ADJ CCONJ ADJ PART VERB ADP DET NOUN
