And cold comfort.	0 1 1	cold comfort	figurative	identical	CCONJ ADJ NOUN	▁And ▁cold ▁comfort .	0 1 1 1	CCONJ ADJ NOUN NOUN
Cold comforts of a hotel room :	1 1 0 0 0 0 0	cold comfort	figurative	combined-inflection	ADJ NOUN ADP DET NOUN NOUN PUNCT	▁Cold ▁comfort s ▁of ▁a ▁hotel ▁room ▁ :	1 1 1 0 0 0 0 0 0	ADJ NOUN NOUN ADP DET NOUN NOUN PUNCT PUNCT
This may sound like cold comfort when you 're desperately hoping for something to come along and get you going — but continuing your work and maintaining skills is vitally important.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	DET VERB VERB ADP ADJ NOUN ADV PRON VERB ADV VERB ADP NOUN PART VERB PART CCONJ VERB PRON VERB PUNCT CCONJ VERB ADJ NOUN CCONJ NOUN NOUN VERB ADV ADJ	▁This ▁may ▁sound ▁like ▁cold ▁comfort ▁when ▁you ▁' re ▁desperately ▁hoping ▁for ▁something ▁to ▁come ▁along ▁and ▁get ▁you ▁going ▁ — ▁but ▁continuing ▁your ▁work ▁and ▁maintaining ▁skills ▁is ▁vital ly ▁important .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB VERB ADP ADJ NOUN ADV PRON VERB VERB ADV VERB ADP NOUN PART VERB PART CCONJ VERB PRON VERB PUNCT PUNCT CCONJ VERB ADJ NOUN CCONJ NOUN NOUN VERB ADV ADV ADJ ADJ
Mellor's self - styled heroics were cold comfort for his team leader, John Major.	0 0 0 0 0 0 1 1 0 0 0 0 0 0	cold comfort	figurative	identical	PROPN NOUN PUNCT VERB NOUN VERB ADJ NOUN ADP ADJ NOUN NOUN PROPN PROPN	▁Mel lor ' s ▁self ▁- ▁style d ▁her o ics ▁were ▁cold ▁comfort ▁for ▁his ▁team ▁leader , ▁John ▁Major .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NOUN PUNCT VERB VERB NOUN NOUN NOUN VERB ADJ NOUN ADP ADJ NOUN NOUN NOUN PROPN PROPN PROPN
Cold comfort	1 1	cold comfort	figurative	case	ADJ NOUN	▁Cold ▁comfort	1 1	ADJ NOUN
But the champion has cold comfort from a scheduled fourth round clash with Krajicek and a quarter - final showdown with world No 1 Sampras, who opens against world No 119 Neil Borwick, of Australia.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	CCONJ DET NOUN VERB ADJ NOUN ADP DET VERB ADJ NOUN NOUN ADP PROPN CCONJ DET NOUN PUNCT ADJ NOUN ADP NOUN PROPN NUM PROPN NOUN VERB ADP NOUN DET NUM PROPN PROPN ADP PROPN	▁But ▁the ▁champion ▁has ▁cold ▁comfort ▁from ▁a ▁scheduled ▁fourth ▁round ▁clash ▁with ▁Kra j ic ek ▁and ▁a ▁quarter ▁- ▁final ▁show down ▁with ▁world ▁No ▁1 ▁Sam pra s , ▁who ▁opens ▁against ▁world ▁No ▁119 ▁ Neil ▁Bor wick , ▁of ▁Australia .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET NOUN VERB ADJ NOUN ADP DET VERB ADJ NOUN NOUN ADP PROPN PROPN PROPN PROPN CCONJ DET NOUN PUNCT ADJ NOUN NOUN ADP NOUN PROPN NUM PROPN PROPN PROPN PROPN NOUN VERB ADP NOUN DET NUM PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN
Brussels brings cold comfort to sheep farmers.	0 0 1 1 0 0 0	cold comfort	figurative	identical	PROPN VERB ADJ NOUN ADP NOUN NOUN	▁Brussels ▁bring s ▁cold ▁comfort ▁to ▁sheep ▁farmers .	0 0 0 1 1 0 0 0 0	PROPN VERB VERB ADJ NOUN ADP NOUN NOUN NOUN
After last year's shock announcement of the DVR Company's near total withdrawal from the seven - mile Buckfastleigh line and rescue handover to volunteers of the South Devon Railway Trust, these figures will be cold comfort to many local steam supporters and shareholders of the Dart Valley Railway despite claims by the Company that all is well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	ADP ADJ NOUN NOUN NOUN ADP DET PROPN PROPN ADP ADJ NOUN ADP DET NUM PUNCT NOUN PROPN NOUN CCONJ NOUN NOUN ADP NOUN ADP DET PROPN PROPN PROPN PROPN DET NOUN VERB VERB ADJ NOUN ADP ADJ ADJ NOUN NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN ADP NOUN ADP DET PROPN ADJ DET VERB ADJ	▁After ▁last ▁year ' s ▁shock ▁announcement ▁of ▁the ▁D VR ▁Company ' s ▁near ▁total ▁withdrawal ▁from ▁the ▁seven ▁- ▁ mile ▁B uck fast le igh ▁line ▁and ▁rescue ▁hand over ▁to ▁volunteers ▁of ▁the ▁South ▁D ev on ▁Railway ▁Trust , ▁these ▁figures ▁will ▁be ▁cold ▁comfort ▁to ▁many ▁local ▁steam ▁supporters ▁and ▁shareholders ▁of ▁the ▁Dar t ▁Valley ▁Railway ▁despite ▁claims ▁by ▁the ▁Company ▁that ▁all ▁is ▁well .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN NOUN NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN ADP ADJ NOUN ADP DET NUM PUNCT NOUN NOUN PROPN PROPN PROPN PROPN PROPN NOUN CCONJ NOUN NOUN NOUN ADP NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN VERB VERB ADJ NOUN ADP ADJ ADJ NOUN NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN PROPN ADP NOUN ADP DET PROPN ADJ DET VERB ADJ ADJ
That was cold comfort really	0 0 1 1 0	cold comfort	figurative	identical	DET VERB ADJ NOUN ADV	▁That ▁was ▁cold ▁comfort ▁really	0 0 1 1 0	DET VERB ADJ NOUN ADV
However, the richness as a cultural object of a deteriorated Windows 1.0 disc pack is cold comfort to an archivist or historian preoccupied with preserving or regenerating the operational environment of the product.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	ADV DET NOUN ADP DET ADJ NOUN ADP DET ADJ PROPN NUM NOUN NOUN VERB ADJ NOUN ADP DET NOUN CCONJ NOUN VERB ADP VERB CCONJ VERB DET ADJ NOUN ADP DET NOUN	▁However , ▁the ▁rich ness ▁as ▁a ▁cultural ▁object ▁of ▁a ▁deteriorated ▁Window s ▁1.0 ▁disc ▁pack ▁is ▁cold ▁comfort ▁to ▁an ▁arch iv ist ▁or ▁his tor ian ▁pre occupied ▁with ▁preserving ▁or ▁re generating ▁the ▁operational ▁environment ▁of ▁the ▁product .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET NOUN NOUN ADP DET ADJ NOUN ADP DET ADJ PROPN PROPN NUM NOUN NOUN VERB ADJ NOUN ADP DET NOUN NOUN NOUN CCONJ NOUN NOUN NOUN VERB VERB ADP VERB CCONJ VERB VERB DET ADJ NOUN ADP DET NOUN NOUN
And the fact that she had sent him away before he 'd had time to betray her was cold comfort, set against the enormity of that loss.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	cold comfort	figurative	identical	CCONJ DET NOUN ADP PRON VERB VERB PRON ADV ADP PRON VERB VERB NOUN PART VERB PRON VERB ADJ NOUN VERB ADP DET NOUN ADP DET NOUN	▁And ▁the ▁fact ▁that ▁she ▁had ▁sent ▁him ▁away ▁before ▁he ▁' d ▁had ▁time ▁to ▁betray ▁her ▁was ▁cold ▁comfort , ▁set ▁against ▁the ▁e norm ity ▁of ▁that ▁loss .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ DET NOUN ADP PRON VERB VERB PRON ADV ADP PRON VERB VERB VERB NOUN PART VERB PRON VERB ADJ NOUN NOUN VERB ADP DET NOUN NOUN NOUN ADP DET NOUN NOUN
One problem here is that it is cold comfort to an individual citizen that he can use the political process to air his grievances, for example by writing to his MP or councillor or to the press or voting for another party next time round.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	NUM NOUN ADV VERB ADP PRON VERB ADJ NOUN ADP DET ADJ NOUN ADJ PRON VERB VERB DET ADJ NOUN PART VERB ADJ NOUN ADP NOUN ADP VERB ADP ADJ PROPN CCONJ NOUN CCONJ ADP DET NOUN CCONJ VERB ADP DET NOUN ADJ NOUN NOUN	▁One ▁problem ▁here ▁is ▁that ▁it ▁is ▁cold ▁comfort ▁to ▁an ▁individual ▁citizen ▁that ▁he ▁can ▁use ▁the ▁political ▁process ▁to ▁air ▁his ▁g rie vance s , ▁for ▁example ▁by ▁writing ▁to ▁his ▁MP ▁or ▁councillor ▁or ▁to ▁the ▁press ▁or ▁voting ▁for ▁another ▁party ▁next ▁time ▁round .	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN ADV VERB ADP PRON VERB ADJ NOUN ADP DET ADJ NOUN ADJ PRON VERB VERB DET ADJ NOUN PART VERB ADJ NOUN NOUN NOUN NOUN NOUN ADP NOUN ADP VERB ADP ADJ PROPN CCONJ NOUN CCONJ ADP DET NOUN CCONJ VERB ADP DET NOUN ADJ NOUN NOUN NOUN
Those who are enraged by the state of disrepair of Bristol's streets may derive a cold comfort from reading in Elizabeth Ralph's pamphlet, The Streets of Bristol, that things were just as bad in the Middle Ages and that by the end of the 18th century the roads to Bristol were a lot better than the roads in it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	DET NOUN VERB VERB ADP DET NOUN ADP NOUN ADP PROPN NOUN VERB VERB DET ADJ NOUN ADP VERB ADP PROPN PROPN NOUN DET PROPN ADP PROPN ADP NOUN VERB ADV ADV ADJ ADP DET PROPN PROPN CCONJ ADP ADP DET NOUN ADP DET ADJ NOUN DET NOUN ADP PROPN VERB DET NOUN ADJ ADP DET NOUN ADP PRON	▁T hose ▁who ▁are ▁en rag ed ▁by ▁the ▁state ▁of ▁dis repair ▁of ▁Bristol ' s ▁streets ▁may ▁derive ▁a ▁cold ▁comfort ▁from ▁reading ▁in ▁Eli za b eth ▁R al ph ' s ▁p amp hle t , ▁The ▁Street s ▁of ▁Bristol , ▁that ▁things ▁were ▁just ▁as ▁bad ▁in ▁the ▁Middle ▁Age s ▁and ▁that ▁by ▁the ▁end ▁of ▁the ▁18 th ▁century ▁the ▁roads ▁to ▁Bristol ▁were ▁a ▁lot ▁better ▁than ▁the ▁roads ▁in ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET DET NOUN VERB VERB VERB VERB ADP DET NOUN ADP NOUN NOUN ADP PROPN PROPN PROPN NOUN VERB VERB DET ADJ NOUN ADP VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN NOUN DET PROPN PROPN ADP PROPN PROPN ADP NOUN VERB ADV ADV ADJ ADP DET PROPN PROPN PROPN CCONJ ADP ADP DET NOUN ADP DET ADJ ADJ NOUN DET NOUN ADP PROPN VERB DET NOUN ADJ ADP DET NOUN ADP PRON PRON
