‘ You mean, you knew all along, but you let me make a fool of myself?’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB PRON VERB ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV	▁ ‘ ▁You ▁mean , ▁you ▁knew ▁all ▁along , ▁but ▁you ▁let ▁me ▁make ▁a ▁fool ▁of ▁myself ? ’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB PRON VERB ADV ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV ADV ADV
The way I see it, Mum knew all along she wasn't getting any better.	0 0 0 0 0 0 0 1 1 0 0 0 0 0	all along	figurative	identical	DET NOUN PRON VERB PRON PROPN VERB ADV ADP PRON VERB VERB DET ADV	▁The ▁way ▁I ▁see ▁it , ▁M um ▁knew ▁all ▁along ▁she ▁was n ' t ▁gett ing ▁any ▁better .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	DET NOUN PRON VERB PRON PRON PROPN PROPN VERB ADV ADP PRON VERB VERB VERB VERB VERB VERB DET ADV ADV
It put me in mind of the vast River Niger further south, which brings fish and game to villagers all along its course.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	figurative	identical	PRON VERB PRON ADP NOUN ADP DET ADJ PROPN PROPN ADJ ADV ADJ VERB NOUN CCONJ NOUN ADP NOUN DET ADP ADJ NOUN	▁It ▁put ▁me ▁in ▁mind ▁of ▁the ▁vast ▁River ▁Niger ▁further ▁south , ▁which ▁bring s ▁fish ▁and ▁game ▁to ▁village rs ▁all ▁along ▁its ▁course .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	PRON VERB PRON ADP NOUN ADP DET ADJ PROPN PROPN ADJ ADV ADV ADJ VERB VERB NOUN CCONJ NOUN ADP NOUN NOUN DET ADP ADJ NOUN NOUN
From here too visitors are ideally placed to discover the wealth of exclusive boutiques and designer names displayed all along the promenade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	ADP ADV ADV NOUN VERB ADV VERB PART VERB DET NOUN ADP ADJ NOUN CCONJ NOUN NOUN VERB ADV ADP DET NOUN	▁From ▁here ▁too ▁visitors ▁are ▁ideally ▁placed ▁to ▁discover ▁the ▁wealth ▁of ▁exclusive ▁b out ique s ▁and ▁design er ▁names ▁displayed ▁all ▁along ▁the ▁pro men ade .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	ADP ADV ADV NOUN VERB ADV VERB PART VERB DET NOUN ADP ADJ NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN VERB ADV ADP DET NOUN NOUN NOUN NOUN
On the contrary ; corduroy and other imitation velvets, like velour and velveteen, were considered all along to be false finery, puffed up and pompous.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	all along	figurative	identical	ADP DET NOUN PUNCT ADJ CCONJ ADJ NOUN NOUN ADP NOUN CCONJ NOUN VERB VERB DET ADP PART VERB ADJ NOUN VERB PART CCONJ ADJ	▁On ▁the ▁contrary ▁ ; ▁cord uro y ▁and ▁other ▁imitation ▁ vel vet s , ▁like ▁ vel our ▁and ▁ vel vet een , ▁were ▁considered ▁all ▁along ▁to ▁be ▁false ▁fine ry , ▁p uff ed ▁up ▁and ▁po mp ous .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN PUNCT PUNCT ADJ ADJ ADJ CCONJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN VERB VERB DET ADP PART VERB ADJ NOUN NOUN NOUN VERB VERB VERB PART CCONJ ADJ ADJ ADJ ADJ
So we just had to accept he was right all along!	0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	ADV PRON ADV VERB PART VERB PRON VERB ADV ADV ADV	▁So ▁we ▁just ▁had ▁to ▁accept ▁he ▁was ▁right ▁all ▁along !	0 0 0 0 0 0 0 0 0 1 1 1	ADV PRON ADV VERB PART VERB PRON VERB ADV ADV ADV ADV
Everyone except Robson knew all along he was world class	0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	NOUN ADP PROPN VERB ADV ADP PRON VERB NOUN NOUN	▁Every one ▁except ▁Ro b son ▁knew ▁all ▁along ▁he ▁was ▁world ▁class	0 0 0 0 0 0 0 1 1 0 0 0 0	NOUN NOUN ADP PROPN PROPN PROPN VERB ADV ADP PRON VERB NOUN NOUN
All along the coastal plain bordering the North Sea and the Baltic, stretching from the Dutch frontier to that of the U.S.S.R., the towns suffered years of bombardment from sea and air during the Second World War.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	case	DET ADP DET ADJ ADJ VERB DET PROPN PROPN CCONJ DET PROPN VERB ADP DET ADJ NOUN ADP DET ADP DET PROPN DET NOUN VERB NOUN ADP NOUN ADP NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN	▁All ▁along ▁the ▁coastal ▁plain ▁border ing ▁the ▁North ▁Sea ▁and ▁the ▁Baltic , ▁stretch ing ▁from ▁the ▁Dutch ▁frontier ▁to ▁that ▁of ▁the ▁U . S . S . R . , ▁the ▁towns ▁suffered ▁years ▁of ▁bombard ment ▁from ▁sea ▁and ▁air ▁during ▁the ▁Second ▁World ▁War .	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADP DET ADJ ADJ VERB VERB DET PROPN PROPN CCONJ DET PROPN PROPN VERB VERB ADP DET ADJ NOUN ADP DET ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN VERB NOUN ADP NOUN NOUN ADP NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN PROPN
I remembered that they had been there all along, and wondered how I could ever have forgotten them.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADP PRON VERB VERB ADV DET ADV CCONJ VERB ADV PRON VERB ADV VERB VERB PRON	▁I ▁remembered ▁that ▁they ▁had ▁been ▁there ▁all ▁along , ▁and ▁wonder ed ▁how ▁I ▁could ▁ever ▁have ▁forgotten ▁them .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP PRON VERB VERB ADV DET ADV ADV CCONJ VERB VERB ADV PRON VERB ADV VERB VERB PRON PRON
It crossed Rain's mind that Eliot might have planned all along that Harbury should help but that Shildon had proposed her instead.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB NOUN NOUN ADP PROPN VERB VERB VERB DET ADP DET PROPN VERB VERB CCONJ ADP PROPN VERB VERB PRON ADV	▁It ▁crossed ▁Rain ' s ▁mind ▁that ▁Eli ot ▁might ▁have ▁planned ▁all ▁along ▁that ▁Har bur y ▁should ▁help ▁but ▁that ▁Shi ldon ▁had ▁proposed ▁her ▁instead .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN NOUN NOUN NOUN ADP PROPN PROPN VERB VERB VERB DET ADP DET PROPN PROPN PROPN VERB VERB CCONJ ADP PROPN PROPN VERB VERB PRON ADV ADV
Maybe it was what he wanted all along.’	0 0 0 0 0 0 1 1	all along	figurative	dashes	ADV PRON VERB NOUN PRON VERB DET PUNCT	▁May be ▁it ▁was ▁what ▁he ▁wanted ▁all ▁along . ’	0 0 0 0 0 0 0 1 1 1 1	ADV ADV PRON VERB NOUN PRON VERB DET PUNCT PUNCT PUNCT
She's all black now all along, so	0 0 0 0 1 1 0	all along	figurative	identical	PRON DET ADJ ADV ADV ADV ADV	▁She ' s ▁all ▁black ▁now ▁all ▁along , ▁so	0 0 0 0 0 0 1 1 1 0	PRON PRON PRON DET ADJ ADV ADV ADV ADV ADV
And Dot had a sinking feeling because she realized she 'd known all along even though she hadn't wanted to.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	all along	figurative	identical	CCONJ PROPN VERB DET VERB NOUN ADP PRON VERB PRON VERB VERB DET ADV ADV ADP PRON VERB VERB PART	▁And ▁Do t ▁had ▁a ▁sink ing ▁feeling ▁because ▁she ▁realized ▁she ▁' d ▁known ▁all ▁along ▁even ▁though ▁she ▁had n ' t ▁wanted ▁to .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN PROPN VERB DET VERB VERB NOUN ADP PRON VERB PRON VERB VERB VERB DET ADV ADV ADP PRON VERB VERB VERB VERB VERB PART PART
I think it was Louis all along.	0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB PRON VERB PROPN ADV ADP	▁I ▁think ▁it ▁was ▁Louis ▁all ▁along .	0 0 0 0 0 1 1 1	PRON VERB PRON VERB PROPN ADV ADP ADP
To B., the happiness of her family comes first and she is, in the eyes of Miller, clearly in the right all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	ADP PROPN DET NOUN ADP ADJ NOUN VERB ADV CCONJ PRON VERB ADP DET NOUN ADP PROPN ADV ADP DET NOUN ADV ADV	▁To ▁B . , ▁the ▁h app iness ▁of ▁her ▁family ▁comes ▁first ▁and ▁she ▁is , ▁in ▁the ▁eyes ▁of ▁Mill er , ▁clearly ▁in ▁the ▁right ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADP PROPN PROPN PROPN DET NOUN NOUN NOUN ADP ADJ NOUN VERB ADV CCONJ PRON VERB VERB ADP DET NOUN ADP PROPN PROPN PROPN ADV ADP DET NOUN ADV ADV ADV
Yeah you can drive down, drive from Marbella to Gibraltar it's all along the coast beautiful seaside sceneries	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	all along	literal	identical	INTJ PRON VERB VERB ADV VERB ADP PROPN ADP PROPN PRON DET ADP DET NOUN ADJ NOUN NOUN	▁Ye ah ▁you ▁can ▁drive ▁down , ▁drive ▁from ▁Mar b ella ▁to ▁Gibraltar ▁it ' s ▁all ▁along ▁the ▁coast ▁beautiful ▁sea side ▁scene ries	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	INTJ INTJ PRON VERB VERB ADV ADV VERB ADP PROPN PROPN PROPN ADP PROPN PRON PRON PRON DET ADP DET NOUN ADJ NOUN NOUN NOUN NOUN
It's changed partly because Stalin's er strategy in China has been shown to be a disaster and Stalin is trying to cover his tracks and most effective way of protecting himself against the criticism and the unpopularity which is likely to come from the failure is by insisting that the strategy was right all along and the revolution is about to triumph.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADV ADP PROPN INTJ NOUN ADP PROPN VERB VERB VERB PART VERB DET NOUN CCONJ PROPN VERB VERB PART VERB ADJ NOUN CCONJ ADJ ADJ NOUN ADP VERB PRON ADP DET NOUN CCONJ DET NOUN ADJ VERB ADJ PART VERB ADP DET NOUN VERB ADP VERB ADP DET NOUN VERB ADV ADV ADV CCONJ DET NOUN VERB ADJ PART VERB	▁It ' s ▁changed ▁partly ▁because ▁Stal in ' s ▁er ▁strategy ▁in ▁China ▁has ▁been ▁shown ▁to ▁be ▁a ▁disaster ▁and ▁Stal in ▁is ▁trying ▁to ▁cover ▁his ▁tracks ▁and ▁most ▁effective ▁way ▁of ▁protecting ▁himself ▁against ▁the ▁criticism ▁and ▁the ▁un popu lar ity ▁which ▁is ▁likely ▁to ▁come ▁from ▁the ▁failure ▁is ▁by ▁in sisting ▁that ▁the ▁strategy ▁was ▁right ▁all ▁along ▁and ▁the ▁revolution ▁is ▁about ▁to ▁triumph .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	PRON PRON PRON VERB ADV ADP PROPN PROPN PROPN PROPN INTJ NOUN ADP PROPN VERB VERB VERB PART VERB DET NOUN CCONJ PROPN PROPN VERB VERB PART VERB ADJ NOUN CCONJ ADJ ADJ NOUN ADP VERB PRON ADP DET NOUN CCONJ DET NOUN NOUN NOUN NOUN ADJ VERB ADJ PART VERB ADP DET NOUN VERB ADP VERB VERB ADP DET NOUN VERB ADV ADV ADV CCONJ DET NOUN VERB ADJ PART VERB VERB
She 'd been convinced all along that eventually she must lose him, that Marianne was right — some other attraction must inevitably draw him away.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB VERB ADV ADP DET ADV PRON VERB VERB PRON ADP PROPN VERB ADJ PUNCT DET ADJ NOUN VERB ADV VERB PRON ADV	▁She ▁' d ▁been ▁convinced ▁all ▁along ▁that ▁eventually ▁she ▁must ▁lose ▁him , ▁that ▁Maria n ne ▁was ▁right ▁ — ▁some ▁other ▁attraction ▁must ▁inevitably ▁draw ▁him ▁away .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB ADV ADP DET ADV PRON VERB VERB PRON PRON ADP PROPN PROPN PROPN VERB ADJ PUNCT PUNCT DET ADJ NOUN VERB ADV VERB PRON ADV ADV
The implication has been all along that they 're using the same United States manufacturing source but in fact there are one or two discrepancies here, erm, because the value is so high, I 'm actually sort of going through and looking at everything pretty closely, and they 've changed the basis so wow,.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	DET NOUN VERB VERB ADV ADP ADP PRON VERB VERB DET ADJ PROPN PROPN NOUN NOUN CCONJ ADP NOUN ADV VERB NUM CCONJ NUM NOUN ADV INTJ ADP DET NOUN VERB ADV ADJ PRON VERB ADV ADV ADV VERB ADV CCONJ VERB ADP NOUN ADV ADV CCONJ PRON VERB VERB DET NOUN ADV INTJ	▁The ▁implication ▁has ▁been ▁all ▁along ▁that ▁they ▁' re ▁using ▁the ▁same ▁United ▁States ▁manufacturing ▁source ▁but ▁in ▁fact ▁there ▁are ▁one ▁or ▁two ▁discrepancies ▁here , ▁er m , ▁because ▁the ▁value ▁is ▁so ▁high , ▁I ▁' m ▁actually ▁sort ▁of ▁going ▁through ▁and ▁looking ▁at ▁everything ▁pretty ▁closely , ▁and ▁they ▁' ve ▁changed ▁the ▁basis ▁so ▁w ow , .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB ADV ADP ADP PRON VERB VERB VERB DET ADJ PROPN PROPN NOUN NOUN CCONJ ADP NOUN ADV VERB NUM CCONJ NUM NOUN ADV ADV INTJ INTJ INTJ ADP DET NOUN VERB ADV ADJ ADJ PRON VERB VERB ADV ADV ADV VERB ADV CCONJ VERB ADP NOUN ADV ADV ADV CCONJ PRON VERB VERB VERB DET NOUN ADV INTJ INTJ INTJ INTJ
Well it actually doesn't very, it doesn't touch the actual fence it erm all along the concrete poles they 've got holes through them where you can put some wire different higher of fence you see	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	INTJ PRON ADV VERB ADV PRON VERB VERB DET ADJ NOUN PRON ADV ADV ADP DET ADJ NOUN PRON VERB VERB NOUN ADP PRON ADV PRON VERB VERB DET NOUN ADJ ADJ ADP NOUN PRON VERB	▁Well ▁it ▁actually ▁does n ' t ▁very , ▁it ▁does n ' t ▁touch ▁the ▁actual ▁fence ▁it ▁er m ▁all ▁along ▁the ▁concrete ▁pole s ▁they ▁' ve ▁got ▁holes ▁through ▁them ▁where ▁you ▁can ▁put ▁some ▁wire ▁different ▁higher ▁of ▁fence ▁you ▁see	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ PRON ADV VERB VERB VERB VERB ADV ADV PRON VERB VERB VERB VERB VERB DET ADJ NOUN PRON ADV ADV ADV ADP DET ADJ NOUN NOUN PRON VERB VERB VERB NOUN ADP PRON ADV PRON VERB VERB DET NOUN ADJ ADJ ADP NOUN PRON VERB
As Ari and Nathan went through the shop, Roirbak remembered with mixed feelings that Zambia and Tammuz might still be in there, and then wondered if some evil part of him had been aware of that all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	ADP PROPN CCONJ PROPN VERB ADP DET NOUN PROPN VERB ADP ADJ NOUN ADJ PROPN CCONJ PROPN VERB ADV VERB ADV ADV CCONJ ADV VERB ADP DET ADJ NOUN ADP PRON VERB VERB ADJ ADP DET DET ADP	▁As ▁Ari ▁and ▁Na than ▁went ▁through ▁the ▁shop , ▁Ro irb ak ▁remembered ▁with ▁mixed ▁feelings ▁that ▁Zambia ▁and ▁Ta mm uz ▁might ▁still ▁be ▁in ▁there , ▁and ▁then ▁wonder ed ▁if ▁some ▁evil ▁part ▁of ▁him ▁had ▁been ▁aware ▁of ▁that ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADP PROPN CCONJ PROPN PROPN VERB ADP DET NOUN NOUN PROPN PROPN PROPN VERB ADP ADJ NOUN ADJ PROPN CCONJ PROPN PROPN PROPN VERB ADV VERB ADV ADV ADV CCONJ ADV VERB VERB ADP DET ADJ NOUN ADP PRON VERB VERB ADJ ADP DET DET ADP ADP
