‘ I decided to make a go of it,’ she says	0 0 0 0 1 0 1 1 0 0 0	make a go of	figurative	identical	PUNCT PRON VERB PART VERB DET NOUN ADP NOUN PRON VERB
And the people doing it in these garages erm, you know like respraying and doing all the welding and everything, really he said some of the things they were doing if they did it legally they 'd make a good go of it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0	make a go of	figurative	insertion-other	CCONJ DET NOUN VERB PRON ADP DET NOUN NOUN PRON VERB INTJ VERB CCONJ VERB ADJ DET NOUN CCONJ NOUN ADV PRON VERB DET ADP DET NOUN PRON VERB VERB ADP PRON VERB PRON ADV PRON VERB VERB DET ADJ NOUN ADP PRON
Discs realised maybe they could make a go of it.	0 0 0 0 0 1 0 1 1 0	make a go of	figurative	identical	NOUN VERB ADV PRON VERB VERB DET NOUN ADP PRON
‘ We 'll make a go of it, see if we don't,’ she said to Folly as she left.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PUNCT PRON VERB VERB DET NOUN ADP PRON VERB ADP PRON VERB PRON VERB ADP PROPN ADP PRON VERB
He had his own band now ; he was trying to make a go of it full - time, and it was difficult.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PRON VERB ADJ ADJ NOUN ADV PUNCT PRON VERB VERB PART VERB DET NOUN ADP PRON ADJ PUNCT NOUN CCONJ PRON VERB ADJ
NATURALLY, BOTH Jim and Fruitbat have the wit and honesty to carry the whole affair and actually make a go of the potentially over - sanitised ‘ indie’ event.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	make a go of	figurative	identical	ADV CCONJ PROPN CCONJ PROPN VERB DET NOUN CCONJ NOUN PART VERB DET ADJ NOUN CCONJ ADV VERB DET NOUN ADP DET ADV ADV PUNCT VERB ADJ PROPN NOUN
A trawler - owning ancestor of mine bought the island, apparently convinced he could make a go of farming in a place surround by his beloved sea.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	DET NOUN PUNCT VERB NOUN ADP PRON VERB DET NOUN ADV VERB PRON VERB VERB DET NOUN ADP NOUN ADP DET NOUN NOUN ADP ADJ ADJ NOUN
Jean is right now making a go of a job that is about caring for others and often in emergency situations.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	inflection	PROPN VERB ADV ADV VERB DET NOUN ADP DET NOUN ADJ VERB ADP VERB ADP NOUN CCONJ ADV ADP NOUN NOUN
With the mines now being put up for private operation, a great deal will depend on how sincere British Coal is about helping the new licensees to make a go of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	make a go of	figurative	identical	ADP DET NOUN ADV VERB VERB PART ADP ADJ NOUN DET ADJ NOUN VERB VERB ADP ADV ADJ PROPN PROPN VERB ADP VERB DET ADJ NOUN PART VERB DET NOUN ADP PRON
He was older than the rest of us at Breakspear, you see, having tried for some years to make a go of a religious vocation before abandoning it in favour of teaching.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PRON VERB ADJ ADP DET NOUN ADP PRON ADP PROPN PRON VERB VERB VERB ADP DET NOUN PART VERB DET NOUN ADP DET ADJ NOUN ADP VERB PRON ADP NOUN ADP NOUN
‘ Oh dear,’ Louise said, unhappily, ‘ I did so hope that you two would make a go of it, but with all the rows I don't really know, I 'm sure … ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PUNCT INTJ PROPN PROPN VERB ADV PUNCT PRON VERB ADV VERB ADP PRON NUM VERB VERB DET NOUN ADP PRON CCONJ ADP ADJ DET NOUN PRON VERB ADV VERB PRON VERB ADJ PUNCT PUNCT
She was determined to make a go of this new house, in which she felt so much more cheerful, and understood fully how much depended on Mr Landor's tractability.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PRON VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP ADJ PRON VERB ADV ADV ADV ADJ CCONJ VERB ADV ADV ADV VERB ADP PROPN PROPN NOUN
‘ Think you can make a go of it?’	0 0 0 0 1 0 1 1 0	make a go of	figurative	identical	PUNCT VERB PRON VERB VERB DET NOUN ADP NOUN
If he can't make a go of them, nobody can.’	0 0 0 1 0 1 1 0 0 0	make a go of	figurative	identical	ADP PRON VERB VERB DET NOUN ADP PRON NOUN ADJ
OL ' MARK Perry's been around y'know — in at the start, an integral part, remember ' 77 — but apart from founding the fanzine, Sniffin ' Glue, he's never really made a go of it as a rocker.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	make a go of	figurative	inflection	PROPN PUNCT PROPN PROPN VERB ADP NOUN PUNCT ADP ADP DET NOUN DET ADJ NOUN VERB PUNCT NUM PUNCT CCONJ ADV ADP VERB DET NOUN PROPN PART PROPN PRON ADV ADV VERB DET NOUN ADP PRON ADP DET NOUN
So he made a go of permanently avoiding the issue.	0 0 1 0 1 1 0 0 0 0	make a go of	figurative	inflection	ADV PRON VERB DET NOUN ADP ADV VERB DET NOUN
He didn't interfere here, Uncle saw to that, so I 've had a free hand in the shop and although I say it myself I 've made a go of it.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	make a go of	figurative	inflection	PRON VERB VERB ADV PROPN VERB ADP DET ADV PRON VERB VERB DET ADJ NOUN ADP DET NOUN CCONJ ADP PRON VERB PRON PRON PRON VERB VERB DET NOUN ADP NOUN
It may sound priggish, but she says it's unwise to go against one's nature, its fundamental requirements, she knew that she could only make a go of it, a real go — and that was what she wanted — with some very extraordinary kind of man, and she hadn't met him yet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PRON VERB VERB NOUN CCONJ PRON VERB PRON ADJ PART VERB ADP PRON NOUN ADJ ADJ NOUN PRON VERB ADP PRON VERB ADV VERB DET NOUN ADP PRON DET ADJ NOUN PUNCT CCONJ DET VERB NOUN PRON VERB PUNCT ADP DET ADV ADJ NOUN ADP NOUN CCONJ PRON VERB VERB PRON ADV
‘ If your own family is so badly brought up,’ thundered a Scottish columnist, ‘ so lacking in moral fibre that it can not make a go of its marriages, what price all those Christmas homilies?’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PUNCT ADP ADJ ADJ NOUN VERB ADV ADV VERB ADV VERB DET ADJ NOUN PUNCT ADV VERB ADP ADJ NOUN ADP PRON VERB ADV VERB DET NOUN ADP ADJ NOUN ADJ NOUN ADJ DET PROPN NOUN
Given that there is a living to be made at night, and given that alternative daytime trades are thoroughly occupied, natural selection has favoured bats that make a go of the night - hunting trade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	make a go of	figurative	identical	VERB ADP ADV VERB DET NOUN PART VERB VERB ADP NOUN CCONJ VERB ADP ADJ ADJ NOUN VERB ADV VERB ADJ NOUN VERB VERB NOUN ADJ VERB DET NOUN ADP DET NOUN PUNCT NOUN NOUN
