Whether they 'll sit tight or run.	0 0 0 1 1 0 0	sit tight	figurative	identical	ADP PRON VERB VERB ADV CCONJ VERB	▁W hether ▁they ▁' ll ▁sit ▁tight ▁or ▁run .	0 0 0 0 0 1 1 0 0 0	ADP ADP PRON VERB VERB VERB ADV CCONJ VERB VERB
Jes’ sit tight an ' follow my orders, an ' you 'll all be safe.’	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	NOUN VERB ADV DET PUNCT VERB ADJ NOUN DET PUNCT PRON VERB DET VERB NOUN	▁Je s ’ ▁sit ▁tight ▁an ▁' ▁follow ▁my ▁orders , ▁an ▁' ▁you ▁' ll ▁all ▁be ▁safe . ’	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB ADV DET PUNCT VERB ADJ NOUN NOUN DET PUNCT PRON VERB VERB DET VERB NOUN NOUN NOUN
Sit tight.	1 1	sit tight	figurative	case	VERB ADV	▁Sit ▁tight .	1 1 1	VERB ADV ADV
Most people sit tight rather than lose a slice of what they see as their rightful ‘ profit’.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADJ NOUN VERB ADV ADV ADP VERB DET NOUN ADP NOUN PRON VERB ADP ADJ ADJ NUM NOUN	▁Most ▁people ▁sit ▁tight ▁rather ▁than ▁lose ▁a ▁slice ▁of ▁what ▁they ▁see ▁as ▁their ▁right ful ▁ ‘ ▁profit ’ .	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB ADV ADV ADP VERB DET NOUN ADP NOUN PRON VERB ADP ADJ ADJ ADJ NUM NUM NOUN NOUN NOUN
Or the rabbits sit tight underground as they become cornered by the ferrets.	0 0 0 1 1 0 0 0 0 0 0 0 0	sit tight	figurative	identical	CCONJ DET NOUN VERB ADV ADV ADP PRON VERB VERB ADP DET NOUN	▁Or ▁the ▁rabbits ▁sit ▁tight ▁underground ▁as ▁they ▁become ▁corner ed ▁by ▁the ▁ferrets .	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ DET NOUN VERB ADV ADV ADP PRON VERB VERB VERB ADP DET NOUN NOUN
In fact, you can argue and remonstrate until you are blue in the face but certain plans or arrangements can not be progressed just yet and you must simply sit tight and wait for the Full Moon in Aries on the 14th before making any drastic changes or decisions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADP NOUN PRON VERB VERB CCONJ VERB ADP PRON VERB ADJ ADP DET NOUN CCONJ ADJ NOUN CCONJ NOUN VERB ADV VERB VERB ADV ADV CCONJ PRON VERB ADV VERB ADV CCONJ VERB ADP DET PROPN PROPN ADP PROPN ADP DET ADJ ADP VERB DET ADJ NOUN CCONJ NOUN	▁In ▁fact , ▁you ▁can ▁argue ▁and ▁re mon st rate ▁until ▁you ▁are ▁blue ▁in ▁the ▁face ▁but ▁certain ▁plans ▁or ▁arrangements ▁can ▁not ▁be ▁progress ed ▁just ▁yet ▁and ▁you ▁must ▁simply ▁sit ▁tight ▁and ▁wait ▁for ▁the ▁Full ▁Mo on ▁in ▁A ries ▁on ▁the ▁14 th ▁before ▁making ▁any ▁drastic ▁changes ▁or ▁decisions .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN PRON VERB VERB CCONJ VERB VERB VERB VERB ADP PRON VERB ADJ ADP DET NOUN CCONJ ADJ NOUN CCONJ NOUN VERB ADV VERB VERB VERB ADV ADV CCONJ PRON VERB ADV VERB ADV CCONJ VERB ADP DET PROPN PROPN PROPN ADP PROPN PROPN ADP DET ADJ ADJ ADP VERB DET ADJ NOUN CCONJ NOUN NOUN
Could you not have sat tight in the fellow's house for a few weeks longer?’	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	VERB PRON ADV VERB VERB ADV ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN	▁Could ▁you ▁not ▁have ▁sat ▁tight ▁in ▁the ▁fellow ' s ▁house ▁for ▁a ▁few ▁weeks ▁longer ? ’	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB PRON ADV VERB VERB ADV ADP DET NOUN NOUN NOUN NOUN ADP DET ADJ NOUN NOUN NOUN NOUN
Until we get the full implications of the Taylor Report and discover what happens over the identity - card issue, we will have to sit tight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	sit tight	figurative	identical	ADP PRON VERB DET ADJ NOUN ADP DET PROPN PROPN CCONJ VERB NOUN VERB ADP DET NOUN PUNCT NOUN NOUN PRON VERB VERB PART VERB ADV	▁Until ▁we ▁get ▁the ▁full ▁implications ▁of ▁the ▁Taylor ▁Report ▁and ▁discover ▁what ▁happens ▁over ▁the ▁identity ▁- ▁card ▁issue , ▁we ▁will ▁have ▁to ▁sit ▁tight .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADP PRON VERB DET ADJ NOUN ADP DET PROPN PROPN CCONJ VERB NOUN VERB ADP DET NOUN PUNCT NOUN NOUN NOUN PRON VERB VERB PART VERB ADV ADV
The Turkish people are sitting tight, watching the skies and CNN.	0 0 0 0 1 1 0 0 0 0 0	sit tight	figurative	inflection	DET ADJ NOUN VERB VERB ADV VERB DET NOUN CCONJ PROPN	▁The ▁Turkish ▁people ▁are ▁sitting ▁tight , ▁watching ▁the ▁ski es ▁and ▁CN N .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB VERB ADV ADV VERB DET NOUN NOUN CCONJ PROPN PROPN PROPN
Though sometimes interrupted by law work, I sat tight at the story, sometimes writing as much as two chapters a day.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	ADP ADV VERB ADP NOUN NOUN PRON VERB ADV ADP DET NOUN ADV VERB ADV ADJ ADP NUM NOUN DET NOUN	▁Though ▁sometimes ▁interrupted ▁by ▁law ▁work , ▁I ▁sat ▁tight ▁at ▁the ▁story , ▁sometimes ▁writing ▁as ▁much ▁as ▁two ▁chapters ▁a ▁day .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV VERB ADP NOUN NOUN NOUN PRON VERB ADV ADP DET NOUN NOUN ADV VERB ADV ADJ ADP NUM NOUN DET NOUN NOUN
Owners are sitting tight and gritting their teeth, hoping to see out the recession.’	0 0 1 1 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	NOUN VERB VERB ADJ CCONJ VERB ADJ NOUN VERB PART VERB PART DET NOUN	▁Owner s ▁are ▁sitting ▁tight ▁and ▁gr itting ▁their ▁teeth , ▁hoping ▁to ▁see ▁out ▁the ▁recession . ’	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB VERB ADJ CCONJ VERB VERB ADJ NOUN NOUN VERB PART VERB PART DET NOUN NOUN NOUN
Describing the Dragon offer as ‘ clearly inadequate’, the board of the trust — managed by Invesco MIM — advised its shareholders and warrantholders to sit tight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	sit tight	figurative	identical	VERB DET PROPN VERB ADP PUNCT ADV VERB DET NOUN ADP DET NOUN PUNCT VERB ADP PROPN PROPN PUNCT VERB ADJ NOUN CCONJ NOUN PART VERB ADV	▁De scribing ▁the ▁Dr agon ▁offer ▁as ▁ ‘ ▁clearly ▁inadequate ’ , ▁the ▁board ▁of ▁the ▁trust ▁ — ▁managed ▁by ▁In ves co ▁M IM ▁ — ▁advised ▁its ▁shareholders ▁and ▁warrant holders ▁to ▁sit ▁tight .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	VERB VERB DET PROPN PROPN VERB ADP PUNCT PUNCT ADV VERB VERB VERB DET NOUN ADP DET NOUN PUNCT PUNCT VERB ADP PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT VERB ADJ NOUN CCONJ NOUN NOUN PART VERB ADV ADV
No, I ’ll sit tight and take what comes. "	0 0 0 1 1 0 0 0 0 0	sit tight	figurative	identical	INTJ PRON VERB VERB ADV CCONJ VERB NOUN VERB PUNCT	▁No , ▁I ▁ ’ ll ▁sit ▁tight ▁and ▁take ▁what ▁comes . ▁"	0 0 0 0 0 0 1 1 0 0 0 0 0 0	INTJ INTJ PRON VERB VERB VERB VERB ADV CCONJ VERB NOUN VERB VERB PUNCT
They sit tight, are unlikely to budge unless really disturbed and can be easily shot with a .22 rifle or even a high - powered air rifle.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	PRON VERB ADV VERB ADJ PART VERB ADP ADV ADJ CCONJ VERB VERB ADV VERB ADP DET PUNCT NOUN CCONJ ADV DET ADV PUNCT ADJ NOUN NOUN	▁They ▁sit ▁tight , ▁are ▁unlikely ▁to ▁b udge ▁unless ▁really ▁disturbed ▁and ▁can ▁be ▁easily ▁shot ▁with ▁a ▁ . 22 ▁r if le ▁or ▁even ▁a ▁high ▁- ▁powered ▁air ▁r if le .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADV VERB ADJ PART VERB VERB ADP ADV ADJ CCONJ VERB VERB ADV VERB ADP DET PUNCT PUNCT PUNCT NOUN NOUN NOUN CCONJ ADV DET ADV PUNCT ADJ NOUN NOUN NOUN NOUN NOUN
Put in £ 5,000, and sit tight for eight to ten weeks. "	0 0 0 0 0 1 1 0 0 0 0 0 0	sit tight	figurative	identical	VERB PART SYM NUM CCONJ VERB ADV ADP NUM PART NUM NOUN PUNCT	▁Put ▁in ▁£ ▁ 5,000 , ▁and ▁sit ▁tight ▁for ▁eight ▁to ▁ten ▁weeks . ▁"	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	VERB PART SYM NUM NUM NUM CCONJ VERB ADV ADP NUM PART NUM NOUN NOUN PUNCT
They 're ordered to sit tight until the thing's big enough and ripe enough to be taken.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	PRON VERB VERB PART VERB ADV ADP DET NOUN ADJ ADJ CCONJ ADJ ADV PART VERB VERB	▁They ▁' re ▁ordered ▁to ▁sit ▁tight ▁until ▁the ▁thing ' s ▁big ▁enough ▁and ▁ripe ▁enough ▁to ▁be ▁taken .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART VERB ADV ADP DET NOUN NOUN NOUN ADJ ADJ CCONJ ADJ ADV PART VERB VERB VERB
Ex - union chief sits tight in cash row	0 0 0 0 1 1 0 0 0	sit tight	figurative	inflection	PROPN PUNCT NOUN NOUN VERB ADV ADP NOUN NOUN	▁Ex ▁- ▁union ▁chief ▁sit s ▁tight ▁in ▁cash ▁row	0 0 0 0 1 1 1 0 0 0	PROPN PUNCT NOUN NOUN VERB VERB ADV ADP NOUN NOUN
So it pays the nest - owners to sit tight and hope that the killers will pass them by.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADV PRON VERB DET NOUN PUNCT NOUN PART VERB ADV CCONJ VERB ADP DET NOUN VERB VERB PRON PART	▁So ▁it ▁pays ▁the ▁n est ▁- ▁owners ▁to ▁sit ▁tight ▁and ▁hope ▁that ▁the ▁kill ers ▁will ▁pass ▁them ▁by .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB DET NOUN NOUN PUNCT NOUN PART VERB ADV CCONJ VERB ADP DET NOUN NOUN VERB VERB PRON PART PART
At any given moment, he could present a convincing case for the client to sell British Telecom shares, reinvesting the proceeds, or to hang onto them and sit tight, or else to double up, or even to buy more shares in a distinctly dubious OTC stock, while hanging onto British Telecom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADP DET VERB NOUN PRON VERB VERB DET ADJ NOUN ADP DET NOUN PART VERB PROPN PROPN NOUN VERB DET NOUN CCONJ PART VERB ADP PRON CCONJ VERB ADV CCONJ ADV PART VERB PART CCONJ ADV PART VERB ADJ NOUN ADP DET ADV ADJ PROPN NOUN ADP VERB ADP PROPN PROPN	▁At ▁any ▁given ▁moment , ▁he ▁could ▁present ▁a ▁convincing ▁case ▁for ▁the ▁client ▁to ▁sell ▁British ▁Telecom ▁shares , ▁re invest ing ▁the ▁proceeds , ▁or ▁to ▁hang ▁onto ▁them ▁and ▁sit ▁tight , ▁or ▁else ▁to ▁double ▁up , ▁or ▁even ▁to ▁buy ▁more ▁shares ▁in ▁a ▁distinct ly ▁dubious ▁OTC ▁stock , ▁while ▁hanging ▁onto ▁British ▁Telecom .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET VERB NOUN NOUN PRON VERB VERB DET ADJ NOUN ADP DET NOUN PART VERB PROPN PROPN NOUN NOUN VERB VERB VERB DET NOUN NOUN CCONJ PART VERB ADP PRON CCONJ VERB ADV ADV CCONJ ADV PART VERB PART PART CCONJ ADV PART VERB ADJ NOUN ADP DET ADV ADV ADJ PROPN NOUN NOUN ADP VERB ADP PROPN PROPN PROPN
Nearby the sea terns and eider ducks were nesting, the ducks beautifully camouflaged, sitting tight as long as they could, then moving quickly to reveal eggs of a gorgeous sage green looking so warm in their nest of breast feathers that it made me long for the comforts of my sleeping bag.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	ADV DET NOUN NOUN CCONJ NOUN NOUN VERB ADJ DET NOUN ADV VERB VERB ADV ADV ADV ADP PRON VERB ADV VERB ADV PART VERB NOUN ADP DET ADJ NOUN NOUN VERB ADV ADJ ADP ADJ NOUN ADP NOUN NOUN ADJ PRON VERB PRON ADJ ADP DET NOUN ADP ADJ VERB NOUN	▁Near by ▁the ▁sea ▁ter ns ▁and ▁e ide r ▁ducks ▁were ▁n est ing , ▁the ▁ducks ▁beautiful ly ▁cam ouf lag ed , ▁sitting ▁tight ▁as ▁long ▁as ▁they ▁could , ▁then ▁moving ▁quickly ▁to ▁reveal ▁eggs ▁of ▁a ▁go rge ous ▁s age ▁green ▁looking ▁so ▁warm ▁in ▁their ▁n est ▁of ▁breast ▁feathers ▁that ▁it ▁made ▁me ▁long ▁for ▁the ▁comfort s ▁of ▁my ▁sleeping ▁bag .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN VERB ADJ ADJ ADJ ADJ DET NOUN ADV ADV VERB VERB VERB VERB VERB VERB ADV ADV ADV ADP PRON VERB VERB ADV VERB ADV PART VERB NOUN ADP DET ADJ ADJ ADJ NOUN NOUN NOUN VERB ADV ADJ ADP ADJ NOUN NOUN ADP NOUN NOUN ADJ PRON VERB PRON ADJ ADP DET NOUN NOUN ADP ADJ VERB NOUN NOUN
A teacher came after me but I climbed through a hedge and sat tight for an hour or so.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	sit tight	figurative	inflection	DET NOUN VERB ADP PRON CCONJ PRON VERB ADP DET NOUN CCONJ VERB ADV ADP DET NOUN CCONJ ADV	▁A ▁teacher ▁came ▁after ▁me ▁but ▁I ▁climb ed ▁through ▁a ▁hedge ▁and ▁sat ▁tight ▁for ▁an ▁hour ▁or ▁so .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	DET NOUN VERB ADP PRON CCONJ PRON VERB VERB ADP DET NOUN CCONJ VERB ADV ADP DET NOUN CCONJ ADV ADV
They can not be shot or netted since they refuse to budge and will be sitting tight underground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	sit tight	figurative	inflection	PRON VERB ADV VERB VERB CCONJ VERB ADP PRON VERB PART VERB CCONJ VERB VERB VERB ADV ADV	▁They ▁can ▁not ▁be ▁shot ▁or ▁net ted ▁since ▁they ▁refuse ▁to ▁b udge ▁and ▁will ▁be ▁sitting ▁tight ▁underground .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	PRON VERB ADV VERB VERB CCONJ VERB VERB ADP PRON VERB PART VERB VERB CCONJ VERB VERB VERB ADV ADV ADV
Sir Derek, however, sat tight, believing that he should not be blamed for the £ 215 m fraud perpetrated against the company.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	inflection	PROPN PROPN ADV VERB ADV VERB ADP PRON VERB ADV VERB VERB ADP DET SYM NUM NOUN NOUN VERB ADP DET NOUN	▁Sir ▁D er ek , ▁however , ▁sat ▁tight , ▁believing ▁that ▁he ▁should ▁not ▁be ▁blame d ▁for ▁the ▁£ ▁215 ▁m ▁fraud ▁perpetrated ▁against ▁the ▁company .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN ADV ADV VERB ADV ADV VERB ADP PRON VERB ADV VERB VERB VERB ADP DET SYM NUM NOUN NOUN VERB ADP DET NOUN NOUN
‘ It said, ‘ Delayed ; sit tight.’	0 0 0 0 0 0 1 1	sit tight	figurative	dashes	PUNCT PRON VERB PUNCT PROPN PUNCT VERB ADP	▁ ‘ ▁It ▁said , ▁ ‘ ▁Delay ed ▁ ; ▁sit ▁tight . ’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT PRON VERB VERB PUNCT PUNCT PROPN PROPN PUNCT PUNCT VERB ADP ADP ADP
‘ I think they are,’ the father said, sitting tight.	0 0 0 0 0 0 0 0 1 1	sit tight	figurative	inflection	PUNCT PRON VERB PRON VERB DET NOUN VERB VERB ADV	▁ ‘ ▁I ▁think ▁they ▁are , ’ ▁the ▁father ▁said , ▁sitting ▁tight .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PUNCT PUNCT PRON VERB PRON VERB VERB VERB DET NOUN VERB VERB VERB ADV ADV
