Well it was long and it was straggly and it got on my nerves!	0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	INTJ PRON VERB ADJ CCONJ PRON VERB ADV CCONJ PRON VERB ADP ADJ NOUN	▁Well ▁it ▁was ▁long ▁and ▁it ▁was ▁ stra gg ly ▁and ▁it ▁got ▁on ▁my ▁nerve s !	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	INTJ PRON VERB ADJ CCONJ PRON VERB ADV ADV ADV ADV CCONJ PRON VERB ADP ADJ NOUN NOUN NOUN
no I hate it when each party calls each other blind, oh yes its, its better if you have us and were gon na do this and were gon na do that it gets on my nerves its really irritating	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	get on someone's nerves	figurative	combined-inflection	INTJ PRON VERB PRON ADV DET NOUN VERB DET ADJ ADJ INTJ INTJ INTJ ADJ ADJ ADP PRON VERB PRON CCONJ VERB VERB PART VERB DET CCONJ VERB VERB PART VERB DET PRON VERB ADP ADJ NOUN ADJ ADV VERB	▁no ▁I ▁hate ▁it ▁when ▁each ▁party ▁calls ▁each ▁other ▁blind , ▁ oh ▁yes ▁its , ▁its ▁better ▁if ▁you ▁have ▁us ▁and ▁were ▁ gon ▁na ▁do ▁this ▁and ▁were ▁ gon ▁na ▁do ▁that ▁it ▁get s ▁on ▁my ▁nerve s ▁its ▁really ▁irrita ting	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0	INTJ PRON VERB PRON ADV DET NOUN VERB DET ADJ ADJ ADJ INTJ INTJ INTJ INTJ INTJ ADJ ADJ ADP PRON VERB PRON CCONJ VERB VERB VERB PART VERB DET CCONJ VERB VERB VERB PART VERB DET PRON VERB VERB ADP ADJ NOUN NOUN ADJ ADV VERB VERB
Because noise, I mean it is harassing, it gets on your nerves, you know.	0 0 0 0 0 0 0 0 1 1 1 1 0 0	get on someone's nerves	figurative	combined-inflection	ADP NOUN PRON VERB PRON VERB VERB PRON VERB ADP ADJ NOUN PRON VERB	▁Because ▁noise , ▁I ▁mean ▁it ▁is ▁harass ing , ▁it ▁get s ▁on ▁your ▁nerve s , ▁you ▁know .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0	ADP NOUN NOUN PRON VERB PRON VERB VERB VERB VERB PRON VERB VERB ADP ADJ NOUN NOUN NOUN PRON VERB VERB
This stuff was really getting on my nerves.	0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	DET NOUN VERB ADV VERB ADP ADJ NOUN	▁This ▁stuff ▁was ▁really ▁gett ing ▁on ▁my ▁nerve s .	0 0 0 0 1 1 1 1 1 1 1	DET NOUN VERB ADV VERB VERB ADP ADJ NOUN NOUN NOUN
But he gets on my nerves.	0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	CCONJ PRON VERB ADP ADJ NOUN	▁But ▁he ▁get s ▁on ▁my ▁nerve s .	0 0 1 1 1 1 1 1 1	CCONJ PRON VERB VERB ADP ADJ NOUN NOUN NOUN
He gets on your nerves though.	0 1 1 1 1 0	get on someone's nerves	figurative	combined-inflection	PRON VERB ADP ADJ NOUN ADV	▁He ▁get s ▁on ▁your ▁nerve s ▁though .	0 1 1 1 1 1 1 0 0	PRON VERB VERB ADP ADJ NOUN NOUN ADV ADV
He was beginning to get on her nerves.	0 0 0 0 1 1 1 1	get on someone's nerves	figurative	possessive	PRON VERB VERB PART VERB ADP ADJ NOUN	▁He ▁was ▁beginning ▁to ▁get ▁on ▁her ▁nerve s .	0 0 0 0 1 1 1 1 1 1	PRON VERB VERB PART VERB ADP ADJ NOUN NOUN NOUN
It's just that sometimes you sound like someone straight out of a Second World War movie and it gets on my lower - middle - class nerves. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0	get on someone's nerves	figurative	combined-inflection	PRON ADV ADP ADV PRON VERB ADP NOUN ADV ADP ADP DET PROPN PROPN PROPN NOUN CCONJ PRON VERB ADP ADJ ADJ PUNCT ADJ PUNCT NOUN NOUN PUNCT	▁It ' s ▁just ▁that ▁sometimes ▁you ▁sound ▁like ▁someone ▁straight ▁out ▁of ▁a ▁Second ▁World ▁War ▁mo vie ▁and ▁it ▁get s ▁on ▁my ▁lower ▁- ▁middle ▁- ▁class ▁nerve s . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 0	PRON PRON PRON ADV ADP ADV PRON VERB ADP NOUN ADV ADP ADP DET PROPN PROPN PROPN NOUN NOUN CCONJ PRON VERB VERB ADP ADJ ADJ PUNCT ADJ PUNCT NOUN NOUN NOUN NOUN PUNCT
It really gets on my nerves, especially when the person who laughed owns a CPC!	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	PRON ADV VERB ADP ADJ NOUN ADV ADV DET NOUN NOUN VERB VERB DET PROPN	▁It ▁really ▁get s ▁on ▁my ▁nerve s , ▁especially ▁when ▁the ▁person ▁who ▁laugh ed ▁own s ▁a ▁CPC !	0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB VERB ADP ADJ NOUN NOUN NOUN ADV ADV DET NOUN NOUN VERB VERB VERB VERB DET PROPN PROPN
Ritchie admitted that the offending officer got on his nerves too, and begged me to reconsider and to allow him to intervene.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	PROPN VERB ADP DET VERB NOUN VERB ADP ADJ NOUN ADV CCONJ VERB PRON PART VERB CCONJ PART VERB PRON PART VERB	▁R itch ie ▁admitted ▁that ▁the ▁off ending ▁officer ▁got ▁on ▁his ▁nerve s ▁too , ▁and ▁be gg ed ▁me ▁to ▁reconsider ▁and ▁to ▁allow ▁him ▁to ▁intervene .	0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB ADP DET VERB VERB NOUN VERB ADP ADJ NOUN NOUN ADV ADV CCONJ VERB VERB VERB PRON PART VERB CCONJ PART VERB PRON PART VERB VERB
It was starting to get on my mother's nerves ; she thought I was spending far too much time with the bird and not enough with human beings!	0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-other	PRON VERB VERB PART VERB ADP ADJ NOUN NOUN PUNCT PRON VERB PRON VERB VERB ADV ADV ADJ NOUN ADP DET NOUN CCONJ ADV ADV ADP ADJ NOUN	▁It ▁was ▁starting ▁to ▁get ▁on ▁my ▁mother ' s ▁nerve s ▁ ; ▁she ▁thought ▁I ▁was ▁spending ▁far ▁too ▁much ▁time ▁with ▁the ▁bird ▁and ▁not ▁enough ▁with ▁human ▁beings !	0 0 0 0 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PART VERB ADP ADJ NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT PRON VERB PRON VERB VERB ADV ADV ADJ NOUN ADP DET NOUN CCONJ ADV ADV ADP ADJ NOUN NOUN
It's getting on my nerves.’	0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PRON VERB ADP ADJ NOUN	▁It ' s ▁gett ing ▁on ▁my ▁nerve s . ’	0 0 0 1 1 1 1 1 1 1 1	PRON PRON PRON VERB VERB ADP ADJ NOUN NOUN NOUN NOUN
Don't half get on your nerves!	0 0 1 1 1 1	get on someone's nerves	figurative	possessive	VERB ADV VERB ADP ADJ NOUN	▁Don ' t ▁half ▁get ▁on ▁your ▁nerve s !	0 0 0 0 1 1 1 1 1 1	VERB VERB VERB ADV VERB ADP ADJ NOUN NOUN NOUN
It really gets on my nerves.	0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PRON ADV VERB ADP ADJ NOUN	▁It ▁really ▁get s ▁on ▁my ▁nerve s .	0 0 1 1 1 1 1 1 1	PRON ADV VERB VERB ADP ADJ NOUN NOUN NOUN
You know, the one that gets on your nerves!	0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PRON VERB DET NOUN ADJ VERB ADP ADJ NOUN	▁You ▁know , ▁the ▁one ▁that ▁get s ▁on ▁your ▁nerve s !	0 0 0 0 0 0 1 1 1 1 1 1 1	PRON VERB VERB DET NOUN ADJ VERB VERB ADP ADJ NOUN NOUN NOUN
No, don't worry they just just gets on my nerves that's all.	0 0 0 0 0 0 1 1 1 1 0 0	get on someone's nerves	figurative	combined-inflection	INTJ VERB VERB PRON ADV ADV VERB ADP ADJ NOUN ADJ DET	▁No , ▁don ' t ▁worry ▁they ▁just ▁just ▁get s ▁on ▁my ▁nerve s ▁that ' s ▁all .	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0	INTJ INTJ VERB VERB VERB VERB PRON ADV ADV VERB VERB ADP ADJ NOUN NOUN ADJ ADJ ADJ DET DET
And I 'm everlasting getting bloody ooh that phone getting on my nerves.	0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	CCONJ PRON VERB ADJ VERB ADJ INTJ DET NOUN VERB ADP ADJ NOUN	▁And ▁I ▁' m ▁ever lasting ▁gett ing ▁blood y ▁o oh ▁that ▁phone ▁gett ing ▁on ▁my ▁nerve s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	CCONJ PRON VERB VERB ADJ ADJ VERB VERB ADJ ADJ INTJ INTJ DET NOUN VERB VERB ADP ADJ NOUN NOUN NOUN
It would get on my nerves.	0 0 1 1 1 1	get on someone's nerves	figurative	possessive	PRON VERB VERB ADP ADJ NOUN	▁It ▁would ▁get ▁on ▁my ▁nerve s .	0 0 1 1 1 1 1 1	PRON VERB VERB ADP ADJ NOUN NOUN NOUN
and its getting on my nerves.	0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	CCONJ ADJ NOUN ADP ADJ NOUN	▁and ▁its ▁gett ing ▁on ▁my ▁nerve s .	0 0 1 1 1 1 1 1 1	CCONJ ADJ NOUN NOUN ADP ADJ NOUN NOUN NOUN
I can't understand why it don't get on her nerves, but you	0 0 0 0 0 0 1 1 1 1 0 0	get on someone's nerves	figurative	possessive	PRON VERB VERB ADV PRON VERB VERB ADP ADJ NOUN CCONJ PRON	▁I ▁can ' t ▁understand ▁why ▁it ▁don ' t ▁get ▁on ▁her ▁nerve s , ▁but ▁you	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0	PRON VERB VERB VERB VERB ADV PRON VERB VERB VERB VERB ADP ADJ NOUN NOUN NOUN CCONJ PRON
I swore at Martin yesterday because he was getting on my nerves like he was saying	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	get on someone's nerves	figurative	combined-inflection	PRON VERB ADP PROPN NOUN ADP PRON VERB VERB ADP ADJ NOUN ADP PRON VERB VERB	▁I ▁sw ore ▁at ▁Martin ▁yesterday ▁because ▁he ▁was ▁gett ing ▁on ▁my ▁nerve s ▁like ▁he ▁was ▁saying	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0	PRON VERB VERB ADP PROPN NOUN ADP PRON VERB VERB VERB ADP ADJ NOUN NOUN ADP PRON VERB VERB
Roger : They get on your nerves.	0 0 0 1 1 1 1	get on someone's nerves	figurative	possessive	NOUN PUNCT PRON VERB ADP ADJ NOUN	▁Ro ger ▁ : ▁They ▁get ▁on ▁your ▁nerve s .	0 0 0 0 0 1 1 1 1 1 1	NOUN NOUN PUNCT PUNCT PRON VERB ADP ADJ NOUN NOUN NOUN
There 'd been a big square of white cloth amongst them, which a group of nomes had managed to tie around the human's mouth after its mooing got on everyone's nerves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	ADV VERB VERB DET ADJ NOUN ADP ADJ NOUN ADP PRON ADJ DET NOUN ADP NOUN VERB VERB PART VERB ADP DET NOUN NOUN ADP ADJ NOUN VERB ADP NOUN NOUN	▁There ▁' d ▁been ▁a ▁big ▁square ▁of ▁white ▁cloth ▁amongst ▁them , ▁which ▁a ▁group ▁of ▁no mes ▁had ▁managed ▁to ▁tie ▁around ▁the ▁human ' s ▁mouth ▁after ▁its ▁mo o ing ▁got ▁on ▁everyone ' s ▁nerve s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	ADV VERB VERB VERB DET ADJ NOUN ADP ADJ NOUN ADP PRON PRON ADJ DET NOUN ADP NOUN NOUN VERB VERB PART VERB ADP DET NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN NOUN VERB ADP NOUN NOUN NOUN NOUN NOUN NOUN
Cos I do, gets on my nerves.	0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	NOUN PRON VERB VERB ADP ADJ NOUN	▁Co s ▁I ▁do , ▁get s ▁on ▁my ▁nerve s .	0 0 0 0 0 1 1 1 1 1 1 1	NOUN NOUN PRON VERB VERB VERB VERB ADP ADJ NOUN NOUN NOUN
Oh this is really getting on my nerves.	0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	INTJ DET VERB ADV VERB ADP ADJ NOUN	▁O h ▁this ▁is ▁really ▁gett ing ▁on ▁my ▁nerve s .	0 0 0 0 0 1 1 1 1 1 1 1	INTJ INTJ DET VERB ADV VERB VERB ADP ADJ NOUN NOUN NOUN
