The Highways Department will sink or swim on the basis of everyone pulling together.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0	sink or swim	figurative	identical	DET PROPN PROPN VERB VERB CCONJ VERB ADP DET NOUN ADP NOUN VERB NOUN	▁The ▁High ways ▁Department ▁will ▁sink ▁or ▁sw im ▁on ▁the ▁basis ▁of ▁everyone ▁pull ing ▁together . ’	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN VERB VERB CCONJ VERB VERB ADP DET NOUN ADP NOUN VERB VERB NOUN NOUN NOUN
Greece would have sunk or swum on its own.	0 0 0 1 1 1 0 0 0	sink or swim	figurative	inflection	PROPN VERB VERB VERB CCONJ VERB ADP ADJ ADJ	▁Greece ▁would ▁have ▁sun k ▁or ▁sw um ▁on ▁its ▁own .	0 0 0 1 1 1 1 1 0 0 0 0	PROPN VERB VERB VERB VERB CCONJ VERB VERB ADP ADJ ADJ ADJ
‘ He threw you in and you either sank or swam.’	0 0 0 0 0 0 0 0 1 1 1	sink or swim	figurative	combined-inflection	PUNCT PRON VERB PRON ADV CCONJ PRON CCONJ VERB CCONJ VERB	▁ ‘ ▁He ▁threw ▁you ▁in ▁and ▁you ▁either ▁san k ▁or ▁sw am . ’	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	PUNCT PUNCT PRON VERB PRON ADV CCONJ PRON CCONJ VERB VERB CCONJ VERB VERB VERB VERB
We sink or swim together.	0 1 1 1 0	sink or swim	figurative	identical	PRON VERB CCONJ VERB ADV	▁We ▁sink ▁or ▁sw im ▁together .	0 1 1 1 1 0 0	PRON VERB CCONJ VERB VERB ADV ADV
Latecomers sink or swim in the great flotation race.	0 1 1 1 0 0 0 0 0	sink or swim	figurative	identical	NOUN VERB CCONJ VERB ADP DET ADJ NOUN NOUN	▁L ate com ers ▁sink ▁or ▁sw im ▁in ▁the ▁great ▁f lot ation ▁race .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN VERB CCONJ VERB VERB ADP DET ADJ NOUN NOUN NOUN NOUN NOUN
It was sink or swim for Noreen O'Neil —‘The Singing Sensation from Ireland’— or ‘ The Sweet Colleen wearin ' the Green’— as the posters outside the South Broad Street Theatre in Philadelphia proclaimed.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sink or swim	figurative	identical	PRON VERB ADJ CCONJ VERB ADP PROPN PROPN PROPN PROPN PROPN ADP NUM CCONJ PUNCT DET ADJ PROPN PROPN PUNCT DET NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN ADP PROPN VERB	▁It ▁was ▁sink ▁or ▁sw im ▁for ▁Nor een ▁O ' Neil ▁ —‘ The ▁S ing ing ▁S ens ation ▁from ▁Ireland ’— ▁or ▁ ‘ ▁The ▁Sweet ▁Coll een ▁wear in ▁' ▁the ▁Green ’— ▁as ▁the ▁post ers ▁outside ▁the ▁South ▁Broad ▁Street ▁The a tre ▁in ▁Ph ila del phi a ▁proclaimed .	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ CCONJ VERB VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP NUM NUM CCONJ PUNCT PUNCT DET ADJ PROPN PROPN PROPN PROPN PUNCT DET NOUN NOUN ADP DET NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN VERB VERB
A case of sink or swim.	0 0 0 1 1 1	sink or swim	figurative	identical	DET NOUN ADP NOUN CCONJ VERB	▁A ▁case ▁of ▁sink ▁or ▁sw im .	0 0 0 1 1 1 1 1	DET NOUN ADP NOUN CCONJ VERB VERB VERB
Carter's federally aided approach to help cities adjust to changing economic realities gave way to Reagan's sink - or - swim philosophy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	sink or swim	figurative	dashes	PROPN ADV VERB NOUN PART VERB NOUN VERB ADP VERB ADJ NOUN VERB NOUN ADP PROPN NOUN PUNCT CCONJ PUNCT VERB NOUN	▁Car ter ' s ▁federal ly ▁aided ▁approach ▁to ▁help ▁cities ▁adjust ▁to ▁changing ▁economic ▁realities ▁gave ▁way ▁to ▁Re agan ' s ▁sink ▁- ▁or ▁- ▁sw im ▁philosophy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0	PROPN PROPN PROPN PROPN ADV ADV VERB NOUN PART VERB NOUN VERB ADP VERB ADJ NOUN VERB NOUN ADP PROPN PROPN PROPN PROPN NOUN PUNCT CCONJ PUNCT VERB VERB NOUN NOUN
‘ You either sink or swim,’ she said, ‘ and I 'd decided I was going to swim.’	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	sink or swim	figurative	dashes	PUNCT PRON CCONJ VERB CCONJ NOUN PRON VERB PUNCT CCONJ PRON VERB VERB PRON VERB VERB PART VERB	▁ ‘ ▁You ▁either ▁sink ▁or ▁sw im , ’ ▁she ▁said , ▁ ‘ ▁and ▁I ▁' d ▁decided ▁I ▁was ▁going ▁to ▁sw im . ’	0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON CCONJ VERB CCONJ NOUN NOUN NOUN NOUN PRON VERB VERB PUNCT PUNCT CCONJ PRON VERB VERB VERB PRON VERB VERB PART VERB VERB VERB VERB
I mean the furore about actually leasing trains has taken several years to develop erm And you just have to look at at the moment now and he doesn't know if he's sinking or swimming basically.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	sink or swim	figurative	inflection	PRON VERB DET NOUN ADP ADV VERB NOUN VERB VERB ADJ NOUN PART VERB NOUN CCONJ PRON ADV VERB PART VERB ADP ADP DET NOUN ADV CCONJ PRON VERB VERB ADP PRON VERB CCONJ NOUN ADV	▁I ▁mean ▁the ▁furo re ▁about ▁actually ▁leasing ▁trains ▁has ▁taken ▁several ▁years ▁to ▁develop ▁er m ▁And ▁you ▁just ▁have ▁to ▁look ▁at ▁at ▁the ▁moment ▁now ▁and ▁he ▁does n ' t ▁know ▁if ▁he ' s ▁sink ing ▁or ▁swimming ▁basic ally .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	PRON VERB DET NOUN NOUN ADP ADV VERB NOUN VERB VERB ADJ NOUN PART VERB NOUN NOUN CCONJ PRON ADV VERB PART VERB ADP ADP DET NOUN ADV CCONJ PRON VERB VERB VERB VERB VERB ADP PRON PRON PRON VERB VERB CCONJ NOUN ADV ADV ADV
The Ohio bank does not leave its newcomers to sink or swim by themselves.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	sink or swim	figurative	identical	DET PROPN NOUN VERB ADV VERB ADJ NOUN PART VERB CCONJ VERB ADP PRON	▁The ▁O h io ▁bank ▁does ▁not ▁leave ▁its ▁new com ers ▁to ▁sink ▁or ▁sw im ▁by ▁themselves .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	DET PROPN PROPN PROPN NOUN VERB ADV VERB ADJ NOUN NOUN NOUN PART VERB CCONJ VERB VERB ADP PRON PRON
She had been thrown in at the deep end and it was a question of sink or swim.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	sink or swim	figurative	identical	PRON VERB VERB VERB PART ADP DET ADJ NOUN CCONJ PRON VERB DET NOUN ADP NOUN CCONJ VERB	▁She ▁had ▁been ▁thrown ▁in ▁at ▁the ▁deep ▁end ▁and ▁it ▁was ▁a ▁question ▁of ▁sink ▁or ▁sw im .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB VERB PART ADP DET ADJ NOUN CCONJ PRON VERB DET NOUN ADP NOUN CCONJ VERB VERB VERB
Only one person really cared whether he sank or swam, and he was far off in Paris.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	sink or swim	figurative	inflection	ADV NUM NOUN ADV VERB ADP PRON VERB CCONJ INTJ CCONJ PRON VERB ADV PART ADP PROPN	▁Only ▁one ▁person ▁really ▁care d ▁whether ▁he ▁san k ▁or ▁sw am , ▁and ▁he ▁was ▁far ▁off ▁in ▁Paris .	0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0	ADV NUM NOUN ADV VERB VERB ADP PRON VERB VERB CCONJ INTJ INTJ INTJ CCONJ PRON VERB ADV PART ADP PROPN PROPN
