' In the flesh, ' he supplied.	0 1 0 1 0 0 0	in the flesh	figurative	case	PUNCT ADP DET NOUN PUNCT PRON VERB
He simply had no idea what these strange creatures could look like in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PRON ADV VERB DET NOUN NOUN DET ADJ NOUN VERB VERB ADP ADP DET NOUN
When they are engaged in this ' bonding ' act, that helps to cement their friendships, their necks twist towards one another and this causes vertical folds or furrows to be formed in their flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	literal	determiner-broad	ADV PRON VERB VERB ADP DET PUNCT NOUN PUNCT NOUN DET VERB PART VERB ADJ NOUN ADJ NOUN VERB ADP NUM DET CCONJ DET VERB ADJ NOUN CCONJ NOUN PART VERB VERB ADP ADJ NOUN
Her fantasy hit the earth as Lucy in the flesh opened the door.	0 0 0 0 0 0 0 1 0 1 0 0 0	in the flesh	figurative	identical	ADJ NOUN VERB DET NOUN ADP PROPN ADP DET NOUN VERB DET NOUN
Bees and wasps will leave their stings in the flesh of their enemies, employing a similarly aggressive form of self - mutilation.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	identical	NOUN CCONJ NOUN VERB VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN VERB DET ADV ADJ NOUN ADP NOUN PUNCT NOUN
And the uncircumcised male who is not circumcised in the flesh of his foreskin, that soul shall be cut off from his people ; he hath broken my covenant.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	identical	CCONJ DET ADJ NOUN NOUN VERB ADV VERB ADP DET NOUN ADP ADJ NOUN DET NOUN VERB VERB VERB PART ADP ADJ NOUN PUNCT PRON VERB VERB ADJ NOUN
Moving round the archways of Valencia's bull - ring where, that night, Nirvana would give Spain its first in - the - flesh taste of what this nonsense was all about, it was almost a relief to greet Kurt Cobain once again, a paler, bleached - haired, bespectacled Kurt Cobain, but recognisably the same lovable scruff who late last year turned rock ' n ' roll upside down with a song named after a deodorant.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	dashes	VERB ADP DET NOUN ADP PROPN NOUN PUNCT NOUN ADV DET NOUN PROPN VERB VERB PROPN ADJ ADJ ADP PUNCT DET PUNCT NOUN NOUN ADP NOUN DET NOUN VERB ADV ADP PRON VERB ADV DET NOUN PART VERB PROPN PROPN ADV ADV DET NOUN ADJ PUNCT ADJ VERB PROPN PROPN CCONJ ADV DET ADJ ADJ NOUN NOUN ADV ADJ NOUN VERB NOUN PUNCT CCONJ PUNCT NOUN ADV ADV ADP DET NOUN VERB ADP DET NOUN
But meeting Romano de Sciorto in the flesh seemed to be proving her wrong …	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the flesh	figurative	identical	CCONJ VERB PROPN ADP PROPN ADP DET NOUN VERB PART VERB VERB ADJ NOUN PUNCT
Not so tall, he was dark and clean - shaven with sharp, observant eyes and a cleft in the flesh of his chin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the flesh	literal	identical	ADV ADV ADJ PRON VERB ADJ CCONJ ADJ PUNCT ADJ ADP ADJ ADJ NOUN CCONJ DET NOUN ADP DET NOUN ADP ADJ NOUN
John and Joan decided that they should meet Alexander Atkins and his colleague in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PROPN CCONJ PROPN VERB ADP PRON VERB VERB PROPN PROPN CCONJ ADJ NOUN ADP DET NOUN
Somehow Luke Hunter in the flesh seemed a whole lot less easy to ‘ cope with’ than she had envisaged.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	ADV PROPN PROPN ADP DET NOUN VERB DET ADJ NOUN ADV ADJ PART PUNCT NOUN NOUN ADP PRON VERB VERB
Shoreditch can reveal that Neil Kinnock won't need to ‘ pick up the phone’ to Paddy Ashdown on the day after the election : the two men have made arrangements to meet in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PROPN VERB VERB ADP PROPN PROPN VERB VERB PART PUNCT VERB PART DET NOUN ADP PROPN PROPN ADP DET NOUN ADP DET NOUN PUNCT DET NUM NOUN VERB VERB NOUN PART VERB ADP DET NOUN
The word had come, engendered in the flesh	0 0 0 0 0 1 0 1	in the flesh	figurative	identical	DET NOUN VERB VERB VERB ADP DET NOUN
The archetypical idea was manifested in the flesh, under divers such modifications, upon this planet, long prior to the existence of those animals species that actually exemplify it.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	DET ADJ NOUN VERB VERB ADP DET NOUN ADP NOUN ADJ NOUN ADP DET NOUN ADV ADV ADP DET NOUN ADP DET NOUN NOUN ADJ ADV VERB PRON
But now he was going to see her in the flesh.	0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	CCONJ ADV PRON VERB VERB PART VERB PRON ADP DET NOUN
Tom and Jerry in the Flesh	0 0 0 1 0 1	in the flesh	figurative	case	PROPN CCONJ PROPN ADP DET PROPN
The carapace required almost a year to become fully symbiotic with the body — and its owner required purification, distillation in the alembic of combat before his augmented natural body could be judged to be fully transmuted in spirit as well as in flesh and bone, and thus worthy of donning complete Marine armour …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	deletion-determiner	DET NOUN VERB ADV DET NOUN PART VERB ADV ADJ ADP DET NOUN PUNCT CCONJ ADJ NOUN VERB NOUN NOUN ADP DET ADJ ADP NOUN ADP ADJ VERB ADJ NOUN VERB VERB VERB PART VERB ADV VERB ADP NOUN ADV ADV ADP ADP NOUN CCONJ NOUN CCONJ ADV ADJ ADP VERB ADJ PROPN NOUN PUNCT
Make a few slashes in the chicken flesh.	0 0 0 0 1 0 0 1	in the flesh	literal	insertion-other	VERB DET ADJ NOUN ADP DET NOUN NOUN
Nevertheless, Jackson had managed to convey the essence of this tall, eccentric doctor in his report, enough to make Montgomery very curious to meet him in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	ADV PROPN VERB VERB PART VERB DET NOUN ADP DET ADJ ADJ NOUN ADP ADJ NOUN ADV PART VERB PROPN ADV ADJ PART VERB PRON ADP DET NOUN
They 've turned down several lucrative offers to reform in the past, but feel that now is the time for fans outside London to get a chance to see them in the flesh.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	dashes	PRON VERB VERB PART ADJ ADJ NOUN PART VERB ADP DET NOUN CCONJ VERB ADP ADV VERB DET NOUN ADP NOUN ADP PROPN PART VERB DET NOUN PART VERB PRON ADP DET NOUN
The second, that the only way to solve the problem on the canvas was to see its subject again in the flesh, which thought he welcomed, and went to dreams relieved of his frauds and pieties, smiling to think of having the rare thing's face before him once again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	DET ADJ ADP DET ADJ NOUN PART VERB DET NOUN ADP DET NOUN VERB PART VERB ADJ NOUN ADV ADP DET NOUN ADJ VERB PRON VERB CCONJ VERB ADP NOUN VERB ADP ADJ NOUN CCONJ NOUN VERB PART VERB ADP VERB DET ADJ NOUN NOUN ADP PRON ADV ADV
For many years nobody saw a dislocation in the flesh, or perhaps ever expected to, but their hypothetical movements ( dislocations of like sign repel each other etc. ) and breeding habits ( when the union of two dislocations is blessed about five hundred new dislocations are suddenly released upon the crystal ) could be theoretically predicted and provided a superb intellectual exercise like three dimensional chess.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	ADP ADJ NOUN NOUN VERB DET NOUN ADP DET NOUN CCONJ ADV ADV VERB PART CCONJ ADJ ADJ NOUN PUNCT NOUN ADP ADP NOUN VERB DET ADJ X PUNCT CCONJ NOUN NOUN PUNCT ADV DET NOUN ADP NUM NOUN VERB VERB ADP NUM NUM ADJ NOUN VERB ADV VERB ADP DET NOUN PUNCT VERB VERB ADV VERB CCONJ VERB DET ADJ ADJ NOUN ADP NUM ADJ NOUN
Thus only Taiwan from the Scots ' pool for the Murrayfield event will not be seen in the flesh, although Scotland's sevens coaches, Douglas Morgan and John Jeffrey, will doubtless seek videotape of the tournament in Sicily last summer from which the Taiwanese qualified.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	ADV ADV PROPN ADP DET PROPN PART NOUN ADP DET PROPN NOUN VERB ADV VERB VERB ADP DET NOUN ADP PROPN NOUN NOUN PROPN PROPN CCONJ PROPN PROPN VERB ADV VERB NOUN ADP DET NOUN ADP PROPN ADJ NOUN ADP ADJ DET PROPN VERB
Where is heaven, anyway, for her to go to in the flesh?	0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	ADV VERB PROPN ADV ADP PRON PART VERB ADP ADP DET NOUN
I 've yet to see a lovable moptop Inspiral Carpet in the flesh, but obviously they 're on the verge of making it here when they 're staying in the same hotel as Bruce Dickinson out of Iron Maiden.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	PRON VERB ADV PART VERB DET ADJ NOUN PROPN PROPN ADP DET NOUN CCONJ ADV PRON VERB ADP DET NOUN ADP VERB PRON ADV ADV PRON VERB VERB ADP DET ADJ NOUN ADP PROPN PROPN ADP ADP PROPN PROPN
In fact, I just saw him in the flesh, bruised as that might be.’	0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the flesh	figurative	identical	ADP NOUN PRON ADV VERB PRON ADP DET NOUN VERB ADP DET VERB VERB
In the flesh Jane Pargeter was familiar but different to how Dexter had imagined her from the image on television.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	case	ADP DET NOUN PROPN PROPN VERB ADJ CCONJ ADJ ADP ADV PROPN VERB VERB PRON ADP DET NOUN ADP NOUN
This was the first time I had seen him surf in the flesh, but for an entire month I had contemplated him pulling fearlessly into a vicious Pipeline tube when I should have been writing lectures.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	DET VERB DET ADJ NOUN PRON VERB VERB PRON NOUN ADP DET NOUN CCONJ ADP DET ADJ NOUN PRON VERB VERB PRON VERB ADV ADP DET ADJ PROPN NOUN ADV PRON VERB VERB VERB VERB NOUN
When she recently appeared at a New York department store to promote a scent, over 5,000 people turned up to catch a precious glimpse of her in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	ADV PRON ADV VERB ADP DET PROPN PROPN NOUN NOUN PART VERB DET NOUN ADP NUM NOUN VERB PART PART VERB DET ADJ NOUN ADP PRON ADP DET NOUN
‘ Until I met him in the flesh.	0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PUNCT ADP PRON VERB PRON ADP DET NOUN
Now one of them seizes me, and it isn't a man, it's an octopus with claws — it holds me in its tentacles, its talons dig into my flesh and my blood drips out through the holes in my flesh and my blood isn't red human blood, it's black like tar, like drops of liquid evil …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	determiner-broad	ADV NUM ADP PRON VERB PRON CCONJ PRON VERB DET NOUN PRON DET NOUN ADP NOUN PUNCT PRON VERB PRON ADP ADJ NOUN ADJ NOUN VERB ADP ADJ NOUN CCONJ ADJ NOUN VERB PART ADP DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN VERB ADJ ADJ NOUN PRON ADJ ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT
Like a wound in your own flesh, a clean cut heals quickly, but a jagged, ragged, bruised gash can take a long time to heel and is open to infection all that time.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	combined-other	ADP DET NOUN ADP ADJ ADJ NOUN DET ADJ NOUN NOUN ADV CCONJ DET ADJ ADJ VERB NOUN VERB VERB DET ADJ NOUN PART VERB CCONJ VERB ADJ ADP NOUN ADJ DET NOUN
‘ By this you know the Spirit of God : every spirit that confesses that Jesus has come in the flesh is of God, and every spirit that does not confess Jesus is not of God’(4:2 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	PUNCT ADP DET PRON VERB DET PROPN ADP PROPN PUNCT DET NOUN ADJ VERB ADP PROPN VERB VERB ADP DET NOUN VERB ADP PROPN CCONJ DET NOUN ADJ VERB ADV VERB PROPN VERB ADV ADP ADJ PUNCT
To take one example, while Bill ~ Clinton speaks with warmth, wit, and great eloquence in the flesh, his autobiography is not worth reading.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the flesh	figurative	identical	PART VERB NUM NOUN ADP PROPN PUNCT PROPN VERB ADP NOUN NOUN CCONJ ADJ NOUN ADP DET NOUN ADJ NOUN VERB ADV ADJ VERB
He had not, of course, seen the Lord in the flesh, and therefore, he begins to tell the story from the birth of John on.’	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	PRON VERB ADV ADP NOUN VERB DET PROPN ADP DET NOUN CCONJ ADV PRON VERB PART VERB DET NOUN ADP DET NOUN ADP PROPN PROPN
I saw once the head of a dear friend among the leaves and was less astonished at what first seemed an apparition than by his disentangling himself and in the flesh bidding his good morning, so accustomed was I to looking for my thoughts and news among the leaves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	PRON VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB ADV ADJ ADP NOUN ADV VERB DET NOUN ADP ADP ADJ VERB PRON CCONJ ADP DET NOUN VERB ADJ ADJ NOUN ADV ADJ VERB PRON ADP VERB ADP ADJ NOUN CCONJ NOUN ADP DET NOUN
' In the flesh. '	0 1 0 1 0	in the flesh	figurative	case	PUNCT ADP DET NOUN PUNCT
‘ If rhythm's a drug I 'm hooked on you / Show me every move / We've got perfect motion’— just like Madonna or Betty Boo at their best, this is pure and damn - near perfect pop, and for once it's even better in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PUNCT ADP NOUN DET NOUN PRON VERB ADJ ADP PRON SYM VERB PRON DET NOUN PUNCT PRON VERB ADJ NOUN ADV ADP PROPN CCONJ PROPN PROPN ADP ADJ ADJ DET VERB ADJ CCONJ ADJ PUNCT ADJ ADJ NOUN CCONJ ADP ADV PRON ADV ADJ ADP DET NOUN
As tv onlookers we are placed at the centre of events no human being could ever witness in the flesh, by close - ups of a bomb 's- eye view of the interior of a ventilator shaft right up to the moment of impact.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	ADP NOUN NOUN PRON VERB VERB ADP DET NOUN ADP NOUN DET ADJ NOUN VERB ADV VERB ADP DET NOUN ADP ADJ PUNCT NOUN ADP DET NOUN X NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN ADV ADP ADP DET NOUN ADP NOUN
And ye shall be circumcised in the flesh of your foreskin ; and it shall be a token of a covenant betwixt Me and you.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	identical	CCONJ PRON VERB VERB VERB ADP DET NOUN ADP ADJ NOUN PUNCT CCONJ PRON VERB VERB DET NOUN ADP DET NOUN NOUN PRON CCONJ PRON
How could any man be so huge and powerful in the flesh?	0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	ADV VERB DET NOUN VERB ADV ADJ CCONJ ADJ ADP DET NOUN
The indentations in the flesh of her cheeks looked like inroads carved by tears.	0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the flesh	literal	identical	DET NOUN ADP DET NOUN ADP ADJ NOUN VERB ADP NOUN VERB ADP NOUN
She had recognised him instantly, though she had seen him in the flesh only once before and that had been across a crowded ballroom.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	PRON VERB VERB PRON ADV ADP PRON VERB VERB PRON ADP DET NOUN ADV ADV ADV CCONJ DET VERB VERB ADP DET ADJ NOUN
And in the flesh he lives up to his image — at 58 he's lean and fit, and with his tanned face and hallmark beard, he looks every bit the outdoor adventurer.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	CCONJ ADP DET NOUN PRON VERB PART ADP ADJ NOUN PUNCT ADP NUM PRON ADJ CCONJ ADJ CCONJ ADP ADJ VERB NOUN CCONJ VERB NOUN PRON VERB DET NOUN DET ADJ NOUN
Especially among those who make a living off the backs of other animals, whether this be in the name of science, commerce in flesh, or entertainment, for example, we are being ' reckoned with ' with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	deletion-determiner	ADV ADP DET NOUN VERB DET NOUN ADP DET NOUN ADP ADJ NOUN ADP DET VERB ADP DET NOUN ADP NOUN NOUN ADP NOUN CCONJ NOUN ADP NOUN PRON VERB VERB PUNCT VERB ADP PUNCT ADP DET NOUN
God in the flesh, do you know who I am?	0 1 0 1 0 0 0 0 0 0	in the flesh	figurative	identical	PROPN ADP DET NOUN VERB PRON VERB NOUN PRON VERB
He saw her face clearly, sometimes in the photograph, sometimes in the flesh.	0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PRON VERB ADJ NOUN ADV ADV ADP DET NOUN ADV ADP DET NOUN
It was a look she recognised instantly, although it was the first time she 'd seen it in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PRON VERB DET NOUN PRON VERB ADV ADP PRON VERB DET ADJ NOUN PRON VERB VERB PRON ADP DET NOUN
But the image of Dinah would not leave him, and was strengthened by the times he visited the theatre and saw her in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	CCONJ DET NOUN ADP PROPN VERB ADV VERB PRON CCONJ VERB VERB ADP DET NOUN PRON VERB DET NOUN CCONJ VERB PRON ADP DET NOUN
She wondered if her father had ever been there? really been there, in the flesh?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PRON VERB ADP ADJ NOUN VERB ADV VERB ADV ADV VERB ADV ADP DET NOUN
In the end, Puttnam in the flesh endorses the film industry view of Puttnam : a beguiling mixture of energy that radiates to others and energy focused on himself.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	figurative	identical	ADP DET NOUN PROPN ADP DET NOUN VERB DET NOUN NOUN NOUN ADP PROPN PUNCT DET VERB NOUN ADP NOUN ADJ VERB ADP NOUN CCONJ NOUN VERB ADP PRON
An image of bone in flesh, a child's cut flesh knitted closed with bone, with sharp bone fragments, the wound healed, the blood dried.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	deletion-determiner	DET NOUN ADP NOUN ADP NOUN DET NOUN VERB NOUN VERB VERB ADP NOUN ADP ADJ NOUN NOUN DET NOUN VERB DET NOUN VERB
She had heard that parents like this existed all over the place and that their children turned out to be delinquents and drop - outs, but it was still a shock to meet a pair of them in the flesh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PRON VERB VERB ADP NOUN ADP DET VERB ADV ADP DET NOUN CCONJ ADP ADJ NOUN VERB PART PART VERB NOUN CCONJ NOUN PUNCT NOUN CCONJ PRON VERB ADV DET NOUN PART VERB DET NOUN ADP PRON ADP DET NOUN
In Malaysia, a single tiger whisker ground up in the animal's flesh or bone is thought to be powerful enough to kill an enemy.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the flesh	literal	combined-other	ADP PROPN DET ADJ NOUN NOUN VERB PART ADP DET NOUN NOUN CCONJ NOUN VERB VERB PART VERB ADJ ADV PART VERB DET NOUN
It was so strange to meet and talk to them in the flesh.	0 0 0 0 0 0 0 0 0 0 1 0 1	in the flesh	figurative	identical	PRON VERB ADV ADJ PART VERB CCONJ VERB ADP PRON ADP DET NOUN
God in the flesh.	0 1 0 1	in the flesh	figurative	identical	PROPN ADP DET NOUN
And then, after the years of expectation and hope, the reading and planning, suddenly it is there, in the flesh — and it is great!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the flesh	figurative	identical	CCONJ ADV ADP DET NOUN ADP NOUN CCONJ NOUN DET NOUN CCONJ NOUN ADV PRON VERB ADV ADP DET NOUN PUNCT CCONJ PRON VERB ADJ
And in the weather - beaten flesh Johnny Cash is a mighty impressive man.	0 1 0 0 0 0 1 0 0 0 0 0 0 0	in the flesh	figurative	combined-other	CCONJ ADP DET NOUN PUNCT VERB NOUN PROPN PROPN VERB DET ADJ ADJ NOUN
