‘ I think I 'll go and take a bath, if you 'll excuse me.’	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take a bath	literal	identical	PUNCT PRON VERB PRON VERB VERB CCONJ VERB DET NOUN ADP PRON VERB VERB NOUN
He was all set to take an early bath from his marriage to have an affair with soccer writer Suzannah Dwyer.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	figurative	inflection	PRON VERB DET VERB PART VERB DET ADJ NOUN ADP ADJ NOUN PART VERB DET NOUN ADP NOUN NOUN PROPN PROPN
I took a mug of water to clean my teeth, shave, and take a bath.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take a bath	literal	identical	PRON VERB DET NOUN ADP NOUN PART VERB ADJ NOUN VERB CCONJ VERB DET NOUN
‘ I 'm going to go and take a bath, then I 'll pack.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	take a bath	literal	identical	PUNCT PRON VERB VERB PART VERB CCONJ VERB DET NOUN ADV PRON VERB VERB
It was an ancient custom that on the fourth day of her menstruation, when a woman had taken her ritual bath, her husband was honour - bound to have intercourse with her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	combined-inflection	PRON VERB DET ADJ NOUN ADJ ADP DET ADJ NOUN ADP ADJ NOUN ADV DET NOUN VERB VERB ADJ ADJ NOUN ADJ NOUN VERB NOUN PUNCT VERB PART VERB NOUN ADP PRON
Take a warm, not hot, bath.	1 0 0 0 0 1	take a bath	literal	combined-other	VERB DET NOUN ADV ADJ NOUN
Before entering the mikva, you take a bath, cut your finger- and toe - nails, comb your hair thoroughly and make sure that every part of you is scrupulously clean.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	identical	ADP VERB DET NOUN PRON VERB DET NOUN VERB ADJ ADJ CCONJ NOUN PUNCT NOUN VERB ADJ NOUN ADV CCONJ VERB ADJ ADP DET NOUN ADP PRON VERB ADV ADJ
CD's reference to his succeeding the experimental philosophical pig who had died from ‘ taking a bath at too high a temperature’, and thus falling a victim ‘ to his thirst for knowledge’ is a jocose allusion to Pliny's death during the eruption of Vesuvius, which he was trying to study at close quarters.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	inflection	NOUN NOUN ADP ADJ VERB DET ADJ ADJ NOUN NOUN VERB VERB ADP PUNCT VERB DET NOUN ADP ADV ADJ DET NOUN CCONJ ADV VERB DET NOUN PUNCT ADP ADJ NOUN ADP VERB VERB DET ADJ NOUN ADP PROPN NOUN ADP DET NOUN ADP PROPN ADJ PRON VERB VERB PART VERB ADP ADJ NOUN
Mothers shaved the heads of their daughters and then made them undress to take cold baths in public on the Hill of Calvary.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	take a bath	literal	determiner-broad	NOUN VERB DET NOUN ADP ADJ NOUN CCONJ ADV VERB PRON ADJ PART VERB ADJ NOUN ADP NOUN ADP DET PROPN ADP PROPN
What happens when ‘ he’ moves in and I can't work at all hours, can't eat when I like, can't take a bath any time I like, when he insists that I visit his relatives?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	identical	NOUN VERB ADV PUNCT PROPN VERB PART CCONJ PRON VERB VERB ADP DET NOUN VERB VERB ADV PRON VERB VERB VERB DET NOUN DET NOUN PRON VERB ADV PRON VERB ADP PRON VERB ADJ NOUN
Folk recipes to try : take a lukewarm bath with two cups of cider vinegar or some bicarbonate of soda added.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	insertion-other	NOUN NOUN PART VERB PUNCT VERB DET ADJ NOUN ADP NUM NOUN ADP NOUN NOUN CCONJ DET NOUN ADP NOUN VERB
From now on, when Cissie was taking her bath, that door would be locked, just as it was when Beth herself was bathing.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	combined-inflection	ADP ADV ADV ADV PROPN VERB VERB ADJ NOUN DET NOUN VERB VERB VERB ADV ADP PRON VERB ADV PROPN PRON VERB VERB
He told them that it was his custom to take a cold bath and he returned upstairs.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	take a bath	literal	insertion-other	PRON VERB PRON ADP PRON VERB ADJ NOUN PART VERB DET ADJ NOUN CCONJ PRON VERB ADV
If I WERE to a take a bath I would not turn both taps fully on since this is bound to result in a freezing cold bath.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	identical	ADP PRON VERB ADP DET NOUN DET NOUN PRON VERB ADV VERB DET NOUN ADV ADV ADP DET VERB VERB PART VERB ADP DET VERB ADJ NOUN
They see the practice of taking a bath, which is cold, after being hot and sweaty from work, as being harmful.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	inflection	PRON VERB DET NOUN ADP VERB DET NOUN ADJ VERB ADJ ADP VERB ADJ CCONJ VERB ADP NOUN ADP VERB ADJ
Dolly took her bath.	0 1 0 1	take a bath	literal	combined-inflection	PROPN VERB ADJ NOUN
I went back to my room and took a long bath.	0 0 0 0 0 0 0 1 0 0 1	take a bath	literal	combined-inflection	PRON VERB ADV ADP ADJ NOUN CCONJ VERB DET ADJ NOUN
So we all took a bath in the same tub and went to bed	0 0 0 1 0 1 0 0 0 0 0 0 0 0	take a bath	literal	inflection	ADV PRON DET VERB DET NOUN ADP DET ADJ NOUN CCONJ VERB ADP NOUN
Her husband gave her a hug and hurried inside, saying he was going to take a quick bath, then he 'd be down for drinks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	take a bath	literal	insertion-other	ADJ NOUN VERB PRON DET NOUN CCONJ VERB ADV VERB PRON VERB VERB PART VERB DET ADJ NOUN ADV PRON VERB VERB ADV ADP NOUN
But they paused a moment outside and Lizzie said quietly, ' Does he always take his bath with her? '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take a bath	literal	determiner-broad	CCONJ PRON VERB DET NOUN ADV CCONJ PROPN VERB ADV PUNCT VERB PRON ADV VERB ADJ NOUN ADP PRON PUNCT
She would take a bath and go in to work early — there was plenty to do.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	identical	PRON VERB VERB DET NOUN CCONJ VERB ADV PART VERB ADV PUNCT ADV VERB ADJ PART VERB
She had never imagined him doing the ordinary things of life : taking a bath, shaving, going shopping, or sitting in a bar somewhere with his friends, laughing and telling jokes.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	inflection	PRON VERB ADV VERB PRON VERB DET ADJ NOUN ADP NOUN PUNCT VERB DET NOUN NOUN VERB NOUN CCONJ VERB ADP DET NOUN ADV ADP ADJ NOUN VERB CCONJ VERB NOUN
Baths were taken in the main block, which meant that pupils in A dormitory, including Mr Douglas, had to cross two playgrounds, in all weathers, clad only in pyjamas, dressing gown and slippers.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	misc	NOUN VERB VERB ADP DET ADJ NOUN ADJ VERB ADP NOUN ADP DET NOUN VERB PROPN PROPN VERB PART VERB NUM NOUN ADP DET NOUN VERB ADV ADP NOUN VERB NOUN CCONJ NOUN
Ever found time flying when you 're taking a bath or drinking a cup of tea?	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take a bath	literal	inflection	ADV VERB NOUN VERB ADV PRON VERB VERB DET NOUN CCONJ VERB DET NOUN ADP NOUN
' And take baths together in the candlelight? '	0 0 1 1 0 0 0 0 0	take a bath	literal	deletion-determiner	PUNCT CCONJ VERB NOUN ADV ADP DET NOUN PUNCT
During extremely cold weather baths were taken in comfort in the front of the kitchen fire after the rest of the family had gone to bed.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	misc	ADP ADV ADJ NOUN NOUN VERB VERB ADP NOUN ADP DET NOUN ADP DET NOUN NOUN ADP DET NOUN ADP DET NOUN VERB VERB ADP NOUN
Mrs Popple had just taken a bath.	0 0 0 0 1 0 1	take a bath	literal	inflection	PROPN PROPN VERB ADV VERB DET NOUN
He also took a nightly bath containing lavender, clary - sage or chamomile — sometimes a blend of all three essences.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	combined-inflection	PRON ADV VERB DET ADJ NOUN VERB NOUN ADJ PUNCT NOUN CCONJ NOUN PUNCT ADV DET NOUN ADP DET NUM NOUN
Because it owns First New Hampshire Bank, Bank of Ireland took a bath in New England, America's most depressed banking market.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take a bath	figurative	inflection	ADP PRON VERB PROPN PROPN PROPN PROPN PROPN ADP PROPN VERB DET NOUN ADP PROPN PROPN PROPN ADV ADJ NOUN NOUN
Gina usually wore old dresses and woollies when in bed with him and always locked the bathroom door tightly when she took a bath.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take a bath	literal	inflection	PROPN ADV VERB ADJ NOUN CCONJ NOUN ADV ADP NOUN ADP PRON CCONJ ADV VERB DET NOUN NOUN ADV ADV PRON VERB DET NOUN
Donna took a hurried bath, Julie made them some tea and, as the hands on the clock above the open fireplace crawled round to 3.56, they both sat down, one on either side of the table in the centre of the room.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	combined-inflection	PROPN VERB DET ADJ NOUN PROPN VERB PRON DET NOUN CCONJ ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN VERB ADV ADP NUM PRON DET VERB PART NUM ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN
Clockwise Young lovers took to the lifeboats, not to save their souls but to pursue their romance in private ; passenger comforts included beauty salons : a ' young thing ' takes a Turkish bath on the Berengaria, 1923 ; tiny tots also tasted luxury aboard : a menu for a children's tea party, 1933 ; as this menu from the Normandie shows, the cuisine on board these liners was a gourmet's delight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	combined-inflection	PROPN PROPN NOUN VERB ADP DET NOUN ADV PART VERB ADJ NOUN CCONJ PART VERB ADJ NOUN ADP ADJ PUNCT NOUN NOUN VERB NOUN NOUN PUNCT DET PUNCT ADJ NOUN PUNCT VERB DET ADJ NOUN ADP DET PROPN NUM PUNCT ADJ NOUN ADV VERB NOUN ADP PUNCT DET NOUN ADP DET NOUN NOUN NOUN NUM PUNCT ADP DET NOUN ADP DET PROPN NOUN DET NOUN ADP NOUN DET NOUN VERB DET NOUN NOUN
Tom prefers to take a shower in the morning while Mary prefers to take a bath just before going to bed.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take a bath	literal	identical	PROPN VERB PART VERB DET NOUN ADP DET NOUN ADP PROPN VERB PART VERB DET NOUN ADV ADP VERB ADP NOUN
On his return to Aachen, he always does the same thing – takes a bath, immersing himself in the thermal waters at his residence.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	take a bath	literal	inflection	ADP ADJ NOUN ADP PROPN PRON ADV VERB DET ADJ NOUN PUNCT VERB DET NOUN VERB PRON ADP DET ADJ NOUN ADP ADJ NOUN
