Well we 're not the best of friends, she just takes the piss.	0 0 0 0 0 0 0 0 0 0 1 0 1	take the piss	figurative	inflection	INTJ PRON VERB ADV DET ADJ ADP NOUN PRON ADV VERB DET NOUN
He's got, he's got, he's got a death wish on He must be takes the piss and I go.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	PRON VERB PRON VERB PRON VERB DET NOUN NOUN ADP PRON VERB VERB VERB DET NOUN CCONJ PRON VERB
‘ The show's taking the piss, really,’ says Normski, in the green room of DEF II's Manchester studio set.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	PUNCT DET NOUN VERB DET NOUN PROPN VERB PROPN ADP DET ADJ NOUN ADP PROPN PROPN PROPN NOUN VERB
I only see it as that I don't understand her bit, I think she's just out to take the piss.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the piss	figurative	identical	PRON ADV VERB PRON ADP ADP PRON VERB VERB ADJ NOUN PRON VERB PRON ADV ADV PART VERB DET NOUN
No I, I didn't I didn't take the piss out of him, I listened, I actually	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	take the piss	figurative	identical	INTJ PRON PRON VERB PRON VERB VERB DET NOUN ADP ADP PRON PRON VERB PRON ADV
Mind you he's probably taking the piss.	0 0 0 0 1 0 1	take the piss	figurative	inflection	VERB PRON PRON ADV VERB DET NOUN
There's the one when he scores against Sheff Utd a couple of years ago and takes the piss out of Vineyard, and the one when he scored for Scotland and tried to get his leg over ( oo - er ) the advertising boards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	ADV DET NOUN ADV PRON VERB ADP PROPN PROPN DET NOUN ADP NOUN ADV CCONJ VERB DET NOUN ADP ADP PROPN CCONJ DET NOUN ADV PRON VERB ADP PROPN CCONJ VERB PART VERB ADJ NOUN PART PUNCT X PUNCT INTJ PUNCT DET NOUN NOUN
so we started called her lip, but that happened before I got there so, as I got there it just like, as I joined got in with the regulars it started to peter out a bit, but I got fooled with a couple of times I thought they were taking the piss, alright Lynn how you doing, you know, still.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	ADP PRON VERB VERB ADJ NOUN CCONJ DET VERB ADP PRON VERB ADV ADV ADP PRON VERB ADV PRON ADV VERB ADP PRON VERB VERB PART ADP DET NOUN PRON VERB PART VERB PART DET NOUN CCONJ PRON VERB VERB ADP DET NOUN ADP NOUN PRON VERB PRON VERB VERB DET NOUN INTJ PROPN ADV PRON VERB PRON VERB ADV
She agrees with everything I say, she's never horrible to me, but when you 're around she's really horrible to me and like, even though she's agreed with something I 've said earlier, she just sort of goes yeah right Cassie ha ha ha it's really funny and takes the piss out of it and you sort of go along with her and I just sort of have to stand there while you two stand there laughing at me and I don't like it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	PRON VERB ADP NOUN PRON VERB PRON ADV ADJ ADP PRON CCONJ ADV PRON VERB ADP PRON ADV ADJ ADP PRON CCONJ INTJ ADV ADP PRON VERB ADP NOUN PRON VERB VERB ADV PRON ADV ADV ADV VERB INTJ ADJ PROPN INTJ INTJ INTJ PRON ADV ADJ CCONJ VERB DET NOUN ADP ADP PRON CCONJ PRON ADV ADV VERB ADV ADP PRON CCONJ PRON ADV ADV ADV VERB PART VERB ADV ADP PRON NUM VERB ADV VERB ADP PRON CCONJ PRON VERB VERB PRON
‘ I know you 're all going to take the piss out of me if I tell you what I honestly thought.’	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	identical	PUNCT PRON VERB PRON VERB DET VERB PART VERB DET NOUN ADP ADP PRON ADP PRON VERB PRON NOUN PRON ADV PUNCT
but, with, with this walk down into this, this dip so I had to get underneath and I said where 'd you park? and he said the second floor taking the piss, so apparently three of his other mates who were well dressed up as well, and he, he said race ya, so I started off fucking, so he, he started off running through the thing right, cos said race yeah, he went, apparently I just climbed up the outside of the building climbed up two fucking flights of floors, you know, I can't remember anything about it though.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	CCONJ ADP ADP DET NOUN ADV ADP DET DET NOUN ADV PRON VERB PART VERB ADV CCONJ PRON VERB ADV VERB PRON VERB CCONJ PRON VERB DET ADJ NOUN VERB DET NOUN ADV ADV NUM ADP ADJ ADJ NOUN NOUN VERB ADV VERB PART ADV ADV CCONJ PRON PRON VERB NOUN PRON ADV PRON VERB PART ADV ADV PRON PRON VERB PART VERB ADP DET NOUN ADJ ADP VERB NOUN INTJ PRON VERB ADV PRON ADV VERB ADP DET NOUN ADP DET NOUN VERB ADV NUM ADJ NOUN ADP NOUN PRON VERB PRON VERB VERB NOUN ADP PRON ADV
Specially Mark and oh really taking the piss.	0 0 0 0 0 1 0 1	take the piss	figurative	inflection	ADV PROPN CCONJ INTJ ADV VERB DET NOUN
Listen, listen, listen I 'm not taking the piss out of the point cos I know the point's very serious but I 'm taking the piss out of the way he said it cos I think he sounded stupid but that doesn't mean I have any disrespect for erm	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	VERB VERB VERB PRON VERB ADV VERB DET NOUN ADP ADP DET NOUN ADP PRON VERB DET NOUN ADV ADJ CCONJ PRON VERB VERB DET NOUN ADP ADP DET NOUN PRON VERB PRON ADP PRON VERB PRON VERB ADJ CCONJ DET VERB VERB PRON VERB DET NOUN ADP NOUN
I 've seen her laugh but I think she's taking the piss.	0 0 0 0 0 0 0 0 0 1 0 1	take the piss	figurative	inflection	PRON VERB VERB PRON NOUN CCONJ PRON VERB PRON VERB DET NOUN
taking the piss out of them.	1 0 1 0 0 0	take the piss	figurative	inflection	VERB DET NOUN ADP ADP PRON
‘ Stop taking the piss,’ said Pooley.	0 0 1 0 1 0 0	take the piss	figurative	combined-inflection	PUNCT VERB VERB DET NOUN VERB PROPN
Yeah I know all that but I 'm not taking the piss out of that cos obviously the way he said it!	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	INTJ PRON VERB ADJ DET CCONJ PRON VERB ADV VERB DET NOUN ADP ADP DET ADP ADV DET NOUN PRON VERB PRON
I never know whether they 're taking the piss or not cos I can't remember it.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	take the piss	figurative	inflection	PRON ADV VERB ADP PRON VERB VERB DET NOUN CCONJ ADV ADP PRON VERB VERB PRON
McAllister was taking the piss with little flicks and turns.	0 0 1 0 1 0 0 0 0 0	take the piss	figurative	inflection	PROPN VERB VERB DET NOUN ADP ADJ NOUN CCONJ NOUN
Or were they, perhaps, a nation of satirists? perhaps they had come all those billions of miles for the purpose of taking the piss out of us.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	CCONJ VERB PRON ADV DET NOUN ADP NOUN ADV PRON VERB VERB ADJ DET NOUN ADP NOUN ADP DET NOUN ADP VERB DET NOUN ADP ADP PRON
I mean but I mean I suppose it's true with with Sonia and with Honey cos I mean like Honey's a nice person, but there's three things about her which are very bad, and that is like she takes the piss erm she's lazy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	PRON VERB CCONJ PRON VERB PRON VERB PRON ADJ ADP ADP PROPN CCONJ ADP PROPN ADP PRON VERB INTJ PROPN DET ADJ NOUN CCONJ ADV NUM NOUN ADP PRON ADJ VERB ADV ADJ CCONJ DET VERB ADP PRON VERB DET ADJ NOUN PRON ADJ
If you don't like them, you leave all the boring bits in and take the piss.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the piss	figurative	identical	ADP PRON VERB VERB PRON PRON VERB ADJ DET ADJ NOUN ADV CCONJ VERB DET NOUN
‘ The best section of the video is where we 're all dancing around, taking the piss out of ourselves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	PUNCT DET ADJ NOUN ADP DET NOUN VERB ADV PRON VERB DET VERB ADV VERB DET NOUN ADP ADP PRON
‘ Look,’ he said, awkwardly, ‘ I know I 've taken the piss out of you in the past.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take the piss	figurative	inflection	PUNCT PROPN PRON VERB ADV PUNCT PRON VERB PRON VERB VERB DET NOUN ADP ADP PRON ADP DET NOUN
And then, after a pause, he added : ‘ But I might well have mildly taken the piss … ‘	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	take the piss	figurative	inflection	CCONJ ADV ADP DET NOUN PRON VERB PUNCT PUNCT CCONJ PRON VERB ADV VERB ADV VERB DET NOUN PUNCT PUNCT
The legendary ‘ Here are the young men / The weight on their shoulders’ line is reputedly Curtis taking the piss out of Echo And The Bunnymen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take the piss	figurative	inflection	DET ADJ NOUN ADV VERB DET ADJ NOUN SYM DET NOUN ADP ADJ NOUN NOUN VERB ADV PROPN VERB DET NOUN ADP ADP PROPN CCONJ DET PROPN
there was Chris, Chris trying to take the piss in the there was Chris, Chris gon na take the piss in the, my eyes looked in my can of, I have no with my, I have no not a, trying to make ya	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	identical	ADV VERB PROPN PROPN VERB PART VERB DET NOUN ADP DET ADV VERB PROPN PROPN VERB PART VERB DET NOUN ADP DET ADJ NOUN VERB ADP ADJ NOUN ADP PRON VERB DET ADP ADJ PRON VERB DET ADV DET VERB PART VERB PRON
Once you get to know Norman Croucher, often billed as ‘ Britain's most famous double amputee,’ the possibility that he had indeed ‘ mildly taken the piss’clarifies out into near - certainty.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take the piss	figurative	misc	ADP PRON VERB PART VERB PROPN PROPN ADV VERB ADP PUNCT PROPN ADV ADJ ADJ NOUN DET NOUN ADP PRON VERB ADV PRON ADV VERB DET NOUN PART ADP ADJ PUNCT NOUN
Taking the piss and w he wouldn't get out the bloody way and I 'm trying to get through with that rack.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	combined-inflection	VERB DET NOUN CCONJ ADP PRON VERB VERB PART DET ADJ NOUN CCONJ PRON VERB VERB PART VERB PART ADP DET NOUN
Then there sh she takes the piss, she's lazy.	0 0 0 0 1 0 1 0 0	take the piss	figurative	inflection	ADV ADV PRON PRON VERB DET NOUN PRON ADJ
Stop taking the piss.’	0 1 0 1	take the piss	figurative	combined-inflection	VERB VERB DET NOUN
Well so you 're just gon na carry on being nice and get loads of friends take the piss out of you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	identical	INTJ ADP PRON VERB ADV VERB PART VERB PART VERB ADJ CCONJ VERB NOUN ADP NOUN VERB DET NOUN ADP ADP PRON
I don't know, I always said I 'd never took the piss out of these children, but I 'm sure I must have done at school, but I must admit I was embarrassed.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	PRON VERB VERB PRON ADV VERB PRON VERB ADV VERB DET NOUN ADP ADP DET NOUN CCONJ PRON VERB ADJ PRON VERB VERB VERB ADP NOUN CCONJ PRON VERB VERB PRON VERB ADJ
one scene is really good, really obviously they are taking the piss out of	0 0 0 0 0 0 0 0 0 1 0 1 0 0	take the piss	figurative	inflection	NUM NOUN VERB ADV ADJ ADV ADV PRON VERB VERB DET NOUN ADP ADP
And talk about me being an honorary man and you know, take the piss out of what I say, like how Geoff [ the Head]did when I complained bitterly about that bloke [ a workman who had whistled at her ].	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	identical	CCONJ VERB ADP PRON VERB DET ADJ NOUN CCONJ PRON VERB VERB DET NOUN ADP ADP NOUN PRON VERB ADP ADV PROPN PUNCT DET NOUN ADV PRON VERB ADV ADP DET VERB PUNCT DET NOUN NOUN VERB VERB ADP PRON PUNCT
the way Jimmy goes, Jimmy goes understand why you always take the piss out of me for my voice	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take the piss	figurative	identical	DET NOUN PROPN VERB PROPN VERB VERB ADV PRON ADV VERB DET NOUN ADP ADP PRON ADP ADJ NOUN
I 've taken the piss out of Morrissey in the past.	0 0 1 0 1 0 0 0 0 0 0	take the piss	figurative	inflection	PRON VERB VERB DET NOUN ADP ADP PROPN ADP DET NOUN
He's taking the piss out of you.	0 1 0 1 0 0 0	take the piss	figurative	inflection	PRON VERB DET NOUN ADP ADP PRON
Which is taking the piss, really, isn't it.	0 0 1 0 1 0 0 0	take the piss	figurative	inflection	ADJ VERB VERB DET NOUN ADV VERB PRON
And they wouldn't touch her with a barge pole cos it's all plastic and all fake and people would just take the piss.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the piss	figurative	identical	CCONJ PRON VERB VERB PRON ADP DET ADJ NOUN ADP PRON DET NOUN CCONJ DET ADJ CCONJ NOUN VERB ADV VERB DET NOUN
What made this worse was that we ( there were a few of us Leeds fans in my school ) we friends with a west brom fan, and had been taking the piss all year … hadnt they recently gone up to div 1?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	NOUN VERB DET ADJ VERB ADP PRON PUNCT ADV VERB DET ADJ ADP PRON PROPN NOUN ADP ADJ NOUN PUNCT PRON VERB ADP DET NOUN NOUN NOUN CCONJ VERB VERB VERB DET NOUN DET NOUN PUNCT VERB PRON ADV VERB PART PART VERB NUM
When I say that Dolores had never heard the term gig before joining the band I am not taking the piss or ridiculing her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	ADV PRON VERB ADP NOUN VERB ADV VERB DET NOUN VERB ADP VERB DET NOUN PRON VERB ADV VERB DET NOUN CCONJ VERB PRON
Mind you the shit I used to get away with at school, you know, just winding the teachers up and like generally taking the piss, I 'd always pay attention and I 'd always, always get good marks but somehow I think they seem to take pissing about slightly more seriously here.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	VERB PRON DET NOUN PRON VERB PART VERB ADV ADP ADP NOUN PRON VERB ADV VERB DET NOUN PART CCONJ ADP ADV VERB DET NOUN PRON VERB ADV VERB NOUN CCONJ PRON VERB ADV ADV VERB ADJ NOUN CCONJ ADV PRON VERB PRON VERB PART VERB VERB ADP ADV ADV ADV ADV
Right when it was pitch dark, yeah, I was half, I was still pissed and I was half asleep and you were p taking the piss out of me behind my back about that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	INTJ ADV PRON VERB NOUN ADJ INTJ PRON VERB NOUN PRON VERB ADV ADJ CCONJ PRON VERB ADV ADJ CCONJ PRON VERB ADV VERB DET NOUN ADP ADP PRON ADP ADJ NOUN ADP DET
He's taking the piss out of me pulling a rack through.	0 1 0 1 0 0 0 0 0 0 0	take the piss	figurative	inflection	PRON VERB DET NOUN ADP ADP PRON VERB DET NOUN PART
I was taking the piss, suggesting they pour petrol over themselves, set themselves on fire.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	PRON VERB VERB DET NOUN VERB PRON VERB NOUN ADP PRON VERB PRON ADP NOUN
Mind you, Malcolm did take the piss out of him as well, calling him Troy Tempest in a leather jacket.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	identical	VERB PRON PROPN VERB VERB DET NOUN ADP ADP PRON ADV ADV VERB PRON PROPN PROPN ADP DET NOUN NOUN
‘ You might be dying with tonsillitis and every f — er is taking the piss out of yer and running around and shouting in the room.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	PUNCT PRON VERB VERB VERB ADP NOUN CCONJ DET X PUNCT INTJ VERB VERB DET NOUN ADP ADP PRON CCONJ VERB ADV CCONJ VERB ADP DET NOUN
Remember a couple of weeks ago when you were taking the piss out of him for being scruffy, you told him not to come in again unless he was wearing a tie.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	VERB DET NOUN ADP NOUN ADV ADV PRON VERB VERB DET NOUN ADP ADP PRON ADP VERB ADJ PRON VERB PRON ADV PART VERB PART ADV ADP PRON VERB VERB DET NOUN
I said you taking the piss out of them Jane or what?	0 0 0 1 0 1 0 0 0 0 0 0	take the piss	figurative	inflection	PRON VERB PRON VERB DET NOUN ADP ADP PRON PROPN CCONJ NOUN
I went no you 're not, I thought you were taking the piss out of me when you said it.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	take the piss	figurative	inflection	PRON VERB INTJ PRON VERB ADV PRON VERB PRON VERB VERB DET NOUN ADP ADP PRON ADV PRON VERB PRON
Then he really took the piss out of the Chelsea defence in the 70 Cup Final.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	ADV PRON ADV VERB DET NOUN ADP ADP DET PROPN NOUN ADP DET NUM PROPN PROPN
Greeny is generally pretty good, like a laugh and takes the piss a bit too.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	PROPN VERB ADV ADV ADJ ADP DET NOUN CCONJ VERB DET NOUN DET NOUN ADV
Taking the piss out of this is, let's face it, a little easy.	1 0 1 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	combined-inflection	VERB DET NOUN ADP ADP DET VERB VERB VERB PRON DET ADJ ADJ
