Stretch bra tops and slip dresses in pink and cream are painted with delicate flowers.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	in the pink	literal	deletion-determiner	ADJ NOUN NOUN CCONJ VERB NOUN ADP NOUN CCONJ NOUN VERB VERB ADP ADJ NOUN
I can't stand pink, so any jumper knitted in pink is rapidly passed over, so far as I am concerned.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	in the pink	literal	deletion-determiner	PRON VERB VERB ADJ CCONJ DET NOUN VERB ADP NOUN VERB ADV VERB PART ADV ADV ADP PRON VERB VERB
We may identify the person from external physical cues : the woman in the corner, the man with a beard, the student who has had his hair dyed, the child in the pink dress or, more or less flatteringly, the tall distinguished looking man I the man with a big nose and stringy hair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pink	literal	identical	PRON VERB VERB DET NOUN ADP ADJ ADJ NOUN PUNCT DET NOUN ADP DET NOUN DET NOUN ADP DET NOUN DET NOUN NOUN VERB VERB ADJ NOUN VERB DET NOUN ADP DET ADJ NOUN CCONJ ADJ CCONJ ADV ADV DET ADJ ADJ VERB NOUN PRON DET NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN
But she kept thinking of Guido and the girl in the pink dress.	0 0 0 0 0 0 0 0 0 1 0 1 0	in the pink	literal	identical	CCONJ PRON VERB VERB ADP PROPN CCONJ DET NOUN ADP DET ADJ NOUN
Considering that the Soviet economy is not in the pink of health in its own right, it only makes sense to ask whether the burden will remain affordable — and, indeed, whether hard economic facts will not drive the USSR to reassess the wisdom of maintaining anything so extravagant as a Socialist Commonwealth in her present circumstances.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pink	figurative	identical	VERB ADP DET ADJ NOUN VERB ADV ADP DET NOUN ADP NOUN ADP ADJ ADJ NOUN PRON ADV VERB NOUN PART VERB ADP DET NOUN VERB VERB ADJ PUNCT CCONJ ADV ADP ADJ ADJ NOUN VERB ADV VERB DET PROPN PART VERB DET NOUN ADP VERB NOUN ADV ADJ ADP DET PROPN PROPN ADP ADJ ADJ NOUN
The white veins in the pink marble tremble and nod, they sway and stretch out to catch the excited atoms.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pink	literal	identical	DET ADJ NOUN ADP DET ADJ NOUN NOUN CCONJ NOUN PRON VERB CCONJ VERB PART PART VERB DET ADJ NOUN
Dot shouted at the hump in the pink satin eiderdown.	0 0 0 0 0 1 0 1 0 0	in the pink	literal	identical	NOUN VERB ADP DET NOUN ADP DET ADJ NOUN VERB
Mm, what gets me is how Creda they 're gon na, they 're, they 're coming up in the pink and	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the pink	figurative	identical	PROPN NOUN VERB PRON VERB ADV PROPN PRON VERB VERB PART PRON VERB PRON VERB VERB PART ADP DET NOUN CCONJ
Gardening : In the pink for spring Stephen Lacey begins a new monthly series	0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the pink	figurative	case	NOUN PUNCT ADP DET NOUN ADP NOUN PROPN PROPN VERB DET ADJ ADJ NOUN
Above us, a massive chandelier in sugar - doll pink cascades down in frilly waves.	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	in the pink	literal	combined-other	ADP PRON DET ADJ NOUN ADP NOUN PUNCT NOUN NOUN VERB ADV ADP ADV NOUN
Little Chef tracked her down in the pink dusk at the bottom of the garden, with her arms round an apple tree, sobbing her heart out.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pink	literal	identical	PROPN PROPN VERB PRON PART ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN VERB ADJ NOUN PART
To make the top rectangular picture, I used a card mount in palest pink, behind which I stretched some cream silk.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the pink	literal	determiner-broad	PART VERB DET ADJ ADJ NOUN PRON VERB DET NOUN NOUN ADP NOUN NOUN ADP ADJ PRON VERB DET NOUN NOUN
Begonias are particular favourites and a gaggle of them gather on the paved area near the front door resplendent in pink, scarlet and yellow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	in the pink	literal	deletion-determiner	PROPN VERB ADJ NOUN CCONJ DET NOUN ADP PRON VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADJ ADP ADJ ADJ CCONJ ADJ
' There's a young fool down there in pink, shrieking like a banshee and windmilling away.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	in the pink	literal	deletion-determiner	PUNCT ADV DET ADJ NOUN ADV ADV ADP NOUN VERB ADP DET NOUN CCONJ VERB ADV
The three bridesmaids, in palest pink, made a picture that complemented the central figure of the bride.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the pink	literal	determiner-broad	DET NUM NOUN ADP NOUN NOUN VERB DET NOUN ADJ VERB DET ADJ NOUN ADP DET NOUN
The young peaceful girl is lying about the grass found in the pink shirt	0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the pink	literal	identical	DET ADJ ADJ NOUN VERB VERB ADP DET NOUN VERB ADP DET ADJ NOUN
‘ I am in the pink,’ said Dot, though she knew she wasn't or she wouldn't have allowed herself to weep the day before.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pink	figurative	dashes	PUNCT PRON VERB ADP DET NOUN VERB PROPN ADP PRON VERB PRON VERB CCONJ PRON VERB VERB VERB PRON PART VERB DET NOUN ADV
