It tastes horrible and I spit it out.	0 0 0 0 0 1 1 1	spit it out	literal	identical	PRON VERB ADJ CCONJ PRON VERB PRON PART	▁It ▁taste s ▁horr ible ▁and ▁I ▁sp it ▁it ▁out .	0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB ADJ ADJ CCONJ PRON VERB VERB PRON PART PART
' Spit it out. '	0 1 1 1 0	spit it out	figurative	case	PUNCT VERB PRON PART PUNCT	▁' ▁S pit ▁it ▁out . ▁'	0 1 1 1 1 1 0	PUNCT VERB VERB PRON PART PART PUNCT
Once you have swirled the wine around your tastebuds, spit it out into a lined bucket.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	spit it out	literal	identical	ADP PRON VERB VERB DET NOUN ADP ADJ NOUN VERB PRON PART ADP DET ADJ NOUN	▁Once ▁you ▁have ▁sw ir led ▁the ▁wine ▁around ▁your ▁taste bu ds , ▁sp it ▁it ▁out ▁into ▁a ▁lined ▁bucket .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	ADP PRON VERB VERB VERB VERB DET NOUN ADP ADJ NOUN NOUN NOUN NOUN VERB VERB PRON PART ADP DET ADJ NOUN NOUN
You spit it out again did you?	0 1 1 1 0 0 0	spit it out	literal	identical	PRON VERB PRON PART ADV VERB PRON	▁You ▁sp it ▁it ▁out ▁again ▁did ▁you ?	0 1 1 1 1 0 0 0 0	PRON VERB VERB PRON PART ADV VERB PRON PRON
Athelstan gestured towards an earthenware jug and watched with delight as Cranston took a great gulp then, his face puce as a plum, went to the door to spit it out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	spit it out	literal	identical	PROPN VERB ADP DET NOUN NOUN CCONJ VERB ADP NOUN ADP PROPN VERB DET ADJ NOUN ADV ADJ NOUN NOUN ADP DET NOUN VERB ADP DET NOUN PART VERB PRON PART	▁A the l stan ▁gesture d ▁towards ▁an ▁earth en ware ▁ju g ▁and ▁watch ed ▁with ▁delight ▁as ▁C ran s ton ▁took ▁a ▁great ▁gu lp ▁then , ▁his ▁face ▁p uce ▁as ▁a ▁plum , ▁went ▁to ▁the ▁door ▁to ▁sp it ▁it ▁out .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN PROPN PROPN PROPN VERB VERB ADP DET NOUN NOUN NOUN NOUN NOUN CCONJ VERB VERB ADP NOUN ADP PROPN PROPN PROPN PROPN VERB DET ADJ NOUN NOUN ADV ADV ADJ NOUN NOUN NOUN ADP DET NOUN NOUN VERB ADP DET NOUN PART VERB VERB PRON PART PART
‘ Come on, Uncle Harry, spit it out.	0 0 0 0 0 1 1 1	spit it out	figurative	identical	PUNCT VERB PART PROPN PROPN VERB PRON PART	▁ ‘ ▁Com e ▁on , ▁Un cle ▁H arry , ▁sp it ▁it ▁out .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT VERB VERB PART PART PROPN PROPN PROPN PROPN PROPN VERB VERB PRON PART PART
' Spit it out, then, ' he said.	0 1 1 1 0 0 0 0	spit it out	figurative	case	PUNCT VERB PRON PART ADV PUNCT PRON VERB	▁' ▁S pit ▁it ▁out , ▁then , ▁' ▁he ▁said .	0 1 1 1 1 1 0 0 0 0 0 0	PUNCT VERB VERB PRON PART PART ADV ADV PUNCT PRON VERB VERB
‘ Tim Dog mangled a city with ‘ F - ck Compton’ and spit it out with ‘ Step To Me’.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	spit it out	figurative	identical	PUNCT PROPN PROPN VERB DET NOUN ADP PUNCT PROPN PUNCT PROPN NOUN CCONJ VERB PRON PART ADP PUNCT NOUN ADP PROPN	▁ ‘ ▁T im ▁Do g ▁man g led ▁a ▁city ▁with ▁ ‘ ▁F ▁- ▁ ck ▁Com pton ’ ▁and ▁sp it ▁it ▁out ▁with ▁ ‘ ▁Step ▁To ▁Me ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	PUNCT PUNCT PROPN PROPN PROPN PROPN VERB VERB VERB DET NOUN ADP PUNCT PUNCT PROPN PUNCT PROPN PROPN NOUN NOUN NOUN CCONJ VERB VERB PRON PART ADP PUNCT PUNCT NOUN ADP PROPN PROPN PROPN
I spit it out and flick it from my eyes.	0 1 1 1 0 0 0 0 0 0	spit it out	literal	identical	PRON VERB PRON PART CCONJ VERB PRON ADP ADJ NOUN	▁I ▁sp it ▁it ▁out ▁and ▁f lick ▁it ▁from ▁my ▁eyes .	0 1 1 1 1 0 0 0 0 0 0 0 0	PRON VERB VERB PRON PART CCONJ VERB VERB PRON ADP ADJ NOUN NOUN
‘ Then I felt something in my mouth and spat it out.	0 0 0 0 0 0 0 0 0 1 1 1	spit it out	literal	inflection	PUNCT ADV PRON VERB NOUN ADP ADJ NOUN CCONJ VERB PRON PART	▁ ‘ ▁Then ▁I ▁felt ▁something ▁in ▁my ▁mouth ▁and ▁sp at ▁it ▁out .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT ADV PRON VERB NOUN ADP ADJ NOUN CCONJ VERB VERB PRON PART PART
Burun chewed the end of his moustache, then spat it out again.	0 0 0 0 0 0 0 0 1 1 1 0	spit it out	literal	inflection	PROPN VERB DET NOUN ADP ADJ NOUN ADV VERB PRON PART ADV	▁Bur un ▁chew ed ▁the ▁end ▁of ▁his ▁mo ust ache , ▁then ▁sp at ▁it ▁out ▁again .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	PROPN PROPN VERB VERB DET NOUN ADP ADJ NOUN NOUN NOUN NOUN ADV VERB VERB PRON PART ADV ADV
‘ Yes, yes, spit it out.’	0 0 0 1 1 1	spit it out	figurative	dashes	PUNCT INTJ INTJ VERB PRON PUNCT	▁ ‘ ▁Yes , ▁yes , ▁sp it ▁it ▁out . ’	0 0 0 0 0 0 1 1 1 1 1 1	PUNCT PUNCT INTJ INTJ INTJ INTJ VERB VERB PRON PUNCT PUNCT PUNCT
' Spit it out, Rex, ' Jonathan advised.	0 1 1 1 0 0 0 0	spit it out	figurative	case	PUNCT VERB PRON PART PROPN PUNCT PROPN VERB	▁' ▁S pit ▁it ▁out , ▁R ex , ▁' ▁Jonathan ▁advised .	0 1 1 1 1 1 0 0 0 0 0 0 0	PUNCT VERB VERB PRON PART PART PROPN PROPN PROPN PUNCT PROPN VERB VERB
He was eating a cold sausage ; his tongue located a piece of gristle and spat it out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	spit it out	literal	inflection	PRON VERB VERB DET ADJ NOUN PUNCT ADJ NOUN VERB DET NOUN ADP NOUN CCONJ VERB PRON PART	▁He ▁was ▁eating ▁a ▁cold ▁sa us age ▁ ; ▁his ▁tongue ▁located ▁a ▁piece ▁of ▁gr ist le ▁and ▁sp at ▁it ▁out .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB DET ADJ NOUN NOUN NOUN PUNCT PUNCT ADJ NOUN VERB DET NOUN ADP NOUN NOUN NOUN CCONJ VERB VERB PRON PART PART
