flying the flag of Lorraine	1 0 1 0 0	fly the flag	figurative	inflection	VERB DET NOUN ADP PROPN	▁flying ▁the ▁flag ▁of ▁Lorraine	1 0 1 0 0	VERB DET NOUN ADP PROPN
Flying the flag	1 0 1	fly the flag	figurative	combined-inflection	VERB DET NOUN	▁Fly ing ▁the ▁flag	1 1 0 1	VERB VERB DET NOUN
POST - PUNK AND POST - CABARET, STIFF LITTLE FINGERS RETURN TO FLY THE FLAG.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fly the flag	figurative	case	PROPN PUNCT PROPN CCONJ PROPN PUNCT PROPN PROPN ADJ NOUN VERB PART VERB DET PROPN	▁P OST ▁- ▁P UN K ▁AND ▁P OST ▁- ▁CA BAR ET , ▁S TIF F ▁LIT T LE ▁F INGER S ▁RE TU RN ▁TO ▁F LY ▁THE ▁FL AG .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PROPN PROPN PUNCT PROPN PROPN PROPN CCONJ PROPN PROPN PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ NOUN NOUN NOUN VERB VERB VERB PART VERB VERB DET PROPN PROPN PROPN
There must exist a genuine link between the state and the ship ; in particular, the state must effectively exercise its jurisdiction and control in administrative, technical and social matters over ships flying its flag.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fly the flag	figurative	combined-inflection	ADV VERB VERB DET ADJ NOUN ADP DET NOUN CCONJ DET NOUN PUNCT ADP ADJ DET NOUN VERB ADV VERB ADJ NOUN CCONJ NOUN ADP ADJ ADJ CCONJ ADJ NOUN ADP NOUN VERB ADJ NOUN	▁There ▁must ▁exist ▁a ▁genuine ▁link ▁between ▁the ▁state ▁and ▁the ▁ship ▁ ; ▁in ▁particular , ▁the ▁state ▁must ▁effectively ▁exercise ▁its ▁jurisdiction ▁and ▁control ▁in ▁administrative , ▁technical ▁and ▁social ▁matters ▁over ▁ships ▁flying ▁its ▁flag .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV VERB VERB DET ADJ NOUN ADP DET NOUN CCONJ DET NOUN PUNCT PUNCT ADP ADJ ADJ DET NOUN VERB ADV VERB ADJ NOUN CCONJ NOUN ADP ADJ ADJ ADJ CCONJ ADJ NOUN ADP NOUN VERB ADJ NOUN NOUN
But tonight the family were flying a union flag outside their home.	0 0 0 0 0 1 0 0 1 0 0 0	fly the flag	literal	combined-inflection	CCONJ NOUN DET NOUN VERB VERB DET NOUN NOUN ADP ADJ NOUN	▁But ▁tonight ▁the ▁family ▁were ▁flying ▁a ▁union ▁flag ▁outside ▁their ▁home .	0 0 0 0 0 1 0 0 1 0 0 0 0	CCONJ NOUN DET NOUN VERB VERB DET NOUN NOUN ADP ADJ NOUN NOUN
Plea to fly flag for American - style fair	0 0 1 1 0 0 0 0 0	fly the flag	figurative	deletion-determiner	NOUN PART VERB NOUN ADP ADJ PUNCT NOUN NOUN	▁P lea ▁to ▁fly ▁flag ▁for ▁American ▁- ▁style ▁fair	0 0 0 1 1 0 0 0 0 0	NOUN NOUN PART VERB NOUN ADP ADJ PUNCT NOUN NOUN
The first, which Stephen had not mentioned, concerned a small ship flying the Nazi flag.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	fly the flag	literal	combined-inflection	DET ADJ ADJ PROPN VERB ADV VERB VERB DET ADJ NOUN VERB DET PROPN NOUN	▁The ▁first , ▁which ▁Step hen ▁had ▁not ▁mentioned , ▁concerned ▁a ▁small ▁ship ▁flying ▁the ▁Nazi ▁flag .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	DET ADJ ADJ ADJ PROPN PROPN VERB ADV VERB VERB VERB DET ADJ NOUN VERB DET PROPN NOUN NOUN
J. Waller, Pears Terrace, Shildon : I was going to visit my granny and as I got to the bottom of the street there was a church or a chapel nearby which was flying a flag at half mast.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	fly the flag	literal	combined-inflection	PROPN PROPN PROPN PROPN PROPN PUNCT PRON VERB VERB PART VERB ADJ NOUN CCONJ ADP PRON VERB ADP DET NOUN ADP DET NOUN ADV VERB DET NOUN CCONJ DET NOUN ADV ADJ VERB VERB DET NOUN ADP ADJ NOUN	▁J . ▁Wall er , ▁Pears ▁Terr ace , ▁Shi ldon ▁ : ▁I ▁was ▁going ▁to ▁visit ▁my ▁ gran ny ▁and ▁as ▁I ▁got ▁to ▁the ▁bottom ▁of ▁the ▁street ▁there ▁was ▁a ▁church ▁or ▁a ▁chap el ▁nearby ▁which ▁was ▁flying ▁a ▁flag ▁at ▁half ▁mast .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT PRON VERB VERB PART VERB ADJ NOUN NOUN NOUN CCONJ ADP PRON VERB ADP DET NOUN ADP DET NOUN ADV VERB DET NOUN CCONJ DET NOUN NOUN ADV ADJ VERB VERB DET NOUN ADP ADJ NOUN NOUN
By further questions, as reformulated in part by the Court of Justice, the Divisional Court also asked, inter alia, whether requirements as to nationality, residence, domicile and control imposed by a member state as conditions of the registration of fishing vessels and the right to fly the flag of that state were compatible with Community law, including article 7 of the E.E.C.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	literal	identical	ADP ADJ NOUN ADP VERB ADP NOUN ADP DET PROPN ADP PROPN DET PROPN PROPN ADV VERB NOUN NOUN ADP NOUN ADP ADP NOUN NOUN NOUN CCONJ NOUN VERB ADP DET NOUN NOUN ADP NOUN ADP DET NOUN ADP NOUN NOUN CCONJ DET NOUN PART VERB DET NOUN ADP DET NOUN VERB ADJ ADP PROPN NOUN VERB NOUN NUM ADP DET PROPN	▁By ▁further ▁questions , ▁as ▁reform ulated ▁in ▁part ▁by ▁the ▁Court ▁of ▁Justice , ▁the ▁Division al ▁Court ▁also ▁asked , ▁inter ▁alia , ▁whether ▁requirements ▁as ▁to ▁nationality , ▁residence , ▁domicile ▁and ▁control ▁imposed ▁by ▁a ▁member ▁state ▁as ▁conditions ▁of ▁the ▁registration ▁of ▁fishing ▁vessels ▁and ▁the ▁right ▁to ▁fly ▁the ▁flag ▁of ▁that ▁state ▁were ▁compatible ▁with ▁Community ▁law , ▁including ▁article ▁7 ▁of ▁the ▁E . E . C .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN NOUN ADP VERB VERB ADP NOUN ADP DET PROPN ADP PROPN PROPN DET PROPN PROPN PROPN ADV VERB VERB NOUN NOUN NOUN ADP NOUN ADP ADP NOUN NOUN NOUN NOUN NOUN CCONJ NOUN VERB ADP DET NOUN NOUN ADP NOUN ADP DET NOUN ADP NOUN NOUN CCONJ DET NOUN PART VERB DET NOUN ADP DET NOUN VERB ADJ ADP PROPN NOUN NOUN VERB NOUN NUM ADP DET PROPN PROPN PROPN PROPN PROPN PROPN
Schools and most offices closed ; taxis flew black flags ; shops draped black banners from their windows ; convoys of lorries clogged roads towards the Chinese border.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	literal	combined-inflection	NOUN CCONJ ADJ NOUN VERB PUNCT NOUN VERB ADJ NOUN PUNCT NOUN VERB ADJ NOUN ADP ADJ NOUN PUNCT NOUN ADP NOUN VERB NOUN ADP DET ADJ NOUN	▁Schools ▁and ▁most ▁offices ▁closed ▁ ; ▁tax is ▁f lew ▁black ▁flags ▁ ; ▁shops ▁d rap ed ▁black ▁bann ers ▁from ▁their ▁windows ▁ ; ▁convoy s ▁of ▁lorries ▁cl ogged ▁roads ▁towards ▁the ▁Chinese ▁border .	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN CCONJ ADJ NOUN VERB PUNCT PUNCT NOUN NOUN VERB VERB ADJ NOUN PUNCT PUNCT NOUN VERB VERB VERB ADJ NOUN NOUN ADP ADJ NOUN PUNCT PUNCT NOUN NOUN ADP NOUN VERB VERB NOUN ADP DET ADJ NOUN NOUN
This is borne out by the court's judgment in Lopes da Veiga v. Staatssecretaris van Justitie ( Case 9/88)[1989]E.C.R. 2989, from which it appears that in order for a national of a member state who is permanently employed on board a ship flying the flag of another member state to have the status of a worker / national of a member state who is employed in the territory of another member state, the relationship of employment must exhibit a sufficiently close link with that territory.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	inflection	DET VERB VERB PART ADP DET NOUN NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT PROPN NUM NUM ADP ADJ PRON VERB ADP ADP NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN VERB ADV VERB ADP NOUN DET NOUN VERB DET NOUN ADP DET NOUN NOUN PART VERB DET NOUN ADP DET NOUN SYM NOUN ADP DET NOUN NOUN NOUN VERB VERB ADP DET NOUN ADP DET NOUN NOUN DET NOUN ADP NOUN VERB VERB DET ADV ADJ NOUN ADP DET NOUN	▁This ▁is ▁borne ▁out ▁by ▁the ▁court ' s ▁judgment ▁in ▁Lop es ▁da ▁V e iga ▁v . ▁Sta ats secret aris ▁van ▁Just iti e ▁( ▁Case ▁9 /88) [ 1989 ] E . C . R . ▁298 9, ▁from ▁which ▁it ▁appears ▁that ▁in ▁order ▁for ▁a ▁national ▁of ▁a ▁member ▁state ▁who ▁is ▁permanently ▁employed ▁on ▁board ▁a ▁ship ▁flying ▁the ▁flag ▁of ▁another ▁member ▁state ▁to ▁have ▁the ▁status ▁of ▁a ▁worker ▁/ ▁national ▁of ▁a ▁member ▁state ▁who ▁is ▁employed ▁in ▁the ▁territory ▁of ▁another ▁member ▁state , ▁the ▁relationship ▁of ▁employment ▁must ▁exhibit ▁a ▁sufficiently ▁close ▁link ▁with ▁that ▁territory .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB VERB PART ADP DET NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN CCONJ CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PROPN NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM ADP ADJ PRON VERB ADP ADP NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN VERB ADV VERB ADP NOUN DET NOUN VERB DET NOUN ADP DET NOUN NOUN PART VERB DET NOUN ADP DET NOUN SYM NOUN ADP DET NOUN NOUN NOUN VERB VERB ADP DET NOUN ADP DET NOUN NOUN NOUN DET NOUN ADP NOUN VERB VERB DET ADV ADJ NOUN ADP DET NOUN NOUN
The United Kingdom, the Kingdom of Belgium and the Hellenic Republic argue, however, that the position is different when it comes to the competence of each state under public international law to define as it thinks fit the conditions upon which it grants to a vessel the right to fly its flag.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fly the flag	figurative	determiner-broad	DET PROPN PROPN DET PROPN ADP PROPN CCONJ DET PROPN PROPN VERB ADV ADP DET NOUN VERB ADJ ADV PRON VERB ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN PART VERB ADP PRON VERB VERB DET NOUN ADP ADJ PRON VERB ADP DET NOUN DET NOUN PART VERB ADJ NOUN	▁The ▁United ▁Kingdom , ▁the ▁Kingdom ▁of ▁Belgium ▁and ▁the ▁Hellenic ▁Republic ▁argue , ▁however , ▁that ▁the ▁position ▁is ▁different ▁when ▁it ▁comes ▁to ▁the ▁competence ▁of ▁each ▁state ▁under ▁public ▁international ▁law ▁to ▁define ▁as ▁it ▁thinks ▁fit ▁the ▁conditions ▁upon ▁which ▁it ▁grants ▁to ▁a ▁vessel ▁the ▁right ▁to ▁fly ▁its ▁flag .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET PROPN PROPN PROPN DET PROPN ADP PROPN CCONJ DET PROPN PROPN VERB VERB ADV ADV ADP DET NOUN VERB ADJ ADV PRON VERB ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN PART VERB ADP PRON VERB VERB DET NOUN ADP ADJ PRON VERB ADP DET NOUN DET NOUN PART VERB ADJ NOUN NOUN
In which case those who perpetrated this outrage on British culture are in good company, whether they were flying the flag of ‘ racism and sexism’ or not.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	fly the flag	figurative	inflection	ADP ADJ NOUN DET NOUN VERB DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN ADP PRON VERB VERB DET NOUN ADP ADJ NOUN CCONJ PROPN CCONJ ADV	▁In ▁which ▁case ▁those ▁who ▁perpetrated ▁this ▁outrage ▁on ▁British ▁culture ▁are ▁in ▁good ▁company , ▁whether ▁they ▁were ▁flying ▁the ▁flag ▁of ▁ ‘ ▁racism ▁and ▁sex ism ’ ▁or ▁not .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN DET NOUN VERB DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN NOUN ADP PRON VERB VERB DET NOUN ADP ADJ ADJ NOUN CCONJ PROPN PROPN PROPN CCONJ ADV ADV
The monk is alleged to have flown the flag from the roof of the monastery.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	fly the flag	literal	inflection	DET NOUN VERB VERB PART VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN	▁The ▁mon k ▁is ▁alleged ▁to ▁have ▁flow n ▁the ▁flag ▁from ▁the ▁roof ▁of ▁the ▁mon aster y .	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB VERB PART VERB VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN
Elsewhere, Orrell are flying the flag for top flight northern rugby in their own, inimitable style.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	inflection	ADV PROPN VERB VERB DET NOUN ADP ADJ NOUN ADJ NOUN ADP ADJ ADJ ADJ NOUN	▁El se where , ▁Or re ll ▁are ▁flying ▁the ▁flag ▁for ▁top ▁flight ▁northern ▁ rug by ▁in ▁their ▁own , ▁in imi table ▁style .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADV PROPN PROPN PROPN VERB VERB DET NOUN ADP ADJ NOUN ADJ NOUN NOUN NOUN ADP ADJ ADJ ADJ ADJ ADJ ADJ NOUN NOUN
He could also see another large steamer flying the Swedish flag further up the dock.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	fly the flag	literal	combined-inflection	PRON VERB ADV VERB DET ADJ NOUN VERB DET ADJ NOUN ADV ADP DET NOUN	▁He ▁could ▁also ▁see ▁another ▁large ▁steam er ▁flying ▁the ▁Swedish ▁flag ▁further ▁up ▁the ▁dock .	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	PRON VERB ADV VERB DET ADJ NOUN NOUN VERB DET ADJ NOUN ADV ADP DET NOUN NOUN
Clare Wood los 6–4, 6–2 to Halle Cioffe, and it was left, as it is so often, to Jo Durie to fly the flag.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fly the flag	figurative	identical	PROPN PROPN NOUN NUM NUM ADP PROPN PROPN CCONJ PRON VERB VERB ADP PRON VERB ADV ADV ADP PROPN PROPN PART VERB DET NOUN	▁Clar e ▁Wood ▁lo s ▁6 – 4, ▁6 – 2 ▁to ▁ Halle ▁C io ffe , ▁and ▁it ▁was ▁left , ▁as ▁it ▁is ▁so ▁often , ▁to ▁Jo ▁Dur ie ▁to ▁fly ▁the ▁flag .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN NOUN NOUN NUM NUM NUM NUM NUM NUM ADP PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PRON VERB VERB VERB ADP PRON VERB ADV ADV ADV ADP PROPN PROPN PROPN PART VERB DET NOUN NOUN
Full marks to Anne McArdle, Anne Connolly, Linda Sweetman, Fergal Collier and Declan Dempsey who flew the flag mightily.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	fly the flag	figurative	inflection	ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN NOUN VERB DET NOUN ADV	▁Full ▁marks ▁to ▁Anne ▁Mc A rd le , ▁Anne ▁Con n ol ly , ▁Lind a ▁Sweet man , ▁Fer gal ▁Coll ier ▁and ▁Dec lan ▁De mp s ey ▁who ▁f lew ▁the ▁flag ▁might ily .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB DET NOUN ADV ADV ADV
The United Kingdom based itself in that regard on international law and on the need for the flag state effectively to exercise jurisdiction over the owners, charterers and operators of vessels flying its flag.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fly the flag	literal	combined-inflection	DET PROPN PROPN VERB PRON ADP DET NOUN ADP ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN NOUN ADV PART VERB NOUN ADP DET NOUN NOUN CCONJ NOUN ADP NOUN VERB ADJ NOUN	▁The ▁United ▁Kingdom ▁based ▁itself ▁in ▁that ▁regard ▁on ▁international ▁law ▁and ▁on ▁the ▁need ▁for ▁the ▁flag ▁state ▁effectively ▁to ▁exercise ▁jurisdiction ▁over ▁the ▁owners , ▁charter ers ▁and ▁operators ▁of ▁vessels ▁flying ▁its ▁flag .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET PROPN PROPN VERB PRON ADP DET NOUN ADP ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN NOUN ADV PART VERB NOUN ADP DET NOUN NOUN NOUN NOUN CCONJ NOUN ADP NOUN VERB ADJ NOUN NOUN
She has just this last year to go and er we hope for her sake everything goes well for her because she's brilliant, and as you see I have to fly the flag for her because she's	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	fly the flag	figurative	identical	PRON VERB ADV DET ADJ NOUN PART VERB CCONJ INTJ PRON VERB ADP ADJ NOUN NOUN VERB ADV ADP PRON ADP PRON ADJ CCONJ ADP PRON VERB PRON VERB PART VERB DET NOUN ADP PRON ADP PRON	▁She ▁has ▁just ▁this ▁last ▁year ▁to ▁go ▁and ▁er ▁we ▁hope ▁for ▁her ▁sake ▁everything ▁goes ▁well ▁for ▁her ▁because ▁she ' s ▁brilliant , ▁and ▁as ▁you ▁see ▁I ▁have ▁to ▁fly ▁the ▁flag ▁for ▁her ▁because ▁she ' s	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PRON VERB ADV DET ADJ NOUN PART VERB CCONJ INTJ PRON VERB ADP ADJ NOUN NOUN VERB ADV ADP PRON ADP PRON PRON PRON ADJ ADJ CCONJ ADP PRON VERB PRON VERB PART VERB DET NOUN ADP PRON ADP PRON PRON PRON
But their enemies, with Lady Thatcher flying their flag, called for the treaty to be killed.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	fly the flag	figurative	combined-inflection	CCONJ ADJ NOUN ADP PROPN PROPN VERB ADJ NOUN VERB ADP DET NOUN PART VERB VERB	▁But ▁their ▁enemies , ▁with ▁Lady ▁Thatcher ▁flying ▁their ▁flag , ▁called ▁for ▁the ▁treaty ▁to ▁be ▁killed .	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	CCONJ ADJ NOUN NOUN ADP PROPN PROPN VERB ADJ NOUN NOUN VERB ADP DET NOUN PART VERB VERB VERB
Flying the flag for investment : Rhone - Alpes ' success does not stop the region fighting for, and winning, foreign capital	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	combined-inflection	VERB DET NOUN ADP NOUN PUNCT PROPN PUNCT PROPN PART NOUN VERB ADV VERB DET NOUN NOUN ADP CCONJ VERB ADJ NOUN	▁Fly ing ▁the ▁flag ▁for ▁investment ▁ : ▁Rh one ▁- ▁ Alpes ▁' ▁success ▁does ▁not ▁stop ▁the ▁region ▁fighting ▁for , ▁and ▁winning , ▁foreign ▁capital	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN ADP NOUN PUNCT PUNCT PROPN PROPN PUNCT PROPN PROPN PART NOUN VERB ADV VERB DET NOUN NOUN ADP ADP CCONJ VERB VERB ADJ NOUN
Treaty, is entitled to require of a national of another member state who wishes to operate a fishing vessel flying its flag and, in particular, can it stipulate, as the Act of 1988 does, that all the owners and operators of such a vessel and 75 per cent.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	combined-inflection	PROPN VERB VERB PART VERB ADP DET NOUN ADP DET NOUN NOUN NOUN VERB PART VERB DET NOUN NOUN VERB ADJ NOUN CCONJ ADP ADJ VERB PRON VERB ADP DET PROPN ADP NUM VERB ADP ADJ DET NOUN CCONJ NOUN ADP ADJ DET NOUN CCONJ NUM NOUN NOUN	▁Treaty , ▁is ▁entitled ▁to ▁require ▁of ▁a ▁national ▁of ▁another ▁member ▁state ▁who ▁wishes ▁to ▁operate ▁a ▁fishing ▁vessel ▁flying ▁its ▁flag ▁and , ▁in ▁particular , ▁can ▁it ▁stipulate , ▁as ▁the ▁Act ▁of ▁1988 ▁does , ▁that ▁all ▁the ▁owners ▁and ▁operators ▁of ▁such ▁a ▁vessel ▁and ▁75 ▁per ▁cent .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB PART VERB ADP DET NOUN ADP DET NOUN NOUN NOUN VERB PART VERB DET NOUN NOUN VERB ADJ NOUN CCONJ CCONJ ADP ADJ ADJ VERB PRON VERB VERB ADP DET PROPN ADP NUM VERB VERB ADP ADJ DET NOUN CCONJ NOUN ADP ADJ DET NOUN CCONJ NUM NOUN NOUN NOUN
I would add that if all the member states made the registration of their fishing vessels subject to residence or domicile requirements of the type laid down in the United Kingdom Act, nationals of other member states established in the United Kingdom would not even be able to carry on any fishing activity under any flag, because they would not be entitled to fly the flag of any member state.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	fly the flag	literal	identical	PRON VERB VERB ADP ADP ADJ DET NOUN NOUN VERB DET NOUN ADP ADJ NOUN NOUN ADJ ADP NOUN CCONJ ADJ NOUN ADP DET NOUN VERB PART ADP DET PROPN PROPN PROPN NOUN ADP ADJ NOUN NOUN VERB ADP DET PROPN PROPN VERB ADV ADV VERB ADJ PART VERB PART DET NOUN NOUN ADP DET NOUN ADP PRON VERB ADV VERB VERB PART VERB DET NOUN ADP DET NOUN NOUN	▁I ▁would ▁add ▁that ▁if ▁all ▁the ▁member ▁states ▁made ▁the ▁registration ▁of ▁their ▁fishing ▁vessels ▁subject ▁to ▁residence ▁or ▁domicile ▁requirements ▁of ▁the ▁type ▁laid ▁down ▁in ▁the ▁United ▁Kingdom ▁Act , ▁nationals ▁of ▁other ▁member ▁states ▁established ▁in ▁the ▁United ▁Kingdom ▁would ▁not ▁even ▁be ▁able ▁to ▁carry ▁on ▁any ▁fishing ▁activity ▁under ▁any ▁flag , ▁because ▁they ▁would ▁not ▁be ▁entitled ▁to ▁fly ▁the ▁flag ▁of ▁any ▁member ▁state .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PRON VERB VERB ADP ADP ADJ DET NOUN NOUN VERB DET NOUN ADP ADJ NOUN NOUN ADJ ADP NOUN CCONJ ADJ NOUN ADP DET NOUN VERB PART ADP DET PROPN PROPN PROPN PROPN NOUN ADP ADJ NOUN NOUN VERB ADP DET PROPN PROPN VERB ADV ADV VERB ADJ PART VERB PART DET NOUN NOUN ADP DET NOUN NOUN ADP PRON VERB ADV VERB VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN
