That should get the sweet - talkin ' nicely up and running.	0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	DET VERB VERB DET ADJ PUNCT NOUN PUNCT ADV ADV CCONJ VERB
‘ We are well down the track, and up and running as a forward - looking and fully structured body recognised as being a vital element in the ICI Group,’ he says.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PUNCT PRON VERB ADV ADP DET NOUN CCONJ ADV CCONJ VERB ADP DET ADV PUNCT ADJ CCONJ ADV ADJ NOUN VERB ADP VERB DET ADJ NOUN ADP DET PROPN PROPN PRON VERB
Bottom Line The bottom line has to be how it operates once it is all up and running correctly, which assumes that, if you have minimal experience or confidence, you have had a dealer set it up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN NOUN DET ADJ NOUN VERB PART VERB ADV PRON VERB ADP PRON VERB DET ADV CCONJ VERB ADV ADJ VERB ADP ADP PRON VERB ADJ NOUN CCONJ NOUN PRON VERB VERB DET NOUN VERB PRON PART
The rush to get the new company up and running results from the excellent opportunities to expand and export resulting from the pound's devaluation and the drop in interest rates, according to the new chairman, Roger Harnett, a company doctor formerly with Benlox Holdings, Speedwell Gear Case and Hobson.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET NOUN PART VERB DET ADJ NOUN ADV CCONJ VERB NOUN ADP DET ADJ NOUN PART VERB CCONJ VERB VERB ADP DET NOUN NOUN CCONJ DET NOUN ADP NOUN NOUN VERB ADP DET ADJ NOUN PROPN PROPN DET NOUN NOUN ADV ADP PROPN PROPN PROPN PROPN PROPN CCONJ PROPN
Fool - proof, says Proteon : the most complex part is configuring the DNX 300 router, which the company claims anyone can get up and running in under 15 minutes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	up and running	figurative	identical	NOUN PUNCT NOUN VERB PROPN PUNCT DET ADV ADJ NOUN VERB VERB DET PROPN NUM NOUN ADJ DET NOUN VERB NOUN VERB VERB PART CCONJ VERB ADP ADP NUM NOUN
Local Management of Schools will be judged a success if it has been up and running reasonably well since 1 April 1990.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	up and running	figurative	identical	ADJ PROPN ADP PROPN VERB VERB VERB DET NOUN ADP PRON VERB VERB ADV CCONJ VERB ADV ADV ADP NUM PROPN NUM
The tank has been up and running for eight months : pH is 7.8, with 15 ° GH and 12 ° KH.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET NOUN VERB VERB ADV CCONJ VERB ADP NUM NOUN PUNCT PROPN VERB NUM ADP NUM NOUN PROPN CCONJ NUM NOUN PROPN
If we are to get a common transport market genuinely up and running, it is important that we should not only have regulations but that these regulations should also, as far as possible, apply to every country.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADP PRON VERB PART VERB DET ADJ NOUN NOUN ADV ADV CCONJ VERB PRON VERB ADJ ADP PRON VERB ADV ADV VERB NOUN CCONJ ADP DET NOUN VERB ADV ADV ADV ADP ADJ VERB ADP DET NOUN
Joseph says the black advocacy project is unlikely to be up and running before next year.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up and running	figurative	identical	PROPN VERB DET ADJ NOUN NOUN VERB ADJ PART VERB ADV CCONJ VERB ADP ADJ NOUN
Praxis says it is well down the development road of getting an ANDF installer up on another RISC, possibly the Inmos Transputer, whilst there are known to be several other key players keen to get installers up and running on their kit too ( UX No 385 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN VERB PRON VERB ADV ADP DET NOUN NOUN ADP VERB DET NOUN NOUN PART ADP DET PROPN ADV DET PROPN PROPN ADP ADV VERB VERB PART VERB ADJ ADJ ADJ NOUN ADJ PART VERB NOUN PART CCONJ VERB ADP ADJ NOUN ADV PUNCT PROPN DET NUM PUNCT
No unit or trust has yet got a job evaluation scheme for nurses up and running.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	DET NOUN CCONJ NOUN VERB ADV VERB DET NOUN NOUN NOUN ADP NOUN ADV CCONJ VERB
The Government's Central Statistical Office says it could be July before a new system of European trade statistics is up and running and next year before the whole picture emerges.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET PROPN PROPN PROPN PROPN VERB PRON VERB VERB PROPN ADP DET ADJ NOUN ADP ADJ NOUN NOUN VERB ADV CCONJ NOUN CCONJ ADJ NOUN ADP DET ADJ NOUN VERB
Last season 59 % of senior games were on synthetic but that will rise to 68 % at least … and more if Civil Service can get their proposed pitch up and running before the end of the campaign.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	up and running	figurative	identical	ADJ NOUN NUM NOUN ADP ADJ NOUN VERB ADP NOUN CCONJ DET VERB VERB ADP NUM NOUN ADP ADJ PUNCT CCONJ ADJ ADP PROPN PROPN VERB VERB ADJ VERB NOUN PART CCONJ VERB ADP DET NOUN ADP DET NOUN
Embedded in the White Paper is the assumption that resource management is up and running, and fully operational.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up and running	figurative	identical	VERB ADP DET PROPN PROPN VERB DET NOUN ADP NOUN NOUN VERB ADV CCONJ VERB CCONJ ADV ADJ
The problem will be getting the company up and running before the best players in the Kings ice hockey team leave.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	DET NOUN VERB VERB VERB DET NOUN ADV CCONJ VERB ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN NOUN VERB
One couldn't just get a campaign up and running overnight — although the recession bit both ways, so at least there would be space available in the media for short - term bookings.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PRON VERB ADV VERB DET NOUN ADV CCONJ VERB ADV PUNCT ADP DET NOUN NOUN DET NOUN CCONJ ADP ADJ ADV VERB VERB NOUN ADJ ADP DET NOUN ADP ADJ PUNCT NOUN NOUN
But she's more organised than these lads you see, whatever the duties are you know, she's got hers up and running and whereas they 're still a bit you know haven't got it going as well as she has.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	CCONJ PRON ADV ADJ ADP DET NOUN PRON VERB ADJ DET NOUN VERB PRON VERB PRON VERB PRON PART CCONJ VERB CCONJ ADP PRON VERB ADV DET NOUN PRON VERB VERB VERB PRON VERB ADV ADV ADP PRON VERB
Why don't I get back to you when I have this thing up and running?’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	dashes	ADV VERB PRON VERB ADV ADP PRON ADV PRON VERB DET NOUN ADV CCONJ ADJ
Once the stove was up and running 9.5 minutes.	0 0 0 0 1 1 1 0 0	up and running	figurative	identical	ADP DET NOUN VERB ADV CCONJ VERB NUM NOUN
Meanwhile, OSF claims there are some 150 pilot sites up and running DCE and promises packaged DEC - based applications will be on show at its interoperability Challenge ‘ 93 exhibition in Boston this May ( UX No 404 ).	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	ADV PROPN NOUN ADV VERB DET NUM NOUN NOUN PART CCONJ VERB PROPN CCONJ VERB VERB PROPN PUNCT VERB NOUN VERB VERB ADP NOUN ADP ADJ NOUN PROPN PUNCT NUM NOUN ADP PROPN DET PROPN PUNCT PROPN DET NUM PUNCT
InformationWeek quotes Taligent Inc chief executive Joe Guglielmi as saying his folks have a version of its object - oriented operating system up and running on an Apple Computer Inc Macintosh Quadra : Taligent, which intends publishing specifications this year followed by a developer's kit, has also written some low - level applications for the system along the lines of Apple's MacDraw — but the final system is not due until 1995.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN VERB PROPN PROPN ADJ NOUN PROPN PROPN ADP VERB ADJ NOUN VERB DET NOUN ADP ADJ NOUN PUNCT VERB NOUN NOUN PART CCONJ VERB ADP DET PROPN PROPN PROPN PROPN PROPN PUNCT PROPN ADJ VERB NOUN NOUN DET NOUN VERB ADP DET NOUN NOUN VERB ADV VERB DET ADJ PUNCT NOUN NOUN ADP DET NOUN ADP DET NOUN ADP PROPN PROPN PUNCT CCONJ DET ADJ NOUN VERB ADV ADJ ADP NUM
The host software installs in seconds so that FastPort is up and running on your Unix LAN in minutes.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	up and running	figurative	identical	DET NOUN NOUN NOUN ADP NOUN ADP ADP PROPN VERB ADV CCONJ VERB ADP ADJ PROPN PROPN ADP NOUN
Pencom Software Inc has kicked off a programme to rapidly prototype device drivers for NextStep 486 to help hardware and peripherals vendors get up and running for NextWorld next month.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	up and running	figurative	identical	PROPN PROPN PROPN VERB VERB PART DET NOUN PART ADV VERB NOUN NOUN ADP PROPN NUM PART VERB NOUN CCONJ NOUN NOUN VERB PART CCONJ VERB ADP PROPN ADJ NOUN
So hopefully by the erm, I should be in a position by the next Council meeting, to report that we should be in a position to be up and running on the seventeenth of January.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	up and running	figurative	identical	ADV ADV ADP DET NOUN PRON VERB VERB ADP DET NOUN ADP DET ADJ PROPN NOUN PART VERB ADP PRON VERB VERB ADP DET NOUN PART VERB ADV CCONJ VERB ADP DET NOUN ADP PROPN
Bernie Ecclestone, however, feels guardedly optimistic, ‘ It always takes a long time to get an F1 race up and running in the US,’ he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	up and running	figurative	identical	PROPN PROPN ADV VERB ADV ADJ PUNCT PRON ADV VERB DET ADJ NOUN PART VERB DET PROPN NOUN PART CCONJ VERB ADP DET NOUN PRON VERB
Now would seem to be a good time to buy PCs, but there could well be a certain amount of hassle before your new wonder computer is up and running properly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	up and running	figurative	identical	ADV VERB VERB PART VERB DET ADJ NOUN PART VERB NOUN CCONJ ADV VERB ADV VERB DET ADJ NOUN ADP NOUN ADP ADJ ADJ NOUN NOUN VERB ADV CCONJ VERB ADV
Time ( and his bank balance ) will tell, but at least now the whole thing's up and running he can retreat out of the public eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN PUNCT CCONJ ADJ NOUN NOUN PUNCT VERB VERB CCONJ ADP ADJ ADV DET ADJ NOUN ADV CCONJ VERB PRON VERB VERB ADP ADP DET ADJ NOUN
A £ 1 MILLION initiative to cut crime in Glasgow's city centre through the use of closed circuit television cameras and street wardens could be up and running by the end of the year.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	up and running	figurative	identical	DET SYM NUM NUM NOUN PART VERB NOUN ADP PROPN NOUN NOUN ADP DET NOUN ADP ADJ NOUN NOUN NOUN CCONJ NOUN NOUN VERB VERB ADV CCONJ VERB ADP DET NOUN ADP DET NOUN
One ill - considered word and Stella would be up and running.	0 0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	NUM ADV PUNCT VERB NOUN CCONJ PROPN VERB VERB ADV CCONJ VERB
This highlights how easy EaziLink actually is to get up and running with the minimum of fuss.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	up and running	figurative	identical	DET VERB ADV ADJ PROPN ADV VERB PART VERB PART CCONJ VERB ADP DET NOUN ADP NOUN
Setting up and running preventative maintenance programmes and anti - virus software updates.	0 1 1 1 0 0 0 0 0 0 0 0 0	up and running	literal	identical	VERB PART CCONJ VERB ADJ NOUN NOUN CCONJ ADV PUNCT NOUN NOUN NOUN
More or less yes, just a few adjustments and it could be up and running I would think.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up and running	figurative	identical	ADJ CCONJ ADV INTJ ADV DET ADJ NOUN CCONJ PRON VERB VERB ADV CCONJ VERB PRON VERB VERB
It 'll bring 20 European staff over to get the centre up and running — they 'll be replaced with locally recruited staff over time and be relocated again around Europe.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PRON VERB VERB NUM ADJ NOUN PART PART VERB DET NOUN ADV CCONJ VERB PUNCT PRON VERB VERB VERB ADP ADV VERB NOUN ADP NOUN CCONJ VERB VERB ADV ADP PROPN
Welcome back : The hit musical Barnum, starring Paul Nicholas, is now up and running and playing to packed houses at the Apollo theatre in Oxford.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	VERB PART PUNCT DET ADJ ADJ PROPN VERB PROPN PROPN VERB ADV ADV CCONJ VERB CCONJ VERB ADP ADJ NOUN ADP DET PROPN NOUN ADP PROPN
The 1.2 long main runway is in excellent condition and work is underway to get the Club up - and - running before the end of the year.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	up and running	figurative	dashes	DET NUM ADJ ADJ NOUN VERB ADP ADJ NOUN CCONJ NOUN VERB ADJ PART VERB DET PROPN ADV PUNCT CCONJ PUNCT VERB ADP DET NOUN ADP DET NOUN
A major new venue for live music is now up and running in Bangor.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	up and running	figurative	identical	DET ADJ ADJ NOUN ADP ADJ NOUN VERB ADV ADV CCONJ VERB ADP PROPN
Ten years ago it was supposed that when the database was up and running it would be relatively easy to find additional funds from outside to cover the running costs.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	NUM NOUN ADV PRON VERB VERB ADP ADV DET NOUN VERB ADV CCONJ VERB PRON VERB VERB ADV ADJ PART VERB ADJ NOUN ADP ADV PART VERB DET VERB NOUN
It has been up and running for 18 months and was beta tested last summer by Japanese engineers from NEC Corp that built an I - Tron interface to it.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PRON VERB VERB ADV CCONJ VERB ADP NUM NOUN CCONJ VERB NOUN VERB ADJ NOUN ADP ADJ NOUN ADP PROPN PROPN ADJ VERB DET PROPN PUNCT PROPN NOUN ADP PRON
We 're gon na get em trained up in the garages before we actually launch, but they are able now to say they are approved installers so they will be getting all the stuff, everything in relation to it, I 've given em a list of the people involved in Nottinghamshire and it's the launch is on the seventh March at West Bridgford, and basically the system is ready and up and running, thank the Lord after hard work by er Keith and us all at various times, but it's been mainly down to Keith.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PRON VERB VERB PART VERB PRON VERB PART ADP DET NOUN ADP PRON ADV VERB CCONJ PRON VERB ADJ ADV PART VERB PRON VERB VERB NOUN ADP PRON VERB VERB VERB ADJ DET NOUN NOUN ADP NOUN ADP PRON PRON VERB VERB PRON DET NOUN ADP DET NOUN VERB ADP PROPN CCONJ PRON DET NOUN VERB ADP DET ADJ PROPN ADP PROPN PROPN CCONJ ADV DET NOUN VERB ADJ CCONJ ADV CCONJ NOUN VERB DET PROPN ADP ADJ NOUN ADP INTJ PROPN CCONJ PRON DET ADP ADJ NOUN CCONJ PRON VERB ADV ADP ADP PROPN
The sort of Toytown Railway example is now up and running.	0 0 0 0 0 0 0 0 1 1 1	up and running	figurative	identical	DET NOUN ADP PROPN PROPN NOUN VERB ADV ADV CCONJ VERB
Ammonia loads, now less than half the 1970 level, are set to fall further too, thanks to the new £ 66 million sulphuric acid recovery plant, which will be up and running within the year.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	up and running	figurative	identical	PROPN NOUN ADV ADJ ADP ADJ DET NUM NOUN VERB VERB PART VERB ADV ADV NOUN ADP DET ADJ SYM NUM NUM ADJ NOUN NOUN NOUN ADJ VERB VERB ADV CCONJ VERB ADP DET NOUN
Dawes believes that getting users ' networks up and running properly is one of the biggest challenges facing the industry.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up and running	figurative	identical	PROPN VERB ADP VERB NOUN PART NOUN PART CCONJ VERB ADV VERB NUM ADP DET ADJ NOUN VERB DET NOUN
A computer fault put the line out of action temporarily, but it is now up and running again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	up and running	figurative	identical	DET NOUN NOUN VERB DET NOUN ADP ADP NOUN ADV CCONJ PRON VERB ADV ADV CCONJ VERB ADV
