Bok with a vengeance	0 1 0 1	with a vengeance	figurative	identical	NOUN ADP DET NOUN
Party Fever hits Public NME with a vengeance.	0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PROPN PROPN VERB PROPN PROPN ADP DET NOUN
Thelma & Louise — driven to distraction by their oh - so - ordinary lives, Geena Davis and Susan Sarandon hit the road with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PROPN CCONJ PROPN PUNCT VERB ADP NOUN ADP ADJ NUM PUNCT ADV PUNCT ADJ NOUN PROPN PROPN CCONJ PROPN PROPN VERB DET NOUN ADP DET NOUN
I took up dancing again with a vengeance ; grinding through as many as six lessons a week.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PRON VERB PART VERB ADV ADP DET NOUN PUNCT VERB ADP ADV ADJ ADP NUM NOUN DET NOUN
Instead, it marks the return of a practice that had seemed to have been consigned to history ’s dustbin which has now returned with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADV PRON VERB DET NOUN ADP DET NOUN ADJ VERB VERB PART VERB VERB VERB ADP NOUN PART NOUN ADJ VERB ADV VERB ADP DET NOUN
And then it gets in with a vengeance, when Nicola was a month old didn't it?	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	CCONJ ADV PRON VERB PART ADP DET NOUN ADV NOUN VERB DET NOUN ADJ VERB PRON
And so here you are — with a vengeance.	0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	CCONJ ADV ADV PRON VERB PUNCT ADP DET NOUN
When she returned to New York, she bumped against them with a vengeance.	0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADV PRON VERB ADP PROPN PROPN PRON VERB ADP PRON ADP DET NOUN
Our sense of boredom has set in — with a vengeance.’	0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	dashes	ADJ NOUN ADP NOUN VERB VERB ADP PUNCT ADP DET NOUN
have been taken over with a vengeance and put into the anthropological perspective which in the poem Eliot has applied to so much past literature.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	VERB VERB VERB PART ADP DET NOUN CCONJ VERB ADP DET ADJ NOUN ADJ ADP DET ADJ PROPN VERB VERB ADP ADV ADJ ADP NOUN
The English king was certainly identifying himself with God, and with a vengeance.	0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	DET ADJ NOUN VERB ADV VERB PRON ADP PROPN CCONJ ADP DET NOUN
Aside from the worthlessness of double negatives, aside from the fact that McGuinness was a far more accomplished safe - breaker than Meehan ( he had earned his nickname Tank because it was said he could penetrate even one of those ), and aside from the fact that in all the verbiage spilled out by Meehan, Waddell and McGuinness to lawyers, journalists and others for over thirteen years, none of them had so much as hinted at the idea of a quartet, there was not a scrap of worthwhile evidence to support it : it was speculation with a vengeance and extraordinary to find in a report by a judge of his standing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	ADV ADP DET NOUN ADP ADJ NOUN ADV ADP DET NOUN ADP PROPN VERB DET ADV ADV ADJ ADJ PUNCT NOUN ADP PROPN PUNCT PRON VERB VERB ADJ NOUN PROPN ADP PRON VERB VERB PRON VERB VERB ADV NUM ADP DET PUNCT CCONJ ADV ADP DET NOUN ADP ADP ADJ DET NOUN VERB PART ADP PROPN PROPN CCONJ PROPN ADP NOUN NOUN CCONJ NOUN ADP ADP NUM NOUN NOUN ADP PRON VERB ADV ADV ADP VERB ADP DET NOUN ADP DET NOUN ADV VERB ADV DET NOUN ADP ADJ NOUN PART VERB PRON PUNCT PRON VERB NOUN ADP DET NOUN CCONJ ADJ PART VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN
‘ And with a vengeance, too.	0 0 1 0 1 0	with a vengeance	figurative	identical	PUNCT CCONJ ADP DET NOUN ADV
Standardized fascias and fronts, company colours, house lettering and stylized logos are in with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADJ NOUN CCONJ NOUN NOUN NOUN NOUN NOUN CCONJ ADJ NOUN VERB ADP ADP DET NOUN
Under the sound money party, it is back with a vengeance — £ 20 billion next year.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	with a vengeance	figurative	identical	ADP DET ADJ NOUN NOUN PRON VERB ADV ADP DET NOUN PUNCT SYM NUM NUM ADJ NOUN
This was spelling things out with a vengeance.	0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	DET VERB VERB NOUN PART ADP DET NOUN
But if she faced a China intractably hostile, staunchly pro - American and modernising with a vengeance, would the USSR become more amenable or would she look for a means of escape?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	CCONJ ADP PRON VERB DET PROPN ADV ADJ ADV ADJ PUNCT ADJ CCONJ VERB ADP DET NOUN VERB DET PROPN VERB ADV ADJ CCONJ VERB PRON VERB ADP DET NOUN ADP NOUN
The Soviet Union had entered international sport with a vengeance, throwing the weight of a massive state machine against West European and American dominance of athletics.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET PROPN PROPN VERB VERB ADJ NOUN ADP DET NOUN VERB DET NOUN ADP DET ADJ NOUN NOUN ADP PROPN ADJ CCONJ ADJ NOUN ADP NOUN
The pastry took a terrible pounding at times, and Bessie kneaded the dough with a vengeance as she talked of Kate Kerrigan, one of her sworn enemies.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET NOUN VERB DET ADJ NOUN ADP NOUN CCONJ PROPN VERB DET NOUN ADP DET NOUN ADP PRON VERB ADP PROPN PROPN NUM ADP ADJ VERB NOUN
She set to work with a vengeance, losing herself in the difficult task of making all those fiercely vivid images of him that were swirling around in her head tangible.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PRON VERB PART VERB ADP DET NOUN VERB PRON ADP DET ADJ NOUN ADP VERB ADJ DET ADV ADJ NOUN ADP PRON ADJ VERB VERB PART ADP ADJ NOUN ADJ
Howard had tried all the proprietary athlete's foot remedies, but found they were only partially effective ; the infection would always return with a vengeance within a few days of discontinuing with the ointment or powder.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PROPN VERB VERB ADJ DET ADJ NOUN NOUN NOUN CCONJ VERB PRON VERB ADV ADV ADJ PUNCT DET NOUN VERB ADV VERB ADP DET NOUN ADP DET ADJ NOUN ADP VERB ADP DET NOUN CCONJ NOUN
The same is true, but this time with a vengeance, when it comes to animals and plants.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET ADJ VERB ADJ CCONJ DET NOUN ADP DET NOUN ADV PRON VERB ADP NOUN CCONJ NOUN
The reckoning came with a vengeance when ‘ The kynge out of hand sent commissions to gather ye loane, this was called practisyng of the loane, which sore emptied men's purses.’	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET NOUN VERB ADP DET NOUN ADV PUNCT DET NOUN ADP ADP NOUN VERB NOUN PART VERB ADJ NOUN DET VERB VERB NOUN ADP DET NOUN ADJ ADV ADJ NOUN NOUN
Evidence suggests that the fifties are back with a vengeance.	0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	NOUN VERB ADP DET NOUN VERB ADV ADP DET NOUN
Glenavon, who had won two and lost two of their previous matches, had succeeded in taking control and they did so with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PROPN NOUN VERB VERB NUM CCONJ VERB NUM ADP ADJ ADJ NOUN VERB VERB ADP VERB NOUN CCONJ PRON VERB ADV ADP DET NOUN
‘ But,’ she says, ‘ I 've come back to live theatre with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PUNCT ADV PRON VERB PUNCT PRON VERB VERB ADV PART VERB NOUN ADP DET NOUN
The opposition to Raybestos then appeared to die down for the following year, only to return with a vengeance in 1980.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	with a vengeance	figurative	identical	DET NOUN ADP PROPN ADV VERB PART VERB PART ADP DET ADJ NOUN ADV PART VERB ADP DET NOUN ADP NUM
But Greece is set to test Europe again, with a vengeance.	0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	CCONJ PROPN VERB VERB PART VERB PROPN ADV ADP DET NOUN
You can bet the Rare Bear team will be back with a vengeance.	0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PRON VERB VERB DET PROPN PROPN NOUN VERB VERB ADV ADP DET NOUN
The Hit Squad are back, and back with a vengeance with this great conversion of Taito's cracking coin - op!	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET PROPN PROPN VERB ADV CCONJ ADV ADP DET NOUN ADP DET ADJ NOUN ADP PROPN VERB NOUN PUNCT NOUN
But the disparity between the sides really emerged with a vengeance in the back division where Armstrong, Lineen and the Hastings brothers showed superior speed of thought, hand and foot.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	CCONJ DET NOUN ADP DET NOUN ADV VERB ADP DET NOUN ADP DET ADJ NOUN ADV PROPN PROPN CCONJ DET PROPN NOUN VERB ADJ NOUN ADP NOUN NOUN CCONJ NOUN
The tyrants of classical Sicily did indeed behave like the kings of hellenistic Greek history, intermarrying ( with a vengeance : they practised polygamy ), shifting populations around ( Gelon's transfer of capital and population to Syracuse ), and building on a heroic scale.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET NOUN ADP ADJ PROPN VERB ADV VERB ADP DET NOUN ADP ADJ ADJ NOUN VERB PUNCT ADP DET NOUN PUNCT PRON VERB ADJ PUNCT VERB NOUN ADV PUNCT PROPN NOUN ADP NOUN CCONJ NOUN ADP PROPN PUNCT CCONJ VERB ADP DET ADJ NOUN
We are back in the ball game with a vengeance, especially if we beat Cambridge United next Saturday.’	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PRON VERB ADV ADP DET NOUN NOUN ADP DET NOUN ADV ADP PRON VERB PROPN PROPN ADJ NOUN
By the mid-19th century the Machine Age had arrived with a vengeance, which was only fitting, since that Age had itself begun in the west of Scotland.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	ADP DET ADJ NOUN DET PROPN PROPN VERB VERB ADP DET NOUN ADJ VERB ADV ADJ ADP DET PROPN VERB PRON VERB ADP DET NOUN ADP PROPN
The gap was re - opened with a vengeance by events after 1978, when ‘ the North - South divide’ entered a period of widening on most economic and political measures.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET NOUN VERB NOUN PUNCT VERB ADP DET NOUN ADP NOUN ADP NUM ADV PUNCT DET PROPN PUNCT PROPN NOUN VERB DET NOUN ADP VERB ADP ADJ ADJ CCONJ ADJ NOUN
The jet - black F1, with its giant chrome tailpipes, brought back that classic look with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	DET NOUN PUNCT ADJ PROPN ADP ADJ ADJ ADJ NOUN VERB PART DET ADJ NOUN ADP DET NOUN
The laboratory has no money to pick up Charles Brown's project, should AIDS arrive here with a vengeance, although it is currently collaborating with Speywood to adapt its conventional purification technology to human blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET NOUN VERB DET NOUN PART VERB PART PROPN PROPN NOUN VERB PROPN VERB ADV ADP DET NOUN ADP PRON VERB ADV VERB ADP PROPN PART VERB ADJ ADJ NOUN NOUN ADP ADJ NOUN
The old bitterness was back with a vengeance and she kept her face averted.	0 0 0 0 0 1 0 1 0 0 0 0 0 0	with a vengeance	figurative	identical	DET ADJ NOUN VERB ADV ADP DET NOUN CCONJ PRON VERB ADJ NOUN VERB
Constitutional fundamentals have been opened up with a vengeance.	0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADJ NOUN VERB VERB VERB PART ADP DET NOUN
The lumps, he noted, were returning with a slow vengeance and he confirmed that nonetheless I should be able to fulfil the requirements of a demanding panto season with no trouble.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	insertion-other	DET NOUN PRON VERB VERB VERB ADP DET ADJ NOUN CCONJ PRON VERB ADP ADV PRON VERB VERB ADJ PART VERB DET NOUN ADP DET VERB ADJ NOUN ADP DET NOUN
On one level The Freshman works exceedingly well, its clever - clever script and free - and - easy exploitation of Matthew Broderick and, remarkably, Marlon Brando find ways to make an audience laugh with a slick vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	with a vengeance	figurative	insertion-other	ADP NUM NOUN DET PROPN VERB ADV ADV ADJ ADJ PUNCT ADJ NOUN CCONJ ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP PROPN PROPN CCONJ ADV PROPN PROPN VERB NOUN PART VERB DET NOUN NOUN ADP DET ADJ NOUN
It was a job he seemed to be going after with a vengeance, despite the fact that the sizzling summer temperatures didn't exactly encourage the use of much firewood, and the lodge had not had a winter season for nearly ten years.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PRON VERB DET NOUN PRON VERB PART VERB VERB ADV ADP DET NOUN ADP DET NOUN ADP DET VERB NOUN NOUN VERB ADV VERB DET NOUN ADP ADJ NOUN CCONJ DET NOUN VERB ADV VERB DET NOUN NOUN ADP ADV NUM NOUN
The likely result of the Great Onion Disaster is that the Dir district will return to its traditional crop of opium with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	DET ADJ NOUN ADP DET ADJ PROPN NOUN VERB ADP DET PROPN NOUN VERB VERB ADP ADJ ADJ NOUN ADP NOUN ADP DET NOUN
When the Greek crisis raised the specter of default, financial markets reacted with a vengeance, relegating all heavily indebted eurozone members to the status of a Third ~ World country over - extended in a foreign currency.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	ADV DET ADJ NOUN VERB DET NOUN ADP NOUN ADJ NOUN VERB ADP DET NOUN VERB DET ADV ADJ NOUN NOUN ADP DET NOUN ADP DET PROPN PUNCT NOUN NOUN ADP PUNCT VERB ADP DET ADJ NOUN
Mark was now speaking out with a vengeance.	0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PROPN VERB ADV VERB PART ADP DET NOUN
In the interval his coach Robert Ellis told Hopper to work harder and he did with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADP DET NOUN ADJ NOUN PROPN PROPN VERB PROPN PART VERB ADV CCONJ PRON VERB ADP DET NOUN
The free weekly magazines sent to doctors financed by drug advertisements joined in with a vengeance on the lines that ‘ Fowler's drug list ends prescribing freedom’.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET ADJ ADJ NOUN VERB ADP NOUN VERB ADP NOUN NOUN VERB PART ADP DET NOUN ADP DET NOUN ADJ PUNCT PROPN NOUN NOUN VERB VERB ADV
It was hardly likely to be repeated in 1977, when Niki returned to form with a vengeance and ran off with the championship by a huge margin, leaving Master James stranded in fifth place.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PRON VERB ADV ADJ PART VERB VERB ADP NUM ADV PROPN VERB PART VERB ADP DET NOUN CCONJ VERB PART ADP DET NOUN ADP DET ADJ NOUN VERB PROPN PROPN VERB ADP ADJ NOUN
But with Margaret Thatcher gone and the much more understanding Michael Heseltine installed at Trade and Industry, he is back with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	CCONJ ADP PROPN PROPN VERB CCONJ DET ADV ADJ NOUN PROPN PROPN VERB ADP PROPN CCONJ PROPN PRON VERB ADV ADP DET NOUN
It was Sally's dying wish that he should throw himself into his role as country copper Inspector Reg Wexford — and that he has done with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PRON VERB PROPN VERB NOUN ADP PRON VERB VERB PRON ADP ADJ NOUN ADP NOUN NOUN PROPN PROPN PROPN PUNCT CCONJ ADP PRON VERB VERB ADP DET NOUN
He 'll come back next year with a vengeance and so will the skull Oxford Cheetahs.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PRON VERB VERB ADV ADJ NOUN ADP DET NOUN CCONJ ADV VERB DET NOUN PROPN PROPN
High living has returned with a vengeance.	0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADJ NOUN VERB VERB ADP DET NOUN
Though when, clearly a man who felt he had no need to underline anything, by his very silence he made her believe it, she was back to hating him with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADP ADV ADV DET NOUN NOUN VERB PRON VERB DET NOUN PART VERB NOUN ADP ADJ ADJ NOUN PRON VERB PRON VERB PRON PRON VERB ADV ADP VERB PRON ADP DET NOUN
Richmond, covering a huge swathe of the county from Hawes high in the dales down through Northallerton and Thirsk to the borders of Cleveland, re - painted itself blue with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PROPN VERB DET ADJ NOUN ADP DET NOUN ADP PROPN ADJ ADP DET NOUN PART ADP PROPN CCONJ PROPN ADP DET NOUN ADP PROPN NOUN PUNCT VERB PRON ADJ ADP DET NOUN
BEIJING – Now that the “ green shoots ” of recovery have withered, the debate over fiscal stimulus is back with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PROPN PUNCT ADV ADP DET PUNCT ADJ NOUN PUNCT ADP NOUN VERB VERB DET NOUN ADP ADJ NOUN VERB ADV ADP DET NOUN
This may be the season of goodwill, but the Imperial Presidency is back with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	DET VERB VERB DET NOUN ADP NOUN CCONJ DET PROPN PROPN VERB ADV ADP DET NOUN
Oscar night did not seem particularly relevant to those uncertain days of vague social unease, political upheaval and, of course, the Vietnam War rumbling away inconclusively on the other side of the globe, yet brought home with a vengeance to the American people on nightly TV news broadcasts ; and accordingly the attendant razzmatazz of the movie industry's Night of Nights was reduced to what was considered a decent minimum.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PROPN NOUN VERB ADV VERB ADV ADJ ADP DET ADJ NOUN ADP ADJ ADJ NOUN ADJ NOUN CCONJ ADP NOUN DET PROPN PROPN VERB ADV ADV ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB ADV ADP DET NOUN ADP DET ADJ NOUN ADP ADJ NOUN NOUN NOUN PUNCT CCONJ ADV DET ADJ NOUN ADP DET NOUN NOUN PROPN ADP PROPN VERB VERB ADP NOUN VERB VERB DET ADJ NOUN
What Federico Cesi once wrote of the members of his Lincean Academy applied to Galileo with a vengeance : ‘ All we claim in common is freedom to philosophize in physical matters.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	NOUN PROPN PROPN ADV VERB ADP DET NOUN ADP ADJ PROPN PROPN VERB ADP PROPN ADP DET NOUN PUNCT PUNCT DET PRON VERB ADP ADJ VERB NOUN PART VERB ADP ADJ NOUN
BRUSSELS – The metaphors used during the financial crisis of 2008 - 2009 – earthquake, tsunami, meltdown, black swan, and fallout – are back with a vengeance, but now they are being recycled literally.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PROPN PUNCT DET NOUN VERB ADP DET ADJ NOUN ADP NUM SYM NUM PUNCT NOUN NOUN NOUN ADJ NOUN CCONJ NOUN PUNCT VERB ADV ADP DET NOUN CCONJ ADV PRON VERB VERB VERB ADV
Today the school finds itself in the midst of a public debate which is shaking the foundations of French politics — some say ethics — has split Mitterand's Socialist Party down the middle and has put the questions of immigration and integration back on the agenda with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	NOUN DET NOUN VERB PRON ADP DET NOUN ADP DET ADJ NOUN ADJ VERB VERB DET NOUN ADP ADJ NOUN PUNCT DET VERB NOUN PUNCT VERB VERB PROPN PROPN PROPN ADP DET NOUN CCONJ VERB VERB DET NOUN ADP NOUN CCONJ NOUN ADV ADP DET NOUN ADP DET NOUN
The defensiveness was back with a vengeance, but there seemed no way she could control it.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	DET NOUN VERB ADV ADP DET NOUN CCONJ ADV VERB DET NOUN PRON VERB VERB PRON
The world had returned with a vengeance.	0 0 0 0 1 0 1	with a vengeance	figurative	identical	DET NOUN VERB VERB ADP DET NOUN
Sunshine with a vengeance.	0 1 0 1	with a vengeance	figurative	identical	NOUN ADP DET NOUN
