I managed to hammer out the brief for the marioc debate in the nick of time.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	PRON VERB PART VERB PART DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NOUN
Everything is made to change just in the nick of time, and even the return letter office suspends its laws that Jane Eyre may carry on a tale with effect.	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	NOUN VERB VERB PART VERB ADV ADP DET NOUN ADP NOUN CCONJ ADV DET NOUN NOUN NOUN VERB ADJ NOUN ADJ PROPN PROPN VERB VERB PART DET NOUN ADP NOUN
When Iago outlines his plan to regain Othello's respect through the intervention of Desdemona, Cassio is grateful : The point that this sequence establishes is that Cassio, like Roderigo before him, and like Othello, and Desdemona after him, trusts Iago and believes that he has appeared in the nick of time, solely in order to help him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0	in the nick of time	figurative	identical	ADV PROPN VERB ADJ NOUN PART VERB PROPN NOUN ADP DET NOUN ADP PROPN PROPN VERB ADJ PUNCT DET NOUN ADP DET NOUN VERB VERB ADP PROPN ADP PROPN ADP PRON CCONJ INTJ PROPN CCONJ PROPN ADP PRON VERB PROPN CCONJ VERB ADP PRON VERB VERB ADP DET NOUN ADP NOUN ADV ADP NOUN PART VERB PRON
‘ Like the U.S. cavalry, just in the nick of time,’ he said.	0 0 0 0 0 0 1 0 1 1 1 0 0	in the nick of time	figurative	dashes	PUNCT ADP DET PROPN NOUN ADV ADP DET NOUN ADP PROPN PRON VERB
But the awareness of what might have been had not some stalwart Cornishman come along the beach in the nick of time and the thought of the possible after - effects on both Celia and Liza haunted him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	CCONJ DET NOUN ADP NOUN VERB VERB VERB VERB ADV DET ADJ PROPN VERB ADP DET NOUN ADP DET NOUN ADP NOUN CCONJ DET NOUN ADP DET ADJ ADP PUNCT NOUN ADP DET PROPN CCONJ PROPN VERB PRON
With repairs completed in the nick of time she sailed for the operation with a depleted crew.	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADP NOUN VERB ADP DET NOUN ADP NOUN PRON VERB ADP DET NOUN ADP DET VERB NOUN
As it happened the new ramp section was only just rescued from a bulldozer in the nick of time as the skate scene said a final goodbye to Andover skatepark.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADP PRON VERB DET ADJ NOUN NOUN VERB ADV ADV VERB ADP DET NOUN ADP DET NOUN ADP NOUN ADP DET ADJ NOUN VERB DET ADJ NOUN ADP PROPN NOUN
Possibly in the nick of time, Israel began to export an appetite killer, consisting of pulverised algae.	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADV ADP DET NOUN ADP NOUN PROPN VERB PART VERB DET NOUN NOUN VERB ADP ADJ NOUN
In the nick of time, a team of rugby players, passing in a coach, stop and pull the car — and Frank — to safety.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	case	ADP DET NOUN ADP NOUN DET NOUN ADP NOUN NOUN VERB ADP DET NOUN VERB CCONJ VERB DET NOUN PUNCT CCONJ PROPN PUNCT ADP NOUN
He immediately took to his heels with is case of cigarettes and led me a merry dance away from the docks, through a council estate, finally finishing up on the perimeter track of Ipswich Airport where I was rescued in the nick of time by a squad car full of policemen just as I was about to be filled in by the burly seaman.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	PRON ADV VERB ADP ADJ NOUN ADP VERB NOUN ADP NOUN CCONJ VERB PRON DET NOUN NOUN ADV ADP DET NOUN ADP DET NOUN NOUN ADV VERB PART ADP DET NOUN NOUN ADP PROPN PROPN ADV PRON VERB VERB ADP DET NOUN ADP NOUN ADP DET ADJ NOUN ADJ ADP NOUN ADV ADP PRON VERB ADJ PART VERB VERB ADP ADP DET ADJ NOUN
‘ Fish to fry,’ she joined with him, and rolled her eyes, having seen the awful pun — typical of Dad — coming just in the nick of time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	PUNCT NOUN PART VERB PRON VERB ADP PRON CCONJ VERB ADJ NOUN VERB VERB DET ADJ NOUN PUNCT ADJ ADP PROPN PUNCT VERB ADV ADP DET NOUN ADP NOUN
Even though the US government ’s debt limit was raised in the nick of time, the process was – and remains – fraught with risk.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADV ADP DET PROPN NOUN PART NOUN NOUN VERB VERB ADP DET NOUN ADP NOUN DET NOUN VERB PUNCT CCONJ VERB PUNCT ADJ ADP NOUN
Christina had just received the last consignment of furniture, arriving in the nick of time to prevent it being dumped higgledy - piggledy in the reception hall.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	PROPN VERB ADV VERB DET ADJ NOUN ADP NOUN VERB ADP DET NOUN ADP NOUN PART VERB PRON VERB VERB ADJ PUNCT NOUN ADP DET NOUN NOUN
‘ Indoors?’ asked Camille, who had again nearly lost her temper completely but retrieved it in the nick of time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	PUNCT PROPN VERB PROPN NOUN VERB ADV ADV VERB ADJ NOUN ADV CCONJ VERB PRON ADP DET NOUN ADP NOUN
‘ You have come in the nick of time,’ Alexandra told him.	0 0 0 0 1 0 1 1 1 0 0 0	in the nick of time	figurative	dashes	PUNCT PRON VERB VERB ADP DET NOUN ADP PROPN PROPN VERB PRON
Arlington Mill is one of those mills that was pulled back from the brink of destruction in the nick of time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	PROPN PROPN VERB NUM ADP DET NOUN ADJ VERB VERB ADV ADP DET NOUN ADP NOUN ADP DET NOUN ADP NOUN
As Gandalf points out, all Sauron and Saruman and the orcs have done between them is ‘ bring Pippin and Merry with marvellous speed, and in the nick of time, to Fangorn, where otherwise they would never have come at all!’— and so, one might say, though it is beyond Gandalf's knowledge at the time, to rouse the Ents, overthrow Saruman, save Rohan, and free Théoden to make his decisive intervention at Minas Tirith.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADP PROPN VERB PART DET PROPN CCONJ PROPN CCONJ DET NOUN VERB VERB ADP PRON VERB PUNCT PROPN PROPN CCONJ PROPN ADP ADJ NOUN CCONJ ADP DET NOUN ADP NOUN ADP PROPN ADV ADV PRON VERB ADV VERB VERB ADP PROPN CCONJ ADV PRON VERB VERB ADP PRON VERB ADP PROPN NOUN ADP DET NOUN PART VERB DET PROPN ADJ PROPN VERB PROPN CCONJ ADJ PROPN PART VERB ADJ ADJ NOUN ADP PROPN PROPN
One Candy owner, Eleanor Bellamy, has already died, and others have escaped from their smoke - filled homes just in the nick of time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	NUM NOUN NOUN PROPN PROPN VERB ADV VERB CCONJ NOUN VERB VERB ADP ADJ NOUN PUNCT VERB NOUN ADV ADP DET NOUN ADP NOUN
The final sequence is a familiar bad dream as the family dash in the house and upstairs in the nick of time, only to find they haven't shut the door behind them …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	DET ADJ NOUN VERB DET ADJ ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP NOUN ADV PART VERB PRON VERB VERB DET NOUN ADP PRON PUNCT
Well, in the nick of time they realized that all that Anna was wailing about was some French floozy the prince wasn't even particularly attached to ( a crony of Anna's, a censorious old toad who lived in hotels and got everything half wrong, had spilt the beans to her ).	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	INTJ ADP DET NOUN ADP NOUN PRON VERB ADP DET ADJ PROPN VERB VERB ADP VERB DET ADJ VERB DET NOUN VERB ADV ADV VERB ADP PUNCT DET NOUN ADP PROPN DET ADJ ADJ NOUN NOUN VERB ADP NOUN CCONJ VERB NOUN ADV ADJ VERB VERB DET NOUN ADP PRON PUNCT
However, in Alcine, Act 5, scenes 2–3, with the entry of Melissa, the deus ex machina whose magic power is greater than Alcina's, and who rescues the lovers Astophus and Melanie in the nick of time, an exceptional progression is used D major to F major.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADV ADP PROPN PROPN NUM NOUN NUM ADP DET NOUN ADP PROPN DET ADJ NUM NOUN ADJ ADJ NOUN VERB ADJ ADP PROPN CCONJ NOUN VERB DET NOUN PROPN CCONJ PROPN ADP DET NOUN ADP NOUN DET ADJ NOUN VERB VERB NOUN NOUN ADP PROPN NOUN
Saved, in the nick of time.	0 1 0 1 1 1	in the nick of time	figurative	identical	PROPN ADP DET NOUN ADP NOUN
He advanced to the Seine, slipped across it at Poissy and, with Philip's army hard on his heels, he crossed the Somme at Blanche - Taque by a ford which was revealed to the king in the nick of time, possibly by a prisoner to whom Edward offered enough money to buy the vital information.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	PRON VERB ADP DET PROPN VERB ADP PRON ADP PROPN CCONJ ADP PROPN NOUN ADV ADP ADJ NOUN PRON VERB DET PROPN ADP PROPN PUNCT PROPN ADP DET NOUN ADJ VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN ADV ADP DET NOUN ADP NOUN PROPN VERB ADJ NOUN PART VERB DET ADJ NOUN
We got here in the nick of time or we would have had the rotten table otherwise.	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	PRON VERB ADV ADP DET NOUN ADP NOUN CCONJ PRON VERB VERB VERB DET ADJ NOUN ADV
Clive also attended, visibly gleeful that he had spared the school any undesirable publicity by unloading me in the nick of time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	PROPN ADV VERB ADV ADJ ADP PRON VERB VERB DET NOUN DET ADJ NOUN ADP VERB PRON ADP DET NOUN ADP NOUN
Good defending in the nick of time but still Leicester press Greyson and again Greyson headed away by Laws to Ormanroyd.	0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADJ VERB ADP DET NOUN ADP NOUN CCONJ ADV PROPN NOUN PROPN CCONJ ADV PROPN VERB ADV ADP NOUN ADP PROPN
The 16-year - old forgot her contact lenses at her hotel and only a desperate delivery in the nick of time saved her from an embarrassing night at the Virginia Slims Championships.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	DET NUM PUNCT ADJ VERB ADJ NOUN NOUN ADP ADJ NOUN CCONJ ADV DET ADJ NOUN ADP DET NOUN ADP NOUN VERB PRON ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN
A RUNAWAY schoolgirl was found in the nick - of - time yesterday as she prepared to flee to Portugal to rekindle a holiday romance.	0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	dashes	DET PROPN NOUN VERB VERB ADP DET ADJ PUNCT ADP PUNCT NOUN NOUN ADP PRON VERB PART VERB ADP PROPN PART VERB DET NOUN NOUN
