She was playing with fire, in Lydia's opinion.	0 0 1 1 1 0 0 0	play with fire	figurative	inflection	PRON VERB VERB ADP NOUN ADP PROPN NOUN
The mask made him seem menacing, and she suddenly had the sensation that with Lucenzo she was playing with fire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	play with fire	figurative	inflection	DET NOUN VERB PRON VERB ADJ CCONJ PRON ADV VERB DET NOUN ADJ ADP PROPN PRON VERB VERB ADP NOUN
Ladies and gentlemen, please ask the people in your constituencies whether they want us to play with fire in this way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	play with fire	figurative	identical	NOUN CCONJ NOUN INTJ VERB DET NOUN ADP ADJ NOUN ADP PRON VERB PRON PART VERB ADP NOUN ADP DET NOUN
For many years now, Georgia and Russia have been playing with fire, and war in the Caucasus looked preordained.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	play with fire	figurative	inflection	ADP ADJ NOUN ADV PROPN CCONJ PROPN VERB VERB VERB ADP NOUN CCONJ NOUN ADP DET PROPN VERB VERB
Those who play with fire, however archly, must expect to get their fingers burnt once in a while, and when ironic lyrics are allied to questionable public utterances and clearly provocative imagery, then it is reasonable to question the man's motives and intentions.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play with fire	figurative	identical	DET NOUN VERB ADP NOUN ADV ADV VERB VERB PART VERB ADJ NOUN VERB ADV ADP DET NOUN CCONJ ADV ADJ NOUN VERB VERB PART VERB ADJ NOUN CCONJ ADV ADJ NOUN ADV PRON VERB ADJ PART VERB DET NOUN NOUN CCONJ NOUN
Yet Russia, like Saakashvili, is playing with fire : its strategy of encouraging separatist forces in the two Georgian provinces may inflame separatist tendencies in other parts of the Russian ~ Federation ( remember Chechnya? ).	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play with fire	figurative	inflection	CCONJ PROPN ADP PROPN VERB VERB ADP NOUN PUNCT ADJ NOUN ADP ADJ ADJ NOUN ADP DET NUM ADJ NOUN VERB VERB ADJ NOUN ADP ADJ NOUN ADP DET ADJ PUNCT NOUN PUNCT VERB PROPN PUNCT
People who dangle wires or ropes on to power lines to see what happens are playing with fire.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	play with fire	figurative	combined-inflection	NOUN NOUN VERB NOUN CCONJ NOUN PART ADP NOUN NOUN PART VERB NOUN VERB VERB VERB ADP X
‘ People are playing with fire if they contemplate the Government will just be defeated on Wednesday and everything settles down the following day.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play with fire	figurative	inflection	PUNCT NOUN VERB VERB ADP NOUN ADP PRON VERB DET PROPN VERB ADV VERB VERB ADP PROPN CCONJ NOUN VERB ADP DET ADJ NOUN
I 've said all along we were playing with fire.’	0 0 0 0 0 0 0 1 1 1	play with fire	figurative	combined-inflection	PRON VERB VERB ADV ADP PRON VERB VERB ADP X
The stunts became more daring and, in one episode, Crawford found himself literally playing with fire, when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play with fire	figurative	inflection	DET NOUN VERB ADV ADJ CCONJ ADP NUM NOUN PROPN VERB PRON ADV VERB ADP NOUN ADV NOUN VERB ADP NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN CCONJ ADV VERB PART VERB VERB
Playing with fire to show that he could?	1 1 1 0 0 0 0 0	play with fire	figurative	combined-inflection	VERB ADP NOUN PART VERB ADP PRON VERB
‘ No, but you also like playing with fire.	0 0 0 0 0 0 1 1 1	play with fire	figurative	inflection	PUNCT INTJ CCONJ PRON ADV VERB VERB ADP NOUN
