Hemmings has, in fact, played a first - class game in the West Indies.	0 0 0 0 1 0 0 0 0 1 0 0 0 0	play games	literal	combined-inflection	PROPN VERB ADP NOUN VERB DET ADJ PUNCT NOUN NOUN ADP DET PROPN PROPN
Gaming keyboards and gaming mouses are not necessary to play games.	0 0 0 0 0 0 0 0 0 1 1	play games	literal	identical	NOUN NOUN CCONJ NOUN NOUN VERB ADV ADJ PART VERB NOUN
Eric grinned at me and I smiled back because I knew that, at well over sixty, he still played a very competitive game of golf off a handicap of ten.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0	play games	literal	combined-inflection	PROPN VERB ADP PRON CCONJ PRON VERB ADV ADP PRON VERB ADP ADP ADV ADP NUM PRON ADV VERB DET ADV ADJ NOUN ADP NOUN ADP DET NOUN ADP NUM
Pedalling home, I used to play a game — that with every light I saw on in a house, I would get £ 1,000 a year.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	VERB ADV PRON VERB PART VERB DET NOUN PUNCT ADP ADP DET NOUN PRON VERB PART ADP DET NOUN PRON VERB VERB SYM NUM DET NOUN
Mooney played four games in a row before being left out of the derby game, while Brady was substitute in the FA Cup replay against West Ham, the two games against Chelsea and the semi - final against Norwich City.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PROPN VERB NUM NOUN ADP DET NOUN ADP VERB VERB ADP ADP DET NOUN NOUN ADP PROPN VERB ADJ ADP DET PROPN PROPN NOUN ADP PROPN PROPN DET NUM NOUN ADP PROPN CCONJ DET NOUN PUNCT ADJ ADP PROPN PROPN
The real purpose of role - playing games is in providing a healthy alternative for potential child murderers and perverts.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	DET ADJ NOUN ADP NOUN PUNCT NOUN NOUN VERB ADP VERB DET ADJ NOUN ADP ADJ NOUN NOUN CCONJ NOUN
Well, I won't, I 'll play one game with you and then I 'll go and get your tea alright?	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	INTJ PRON VERB PRON VERB VERB NUM NOUN ADP PRON CCONJ ADV PRON VERB VERB CCONJ VERB ADJ NOUN ADJ
We still haven't discussed the question of which cards are necessary in order to play a particular game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	play games	literal	combined-inflection	PRON ADV VERB VERB DET NOUN ADP ADJ NOUN VERB ADJ ADP NOUN PART VERB DET ADJ NOUN
You want to play a game?	0 0 0 1 0 1	play games	literal	combined-inflection	PRON VERB PART VERB DET NOUN
The teachers are playing games with students in the kindergarden.	0 0 0 1 1 0 0 0 0 0	play games	literal	inflection	DET NOUN VERB VERB NOUN ADP NOUN ADP DET NOUN
Many people are expressing an interest in playing the game and no doubt many parents will be interested in mini - rugby for their children.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	ADJ NOUN VERB VERB DET NOUN ADP VERB DET NOUN CCONJ ADV ADV ADJ NOUN VERB VERB ADJ ADP NOUN PUNCT NOUN ADP ADJ NOUN
willi, willing and a a kindly nature but we if it's in the middle of a game you know, and er, you know how you are when you 're playing a game well they 'd fetch me away to run for some cheese for an old lady.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	VERB ADJ CCONJ DET DET ADJ NOUN CCONJ PRON ADP PRON ADP DET NOUN ADP DET NOUN PRON VERB CCONJ INTJ PRON VERB ADV PRON VERB ADV PRON VERB VERB DET NOUN INTJ PRON VERB VERB PRON ADV PART VERB ADP DET NOUN ADP DET ADJ NOUN
Sole is one of those rare front - row forwards whose remarkable range of skills not only makes him a complete footballer but also brings fresh possibilities to the way the game can be played at the highest level.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	play games	literal	misc	PROPN VERB NUM ADP DET ADJ NOUN PUNCT NOUN NOUN ADJ ADJ NOUN ADP NOUN ADV ADV VERB PRON DET ADJ NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN DET NOUN VERB VERB VERB ADP DET ADJ NOUN
Birmingham City were yesterday fined £ 50,000 and ordered to play two games behind closed doors following the riot at St Andrews in February, though the punishment is suspended until the end of next season.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	insertion-other	PROPN PROPN VERB NOUN VERB SYM NUM CCONJ VERB PART VERB NUM NOUN ADP ADJ NOUN VERB DET NOUN ADP PROPN PROPN ADP PROPN ADP DET NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN
‘ Don't play games with me, Quinn.’	0 0 1 1 0 0 0	play games	figurative	identical	PUNCT VERB VERB NOUN ADP PRON NOUN
The mortifying thought occurred to her that he was playing games, that he somehow had telepathic powers and could read every angry, frightened, confused, cowardly thought scurrying through her brain …	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	figurative	inflection	DET VERB NOUN VERB ADP PRON ADP PRON VERB VERB NOUN ADP PRON ADV VERB ADJ NOUN CCONJ VERB VERB DET ADJ ADJ ADJ ADV VERB NOUN ADP ADJ NOUN PUNCT
Someone else is playing the same game — following him with a series of cars.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	play games	figurative	combined-inflection	NOUN ADV VERB VERB DET ADJ NOUN PUNCT VERB PRON ADP DET NOUN ADP NOUN
The jongleur is left to watch over some souls, but is approached by St Peter, with whom he plays two different games of dice, gambling for the souls.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	play games	literal	combined-inflection	DET NOUN VERB VERB PART VERB ADP DET NOUN CCONJ VERB VERB ADP PROPN PROPN ADP NOUN PRON VERB NUM ADJ NOUN ADP NOUN VERB ADP DET NOUN
While using gpu does laptop gets hot when you are not playing games?	0 0 0 0 0 0 0 0 0 0 0 1 1	play games	literal	inflection	ADP VERB NOUN VERB NOUN VERB ADJ ADV PRON VERB ADV VERB NOUN
Every participant has to conduct himself in a sporting and fair manner and never attempt to use improper or questionable tactics while playing the game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	play games	literal	inflection	DET NOUN VERB PART VERB PRON ADP DET NOUN CCONJ ADJ NOUN CCONJ ADV VERB PART VERB ADJ CCONJ ADJ NOUN ADP VERB DET NOUN
Play rolling games : if you haven't got a ball, an orange or a roll of tape will do.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-other	VERB ADJ NOUN PUNCT ADP PRON VERB VERB DET NOUN DET NOUN CCONJ DET NOUN ADP NOUN VERB VERB
are we gon na play a game?	0 0 0 0 1 0 1	play games	literal	combined-inflection	VERB PRON VERB PART VERB DET NOUN
' But I 've told Leeds I would prefer delaying it until after the World Cup final, especially with the Aussies playing three warm - up games in England. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0	play games	literal	combined-inflection	PUNCT CCONJ PRON VERB VERB PROPN PRON VERB VERB VERB PRON ADP ADP DET PROPN PROPN ADJ ADV ADP DET PROPN VERB NUM NOUN PUNCT PART NOUN ADP PROPN PUNCT
Suppose ~ Miller wants to play a Club game, but has only the Heart Jack.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	play games	literal	combined-inflection	VERB PUNCT PROPN VERB PART VERB DET PROPN NOUN CCONJ VERB ADV DET PROPN PROPN
Forrester seems to have played a lovely game, or so we are told by the Sunday tabloids.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	NOUN VERB PART VERB VERB DET ADJ NOUN CCONJ ADV PRON VERB VERB ADP DET PROPN NOUN
Carrick's argument, that of the man who earns his living playing the game, would make sense anywhere but in the Ridings : without the addition of a West Indian fast bowler and the option of adding two more experienced outside players, says Carrick, the chances of his youngish team ever winning trophies and thus making money, are severely limited.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	PROPN NOUN ADP ADP DET NOUN NOUN VERB ADJ VERB VERB DET NOUN VERB VERB NOUN ADV CCONJ ADP DET PROPN PUNCT ADP DET NOUN ADP DET PROPN ADJ ADJ NOUN CCONJ DET NOUN ADP VERB NUM ADV ADJ ADP NOUN VERB PROPN DET NOUN ADP ADJ ADJ NOUN ADV VERB NOUN CCONJ ADV VERB NOUN VERB ADV VERB
Short must be feeling very depressed after this lapse, since he played a model game.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	play games	literal	combined-inflection	ADJ VERB VERB VERB ADV ADJ ADP DET NOUN ADP PRON VERB DET NOUN NOUN
Apart, though, from one or two short cuts in the domestic offices — hardly surprising when basement space had to be taken up with loaded drawers of garage and garden — Sir Edwin Lutyens, Weaver declared, ' has played his most difficult game of planning with serious ingenuity and success '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	ADV ADV ADP NUM CCONJ NUM ADJ NOUN ADP DET ADJ NOUN PUNCT ADV ADJ ADV NOUN NOUN VERB PART VERB VERB PART ADP ADJ NOUN ADP NOUN CCONJ NOUN PUNCT PROPN PROPN PROPN PROPN VERB PUNCT VERB VERB ADJ ADV ADJ NOUN ADP VERB ADP ADJ NOUN CCONJ NOUN PUNCT
His father believed that he had a good eye and could have played the game well if he was not liable to slip into a trance and forget that his attention was needed.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	ADJ NOUN VERB ADP PRON VERB DET ADJ NOUN CCONJ VERB VERB VERB DET NOUN ADV ADP PRON VERB ADV ADJ PART VERB ADP DET NOUN CCONJ VERB ADP ADJ NOUN VERB VERB
After playing several party games, everyone finally returned home.	0 1 0 0 1 0 0 0 0	play games	literal	combined-inflection	ADP VERB ADJ NOUN NOUN NOUN ADV VERB ADV
There is a suspicion that some RBG equipment is being used for playing computer games within the working hours of some staff.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	play games	literal	combined-inflection	ADV VERB DET NOUN ADP DET PROPN NOUN VERB VERB VERB ADP VERB NOUN NOUN ADP DET VERB NOUN ADP DET NOUN
My Nexus 10 is Heating, that often happens while playing game for more than 5 minutes Is it normal?	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	play games	literal	inflection	ADJ PROPN NUM VERB PROPN ADP ADV VERB ADP VERB NOUN ADP ADJ ADP NUM NOUN VERB PRON ADJ
MARK LAWRENSON : ' I think the thing you have to say Richard, they 've only played eight games.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	play games	literal	combined-inflection	PROPN PROPN PUNCT PUNCT PRON VERB DET NOUN PRON VERB PART VERB PROPN PRON VERB ADV VERB NUM NOUN
In order to maintain the authority of the teacher or librarian and to make pupils aware that microcomputers do not exist merely for playing games but have a wider range of educational applications, it is important for the librarian or teacher to have basic knowledge of microcomputers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	ADP NOUN PART VERB DET NOUN ADP DET NOUN CCONJ NOUN CCONJ PART VERB NOUN ADJ ADP NOUN VERB ADV VERB ADV ADP VERB NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN PRON VERB ADJ ADP DET NOUN CCONJ NOUN PART VERB ADJ NOUN ADP NOUN
This reproduction from a thirteenth century chess manual shows a Christian and a Moslem playing a game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	play games	literal	combined-inflection	DET NOUN ADP DET ADJ NOUN NOUN NOUN VERB DET PROPN CCONJ DET PROPN VERB DET NOUN
Eight hours is a long time to wait to play three games, ' said Sanchez, last year's runner - up to Monica Seles.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	play games	literal	insertion-other	NUM NOUN VERB DET ADJ NOUN PART VERB PART VERB NUM NOUN PUNCT VERB PROPN ADJ NOUN NOUN PUNCT NOUN ADP PROPN PROPN
‘ Travis, stop playing games.	0 0 0 1 1	play games	figurative	inflection	PUNCT PROPN VERB VERB NOUN
But you don't play over 500 games with three big clubs, have a couple of big moves and become a bad player overnight.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	insertion-other	CCONJ PRON VERB VERB ADP NUM NOUN ADP NUM ADJ NOUN VERB DET NOUN ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADV
When we play games with her sh, and she doesn't win she either gets upset and cries or gets angry.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	identical	ADV PRON VERB NOUN ADP PRON INTJ CCONJ PRON VERB VERB PRON CCONJ VERB ADJ CCONJ NOUN CCONJ VERB ADJ
I ' m concerned about the temperature when it runs idle its around 45c and when I play games its 75c max 80c	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	play games	literal	identical	PRON PUNCT NOUN ADJ ADP DET NOUN ADV PRON VERB ADJ ADJ NOUN NOUN CCONJ ADV PRON VERB VERB ADJ NOUN VERB NOUN
But whereas he had come to the conclusion by the beginning of 1936 that Mussolini was probably not the man to play this game, he remained cautiously optimistic that Hitler might be.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	play games	figurative	combined-inflection	CCONJ ADP PRON VERB VERB ADP DET NOUN ADP DET NOUN ADP NUM ADP PROPN VERB ADV ADV DET NOUN PART VERB DET NOUN PRON VERB ADV ADJ ADP PROPN VERB VERB
' Aye ; you 've got to be a real man to play this game, ' Howie says, winking and taking up his glass.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PUNCT VERB PUNCT PRON VERB VERB PART VERB DET ADJ NOUN PART VERB DET NOUN PUNCT PROPN VERB VERB CCONJ VERB PART ADJ NOUN
' This is a crass decision by Mr Clarke and the Government is playing dangerous game, ' he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	play games	figurative	combined-inflection	PUNCT DET VERB DET ADJ NOUN ADP PROPN PROPN CCONJ DET PROPN VERB VERB ADJ NOUN PUNCT PRON VERB
They shadow opponents in defence and play a short passing game in attack.	0 0 0 0 0 0 1 0 0 0 1 0 0	play games	literal	combined-inflection	PRON VERB NOUN ADP NOUN CCONJ VERB DET ADJ NOUN NOUN ADP NOUN
' Grand ' games are played up to only with or without 4 multipliers.	0 0 0 1 0 1 0 0 0 0 0 0 0 0	play games	literal	misc	PUNCT PROPN PUNCT NOUN VERB VERB PART ADP ADV ADP CCONJ ADP NUM NOUN
You can play games like Quake - 1/2/3A, Unreal 1/2/UT, Postal 2, Red ~ Faction, Half Life / CS 1.6, Sin, Duke Nukem 3D	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	identical	PRON VERB VERB NOUN ADP NOUN PUNCT PROPN PROPN PROPN PROPN NUM PROPN PUNCT PROPN PROPN PROPN SYM PROPN NUM PROPN PROPN PROPN NOUN
Whenever I play a game my pc restarts after every 30 mints.	0 0 1 0 1 0 0 0 0 0 0 0	play games	literal	combined-inflection	ADV PRON VERB DET NOUN ADJ NOUN VERB ADP DET NUM NOUN
' Eleven years later it was like a dream come true when I played my first game for the club and he was still in goal.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PUNCT PROPN NOUN ADV PRON VERB ADP DET NOUN VERB ADJ ADV PRON VERB ADJ ADJ NOUN ADP DET NOUN CCONJ PRON VERB ADV ADP NOUN
He didn't want to play the game part time.	0 0 0 0 1 0 1 0 0	play games	literal	inflection	PRON VERB VERB PART VERB DET NOUN NOUN NOUN
We played various games there, of which the most popular was a kind of bingo.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PRON VERB ADJ NOUN ADV ADP ADJ DET ADV ADJ VERB DET NOUN ADP NOUN
BOBBY ROBSON tried his best to be diplomatic, but his face is too expressive to play that game, and the fight to conceal his true feelings was well and truly lost.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	figurative	combined-inflection	PROPN PROPN VERB ADJ ADJ PART VERB ADJ CCONJ ADJ NOUN VERB ADV ADJ PART VERB DET NOUN CCONJ DET NOUN PART VERB ADJ ADJ NOUN VERB ADV CCONJ ADV VERB
On one occasion, a socialist game was played, in which players took the parts of rich and poor countries.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	play games	literal	misc	ADP NUM NOUN DET ADJ NOUN VERB VERB ADP ADJ NOUN VERB DET NOUN ADP ADJ CCONJ ADJ NOUN
Donaghy plays a waiting game	0 1 0 0 1	play games	literal	inflection	NOUN VERB DET NOUN NOUN
Why does my computer turn into ramdom screen color when I play games?	0 0 0 0 0 0 0 0 0 0 0 1 1	play games	literal	identical	ADV VERB ADJ NOUN VERB ADP NOUN NOUN NOUN ADV PRON VERB NOUN
Lillehammer ~ Ishockeylubb has played a few games there, but the two most important hockey tournaments played in the arena is the 1994~Olympics ( famed for Peter ~ Forsberg's goal in the deciding penalty shootout of the final game ) and the 1999~World ~ Ice ~ Hockey ~ Championships.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	NOUN PUNCT PROPN VERB VERB DET ADJ NOUN ADV CCONJ DET NUM ADV ADJ NOUN NOUN VERB ADP DET NOUN VERB DET PROPN PUNCT VERB ADP PROPN PUNCT PROPN NOUN ADP DET VERB NOUN NOUN ADP DET ADJ NOUN PUNCT CCONJ DET NOUN PUNCT NOUN PUNCT PROPN PUNCT PROPN
He has played only four games since November.	0 0 1 0 0 1 0 0	play games	literal	combined-inflection	PRON VERB VERB ADV NUM NOUN ADP PROPN
To play the game, children run the hand - held electronic device over the barcode of any product.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	PART VERB DET NOUN NOUN VERB DET NOUN PUNCT VERB ADJ NOUN ADP DET NOUN ADP DET NOUN
He hesitated for a moment, then he said, ' I wonder if any of you have ever played a game called ' Smee '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	play games	literal	combined-inflection	PRON VERB ADP DET NOUN ADV PRON VERB PUNCT PRON VERB ADP DET ADP PRON VERB ADV VERB DET NOUN VERB PUNCT PROPN PUNCT
I couldn't imagine Ted contemplating the nature of Eva and Dad's taut happiness or telling of how they were always trying to pull each other's tracksuit bottoms down and playing games like seeing who could throw a lolly - stick in a bin the most times out of ten.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	PRON VERB VERB PROPN VERB DET NOUN ADP PROPN CCONJ PROPN NOUN NOUN CCONJ NOUN ADP ADV PRON VERB ADV VERB PART VERB DET ADJ NOUN NOUN ADV CCONJ VERB NOUN ADP VERB NOUN VERB VERB DET ADV PUNCT NOUN ADP DET NOUN DET ADJ NOUN ADP ADP NUM
He plays no budgetary games nor does he tolerate finance people playing games with him.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	play games	figurative	inflection	PRON VERB DET ADJ NOUN CCONJ VERB PRON VERB NOUN NOUN VERB NOUN ADP PRON
Few games have been played in such restricted space yet provided so much furious forward movement and pace.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	misc	ADJ NOUN VERB VERB VERB ADP ADJ VERB NOUN ADV VERB ADV ADV ADJ ADJ NOUN CCONJ NOUN
When supper was over, they played games.	0 0 0 0 0 1 1	play games	literal	inflection	ADV NOUN VERB ADV PRON VERB NOUN
Dr Shotton pours scorn on mothers who chastise their offspring for playing video games : ' It's far healthier than watching TV.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	PROPN PROPN NOUN VERB ADP NOUN NOUN VERB ADJ NOUN ADP VERB NOUN NOUN PUNCT PUNCT PRON ADV ADJ ADP VERB NOUN
When individuals from families of low socio - economic status climb the organizational hierarchy, they may feel ' out of their depth ' at certain levels and be unable or unwilling to play the games familiar to those from managerial and professional middle - class families.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	play games	figurative	inflection	ADV NOUN ADP NOUN ADP ADJ NOUN PUNCT ADJ NOUN VERB DET ADJ NOUN PRON VERB VERB PUNCT ADP ADP ADJ NOUN PUNCT ADP ADJ NOUN CCONJ VERB ADJ CCONJ ADJ PART VERB DET NOUN ADJ ADP DET ADP ADJ CCONJ ADJ ADJ PUNCT NOUN NOUN
He said : ' If England play the direct game, they will worry us.	0 0 0 0 0 0 1 0 0 1 0 0 0 0	play games	literal	combined-inflection	PRON VERB PUNCT PUNCT ADP PROPN VERB DET ADJ NOUN PRON VERB VERB PRON
Radosław, Marek and Maciej like playing games on the PlayStation 2.	0 0 0 0 0 1 1 0 0 0 0	play games	literal	inflection	PROPN PROPN CCONJ PROPN ADP VERB NOUN ADP DET PROPN NUM
I don't know how to play the game.	0 0 0 0 0 1 0 1	play games	literal	inflection	PRON VERB VERB ADV PART VERB DET NOUN
Ace Goran plays new ball game	0 0 1 0 0 1	play games	literal	combined-inflection	PROPN PROPN VERB ADJ NOUN NOUN
Prices for a PC with the extras required to play games start at Pounds 700.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	play games	literal	identical	NOUN ADP DET NOUN ADP DET NOUN VERB PART VERB NOUN VERB ADP PROPN NUM
Gudni Bergsson is set to play his first game of the season at sweeper.	0 0 0 0 0 1 0 0 1 0 0 0 0 0	play games	literal	combined-inflection	PROPN PROPN VERB VERB PART VERB ADJ ADJ NOUN ADP DET NOUN ADP NOUN
for that's for the civil service to run around and play games with.	0 0 0 0 0 0 0 0 0 0 1 1 0	play games	figurative	identical	ADP DET ADP DET ADJ NOUN PART VERB ADV CCONJ VERB NOUN ADP
But there's nothing wrong with playing games to ease your concern, whether it's playing detective or playing rugby.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	CCONJ ADV NOUN ADJ ADP VERB NOUN PART VERB ADJ NOUN ADP PRON VERB NOUN CCONJ NOUN NOUN
‘ I 've always liked playing games.	0 0 0 0 0 1 1	play games	literal	inflection	PUNCT PRON VERB ADV VERB NOUN NOUN
