Mr McCormack said this did not mean the barrage project was dead and buried.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	dead and buried	figurative	identical	PROPN PROPN VERB DET VERB ADV VERB DET NOUN NOUN VERB ADJ CCONJ VERB
They were dead and buried!	0 0 1 1 1	dead and buried	figurative	identical	PRON VERB ADJ CCONJ VERB
Rugby29pts Harlequins20 RUGBY 'S League One ambitions looked dead and buried.	0 0 0 0 0 0 0 0 1 1 1	dead and buried	figurative	identical	PROPN PROPN PROPN PART PROPN NUM NOUN VERB ADJ CCONJ VERB
The Empire's dead and buried.’	0 0 1 1 1	dead and buried	figurative	dashes	DET PROPN ADJ CCONJ NOUN
Similar fates were to befall those children called Charles : Charles Thynne Titford ( the influence of the Carpenter family at work here in the choice of a second Christian name ) survived for a mere 11 months, and a further Charles was dead and buried within three weeks of his birth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	dead and buried	literal	identical	ADJ NOUN VERB PART VERB DET NOUN VERB PROPN PUNCT PROPN PROPN PROPN PUNCT DET NOUN ADP DET PROPN NOUN ADP NOUN ADV ADP DET NOUN ADP DET ADJ ADJ NOUN PUNCT VERB ADP DET ADJ NUM NOUN CCONJ DET ADJ PROPN VERB ADJ CCONJ VERB ADP NUM NOUN ADP ADJ NOUN
Solly Adam, who first alerted Yorkshire that Tendulkar was keen to play in England, is convinced that prejudice is dead and buried.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	dead and buried	figurative	identical	PROPN PROPN NOUN ADV VERB PROPN ADP PROPN VERB ADJ PART VERB ADP PROPN VERB VERB ADP NOUN VERB ADJ CCONJ VERB
Pledge on Poll tax SUZANNE Fletcher, Liberal Democrat candidate for Stockton North says her Party in power ‘ could have the Poll tax dead and buried by April 1993’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	dead and buried	figurative	identical	NOUN ADP PROPN NOUN PROPN PROPN PROPN PROPN NOUN ADP PROPN PROPN VERB ADJ PROPN ADP NOUN PRON VERB VERB DET PROPN NOUN ADJ CCONJ VERB ADP PROPN NUM
Cosenza took the lead in the 78th minute with a skilful goal finished off by Negri and three minutes later City were dead and buried when Signorelli snatched a second.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	dead and buried	figurative	identical	PROPN VERB DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN VERB PART ADP PROPN CCONJ NUM NOUN ADV PROPN VERB ADJ CCONJ VERB ADV PROPN VERB DET NOUN
She's dead and buried in a grave in Portree.	0 1 1 1 0 0 0 0 0	dead and buried	literal	identical	PRON ADJ CCONJ VERB ADP DET NOUN ADP PROPN
She was dead and buried.	0 0 1 1 1	dead and buried	literal	identical	PRON VERB ADJ CCONJ VERB
To this unheroic proposal Charles retorted passionately that ‘ rather than go back, I would wish to be dead and buried 20 feet underground’, but Murray's reputation was by now such, and his arguments so well mustered, that he won over his colleagues.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead and buried	literal	identical	ADP DET ADJ NOUN PROPN VERB ADV ADP PUNCT ADV ADP VERB ADV PRON VERB VERB PART VERB ADJ CCONJ VERB NUM NOUN NOUN CCONJ PROPN NOUN VERB ADP ADV ADJ CCONJ ADJ NOUN ADV ADV VERB ADP PRON VERB ADP ADJ NOUN
The old argument about whether the UK should be a member of the EC should now be dead and buried.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	dead and buried	figurative	identical	DET ADJ NOUN ADP ADP DET PROPN VERB VERB DET NOUN ADP DET PROPN VERB ADV VERB ADJ CCONJ VERB
Middlesbrough would have been dead and buried if Taylor had taken other scoring chances before the break.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	dead and buried	figurative	identical	PROPN VERB VERB VERB ADJ CCONJ VERB ADP PROPN VERB VERB ADJ NOUN NOUN ADP DET NOUN
