The swimming is safe and very tempting in the lake's crystal clear waters.	0 0 0 0 0 0 0 0 0 0 1 1 0	crystal clear	figurative	identical	DET NOUN VERB ADJ CCONJ ADV ADJ ADP DET NOUN NOUN ADJ NOUN	▁The ▁swimming ▁is ▁safe ▁and ▁very ▁tempt ing ▁in ▁the ▁lake ' s ▁crystal ▁clear ▁waters .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	DET NOUN VERB ADJ CCONJ ADV ADJ ADJ ADP DET NOUN NOUN NOUN NOUN ADJ NOUN NOUN
The Centre does nothing magical, nothing unscientific, nothing really extraordinary, it merely helps you to start filtering off the oil and getting back to that crystal clear water.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	crystal clear	figurative	identical	DET PROPN VERB NOUN ADJ NOUN ADJ NOUN ADV ADJ PRON ADV VERB PRON PART VERB VERB ADP DET NOUN CCONJ VERB ADV ADP DET NOUN ADJ NOUN	▁The ▁Centre ▁does ▁nothing ▁magic al , ▁nothing ▁un scientific , ▁nothing ▁really ▁extraordinary , ▁it ▁mere ly ▁helps ▁you ▁to ▁start ▁filtering ▁off ▁the ▁oil ▁and ▁gett ing ▁back ▁to ▁that ▁crystal ▁clear ▁water .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	DET PROPN VERB NOUN ADJ ADJ ADJ NOUN ADJ ADJ ADJ NOUN ADV ADJ ADJ PRON ADV ADV VERB PRON PART VERB VERB ADP DET NOUN CCONJ VERB VERB ADV ADP DET NOUN ADJ NOUN NOUN
It consists of a long gentle curve of slightly shelving sand which often makes it possible to be only waist deep in warm, crystal clear water several hundred yards out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	crystal clear	figurative	identical	PRON VERB ADP DET ADJ ADJ NOUN ADP ADV VERB NOUN ADJ ADV VERB PRON ADJ PART VERB ADV NOUN ADV ADP ADJ NOUN ADJ NOUN ADJ NUM NOUN PART	▁It ▁consists ▁of ▁a ▁long ▁gentle ▁curve ▁of ▁slightly ▁she lv ing ▁sand ▁which ▁often ▁makes ▁it ▁possible ▁to ▁be ▁only ▁waist ▁deep ▁in ▁warm , ▁crystal ▁clear ▁water ▁several ▁hundred ▁yards ▁out .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	PRON VERB ADP DET ADJ ADJ NOUN ADP ADV VERB VERB VERB NOUN ADJ ADV VERB PRON ADJ PART VERB ADV NOUN ADV ADP ADJ ADJ NOUN ADJ NOUN ADJ NUM NOUN PART PART
There was one of them caressing on the beach at Crystal Springs, and another of the glamorous couple wrapped around each other in the crystal - clear water of the hotel beach.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	crystal clear	figurative	dashes	ADV VERB NUM ADP PRON VERB ADP DET NOUN ADP PROPN PROPN CCONJ DET ADP DET ADJ NOUN VERB ADP DET ADJ ADP DET NOUN PUNCT ADJ NOUN ADP DET NOUN NOUN	▁There ▁was ▁one ▁of ▁them ▁care s s ing ▁on ▁the ▁be ach ▁at ▁C ry stal ▁Spring s , ▁and ▁another ▁of ▁the ▁gla mor ous ▁couple ▁wrapped ▁around ▁each ▁other ▁in ▁the ▁crystal ▁- ▁clear ▁water ▁of ▁the ▁hotel ▁be ach .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	ADV VERB NUM ADP PRON VERB VERB VERB VERB ADP DET NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN CCONJ DET ADP DET ADJ ADJ ADJ NOUN VERB ADP DET ADJ ADP DET NOUN PUNCT ADJ NOUN ADP DET NOUN NOUN NOUN NOUN
The guitars are crystal clear and know where they are going, and the Gears are not afraid of changing paces, enjoying a rambling slower section in Ninety Nine Per Cent while Fear is 100pc power - driven complete with ‘ wooh, woos’ from Sympathy for the Devil.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN VERB NOUN ADJ CCONJ VERB ADV PRON VERB VERB CCONJ DET PROPN VERB ADV ADJ ADP VERB NOUN VERB DET VERB ADJ NOUN ADP PROPN NUM ADP PROPN ADP PROPN VERB ADJ NOUN PUNCT VERB ADJ ADP PRON INTJ NOUN ADP PROPN ADP DET PROPN	▁The ▁g uit ars ▁are ▁crystal ▁clear ▁and ▁know ▁where ▁they ▁are ▁going , ▁and ▁the ▁Gear s ▁are ▁not ▁afraid ▁of ▁changing ▁pace s , ▁enjoying ▁a ▁ram bling ▁slower ▁section ▁in ▁Nine ty ▁Nine ▁Per ▁C ent ▁while ▁F ear ▁is ▁100 p c ▁power ▁- ▁driven ▁complete ▁with ▁ ‘ ▁ wo oh , ▁w oo s ’ ▁from ▁S ym pathy ▁for ▁the ▁De vil .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN VERB NOUN ADJ CCONJ VERB ADV PRON VERB VERB VERB CCONJ DET PROPN PROPN VERB ADV ADJ ADP VERB NOUN NOUN NOUN VERB DET VERB VERB ADJ NOUN ADP PROPN PROPN NUM ADP PROPN PROPN ADP PROPN PROPN VERB ADJ ADJ ADJ NOUN PUNCT VERB ADJ ADP PRON PRON INTJ INTJ INTJ INTJ NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN ADP DET PROPN PROPN PROPN
During the Korean War, Attlee made Britain's objections to the extension of the conflict to mainland China crystal clear to Truman.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	crystal clear	figurative	identical	ADP DET PROPN PROPN PROPN VERB PROPN NOUN ADP DET NOUN ADP DET NOUN ADP NOUN PROPN NOUN ADJ ADP PROPN	▁Dur ing ▁the ▁Korean ▁War , ▁A ttle e ▁made ▁Britain ' s ▁objections ▁to ▁the ▁extension ▁of ▁the ▁conflict ▁to ▁mainland ▁China ▁crystal ▁clear ▁to ▁Tru man .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	ADP ADP DET PROPN PROPN PROPN PROPN PROPN PROPN VERB PROPN PROPN PROPN NOUN ADP DET NOUN ADP DET NOUN ADP NOUN PROPN NOUN ADJ ADP PROPN PROPN PROPN
We start not with the sins of the father within us, nor with the sins of anyone else, but as crystal clear water, into which dirty sump oil is poured.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	PRON VERB ADV ADP DET NOUN ADP DET NOUN ADP PRON CCONJ ADP DET NOUN ADP NOUN ADV CCONJ ADP NOUN ADJ NOUN ADP ADJ ADJ NOUN NOUN VERB VERB	▁We ▁start ▁not ▁with ▁the ▁sin s ▁of ▁the ▁father ▁within ▁us , ▁nor ▁with ▁the ▁sin s ▁of ▁anyone ▁else , ▁but ▁as ▁crystal ▁clear ▁water , ▁into ▁which ▁dirty ▁sum p ▁oil ▁is ▁poured .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADP DET NOUN NOUN ADP DET NOUN ADP PRON PRON CCONJ ADP DET NOUN NOUN ADP NOUN ADV ADV CCONJ ADP NOUN ADJ NOUN NOUN ADP ADJ ADJ NOUN NOUN NOUN VERB VERB VERB
But London is like iced water, it's crystal clear and safe.	0 0 0 0 0 0 0 1 1 0 0	crystal clear	figurative	identical	CCONJ PROPN VERB ADP ADJ NOUN PRON NOUN ADJ CCONJ ADJ	▁But ▁London ▁is ▁like ▁ice d ▁water , ▁it ' s ▁crystal ▁clear ▁and ▁safe .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	CCONJ PROPN VERB ADP ADJ ADJ NOUN NOUN PRON PRON PRON NOUN ADJ CCONJ ADJ ADJ
‘ This Corosini,’ she blurted out, as it all became crystal - clear.	0 0 0 0 0 0 0 0 0 0 1 0 1	crystal clear	figurative	dashes	PUNCT DET PROPN PRON VERB PART ADP PRON DET VERB NOUN PUNCT ADJ	▁ ‘ ▁This ▁Cor osin i , ’ ▁she ▁bl urt ed ▁out , ▁as ▁it ▁all ▁became ▁crystal ▁- ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT DET PROPN PROPN PROPN PROPN PROPN PRON VERB VERB VERB PART PART ADP PRON DET VERB NOUN PUNCT ADJ ADJ
As Bing Taylor, W H Smith's general manager books, put it succinctly : ‘ It is essential that the owners or managers of a bookshop or chain have a crystal clear vision of their own philosophy, that which differentiates their business from all other booksellers …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	ADP PROPN PROPN PROPN PROPN PROPN ADJ NOUN NOUN VERB PRON ADV PUNCT PUNCT PRON VERB ADJ ADP DET NOUN CCONJ NOUN ADP DET NOUN CCONJ NOUN VERB DET NOUN ADJ NOUN ADP ADJ ADJ NOUN ADP ADJ VERB ADJ NOUN ADP DET ADJ NOUN PUNCT	▁As ▁B ing ▁Taylor , ▁W ▁H ▁Smith ' s ▁general ▁manager ▁books , ▁put ▁it ▁suc cin ct ly ▁ : ▁ ‘ ▁It ▁is ▁essential ▁that ▁the ▁owners ▁or ▁managers ▁of ▁a ▁books hop ▁or ▁chain ▁have ▁a ▁crystal ▁clear ▁vision ▁of ▁their ▁own ▁philosophy , ▁that ▁which ▁differentiate s ▁their ▁business ▁from ▁all ▁other ▁books eller s ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADJ NOUN NOUN NOUN VERB PRON ADV ADV ADV ADV PUNCT PUNCT PUNCT PUNCT PRON VERB ADJ ADP DET NOUN CCONJ NOUN ADP DET NOUN NOUN CCONJ NOUN VERB DET NOUN ADJ NOUN ADP ADJ ADJ NOUN NOUN ADP ADJ VERB VERB ADJ NOUN ADP DET ADJ NOUN NOUN NOUN PUNCT
London is like ‘ iced water, it's crystal clear and safe’	0 0 0 0 0 0 0 1 1 0 0	crystal clear	figurative	identical	PROPN VERB ADP ADJ ADJ NOUN PRON NOUN ADJ CCONJ ADJ	▁London ▁is ▁like ▁ ‘ ▁ice d ▁water , ▁it ' s ▁crystal ▁clear ▁and ▁safe ’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	PROPN VERB ADP ADJ ADJ ADJ ADJ NOUN NOUN PRON PRON PRON NOUN ADJ CCONJ ADJ ADJ
At the time the rebel tour was arranged, it was made crystal - clear to all the potential participants that a direct consequence of their actions would be an immediate five - year international ban.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	ADP DET NOUN DET NOUN NOUN VERB VERB PRON VERB VERB NOUN PUNCT ADJ ADP ADJ DET ADJ NOUN ADJ DET ADJ NOUN ADP ADJ NOUN VERB VERB DET ADJ NUM PUNCT NOUN ADJ NOUN	▁At ▁the ▁time ▁the ▁rebel ▁to ur ▁was ▁arranged , ▁it ▁was ▁made ▁crystal ▁- ▁clear ▁to ▁all ▁the ▁potential ▁participants ▁that ▁a ▁direct ▁consequence ▁of ▁their ▁actions ▁would ▁be ▁an ▁immediate ▁five ▁- ▁year ▁international ▁ban .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN DET NOUN NOUN NOUN VERB VERB VERB PRON VERB VERB NOUN PUNCT ADJ ADP ADJ DET ADJ NOUN ADJ DET ADJ NOUN ADP ADJ NOUN VERB VERB DET ADJ NUM PUNCT NOUN ADJ NOUN NOUN
The only sound this crystal clear summer morning was the distant stridulation of a skylark.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET ADJ NOUN DET NOUN ADJ NOUN NOUN VERB DET ADJ NOUN ADP DET NOUN	▁The ▁only ▁sound ▁this ▁crystal ▁clear ▁summer ▁morning ▁was ▁the ▁distant ▁str id ulation ▁of ▁a ▁sky lar k .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN DET NOUN ADJ NOUN NOUN VERB DET ADJ NOUN NOUN NOUN ADP DET NOUN NOUN NOUN NOUN
‘ Because I made it crystal - clear, right from the start, that I didn't want you here, complicating my life.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	PUNCT ADP PRON VERB PRON NOUN PUNCT ADJ ADV ADP DET NOUN ADP PRON VERB VERB PRON ADV VERB ADJ NOUN	▁ ‘ ▁Because ▁I ▁made ▁it ▁crystal ▁- ▁clear , ▁right ▁from ▁the ▁start , ▁that ▁I ▁did n ' t ▁want ▁you ▁here , ▁com plicat ing ▁my ▁life .	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP PRON VERB PRON NOUN PUNCT ADJ ADJ ADV ADP DET NOUN NOUN ADP PRON VERB VERB VERB VERB VERB PRON ADV ADV VERB VERB VERB ADJ NOUN NOUN
