After all, how can anyone sort out their problems if they haven't come to grips with themselves?’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	come to grips with	figurative	identical	ADV ADV ADV VERB NOUN VERB PART ADJ NOUN ADP PRON VERB VERB ADP NOUN ADP NOUN
With a mountain upbringing, Myles Horton developed the idea of Highlander in an attempt to come to grips with the problems which were really facing the mountain people of Appalachia and the rural south, the day to day problems which these communities perceived as being obstacles to them, rather than necessarily those which planners, developers and politicians were telling them about.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	ADP DET NOUN NOUN PROPN PROPN VERB DET NOUN ADP PROPN ADP DET NOUN PART VERB ADP NOUN ADP DET NOUN ADJ VERB ADV VERB DET NOUN NOUN ADP PROPN CCONJ DET ADJ NOUN DET NOUN ADP NOUN NOUN ADJ DET NOUN VERB ADP VERB NOUN ADP PRON ADV ADP ADV DET ADJ VERB NOUN CCONJ NOUN VERB VERB PRON ADP
The easiest uses to come to grips with are exclamations such as(1 ) above, because they give a very clear impression of somehow looking at the infinitive event from a position before : they express a desire or longing to realize the infinitive event, so that ( 1 ) might be paraphrased"I would love to be in England …	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	DET ADJ VERB PART VERB ADP NOUN ADP VERB NOUN ADJ NOUN PUNCT ADV ADP PRON VERB DET ADV ADJ NOUN ADP ADV VERB ADP DET ADJ NOUN ADP DET NOUN ADP PUNCT PRON VERB DET NOUN CCONJ NOUN PART VERB DET ADJ NOUN ADP DET PUNCT PUNCT PUNCT VERB VERB NOUN VERB VERB PART VERB ADP PROPN PUNCT
President François Mitterrand had warned in December following the most recent city riots [ see p. 37869]that modern socialism had to come to grips with the management of urban society, and the worst affected local authorities had complained that they lacked resources and bore a heavy burden compared with more affluent areas.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	PROPN PROPN PROPN VERB VERB ADP PROPN VERB DET ADV ADJ NOUN NOUN PUNCT VERB NOUN ADP ADJ NOUN VERB PART VERB ADP NOUN ADP DET NOUN ADP ADJ NOUN CCONJ DET ADV ADJ ADJ NOUN VERB VERB ADP PRON VERB NOUN CCONJ VERB DET ADJ NOUN VERB ADP ADJ ADJ NOUN
They believe that any newcomer would take months to come to grips with what has gone wrong at Ferranti and would as a consequence be worse placed to negotiate a rescue for the group.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	PRON VERB ADP DET NOUN VERB VERB NOUN PART VERB ADP NOUN ADP NOUN VERB VERB ADJ ADP PROPN CCONJ VERB ADP DET NOUN VERB ADV VERB PART VERB DET NOUN ADP DET NOUN
In the end, the analysis is gon na occur, it's the patient who, who really doesn't analyze their ego comes to grips with the unconscious.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	come to grips with	figurative	inflection	ADP DET NOUN DET NOUN VERB VERB PART VERB PRON DET NOUN NOUN NOUN ADV VERB VERB ADJ NOUN VERB ADP NOUN ADP DET ADJ
Cook had the afternoon off and she had been coming to grips with her occasional souffle, when the ‘ monster’ had started its cacophony.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	PROPN VERB DET NOUN ADV CCONJ PRON VERB VERB VERB ADP NOUN ADP ADJ ADJ NOUN ADV DET PUNCT NOUN VERB VERB ADJ NOUN
Minton's sharpest critic was David Sylvester who, having admired his Painter and Model at the Contemporary Art Society exhibition earlier that year, damned the portraits at the Lefevre for their lack of reality ; Minton, he argued, had not come to grips with appearances because he had failed to detach his faculties of observation from his interest in the sitters ' personalities.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	PROPN ADJ NOUN VERB PROPN PROPN NOUN VERB VERB ADJ PROPN CCONJ PROPN ADP DET PROPN PROPN PROPN NOUN ADV DET NOUN VERB DET NOUN ADP DET PROPN ADP ADJ NOUN ADP NOUN PUNCT PROPN PRON VERB VERB ADV VERB ADP NOUN ADP NOUN ADP PRON VERB VERB PART VERB ADJ NOUN ADP NOUN ADP ADJ NOUN ADP DET NOUN PART NOUN
The 24-year - old David Stirling was no rough and ready brawling cut - throat though, in spite of his thirst for coming to grips with the enemy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	come to grips with	figurative	inflection	DET NUM PUNCT ADJ PROPN PROPN VERB DET ADJ CCONJ ADJ NOUN NOUN PUNCT NOUN ADV ADP NOUN ADP ADJ NOUN ADP VERB ADP NOUN ADP DET NOUN
‘ Tosca was the first score I came to grips with, and what a score!	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	come to grips with	figurative	inflection	PUNCT PROPN VERB DET ADJ NOUN PRON VERB ADP NOUN ADP CCONJ NOUN DET NOUN
Moreover, it is unlikely to be in such a position until it has come to grips with the broader contradictions underlying its current operation — its devotion to the Common Agricultural Policy on the one hand and its ambition to recruit the states of Central Europe as members on the other.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	ADV PRON VERB ADJ PART VERB ADP ADJ DET NOUN ADP PRON VERB VERB ADP NOUN ADP DET ADJ NOUN VERB ADJ ADJ NOUN PUNCT ADJ NOUN ADP DET PROPN PROPN PROPN ADP DET NUM NOUN CCONJ ADJ NOUN PART VERB DET NOUN ADP PROPN PROPN ADP NOUN ADP DET ADJ
I suppose that I was influenced by the exploits of the great test pilots of the day, people like Peter Twiss, Neville Duke and John Derry, who were at the time just coming to grips with high - speed flight and what was called the ‘ sound - barrier’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	PRON VERB ADP PRON VERB VERB ADP DET NOUN ADP DET ADJ NOUN NOUN ADP DET NOUN NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN NOUN VERB ADP DET NOUN ADV VERB ADP NOUN ADP ADJ PUNCT NOUN NOUN CCONJ NOUN VERB VERB DET PUNCT ADJ PUNCT NOUN
‘ I 'd like to know it, all the same,’ he said, as if the knowledge could somehow enable him to come to grips with it and defeat it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	come to grips with	figurative	identical	PUNCT PRON VERB VERB PART VERB PRON ADJ DET NOUN PRON VERB ADP ADP DET NOUN VERB ADV VERB PRON PART VERB ADP NOUN ADP PRON CCONJ VERB PRON
It means that peasants do not have to learn a second language — French — before they come to grips with the written word.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	come to grips with	figurative	identical	PRON VERB ADP NOUN VERB ADV VERB PART VERB DET ADJ NOUN PUNCT PROPN PUNCT ADP PRON VERB ADP NOUN ADP DET VERB NOUN
cos, as you say, if if they do have to come to grips with their fellow man, to be at least some of them who are going to be impressed by that.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	ADP ADP PRON VERB ADP ADP PRON VERB VERB PART VERB ADP NOUN ADP ADJ ADJ NOUN PART VERB ADP ADJ DET ADP PRON NOUN VERB VERB PART VERB VERB ADP DET
The pre - tax figure was above City expectations and gave evidence that the bank is finally coming to grips with its bad - debt problem.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	come to grips with	figurative	inflection	DET ADJ PUNCT NOUN NOUN VERB ADP PROPN NOUN CCONJ VERB NOUN ADP DET NOUN VERB ADV VERB ADP NOUN ADP ADJ ADJ PUNCT NOUN NOUN
‘ The ecumenical spirit and composition of the group was a key element in the success of the participants coming to grips with the topic.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	come to grips with	figurative	inflection	PUNCT DET ADJ NOUN CCONJ NOUN ADP DET NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN VERB ADP NOUN ADP DET NOUN
However, it is possible to come to grips with the key factors to facilitate meaningful negotiation.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	come to grips with	figurative	identical	ADV PRON VERB ADJ PART VERB ADP NOUN ADP DET ADJ NOUN PART VERB ADJ NOUN
It was unable, however, to foresee or come to grips with what Habermas in Legitimation Crisis calls the rationality or planning crisis ( Arato and Gebhardt 1978 : xviii - xx )	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	PRON VERB ADJ ADV PART VERB CCONJ VERB ADP NOUN ADP NOUN PROPN ADP PROPN PROPN VERB DET NOUN CCONJ NOUN NOUN PUNCT PROPN CCONJ PROPN NUM PUNCT NOUN PUNCT NUM PUNCT
Many experts believe the flow could become a torrent if the government ever comes to grips with the debt and property problems still hanging over the east.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	ADJ NOUN VERB DET NOUN VERB VERB DET NOUN ADP DET NOUN ADV VERB ADP NOUN ADP DET NOUN CCONJ NOUN NOUN ADV VERB ADP DET NOUN
I had to come to grips with a lot of things in a hurry.	0 0 0 1 1 1 1 0 0 0 0 0 0 0	come to grips with	figurative	identical	PRON VERB PART VERB ADP NOUN ADP DET NOUN ADP NOUN ADP DET NOUN
The environmentalists in their attempt to come to grips with ecological problems have focused on the latter contradiction points to the detriment of those between the social relations of production and the productive forces.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	DET NOUN ADP ADJ NOUN PART VERB ADP NOUN ADP ADJ NOUN VERB VERB ADP DET ADJ NOUN NOUN ADP DET NOUN ADP DET ADP DET ADJ NOUN ADP NOUN CCONJ DET ADJ NOUN
Members of this new authority will have to come to grips quickly with the dilemma that what a city needs, and what its people want, are often two different things.	0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	insertion-other	NOUN ADP DET ADJ NOUN VERB VERB PART VERB ADP NOUN ADV ADP DET NOUN ADP NOUN DET NOUN VERB CCONJ NOUN ADJ NOUN VERB VERB ADV NUM ADJ NOUN
Despite such claims, it is hard to avoid the conclusion that in both the USA and the UK, the audio - visual movement rarely came to grips with the need for an elaborated theory going beyond the use of audio - visual materials as decorative additions to the traditional lesson.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	ADP ADJ NOUN PRON VERB ADJ PART VERB DET NOUN ADP ADP CCONJ DET PROPN CCONJ DET PROPN DET ADJ PUNCT ADJ NOUN ADV VERB ADP NOUN ADP DET NOUN ADP DET ADJ NOUN VERB ADP DET NOUN ADP ADJ PUNCT ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN
If a teacher leaves it up to the pupils to work on their own initiative, will they miss out on essential skills while coming to grips with being responsible for their own learning?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	come to grips with	figurative	inflection	ADP DET NOUN VERB PRON PART ADP DET NOUN PART VERB ADP ADJ ADJ NOUN VERB PRON VERB PART ADP ADJ NOUN ADP VERB ADP NOUN ADP VERB ADJ ADP ADJ ADJ NOUN
Through the daily use of our special knowledge of the counter - culture, we were forced to acknowledge and come to grips with many of the complex social factors surrounding some drug use, which a legal framework could never adequately encompass.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	ADP DET ADJ NOUN ADP ADJ ADJ NOUN ADP DET ADJ PUNCT NOUN PRON VERB VERB PART VERB CCONJ VERB ADP NOUN ADP ADJ ADP DET ADJ ADJ NOUN VERB DET NOUN NOUN ADJ DET ADJ NOUN VERB ADV ADV VERB
Such forecasting also requires an understanding of how advanced economies are coming to grips with that shift, and how the international monetary system will adjust as a result.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	ADJ NOUN ADV VERB DET NOUN ADP ADV ADJ NOUN VERB VERB ADP NOUN ADP DET NOUN CCONJ ADV DET ADJ ADJ NOUN VERB VERB ADP DET NOUN
For the history of the Soviet people during the last twenty or so years machine - readable data files are crucial and Moissenko argues contemporary historians need to come to grips with them now.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	come to grips with	figurative	identical	ADP DET NOUN ADP DET ADJ NOUN ADP DET ADJ NUM CCONJ ADV NOUN NOUN PUNCT ADJ NOUN NOUN VERB ADJ CCONJ PROPN VERB ADJ NOUN VERB PART VERB ADP NOUN ADP PRON ADV
It failed really to come to grips with the contribution which voluntary organisations could make to a pattern of services.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	PRON VERB ADV PART VERB ADP NOUN ADP DET NOUN ADJ ADJ NOUN VERB VERB ADP DET NOUN ADP NOUN
How did you come to grips with that?	0 0 0 1 1 1 1 0	come to grips with	figurative	identical	ADV VERB PRON VERB ADP NOUN ADP DET
More conservative because they clearly derive inspiration from the old WEA extra - mural model, of the tutorial class seriously, conscientiously, and at length coming to grips with conceptual insights and analytical frameworks which appear remote from the workplace, and because they insist upon the vital contribution of the professional educator.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	ADV ADJ ADP PRON ADV VERB NOUN ADP DET ADJ PROPN ADJ PUNCT NOUN NOUN ADP DET ADJ NOUN ADV ADV CCONJ ADP NOUN VERB ADP NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADJ VERB ADJ ADP DET NOUN CCONJ ADP PRON VERB ADP DET ADJ NOUN ADP DET ADJ NOUN
I do not believe there will be any other joint tours until they come to grips with the problem.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	come to grips with	figurative	identical	PRON VERB ADV VERB ADV VERB VERB DET ADJ ADJ NOUN ADP PRON VERB ADP NOUN ADP DET NOUN
He thought of Beryl and the need to come to grips with the Garland set - up as it had been before the old man's death.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	PRON VERB ADP PROPN CCONJ DET NOUN PART VERB ADP NOUN ADP DET PROPN NOUN PUNCT PART ADP PRON VERB VERB ADP DET ADJ NOUN NOUN
If, looking at the Mediterranean world from our Western and Northern viewpoint, we do no more than take note of the removal of North Africa from the scene of Latin Christianity, we shall scarcely have begun to come to grips with the size of the problem.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	come to grips with	figurative	identical	ADP VERB ADP DET PROPN NOUN ADP ADJ ADJ CCONJ ADJ NOUN PRON VERB ADV ADV ADP VERB NOUN ADP DET NOUN ADP PROPN PROPN ADP DET NOUN ADP PROPN PROPN PRON VERB ADV VERB VERB PART VERB ADP NOUN ADP DET NOUN ADP DET NOUN
It was J. A. Hobson who made the most influential and original attempt to come to grips with the nature of the new imperialism.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	come to grips with	figurative	identical	PRON VERB PROPN PROPN PROPN NOUN VERB DET ADV ADJ CCONJ ADJ NOUN PART VERB ADP NOUN ADP DET NOUN ADP DET ADJ NOUN
Those involved are attempting to come to grips with the injustices, the inequalities and the prejudices of a political system in which the practice of representative democracy appears to have little relevance to their plight as they battle against the social and economic problems briefly outlined above.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	DET VERB VERB VERB PART VERB ADP NOUN ADP DET NOUN DET NOUN CCONJ DET NOUN ADP DET ADJ NOUN ADP ADJ DET NOUN ADP ADJ NOUN VERB PART VERB ADJ NOUN ADP ADJ NOUN ADP PRON VERB ADP DET ADJ CCONJ ADJ NOUN ADV VERB ADV
Let me be personal here, for coming to grips with this has been an important milestone in my own life as a Christian.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	VERB PRON VERB ADJ ADV ADP VERB ADP NOUN ADP DET VERB VERB DET ADJ NOUN ADP ADJ ADJ NOUN ADP DET PROPN
It took me only a few weeks to realise that the medical world would never come to grips with polio until it could isolate the virus which caused it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	PRON VERB PRON ADV DET ADJ NOUN PART VERB ADP DET ADJ NOUN VERB ADV VERB ADP NOUN ADP NOUN ADP PRON VERB VERB DET NOUN ADJ VERB PRON
Right, don't spend most of your time trying to come to grips with something that you just don't understand.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	come to grips with	figurative	identical	INTJ VERB VERB ADJ ADP ADJ NOUN VERB PART VERB ADP NOUN ADP NOUN ADJ PRON ADV VERB VERB
This documentation of personal responsibility could, in my opinion, be an important factor in coming to grips with the current system of punitive damages sought from auditors for alleged negligence.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN VERB DET ADJ NOUN ADP VERB ADP NOUN ADP DET ADJ NOUN ADP ADJ NOUN VERB ADP NOUN ADP ADJ NOUN
That all thinking is grounded in analogization shows up especially clearly when we try to come to grips with the thought of another civilization.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	come to grips with	figurative	identical	ADP DET NOUN VERB VERB ADP NOUN VERB PART ADV ADV ADV PRON VERB PART VERB ADP NOUN ADP DET NOUN ADP DET NOUN
Guillotining the Bill at this early stage shows that Ministers are frightened to come to grips with the legislation and face scrutiny of the details of their own Bill.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	VERB DET PROPN ADP DET ADJ NOUN VERB ADP PROPN VERB ADJ PART VERB ADP NOUN ADP DET NOUN CCONJ NOUN NOUN ADP DET NOUN ADP ADJ ADJ NOUN
Law firms have not come to grips with the issues,’ says Geraldine Cotton, chair of the 5,500-strong English Association of Women Solicitors.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	NOUN NOUN VERB ADV VERB ADP NOUN ADP DET NOUN VERB PROPN PROPN NOUN ADP DET NUM PROPN PROPN ADP PROPN PROPN
‘ As we come to grips with the communication process, we comprehend the human being.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	PUNCT ADP PRON VERB ADP NOUN ADP DET NOUN NOUN PRON VERB DET ADJ NOUN
I had to come to grips with how my understanding of the sovereignty of God applied in that situation.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	PRON VERB PART VERB ADP NOUN ADP ADV ADJ NOUN ADP DET NOUN ADP PROPN VERB ADP DET NOUN
