‘ I couldn't have broken her heart.	0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PUNCT PRON VERB VERB VERB ADJ NOUN
SUBSTITUTE John Crumplin broke non - League Woking's hearts to snatch Brighton a money - spinning FA Cup third round clash with Portsmouth.	0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PROPN PROPN PROPN VERB ADJ PUNCT PROPN PROPN NOUN PART VERB PROPN DET NOUN PUNCT VERB PROPN PROPN ADJ NOUN NOUN ADP PROPN
‘ It breaks my heart that his career has been ruined.	0 0 1 1 1 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT PRON VERB ADJ NOUN ADP ADJ NOUN VERB VERB VERB
What did break her heart, though, were the accusations that she had ruined the interior of one of England's most distinguished houses.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	possessive	NOUN VERB VERB ADJ NOUN ADV VERB DET NOUN ADP PRON VERB VERB DET NOUN ADP NUM ADP PROPN ADV ADJ NOUN
But to stay, to lie in his arms and each time know that he was dreaming of another woman, would not just break her heart but shatter it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	break someone's heart	figurative	possessive	CCONJ PART VERB PART VERB ADP ADJ NOUN CCONJ DET NOUN VERB ADP PRON VERB VERB ADP DET NOUN VERB ADV ADV VERB ADJ NOUN CCONJ VERB PRON
She said that if Constanza went it would break her heart.	0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	possessive	PRON VERB ADP ADP PROPN VERB PRON VERB VERB ADJ NOUN
If it were you wouldn't be hurting and breaking your heart over him.’	0 0 0 0 0 0 0 0 1 1 1 0 0	break someone's heart	figurative	combined-inflection	ADP PRON VERB PRON VERB VERB VERB CCONJ VERB ADJ NOUN ADP PROPN
You 're breaking my heart, Rory	0 0 1 1 1 0	break someone's heart	figurative	combined-inflection	PRON VERB VERB ADJ NOUN PROPN
It broke my heart.	0 1 1 1	break someone's heart	figurative	combined-inflection	PRON VERB ADJ NOUN
outside people's houses, and the amount of stuff in there, that just breaks my heart to see it all go into landfill.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	ADP NOUN NOUN CCONJ DET NOUN ADP NOUN ADP ADV ADP ADV VERB ADJ NOUN PART VERB PRON DET VERB ADP NOUN
We have a fox that lives near us and I have spent many a night and a morning watching it frolicking and jumping about and it breaks my heart to think that many of its kind are suffering death at its worst.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB DET NOUN ADJ VERB ADP PRON CCONJ PRON VERB VERB ADJ DET NOUN CCONJ DET NOUN VERB PRON VERB CCONJ VERB ADP CCONJ PRON VERB ADJ NOUN PART VERB ADP ADJ ADP ADJ NOUN VERB VERB NOUN ADP ADJ ADJ
She wanted to turn tail and run and keep on running away from him, away from what she might discover, away from what could only break her heart, yet she knew that was impossible.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	break someone's heart	figurative	possessive	PRON VERB PART VERB NOUN CCONJ VERB CCONJ VERB PART VERB ADV ADP PRON ADV ADP NOUN PRON VERB VERB ADV ADP NOUN VERB ADV VERB ADJ NOUN CCONJ PRON VERB DET VERB ADJ
‘ My wife and I now live in England but we go home regularly and it breaks my heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PUNCT ADJ NOUN CCONJ PRON ADV VERB ADP PROPN CCONJ PRON VERB ADV ADV CCONJ PRON VERB ADJ NOUN
And you … you're sitting there breaking my fucking heart. '	0 0 0 0 0 0 1 1 0 1 0	break someone's heart	figurative	combined-inflection	CCONJ PRON VERB PRON VERB ADV VERB ADJ ADJ NOUN PUNCT
Make him come home,’ the young woman said to the crowd, ‘ or he 'll kill his dear mother and father, and break my heart.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	VERB PRON VERB PRON DET ADJ NOUN VERB ADP DET NOUN PUNCT CCONJ PRON VERB VERB ADJ ADJ NOUN CCONJ NOUN CCONJ VERB ADJ NOUN
Andrew would go back to the bright lights of the capital and she, Benedicta, would ensure that Topaz was kept too busy to think about things which could break her heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	possessive	PROPN VERB VERB ADV ADP DET ADJ NOUN ADP DET NOUN CCONJ PRON PROPN VERB VERB ADP PROPN VERB VERB ADV ADJ PART VERB ADP NOUN ADJ VERB VERB ADJ NOUN
' You 're breaking the girl's heart, Nicolo.	0 0 0 1 0 1 1 0	break someone's heart	figurative	combined-inflection	PUNCT PRON VERB VERB DET NOUN NOUN PROPN
The tall, fair - haired man fell for another woman skater and his little partner's heart was broken.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	break someone's heart	figurative	misc	DET ADJ ADJ PUNCT ADJ NOUN VERB ADP DET NOUN NOUN CCONJ ADJ ADJ NOUN NOUN VERB VERB
But if you marry that woman, you will break my heart.’	0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	CCONJ ADP PRON VERB DET NOUN PRON VERB VERB ADJ NOUN
‘ I hate to break your heart, but it's time I was on my way.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	break someone's heart	figurative	possessive	PUNCT PRON VERB PART VERB ADJ NOUN CCONJ PRON NOUN PRON VERB ADP ADJ ADJ
And his perfect ending would be for Villa to become the first winners of the Premier League and break United's hearts for the second successive season in a title run - in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	CCONJ ADJ ADJ NOUN VERB VERB ADP PROPN PART VERB DET ADJ NOUN ADP DET PROPN PROPN CCONJ VERB PROPN NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN NOUN PUNCT NOUN
I can't imagine he has ever had to search for his mother, or had narcolepsy, or become a hustler, yet he does all three so brilliantly in the film it breaks your heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PRON VERB VERB PRON VERB ADV VERB PART VERB ADP ADJ NOUN CCONJ VERB NOUN CCONJ VERB DET NOUN CCONJ PRON VERB DET NUM ADV ADV ADP DET NOUN PRON VERB ADJ NOUN
But it was in an amazing, 12-minute onslaught in the second - half that Allison's men broke City's hearts.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	CCONJ PRON VERB ADP DET ADJ NUM NOUN ADP DET ADJ PUNCT NOUN ADJ PROPN NOUN VERB PROPN NOUN
In Eliza Vaughan's day it was said of Courtfield : ‘ You nearly break your neck going, but more nearly break your heart leaving there.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	break someone's heart	figurative	possessive	ADP PROPN PROPN NOUN PRON VERB VERB ADP PROPN PUNCT PUNCT PRON ADV VERB ADJ NOUN VERB CCONJ ADV ADV VERB ADJ NOUN VERB NOUN
She's a hard, proud girl, and Miss Havisham has brought her up to break men's hearts, as a revenge on all men. '	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON DET ADJ ADJ NOUN CCONJ PROPN PROPN VERB VERB PRON PART PART VERB NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT
Ronnie, who also learned he is a grandfather, said : ‘ It broke my heart when I read her letter saying she had missed me.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PROPN NOUN ADV VERB PRON VERB DET NOUN VERB PUNCT PUNCT PRON VERB ADJ NOUN ADV PRON VERB ADJ NOUN VERB PRON VERB VERB NOUN
He's been breeding Herefords for 45 years and it breaks his heart to see us importing rubbish from overseas.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB VERB PROPN ADP NUM NOUN CCONJ PRON VERB ADJ NOUN PART VERB PRON VERB NOUN ADP ADV
She said I can't cope no more, she said I just can not cope any longer and I said you mustn't feel like that I said you 'll break all our hearts, I said it's, life will never be the same again, I said come on home with me, forget about this day, I said tomorrow we 'll come and pick your birds up cos she's got two beautiful parrots, she's got a Mulican white with peach	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB PRON VERB VERB ADV ADJ PRON VERB PRON ADV VERB ADV VERB ADV ADV CCONJ PRON VERB PRON VERB VERB ADP DET PRON VERB PRON VERB VERB ADJ ADJ NOUN PRON VERB PRON NOUN VERB ADV VERB DET ADJ ADV PRON VERB VERB ADP ADV ADP PRON VERB ADP DET NOUN PRON VERB NOUN PRON VERB VERB CCONJ VERB ADJ NOUN PART ADP PRON VERB NUM ADJ NOUN PRON VERB DET ADJ NOUN ADP NOUN
She broke the auld one's heart! '	0 1 0 0 1 1 0	break someone's heart	figurative	combined-inflection	PRON VERB DET ADJ NOUN NOUN PUNCT
In fact, as early as October 1, when your ruler Neptune is challenged by Jupiter in Cancer, you will realise that money is really only half the battle or problem you 're facing this month — because someone appears to be breaking all the rules, if not breaking your heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	ADP NOUN ADV ADV ADP PROPN NUM ADV ADJ NOUN PROPN VERB VERB ADP PROPN ADP PROPN PRON VERB VERB DET NOUN VERB ADV ADV ADJ DET NOUN CCONJ NOUN PRON VERB VERB DET NOUN PUNCT ADP NOUN VERB PART VERB VERB ADJ DET NOUN ADP ADV VERB ADJ NOUN
She said no I think I 'll go home I 'll be alright, so I took her back home about eleven and erm erm I kept phoning her every hour on the hour just to make sure she's alright, then I said I want you just to promise me one thing you 're not do anything silly, I 'm here, I don't care what it takes, I 'm here, so she said alright then, so I said it 'll break mum's heart it 'll break dad's heart,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB INTJ PRON VERB PRON VERB VERB ADV PRON VERB VERB ADJ ADV PRON VERB PRON ADV ADV ADP NUM CCONJ NOUN NOUN PRON VERB VERB PRON DET NOUN ADP DET NOUN ADV PART VERB ADJ PRON ADJ ADV PRON VERB PRON VERB PRON ADV PART VERB PRON NUM NOUN PRON VERB ADV VERB NOUN ADJ PRON VERB ADV PRON VERB VERB NOUN PRON VERB PRON VERB ADV ADV PRON VERB INTJ ADV ADV PRON VERB PRON VERB VERB NOUN NOUN PRON VERB VERB NOUN NOUN
They also broke Gloucester's hearts, because with rather less than five minutes of extra time to go, the home side were leading 18–15.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON ADV VERB PROPN NOUN ADP ADP ADV ADJ ADP NUM NOUN ADP ADJ NOUN PART VERB DET NOUN NOUN VERB VERB NUM
When relations grew particularly bad he became the child go - between in a household of warring parents : ‘ Ask your father if it would break his heart to change channels so I can watch the news.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	possessive	ADV NOUN VERB ADV ADJ PRON VERB DET NOUN VERB PUNCT NOUN ADP DET NOUN ADP VERB NOUN PUNCT PUNCT VERB ADJ NOUN ADP PRON VERB VERB ADJ NOUN PART VERB NOUN ADP PRON VERB VERB DET ADJ
The groans and cries of his sister had broken his heart.	0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	DET NOUN CCONJ NOUN ADP ADJ NOUN VERB VERB ADJ NOUN
Would break her heart to hear of Lewis in trouble.’	0 1 1 1 0 0 0 0 0 0	break someone's heart	figurative	possessive	VERB VERB ADJ NOUN PART VERB ADP PROPN ADP NOUN
' I 'm just trying to stop you breaking your poor mother's heart, Jocasta … '	0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT PRON VERB ADV VERB PART VERB PRON VERB ADJ ADJ NOUN NOUN PROPN PUNCT PUNCT
If they recovered and were friends she was delighted, and would flirt with them, and assume an easy physicality with them, and sleep with them again maybe, and break their hearts again if given half a chance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	ADP PRON VERB CCONJ VERB NOUN PRON VERB ADJ CCONJ VERB VERB ADP PRON CCONJ VERB DET ADJ NOUN ADP PRON CCONJ VERB ADP PRON ADV ADV CCONJ VERB ADJ NOUN ADV ADP VERB ADJ DET NOUN
Johanna had fallen for Cavendish, one of the great lords of the land, who 'd broken her heart and destroyed her wits.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	break someone's heart	figurative	combined-inflection	PROPN VERB VERB ADP PROPN NUM ADP DET ADJ NOUN ADP DET NOUN NOUN VERB VERB ADJ NOUN CCONJ VERB ADJ NOUN
It would break his immigrant heart, too.	0 0 1 1 0 1 0	break someone's heart	figurative	combined-inflection	PRON VERB VERB ADJ ADJ NOUN ADV
Then she said, ' It 'll break your father's heart, I suppose you know that? '	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	ADV PRON VERB PUNCT PRON VERB VERB ADJ NOUN NOUN PRON VERB PRON VERB DET PUNCT
‘ All I know is he broke Jennifer's heart and his name has been taboo in our family ever since.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT DET PRON VERB VERB PRON VERB PROPN NOUN CCONJ ADJ NOUN VERB VERB ADJ ADP ADJ NOUN ADV VERB
To clear himself he would have to implicate his young brother in the embezzlement of a large amount of money from the family business, it would break his mother's heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	break someone's heart	figurative	combined-inflection	PART VERB PRON PRON VERB VERB PART VERB ADJ ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADP DET NOUN NOUN PRON VERB VERB ADJ NOUN NOUN
That in itself is traumatic enough but —’ she swallowed ‘ — it was losing you that really broke her heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	ADP ADP PRON VERB ADJ ADV CCONJ ADV PRON VERB PUNCT PUNCT PRON VERB VERB PRON ADJ ADV VERB ADJ NOUN
He was theatrical by nature, and he lavished it all on her, complimenting her in the most exuberant terms, telling her that her engagement had broken his heart irreparably.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	break someone's heart	figurative	combined-inflection	PRON VERB ADJ ADP NOUN CCONJ PRON VERB PRON DET ADP PRON VERB PRON ADP DET ADV ADJ NOUN VERB PRON ADP ADJ NOUN VERB VERB ADJ NOUN ADV
In Kate Norgate's words, the question " stirred up a trouble which was never again to be laid wholly to rest till the child who was its as yet innocent cause had broken his father's heart ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	break someone's heart	figurative	combined-inflection	ADP PROPN PROPN NOUN DET NOUN PUNCT VERB PART DET NOUN ADJ VERB ADV ADV PART VERB VERB ADV PART VERB ADP DET NOUN NOUN VERB ADJ ADP ADV ADJ NOUN VERB VERB ADJ NOUN NOUN PUNCT
The present breaks our hearts.	0 0 1 1 1	break someone's heart	figurative	combined-inflection	DET ADJ VERB ADJ NOUN
She left her fiance alone but told friends afterwards that the episode broke her heart.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PRON VERB ADJ NOUN ADV CCONJ VERB NOUN ADV ADP DET NOUN VERB ADJ NOUN
I know this sorried affair is wrong, that I end up breaking my daughter's heart, or upsetting my son, son's ha, but I don't think I can give up Steve?	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB DET ADJ NOUN VERB ADJ ADP PRON VERB PART VERB ADJ NOUN NOUN CCONJ VERB ADJ NOUN NOUN INTJ CCONJ PRON VERB VERB PRON VERB VERB PART PROPN
‘ You got all twitchy and bored, you probably broke her heart.	0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PUNCT PRON VERB DET NOUN CCONJ ADJ PRON ADV VERB ADJ NOUN
try to walk away and I 'll come to depend on you, I give you all the love I had in me da da da I can't believe it's true you better stop stop with my heart, you always break my heart, you better stop before you tear us all apart you better stop.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	VERB PART VERB ADV CCONJ PRON VERB VERB PART VERB ADP PRON PRON VERB PRON ADJ DET NOUN PRON VERB ADP PRON X X PROPN PRON VERB VERB PRON ADJ PRON ADJ VERB VERB ADP ADJ NOUN PRON ADV VERB ADJ NOUN PRON ADV VERB ADP PRON VERB PRON DET ADV PRON ADV VERB
It was so beautiful it broke your heart thinking what would happen to it if the developers got their way.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB ADV ADJ PRON VERB ADJ NOUN VERB NOUN VERB VERB ADP PRON ADP DET NOUN VERB ADJ NOUN
It broke my heart when I heard, and Nicolo — oh, he was so upset!	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB ADJ NOUN ADV PRON VERB CCONJ PROPN PUNCT INTJ PRON VERB ADV ADJ
Need she tell Grandfather the truth — it would break his heart.	0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	possessive	VERB PRON VERB PROPN DET NOUN PUNCT PRON VERB VERB ADJ NOUN
You will break my heart .’	0 0 1 1 1 0	break someone's heart	figurative	possessive	PRON VERB VERB ADJ NOUN PUNCT
The woman who as a child had skipped with him through fields and broken his heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	DET NOUN NOUN ADP DET NOUN VERB VERB ADP PRON ADP NOUN CCONJ VERB ADJ NOUN
It almost broke her heart when she saw that darting look of imitation cross his face as she brought him bad news.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON ADV VERB ADJ NOUN ADV PRON VERB ADP ADJ NOUN ADP NOUN VERB ADJ NOUN ADP PRON VERB PRON ADJ NOUN
Mr Wilson said the news of the Loyalist killings ‘ broke his heart’.	0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PROPN PROPN VERB DET NOUN ADP DET PROPN NOUN PART VERB ADJ NOUN
It just breaks my heart, honey, to think of your poor, dear cousin in such pain,’ the other woman murmured sympathetically, her eyes glistening with tears as she begged Laura to sit down and make herself comfortable.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON ADV VERB ADJ NOUN NOUN PART VERB ADP ADJ ADJ ADJ NOUN ADP ADJ NOUN DET ADJ NOUN VERB ADV ADJ NOUN VERB ADP NOUN ADP PRON VERB PROPN PART VERB PART CCONJ VERB PRON ADJ
‘ No no, you won't break your heart, I know …	0 0 0 0 0 1 1 1 0 0 0	break someone's heart	figurative	possessive	PUNCT INTJ INTJ PRON VERB VERB ADJ NOUN PRON VERB PUNCT
Daddy, you know it would break my heart, if anything happened to you.	0 0 0 0 0 1 1 1 0 0 0 0 0	break someone's heart	figurative	possessive	NOUN PRON VERB PRON VERB VERB ADJ NOUN ADP NOUN VERB ADP PRON
I only hope that you will never have to read this letter — not because my life is worth anything to me but because it breaks my heart to think of you alone in a world which I have found to be so harsh and unforgiving.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON ADV VERB ADP PRON VERB ADV VERB PART VERB DET NOUN PUNCT ADV ADP ADJ NOUN VERB ADJ NOUN ADP PRON CCONJ ADP PRON VERB ADJ NOUN PART VERB ADP PRON ADV ADP DET NOUN ADJ PRON VERB VERB PART VERB ADV ADJ CCONJ VERB
I 've got to hand it to you, son, you 're the only one who really managed to deceive me, the only one who could break your father's heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	break someone's heart	figurative	combined-inflection	PRON VERB VERB PART VERB PRON ADP PRON NOUN PRON VERB DET ADJ NUM NOUN ADV VERB PART VERB PRON DET ADJ NUM NOUN VERB VERB ADJ NOUN NOUN
‘ Many scholars have suggested that she broke his heart by ending the relationship,’ Hawkins says from his home in Blandford, Dorset.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PUNCT ADJ NOUN VERB VERB ADP PRON VERB ADJ NOUN ADP VERB DET PROPN PROPN VERB ADP ADJ NOUN ADP PROPN PROPN
She must have sensed that one day I would be leaving her again, and that nearly broke my heart, knowing the sadness she must feel all too well in my experiences with lovers who never stayed long but left me feeling as if part of me had been torn from my body.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB VERB VERB ADP NUM NOUN PRON VERB VERB VERB PRON ADV CCONJ ADP ADV VERB ADJ NOUN VERB DET NOUN PRON VERB VERB ADV ADV ADV ADP ADJ NOUN ADP NOUN NOUN ADV VERB ADV CCONJ VERB PRON NOUN ADP ADP NOUN ADP PRON VERB VERB VERB ADP ADJ NOUN
The story she told broke his heart.	0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	DET NOUN PRON VERB VERB ADJ NOUN
If realism can break your heart, as Salman Rushdie remarked, it comes easily in every other sense.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	possessive	ADP NOUN VERB VERB ADJ NOUN ADP PROPN PROPN VERB PRON VERB ADV ADP DET ADJ NOUN
‘ I don't want you to break your heart over this.	0 0 0 0 0 0 1 1 1 0 0	break someone's heart	figurative	possessive	PUNCT PRON VERB VERB PRON PART VERB ADJ NOUN ADP DET
He did not realize that she was obeying his orders exactly, although it was breaking her heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PRON VERB ADV VERB ADP PRON VERB VERB ADJ NOUN ADV ADP PRON VERB VERB ADJ NOUN
A nineteenth century Rothschild is reported as saying, ‘ Throw out that beggar, he's breaking my heart’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	DET ADJ NOUN PROPN VERB VERB ADP VERB PUNCT VERB PART ADP ADJ PRON VERB ADJ NOUN
‘ I know you two don't get on now, so you won't break your heart about that.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	break someone's heart	figurative	possessive	PUNCT PRON VERB PRON NUM VERB VERB PART ADV ADP PRON VERB VERB ADJ NOUN ADP DET
