But the military has recently extended its brief to make all trade union leaders ‘ fair game’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	dashes	CCONJ DET NOUN VERB ADV VERB ADJ NOUN PART VERB DET NOUN NOUN NOUN PART ADJ NOUN
Never before had we experienced a road code which considered any living things trespassing on the tarmac to be absolutely fair game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	identical	ADV ADV VERB PRON VERB DET NOUN NOUN ADJ VERB DET VERB NOUN VERB ADP DET NOUN PART VERB ADV ADJ NOUN
‘ The attitude seems to be that as Minogue was ‘ invented’ by the publicity machine anyway, she's fair game, no matter how flimsy or outrageous the angle.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	fair game	figurative	identical	PUNCT DET NOUN VERB PART VERB DET ADP PROPN VERB PRON NOUN ADP DET NOUN NOUN ADV PRON ADJ NOUN ADV ADV ADV ADJ CCONJ ADJ DET NOUN
Equally, campesina girls, working as maids, are regarded as " fair game " by the males of the household.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	fair game	figurative	identical	ADV ADJ NOUN VERB ADP NOUN VERB VERB ADP PUNCT ADJ NOUN PUNCT ADP DET NOUN ADP DET NOUN
By the twentieth century, however, Jesus and his world had become ‘ fair game’, not for luridly sensational purposes, but as valid points of enquiry and exploration for serious, internationally acclaimed literary figures.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fair game	figurative	dashes	ADP DET ADJ NOUN ADV PROPN CCONJ ADJ NOUN VERB VERB PUNCT ADJ NOUN ADV ADP ADV ADJ NOUN CCONJ ADP ADJ NOUN ADP NOUN CCONJ NOUN ADP ADJ ADV VERB ADJ NOUN
After the glimpse of Scandinavia through Riborg, and later the experience of Hungary, Jane was so far carried away by her enthusiasm for classless freedom, the beauty of northern landscapes, plus the humorous awareness of the central European people, that when a Finn crossed her path, she was fair game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	identical	ADP DET NOUN ADP PROPN ADP PROPN CCONJ ADV DET NOUN ADP PROPN PROPN VERB ADV ADV VERB ADV ADP ADJ NOUN ADP ADJ NOUN DET NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN ADP DET ADJ ADJ NOUN ADP ADV DET PROPN VERB ADJ NOUN PRON VERB ADJ NOUN
He is fair game!	0 0 1 1	fair game	figurative	identical	PRON VERB ADJ NOUN
But the fact was that when it came to practical jokes, he regarded anybody as fair game, from the most fleeting acquaintance to the dearest friend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	CCONJ DET NOUN VERB ADP ADV PRON VERB ADP ADJ NOUN PRON VERB NOUN ADP ADJ NOUN ADP DET ADV ADJ NOUN ADP DET ADJ NOUN
Also, the salesmen distinguished between those on their rounds who should not be fiddled ( such as disabled people, ex - salesmen ) and those who qualified as ‘ fair game’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	dashes	ADV DET NOUN VERB ADP DET ADP ADJ NOUN NOUN VERB ADV VERB VERB PUNCT ADJ ADP ADJ NOUN NUM PUNCT NOUN PUNCT CCONJ DET NOUN VERB ADP PUNCT ADJ NOUN
There are various exceptions erm and there have been two or three in recent years, but it therefore meant that they were fair game for saying anything so they were fair game for a very sensational headline because there was very little chance of recrimination.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	ADV VERB ADJ NOUN NOUN CCONJ ADV VERB VERB NUM CCONJ NUM ADP ADJ NOUN CCONJ PRON ADV VERB ADP PRON VERB ADJ NOUN ADP VERB NOUN ADP PRON VERB ADJ NOUN ADP DET ADV ADJ NOUN ADP ADV VERB ADV ADJ NOUN ADP NOUN
The boys at school who had to have their heads shaved because of nits were always fair game for the rest of the school.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	fair game	figurative	identical	DET NOUN ADP NOUN NOUN VERB PART VERB ADJ NOUN VERB ADP ADP NOUN VERB ADV ADJ NOUN ADP DET NOUN ADP DET NOUN
