She smiled again, which Mark again returned, even though he was not in the running.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB ADV ADJ PROPN ADV VERB ADV ADP PRON VERB ADV ADP DET NOUN	▁She ▁smile d ▁again , ▁which ▁Mark ▁again ▁returned , ▁even ▁though ▁he ▁was ▁not ▁in ▁the ▁running .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB ADV ADV ADJ PROPN ADV VERB VERB ADV ADP PRON VERB ADV ADP DET NOUN NOUN
But composer Sir Andrew says Moore is now in the running to play ageing lothario George in the £ 15 million film, although he is also considering Michael Caine for the part.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	CCONJ NOUN PROPN PROPN VERB PROPN VERB ADV ADP DET NOUN PART VERB VERB NOUN PROPN ADP DET SYM NUM NUM NOUN ADP PRON VERB ADV VERB PROPN PROPN ADP DET NOUN	▁But ▁com pos er ▁Sir ▁Andrew ▁says ▁Moor e ▁is ▁now ▁in ▁the ▁running ▁to ▁play ▁ageing ▁lot h ario ▁George ▁in ▁the ▁£ ▁15 ▁million ▁film , ▁although ▁he ▁is ▁also ▁considering ▁Michael ▁Ca ine ▁for ▁the ▁part .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ NOUN NOUN NOUN PROPN PROPN VERB PROPN PROPN VERB ADV ADP DET NOUN PART VERB VERB NOUN NOUN NOUN PROPN ADP DET SYM NUM NUM NOUN NOUN ADP PRON VERB ADV VERB PROPN PROPN PROPN ADP DET NOUN NOUN
The situation for them was a total one : and it was from this totality — the ritual killing of the frog, the dismembering and the unusual behaviour of the bone in the running stream — that they gained their conviction.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	literal	identical	DET NOUN ADP PRON VERB DET ADJ NOUN PUNCT CCONJ PRON VERB ADP DET NOUN PUNCT DET ADJ NOUN ADP DET NOUN DET NOUN CCONJ DET ADJ NOUN ADP DET NOUN ADP DET VERB NOUN PUNCT ADP PRON VERB ADJ NOUN	▁The ▁situation ▁for ▁them ▁was ▁a ▁total ▁one ▁ : ▁and ▁it ▁was ▁from ▁this ▁total ity ▁ — ▁the ▁ritual ▁killing ▁of ▁the ▁fro g , ▁the ▁dis member ing ▁and ▁the ▁unusual ▁behaviour ▁of ▁the ▁bone ▁in ▁the ▁running ▁stream ▁ — ▁that ▁they ▁gained ▁their ▁conviction .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	DET NOUN ADP PRON VERB DET ADJ NOUN PUNCT PUNCT CCONJ PRON VERB ADP DET NOUN NOUN PUNCT PUNCT DET ADJ NOUN ADP DET NOUN NOUN NOUN DET NOUN NOUN NOUN CCONJ DET ADJ NOUN ADP DET NOUN ADP DET VERB NOUN PUNCT PUNCT ADP PRON VERB ADJ NOUN NOUN
To be consistent with holism the constructivist has to say that individual ‘ beliefs’— mental states that are only in the running for truth — do not correspond to anything in the mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PART VERB ADJ ADP NOUN DET NOUN VERB PART VERB ADP ADJ PUNCT NUM ADJ NOUN ADJ VERB ADV ADP DET NOUN ADP NOUN PUNCT VERB ADV VERB ADP NOUN ADP DET NOUN	▁To ▁be ▁consistent ▁with ▁ hol ism ▁the ▁construct iv ist ▁has ▁to ▁say ▁that ▁individual ▁ ‘ ▁belief s ’— ▁mental ▁states ▁that ▁are ▁only ▁in ▁the ▁running ▁for ▁truth ▁ — ▁do ▁not ▁correspond ▁to ▁anything ▁in ▁the ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PART VERB ADJ ADP NOUN NOUN NOUN DET NOUN NOUN NOUN VERB PART VERB ADP ADJ PUNCT PUNCT NUM NUM NUM ADJ NOUN ADJ VERB ADV ADP DET NOUN ADP NOUN PUNCT PUNCT VERB ADV VERB ADP NOUN ADP DET NOUN NOUN
Team members now have much more involvement in the running of their work places.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the running	literal	identical	NOUN NOUN ADV VERB ADV ADJ NOUN ADP DET NOUN ADP ADJ NOUN NOUN	▁Team ▁members ▁now ▁have ▁much ▁more ▁involvement ▁in ▁the ▁running ▁of ▁their ▁work ▁places .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	NOUN NOUN ADV VERB ADV ADJ NOUN ADP DET NOUN ADP ADJ NOUN NOUN NOUN
Most importantly, the governors felt that this duplication of effort would probably prevent the staff being ‘ proactive’ in the running of the school.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADV ADV DET NOUN VERB ADP DET NOUN ADP NOUN VERB ADV VERB DET NOUN VERB PUNCT NOUN ADP DET NOUN ADP DET NOUN	▁Most ▁importantly , ▁the ▁governors ▁felt ▁that ▁this ▁duplication ▁of ▁effort ▁would ▁probably ▁prevent ▁the ▁staff ▁being ▁ ‘ ▁proactive ’ ▁in ▁the ▁running ▁of ▁the ▁school .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADV ADV ADV DET NOUN VERB ADP DET NOUN ADP NOUN VERB ADV VERB DET NOUN VERB PUNCT PUNCT NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN
By this is meant young children's explicit knowledge that they and others have mental states which are only ‘ in the running for truth’, that beliefs held by people can be false and yet these false beliefs can determine their thought and behaviour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADP DET VERB VERB ADJ NOUN ADJ NOUN ADP PRON CCONJ NOUN VERB ADJ NOUN ADJ VERB ADV PUNCT ADP DET NOUN ADP NOUN ADP NOUN VERB ADP NOUN VERB VERB ADJ CCONJ ADV DET ADJ NOUN VERB VERB ADJ NOUN CCONJ NOUN	▁By ▁this ▁is ▁meant ▁young ▁children ' s ▁explicit ▁knowledge ▁that ▁they ▁and ▁others ▁have ▁mental ▁states ▁which ▁are ▁only ▁ ‘ ▁in ▁the ▁running ▁for ▁truth ’ , ▁that ▁belief s ▁held ▁by ▁people ▁can ▁be ▁false ▁and ▁yet ▁these ▁false ▁belief s ▁can ▁determine ▁their ▁thought ▁and ▁behaviour .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET VERB VERB ADJ NOUN NOUN NOUN ADJ NOUN ADP PRON CCONJ NOUN VERB ADJ NOUN ADJ VERB ADV PUNCT PUNCT ADP DET NOUN ADP NOUN NOUN NOUN ADP NOUN NOUN VERB ADP NOUN VERB VERB ADJ CCONJ ADV DET ADJ NOUN NOUN VERB VERB ADJ NOUN CCONJ NOUN NOUN
It was not only a constitution which really was and is effective in the running of the state, but which was itself the product of the hegemonic culture already established.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PRON VERB ADV ADV DET NOUN ADJ ADV VERB CCONJ VERB ADJ ADP DET NOUN ADP DET NOUN CCONJ ADJ VERB PRON DET NOUN ADP DET ADJ NOUN ADV VERB	▁It ▁was ▁not ▁only ▁a ▁constitution ▁which ▁really ▁was ▁and ▁is ▁effective ▁in ▁the ▁running ▁of ▁the ▁state , ▁but ▁which ▁was ▁itself ▁the ▁product ▁of ▁the ▁he g em onic ▁culture ▁already ▁established .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADV DET NOUN ADJ ADV VERB CCONJ VERB ADJ ADP DET NOUN ADP DET NOUN NOUN CCONJ ADJ VERB PRON DET NOUN ADP DET ADJ ADJ ADJ ADJ NOUN ADV VERB VERB
Sun Microsystems Inc has been closed out of a few significant contracts lately because it couldn't tick off the Motif and Distributed Computing Environment boxes on the bids : the Common Open Systems Environment will at least get it back in the running for a $ 20 m deal at Boeing Co that requires Motif and Sun insiders reckon that the company will now include Motif in its price list almost immediately — the best guess is that SunSoft will offer reasonably priced Motif upgrades for Solaris 1.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN PROPN VERB VERB VERB ADP ADP DET ADJ ADJ NOUN ADV ADP PRON VERB VERB PART DET PROPN CCONJ PROPN PROPN PROPN NOUN ADP DET NOUN PUNCT DET PROPN PROPN PROPN PROPN VERB ADP ADJ VERB PRON ADV ADP DET NOUN ADP DET SYM NUM NOUN NOUN ADP PROPN PROPN ADJ VERB PROPN CCONJ PROPN NOUN VERB ADP DET NOUN VERB ADV VERB PROPN ADP ADJ NOUN NOUN ADV ADV PUNCT DET ADJ NOUN VERB ADP PROPN VERB VERB ADV VERB PROPN NOUN ADP PROPN NUM	▁Sun ▁Micro system s ▁Inc ▁has ▁been ▁closed ▁out ▁of ▁a ▁few ▁significant ▁contracts ▁late ly ▁because ▁it ▁could n ' t ▁tick ▁off ▁the ▁Mo tif ▁and ▁Dis tribu ted ▁Com put ing ▁Environment ▁boxes ▁on ▁the ▁bids ▁ : ▁the ▁Common ▁Open ▁Systems ▁Environment ▁will ▁at ▁least ▁get ▁it ▁back ▁in ▁the ▁running ▁for ▁a ▁$ ▁20 ▁m ▁deal ▁at ▁Boeing ▁Co ▁that ▁requires ▁Mo tif ▁and ▁Sun ▁inside rs ▁reckon ▁that ▁the ▁company ▁will ▁now ▁include ▁Mo tif ▁in ▁its ▁price ▁list ▁almost ▁immediately ▁ — ▁the ▁best ▁guess ▁is ▁that ▁Sun S of t ▁will ▁offer ▁reasonably ▁price d ▁Mo tif ▁upgrade s ▁for ▁Solar is ▁1.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB VERB VERB ADP ADP DET ADJ ADJ NOUN ADV ADV ADP PRON VERB VERB VERB VERB VERB PART DET PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADP DET NOUN PUNCT PUNCT DET PROPN PROPN PROPN PROPN VERB ADP ADJ VERB PRON ADV ADP DET NOUN ADP DET SYM NUM NOUN NOUN ADP PROPN PROPN ADJ VERB PROPN PROPN CCONJ PROPN NOUN NOUN VERB ADP DET NOUN VERB ADV VERB PROPN PROPN ADP ADJ NOUN NOUN ADV ADV PUNCT PUNCT DET ADJ NOUN VERB ADP PROPN PROPN PROPN PROPN VERB VERB ADV VERB VERB PROPN PROPN NOUN NOUN ADP PROPN PROPN NUM
Rank Xerox Ltd has chosen France for its second European research laboratory ( the first is in Cambridge ), for which Italy, Germany and Spain were also in the running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PROPN PROPN PROPN VERB VERB PROPN ADP ADJ ADJ ADJ NOUN NOUN PUNCT DET ADJ VERB ADP PROPN PUNCT ADP ADJ PROPN PROPN CCONJ PROPN VERB ADV ADP DET NOUN	▁R an k ▁Xe rox ▁Ltd ▁has ▁chosen ▁France ▁for ▁its ▁second ▁European ▁research ▁laboratory ▁( ▁the ▁first ▁is ▁in ▁Cambridge ▁ ), ▁for ▁which ▁Italy , ▁Germany ▁and ▁Spain ▁were ▁also ▁in ▁the ▁running .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB PROPN ADP ADJ ADJ ADJ NOUN NOUN PUNCT DET ADJ VERB ADP PROPN PUNCT PUNCT ADP ADJ PROPN PROPN PROPN CCONJ PROPN VERB ADV ADP DET NOUN NOUN
North Harbour's Peter Thorburn, Otago's Laurie Mains, and Wellington's Earle Kirton are also in the running, as are Andy Leslie, Ross Cooper and Graham Hamer.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB ADV ADP DET NOUN ADP VERB PROPN PROPN PROPN PROPN CCONJ PROPN PROPN	▁North ▁Har b our ' s ▁Peter ▁Thor burn , ▁O t ago ' s ▁La uri e ▁Main s , ▁and ▁Well ing ton ' s ▁Ear le ▁K ir ton ▁are ▁also ▁in ▁the ▁running , ▁as ▁are ▁And y ▁L es lie , ▁Ross ▁Cooper ▁and ▁Gra ham ▁Ham er .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADV ADP DET NOUN NOUN ADP VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN
Wendy Huggins, of Ash Hill, Coulby Newham, Middlesbrough, is in the running for a prize in a national competition to find Britain's champion cheese dish with her Northallerton leek pie.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN VERB ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN PART VERB PROPN NOUN NOUN NOUN ADP ADJ PROPN NOUN NOUN	▁We nd y ▁Hu gg ins , ▁of ▁Ash ▁Hill , ▁C oul by ▁New ham , ▁Middle s b rough , ▁is ▁in ▁the ▁running ▁for ▁a ▁prize ▁in ▁a ▁national ▁competition ▁to ▁find ▁Britain ' s ▁champion ▁cheese ▁dish ▁with ▁her ▁North al ler ton ▁le ek ▁p ie .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN PART VERB PROPN PROPN PROPN NOUN NOUN NOUN ADP ADJ PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN NOUN
