She is a fairly rare bird.	0 0 0 0 1 1	rare bird	figurative	identical	PRON VERB DET ADV ADJ NOUN
According to Richard Porter, RSPB head of species management, " deliberate persecution has had a crippling effect on some of our rarest birds of prey ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	rare bird	literal	misc	VERB ADP PROPN PROPN PROPN NOUN ADP NOUN NOUN PUNCT ADJ NOUN VERB VERB DET ADJ NOUN ADP DET ADP ADJ ADJ NOUN ADP NOUN PUNCT
Record breeding season for rare British birds	0 0 0 0 1 0 1	rare bird	literal	combined-inflection	NOUN NOUN NOUN ADP ADJ ADJ NOUN
It is home to a number of rare birds and animals, including Grant's Bush Baby.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	rare bird	literal	inflection	PRON VERB ADV ADP DET NOUN ADP ADJ NOUN CCONJ NOUN VERB PROPN PROPN PROPN
Works worthy of the National Library of Australia in Canberra or Sydney's Mitchell Library include views of Botany Bay and Port Jackson by William Westall from Mathew Flinders ' voyage and watercolours of rare Australian birds by Lewin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	rare bird	literal	combined-inflection	NOUN ADJ ADP DET PROPN PROPN ADP PROPN ADP PROPN CCONJ PROPN PROPN PROPN VERB NOUN ADP PROPN PROPN CCONJ PROPN PROPN ADP PROPN PROPN ADP PROPN PROPN PART NOUN CCONJ NOUN ADP ADJ ADJ NOUN ADP PROPN
Much of the unique Levels and Moors is a site of Special Scientific Interest with a thriving diversity of rare birds and plant life.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	rare bird	literal	inflection	ADJ ADP DET ADJ PROPN CCONJ PROPN VERB DET NOUN ADP PROPN PROPN PROPN ADP DET ADJ NOUN ADP ADJ NOUN CCONJ NOUN NOUN
Among the objects discovered were coats made of jaguar and cheetah skin, sea turtle shells, ivory trinkets and stuffed rare birds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rare bird	literal	inflection	ADP DET NOUN VERB VERB NOUN VERB ADP NOUN CCONJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ VERB ADJ NOUN
Fears for the future of rare game bird	0 0 0 0 0 1 0 1	rare bird	literal	insertion-other	NOUN ADP DET NOUN ADP ADJ NOUN NOUN
At the same time she was a foreigner, a foreigner with privileges, a rare bird — catch Constanza not having the best of both worlds.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	rare bird	figurative	identical	ADP DET ADJ NOUN PRON VERB DET NOUN DET NOUN ADP NOUN DET ADJ NOUN PUNCT NOUN PROPN ADV VERB DET ADJ ADP DET NOUN
A search for the world's rarest bird, Spix's macaw, has concluded that only one bird remains in the wild.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	misc	DET NOUN ADP DET NOUN ADJ NOUN PROPN NOUN VERB VERB ADP ADV NUM NOUN VERB ADP DET NOUN
Major's reply suggested that, as an interested visitor from another solar system, he had heard about human personality but regretfully had no first - hand experience of this rare bird, though he was prepared to extend it every reasonable courtesy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	rare bird	figurative	identical	PROPN NOUN VERB ADP ADP DET ADJ NOUN ADP DET ADJ NOUN PRON VERB VERB ADP ADJ NOUN CCONJ ADV VERB DET ADJ PUNCT NOUN NOUN ADP DET ADJ NOUN ADP PRON VERB ADJ PART VERB PRON DET ADJ NOUN
Western Europe's trade in rare species is estimated as involving three million rare birds, 10 million reptile and crocodile skins, 40,000 protected primates, 15 million furs, one million rare orchids and 350 million tropical fish each year.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	inflection	PROPN PROPN NOUN ADP ADJ NOUN VERB VERB ADP VERB NUM NUM ADJ NOUN NUM NUM NOUN CCONJ NOUN NOUN NUM VERB NOUN NUM NUM NOUN NUM NUM ADJ NOUN CCONJ NUM NUM ADJ NOUN DET NOUN
A bird breeder has been jailed for four years after stolen rare birds were found wrapped in sacking in the boot of his car.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	inflection	DET NOUN NOUN VERB VERB VERB ADP NUM NOUN ADP VERB ADJ NOUN VERB VERB VERB ADP VERB ADP DET NOUN ADP ADJ NOUN
This loneliness makes it an ideal home for the red kite — a rare and nervous bird.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	rare bird	literal	insertion-other	DET NOUN VERB PRON DET ADJ NOUN ADP DET ADJ NOUN PUNCT DET ADJ CCONJ ADJ NOUN
More cases like the one exposed by Roger Cook will help stop rare birds being stolen from the wild.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	rare bird	literal	inflection	ADJ NOUN ADP DET NUM VERB ADP PROPN PROPN VERB VERB VERB ADJ NOUN VERB VERB ADP DET NOUN
Nicolaus speculates that this could give ecologists a method of controlling predation on eggs of rare birds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rare bird	literal	inflection	PROPN VERB ADP DET VERB VERB NOUN DET NOUN ADP VERB NOUN ADP NOUN ADP ADJ NOUN
The Chancellor often felt like a rare bird, he said, facing a barrage of flashbulbs every time he emerged from his Downing Street nest.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	figurative	identical	DET PROPN ADV VERB ADP DET ADJ NOUN PRON VERB VERB DET NOUN ADP NOUN DET NOUN PRON VERB ADP ADJ PROPN PROPN NOUN
Now, some of Britain's rarest birds have had their best breeding season on record this summer.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	rare bird	literal	misc	ADV DET ADP PROPN ADJ NOUN VERB VERB ADJ ADJ NOUN NOUN ADP NOUN DET NOUN
Our reserves include the largest privately owned nature reserve in Europe — Abernethy in Scotland, a glorious piece of mountain, moorland and native Scots pine forest with exciting and rare birds like the crested tit, capercaillie, Scottish crossbill ( the only species unique to Britain ), golden eagle and ptarmigan.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	inflection	ADJ NOUN VERB DET ADJ ADV VERB NOUN NOUN ADP PROPN PUNCT PROPN ADP PROPN DET ADJ NOUN ADP NOUN NOUN CCONJ ADJ PROPN ADJ NOUN ADP ADJ CCONJ ADJ NOUN ADP DET ADJ NOUN NOUN ADJ NOUN PUNCT DET ADJ NOUN ADJ ADP PROPN PUNCT ADJ NOUN CCONJ VERB
I have never seen an avocet in Cornwall, but I 'm told that this rare and unique bird has been spotted on these marshes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	rare bird	literal	insertion-other	PRON VERB ADV VERB DET NOUN ADP PROPN CCONJ PRON VERB VERB ADP DET ADJ CCONJ ADJ NOUN VERB VERB VERB ADP DET NOUN
Parts of Tunstall and Rendlesham forests, in Suffolk, are being set aside as a reserve for the woodlark, one of Britain's rarest birds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rare bird	literal	misc	NOUN ADP PROPN CCONJ PROPN NOUN ADP PROPN VERB VERB VERB ADV ADP DET NOUN ADP DET NOUN NUM ADP PROPN ADJ NOUN
Well with our rarest birds, and certainly ospreys and red kites are extremely rare with fifty to sixty pairs of each, we keep a close eye on them, some of the more vulnerable nests are actually watched twenty - four hours of the day, others are monitored regularly to make sure they 're progressing well.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	misc	INTJ ADP ADJ ADJ NOUN CCONJ ADV NOUN CCONJ ADJ NOUN VERB ADV ADJ ADP NUM PART NUM NOUN ADP DET PRON VERB DET ADJ NOUN ADP PRON DET ADP DET ADV ADJ NOUN VERB ADV VERB NUM PUNCT NUM NOUN ADP DET NOUN NOUN VERB VERB ADV PART VERB ADJ PRON VERB VERB ADV
The pair ignored us completely and gave us superb views of yet another extremely rare endemic bird of the Seychelles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	rare bird	literal	insertion-other	DET NOUN VERB PRON ADV CCONJ VERB PRON ADJ NOUN ADP ADV DET ADV ADJ ADJ NOUN ADP DET PROPN
The RCAS contract however is one of those rare governmental birds, an FFP or Firm Fixed Price contract, meaning that all of those 60,000 terminals are going to get ordered and delivered.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	figurative	combined-inflection	DET NOUN NOUN ADV VERB NUM ADP DET ADJ ADJ NOUN DET PROPN CCONJ PROPN PROPN PROPN NOUN VERB ADP DET ADP DET NUM NOUN VERB VERB PART VERB VERB CCONJ VERB
There were very few birdwatchers, about sixteen in the county, and it was quite different in those days — there was none of this rushing around the countryside, 2,000 people going to look at a rare bird.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rare bird	literal	identical	ADV VERB ADV ADJ NOUN ADV NUM ADP DET NOUN CCONJ PRON VERB ADV ADJ ADP DET NOUN PUNCT ADV VERB NOUN ADP DET VERB ADP DET NOUN NUM NOUN VERB PART VERB ADP DET ADJ NOUN
No rare birds ; just the incredible numbers, and the variety.	0 1 1 0 0 0 0 0 0 0 0	rare bird	literal	inflection	DET ADJ NOUN PUNCT ADV DET ADJ NOUN CCONJ DET NOUN
Some of our rarest breeding birds require more intensive, on - the - spot protection, often involving round - the - clock guards and electronic surveillance against egg collectors or others who wish to harm the birds.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	misc	DET ADP ADJ ADJ NOUN NOUN VERB ADV ADJ ADP PUNCT DET PUNCT NOUN NOUN ADV VERB ADJ PUNCT DET PUNCT NOUN NOUN CCONJ ADJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN VERB PART VERB DET NOUN
TWO rare birds stolen from London Zoo have been discovered dumped in a rubbish bin.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	inflection	NUM ADJ NOUN VERB ADP PROPN PROPN VERB VERB VERB VERB ADP DET ADJ NOUN
But he is a rarer bird — a composer who can talk about his music and with words, sketch the remarkable individual sound world which he has created, and which he changes with every new work.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	figurative	misc	CCONJ PRON VERB DET ADJ NOUN PUNCT DET NOUN NOUN VERB VERB ADP ADJ NOUN CCONJ ADP NOUN VERB DET ADJ ADJ ADJ NOUN ADJ PRON VERB VERB CCONJ ADJ PRON VERB ADP DET ADJ NOUN
A peregrine falcon, one of Britain's rarest birds of prey has been illegally shot.	0 0 0 0 0 0 1 1 0 0 0 0 0 0	rare bird	literal	misc	DET ADJ NOUN NUM ADP PROPN ADJ NOUN ADP NOUN VERB VERB ADV VERB
That rare bird, the high - spending consumer, has been sighted in large numbers in its natural habitat, the high street, after too long away.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	figurative	identical	ADP ADJ NOUN DET ADV PUNCT NOUN NOUN VERB VERB VERB ADP ADJ NOUN ADP ADJ ADJ NOUN DET ADJ NOUN ADP ADV ADV ADV
Today, the kestrel, if not endangered, is certainly one of the world's rarest birds of prey, with a population of only a few hundred.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	rare bird	literal	misc	NOUN DET NOUN ADP ADV VERB VERB ADV NUM ADP DET NOUN ADJ NOUN ADP NOUN ADP DET NOUN ADP ADV DET ADJ NUM
A RARE bird of prey has been found shot in an Edinburgh suburb.	0 1 1 0 0 0 0 0 0 0 0 0 0	rare bird	literal	case	DET PROPN NOUN ADP NOUN VERB VERB VERB VERB ADP DET PROPN NOUN
Or, The Fourniers have got hold of a rare bird, you know.	0 0 0 0 0 0 0 0 1 1 0 0	rare bird	figurative	identical	CCONJ DET PROPN VERB VERB NOUN ADP DET ADJ NOUN PRON VERB
The red kite, one of the UK's rarest breeding birds, is breeding successfully after its experimental reintroduction into southern England and northern Scotland in recent years.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	misc	DET ADJ NOUN NUM ADP DET PROPN ADJ NOUN NOUN VERB VERB ADV ADP ADJ ADJ NOUN ADP ADJ PROPN CCONJ ADJ PROPN ADP ADJ NOUN
Nature backs up helpless reason and stops it going so wildly astray., How about that rare bird, the man who professes that he is a ‘ complete sceptic’?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	rare bird	figurative	identical	NOUN VERB PART ADJ NOUN CCONJ VERB PRON VERB ADV ADV ADJ ADV ADP DET ADJ NOUN DET NOUN NOUN VERB ADP PRON VERB DET PUNCT ADJ NOUN
BICC spoke of employing headhunters when looking for ‘ rare birds’ for specialised jobs as ‘ horses for courses’.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	rare bird	figurative	deletion-determiner	PROPN VERB ADP VERB NOUN ADV VERB ADP PUNCT ADJ NOUN ADP ADJ NOUN ADP ADJ NOUN ADP NOUN
150 rare birds of prey, mainly large falcons, were taken to Spain from Saudi Arabia at the outbreak of the Gulf War by Philip Whitehead, until then the director of a falcon centre owned by the Saudi royal family.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	inflection	NUM ADJ NOUN ADP NOUN ADV ADJ NOUN VERB VERB ADP PROPN ADP PROPN PROPN ADP DET NOUN ADP DET PROPN PROPN ADP PROPN PROPN ADP ADV DET NOUN ADP DET NOUN NOUN VERB ADP DET ADJ ADJ NOUN
