I 'm trying to kick the habit.’	0 0 0 0 1 0 1	kick the habit	figurative	dashes	PRON VERB VERB PART VERB DET NOUN	▁I ▁' m ▁trying ▁to ▁kick ▁the ▁habit . ’	0 0 0 0 0 1 0 1 1 1	PRON VERB VERB VERB PART VERB DET NOUN NOUN NOUN
asked whether the American army had helped him to kick his drug habit.	0 0 0 0 0 0 0 0 0 1 0 0 1	kick the habit	figurative	combined-other	VERB ADP DET ADJ NOUN VERB VERB PRON PART VERB ADJ NOUN NOUN	▁asked ▁whether ▁the ▁American ▁army ▁had ▁helped ▁him ▁to ▁kick ▁his ▁drug ▁habit .	0 0 0 0 0 0 0 0 0 1 0 0 1 1	VERB ADP DET ADJ NOUN VERB VERB PRON PART VERB ADJ NOUN NOUN NOUN
Mel to kick Lethal Habit	0 0 1 0 1	kick the habit	figurative	combined-other	PROPN PART VERB PROPN PROPN	▁Mel ▁to ▁kick ▁Let hal ▁Hab it	0 0 1 0 0 1 1	PROPN PART VERB PROPN PROPN PROPN PROPN
But even a heavy smoker can reduce this risk by kicking the habit, and the benefit starts within days of giving up.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	kick the habit	figurative	inflection	CCONJ ADV DET ADJ NOUN VERB VERB DET NOUN ADP VERB DET NOUN CCONJ DET NOUN VERB ADP NOUN ADP VERB PART	▁But ▁even ▁a ▁heavy ▁smoke r ▁can ▁reduce ▁this ▁risk ▁by ▁kick ing ▁the ▁habit , ▁and ▁the ▁benefit ▁starts ▁within ▁days ▁of ▁giving ▁up .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ ADV DET ADJ NOUN NOUN VERB VERB DET NOUN ADP VERB VERB DET NOUN NOUN CCONJ DET NOUN VERB ADP NOUN ADP VERB PART PART
Once the motivation to stop arises, it is not so difficult to kick the habit.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	ADP DET NOUN PART VERB VERB PRON VERB ADV ADV ADJ PART VERB DET NOUN	▁Once ▁the ▁motivation ▁to ▁stop ▁arises , ▁it ▁is ▁not ▁so ▁difficult ▁to ▁kick ▁the ▁habit .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET NOUN PART VERB VERB VERB PRON VERB ADV ADV ADJ PART VERB DET NOUN NOUN
He kicked the habit, as his doctors must have told you.	0 1 0 1 0 0 0 0 0 0 0	kick the habit	figurative	inflection	PRON VERB DET NOUN ADP ADJ NOUN VERB VERB VERB PRON	▁He ▁kick ed ▁the ▁habit , ▁as ▁his ▁doctors ▁must ▁have ▁told ▁you .	0 1 1 0 1 1 0 0 0 0 0 0 0 0	PRON VERB VERB DET NOUN NOUN ADP ADJ NOUN VERB VERB VERB PRON PRON
In the New Year, staff will be given advice on how to kick the habit.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	ADP DET PROPN PROPN NOUN VERB VERB VERB NOUN ADP ADV PART VERB DET NOUN	▁In ▁the ▁New ▁Year , ▁staff ▁will ▁be ▁given ▁advice ▁on ▁how ▁to ▁kick ▁the ▁habit .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET PROPN PROPN PROPN NOUN VERB VERB VERB NOUN ADP ADV PART VERB DET NOUN NOUN
She used treats and kindness rather than nagging to persuade her mum to kick the habit for at least two weeks.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	kick the habit	figurative	identical	PRON VERB NOUN CCONJ NOUN ADV ADP VERB PART VERB ADJ NOUN PART VERB DET NOUN ADP ADV ADV NUM NOUN	▁She ▁used ▁treat s ▁and ▁kind ness ▁rather ▁than ▁n agging ▁to ▁persuade ▁her ▁m um ▁to ▁kick ▁the ▁habit ▁for ▁at ▁least ▁two ▁weeks .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	PRON VERB NOUN NOUN CCONJ NOUN NOUN ADV ADP VERB VERB PART VERB ADJ NOUN NOUN PART VERB DET NOUN ADP ADV ADV NUM NOUN NOUN
He was desperately trying to kick the habit on his own, but he needed moral support and someone to keep an eye on him.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	identical	PRON VERB ADV VERB PART VERB DET NOUN ADP ADJ ADJ CCONJ PRON VERB ADJ NOUN CCONJ NOUN PART VERB DET NOUN ADP PRON	▁He ▁was ▁desperately ▁trying ▁to ▁kick ▁the ▁habit ▁on ▁his ▁own , ▁but ▁he ▁needed ▁moral ▁support ▁and ▁someone ▁to ▁keep ▁an ▁eye ▁on ▁him .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB PART VERB DET NOUN ADP ADJ ADJ ADJ CCONJ PRON VERB ADJ NOUN CCONJ NOUN PART VERB DET NOUN ADP PRON PRON
Wally Reid was actually keen to kick the habit.	0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	PROPN PROPN VERB ADV ADJ PART VERB DET NOUN	▁W ally ▁Re id ▁was ▁actually ▁keen ▁to ▁kick ▁the ▁habit .	0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN VERB ADV ADJ PART VERB DET NOUN NOUN
There are various clinics and self - help groups to support and encourage those wanting to kick the habit ; but a lot of determination will be needed to get through the first difficult weeks or months.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	identical	ADV VERB ADJ NOUN CCONJ NOUN PUNCT NOUN NOUN PART VERB CCONJ VERB DET VERB PART VERB DET NOUN PUNCT CCONJ DET NOUN ADP NOUN VERB VERB VERB PART VERB ADP DET ADJ ADJ NOUN CCONJ NOUN	▁There ▁are ▁various ▁clinic s ▁and ▁self ▁- ▁help ▁groups ▁to ▁support ▁and ▁encourage ▁those ▁wanting ▁to ▁kick ▁the ▁habit ▁ ; ▁but ▁a ▁lot ▁of ▁determination ▁will ▁be ▁needed ▁to ▁get ▁through ▁the ▁first ▁difficult ▁weeks ▁or ▁months .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB ADJ NOUN NOUN CCONJ NOUN PUNCT NOUN NOUN PART VERB CCONJ VERB DET VERB PART VERB DET NOUN PUNCT PUNCT CCONJ DET NOUN ADP NOUN VERB VERB VERB PART VERB ADP DET ADJ ADJ NOUN CCONJ NOUN NOUN
The truth is quite otherwise — adult smokers are simply ex - teenage smokers who haven't managed to kick the habit. )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	kick the habit	figurative	identical	DET NOUN VERB ADV ADV PUNCT NOUN NOUN VERB ADV NUM PUNCT ADJ NOUN NOUN VERB VERB PART VERB DET NOUN PUNCT	▁The ▁truth ▁is ▁quite ▁otherwise ▁ — ▁adult ▁smokers ▁are ▁simply ▁ex ▁- ▁te en age ▁smokers ▁who ▁have n ' t ▁managed ▁to ▁kick ▁the ▁habit . ▁ )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	DET NOUN VERB ADV ADV PUNCT PUNCT NOUN NOUN VERB ADV NUM PUNCT ADJ ADJ ADJ NOUN NOUN VERB VERB VERB VERB VERB PART VERB DET NOUN NOUN PUNCT PUNCT
There too a twenty year old who has managed to kick a habit that was leading him down a dangerous path.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	kick the habit	figurative	determiner-narrow	ADV ADV DET NUM NOUN ADJ NOUN VERB VERB PART VERB DET NOUN ADJ VERB VERB PRON ADP DET ADJ NOUN	▁There ▁too ▁a ▁twenty ▁year ▁old ▁who ▁has ▁managed ▁to ▁kick ▁a ▁habit ▁that ▁was ▁leading ▁him ▁down ▁a ▁dangerous ▁path .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	ADV ADV DET NUM NOUN ADJ NOUN VERB VERB PART VERB DET NOUN ADJ VERB VERB PRON ADP DET ADJ NOUN NOUN
In recent years, more than 11 million smokers in Britain have kicked the habit.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	inflection	ADP ADJ NOUN ADJ ADP NUM NUM NOUN ADP PROPN VERB VERB DET NOUN	▁In ▁recent ▁years , ▁more ▁than ▁11 ▁million ▁smokers ▁in ▁Britain ▁have ▁kick ed ▁the ▁habit .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP ADJ NOUN NOUN ADJ ADP NUM NUM NOUN ADP PROPN VERB VERB VERB DET NOUN NOUN
In its vast project to kick the mainframe habit and move to Unix - based client - server systems, Mead Corp's database operator Mead Data Central Inc is spreading its favours around, and while some Unix business has gone to Hewlett - Packard Co, NCR Corp is also in there as a so - called strategic technology partner ( presumably its non - strategic technology partners are the people that supply the brooms they sweep the floor with ) as Mead moves existing applications off mainframes to a client - server environment : the two have been working together for the past year on projects to re - engineer access to the widely - used Lexis and Nexis on - line information services and create a new internal information system infrastructure and campus - wide network, and Mead is using NCR System 3000 symmetric multiprocessors and AT&T Co and NCR network products.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	insertion-other	ADP ADJ ADJ NOUN PART VERB DET NOUN NOUN CCONJ VERB ADP PROPN PUNCT VERB NOUN PUNCT NOUN NOUN PROPN PROPN NOUN NOUN PROPN PROPN PROPN PROPN VERB VERB ADJ NOUN ADV CCONJ ADP DET PROPN NOUN VERB VERB ADP PROPN PUNCT PROPN PROPN PROPN PROPN VERB ADV ADV ADV ADP DET ADV PUNCT VERB ADJ NOUN NOUN PUNCT ADV ADJ ADJ PUNCT ADJ NOUN NOUN VERB DET NOUN ADJ VERB DET NOUN PRON VERB DET NOUN ADP PUNCT ADP PROPN VERB VERB NOUN ADP NOUN ADP DET NOUN PUNCT NOUN NOUN PUNCT DET NUM VERB VERB VERB ADV ADP DET ADJ NOUN ADP NOUN PART VERB PUNCT NOUN NOUN ADP DET ADV PUNCT VERB PROPN CCONJ PROPN ADP PUNCT NOUN NOUN NOUN CCONJ VERB DET ADJ ADJ NOUN NOUN NOUN CCONJ NOUN PUNCT ADJ NOUN CCONJ PROPN VERB VERB PROPN PROPN NUM ADJ NOUN CCONJ PROPN PROPN CCONJ PROPN NOUN NOUN	▁In ▁its ▁vast ▁project ▁to ▁kick ▁the ▁main frame ▁habit ▁and ▁move ▁to ▁Un ix ▁- ▁based ▁client ▁- ▁server ▁systems , ▁Me ad ▁Corp ' s ▁database ▁operator ▁Me ad ▁Data ▁Central ▁Inc ▁is ▁spreading ▁its ▁favour s ▁around , ▁and ▁while ▁some ▁Un ix ▁business ▁has ▁gone ▁to ▁He wl ett ▁- ▁Pack ard ▁Co , ▁N CR ▁Corp ▁is ▁also ▁in ▁there ▁as ▁a ▁so ▁- ▁called ▁strategic ▁technology ▁partner ▁( ▁presum ably ▁its ▁non ▁- ▁strategic ▁technology ▁partners ▁are ▁the ▁people ▁that ▁supply ▁the ▁b room s ▁they ▁sweep ▁the ▁floor ▁with ▁ ) ▁as ▁Me ad ▁moves ▁existing ▁applications ▁off ▁main frame s ▁to ▁a ▁client ▁- ▁server ▁environment ▁ : ▁the ▁two ▁have ▁been ▁working ▁together ▁for ▁the ▁past ▁year ▁on ▁projects ▁to ▁re ▁- ▁engineer ▁access ▁to ▁the ▁widely ▁- ▁used ▁L ex is ▁and ▁Nex is ▁on ▁- ▁line ▁information ▁services ▁and ▁create ▁a ▁new ▁internal ▁information ▁system ▁infrastructure ▁and ▁camp us ▁- ▁wide ▁network , ▁and ▁Me ad ▁is ▁using ▁N CR ▁System ▁3000 ▁ symmetric ▁multi processor s ▁and ▁AT & T ▁Co ▁and ▁N CR ▁network ▁products .	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ ADJ NOUN PART VERB DET NOUN NOUN NOUN CCONJ VERB ADP PROPN PROPN PUNCT VERB NOUN PUNCT NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN NOUN NOUN PROPN PROPN PROPN PROPN PROPN VERB VERB ADJ NOUN NOUN ADV ADV CCONJ ADP DET PROPN PROPN NOUN VERB VERB ADP PROPN PROPN PROPN PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADV ADV ADV ADP DET ADV PUNCT VERB ADJ NOUN NOUN PUNCT ADV ADV ADJ ADJ PUNCT ADJ NOUN NOUN VERB DET NOUN ADJ VERB DET NOUN NOUN NOUN PRON VERB DET NOUN ADP PUNCT PUNCT ADP PROPN PROPN VERB VERB NOUN ADP NOUN NOUN NOUN ADP DET NOUN PUNCT NOUN NOUN PUNCT PUNCT DET NUM VERB VERB VERB ADV ADP DET ADJ NOUN ADP NOUN PART VERB PUNCT NOUN NOUN ADP DET ADV PUNCT VERB PROPN PROPN PROPN CCONJ PROPN PROPN ADP PUNCT NOUN NOUN NOUN CCONJ VERB DET ADJ ADJ NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT ADJ NOUN NOUN CCONJ PROPN PROPN VERB VERB PROPN PROPN PROPN NUM ADJ ADJ NOUN NOUN NOUN CCONJ PROPN PROPN PROPN PROPN CCONJ PROPN PROPN NOUN NOUN NOUN
‘ I felt it had to be my fault : I was a weak human being with no moral fibre or I would have been able to kick the habit.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	dashes	PUNCT PRON VERB PRON VERB PART VERB ADJ NOUN PUNCT PRON VERB DET ADJ NOUN VERB ADP DET ADJ NOUN CCONJ PRON VERB VERB VERB ADJ PART VERB DET NOUN	▁ ‘ ▁I ▁felt ▁it ▁had ▁to ▁be ▁my ▁fault ▁ : ▁I ▁was ▁a ▁weak ▁human ▁being ▁with ▁no ▁moral ▁fibre ▁or ▁I ▁would ▁have ▁been ▁able ▁to ▁kick ▁the ▁habit . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PUNCT PUNCT PRON VERB PRON VERB PART VERB ADJ NOUN PUNCT PUNCT PRON VERB DET ADJ NOUN VERB ADP DET ADJ NOUN CCONJ PRON VERB VERB VERB ADJ PART VERB DET NOUN NOUN NOUN
