‘ He's done us proud, as well,’ says Granville.	0 0 1 1 1 0 0 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB PRON ADJ ADP PRON VERB PROPN	▁ ‘ ▁He ' s ▁done ▁us ▁proud , ▁as ▁well , ’ ▁says ▁Gran ville .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON PRON PRON VERB PRON ADJ ADJ ADP PRON PRON PRON VERB PROPN PROPN PROPN
The gods of the Caesars had done themselves proud.	0 0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	DET NOUN ADP DET PROPN VERB VERB PRON ADJ	▁The ▁gods ▁of ▁the ▁Ca es ars ▁had ▁done ▁themselves ▁proud .	0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN ADP DET PROPN PROPN PROPN VERB VERB PRON ADJ ADJ
Shared Experience does it proud.	0 0 1 1 1	do someone proud	figurative	combined-inflection	VERB NOUN VERB PRON ADJ	▁Share d ▁Experience ▁does ▁it ▁proud .	0 0 0 1 1 1 1	VERB VERB NOUN VERB PRON ADJ ADJ
It seems to have done you proud.	0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	PRON VERB PART VERB VERB PRON ADJ	▁It ▁seems ▁to ▁have ▁done ▁you ▁proud .	0 0 0 0 1 1 1 1	PRON VERB PART VERB VERB PRON ADJ ADJ
But here HM has done itself proud.	0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	CCONJ ADV PROPN VERB VERB PRON ADJ	▁But ▁here ▁H M ▁has ▁done ▁itself ▁proud .	0 0 0 0 0 1 1 1 1	CCONJ ADV PROPN PROPN VERB VERB PRON ADJ ADJ
The crowd ( as ever ) did Leeds proud, were all around the ground and I m sure helped make it another ‘ home game’ for the players.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	DET NOUN PUNCT ADV ADV PUNCT VERB PROPN ADJ VERB ADV ADP DET NOUN CCONJ PRON VERB ADJ VERB VERB PRON DET PUNCT NOUN NOUN ADP DET NOUN	▁The ▁crowd ▁( ▁as ▁ever ▁ ) ▁did ▁Le ed s ▁proud , ▁were ▁all ▁around ▁the ▁ground ▁and ▁I ▁m ▁sure ▁helped ▁make ▁it ▁another ▁ ‘ ▁home ▁game ’ ▁for ▁the ▁players .	0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN PUNCT ADV ADV PUNCT PUNCT VERB PROPN PROPN PROPN ADJ ADJ VERB ADV ADP DET NOUN CCONJ PRON VERB ADJ VERB VERB PRON DET PUNCT PUNCT NOUN NOUN NOUN ADP DET NOUN NOUN
They had all been inhibited from plain speaking by the lavish hospitality, the fresh scampi with avocado had been too ‘ mucked about’ for her taste, while that dreadful black man had insisted on telling her all about his times in and out of the ring with ‘ Big Frank’(‘a lovely suit of clothes’ ), interrupting himself only to raise his glass of pink wine to Sir Ralph who had, in his opinion, ‘ done us proud’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	PRON VERB DET VERB VERB ADP ADJ VERB ADP DET ADJ NOUN DET ADJ NOUN ADP NOUN VERB VERB ADV PUNCT VERB ADV ADP ADJ NOUN ADP DET ADJ ADJ NOUN VERB VERB ADP VERB PRON ADV ADP ADJ NOUN ADP CCONJ ADP ADP DET NOUN ADP PUNCT PROPN PROPN ADJ NOUN ADP NOUN PUNCT VERB PRON ADV PART VERB ADJ NOUN ADP ADJ NOUN ADP PROPN PROPN NOUN VERB ADP ADJ NOUN PUNCT VERB PRON VERB	▁They ▁had ▁all ▁been ▁inhibited ▁from ▁plain ▁speaking ▁by ▁the ▁ lav ish ▁hospital ity , ▁the ▁fresh ▁sc amp i ▁with ▁a vo c ado ▁had ▁been ▁too ▁ ‘ ▁m uck ed ▁about ’ ▁for ▁her ▁taste , ▁while ▁that ▁dreadful ▁black ▁man ▁had ▁insisted ▁on ▁telling ▁her ▁all ▁about ▁his ▁times ▁in ▁and ▁out ▁of ▁the ▁ring ▁with ▁ ‘ ▁Big ▁Frank ’ ( ‘ a ▁love ly ▁suit ▁of ▁clothes ’ ▁ ), ▁interrupt ing ▁himself ▁only ▁to ▁raise ▁his ▁glass ▁of ▁pink ▁wine ▁to ▁Sir ▁R al ph ▁who ▁had , ▁in ▁his ▁opinion , ▁ ‘ ▁done ▁us ▁proud ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB DET VERB VERB ADP ADJ VERB ADP DET ADJ ADJ ADJ NOUN NOUN NOUN DET ADJ NOUN NOUN NOUN ADP NOUN NOUN NOUN NOUN VERB VERB ADV PUNCT PUNCT VERB VERB VERB ADV ADV ADP ADJ NOUN NOUN ADP DET ADJ ADJ NOUN VERB VERB ADP VERB PRON ADV ADP ADJ NOUN ADP CCONJ ADP ADP DET NOUN ADP PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN ADJ ADJ NOUN ADP NOUN NOUN PUNCT PUNCT VERB VERB PRON ADV PART VERB ADJ NOUN ADP ADJ NOUN ADP PROPN PROPN PROPN PROPN NOUN VERB VERB ADP ADJ NOUN NOUN PUNCT PUNCT VERB PRON VERB VERB VERB
His old friends the overseers did him proud to the very last : in their generosity they provided him with a 14s. funeral.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	ADJ ADJ NOUN DET NOUN VERB PRON ADJ ADP DET ADV ADJ PUNCT ADP ADJ NOUN PRON VERB PRON ADP DET NUM NOUN	▁His ▁old ▁friends ▁the ▁oversee rs ▁did ▁him ▁proud ▁to ▁the ▁very ▁last ▁ : ▁in ▁their ▁generosity ▁they ▁provided ▁him ▁with ▁a ▁14 s . ▁funeral .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN DET NOUN NOUN VERB PRON ADJ ADP DET ADV ADJ PUNCT PUNCT ADP ADJ NOUN PRON VERB PRON ADP DET NUM NUM NUM NOUN NOUN
I 'll do you proud, just you wait and see.’	0 0 1 1 1 0 0 0 0 0	do someone proud	figurative	objective	PRON VERB VERB PRON ADJ ADV PRON VERB CCONJ PUNCT	▁I ▁' ll ▁do ▁you ▁proud , ▁just ▁you ▁wait ▁and ▁see . ’	0 0 0 1 1 1 1 0 0 0 0 0 0 0	PRON VERB VERB VERB PRON ADJ ADJ ADV PRON VERB CCONJ PUNCT PUNCT PUNCT
The University and Catering had done us proud.	0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	DET PROPN CCONJ PROPN VERB VERB PRON ADJ	▁The ▁University ▁and ▁Cat er ing ▁had ▁done ▁us ▁proud .	0 0 0 0 0 0 0 1 1 1 1	DET PROPN CCONJ PROPN PROPN PROPN VERB VERB PRON ADJ ADJ
He done us proud.	0 1 1 1	do someone proud	figurative	combined-inflection	PRON VERB PRON ADJ	▁He ▁done ▁us ▁proud .	0 1 1 1 1	PRON VERB PRON ADJ ADJ
The family were more concerned that she should " do them proud ".	0 0 0 0 0 0 0 0 0 1 1 1 0	do someone proud	figurative	objective	DET NOUN VERB ADV ADJ ADP PRON VERB PUNCT VERB PRON ADJ PUNCT	▁The ▁family ▁were ▁more ▁concerned ▁that ▁she ▁should ▁" ▁do ▁them ▁proud ▁" .	0 0 0 0 0 0 0 0 0 1 1 1 0 0	DET NOUN VERB ADV ADJ ADP PRON VERB PUNCT VERB PRON ADJ PUNCT PUNCT
On that basis, Livesey had done himself proud.	0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	ADP DET NOUN PROPN VERB VERB PRON ADJ	▁On ▁that ▁basis , ▁Live s ey ▁had ▁done ▁himself ▁proud .	0 0 0 0 0 0 0 0 1 1 1 1	ADP DET NOUN NOUN PROPN PROPN PROPN VERB VERB PRON ADJ ADJ
Sukey had done everyone proud, and the Lombard boys, who were labradors when it came to food, were soon wolfing smoked salmon quiche, marinated breast of chicken, mozzarella in brown rolls, ratatouille and potato salad made with real mayonnaise.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	NOUN VERB VERB NOUN ADJ CCONJ DET PROPN NOUN NOUN VERB NOUN ADV PRON VERB ADP NOUN VERB ADV VERB ADJ NOUN NOUN VERB NOUN ADP NOUN NOUN ADP ADJ NOUN NOUN CCONJ NOUN NOUN VERB ADP ADJ NOUN	▁Su key ▁had ▁done ▁everyone ▁proud , ▁and ▁the ▁Lo mb ard ▁boys , ▁who ▁were ▁la bra d ors ▁when ▁it ▁came ▁to ▁food , ▁were ▁soon ▁w olfi ng ▁smoked ▁salmon ▁qui che , ▁mar in ated ▁breast ▁of ▁chicken , ▁mo zza r ella ▁in ▁brown ▁rolls , ▁rata t ou ille ▁and ▁potato ▁salad ▁made ▁with ▁real ▁may on na ise .	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB VERB NOUN ADJ ADJ CCONJ DET PROPN PROPN PROPN NOUN NOUN NOUN VERB NOUN NOUN NOUN NOUN ADV PRON VERB ADP NOUN NOUN VERB ADV VERB VERB VERB ADJ NOUN NOUN NOUN NOUN VERB VERB VERB NOUN ADP NOUN NOUN NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN VERB ADP ADJ NOUN NOUN NOUN NOUN NOUN
Even in such exalted company, Rozhdestvensky holds his own ( although Szell's breathtaking final coda to the Marche remains a uniquely compelling experience ), and what a joy to hear a native Russian orchestra accorded engineering which for once does them proud!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	ADV ADP ADJ VERB NOUN PROPN VERB ADJ ADJ PUNCT ADP PROPN ADJ ADJ NOUN ADP DET PROPN VERB DET ADV ADJ NOUN PUNCT CCONJ NOUN DET NOUN PART VERB DET ADJ ADJ NOUN VERB NOUN ADJ ADP ADV VERB PRON ADJ	▁Even ▁in ▁such ▁ex al ted ▁company , ▁Ro zh d est ven sky ▁holds ▁his ▁own ▁( ▁although ▁S zel l ' s ▁breath taking ▁final ▁cod a ▁to ▁the ▁March e ▁remains ▁a ▁unique ly ▁compell ing ▁experience ▁ ), ▁and ▁what ▁a ▁joy ▁to ▁hear ▁a ▁native ▁Russian ▁orchestra ▁accorded ▁engineering ▁which ▁for ▁once ▁does ▁them ▁proud !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADP ADJ VERB VERB VERB NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADJ ADJ PUNCT ADP PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ NOUN NOUN ADP DET PROPN PROPN VERB DET ADV ADV ADJ ADJ NOUN PUNCT PUNCT CCONJ NOUN DET NOUN PART VERB DET ADJ ADJ NOUN VERB NOUN ADJ ADP ADV VERB PRON ADJ ADJ
Martin Foyle what, out of the side for so long — bit of a gamble to bring him back in ; he did you proud.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	PROPN PROPN NOUN ADP ADP DET NOUN ADP ADV ADJ PUNCT NOUN ADP DET NOUN PART VERB PRON ADV ADV PUNCT PRON VERB PRON ADJ	▁Martin ▁Fo yl e ▁what , ▁out ▁of ▁the ▁side ▁for ▁so ▁long ▁ — ▁bit ▁of ▁a ▁g a mble ▁to ▁bring ▁him ▁back ▁in ▁ ; ▁he ▁did ▁you ▁proud .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN PROPN PROPN NOUN NOUN ADP ADP DET NOUN ADP ADV ADJ PUNCT PUNCT NOUN ADP DET NOUN NOUN NOUN PART VERB PRON ADV ADV PUNCT PUNCT PRON VERB PRON ADJ ADJ
Hockey ‘ minis’ do Alton proud	0 0 0 1 1 0	do someone proud	figurative	misc	PROPN PUNCT NOUN VERB PROPN ADJ	▁Ho cke y ▁ ‘ ▁mini s ’ ▁do ▁Al ton ▁proud	0 0 0 0 0 0 0 0 1 1 1 0	PROPN PROPN PROPN PUNCT PUNCT NOUN NOUN NOUN VERB PROPN PROPN ADJ
And some of the connections are quite revealing, and the actions of the Italians in getting very very frustrated and angry now, and having the Christian Democrats and the Mafia and the and the establishment ruling them for many many years, I think does them proud and er maybe a little bit of anger here, about the same issues, would go down quite well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	CCONJ DET ADP DET NOUN VERB ADV ADJ CCONJ DET NOUN ADP DET PROPN ADP VERB ADV ADV ADJ CCONJ ADJ ADV CCONJ VERB DET PROPN PROPN CCONJ DET PROPN CCONJ DET CCONJ DET NOUN VERB PRON ADP ADJ ADJ NOUN PRON VERB VERB PRON ADJ CCONJ INTJ ADV DET ADJ NOUN ADP NOUN ADV ADP DET ADJ NOUN VERB VERB ADV ADV ADV	▁And ▁some ▁of ▁the ▁connections ▁are ▁quite ▁reveal ing , ▁and ▁the ▁actions ▁of ▁the ▁Italian s ▁in ▁gett ing ▁very ▁very ▁frustrat ed ▁and ▁angry ▁now , ▁and ▁having ▁the ▁Christian ▁Democra ts ▁and ▁the ▁M afia ▁and ▁the ▁and ▁the ▁establishment ▁ruling ▁them ▁for ▁many ▁many ▁years , ▁I ▁think ▁does ▁them ▁proud ▁and ▁er ▁maybe ▁a ▁little ▁bit ▁of ▁anger ▁here , ▁about ▁the ▁same ▁issues , ▁would ▁go ▁down ▁quite ▁well .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET ADP DET NOUN VERB ADV ADJ ADJ ADJ CCONJ DET NOUN ADP DET PROPN PROPN ADP VERB VERB ADV ADV ADJ ADJ CCONJ ADJ ADV ADV CCONJ VERB DET PROPN PROPN PROPN CCONJ DET PROPN PROPN CCONJ DET CCONJ DET NOUN VERB PRON ADP ADJ ADJ NOUN NOUN PRON VERB VERB PRON ADJ CCONJ INTJ ADV DET ADJ NOUN ADP NOUN ADV ADV ADP DET ADJ NOUN NOUN VERB VERB ADV ADV ADV ADV
Derry's recent injury problems have been well emanating from the county today is quite simple — the fifteen players selected for duty on Sunday will be expected to do us proud!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	objective	ADJ ADJ NOUN NOUN VERB VERB ADV VERB ADP DET NOUN NOUN VERB ADV ADJ PUNCT DET NUM NOUN VERB ADP NOUN ADP PROPN VERB VERB VERB PART VERB PRON ADJ	▁De rry ' s ▁recent ▁injury ▁problems ▁have ▁been ▁well ▁emanat ing ▁from ▁the ▁county ▁today ▁is ▁quite ▁simple ▁ — ▁the ▁fifteen ▁players ▁selected ▁for ▁duty ▁on ▁Sunday ▁will ▁be ▁expected ▁to ▁do ▁us ▁proud !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ ADJ ADJ ADJ ADJ NOUN NOUN VERB VERB ADV VERB VERB ADP DET NOUN NOUN VERB ADV ADJ PUNCT PUNCT DET NUM NOUN VERB ADP NOUN ADP PROPN VERB VERB VERB PART VERB PRON ADJ ADJ
The Taysiders will be playing their first competitive outdoor match of the year for, unlike their domestic rivals, they were on international duty last week in Basle, doing Scotland proud in winning the B Division of the European Indoor Championship.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	DET PROPN VERB VERB VERB ADJ ADJ ADJ ADJ NOUN ADP DET NOUN ADP ADP ADJ ADJ NOUN PRON VERB ADP ADJ NOUN ADJ NOUN ADP PROPN VERB PROPN ADJ ADP VERB DET PROPN PROPN ADP DET PROPN PROPN PROPN	▁The ▁Ta y sider s ▁will ▁be ▁playing ▁their ▁first ▁competitive ▁outdoor ▁match ▁of ▁the ▁year ▁for , ▁unlike ▁their ▁domestic ▁rival s , ▁they ▁were ▁on ▁international ▁duty ▁last ▁week ▁in ▁Basle , ▁doing ▁Scotland ▁proud ▁in ▁winning ▁the ▁B ▁Division ▁of ▁the ▁European ▁In door ▁Cham p ion ship .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN VERB VERB VERB ADJ ADJ ADJ ADJ NOUN ADP DET NOUN ADP ADP ADP ADJ ADJ NOUN NOUN NOUN PRON VERB ADP ADJ NOUN ADJ NOUN ADP PROPN PROPN VERB PROPN ADJ ADP VERB DET PROPN PROPN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN
LOCAL runners did Alton proud in the gruelling London Marathon on Sunday.	0 0 1 1 1 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	ADJ NOUN VERB PROPN ADJ ADP DET VERB PROPN PROPN ADP PROPN	▁L OC AL ▁run ners ▁did ▁Al ton ▁proud ▁in ▁the ▁g ru elling ▁London ▁Mar ath on ▁on ▁Sunday .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ NOUN NOUN VERB PROPN PROPN ADJ ADP DET VERB VERB VERB PROPN PROPN PROPN PROPN ADP PROPN PROPN
