Good riddance to her. '	1 1 0 0 0	good riddance	figurative	case	ADJ NOUN ADP PRON PUNCT	▁Good ▁rid d ance ▁to ▁her . ▁'	1 1 1 1 0 0 0 0	ADJ NOUN NOUN NOUN ADP PRON PRON PUNCT
But on the other hand we thought I suppose oh good riddance you know er rather than have a few er namby - pamby people you know sitting on the fence, we might be better off without them.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	CCONJ ADP DET ADJ NOUN PRON VERB PRON VERB INTJ ADJ NOUN PRON VERB INTJ ADV ADP VERB DET ADJ INTJ NOUN PUNCT VERB NOUN PRON VERB VERB ADP DET NOUN PRON VERB VERB ADJ PART ADP PRON	▁But ▁on ▁the ▁other ▁hand ▁we ▁thought ▁I ▁suppose ▁ oh ▁good ▁rid d ance ▁you ▁know ▁er ▁rather ▁than ▁have ▁a ▁few ▁er ▁ nam by ▁- ▁p am by ▁people ▁you ▁know ▁sitting ▁on ▁the ▁fence , ▁we ▁might ▁be ▁better ▁off ▁without ▁them .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP DET ADJ NOUN PRON VERB PRON VERB INTJ INTJ ADJ NOUN NOUN NOUN PRON VERB INTJ ADV ADP VERB DET ADJ INTJ NOUN NOUN NOUN PUNCT VERB VERB VERB NOUN PRON VERB VERB ADP DET NOUN NOUN PRON VERB VERB ADJ PART ADP PRON PRON
And a good riddance too!	0 0 1 1 0	good riddance	figurative	identical	CCONJ DET ADJ NOUN ADV	▁And ▁a ▁good ▁rid d ance ▁too !	0 0 1 1 1 1 0 0	CCONJ DET ADJ NOUN NOUN NOUN ADV ADV
If they can't accept me as I am, good riddance.	0 0 0 0 0 0 0 0 1 1	good riddance	figurative	identical	ADP PRON VERB VERB PRON ADP PRON VERB ADJ NOUN	▁If ▁they ▁can ' t ▁accept ▁me ▁as ▁I ▁am , ▁good ▁rid d ance .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP PRON VERB VERB VERB VERB PRON ADP PRON VERB VERB ADJ NOUN NOUN NOUN NOUN
' Good riddance! '	0 1 1 0	good riddance	figurative	case	PUNCT ADJ NOUN PUNCT	▁' ▁Good ▁rid d ance ! ▁'	0 1 1 1 1 1 0	PUNCT ADJ NOUN NOUN NOUN NOUN PUNCT
As for the ' 70s, good riddance.	0 0 0 0 0 1 1	good riddance	figurative	identical	ADP ADP DET PUNCT NUM ADJ NOUN	▁As ▁for ▁the ▁' ▁70 s , ▁good ▁rid d ance .	0 0 0 0 0 0 0 1 1 1 1 1	ADP ADP DET PUNCT NUM NUM NUM ADJ NOUN NOUN NOUN NOUN
Good riddance, thought Harry.	1 1 0 0	good riddance	figurative	case	ADJ NOUN VERB PROPN	▁Good ▁rid d ance , ▁thought ▁H arry .	1 1 1 1 1 0 0 0 0	ADJ NOUN NOUN NOUN NOUN VERB PROPN PROPN PROPN
' Good riddance, I say.	0 1 1 0 0	good riddance	figurative	case	PUNCT ADJ NOUN PRON VERB	▁' ▁Good ▁rid d ance , ▁I ▁say .	0 1 1 1 1 1 0 0 0	PUNCT ADJ NOUN NOUN NOUN NOUN PRON VERB VERB
The job is to purge the good - riddance - to - Quebec attitude among Reform Party supporters, and to get backing in the western provinces for a further set of constitutional changes, incorporating Quebec's insistent claim to be recognised as a distinct society.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	dashes	DET NOUN VERB PART VERB DET ADJ PUNCT NOUN PUNCT ADP PUNCT PROPN NOUN ADP PROPN PROPN NOUN CCONJ PART VERB NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN VERB PROPN ADJ NOUN PART VERB VERB ADP DET ADJ NOUN	▁The ▁job ▁is ▁to ▁purge ▁the ▁good ▁- ▁rid d ance ▁- ▁to ▁- ▁Que be c ▁attitude ▁among ▁Reform ▁Party ▁supporters , ▁and ▁to ▁get ▁backing ▁in ▁the ▁ western ▁provinces ▁for ▁a ▁further ▁set ▁of ▁constitutional ▁changes , ▁incorporating ▁Que be c ' s ▁in sistent ▁claim ▁to ▁be ▁recognised ▁as ▁a ▁distinct ▁society .	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB PART VERB DET ADJ PUNCT NOUN NOUN NOUN PUNCT ADP PUNCT PROPN PROPN PROPN NOUN ADP PROPN PROPN NOUN NOUN CCONJ PART VERB NOUN ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN NOUN VERB PROPN PROPN PROPN PROPN PROPN ADJ ADJ NOUN PART VERB VERB ADP DET ADJ NOUN NOUN
" Good riddance, " said Faye, smartly, laughing.	0 1 1 0 0 0 0 0	good riddance	figurative	case	PUNCT ADJ NOUN PUNCT VERB PROPN ADV VERB	▁" ▁Good ▁rid d ance , ▁" ▁said ▁Fa y e , ▁smart ly , ▁laugh ing .	0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT ADJ NOUN NOUN NOUN NOUN PUNCT VERB PROPN PROPN PROPN PROPN ADV ADV ADV VERB VERB VERB
In ‘ All change’(April 27th ), the Reform Party of Canada, led by Preston Manning, is represented as separatist, and its supporters as having ‘ a good riddance to Quebec’ attitude which must be purged.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	good riddance	figurative	identical	ADP PUNCT DET NOUN NOUN PUNCT DET PROPN PROPN ADP PROPN VERB ADP PROPN PROPN VERB VERB ADP NOUN CCONJ ADJ NOUN ADP VERB PRON DET ADJ NOUN ADP NOUN NOUN ADJ VERB VERB VERB	▁In ▁ ‘ ▁All ▁change ’ ( April ▁27 th ▁ ), ▁the ▁Reform ▁Party ▁of ▁Canada , ▁led ▁by ▁Pre s ton ▁Mann ing , ▁is ▁represented ▁as ▁separat ist , ▁and ▁its ▁supporters ▁as ▁having ▁ ‘ ▁a ▁good ▁rid d ance ▁to ▁Que be c ’ ▁attitude ▁which ▁must ▁be ▁purge d .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP PUNCT PUNCT DET NOUN NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT DET PROPN PROPN ADP PROPN PROPN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADP NOUN NOUN NOUN CCONJ ADJ NOUN ADP VERB PRON PRON DET ADJ NOUN NOUN NOUN ADP NOUN NOUN NOUN NOUN NOUN ADJ VERB VERB VERB VERB VERB
' Good riddance, ' shouted Sheila.	0 1 1 0 0 0	good riddance	figurative	case	PUNCT ADJ NOUN PUNCT VERB PROPN	▁' ▁Good ▁rid d ance , ▁' ▁shout ed ▁She ila .	0 1 1 1 1 1 0 0 0 0 0 0	PUNCT ADJ NOUN NOUN NOUN NOUN PUNCT VERB VERB PROPN PROPN PROPN
Once the outer door had banged shut, Matey said, violently for her, ' Good riddance to bad rubbish!	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	good riddance	figurative	case	ADP DET ADJ NOUN VERB VERB VERB PROPN VERB ADV ADP PRON PUNCT ADJ NOUN ADP ADJ NOUN	▁Once ▁the ▁outer ▁door ▁had ▁ban g ed ▁shut , ▁Mat ey ▁said , ▁violent ly ▁for ▁her , ▁' ▁Good ▁rid d ance ▁to ▁bad ▁rubbish !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	ADP DET ADJ NOUN VERB VERB VERB VERB VERB VERB PROPN PROPN VERB VERB ADV ADV ADP PRON PRON PUNCT ADJ NOUN NOUN NOUN ADP ADJ NOUN NOUN
Although one can say good riddance to it, I do not wish there to be a return to the past, as the Opposition propose.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	ADP PRON VERB VERB ADJ NOUN ADP PRON PRON VERB ADV VERB ADV PART VERB DET NOUN ADP DET NOUN ADP DET PROPN NOUN	▁Although ▁one ▁can ▁say ▁good ▁rid d ance ▁to ▁it , ▁I ▁do ▁not ▁wish ▁there ▁to ▁be ▁a ▁return ▁to ▁the ▁past , ▁as ▁the ▁Opposition ▁propose .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB ADJ NOUN NOUN NOUN ADP PRON PRON PRON VERB ADV VERB ADV PART VERB DET NOUN ADP DET NOUN NOUN ADP DET PROPN NOUN NOUN
As I told Denny d'Arcy, the Sidcombe manager, when I rang up to say good riddance, ‘ We are just the amoeba on the European footer lake.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	ADP PRON VERB PROPN NOUN DET PROPN NOUN ADV PRON VERB PART PART VERB ADJ NOUN PUNCT PRON VERB ADV DET NOUN ADP DET ADJ NOUN NOUN	▁As ▁I ▁told ▁Den ny ▁d ' Ar cy , ▁the ▁S id com be ▁manager , ▁when ▁I ▁ rang ▁up ▁to ▁say ▁good ▁rid d ance , ▁ ‘ ▁We ▁are ▁just ▁the ▁am oe ba ▁on ▁the ▁European ▁foot er ▁lake .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB PROPN PROPN NOUN NOUN NOUN NOUN NOUN DET PROPN PROPN PROPN PROPN NOUN NOUN ADV PRON VERB VERB PART PART VERB ADJ NOUN NOUN NOUN NOUN PUNCT PUNCT PRON VERB ADV DET NOUN NOUN NOUN ADP DET ADJ NOUN NOUN NOUN NOUN
So any docks, dandelions and creeping buttercup go straight to the tip and good riddance to them too.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	good riddance	figurative	identical	ADV DET NOUN NOUN CCONJ VERB NOUN VERB ADV ADP DET NOUN CCONJ ADJ NOUN ADP PRON ADV	▁So ▁any ▁dock s , ▁d and el ions ▁and ▁creep ing ▁butter c up ▁go ▁straight ▁to ▁the ▁tip ▁and ▁good ▁rid d ance ▁to ▁them ▁too .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	ADV DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ VERB VERB NOUN NOUN NOUN VERB ADV ADP DET NOUN CCONJ ADJ NOUN NOUN NOUN ADP PRON ADV ADV
