She was about to say so, in no uncertain terms, but stopped herself at the last moment.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON VERB ADJ PART VERB ADV ADP DET ADJ NOUN CCONJ VERB PRON ADP DET ADJ NOUN
In fact, the three of us, all with duty - free Marlboros well alight, were shown the door in no uncertain terms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	in no uncertain terms	figurative	identical	ADP NOUN DET NUM ADP PRON ADV ADP NOUN PUNCT ADJ PROPN ADV NOUN VERB VERB DET NOUN ADP DET ADJ NOUN
The miniature St Christopher on it had a brief treat before Sorrel cooled him off in no uncertain terms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	in no uncertain terms	figurative	identical	DET NOUN PROPN PROPN ADP PRON VERB DET ADJ NOUN ADP PROPN VERB PRON PART ADP DET ADJ NOUN
A close friend confirmed : ‘ He told her in no uncertain terms that she had to consider the repercussions of her actions to the Queen.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	DET ADJ NOUN VERB PUNCT PUNCT PRON VERB PRON ADP DET ADJ NOUN ADP PRON VERB PART VERB DET NOUN ADP ADJ NOUN ADP DET PROPN
She had told him in no uncertain terms, on more than one occasion, that she wanted no more to do with him.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON VERB VERB PRON ADP DET ADJ NOUN ADP ADJ ADP NUM NOUN ADP PRON VERB ADV ADV PART VERB ADP PRON
The behaviour of the buffaloes, the kakar, of Jim Corbett himself, and the hunting plans of the tigress all tell us this in no uncertain terms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	in no uncertain terms	figurative	identical	DET NOUN ADP DET NOUN DET NOUN ADP PROPN PROPN PRON CCONJ DET NOUN NOUN ADP DET NOUN DET VERB PRON DET ADP DET ADJ NOUN
Mr Brandreth met with Mr Hanley and told him in no uncertain terms that the people of Chester were far from happy with the decision to go to Glasgow.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PROPN PROPN VERB ADP PROPN PROPN CCONJ VERB PRON ADP DET ADJ NOUN ADP DET NOUN ADP PROPN VERB ADV ADP ADJ ADP DET NOUN PART VERB ADP PROPN
He had found them scruffy, and had said so in no uncertain terms.	0 0 0 0 0 0 0 0 0 1 1 1 1	in no uncertain terms	figurative	identical	PRON VERB VERB PRON ADJ CCONJ VERB VERB ADV ADP DET ADJ NOUN
‘ Yous all too late fer lunch, dat finished gone an hour ago,’ she informed them in no uncertain terms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	in no uncertain terms	figurative	identical	PUNCT ADJ ADV ADV ADJ NOUN NOUN NOUN VERB VERB DET NOUN ADP PRON VERB PRON ADP DET ADJ NOUN
No it does not, young man, snapped the magistrate in no uncertain terms and explained how it all worked to me.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	INTJ PRON VERB ADV ADJ NOUN VERB DET NOUN ADP DET ADJ NOUN CCONJ VERB ADV PRON DET VERB ADP PRON
What was more, I would tell him so, in no uncertain terms …	0 0 0 0 0 0 0 0 1 1 1 1 0	in no uncertain terms	figurative	identical	NOUN VERB ADJ PRON VERB VERB PRON ADV ADP DET ADJ NOUN PUNCT
Mr Delors should be told in no uncertain terms that his job is to stick up for the whole of the EC not just for France.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PROPN NOUN VERB VERB VERB ADP DET ADJ NOUN ADP ADJ NOUN VERB PART VERB PART ADP DET NOUN ADP DET PROPN ADV ADV ADP PROPN
I asked her to be my wife, and was rebuffed in no uncertain terms.’	0 0 0 0 0 0 0 0 0 0 1 1 1 1	in no uncertain terms	figurative	dashes	PRON VERB PRON PART VERB ADJ NOUN CCONJ VERB VERB ADP DET ADJ PUNCT
What is more, she said so — in no uncertain terms.	0 0 0 0 0 0 0 1 1 1 1	in no uncertain terms	figurative	identical	NOUN VERB ADJ PRON VERB ADV PUNCT ADP DET ADJ NOUN
But So far the Serbs seem not to care about their world image so the MP suggests they need to be told in no uncertain terms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	in no uncertain terms	figurative	identical	CCONJ ADV ADV DET PROPN VERB ADV PART VERB ADP ADJ NOUN NOUN ADP DET PROPN VERB PRON VERB PART VERB VERB ADP DET ADJ NOUN
Then when, a few months later, I met the man who was to become my husband, I was told in no uncertain terms that Helen — wouldn't you know it?— did not approve.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	ADV ADV DET ADJ NOUN ADV PRON VERB DET NOUN NOUN VERB PART VERB ADJ NOUN PRON VERB VERB ADP DET ADJ NOUN ADP PROPN PUNCT VERB PRON VERB NOUN VERB ADV VERB
It is also good news that Naisbitt's consultants are telling top managers in some American firms in no uncertain terms about the importance of participatory democracy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON VERB ADV ADJ NOUN ADP PROPN NOUN VERB VERB ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NOUN NOUN
When in the same issue the journal reviewed Why Men Forget we are reminded of just how many social melodramas there were for this film showed a Socialist spokesman being discharged from a factory and ‘ denouncing wealth in no uncertain terms’ before inheriting wealth and marrying a society girl and finally deciding to return to the poor folk from whence he came.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	dashes	ADV ADP DET ADJ NOUN DET NOUN VERB ADV PROPN PROPN PRON VERB VERB ADP ADV ADV ADJ ADJ NOUN ADV VERB ADP DET NOUN VERB DET ADJ NOUN VERB VERB ADP DET NOUN CCONJ PUNCT VERB NOUN ADP DET ADJ NOUN ADP VERB NOUN CCONJ VERB DET NOUN NOUN CCONJ ADV VERB PART VERB ADP DET ADJ NOUN ADP NOUN PRON VERB
He was being told in no uncertain terms that he could come out of all this as the loving, caring father who would do anything to keep his daughter's reputation ; who welcomed her choice of husband with open arms ; who would not bow down in the face of adversity, but would rise up and conquer it.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON VERB VERB VERB ADP DET ADJ NOUN ADP PRON VERB VERB ADP ADP ADJ DET ADP DET NOUN VERB NOUN NOUN VERB VERB NOUN PART VERB ADJ NOUN NOUN PUNCT NOUN VERB ADJ NOUN ADP NOUN ADP ADJ NOUN PUNCT NOUN VERB ADV VERB PART ADP DET NOUN ADP NOUN CCONJ VERB VERB PART CCONJ VERB PRON
He succeeded in no uncertain terms.	0 0 1 1 1 1	in no uncertain terms	figurative	identical	PRON VERB ADP DET ADJ NOUN
Those coming into leadership are told in no uncertain terms what their task is to be.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	in no uncertain terms	figurative	identical	DET VERB ADP NOUN VERB VERB ADP DET ADJ NOUN NOUN ADJ NOUN VERB PART VERB
She would write, when she was away from here, tell him in no uncertain terms exactly what she thought of him.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON VERB VERB ADV PRON VERB ADV ADP ADV VERB PRON ADP DET ADJ NOUN ADV NOUN PRON VERB ADP PRON
In fact, he had told her in no uncertain terms to go forth and multiply.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	in no uncertain terms	figurative	identical	ADP NOUN PRON VERB VERB PRON ADP DET ADJ NOUN PART VERB ADV CCONJ VERB
Florrie told her in no uncertain terms that she would have to get used to it.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PROPN VERB PRON ADP DET ADJ NOUN ADP PRON VERB VERB PART VERB VERB ADP PRON
When my Noble Friend er produced the Bill of the first er er case and it went er came to secondary reading, your Lordships did explain in no uncertain terms of the various matters about which your Lordships were concerned.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	ADV ADJ PROPN PROPN INTJ VERB DET PROPN ADP DET ADJ INTJ INTJ NOUN CCONJ PRON VERB INTJ VERB ADP ADJ NOUN ADJ PROPN VERB VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADP ADJ ADJ PROPN VERB VERB
An American Supreme Court judge once said that any ‘ lawyer worth his salt will tell the suspect in no uncertain terms to make no statement to the police under any circumstances’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	DET PROPN PROPN PROPN NOUN ADV VERB ADP DET PUNCT NOUN ADJ ADJ NOUN VERB VERB DET NOUN ADP DET ADJ NOUN PART VERB DET NOUN ADP DET NOUN ADP DET NOUN
Knowing that the carp will not have as much energy as when I first hooked it, I pile on the pressure in no uncertain terms, and the fish swings round and immediately makes for the same lily bed it took refuge in previously.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	VERB ADP DET NOUN VERB ADV VERB ADV ADJ NOUN ADP ADV PRON ADV VERB PRON PRON VERB ADP DET NOUN ADP DET ADJ NOUN CCONJ DET NOUN VERB ADV CCONJ ADV VERB ADP DET ADJ NOUN NOUN PRON VERB NOUN ADP ADV
The employers were told in no uncertain terms that " when a favourable opportunity presented itself, he would " submit his proposition anew ".	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	DET NOUN VERB VERB ADP DET ADJ NOUN ADP PUNCT ADV DET ADJ NOUN VERB PRON PRON VERB PUNCT VERB ADJ NOUN ADV PUNCT
They want the thing to be sorted out properly in Brussels and they want the French authorities to be told in no uncertain terms that it's their job to control the activities of their farmers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON VERB DET NOUN PART VERB VERB PART ADV ADP PROPN CCONJ PRON VERB DET ADJ NOUN PART VERB VERB ADP DET ADJ NOUN ADP PRON ADJ NOUN PART VERB DET NOUN ADP ADJ NOUN
On 23 April he told Russia's foreign minister, Vyacheslav Molotov, in no uncertain terms, that Russia must until its agreements with America in full in future.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	ADP NUM PROPN PRON VERB PROPN ADJ NOUN PROPN PROPN ADP DET ADJ NOUN ADP PROPN VERB ADP ADJ NOUN ADP PROPN ADP ADJ ADP NOUN
They now told him, in no uncertain terms, that if he had something important to communicate, he could do it in the plant car park during the lunch break, or after working hours.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON ADV VERB PRON ADP DET ADJ NOUN ADP ADP PRON VERB NOUN ADJ PART VERB PRON VERB VERB PRON ADP DET NOUN NOUN NOUN ADP DET NOUN NOUN CCONJ ADP VERB NOUN
One or two journalists were told, in no uncertain terms, that they were not welcome outside the extravagantly converted family home —‘The Ponderosa’ as it is known locally — or at the windswept graveside where Arthur Thompson was buried.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	NUM CCONJ NUM NOUN VERB VERB ADP DET ADJ NOUN ADP PRON VERB ADV ADJ ADP DET ADV VERB NOUN NOUN PROPN PROPN ADP PRON VERB VERB ADV PUNCT CCONJ ADP DET VERB NOUN ADV PROPN PROPN VERB VERB
They were apprised in no uncertain terms of the matters requiring attention which have caused worry, and disturbed the otherwise even tenor of life in our Village.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON VERB VERB ADP DET ADJ NOUN ADP DET NOUN VERB NOUN ADJ VERB VERB NOUN CCONJ VERB DET ADV ADV NOUN ADP NOUN ADP ADJ NOUN
The Club will make the necessary arrangements, but no - one is allowed to go into town before clearing immigration nor should the skipper or any of the crew visit immigration as they will be told, in no uncertain terms, to return to the club immediately.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	in no uncertain terms	figurative	identical	DET PROPN VERB VERB DET ADJ NOUN CCONJ DET PUNCT NOUN VERB VERB PART VERB ADP NOUN ADP VERB NOUN CCONJ VERB DET NOUN CCONJ DET ADP DET NOUN NOUN NOUN ADP PRON VERB VERB VERB ADP DET ADJ NOUN PART VERB ADP DET NOUN ADV
Finally a woman I worked with told me in no uncertain terms that she had no such desire, which threw me utterly.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	ADV DET NOUN PRON VERB ADP VERB PRON ADP DET ADJ NOUN ADP PRON VERB DET ADJ NOUN ADJ VERB PRON ADV
Now yer know what a cowson that Frank is. ' E told ' er ter piss orf out of it in no uncertain terms an ' Maudie told ' i m she was gon na send ' er ole man round ter sort ' i m out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	ADV INTJ VERB NOUN DET NOUN ADJ PROPN VERB PUNCT NOUN VERB PUNCT INTJ X ADJ NOUN ADP ADP PRON ADP DET ADJ NOUN DET PUNCT PROPN VERB PUNCT PRON VERB PRON VERB VERB PART VERB PUNCT INTJ ADJ NOUN ADP DET NOUN PUNCT PRON VERB PART
He said so in no uncertain terms.	0 0 0 1 1 1 1	in no uncertain terms	figurative	identical	PRON VERB ADV ADP DET ADJ NOUN
