A tinker accosted me in the bar, asking for a glass of brandy, but I gave him short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	DET NOUN VERB PRON ADP DET NOUN VERB ADP DET NOUN ADP NOUN CCONJ PRON VERB PRON ADJ NOUN
If you feel you often get unnecessarily short shrift in your interviews with professionals a question you must ask yourself is whether you have created an unfavourable impression by wasting their time in the past.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	ADP PRON VERB PRON ADV VERB ADV ADJ NOUN ADP ADJ NOUN ADP NOUN DET NOUN PRON VERB VERB PRON VERB ADP PRON VERB VERB DET ADJ NOUN ADP VERB ADJ NOUN ADP DET NOUN
Ecuador has received short shrift in U.S. policy debates.	0 0 0 1 1 0 0 0 0	short shrift	figurative	identical	PROPN VERB VERB ADJ NOUN ADP PROPN NOUN NOUN
Similarly, unless there is evidence that sabotage was a genuine risk, for instance in the light of past experiences with other redundant employees, an argument based on that fear will generally receive short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	ADV ADP ADV VERB NOUN DET NOUN VERB DET ADJ NOUN ADP NOUN ADP DET NOUN ADP ADJ NOUN ADP ADJ ADJ NOUN DET NOUN VERB ADP DET NOUN VERB ADV VERB ADJ NOUN
Many of the men in prison have poured their frustrated tenderness onto small children, and this is one reason why offenders against children receive such short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	ADJ ADP DET NOUN ADP NOUN VERB VERB ADJ ADJ NOUN ADP ADJ NOUN CCONJ DET VERB NUM NOUN ADV NOUN ADP NOUN VERB ADJ ADJ NOUN
The ECJ gave short shrift to these supposedly gender - neutral justifications.	0 0 0 1 1 0 0 0 0 0 0 0	short shrift	figurative	identical	DET PROPN VERB ADJ NOUN ADP DET ADV NOUN PUNCT ADJ NOUN
On the other hand, concurrent developments in semantics have isolated intractable phenomena of a parallel kind : presuppositions, speech acts and other context - dependent implications, together with troublesome phenomena like honorifics and discourse particles that had long been given short shrift in the work of generative grammarians Further, thought about the nature of the lexicon, and how one might construct a predictive concept of " possible lexical item ", has revealed the importance of pragmatic constraints ( see Horn, 1972 ; McCawley, 1978 ; Gazdar, 1979a : 68ff ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	ADP DET ADJ NOUN ADJ NOUN ADP NOUN VERB VERB ADJ NOUN ADP DET ADJ NOUN PUNCT NOUN NOUN NOUN CCONJ ADJ NOUN PUNCT ADJ NOUN ADV ADP ADJ NOUN ADP NOUN CCONJ NOUN NOUN ADJ VERB ADV VERB VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADV VERB ADP DET NOUN ADP DET NOUN CCONJ ADV PRON VERB VERB DET ADJ NOUN ADP PUNCT ADJ ADJ NOUN PUNCT VERB VERB DET NOUN ADP ADJ NOUN PUNCT VERB PROPN NUM PUNCT PROPN NUM PUNCT PROPN NUM PUNCT NOUN PUNCT
Why was the lignite option given such short shrift by NIE when it was raised a few years ago?	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	ADV VERB DET NOUN NOUN VERB ADJ ADJ NOUN ADP PROPN ADV PRON VERB VERB DET ADJ NOUN ADV
Each provokes fears of a social decline which in turn evokes imperial decline : ‘ that once great borough’ where men were men, women were ‘ manholes’, and queers were given short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	DET NOUN NOUN ADP DET ADJ NOUN ADJ ADP NOUN VERB ADJ NOUN PUNCT PUNCT DET ADV ADJ ADV ADV NOUN VERB NOUN NOUN VERB NUM NOUN CCONJ NOUN VERB VERB ADJ NOUN
I gave that idea short shrift.	0 0 0 0 1 1	short shrift	figurative	identical	PRON VERB DET NOUN ADJ NOUN
Under the circumstances, he's unfairly given short shrift.	0 0 0 0 0 0 1 1	short shrift	figurative	identical	ADP DET NOUN PRON ADV VERB ADJ NOUN
Thus, offenders who invoke their Protestant religion as a means of justifying some action get short shrift, although we came across only one instance where this was done.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	ADV NOUN NOUN VERB ADJ ADJ NOUN ADP DET NOUN ADP VERB DET NOUN VERB ADJ NOUN ADP PRON VERB ADP ADV NUM NOUN ADV DET VERB VERB
The popularity of road transport has meant that railways have either had short shrift, as in Britain, where investment per kilometre is about one - third that in France, or have had to be heavily subsidized, as in France and Germany.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	DET NOUN ADP NOUN NOUN VERB VERB ADP NOUN VERB CCONJ VERB ADJ NOUN ADP ADP PROPN ADV NOUN ADP NOUN VERB ADV NUM PUNCT NOUN ADP ADP PROPN CCONJ VERB VERB PART VERB ADV VERB ADP ADP PROPN CCONJ PROPN
