All pleas fell on deaf ears.	0 0 1 1 1 1	fall on deaf ears	figurative	inflection	DET NOUN VERB ADP ADJ NOUN	▁All ▁plea s ▁fell ▁on ▁deaf ▁ears .	0 0 0 1 1 1 1 1	DET NOUN NOUN VERB ADP ADJ NOUN NOUN
They formulated a programme of demands, but these fell on deaf ears in Petrograd.	0 0 0 0 0 0 0 0 1 1 1 1 0 0	fall on deaf ears	figurative	inflection	PRON VERB DET NOUN ADP NOUN CCONJ DET VERB ADP ADJ NOUN ADP PROPN	▁They ▁formulated ▁a ▁programme ▁of ▁demands , ▁but ▁these ▁fell ▁on ▁deaf ▁ears ▁in ▁Petro grad .	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	PRON VERB DET NOUN ADP NOUN NOUN CCONJ DET VERB ADP ADJ NOUN ADP PROPN PROPN PROPN
Injunctions to love the slugs in your garden may fall on deaf ears.	0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	identical	NOUN PART VERB DET NOUN ADP ADJ NOUN VERB VERB ADP ADJ NOUN	▁In junc tions ▁to ▁love ▁the ▁slu g s ▁in ▁your ▁garden ▁may ▁fall ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN NOUN NOUN PART VERB DET NOUN NOUN NOUN ADP ADJ NOUN VERB VERB ADP ADJ NOUN NOUN
Arguments that some of the skills practised by pupils are obsolete fall on deaf ears, or are heeded only very slowly.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	fall on deaf ears	figurative	identical	NOUN ADP DET ADP DET NOUN VERB ADP NOUN VERB ADJ NOUN ADP ADJ NOUN CCONJ VERB VERB ADV ADV ADV	▁Ar gu ments ▁that ▁some ▁of ▁the ▁skills ▁practised ▁by ▁pupils ▁are ▁obsolete ▁fall ▁on ▁deaf ▁ears , ▁or ▁are ▁heed ed ▁only ▁very ▁slowly .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	NOUN NOUN NOUN ADP DET ADP DET NOUN VERB ADP NOUN VERB ADJ NOUN ADP ADJ NOUN NOUN CCONJ VERB VERB VERB ADV ADV ADV ADV
For a few seconds she thought her outburst had fallen on deaf ears, then Rune said softly, ‘ Yes, of course, you 're right.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	fall on deaf ears	figurative	inflection	ADP DET ADJ NOUN PRON VERB ADJ NOUN VERB VERB ADP ADJ NOUN ADV PROPN VERB ADV PUNCT INTJ ADP NOUN PRON VERB ADJ	▁For ▁a ▁few ▁seconds ▁she ▁thought ▁her ▁out bur st ▁had ▁fallen ▁on ▁deaf ▁ears , ▁then ▁R une ▁said ▁soft ly , ▁ ‘ ▁Yes , ▁of ▁course , ▁you ▁' re ▁right .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN PRON VERB ADJ NOUN NOUN NOUN VERB VERB ADP ADJ NOUN NOUN ADV PROPN PROPN VERB ADV ADV ADV PUNCT PUNCT INTJ INTJ ADP NOUN NOUN PRON VERB VERB ADJ ADJ
Given the traditional English attachment to the extravagant version of the judicial independence doctrine, it is perhaps not surprising that even these modest calls for reform should have fallen on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	VERB DET ADJ ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN NOUN PRON VERB ADV ADV ADJ ADP ADV DET ADJ NOUN ADP NOUN VERB VERB VERB ADP ADJ NOUN	▁Given ▁the ▁traditional ▁English ▁attachment ▁to ▁the ▁extra va g ant ▁version ▁of ▁the ▁judicial ▁independence ▁doctrine , ▁it ▁is ▁perhaps ▁not ▁surprising ▁that ▁even ▁these ▁modest ▁calls ▁for ▁reform ▁should ▁have ▁fallen ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	VERB DET ADJ ADJ NOUN ADP DET ADJ ADJ ADJ ADJ NOUN ADP DET ADJ NOUN NOUN NOUN PRON VERB ADV ADV ADJ ADP ADV DET ADJ NOUN ADP NOUN VERB VERB VERB ADP ADJ NOUN NOUN
Voice of reason falls on deaf ears	0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	PROPN ADP NOUN VERB ADP ADJ NOUN	▁Vo ice ▁of ▁reason ▁falls ▁on ▁deaf ▁ears	0 0 0 0 1 1 1 1	PROPN PROPN ADP NOUN VERB ADP ADJ NOUN
Claims by Mr Major and others that a Labour administration would be heavily influenced if not controlled by the unions appeared to fall on deaf ears as union leaders kept a low profile.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	fall on deaf ears	figurative	identical	NOUN ADP PROPN PROPN CCONJ NOUN ADP DET PROPN NOUN VERB VERB ADV VERB ADP ADV VERB ADP DET NOUN VERB PART VERB ADP ADJ NOUN ADP NOUN NOUN VERB DET ADJ NOUN	▁Claims ▁by ▁Mr ▁Major ▁and ▁others ▁that ▁a ▁Labour ▁administration ▁would ▁be ▁heavily ▁influenced ▁if ▁not ▁controlled ▁by ▁the ▁unions ▁appeared ▁to ▁fall ▁on ▁deaf ▁ears ▁as ▁union ▁leaders ▁kept ▁a ▁low ▁profile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	NOUN ADP PROPN PROPN CCONJ NOUN ADP DET PROPN NOUN VERB VERB ADV VERB ADP ADV VERB ADP DET NOUN VERB PART VERB ADP ADJ NOUN ADP NOUN NOUN VERB DET ADJ NOUN NOUN
In February he was told that Britain would probably be invading Norway soon, but his pleas to be in place beforehand fell on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	ADP PROPN PRON VERB VERB ADP PROPN VERB ADV VERB VERB PROPN ADV CCONJ ADJ NOUN PART VERB ADP NOUN ADV VERB ADP ADJ NOUN	▁In ▁February ▁he ▁was ▁told ▁that ▁Britain ▁would ▁probably ▁be ▁in v ading ▁Norway ▁soon , ▁but ▁his ▁plea s ▁to ▁be ▁in ▁place ▁beforehand ▁fell ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP PROPN PRON VERB VERB ADP PROPN VERB ADV VERB VERB VERB VERB PROPN ADV ADV CCONJ ADJ NOUN NOUN PART VERB ADP NOUN ADV VERB ADP ADJ NOUN NOUN
This seemed to be falling on deaf ears.	0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	DET VERB PART VERB VERB ADP ADJ NOUN	▁This ▁seemed ▁to ▁be ▁falling ▁on ▁deaf ▁ears .	0 0 0 0 1 1 1 1 1	DET VERB PART VERB VERB ADP ADJ NOUN NOUN
Pleas for housing made at council meetings, he said, had fallen on deaf ears.	0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	NOUN ADP NOUN VERB ADP NOUN NOUN PRON VERB VERB VERB ADP ADJ NOUN	▁P lea s ▁for ▁housing ▁made ▁at ▁council ▁meetings , ▁he ▁said , ▁had ▁fallen ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN NOUN NOUN ADP NOUN VERB ADP NOUN NOUN NOUN PRON VERB VERB VERB VERB ADP ADJ NOUN NOUN
Clearly it fell on deaf ears.	0 0 1 1 1 1	fall on deaf ears	figurative	inflection	ADV PRON VERB ADP ADJ NOUN	▁Clearly ▁it ▁fell ▁on ▁deaf ▁ears .	0 0 1 1 1 1 1	ADV PRON VERB ADP ADJ NOUN NOUN
But unfortunately er it seems to fall on many deaf ears and we the Society as other many charities who deal with animals are left to pick up the pieces.	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall on deaf ears	figurative	insertion-other	CCONJ ADV INTJ PRON VERB PART VERB ADP ADJ ADJ NOUN CCONJ PRON DET PROPN ADP ADJ ADJ NOUN NOUN VERB ADP NOUN VERB VERB PART VERB PART DET NOUN	▁But ▁unfortunately ▁er ▁it ▁seems ▁to ▁fall ▁on ▁many ▁deaf ▁ears ▁and ▁we ▁the ▁Society ▁as ▁other ▁many ▁char ities ▁who ▁deal ▁with ▁animals ▁are ▁left ▁to ▁pick ▁up ▁the ▁pieces .	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV INTJ PRON VERB PART VERB ADP ADJ ADJ NOUN CCONJ PRON DET PROPN ADP ADJ ADJ NOUN NOUN NOUN VERB ADP NOUN VERB VERB PART VERB PART DET NOUN NOUN
Appeals from Democratic Party leaders for the candidates to cool it have apparently fallen on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	NOUN ADP PROPN PROPN NOUN ADP DET NOUN PART VERB PRON VERB ADV VERB ADP ADJ NOUN	▁Appeal s ▁from ▁Democrati c ▁Party ▁leaders ▁for ▁the ▁candidates ▁to ▁cool ▁it ▁have ▁apparently ▁fallen ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN NOUN ADP PROPN PROPN PROPN NOUN ADP DET NOUN PART VERB PRON VERB ADV VERB ADP ADJ NOUN NOUN
Ted Dexter, England's chairman of selectors, last year appealed to counties to give their international players time off after tours — a request which mainly fell on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	PROPN PROPN PROPN NOUN ADP NOUN ADJ NOUN VERB ADP NOUN PART VERB ADJ ADJ NOUN NOUN PART ADP NOUN PUNCT DET NOUN ADJ ADV VERB ADP ADJ NOUN	▁T ed ▁De xter , ▁England ' s ▁chairman ▁of ▁selector s , ▁last ▁year ▁appealed ▁to ▁counties ▁to ▁give ▁their ▁international ▁players ▁time ▁off ▁after ▁to urs ▁ — ▁a ▁request ▁which ▁mainly ▁fell ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADP NOUN NOUN NOUN ADJ NOUN VERB ADP NOUN PART VERB ADJ ADJ NOUN NOUN PART ADP NOUN NOUN PUNCT PUNCT DET NOUN ADJ ADV VERB ADP ADJ NOUN NOUN
Her assurances fell on deaf ears.	0 0 1 1 1 1	fall on deaf ears	figurative	inflection	ADJ NOUN VERB ADP ADJ NOUN	▁Her ▁assurances ▁fell ▁on ▁deaf ▁ears .	0 0 1 1 1 1 1	ADJ NOUN VERB ADP ADJ NOUN NOUN
His appeal fell on deaf ears.	0 0 1 1 1 1	fall on deaf ears	figurative	inflection	ADJ NOUN VERB ADP ADJ NOUN	▁His ▁appeal ▁fell ▁on ▁deaf ▁ears .	0 0 1 1 1 1 1	ADJ NOUN VERB ADP ADJ NOUN NOUN
She had tried everything … appealing to common sense, persuasion, threats … but it all fell on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	PRON VERB VERB NOUN VERB VERB ADP ADJ NOUN NOUN NOUN PUNCT CCONJ PRON DET VERB ADP ADJ NOUN	▁She ▁had ▁tried ▁everything ▁... ▁appeal ing ▁to ▁common ▁sense , ▁persuasion , ▁threats ▁... ▁but ▁it ▁all ▁fell ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB NOUN VERB VERB VERB ADP ADJ NOUN NOUN NOUN NOUN NOUN PUNCT CCONJ PRON DET VERB ADP ADJ NOUN NOUN
Their advice, even today when it is more flexible and politically sensitive, consequently often falls on deaf ears, not because the economic logic is at fault but because the political factors in the equation are both unquantifiable and subjective for the decision takers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall on deaf ears	figurative	inflection	ADJ NOUN ADV NOUN ADV PRON VERB ADV ADJ CCONJ ADV ADJ ADV ADV VERB ADP ADJ NOUN ADV ADP DET ADJ NOUN VERB ADP NOUN CCONJ ADP DET ADJ NOUN ADP DET NOUN VERB DET ADJ CCONJ ADJ ADP DET NOUN NOUN	▁The ir ▁advice , ▁even ▁today ▁when ▁it ▁is ▁more ▁flexible ▁and ▁political ly ▁sensitive , ▁consequently ▁often ▁falls ▁on ▁deaf ▁ears , ▁not ▁because ▁the ▁economic ▁logic ▁is ▁at ▁fault ▁but ▁because ▁the ▁political ▁factors ▁in ▁the ▁equation ▁are ▁both ▁un quant ifi able ▁and ▁subject ive ▁for ▁the ▁decision ▁take rs .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN NOUN ADV NOUN ADV PRON VERB ADV ADJ CCONJ ADV ADV ADJ ADJ ADV ADV VERB ADP ADJ NOUN NOUN ADV ADP DET ADJ NOUN VERB ADP NOUN CCONJ ADP DET ADJ NOUN ADP DET NOUN VERB DET ADJ ADJ ADJ ADJ CCONJ ADJ ADJ ADP DET NOUN NOUN NOUN NOUN
Those words fell on deaf ears.	0 0 1 1 1 1	fall on deaf ears	figurative	inflection	DET NOUN VERB ADP ADJ NOUN	▁T hose ▁words ▁fell ▁on ▁deaf ▁ears .	0 0 0 1 1 1 1 1	DET DET NOUN VERB ADP ADJ NOUN NOUN
Calls for BOLA, the bookmakers ' association which represents the majority of High Street betting shops, to reveal the coups that failed have fallen on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	NOUN ADP PROPN DET NOUN PART NOUN ADJ VERB DET NOUN ADP PROPN PROPN NOUN NOUN PART VERB DET NOUN ADJ VERB VERB VERB ADP ADJ NOUN	▁Calls ▁for ▁B OLA , ▁the ▁book makers ▁' ▁association ▁which ▁represents ▁the ▁majority ▁of ▁High ▁Street ▁b etting ▁shops , ▁to ▁reveal ▁the ▁coup s ▁that ▁failed ▁have ▁fallen ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN ADP PROPN PROPN PROPN DET NOUN NOUN PART NOUN ADJ VERB DET NOUN ADP PROPN PROPN NOUN NOUN NOUN NOUN PART VERB DET NOUN NOUN ADJ VERB VERB VERB ADP ADJ NOUN NOUN
Kate's bitter yell of denial appeared to fall on deaf ears and she spun away on her heel, more than ready to take sanctuary in her own smaller room.	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall on deaf ears	figurative	identical	PROPN ADJ NOUN ADP NOUN VERB PART VERB ADP ADJ NOUN CCONJ PRON VERB ADV ADP ADJ NOUN ADV ADP ADJ PART VERB NOUN ADP ADJ ADJ ADJ NOUN	▁K ate ' s ▁bitter ▁ye ll ▁of ▁denial ▁appeared ▁to ▁fall ▁on ▁deaf ▁ears ▁and ▁she ▁spun ▁away ▁on ▁her ▁heel , ▁more ▁than ▁ready ▁to ▁take ▁sanctuary ▁in ▁her ▁own ▁smaller ▁room .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN ADJ NOUN NOUN ADP NOUN VERB PART VERB ADP ADJ NOUN CCONJ PRON VERB ADV ADP ADJ NOUN NOUN ADV ADP ADJ PART VERB NOUN ADP ADJ ADJ ADJ NOUN NOUN
