Mostly she deals with moral issues, though some are topical or ‘ tongue in cheek’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	dashes	ADV PRON VERB ADP ADJ NOUN ADP DET VERB ADJ CCONJ PUNCT NOUN ADP NOUN	▁Most ly ▁she ▁deals ▁with ▁moral ▁issues , ▁though ▁some ▁are ▁topical ▁or ▁ ‘ ▁tongue ▁in ▁che ek ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADV ADV PRON VERB ADP ADJ NOUN NOUN ADP DET VERB ADJ CCONJ PUNCT PUNCT NOUN ADP NOUN NOUN NOUN NOUN
This is not a merely tongue - in - cheek reaction to such arguments as that of Meillassoux.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET VERB ADV DET ADV NOUN PUNCT ADP PUNCT NOUN NOUN ADP ADJ NOUN ADP DET ADP PROPN	▁This ▁is ▁not ▁a ▁mere ly ▁tongue ▁- ▁in ▁- ▁che ek ▁reaction ▁to ▁such ▁arguments ▁as ▁that ▁of ▁Me ill asso ux .	0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB ADV DET ADV ADV NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP ADJ NOUN ADP DET ADP PROPN PROPN PROPN PROPN PROPN
It is the trick of the big - stage musical number but applied to circus with finesse and much tongue - in - cheek humour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	tongue in cheek	figurative	dashes	PRON VERB DET NOUN ADP DET ADJ PUNCT NOUN ADJ NOUN CCONJ VERB ADP VERB ADP NOUN CCONJ ADJ NOUN PUNCT ADP PUNCT NOUN NOUN	▁It ▁is ▁the ▁trick ▁of ▁the ▁big ▁- ▁stage ▁music al ▁number ▁but ▁applied ▁to ▁circus ▁with ▁fines se ▁and ▁much ▁tongue ▁- ▁in ▁- ▁che ek ▁h umour .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0	PRON VERB DET NOUN ADP DET ADJ PUNCT NOUN ADJ ADJ NOUN CCONJ VERB ADP VERB ADP NOUN NOUN CCONJ ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN NOUN
It was The Lost Boys, a lashing tongue - in - cheek tale of small town, rock ' n'roll vampires who image - wise, at least, owed more to Guns N ' Roses than Vincent Price, that brought Kiefer Sutherland into the movie worlds big league.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PRON VERB DET VERB PROPN DET VERB NOUN PUNCT ADP PUNCT NOUN NOUN ADP ADJ NOUN NOUN PART NOUN NOUN NOUN VERB PUNCT ADJ ADP ADJ VERB ADJ ADP PROPN PROPN PUNCT PROPN ADP PROPN PROPN ADJ VERB PROPN PROPN ADP DET NOUN VERB ADJ NOUN	▁It ▁was ▁The ▁L ost ▁Boy s , ▁a ▁la shing ▁tongue ▁- ▁in ▁- ▁che ek ▁ tale ▁of ▁small ▁town , ▁rock ▁' ▁n ' roll ▁v amp ire s ▁who ▁image ▁- ▁wise , ▁at ▁least , ▁owed ▁more ▁to ▁Gu ns ▁N ▁' ▁Rose s ▁than ▁Vincent ▁Price , ▁that ▁brought ▁K ie fer ▁Su therland ▁into ▁the ▁mo vie ▁world s ▁big ▁league .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET VERB VERB PROPN PROPN PROPN DET VERB VERB NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN NOUN PART NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB PUNCT ADJ ADJ ADP ADJ ADJ VERB ADJ ADP PROPN PROPN PROPN PUNCT PROPN PROPN ADP PROPN PROPN PROPN ADJ VERB PROPN PROPN PROPN PROPN PROPN ADP DET NOUN NOUN VERB VERB ADJ NOUN NOUN
Although there is a huge element of tongue - in - cheek wackiness about the script, it lacks the sophistication or the intelligence needed to carry it off.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADP ADV VERB DET ADJ NOUN ADP NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET NOUN PRON VERB DET NOUN CCONJ DET NOUN VERB PART VERB PRON PART	▁Although ▁there ▁is ▁a ▁huge ▁element ▁of ▁tongue ▁- ▁in ▁- ▁che ek ▁w ack iness ▁about ▁the ▁ script , ▁it ▁lack s ▁the ▁so ph istic ation ▁or ▁the ▁intelligence ▁needed ▁to ▁carry ▁it ▁off .	0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV VERB DET ADJ NOUN ADP NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN NOUN ADP DET NOUN NOUN NOUN PRON VERB VERB DET NOUN NOUN NOUN NOUN CCONJ DET NOUN VERB PART VERB PRON PART PART
I mean, I 'm saying that with tongue in cheek because they 've got to come to our place.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PRON VERB PRON VERB VERB ADP ADP NOUN ADP NOUN ADP PRON VERB VERB PART VERB ADP ADJ NOUN	▁I ▁mean , ▁I ▁' m ▁saying ▁that ▁with ▁tongue ▁in ▁che ek ▁because ▁they ▁' ve ▁got ▁to ▁come ▁to ▁our ▁place .	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PRON VERB VERB VERB ADP ADP NOUN ADP NOUN NOUN ADP PRON VERB VERB VERB PART VERB ADP ADJ NOUN NOUN
By the look in his eye I could tell that he was speaking tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	ADP DET NOUN ADP ADJ NOUN PRON VERB VERB ADP PRON VERB VERB NOUN ADP NOUN	▁By ▁the ▁look ▁in ▁his ▁eye ▁I ▁could ▁tell ▁that ▁he ▁was ▁speaking ▁tongue ▁in ▁che ek .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP DET NOUN ADP ADJ NOUN PRON VERB VERB ADP PRON VERB VERB NOUN ADP NOUN NOUN NOUN
The whole of the introduction was a solemnly tongue - in - cheek exposition of this notion, though Greg had the impression that later the joke rather ran out of steam ( as the book very nearly did run out of authors to treat ).	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN ADP DET NOUN VERB DET ADV NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET NOUN ADP PROPN VERB DET NOUN ADP ADV DET NOUN ADV VERB ADP ADP NOUN PUNCT ADP DET NOUN ADV ADV VERB VERB ADP ADP NOUN PART VERB PUNCT	▁The ▁whole ▁of ▁the ▁introduction ▁was ▁a ▁solemn ly ▁tongue ▁- ▁in ▁- ▁che ek ▁ex position ▁of ▁this ▁notion , ▁though ▁Gre g ▁had ▁the ▁impression ▁that ▁later ▁the ▁joke ▁rather ▁ran ▁out ▁of ▁steam ▁( ▁as ▁the ▁book ▁very ▁nearly ▁did ▁run ▁out ▁of ▁authors ▁to ▁treat ▁ ).	0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET NOUN VERB DET ADV ADV NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN ADP DET NOUN NOUN ADP PROPN PROPN VERB DET NOUN ADP ADV DET NOUN ADV VERB ADP ADP NOUN PUNCT ADP DET NOUN ADV ADV VERB VERB ADP ADP NOUN PART VERB PUNCT PUNCT
I don't think he's right in what he says but I think it might have been a bit tongue in cheek as well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	tongue in cheek	figurative	identical	PRON VERB VERB PRON ADJ ADP NOUN PRON VERB CCONJ PRON VERB PRON VERB VERB VERB DET NOUN NOUN ADP NOUN ADV ADV	▁I ▁don ' t ▁think ▁he ' s ▁right ▁in ▁what ▁he ▁says ▁but ▁I ▁think ▁it ▁might ▁have ▁been ▁a ▁bit ▁tongue ▁in ▁che ek ▁as ▁well .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	PRON VERB VERB VERB VERB PRON PRON PRON ADJ ADP NOUN PRON VERB CCONJ PRON VERB PRON VERB VERB VERB DET NOUN NOUN ADP NOUN NOUN ADV ADV ADV
The point is that black people are not only at a disadvantage in the job market on account of their colour, they also perceive sharply that this is so and, despite Johnson's tongue - in - cheek addendum, the consciousness of belonging to a group which feels itself to be at a disadvantage is clear enough.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN VERB ADP ADJ NOUN VERB ADV ADV ADP DET NOUN ADP DET NOUN NOUN ADP NOUN ADP ADJ NOUN PRON ADV VERB ADV ADP DET VERB ADV CCONJ ADP PROPN NOUN PUNCT ADP PUNCT NOUN NOUN DET NOUN ADP VERB ADP DET NOUN ADJ VERB PRON PART VERB ADP DET NOUN VERB ADJ ADV	▁The ▁point ▁is ▁that ▁black ▁people ▁are ▁not ▁only ▁at ▁a ▁disadvantage ▁in ▁the ▁job ▁market ▁on ▁account ▁of ▁their ▁colour , ▁they ▁also ▁perceive ▁sharply ▁that ▁this ▁is ▁so ▁and , ▁despite ▁Johnson ' s ▁tongue ▁- ▁in ▁- ▁che ek ▁addendum , ▁the ▁consciousness ▁of ▁belonging ▁to ▁a ▁group ▁which ▁feels ▁itself ▁to ▁be ▁at ▁a ▁disadvantage ▁is ▁clear ▁enough .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADP ADJ NOUN VERB ADV ADV ADP DET NOUN ADP DET NOUN NOUN ADP NOUN ADP ADJ NOUN NOUN PRON ADV VERB ADV ADP DET VERB ADV CCONJ CCONJ ADP PROPN PROPN PROPN NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN DET NOUN ADP VERB ADP DET NOUN ADJ VERB PRON PART VERB ADP DET NOUN VERB ADJ ADV ADV
AT A top price of £ 20-£30 —‘through the roof’ says Ian Hooker, with tongue in cheek — commemorative and advertising matchbox grips still cost peanuts compared with even the cheapest London saleroom collectables.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADP DET ADJ NOUN ADP SYM NUM ADP DET NOUN VERB PROPN PROPN ADP NOUN ADP NOUN PUNCT NOUN CCONJ NOUN NOUN NOUN ADV VERB NOUN VERB ADP ADV DET ADJ PROPN NOUN NOUN	▁AT ▁A ▁top ▁price ▁of ▁£ ▁20 - £ 30 ▁ —‘ through ▁the ▁roof ’ ▁says ▁I an ▁H ook er , ▁with ▁tongue ▁in ▁che ek ▁ — ▁commemorat ive ▁and ▁advertising ▁match box ▁grips ▁still ▁cost ▁peanut s ▁compared ▁with ▁even ▁the ▁cheap est ▁London ▁sale room ▁collect able s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN ADP SYM NUM NUM NUM NUM ADP ADP ADP DET NOUN NOUN VERB PROPN PROPN PROPN PROPN PROPN PROPN ADP NOUN ADP NOUN NOUN PUNCT PUNCT NOUN NOUN CCONJ NOUN NOUN NOUN NOUN ADV VERB NOUN NOUN VERB ADP ADV DET ADJ ADJ PROPN NOUN NOUN NOUN NOUN NOUN NOUN
An inordinate proportion of this slender book is given over to digression and quotation ( including a graceful, tongue - in - cheek, tribute to The Economist ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	tongue in cheek	figurative	dashes	DET ADJ NOUN ADP DET ADJ NOUN VERB VERB PART ADP NOUN CCONJ NOUN PUNCT VERB DET ADJ NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET PROPN PUNCT	▁An ▁in ordinate ▁proportion ▁of ▁this ▁sl ender ▁book ▁is ▁given ▁over ▁to ▁di gression ▁and ▁quotation ▁( ▁including ▁a ▁grace ful , ▁tongue ▁- ▁in ▁- ▁che ek , ▁tribute ▁to ▁The ▁Econom ist ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0	DET ADJ ADJ NOUN ADP DET ADJ ADJ NOUN VERB VERB PART ADP NOUN NOUN CCONJ NOUN PUNCT VERB DET ADJ ADJ ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN ADP DET PROPN PROPN PUNCT PUNCT
