Chambord not out of the woods	0 0 1 1 0 1	out of the woods	figurative	identical	PROPN ADV ADP ADP DET NOUN
One of the males used a length of cut hazel to pole the craft out of the willow wood and into clear water.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0	out of the woods	literal	combined-inflection	NUM ADP DET NOUN VERB DET NOUN ADP VERB NOUN PART VERB DET NOUN ADP ADP DET ADJ NOUN CCONJ ADP ADJ NOUN
I remember the terror though : when the bear comes out of the wood and stalks after unsuspecting Charlot on the steep, cliff - edged mountain path.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	inflection	PRON VERB DET NOUN ADV PUNCT ADV DET NOUN VERB ADP ADP DET NOUN CCONJ NOUN ADP VERB PROPN ADP DET ADJ NOUN PUNCT VERB NOUN NOUN
Mr Major is by no means out of the woods, and must fight to defend his leadership at a crisis Cabinet meeting to be called early today.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	figurative	identical	PROPN PROPN VERB ADP DET NOUN ADP ADP DET NOUN CCONJ VERB VERB PART VERB ADJ NOUN ADP DET NOUN PROPN NOUN PART VERB VERB ADJ NOUN
In the graveyard outside is a crucifix of the kind known as a ' Cross of the Outrages ' : it is roughly hewn out of wood, with the instruments of the Passion fixed to it, a ladder, nails, pliers, hammer, a crown of thorns, all in iron.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	combined-inflection	ADP DET NOUN ADV VERB DET NOUN ADP DET NOUN VERB ADP DET PUNCT PROPN ADP DET PROPN PART PUNCT PRON VERB ADV VERB ADP ADP NOUN ADP DET NOUN ADP DET PROPN VERB ADP PRON DET NOUN NOUN NOUN NOUN DET NOUN ADP NOUN ADV ADP NOUN
The monks, experienced in warfare, received the area of the Burzenland ( Brasov ) depression with the permission to build castles and cities out of wood only, pay no taxes, have duty free markets, keep half of the mined gold and silver and deny hospitality to the Wojwode.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	combined-inflection	DET NOUN VERB ADP NOUN VERB DET NOUN ADP DET PROPN PUNCT PROPN PUNCT NOUN ADP DET NOUN PART VERB NOUN CCONJ NOUN ADP ADP NOUN ADV VERB DET NOUN VERB NOUN ADJ NOUN VERB NOUN ADP DET VERB NOUN CCONJ NOUN CCONJ VERB NOUN ADP DET PROPN
Oh I hope so, but still not out of the woods yet	0 0 0 0 0 0 0 1 1 0 1 0	out of the woods	figurative	identical	INTJ PRON VERB ADV CCONJ ADV ADV ADP ADP DET NOUN ADV
I learnt how to make fish, and fruit, and a piece of meat out of wood and coloured paper.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	out of the woods	literal	combined-inflection	PRON VERB ADV PART VERB NOUN CCONJ NOUN CCONJ DET NOUN ADP NOUN ADP ADP NOUN CCONJ ADJ NOUN
A little boy came out of the woods opposite and began skiing down the slope towards the road.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	identical	DET ADJ NOUN VERB ADP ADP DET NOUN ADV CCONJ VERB VERB ADP DET NOUN ADP DET NOUN
The scheme is not out of the woods yet ; and rather than break the law Maxen last week filled in the local VATman's registration form.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	figurative	identical	DET NOUN VERB ADV ADP ADP DET NOUN ADV PUNCT CCONJ ADV ADP VERB DET NOUN PROPN ADJ NOUN VERB ADP DET ADJ PROPN NOUN NOUN
Though its international activities and long term contracts business appear to offer some cause for cheer, it seems that Egham, Surrey - based consultancy P - E International Plc is not out of the woods yet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	out of the woods	figurative	identical	ADP ADJ ADJ NOUN CCONJ ADJ NOUN NOUN NOUN VERB PART VERB DET NOUN ADP NOUN PRON VERB ADP PROPN PROPN PUNCT VERB NOUN NOUN PUNCT PROPN PROPN PROPN VERB ADV ADP ADP DET NOUN ADV
We came out of Flakebridge Wood, down the road and into Dufton Gill Wood, following the beck that flowed over chocolate - brown sandstone.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	combined-inflection	PRON VERB ADP ADP PROPN PROPN ADP DET NOUN CCONJ ADP PROPN PROPN PROPN VERB DET NOUN ADJ VERB ADP NOUN PUNCT ADJ NOUN
‘ And although he's much better, the dear love isn't out of the woods yet.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	out of the woods	figurative	identical	PUNCT CCONJ ADP PRON ADV ADJ DET ADJ NOUN VERB ADP ADP DET NOUN ADV
there's still a feeling Nick Brown may not yet be out of the woods.	0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the woods	figurative	identical	ADV ADV DET NOUN PROPN PROPN VERB ADV ADV VERB ADP ADP DET NOUN
But we are not out of the woods.	0 0 0 0 1 1 0 1	out of the woods	figurative	identical	CCONJ PRON VERB ADV ADP ADP DET NOUN
And there was a big room and you and you could go there and, and make things out of wood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of the woods	literal	combined-inflection	CCONJ ADV VERB DET ADJ NOUN CCONJ PRON CCONJ PRON VERB VERB ADV CCONJ CCONJ VERB NOUN ADP ADP NOUN
He 'd most likely be out of the wood by now.	0 0 0 0 0 1 1 0 1 0 0	out of the woods	figurative	inflection	PRON VERB ADV ADV VERB ADP ADP DET NOUN ADP ADV
The boy's head came up sharply, the green eyes flashed their invariable challenge, and flew back jealously to the shape of the opening flower that was heaving itself painfully out of the wood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the woods	figurative	inflection	DET NOUN NOUN VERB PART ADV DET ADJ NOUN VERB ADJ ADJ NOUN CCONJ VERB ADV ADV ADP DET NOUN ADP DET NOUN NOUN ADJ VERB VERB PRON ADV ADP ADP DET NOUN
While the tank was being prepared and the water standing, six large pieces of bogwood were being soaked in a dustbin to allow the tannic acid to leach out of the wood to a limited extent, as I intended that the wood would still leach out the acid and brown coloration into the aquarium water providing the fish with darkened water to swim around in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	inflection	ADP DET NOUN VERB VERB VERB CCONJ DET NOUN VERB NUM ADJ NOUN ADP NOUN VERB VERB VERB ADP DET NOUN PART VERB DET ADJ NOUN PART VERB ADP ADP DET NOUN ADP DET ADJ NOUN ADP PRON VERB ADP DET NOUN VERB ADV VERB PART DET NOUN CCONJ ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN ADP VERB NOUN PART VERB ADV ADV
She climbed out of the wood by means of a stile and took the path that led round the cornfield.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	inflection	PRON VERB ADP ADP DET NOUN ADP NOUN ADP DET NOUN CCONJ VERB DET NOUN ADJ VERB ADP DET NOUN
He looks really dodgy coming out of the woods like that doesn't he?	0 0 0 0 0 1 1 0 1 0 0 0 0	out of the woods	literal	identical	PRON VERB ADV ADJ VERB ADP ADP DET NOUN ADP DET VERB PRON
But what Katherine liked best were the corner shelves which housed three miniature cities, carved out of wood and painted by an expert hand so that they evoked future urban landscapes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	combined-inflection	CCONJ NOUN PROPN VERB ADJ VERB DET NOUN NOUN ADJ VERB NUM ADJ NOUN VERB ADP ADP NOUN CCONJ VERB ADP DET ADJ NOUN ADP ADP PRON VERB ADJ ADJ NOUN
The manager who took Sunderland to Wembley six months ago knows that he's still not out of the woods, but he has turned back the clock in a bid to stay in business.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	figurative	identical	DET NOUN NOUN VERB PROPN ADP PROPN NUM NOUN ADV VERB ADP PRON ADV ADV ADP ADP DET NOUN CCONJ PRON VERB VERB PART DET NOUN ADP DET NOUN PART VERB ADP NOUN
Another player came out of the wood and began to jog across the Paddock.	0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the woods	literal	inflection	DET NOUN VERB ADP ADP DET NOUN CCONJ VERB PART VERB ADP DET PROPN
Hers said it was by mistake but I know it wasn't and he came wandering out of the wood, all black and shaggy like the Beast in the fairy tale in the most peculiar clothes, very ancient, and dreadful wild hair like pictures of the Prophets.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	inflection	NOUN VERB PRON VERB ADP NOUN CCONJ PRON VERB PRON VERB CCONJ PRON VERB VERB ADP ADP DET NOUN DET ADJ CCONJ NOUN ADP DET PROPN ADP DET NOUN NOUN ADP DET ADV ADJ NOUN ADV ADJ CCONJ ADJ ADJ NOUN ADP NOUN ADP DET NOUN
Out of the woods	1 1 0 1	out of the woods	literal	case	ADP ADP DET NOUN
When they came up the grassy track that led to the headland, out of the wood that clothed the side of the valley where the village was, the girl was delighted and her mother relieved that she liked it.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	inflection	ADV PRON VERB PART DET ADJ NOUN ADJ VERB ADP DET NOUN ADP ADP DET NOUN ADJ VERB DET NOUN ADP DET NOUN ADV DET NOUN VERB DET NOUN VERB ADJ CCONJ ADJ NOUN VERB ADP PRON VERB PRON
were they always made by the local blacksmiths, or did somebody sometimes construct one, as you said at Out of wood or other material?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	out of the woods	literal	combined-inflection	VERB PRON ADV VERB ADP DET ADJ NOUN CCONJ VERB NOUN ADV VERB NUM ADP PRON VERB ADP ADP ADP NOUN CCONJ ADJ NOUN
Lights were already beginning to diamond out of the shadowed pine woods on the lower slopes.	0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0	out of the woods	literal	insertion-other	NOUN VERB ADV VERB PART VERB ADP ADP DET VERB ADJ NOUN ADP DET ADJ NOUN
They came out of the wood into a bare field where coarse grass lapped limply around their ankles.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	figurative	inflection	PRON VERB ADP ADP DET NOUN ADP DET ADJ NOUN ADV ADJ NOUN VERB ADV ADP ADJ NOUN
He is not yet out of the woods.	0 0 0 0 1 1 0 1	out of the woods	figurative	identical	PRON VERB ADV ADV ADP ADP DET NOUN
Despite the strong reception for the Prolinea machines, Compaq does not believe it is out of the woods yet and it is cutting 1,000 employees or 10 % from its worldwide workforce over the next few months, with 700 to go this month, including 100 in Scotland.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	figurative	identical	ADP DET ADJ NOUN ADP DET PROPN NOUN PROPN VERB ADV VERB PRON VERB ADP ADP DET NOUN ADV CCONJ PRON VERB VERB NUM NOUN CCONJ NUM NOUN ADP ADJ ADJ NOUN ADP DET ADJ ADJ NOUN ADP NUM PART VERB DET NOUN VERB NUM ADP PROPN
For : very nicely made out of very posh wood, well finished, with a good chunky neck and that very practical compound radius fingerboard, with top - class hardware to finish it off ( the Wilkinson is deservedly this year's tremolo, while both the locking Schallers and the Seymour Duncans are excellent ).	0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	combined-inflection	ADP PUNCT ADV ADV VERB ADP ADP ADV ADJ NOUN ADV ADJ ADP DET ADJ ADJ NOUN CCONJ DET ADV ADJ NOUN NOUN NOUN ADP ADJ PUNCT NOUN NOUN PART VERB PRON PART PUNCT DET PROPN VERB ADV DET NOUN NOUN ADP CCONJ DET VERB PROPN CCONJ DET PROPN PROPN VERB ADJ PUNCT
You aren't out of the wood yet.	0 0 1 1 0 1 0	out of the woods	figurative	inflection	PRON VERB ADP ADP DET NOUN ADV
And she said he's not out of the woods yet, but, I 'll give you a collar, if he's naughty, very crafty, and then I looked through the crack in the door and his looking.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	figurative	identical	CCONJ PRON VERB PRON ADV ADP ADP DET NOUN ADV CCONJ PRON VERB VERB PRON DET NOUN ADP PRON ADJ ADV ADJ CCONJ ADV PRON VERB ADP DET NOUN ADP DET NOUN CCONJ ADJ NOUN
Towards the eastern end of the Fontburn Reservoir, the path makes its way out of the woods and heads first south, and then you turn right along the line of the shake holes — natural craters formed by water — eroding limestone.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	identical	ADP DET ADJ NOUN ADP DET PROPN PROPN DET NOUN VERB ADJ NOUN ADP ADP DET NOUN CCONJ NOUN ADJ ADV CCONJ ADV PRON VERB ADV ADP DET NOUN ADP DET NOUN NOUN PUNCT ADJ NOUN VERB ADP NOUN PUNCT VERB NOUN
CPMA Managing Director, Nigel Rushman, claims that several other sponsors have already signed for the Sevens spectacular in April at Murrayfield, but for a variety of reasons none has come out of the woods yet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	out of the woods	figurative	identical	NOUN PROPN PROPN PROPN PROPN VERB ADP ADJ ADJ NOUN VERB ADV VERB ADP DET PROPN ADJ ADP PROPN ADP PROPN CCONJ ADP DET NOUN ADP NOUN NOUN VERB VERB ADP ADP DET NOUN ADV
He could solve every practical problem, and made Jane some superlative furniture, just out of odd pieces of wood which were lying about the estate.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0	out of the woods	literal	combined-inflection	PRON VERB VERB DET ADJ NOUN CCONJ VERB PROPN DET ADJ NOUN ADV ADP ADP ADJ NOUN ADP NOUN ADJ VERB VERB ADP DET NOUN
We have been and some would still have us believe, I think it's true, we 're not out of the woods yet as far as er er recovery of the housing market is concerned.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	figurative	identical	PRON VERB VERB CCONJ DET VERB ADV VERB PRON VERB PRON VERB PRON ADJ PRON VERB ADV ADP ADP DET NOUN ADV ADV ADV ADP INTJ INTJ NOUN ADP DET NOUN NOUN VERB VERB
Scathach will come out of the wood …	0 0 0 1 1 0 1 0	out of the woods	figurative	inflection	PROPN VERB VERB ADP ADP DET NOUN PUNCT
She remembered another thing too — that the path came out of the wood at the other end within a very short distance of her own house.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	inflection	PRON VERB DET NOUN ADV PUNCT ADP DET NOUN VERB ADP ADP DET NOUN ADP DET ADJ NOUN ADP DET ADV ADJ NOUN ADP ADJ ADJ NOUN
‘ Metrologie is very much out of the woods now’, he claimed.	0 0 0 0 0 1 1 0 1 0 0 0	out of the woods	figurative	identical	PUNCT PROPN VERB ADV ADV ADP ADP DET NOUN ADJ PRON VERB
Tab the tinker, who had come in to be shriven, had agreed to fashion a coffin of sorts out of thin planks of wood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1	out of the woods	literal	combined-inflection	VERB DET NOUN NOUN VERB VERB PART PART VERB VERB VERB VERB PART VERB DET NOUN ADP NOUN ADP ADP ADJ NOUN ADP NOUN
He waited while Andrew and Peter came out of the wood, the former a little defensive.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	out of the woods	figurative	inflection	PRON VERB ADP PROPN CCONJ PROPN VERB ADP ADP DET NOUN DET ADJ DET ADJ NOUN
‘ I understand,’ Fabia told her, and, guilty though she felt, she knew then that until Barney was ‘ out of the woods’she wouldn't be confessing to her her failure to secure the interview.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	out of the woods	figurative	insertion-determiner	PUNCT PRON PROPN PROPN VERB PRON CCONJ ADJ ADP PRON VERB PRON VERB ADV ADP ADP PROPN VERB NUM ADP ADP DET PRON VERB VERB VERB ADP PRON ADJ NOUN PART VERB DET NOUN
Fires were lighted everywhere against the cold, and bands of ruffians were bursting out of the Panshanger woods carrying ripped - off branches and uprooted saplings.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0	out of the woods	literal	insertion-other	NOUN VERB VERB ADV ADP DET NOUN CCONJ NOUN ADP NOUN VERB VERB ADP ADP DET PROPN NOUN VERB VERB PUNCT PART NOUN CCONJ ADJ NOUN
