I shall soon lose my own face and character for ever.	0 0 0 1 0 0 1 0 0 0 0	lose face	figurative	insertion-other	PRON VERB ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP ADV	▁I ▁shall ▁soon ▁lose ▁my ▁own ▁face ▁and ▁character ▁for ▁ever .	0 0 0 1 0 0 1 0 0 0 0 0	PRON VERB ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP ADV ADV
He would have to brief Karr afterwards on how to escape from this situation, otherwise First Advocate Kung would be calling upon him for favours from here until doomsday, playing upon the Major's need not to lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	PRON VERB VERB PART VERB PROPN ADV ADP ADV PART VERB ADP DET NOUN ADV PROPN PROPN PROPN VERB VERB VERB ADP PRON ADP NOUN ADP ADV ADP NOUN VERB ADP DET PROPN NOUN ADV PART VERB NOUN	▁He ▁would ▁have ▁to ▁brief ▁Kar r ▁afterwards ▁on ▁how ▁to ▁escape ▁from ▁this ▁situation , ▁otherwise ▁First ▁Advocate ▁K ung ▁would ▁be ▁calling ▁upon ▁him ▁for ▁favour s ▁from ▁here ▁until ▁do om s day , ▁playing ▁upon ▁the ▁Major ' s ▁need ▁not ▁to ▁lose ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB VERB PART VERB PROPN PROPN ADV ADP ADV PART VERB ADP DET NOUN NOUN ADV PROPN PROPN PROPN PROPN VERB VERB VERB ADP PRON ADP NOUN NOUN ADP ADV ADP NOUN NOUN NOUN NOUN NOUN VERB ADP DET PROPN PROPN PROPN NOUN ADV PART VERB NOUN NOUN
Eventually the policeman was prepared to lose face.	0 0 0 0 0 0 1 1	lose face	figurative	identical	ADV DET NOUN VERB VERB PART VERB NOUN	▁Even tual ly ▁the ▁police man ▁was ▁prepared ▁to ▁lose ▁face .	0 0 0 0 0 0 0 0 0 1 1 1	ADV ADV ADV DET NOUN NOUN VERB VERB PART VERB NOUN NOUN
To fail in such a venture, to sing out ‘ Give us an ‘ O ’ and get no response, is to lose face and effectively to be deterred from making a similar attempt in the future.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	identical	PART VERB ADP ADJ DET NOUN PART VERB PART PUNCT VERB PRON DET ADJ NOUN PUNCT CCONJ VERB DET NOUN VERB PART VERB NOUN CCONJ ADV PART VERB VERB ADP VERB DET ADJ NOUN ADP DET NOUN	▁To ▁fail ▁in ▁such ▁a ▁venture , ▁to ▁s ing ▁out ▁ ‘ ▁Give ▁us ▁an ▁ ‘ ▁O ▁ ’ ▁and ▁get ▁no ▁response , ▁is ▁to ▁lose ▁face ▁and ▁effectively ▁to ▁be ▁deter red ▁from ▁making ▁a ▁similar ▁attempt ▁in ▁the ▁future .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PART VERB ADP ADJ DET NOUN NOUN PART VERB VERB PART PUNCT PUNCT VERB PRON DET ADJ ADJ NOUN PUNCT PUNCT CCONJ VERB DET NOUN NOUN VERB PART VERB NOUN CCONJ ADV PART VERB VERB VERB ADP VERB DET ADJ NOUN ADP DET NOUN NOUN
Of ~ course, the risk of losing face is not a good reason for attacking another country.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	ADP PUNCT NOUN DET NOUN ADP VERB NOUN VERB ADV DET ADJ NOUN ADP VERB DET NOUN	▁Of ▁ ~ ▁course , ▁the ▁risk ▁of ▁ losing ▁face ▁is ▁not ▁a ▁good ▁reason ▁for ▁attack ing ▁another ▁country .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADP PUNCT PUNCT NOUN NOUN DET NOUN ADP VERB VERB NOUN VERB ADV DET ADJ NOUN ADP VERB VERB DET NOUN NOUN
I kept on taking shots anyway so as not to lose face.’	0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	dashes	PRON VERB ADP VERB NOUN ADV ADV ADP ADV PART VERB PUNCT	▁I ▁kept ▁on ▁taking ▁shot s ▁anyway ▁so ▁as ▁not ▁to ▁lose ▁face . ’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADP VERB NOUN NOUN ADV ADV ADP ADV PART VERB PUNCT PUNCT PUNCT
For others it may be the opposite problem, that doing drama is ‘ a bit silly’, a childish game, and that to take part is to ‘ lose face’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	dashes	ADP NOUN PRON VERB VERB DET ADJ NOUN ADP VERB NOUN VERB PUNCT DET NOUN NOUN DET ADJ NOUN CCONJ DET PART VERB NOUN VERB PART PUNCT ADJ NOUN	▁For ▁others ▁it ▁may ▁be ▁the ▁opposite ▁problem , ▁that ▁doing ▁drama ▁is ▁ ‘ ▁a ▁bit ▁sil ly ’ , ▁a ▁child ish ▁game , ▁and ▁that ▁to ▁take ▁part ▁is ▁to ▁ ‘ ▁lose ▁face ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP NOUN PRON VERB VERB DET ADJ NOUN NOUN ADP VERB NOUN VERB PUNCT PUNCT DET NOUN NOUN NOUN NOUN NOUN DET ADJ ADJ NOUN NOUN CCONJ DET PART VERB NOUN VERB PART PUNCT PUNCT ADJ NOUN NOUN NOUN
When a team goes to a new area to start a new church, the fact is that they may fail, and the temptation is to fear that if they fail they will lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	ADV DET NOUN VERB ADP DET ADJ NOUN PART VERB DET ADJ NOUN DET NOUN VERB ADP PRON VERB VERB CCONJ DET NOUN VERB PART VERB ADP ADP PRON VERB PRON VERB VERB NOUN	▁When ▁a ▁team ▁goes ▁to ▁a ▁new ▁area ▁to ▁start ▁a ▁new ▁church , ▁the ▁fact ▁is ▁that ▁they ▁may ▁fail , ▁and ▁the ▁temptation ▁is ▁to ▁fear ▁that ▁if ▁they ▁fail ▁they ▁will ▁lose ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADV DET NOUN VERB ADP DET ADJ NOUN PART VERB DET ADJ NOUN NOUN DET NOUN VERB ADP PRON VERB VERB VERB CCONJ DET NOUN VERB PART VERB ADP ADP PRON VERB PRON VERB VERB NOUN NOUN
I am convinced that many students often do not understand what is being said in teaching situations, though they become adept at pretending to, as they do not wish to lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	PRON VERB VERB ADP ADJ NOUN ADV VERB ADV VERB NOUN VERB VERB VERB ADP NOUN NOUN ADP PRON VERB ADJ ADP VERB ADP ADP PRON VERB ADV VERB PART VERB NOUN	▁I ▁am ▁convinced ▁that ▁many ▁students ▁often ▁do ▁not ▁understand ▁what ▁is ▁being ▁said ▁in ▁teaching ▁situations , ▁though ▁they ▁become ▁ad ept ▁at ▁pretend ing ▁to , ▁as ▁they ▁do ▁not ▁wish ▁to ▁lose ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB VERB ADP ADJ NOUN ADV VERB ADV VERB NOUN VERB VERB VERB ADP NOUN NOUN NOUN ADP PRON VERB ADJ ADJ ADP VERB VERB ADP ADP ADP PRON VERB ADV VERB PART VERB NOUN NOUN
It is true that Beijing will adopt an unbending stance when cherished positions are under threat or there is a risk of losing face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	inflection	PRON VERB ADJ ADP PROPN VERB VERB DET NOUN NOUN ADV ADJ NOUN VERB ADP NOUN CCONJ ADV VERB DET NOUN ADP VERB NOUN	▁It ▁is ▁true ▁that ▁Beijing ▁will ▁adopt ▁an ▁un b ending ▁stance ▁when ▁che ri shed ▁positions ▁are ▁under ▁threat ▁or ▁there ▁is ▁a ▁risk ▁of ▁ losing ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADJ ADP PROPN VERB VERB DET NOUN NOUN NOUN NOUN ADV ADJ ADJ ADJ NOUN VERB ADP NOUN CCONJ ADV VERB DET NOUN ADP VERB VERB NOUN NOUN
Japanese houses have dropped out as the sinking Tokyo stockmarket drags down their capital ; Nomura also lost face when the issue that it lead - managed last year for GPA, an Irish aircraft - leasing firm, fell through.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	ADJ NOUN VERB VERB PART ADP DET VERB PROPN NOUN VERB PART ADJ NOUN PUNCT PROPN ADV VERB NOUN ADV DET NOUN ADP PRON NOUN PUNCT VERB ADJ NOUN ADP PROPN DET ADJ NOUN PUNCT NOUN NOUN VERB ADV	▁Japanese ▁houses ▁have ▁dropped ▁out ▁as ▁the ▁sink ing ▁Tokyo ▁stock market ▁drag s ▁down ▁their ▁capital ▁ ; ▁No m ura ▁also ▁lost ▁face ▁when ▁the ▁issue ▁that ▁it ▁lead ▁- ▁managed ▁last ▁year ▁for ▁G PA , ▁an ▁Irish ▁aircraft ▁- ▁leasing ▁firm , ▁fell ▁through .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB PART ADP DET VERB VERB PROPN NOUN NOUN VERB VERB PART ADJ NOUN PUNCT PUNCT PROPN PROPN PROPN ADV VERB NOUN ADV DET NOUN ADP PRON NOUN PUNCT VERB ADJ NOUN ADP PROPN PROPN PROPN DET ADJ NOUN PUNCT NOUN NOUN NOUN VERB ADV ADV
They met in an undistinguished office block just off the Euston Road, two floors ofwhich were used as secure neutral territory for committees and meetings between Government depart - ments who would lose face by visiting the other fellow's wigwam.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	lose face	figurative	identical	PRON VERB ADP DET ADJ NOUN NOUN ADV ADP DET PROPN PROPN NUM NOUN NOUN VERB VERB ADP ADJ ADJ NOUN ADP NOUN CCONJ NOUN ADP PROPN NOUN PUNCT NOUN NOUN VERB VERB NOUN ADP VERB DET ADJ NOUN NOUN	▁They ▁met ▁in ▁an ▁un dis tinguish ed ▁office ▁block ▁just ▁off ▁the ▁Eu s ton ▁Road , ▁two ▁floor s ▁of which ▁were ▁used ▁as ▁secure ▁neutral ▁territory ▁for ▁committees ▁and ▁meetings ▁between ▁Government ▁depart ▁- ▁ment s ▁who ▁would ▁lose ▁face ▁by ▁visiting ▁the ▁other ▁fellow ' s ▁wi g wa m .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP DET ADJ ADJ ADJ ADJ NOUN NOUN ADV ADP DET PROPN PROPN PROPN PROPN PROPN NUM NOUN NOUN NOUN NOUN VERB VERB ADP ADJ ADJ NOUN ADP NOUN CCONJ NOUN ADP PROPN NOUN PUNCT NOUN NOUN NOUN VERB VERB NOUN ADP VERB DET ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN
No bonus points for losing face in front of them.	0 0 0 0 1 1 0 0 0 0	lose face	figurative	inflection	DET NOUN NOUN ADP VERB NOUN ADP NOUN ADP PRON	▁No ▁bonus ▁points ▁for ▁ losing ▁face ▁in ▁front ▁of ▁them .	0 0 0 0 1 1 1 0 0 0 0 0	DET NOUN NOUN ADP VERB VERB NOUN ADP NOUN ADP PRON PRON
because we int gon na, we haven't got ta worry about what she says about, but he sa, the hospital didn't wanna lose face, but I mean, the hospital said thank you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	lose face	figurative	identical	ADP PRON VERB VERB PART PRON VERB VERB PART VERB ADP NOUN PRON VERB ADP CCONJ PRON VERB DET NOUN VERB ADV VERB NOUN CCONJ PRON VERB DET NOUN VERB VERB PRON	▁because ▁we ▁in t ▁ gon ▁na , ▁we ▁have n ' t ▁got ▁ta ▁worry ▁about ▁what ▁she ▁says ▁about , ▁but ▁he ▁sa , ▁the ▁hospital ▁did n ' t ▁w anna ▁lose ▁face , ▁but ▁I ▁mean , ▁the ▁hospital ▁said ▁thank ▁you .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB VERB VERB PART PART PRON VERB VERB VERB VERB VERB PART VERB ADP NOUN PRON VERB ADP ADP CCONJ PRON VERB VERB DET NOUN VERB VERB VERB VERB ADV ADV VERB NOUN NOUN CCONJ PRON VERB VERB DET NOUN VERB VERB PRON PRON
The Japanese may avoid explicit objections because politeness demands that the seller does not lose face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lose face	figurative	identical	DET PROPN VERB VERB ADJ NOUN ADP NOUN NOUN ADP DET NOUN VERB ADV VERB NOUN	▁The ▁Japanese ▁may ▁avoid ▁explicit ▁objections ▁because ▁p olite ness ▁demands ▁that ▁the ▁seller ▁does ▁not ▁lose ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	DET PROPN VERB VERB ADJ NOUN ADP NOUN NOUN NOUN NOUN ADP DET NOUN VERB ADV VERB NOUN NOUN
Having lost out to the Treasury on training, lost face with the British public by failing to recreate a climate of industrial expansion and lost out politically to his colleagues in Cabinet, he is in need of a political success.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lose face	figurative	inflection	VERB VERB PART ADP DET PROPN ADP NOUN VERB NOUN ADP DET ADJ NOUN ADP VERB PART VERB DET NOUN ADP ADJ NOUN CCONJ VERB PART ADV ADP ADJ NOUN ADP PROPN PRON VERB ADP NOUN ADP DET ADJ NOUN	▁Having ▁lost ▁out ▁to ▁the ▁Treasury ▁on ▁training , ▁lost ▁face ▁with ▁the ▁British ▁public ▁by ▁failing ▁to ▁re cre ate ▁a ▁climate ▁of ▁industrial ▁expansion ▁and ▁lost ▁out ▁political ly ▁to ▁his ▁colleagues ▁in ▁Cabinet , ▁he ▁is ▁in ▁need ▁of ▁a ▁political ▁success .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB PART ADP DET PROPN ADP NOUN NOUN VERB NOUN ADP DET ADJ NOUN ADP VERB PART VERB VERB VERB DET NOUN ADP ADJ NOUN CCONJ VERB PART ADV ADV ADP ADJ NOUN ADP PROPN PROPN PRON VERB ADP NOUN ADP DET ADJ NOUN NOUN
He was told about Sutton and Penge depôts which he visited and found well run, particularly Penge for fear of losing face with the Corporation, who maintained high standards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	lose face	figurative	inflection	PRON VERB VERB ADP PROPN CCONJ PROPN NOUN ADJ PRON VERB CCONJ VERB ADV VERB ADV PROPN ADP NOUN ADP VERB NOUN ADP DET PROPN NOUN VERB ADJ NOUN	▁He ▁was ▁told ▁about ▁S utton ▁and ▁P enge ▁de p ô ts ▁which ▁he ▁visited ▁and ▁found ▁well ▁run , ▁particularly ▁P enge ▁for ▁fear ▁of ▁ losing ▁face ▁with ▁the ▁Corporation , ▁who ▁maintained ▁high ▁standards .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP PROPN PROPN CCONJ PROPN PROPN NOUN NOUN NOUN NOUN ADJ PRON VERB CCONJ VERB ADV VERB VERB ADV PROPN PROPN ADP NOUN ADP VERB VERB NOUN ADP DET PROPN PROPN NOUN VERB ADJ NOUN NOUN
John's appeal enabled Khrushchev to step down without losing face.	0 0 0 0 0 0 0 0 1 1	lose face	figurative	inflection	PROPN NOUN VERB PROPN PART VERB PART ADP VERB NOUN	▁John ' s ▁appeal ▁enabled ▁Kh rus h che v ▁to ▁step ▁down ▁without ▁ losing ▁face .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN PROPN NOUN VERB PROPN PROPN PROPN PROPN PROPN PART VERB PART ADP VERB VERB NOUN NOUN
