Nature conservation runs against the grain of current political doctrine.	0 0 0 1 0 1 0 0 0 0	against the grain	figurative	identical	NOUN NOUN VERB ADP DET NOUN ADP ADJ ADJ NOUN
It was one of those pictures that went totally against the grain of everything that the movie industry believed it stood for.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PRON VERB NUM ADP DET NOUN ADJ VERB ADV ADP DET NOUN ADP NOUN ADJ DET NOUN NOUN VERB PRON VERB ADP
Out of duty she had caved in, but it still went against the grain.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	against the grain	figurative	identical	ADP ADP NOUN PRON VERB VERB ADV CCONJ PRON ADV VERB ADP DET NOUN
The return of his four hundred marks was a strong inducement, nevertheless it went against the grain with him to do homage to an Englishman.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	against the grain	figurative	identical	DET NOUN ADP ADJ NUM NUM NOUN VERB DET ADJ NOUN ADV PRON VERB ADP DET NOUN ADP PRON PART VERB NOUN ADP DET PROPN
Berdichev's smile stretched his narrow face against its natural grain.	0 0 0 0 0 0 1 0 0 1	against the grain	figurative	combined-other	PROPN NOUN VERB ADJ ADJ NOUN ADP ADJ ADJ NOUN
‘ And that would go against the grain, wouldn't it … to do anything without working out the odds first?’	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PUNCT CCONJ DET VERB VERB ADP DET NOUN VERB PRON VERB PART VERB NOUN ADP VERB PART DET NOUN PUNCT
Although she understood why he wanted her to bend the truth, it still went against the grain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	against the grain	figurative	identical	ADP PRON VERB ADV PRON VERB PRON PART VERB DET NOUN PRON ADV VERB ADP DET NOUN
I was sad and angry that he should want to place a bolt and go so radically against the grain ; sympathetic with Dave's strong conviction ; peeved that my own route — Centrefold — had been usurped.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PRON VERB ADJ CCONJ ADJ ADP PRON VERB VERB PART VERB DET NOUN CCONJ VERB ADV ADV ADP DET NOUN PUNCT ADJ ADP PROPN ADJ NOUN PUNCT VERB ADP ADJ ADJ NOUN PUNCT NOUN PUNCT VERB VERB VERB
‘ But it goes against the grain.’	0 0 0 0 1 0 1	against the grain	figurative	dashes	PUNCT CCONJ PRON VERB ADP DET NOUN
It goes against the grain terribly!	0 0 1 0 1 0	against the grain	figurative	identical	PRON VERB ADP DET NOUN ADV
They are obliged to make decisions that go against the grain.	0 0 0 0 0 0 0 0 1 0 1	against the grain	figurative	identical	PRON VERB VERB PART VERB NOUN ADJ VERB ADP DET NOUN
Collective deliberation on the basis of choices served up by the official machine go against Mrs Thatcher's personal grain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	against the grain	figurative	combined-other	ADJ NOUN ADP DET NOUN ADP NOUN VERB PART ADP DET ADJ NOUN VERB ADP PROPN PROPN ADJ NOUN
I 've had one or two burned pans lately, and that goes against the grain.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	against the grain	figurative	identical	PRON VERB VERB NUM CCONJ NUM VERB NOUN ADV CCONJ DET VERB ADP DET NOUN
I have to say straight away that the three star grading is highly personal decision that goes against the grain of usual standards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	against the grain	figurative	identical	PRON VERB PART VERB ADV ADV ADP DET NUM NOUN NOUN VERB ADV ADJ NOUN ADJ VERB ADP DET NOUN ADP ADJ NOUN
However, a consequence of so extending the scope of the imperative is that it becomes relevant only to the logic of value judgments, and has no direct bearing on how far a creature adapted to heed only what pleases it can push towards awareness against the grain of organic functioning.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	against the grain	figurative	identical	ADV DET NOUN ADP ADV VERB DET NOUN ADP DET NOUN VERB ADP PRON VERB ADJ ADV ADP DET NOUN ADP NOUN NOUN CCONJ VERB DET ADJ NOUN ADP ADV ADV DET NOUN VERB PART VERB ADV NOUN VERB PRON VERB VERB ADP NOUN ADP DET NOUN ADP ADJ NOUN
‘ Striking women always goes against the grain with me.’	0 0 0 0 0 1 0 1 0 0	against the grain	figurative	identical	PUNCT VERB NOUN ADV VERB ADP DET NOUN ADP NOUN
Dunbar was not the only man who knew how to use archers, even if it went against the grain to leave too much to them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	against the grain	figurative	identical	PROPN VERB ADV DET ADJ NOUN NOUN VERB ADV PART VERB NOUN ADV ADP PRON VERB ADP DET NOUN PART VERB ADV ADJ ADP PRON
‘ Government plans for a radical shake - up of the local government system are proceeding against the grain of Scottish public opinion, according to researchers at Edinburgh University.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PUNCT PROPN VERB ADP DET ADJ NOUN PUNCT NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN VERB ADP NOUN ADP PROPN PROPN
When Germany raised high trade barriers against Russian grain and closed Russia's access to the German money market in the late 1880s, France was happy to come to Russia's aid.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	literal	determiner-broad	ADV PROPN VERB ADJ NOUN NOUN ADP ADJ NOUN CCONJ VERB PROPN NOUN ADP DET ADJ NOUN NOUN ADP DET ADJ NOUN PROPN VERB ADJ PART VERB ADP PROPN NOUN
The li is not obeyed or defied like a law, one goes either with or against the grain of it, as in chopping wood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	against the grain	figurative	identical	DET NOUN VERB ADV VERB CCONJ VERB ADP DET NOUN PRON VERB CCONJ ADP CCONJ ADP DET NOUN ADP PRON ADP ADP VERB NOUN
Pessimistic in the sense that is says people are basically nasty, and if society is to be possible, then nastiness has to be controlled in some way or other, and since human nature is anti - social, social order comes about against the grain of human nature as a rule, has to be imposed on human nature.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADJ ADP DET NOUN ADJ VERB VERB NOUN VERB ADV ADJ CCONJ ADP NOUN VERB PART VERB ADJ ADV ADJ VERB PART VERB VERB ADP DET NOUN CCONJ ADJ CCONJ ADP ADJ NOUN VERB ADV PUNCT ADJ ADJ NOUN VERB PART ADP DET NOUN ADP ADJ NOUN ADP DET NOUN VERB PART VERB VERB ADP ADJ NOUN
A lie went against the grain, but was necessary.	0 0 0 1 0 1 0 0 0	against the grain	figurative	identical	DET NOUN VERB ADP DET NOUN CCONJ VERB ADJ
Dicey argued, not only that belief in the inherent excellence of federalism was a ‘ delusion’, but that it also ran against the grain of English history :	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	against the grain	figurative	identical	PROPN VERB ADV ADV DET NOUN ADP DET ADJ NOUN ADP NOUN VERB DET PUNCT NOUN CCONJ ADP PRON ADV VERB ADP DET NOUN ADP ADJ NOUN PUNCT
Although it goes against the grain to say this, the exercise is valuable, if indeed it has the effect of providing an accurate version of a distinguished person's world view.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADP PRON VERB ADP DET NOUN PART VERB DET DET NOUN VERB ADJ ADP ADV PRON VERB DET NOUN ADP VERB DET ADJ NOUN ADP DET ADJ NOUN NOUN NOUN
Such trends, however, very much go against the grain of the egalitarian principle that pervades the German university system to a far greater extent than the British one.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADJ NOUN ADV ADV ADV NOUN ADP DET NOUN ADP DET ADJ NOUN ADJ VERB DET ADJ NOUN NOUN ADP DET ADV ADJ NOUN ADP DET ADJ NUM
What I 'm trying to do is rub against the grain of Thatcherism, not with it.’	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	against the grain	figurative	identical	NOUN PRON VERB VERB PART VERB VERB VERB ADP DET NOUN ADP PROPN ADV ADP NOUN
It goes against the grain, doesn't it?	0 0 1 0 1 0 0	against the grain	figurative	identical	PRON VERB ADP DET NOUN VERB PRON
The Smiths run directly against the grain.	0 0 0 0 1 0 1	against the grain	figurative	identical	DET PROPN VERB ADV ADP DET NOUN
It went against the grain but she must query the wisdom of such a suggestion.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PRON VERB ADP DET NOUN CCONJ PRON VERB VERB DET NOUN ADP ADJ DET NOUN
Every erm pitchfork must come out one You can't start fighting and and pulling it against the grain otherwise you you would be in trouble.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	against the grain	figurative	identical	DET NOUN NOUN VERB VERB PART NUM PRON VERB VERB VERB CCONJ CCONJ VERB PRON ADP DET NOUN ADV PRON PRON VERB VERB ADP NOUN
I thought the half bottle of wine we left was symbolic of the extravagant life I was now entering, though I must admit it did go against the grain and I did think vaguely of ‘ bowser bottles’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PRON VERB DET ADJ NOUN ADP NOUN PRON VERB VERB ADJ ADP DET ADJ NOUN PRON VERB ADV VERB ADP PRON VERB VERB PRON VERB VERB ADP DET NOUN CCONJ PRON VERB VERB ADV ADP ADJ NOUN NOUN
It went against the grain to let the brute escape scot - free, but, with his victim disappeared, there seemed no point in calling the police.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PRON VERB ADP DET NOUN PART VERB DET ADJ NOUN NOUN PUNCT ADJ CCONJ ADP ADJ NOUN VERB ADV VERB DET NOUN ADP VERB DET NOUN
Charles the Bald did not simply exploit the church within his kingdom : he had to work with not against the ecclesiastical grain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	against the grain	figurative	insertion-other	PROPN DET PROPN VERB ADV ADV VERB DET NOUN ADP ADJ NOUN PUNCT PRON VERB PART VERB ADP ADV ADP DET ADJ NOUN
He was also showing a distaste for outdoor pursuits that ran against the grain of their family life.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	against the grain	figurative	identical	PRON VERB ADV VERB DET NOUN ADP ADJ NOUN ADJ VERB ADP DET NOUN ADP ADJ NOUN NOUN
On the other hand British claims that the Americans had come to recognize the folly of their conduct in the Suez crisis depend as usual upon a simplistic interpretation of American policy from 1951, and ignore the fact that in 1958 the intruding powers were able to work with — not against — the grain of local politics.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	against the grain	figurative	dashes	ADP DET ADJ NOUN ADJ NOUN ADP DET PROPN VERB VERB PART VERB DET NOUN ADP ADJ NOUN ADP DET PROPN NOUN VERB ADP ADJ ADP DET ADJ NOUN ADP ADJ NOUN ADP NUM CCONJ VERB DET NOUN ADP ADP NUM DET VERB NOUN VERB ADJ PART VERB ADP PUNCT ADV ADP PUNCT DET NOUN ADP ADJ NOUN
It may be at a, at a truly rational level we can all perfectly well do all kinds of other things rationally on a truly rational level, because there we have this this er high degree of that comes with rationality, but at a deeper, kind of gut level, the emotional feelings we, we find that it's, it's much more difficult, and at that point if you don't try and change things and do things that are unnatural, you find you 're kind of going against the emotional grain and er perhaps some people find it easier than others, but perhaps everybody will feel a certain erm tug as it were, certain erm discomfort or a certain emotional alienation from themselves which er perhaps is because we 're trying to do something more basic we just weren't designed for.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	insertion-other	PRON VERB VERB ADP DET ADP DET ADV ADJ NOUN PRON VERB ADV ADV ADV VERB DET NOUN ADP ADJ NOUN ADV ADP DET ADV ADJ NOUN ADP ADV PRON VERB DET DET INTJ ADJ NOUN ADP DET VERB ADP NOUN CCONJ ADP DET ADJ ADV ADP NOUN NOUN DET ADJ NOUN PRON PRON VERB ADP PRON PRON ADV ADV ADJ CCONJ ADP DET NOUN ADP PRON VERB VERB CCONJ VERB NOUN CCONJ VERB NOUN ADJ VERB ADJ PRON VERB PRON VERB ADV ADV VERB ADP DET ADJ NOUN CCONJ INTJ ADV DET NOUN VERB PRON ADJ ADP NOUN CCONJ ADV NOUN VERB VERB DET ADJ NOUN NOUN ADP PRON VERB ADJ ADJ NOUN CCONJ DET ADJ ADJ NOUN ADP PRON ADJ INTJ ADV VERB ADP PRON VERB VERB PART VERB NOUN ADV ADJ PRON ADV VERB VERB ADP
Firstly, because it goes against its grain : women always have to find their own way to where they 're going.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	determiner-broad	ADV ADP PRON VERB ADP ADJ NOUN PUNCT NOUN ADV VERB PART VERB ADJ ADJ NOUN ADP ADV PRON VERB VERB
She had forced him to live against the grain of his own nature which was weak and pleasure - loving and stubborn with it, so that when she beat him for laziness or lying, he became more determinedly idle and sullen.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PRON VERB VERB PRON PART VERB ADP DET NOUN ADP ADJ ADJ NOUN ADJ VERB ADJ CCONJ NOUN PUNCT ADJ CCONJ ADJ ADP PRON ADP ADP ADV PRON VERB PRON ADP NOUN CCONJ NOUN PRON VERB ADV ADV ADJ CCONJ ADJ
Honest, impatient with any kind of pretence, it went against the grain to dissemble, but she couldn't end their brief engagement with a phone call.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADJ ADJ ADP DET NOUN ADP NOUN PRON VERB ADP DET NOUN PART VERB CCONJ PRON VERB VERB ADJ ADJ NOUN ADP DET NOUN NOUN
Now clearly a teaching approach which goes against the grain of natural disposition will create needless difficulties for the learner, as I pointed out earlier in reference to translation and the focusing on form, but it does not follow that pedagogy must therefore simply accommodate that disposition.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADV ADV DET NOUN NOUN ADJ VERB ADP DET NOUN ADP ADJ NOUN VERB VERB ADJ NOUN ADP DET NOUN ADP PRON VERB PART ADV ADP NOUN ADP NOUN CCONJ DET VERB ADP NOUN CCONJ PRON VERB ADV VERB DET NOUN VERB ADV ADV VERB DET NOUN
Nevertheless, some research - orientated academics feel strongly enough to go against the grain and form a sort of elitist under ground for their best students.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADV DET NOUN PUNCT VERB NOUN VERB ADV ADJ PART VERB ADP DET NOUN CCONJ VERB DET NOUN ADP NOUN ADP NOUN ADP ADJ ADJ NOUN
If we 're going to live in these fields, we 'll have to get on terms with his lot sooner or later, and it goes against the grain to hang about and admit we daren't visit them. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADP PRON VERB VERB PART VERB ADP DET NOUN PRON VERB VERB PART VERB ADP NOUN ADP ADJ NOUN ADV CCONJ ADV CCONJ PRON VERB ADP DET NOUN PART VERB ADP CCONJ VERB PRON VERB VERB PRON PUNCT
He had only been fifteen and had been given the four - ten, the so - called lady's gun, which Rufus gathered had rather gone against the grain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	against the grain	figurative	identical	PRON VERB ADV VERB NUM CCONJ VERB VERB VERB DET NUM PUNCT NUM DET ADV PUNCT VERB NOUN NOUN ADJ PROPN VERB VERB ADV VERB ADP DET NOUN
Really goes against the grain to see.	0 0 1 0 1 0 0	against the grain	figurative	identical	ADV VERB ADP DET NOUN PART VERB
I certainly do not doubt the sincerity of the right hon. Gentleman's remarks, but throughout modern economic history, when any Government have sought to misdirect national resources in a manner that goes completely against the grain of the marketplace, has not the result of such a regional policy been exactly the opposite to what the right hon. Gentleman has sought to achieve?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PRON ADV VERB ADV VERB DET NOUN ADP DET ADJ NOUN PROPN NOUN CCONJ ADP ADJ ADJ NOUN ADV DET PROPN VERB VERB PART VERB ADJ NOUN ADP DET NOUN ADJ VERB ADV ADP DET NOUN ADP DET NOUN VERB ADV DET NOUN ADP ADJ DET ADJ NOUN VERB ADV DET NOUN ADP NOUN DET ADJ NOUN PROPN VERB VERB PART VERB
The therapist will be deliberately encouraging the client to ‘ go against the grain ', by negotiating specific behavioural homework tasks.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	against the grain	figurative	identical	DET NOUN VERB VERB ADV VERB DET NOUN ADP PUNCT NOUN ADP DET NOUN PUNCT ADP VERB ADJ ADJ NOUN NOUN
There was a hush, the street, below the opened window ;, with the slum folk, an age - old code, it was against the grain, to interfere in a thing like this, Rubberneck and his sister.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADV VERB DET ADJ DET NOUN ADP DET VERB NOUN PUNCT ADP DET NOUN NOUN DET NOUN PUNCT ADJ NOUN PRON VERB ADP DET NOUN PART VERB ADP DET NOUN ADP DET PROPN CCONJ ADJ NOUN
For those raised in the prudery of puritanism or the celibacy - conscious preoccupations of Catholicism this ran against the grain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	against the grain	figurative	identical	ADP DET VERB ADP DET NOUN ADP NOUN CCONJ DET NOUN PUNCT ADJ NOUN ADP PROPN DET VERB ADP DET NOUN
However, it goes against the grain to have to say this, as it is our land after all.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADV PRON VERB ADP DET NOUN PART VERB PART VERB DET ADP PRON VERB ADJ NOUN ADV ADV
The paper goes against the American grain in being an elitist institution in a country that extols the common man.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	insertion-other	DET NOUN VERB ADP DET ADJ NOUN ADP VERB DET ADJ NOUN ADP DET NOUN ADJ VERB DET ADJ NOUN
It was attracted to the Griffiths proposals because of their potential for promoting private services, but it went against the grain to leave local authorities with so much power, and it was this dilemma which caused the considerable delay in the government's response to Griffiths.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PRON VERB VERB ADP DET PROPN NOUN ADP ADP ADJ NOUN ADP VERB ADJ NOUN CCONJ PRON VERB ADP DET NOUN PART VERB ADJ NOUN ADP ADV ADJ NOUN CCONJ PRON VERB DET NOUN ADJ VERB DET ADJ NOUN ADP DET NOUN NOUN ADP PROPN
Nonetheless, a woman poet who attacks the naivete of a purely romantic view of marriage is, in some sense, going against the grain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	against the grain	figurative	identical	ADV DET NOUN NOUN NOUN VERB DET NOUN ADP DET ADV ADJ NOUN ADP NOUN VERB ADP DET NOUN VERB ADP DET NOUN
‘ It's not — it's against the grain.	0 0 0 0 0 1 0 1	against the grain	figurative	identical	PUNCT PRON ADV PUNCT PRON ADP DET NOUN
It went against the grain to let him win.	0 0 1 0 1 0 0 0 0	against the grain	figurative	identical	PRON VERB ADP DET NOUN PART VERB PRON VERB
In her job she was accustomed to boosting fragile egos and bolstering shaky morales, but it went against the grain to tell outright lies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	against the grain	figurative	identical	ADP ADJ NOUN PRON VERB VERB ADP VERB ADJ NOUN CCONJ VERB ADJ NOUN CCONJ PRON VERB ADP DET NOUN PART VERB ADJ NOUN
That may go against the grain for some AGP leaders, who entered politics as advocates of non - violence.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	DET VERB VERB ADP DET NOUN ADP DET PROPN NOUN NOUN VERB NOUN ADP NOUN ADP ADJ PUNCT NOUN
Going against the grain : alternatives to exclusion	0 1 0 1 0 0 0 0	against the grain	figurative	identical	VERB ADP DET NOUN PUNCT NOUN ADP NOUN
The shares are worthless, and it goes against the grain to see them still quoted, written down as they are. "	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	DET NOUN VERB ADJ CCONJ PRON VERB ADP DET NOUN PART VERB PRON ADV VERB VERB PART ADP PRON VERB PUNCT
