Call it a day out here? '	1 1 0 1 0 0 0	call it a day	figurative	case	VERB PRON DET NOUN ADV ADV PUNCT
The Indians ran out of arrows — they decided to call it a day	0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	DET PROPN VERB ADP ADP NOUN PUNCT PRON VERB PART VERB PRON DET NOUN
Mishak and Malaika call it a day.	0 0 0 1 1 0 1	call it a day	figurative	identical	PROPN CCONJ PROPN VERB PRON DET NOUN
By the time he called it a day, he had played in 60 Tests and taken 249 wickets at 23, and like all of his fast - bowling colleagues had benefited from being one of a quartet as he could operate in short spells and rest more often.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	inflection	ADP DET NOUN PRON VERB PRON DET NOUN PRON VERB VERB ADP NUM NOUN CCONJ VERB NUM NOUN ADP NUM CCONJ ADP DET ADP ADJ ADJ PUNCT VERB NOUN VERB VERB ADP VERB NUM ADP DET NOUN ADP PRON VERB VERB ADP ADJ NOUN CCONJ VERB ADV ADV
By five o'clock, just as Merrill was about to call it a day, she was offered the lease on a small flat in a pleasant, tree - lined avenue.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	identical	ADP NUM NOUN ADV ADP PROPN VERB ADJ PART VERB PRON DET NOUN PRON VERB VERB DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT VERB NOUN
But surgeons were forced to call it a day because they couldn't find the right tools for the job.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	identical	CCONJ NOUN VERB VERB PART VERB PRON DET NOUN ADP PRON VERB VERB DET ADJ NOUN ADP DET NOUN
But the Wallsend Harrier called it a day at 50 miles with a hamstring injury, leaving Tony Lenagan, of Wigan Phoenix, and Edinburgh's Dave Wallace to battle it out.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	inflection	CCONJ DET PROPN PROPN VERB PRON DET NOUN ADP NUM NOUN ADP DET NOUN NOUN VERB PROPN PROPN ADP PROPN PROPN CCONJ PROPN PROPN PROPN PART VERB PRON PART
Oh I think we might call it a day at this with the tapes record this tape	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	call it a day	figurative	identical	INTJ PRON VERB PRON VERB VERB PRON DET NOUN ADP DET ADP DET NOUN NOUN DET NOUN
Okay, well maybe we could have called it a day now.	0 0 0 0 0 0 1 1 0 1 0	call it a day	figurative	inflection	INTJ INTJ ADV PRON VERB VERB VERB PRON DET NOUN ADV
Castle calls it a day	0 1 1 0 1	call it a day	figurative	inflection	PROPN VERB PRON DET NOUN
He wrote again, a careful, stilted letter, expressing gratitude for the help he had received and suggesting they shook hands and called it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	inflection	PRON VERB ADV DET ADJ VERB NOUN VERB NOUN ADP DET NOUN PRON VERB VERB CCONJ VERB PRON VERB NOUN CCONJ VERB PRON DET NOUN
Many a player would have called it a day then ; not Audley.	0 0 0 0 0 1 1 0 1 0 0 0 0	call it a day	figurative	inflection	ADJ DET NOUN VERB VERB VERB PRON DET NOUN ADV PUNCT ADV PROPN
‘ Time you called it a day.’	0 0 0 1 1 0 1	call it a day	figurative	combined-inflection	PUNCT NOUN PRON VERB PRON DET ADJ
' If you 're — uh — gay, as they insist on calling it these days, then I 'll just have to accept it, but I shall always blame myself, always wonder where I went wrong with you, wonder whether it was that school I sent you to, I was never sure if it was a mistake or '	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	combined-inflection	PUNCT ADP PRON VERB PUNCT INTJ PUNCT NOUN ADP PRON VERB ADP VERB PRON DET NOUN ADV PRON VERB ADV VERB PART VERB PRON CCONJ PRON VERB ADV VERB PRON ADV VERB ADV PRON VERB ADJ ADP PRON VERB ADP PRON VERB ADP NOUN PRON VERB PRON PART PRON VERB ADV ADJ ADP PRON VERB DET NOUN CCONJ PUNCT
The fair man whispered to her, ‘ One final piece and then we 'll call it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	DET ADJ NOUN VERB ADP PRON PUNCT NUM ADJ NOUN CCONJ ADV PRON VERB VERB PRON DET NOUN
‘ We 'll call it a day shortly,’ he said, almost as though he read her thoughts.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	identical	PUNCT PRON VERB VERB PRON DET NOUN X PRON VERB ADV ADP ADP PRON VERB ADJ NOUN
Martina set to call it a day	0 0 0 1 1 0 1	call it a day	figurative	identical	PROPN VERB PART VERB PRON DET NOUN
‘ The director's finally decided to call it a day,’ he said.	0 0 0 0 0 0 1 1 0 1 0 0	call it a day	figurative	dashes	PUNCT DET NOUN ADV VERB PART VERB PRON DET NOUN PRON VERB
He decided to call it a day after doctors told him he had lost the other testicle.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	identical	PRON VERB PART VERB PRON DET NOUN ADP NOUN VERB PRON PRON VERB VERB DET ADJ NOUN
So he agreed to call it a day.	0 0 0 0 1 1 0 1	call it a day	figurative	identical	ADV PRON VERB PART VERB PRON DET NOUN
Let's call it a day.’	0 1 1 0 1	call it a day	figurative	dashes	VERB VERB PRON DET ADJ
Sole calls it a day	0 1 1 0 1	call it a day	figurative	inflection	PROPN VERB PRON DET NOUN
‘ We may as well call it a day now, though.	0 0 0 0 0 1 1 0 1 0 0	call it a day	figurative	identical	PUNCT PRON VERB ADV ADV VERB PRON DET NOUN ADV ADV
the swing and I 've bought them a couple of wooden puzzles where you pick the bits up so, I thought well then I 'll call it a day there, and that 'll be that	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	call it a day	figurative	identical	DET NOUN CCONJ PRON VERB VERB PRON DET NOUN ADP ADJ NOUN ADV PRON VERB DET NOUN PART ADV PRON VERB INTJ ADV PRON VERB VERB PRON DET NOUN ADV CCONJ DET VERB VERB DET
VIZ magazine creator Chris Donald is right when he says it might be time to call it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	PROPN NOUN NOUN PROPN PROPN VERB ADJ ADV PRON VERB PRON VERB VERB NOUN PART VERB PRON DET NOUN
Chapman says : ‘ I often wonder what will become of Forest when Brian Clough decides to call it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	NOUN VERB PUNCT PUNCT PRON ADV VERB NOUN VERB VERB ADP PROPN ADV PROPN PROPN VERB PART VERB PRON DET NOUN
But it was true, what Jim said, in business you can't stand still, you go up or you go down, you can't just sit comfortably in your own 1972 executive four - bedroomed plate - glass - windowed centrally heated wall - to - wall - carpeted gadget - equipped house, with your Rover and your wife's Mini in the two - car garage, and your pot plants in your loggia, and your electric lawn mower in the shed : you can't sit still and enjoy it, you can't call it a day and call a halt when you own it all and don't owe anyone a penny, you have to go on and on, relentlessly onwards, juggling with larger and larger sums, owing more, paying out more, until finally perhaps the whole thing comes tumbling round your head like a pack of cards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	identical	CCONJ PRON VERB ADJ NOUN PROPN VERB ADP NOUN PRON VERB VERB ADV PRON VERB PART CCONJ PRON VERB PART PRON VERB ADV VERB ADV ADP ADJ ADJ NUM ADJ NUM PUNCT ADJ NOUN PUNCT NOUN PUNCT VERB ADV ADJ NOUN PUNCT ADP PUNCT NOUN PUNCT VERB NOUN PUNCT VERB NOUN ADP ADJ PROPN CCONJ ADJ NOUN PROPN ADP DET NUM PUNCT NOUN NOUN CCONJ ADJ NOUN NOUN ADP ADJ NOUN CCONJ ADJ ADJ NOUN NOUN ADP DET NOUN PUNCT PRON VERB VERB ADV CCONJ VERB PRON PRON VERB VERB PRON DET NOUN CCONJ VERB DET NOUN ADV PRON VERB PRON DET CCONJ VERB VERB NOUN DET NOUN PRON VERB PART VERB PART CCONJ ADV ADV ADV VERB ADP ADJ CCONJ ADJ NOUN VERB ADV VERB PART ADJ ADP ADV ADV DET ADJ NOUN VERB VERB ADV ADJ NOUN ADP DET NOUN ADP NOUN
a a and call it a day.	0 0 0 1 1 0 1	call it a day	figurative	identical	DET DET CCONJ VERB PRON DET NOUN
things you see, so erm, I thought right well that's it Ben can have the garage, I 'll go and buy her the flying circus, Joseph can have the bus and call it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	NOUN PRON VERB ADV ADV PRON VERB ADV ADV DET PRON PROPN VERB VERB DET NOUN PRON VERB VERB CCONJ VERB PRON DET VERB NOUN PROPN VERB VERB DET NOUN CCONJ VERB PRON DET NOUN
Now all the effort goes into preparing for the next one … although the RAF's team is calling it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	inflection	ADV ADJ DET NOUN VERB ADP VERB ADP DET ADJ NUM PUNCT ADP DET PROPN NOUN VERB VERB PRON DET NOUN
And we call it a day on these things.	0 0 1 1 0 1 0 0 0	call it a day	figurative	identical	CCONJ PRON VERB PRON DET NOUN ADP DET NOUN
John and Maureen decided to call it a day.	0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	PROPN CCONJ PROPN VERB PART VERB PRON DET NOUN
‘ But I still used to pose on the bike for publicity purposes,’ she 'd say archly over her tea and Eccles cakes, ‘ until the varicose veins started to show through me silver tights and Flaherty said I 'd better call it a day and let them find themselves another pin - up girl.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	identical	PUNCT CCONJ PRON ADV VERB PART VERB ADP DET NOUN ADP NOUN NOUN PRON VERB VERB ADV ADP ADJ NOUN CCONJ PROPN NOUN PUNCT ADP DET ADJ NOUN VERB PART VERB ADP PRON ADJ NOUN CCONJ PROPN VERB PRON VERB ADV VERB PRON DET NOUN CCONJ VERB PRON VERB PRON DET NOUN PUNCT PART NOUN
Call it a day after getting total ( 6 )	1 1 0 1 0 0 0 0 0 0	call it a day	figurative	case	VERB PRON DET NOUN ADP VERB NOUN PUNCT NUM PUNCT
We might call it a day at the end of the assignments and take Jenny's away to recap, erm lets get to the end of the assignments first, Q P9.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	identical	PRON VERB VERB PRON DET NOUN ADP DET NOUN ADP DET NOUN CCONJ VERB PROPN ADV ADP VERB NOUN NOUN VERB ADP DET NOUN ADP DET NOUN ADV PROPN NOUN
So do the four role plays then all come back here at twenty past six for a debrief and then we 'll call it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	ADV VERB DET NUM NOUN NOUN ADV DET VERB ADV ADV ADP NUM NOUN NUM ADP DET NOUN CCONJ ADV PRON VERB VERB PRON DET NOUN
Chris and I have called it a day.’	0 0 0 0 1 1 0 1	call it a day	figurative	combined-inflection	PROPN CCONJ PRON VERB VERB PRON DET ADJ
His well - being is of even higher importance to Scotland now that Peter Dods, such an admirable understudy with 23 caps, had decided to call it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	ADJ ADV PUNCT NOUN VERB ADP ADV ADJ NOUN ADP PROPN ADV ADP PROPN PROPN ADJ DET ADJ NOUN ADP NUM NOUN VERB VERB PART VERB PRON DET NOUN
But what about when she does eventually call it a day.	0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	CCONJ NOUN ADP ADV PRON VERB ADV VERB PRON DET NOUN
Though he rejoined the race a few minutes later, Albers, who won the opening round of the series at Donington, was forced to call it a day four laps later.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	call it a day	figurative	identical	ADP PRON VERB DET NOUN DET ADJ NOUN ADV PROPN NOUN VERB DET NOUN NOUN ADP DET NOUN ADP PROPN VERB VERB PART VERB PRON DET NOUN NUM NOUN ADV
Our man on the back page explains why he's calling it a day	0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	inflection	ADJ NOUN ADP DET NOUN NOUN VERB ADV PRON VERB PRON DET NOUN
called it a day	1 1 0 1	call it a day	figurative	inflection	VERB PRON DET NOUN
When I decide to call it a day, they 'll stop too.’	0 0 0 0 1 1 0 1 0 0 0 0	call it a day	figurative	identical	ADV PRON VERB PART VERB PRON DET NOUN PRON VERB VERB NOUN
I was tempted to call it a day there and then, pull over and have a kip, but my stomach reminded me that I hadn't thrown it a bone since the ploughman's at lunch - time, and it had been quite an eventful day.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	identical	PRON VERB VERB PART VERB PRON DET NOUN ADV CCONJ ADV VERB PART CCONJ VERB DET NOUN CCONJ ADJ NOUN VERB PRON ADP PRON VERB VERB PRON DET NOUN ADP DET NOUN ADP NOUN PUNCT NOUN CCONJ PRON VERB VERB ADJ DET ADJ NOUN
David Moorcroft called it a day, and Steve Ovett cried in public and was urged to.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	inflection	PROPN PROPN VERB PRON DET NOUN CCONJ PROPN PROPN VERB ADP NOUN CCONJ VERB VERB ADP
Nothing much doing at the pond, they had set the rods up and were wandering around, looking for frogs and newts, then they returned to their rods ; nothing stirred, so around 10 pm they decided to call it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	NOUN ADV VERB ADP DET NOUN PRON VERB VERB DET NOUN PART CCONJ VERB VERB ADV VERB ADP NOUN CCONJ NOUN ADV PRON VERB ADP ADJ NOUN PUNCT NOUN VERB ADV ADV NUM NOUN PRON VERB PART VERB PRON DET NOUN
It's time I called it a day.	0 0 0 1 1 0 1	call it a day	figurative	inflection	PRON NOUN PRON VERB PRON DET NOUN
After three sticky nights we called it a day.	0 0 0 0 0 1 1 0 1	call it a day	figurative	inflection	ADP NUM ADJ NOUN PRON VERB PRON DET NOUN
Wouldn't he call it a day, and let me go home?	0 0 1 1 0 1 0 0 0 0 0	call it a day	figurative	identical	VERB PRON VERB PRON DET NOUN CCONJ VERB PRON VERB ADV
Call it a day now, for goodness ' sake. '	1 1 0 1 0 0 0 0 0 0	call it a day	figurative	case	VERB PRON DET NOUN ADV ADP NOUN PUNCT NOUN PUNCT
