So might the decision to let the republics go it alone on economic reform.	0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN	▁So ▁might ▁the ▁decision ▁to ▁let ▁the ▁republics ▁go ▁it ▁alone ▁on ▁economic ▁reform .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN NOUN
Where is the sovereignty in going it alone?	0 0 0 0 0 1 1 1	go it alone	figurative	inflection	ADV VERB DET NOUN ADP VERB PRON ADJ	▁Where ▁is ▁the ▁sovereignty ▁in ▁going ▁it ▁alone ?	0 0 0 0 0 1 1 1 1	ADV VERB DET NOUN ADP VERB PRON ADJ ADJ
Now — do you still want to go it alone? '	0 0 0 0 0 0 0 1 1 1 0	go it alone	figurative	identical	ADV PUNCT VERB PRON ADV VERB PART VERB PRON ADJ PUNCT	▁Now ▁ — ▁do ▁you ▁still ▁want ▁to ▁go ▁it ▁alone ? ▁'	0 0 0 0 0 0 0 0 1 1 1 1 0	ADV PUNCT PUNCT VERB PRON ADV VERB PART VERB PRON ADJ ADJ PUNCT
A firm going it alone will be restricted in the number of other firms it can approach without the news that it is looking to merge leaking out.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	inflection	DET NOUN VERB PRON ADV VERB VERB VERB ADP DET NOUN ADP ADJ NOUN PRON VERB VERB ADP DET NOUN ADP PRON VERB VERB PART VERB VERB PART	▁A ▁firm ▁going ▁it ▁alone ▁will ▁be ▁restricted ▁in ▁the ▁number ▁of ▁other ▁firms ▁it ▁can ▁approach ▁without ▁the ▁new s ▁that ▁it ▁is ▁looking ▁to ▁merge ▁leak ing ▁out .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB PRON ADV VERB VERB VERB ADP DET NOUN ADP ADJ NOUN PRON VERB VERB ADP DET NOUN NOUN ADP PRON VERB VERB PART VERB VERB VERB PART PART
The Trains made for the French wash but the Russians decided to go it alone, a tactical error.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	DET NOUN VERB ADP DET ADJ NOUN CCONJ DET PROPN VERB PART VERB PRON ADV DET ADJ NOUN	▁The ▁Train s ▁made ▁for ▁the ▁French ▁wash ▁but ▁the ▁Russian s ▁decided ▁to ▁go ▁it ▁alone , ▁a ▁tactic al ▁error .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	DET NOUN NOUN VERB ADP DET ADJ NOUN CCONJ DET PROPN PROPN VERB PART VERB PRON ADV ADV DET ADJ ADJ NOUN NOUN
Just as damaging as Morsi ’s governing style was the Muslim ~ Brotherhood ’s go - it - alone mentality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	go it alone	figurative	dashes	ADV ADV ADJ ADP PROPN PART NOUN NOUN VERB DET PROPN PUNCT PROPN PART NOUN PUNCT PRON PUNCT ADJ NOUN	▁Just ▁as ▁damaging ▁as ▁Mor si ▁ ’ s ▁governing ▁style ▁was ▁the ▁Muslim ▁ ~ ▁Brother hood ▁ ’ s ▁go ▁- ▁it ▁- ▁alone ▁ mentality .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0	ADV ADV ADJ ADP PROPN PROPN PART PART PART NOUN NOUN VERB DET PROPN PUNCT PUNCT PROPN PROPN PART PART PART NOUN PUNCT PRON PUNCT ADJ NOUN NOUN NOUN
What part any directors of the Grand Junction played in the syndicate is not known, but not withstanding lack of agreement with colliery owners the Grand Junction must eventually have decided to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	NOUN NOUN DET NOUN ADP DET PROPN PROPN VERB ADP DET NOUN VERB ADV VERB CCONJ ADV VERB NOUN ADP NOUN ADP NOUN NOUN DET PROPN PROPN VERB ADV VERB VERB PART VERB PRON ADV	▁What ▁part ▁any ▁directors ▁of ▁the ▁Grand ▁Jun ction ▁played ▁in ▁the ▁syndicate ▁is ▁not ▁known , ▁but ▁not ▁with standing ▁lack ▁of ▁agreement ▁with ▁col lier y ▁owners ▁the ▁Grand ▁Jun ction ▁must ▁eventually ▁have ▁decided ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN DET NOUN ADP DET PROPN PROPN PROPN VERB ADP DET NOUN VERB ADV VERB VERB CCONJ ADV VERB VERB NOUN ADP NOUN ADP NOUN NOUN NOUN NOUN DET PROPN PROPN PROPN VERB ADV VERB VERB PART VERB PRON ADV ADV
We 've chosen to go it alone, but the net result is the same, that the computer store of information includes information on the authors and the titles of the books and, of course, now includes information on the books that are being borrowed, who's got them, when they 're coming back, how many other copies we 've got, whether we 've got copies on order, and all of that, all in one central store of information, a central store which can be shared by everyone using the library.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PRON VERB VERB PART VERB PRON ADJ CCONJ DET ADJ NOUN VERB DET ADJ ADP DET NOUN NOUN ADP NOUN VERB NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN CCONJ ADP NOUN ADV VERB NOUN ADP DET NOUN ADJ VERB VERB VERB NOUN VERB PRON ADV PRON VERB VERB ADV ADV ADJ ADJ NOUN PRON VERB VERB ADP PRON VERB VERB NOUN ADP NOUN CCONJ DET ADP DET DET ADP NUM ADJ NOUN ADP NOUN DET ADJ NOUN ADJ VERB VERB VERB ADP NOUN VERB DET NOUN	▁We ▁' ve ▁chosen ▁to ▁go ▁it ▁alone , ▁but ▁the ▁net ▁result ▁is ▁the ▁same , ▁that ▁the ▁computer ▁store ▁of ▁information ▁includes ▁information ▁on ▁the ▁authors ▁and ▁the ▁titles ▁of ▁the ▁books ▁and , ▁of ▁course , ▁now ▁includes ▁information ▁on ▁the ▁books ▁that ▁are ▁being ▁borrowed , ▁who ' s ▁got ▁them , ▁when ▁they ▁' re ▁coming ▁back , ▁how ▁many ▁other ▁copies ▁we ▁' ve ▁got , ▁whether ▁we ▁' ve ▁got ▁copies ▁on ▁order , ▁and ▁all ▁of ▁that , ▁all ▁in ▁one ▁central ▁store ▁of ▁information , ▁a ▁central ▁store ▁which ▁can ▁be ▁shared ▁by ▁everyone ▁using ▁the ▁library .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART VERB PRON ADJ ADJ CCONJ DET ADJ NOUN VERB DET ADJ ADJ ADP DET NOUN NOUN ADP NOUN VERB NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN CCONJ CCONJ ADP NOUN NOUN ADV VERB NOUN ADP DET NOUN ADJ VERB VERB VERB VERB NOUN NOUN NOUN VERB PRON PRON ADV PRON VERB VERB VERB ADV ADV ADV ADJ ADJ NOUN PRON VERB VERB VERB VERB ADP PRON VERB VERB VERB NOUN ADP NOUN NOUN CCONJ DET ADP DET DET DET ADP NUM ADJ NOUN ADP NOUN NOUN DET ADJ NOUN ADJ VERB VERB VERB ADP NOUN VERB DET NOUN NOUN
In the same area the Dart Sailing School not only teaches but offers charter boats from 28 ft to 60 ft when you 're ready to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADP DET ADJ NOUN DET PROPN PROPN PROPN ADV ADV VERB CCONJ VERB NOUN NOUN ADP NUM NOUN PART NUM NOUN ADV PRON VERB ADJ PART VERB PRON ADV	▁In ▁the ▁same ▁area ▁the ▁Dar t ▁S ail ing ▁School ▁not ▁only ▁teach es ▁but ▁offers ▁charter ▁boats ▁from ▁28 ▁ft ▁to ▁60 ▁ft ▁when ▁you ▁' re ▁ready ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP DET ADJ NOUN DET PROPN PROPN PROPN PROPN PROPN PROPN ADV ADV VERB VERB CCONJ VERB NOUN NOUN ADP NUM NOUN PART NUM NOUN ADV PRON VERB VERB ADJ PART VERB PRON ADV ADV
Mary goes it alone in song	0 1 1 1 0 0	go it alone	figurative	inflection	PROPN VERB PRON ADV ADP NOUN	▁Mary ▁goes ▁it ▁alone ▁in ▁so ng	0 1 1 1 0 0 0	PROPN VERB PRON ADV ADP NOUN NOUN
If we would not be better off, it might be better to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADP PRON VERB ADV VERB ADJ PART PRON VERB VERB ADJ PART VERB PRON ADV	▁If ▁we ▁would ▁not ▁be ▁better ▁off , ▁it ▁might ▁be ▁better ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PRON VERB ADV VERB ADJ PART PART PRON VERB VERB ADJ PART VERB PRON ADV ADV
Though the firms eventually chose America's General Dynamics ( having had their second choice, McDonnell Douglas, and their first choice, going it alone, overruled by the Japanese government ), the group also looked at the Panavia Tornado, the Anglo - American Harrier it and the Swedish Gripen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	inflection	ADP DET NOUN ADV VERB PROPN PROPN PROPN PUNCT VERB VERB ADJ ADJ NOUN PROPN PROPN CCONJ ADJ ADJ NOUN VERB PRON ADV VERB ADP DET ADJ NOUN PUNCT DET NOUN ADV VERB ADP DET PROPN PROPN DET ADJ PUNCT ADJ PROPN PRON CCONJ DET PROPN PROPN	▁Though ▁the ▁firms ▁eventually ▁chose ▁America ' s ▁General ▁Dynamic s ▁( ▁having ▁had ▁their ▁second ▁choice , ▁Mc D onne ll ▁Douglas , ▁and ▁their ▁first ▁choice , ▁going ▁it ▁alone , ▁over ru led ▁by ▁the ▁Japanese ▁government ▁ ), ▁the ▁group ▁also ▁looked ▁at ▁the ▁Pan avia ▁To rn ado , ▁the ▁Anglo ▁- ▁American ▁Har rier ▁it ▁and ▁the ▁Swedish ▁G rip en .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADV VERB PROPN PROPN PROPN PROPN PROPN PROPN PUNCT VERB VERB ADJ ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADJ ADJ NOUN NOUN VERB PRON ADV ADV VERB VERB VERB ADP DET ADJ NOUN PUNCT PUNCT DET NOUN ADV VERB ADP DET PROPN PROPN PROPN PROPN PROPN PROPN DET ADJ PUNCT ADJ PROPN PROPN PRON CCONJ DET PROPN PROPN PROPN PROPN PROPN
Something had to give and Pink Floyd shed Waters to go it alone as a trio.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	NOUN VERB PART VERB CCONJ PROPN PROPN VERB PROPN PART VERB PRON ADV ADP DET NOUN	▁S omething ▁had ▁to ▁give ▁and ▁P ink ▁Flo y d ▁shed ▁Water s ▁to ▁go ▁it ▁alone ▁as ▁a ▁tri o .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	NOUN NOUN VERB PART VERB CCONJ PROPN PROPN PROPN PROPN PROPN VERB PROPN PROPN PART VERB PRON ADV ADP DET NOUN NOUN NOUN
' They prefer to go it alone, creating instability and uncertainty, ' he said.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	go it alone	figurative	identical	PUNCT PRON VERB PART VERB PRON ADV VERB NOUN CCONJ NOUN PUNCT PRON VERB	▁' ▁They ▁prefer ▁to ▁go ▁it ▁alone , ▁creating ▁instability ▁and ▁uncertainty , ▁' ▁he ▁said .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	PUNCT PRON VERB PART VERB PRON ADV ADV VERB NOUN CCONJ NOUN NOUN PUNCT PRON VERB VERB
Self - delusion could easily once again cloud the judgment of the shadow cabinet and Labour could go it alone at the next election, perhaps with the same misplaced confidence in a ‘ safety first’ stance that will deliver success if the dangers inherent in new initiatives are avoided and new ideas anathemised.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	NOUN PUNCT NOUN VERB ADV ADV ADV VERB DET NOUN ADP DET NOUN NOUN CCONJ PROPN VERB VERB PRON ADV ADP DET ADJ NOUN ADV ADP DET ADJ VERB NOUN ADP DET NUM NOUN NOUN NOUN ADJ VERB VERB NOUN ADP DET NOUN ADJ ADP ADJ NOUN VERB VERB CCONJ ADJ NOUN VERB	▁Self ▁- ▁delusion ▁could ▁easily ▁once ▁again ▁cloud ▁the ▁judgment ▁of ▁the ▁shadow ▁cabinet ▁and ▁Labour ▁could ▁go ▁it ▁alone ▁at ▁the ▁next ▁election , ▁perhaps ▁with ▁the ▁same ▁mis place d ▁confidence ▁in ▁a ▁ ‘ ▁safety ▁first ’ ▁stance ▁that ▁will ▁deliver ▁success ▁if ▁the ▁dangers ▁inherent ▁in ▁new ▁initiatives ▁are ▁avoided ▁and ▁new ▁ideas ▁an ath em ised .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN PUNCT NOUN VERB ADV ADV ADV VERB DET NOUN ADP DET NOUN NOUN CCONJ PROPN VERB VERB PRON ADV ADP DET ADJ NOUN NOUN ADV ADP DET ADJ VERB VERB VERB NOUN ADP DET NUM NUM NOUN NOUN NOUN NOUN ADJ VERB VERB NOUN ADP DET NOUN ADJ ADP ADJ NOUN VERB VERB CCONJ ADJ NOUN VERB VERB VERB VERB VERB
The Conservatives may have tried to go it alone and form a minority government, but some kind of party - splitting coalition government could well have been more likely.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	DET PROPN VERB VERB VERB PART VERB PRON ADV CCONJ VERB DET NOUN NOUN CCONJ DET NOUN ADP NOUN PUNCT NOUN NOUN NOUN VERB ADV VERB VERB ADV ADJ	▁The ▁C onservative s ▁may ▁have ▁tried ▁to ▁go ▁it ▁alone ▁and ▁form ▁a ▁minority ▁government , ▁but ▁some ▁kind ▁of ▁party ▁- ▁splitting ▁coal ition ▁government ▁could ▁well ▁have ▁been ▁more ▁likely .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN VERB VERB VERB PART VERB PRON ADV CCONJ VERB DET NOUN NOUN NOUN CCONJ DET NOUN ADP NOUN PUNCT NOUN NOUN NOUN NOUN VERB ADV VERB VERB ADV ADJ ADJ
I had imagined go - it - alone people to be temperamentally independent - minded and even rebellious — and perhaps to feel a kind of robust roguishness at cheating the taxman on principle.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	dashes	PRON VERB VERB NOUN PUNCT PRON PUNCT ADJ NOUN PART VERB ADV ADJ PUNCT ADJ CCONJ ADV ADJ PUNCT CCONJ ADV PART VERB DET NOUN ADP ADJ NOUN ADP VERB DET NOUN ADP NOUN	▁I ▁had ▁imagine d ▁go ▁- ▁it ▁- ▁alone ▁people ▁to ▁be ▁temper ament ally ▁independent ▁- ▁mind ed ▁and ▁even ▁rebel l ious ▁ — ▁and ▁perhaps ▁to ▁feel ▁a ▁kind ▁of ▁robust ▁ro gu ish ness ▁at ▁che ating ▁the ▁tax man ▁on ▁principle .	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB NOUN PUNCT PRON PUNCT ADJ NOUN PART VERB ADV ADV ADV ADJ PUNCT ADJ ADJ CCONJ ADV ADJ ADJ ADJ PUNCT PUNCT CCONJ ADV PART VERB DET NOUN ADP ADJ NOUN NOUN NOUN NOUN ADP VERB VERB DET NOUN NOUN ADP NOUN NOUN
It seemed a bit lukewarm, and we felt we had to go it alone.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	PRON VERB DET NOUN ADJ CCONJ PRON VERB PRON VERB PART VERB PRON ADV	▁It ▁seemed ▁a ▁bit ▁l uke war m , ▁and ▁we ▁felt ▁we ▁had ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB DET NOUN ADJ ADJ ADJ ADJ ADJ CCONJ PRON VERB PRON VERB PART VERB PRON ADV ADV
So you decided to go it alone.	0 0 0 0 1 1 1	go it alone	figurative	identical	ADV PRON VERB PART VERB PRON ADV	▁So ▁you ▁decided ▁to ▁go ▁it ▁alone .	0 0 0 0 1 1 1 1	ADV PRON VERB PART VERB PRON ADV ADV
If you want me to trust in you, you 'll have to do more than protest your innocence, or you go it alone.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	dashes	ADP PRON VERB PRON PART VERB ADP PRON PRON VERB VERB PART VERB ADJ ADP VERB ADJ NOUN CCONJ PRON VERB PRON VERB	▁If ▁you ▁want ▁me ▁to ▁trust ▁in ▁you , ▁you ▁' ll ▁have ▁to ▁do ▁more ▁than ▁protest ▁your ▁in no c ence , ▁or ▁you ▁go ▁it ▁alone . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP PRON VERB PRON PART VERB ADP PRON PRON PRON VERB VERB VERB PART VERB ADJ ADP VERB ADJ NOUN NOUN NOUN NOUN NOUN CCONJ PRON VERB PRON VERB VERB VERB
But, with Kosovo's ethnic Albanian majority demanding its own state, and with Russia refusing to recognize UN mediator Martti ~ Ahtisaari's plan for conditional independence, the US is preparing to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	CCONJ ADP PROPN ADJ ADJ NOUN VERB ADJ ADJ NOUN CCONJ ADP PROPN VERB PART VERB PROPN NOUN PROPN PUNCT PROPN NOUN ADP ADJ NOUN DET PROPN VERB VERB PART VERB PRON ADV	▁But , ▁with ▁Kosovo ' s ▁ethnic ▁Albanian ▁majority ▁demanding ▁its ▁own ▁state , ▁and ▁with ▁Russia ▁refus ing ▁to ▁recognize ▁UN ▁mediator ▁Mart ti ▁ ~ ▁A h tis a ari ' s ▁plan ▁for ▁conditional ▁independence , ▁the ▁US ▁is ▁preparing ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ CCONJ ADP PROPN PROPN PROPN ADJ ADJ NOUN VERB ADJ ADJ NOUN NOUN CCONJ ADP PROPN VERB VERB PART VERB PROPN NOUN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADP ADJ NOUN NOUN DET PROPN VERB VERB PART VERB PRON ADV ADV
