Ought to have seen them walking down North Road.	0 0 0 0 0 0 1 0 1	down the road	literal	combined-other	VERB PART VERB VERB PRON VERB PART PROPN PROPN	▁O ught ▁to ▁have ▁seen ▁them ▁walking ▁down ▁North ▁Road .	0 0 0 0 0 0 0 1 0 1 1	VERB VERB PART VERB VERB PRON VERB PART PROPN PROPN PROPN
Eventually they got away, but they had got hardly a hundred yards down the road when she suddenly screamed out, ‘ We 've left them.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADV PRON VERB ADV CCONJ PRON VERB VERB ADV DET NUM NOUN ADP DET NOUN ADV PRON ADV VERB PART PUNCT PRON VERB VERB NOUN	▁Even tual ly ▁they ▁got ▁away , ▁but ▁they ▁had ▁got ▁hardly ▁a ▁hundred ▁yards ▁down ▁the ▁road ▁when ▁she ▁suddenly ▁scr eamed ▁out , ▁ ‘ ▁We ▁' ve ▁left ▁them . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV PRON VERB ADV ADV CCONJ PRON VERB VERB ADV DET NUM NOUN ADP DET NOUN ADV PRON ADV VERB VERB PART PART PUNCT PUNCT PRON VERB VERB VERB NOUN NOUN NOUN
About Peter Fleming, I saw him walking down Romney Road as I came here. '	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	down the road	literal	combined-other	ADP PROPN PROPN PRON VERB PRON VERB PART PROPN PROPN ADP PRON VERB ADV PUNCT	▁ About ▁Peter ▁Fle ming , ▁I ▁saw ▁him ▁walking ▁down ▁Rom ney ▁Road ▁as ▁I ▁came ▁here . ▁'	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	ADP ADP PROPN PROPN PROPN PROPN PRON VERB PRON VERB PART PROPN PROPN PROPN ADP PRON VERB ADV ADV PUNCT
The equivalent of today ’s policy rate rose to 22 % as he launched a bold anti - inflationary crusade, accepting significant upfront costs for gains down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	figurative	identical	DET NOUN ADP NOUN PART NOUN NOUN VERB ADP NUM NOUN ADP PRON VERB DET ADJ ADV PUNCT ADJ NOUN VERB ADJ ADJ NOUN ADP NOUN ADP DET NOUN	▁The ▁equivalent ▁of ▁today ▁ ’ s ▁policy ▁rate ▁rose ▁to ▁22 ▁% ▁as ▁he ▁launched ▁a ▁bold ▁anti ▁- ▁in flationary ▁cru s ade , ▁accepting ▁significant ▁up front ▁costs ▁for ▁gains ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN ADP NOUN PART PART PART NOUN NOUN VERB ADP NUM NOUN ADP PRON VERB DET ADJ ADV PUNCT ADJ ADJ NOUN NOUN NOUN NOUN VERB ADJ ADJ ADJ NOUN ADP NOUN ADP DET NOUN NOUN
Your driving down the road, and you carry on driving if there's no cross - roads.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADJ VERB ADP DET NOUN CCONJ PRON VERB PART VERB ADP ADV DET NOUN PUNCT NOUN	▁Your ▁driving ▁down ▁the ▁road , ▁and ▁you ▁carry ▁on ▁driving ▁if ▁there ' s ▁no ▁cross ▁- ▁roads .	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ VERB ADP DET NOUN NOUN CCONJ PRON VERB PART VERB ADP ADV ADV ADV DET NOUN PUNCT NOUN NOUN
' You can't go out like that, ' said Wendy to Apricot when she was four, ' it's freezing,'and little Apricot, in nothing but vest and pants, ran straight out into the street and down the long suburban road to the small playground which a benign council had made for the children in the sharp triangle of land where the railway line intersected the water - purifying plant.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	insertion-other	PUNCT PRON VERB VERB PART ADP DET PUNCT VERB NOUN ADP PROPN ADV PRON VERB NUM PUNCT PRON ADJ ADJ PROPN ADP NOUN CCONJ NOUN CCONJ NOUN VERB ADV ADV ADP DET NOUN CCONJ ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN ADJ DET ADJ NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADV DET NOUN NOUN VERB DET NOUN PUNCT VERB NOUN	▁' ▁You ▁can ' t ▁go ▁out ▁like ▁that , ▁' ▁said ▁We nd y ▁to ▁Apr ico t ▁when ▁she ▁was ▁four , ▁' ▁it ' s ▁freezing , ' and ▁little ▁Apr ico t , ▁in ▁nothing ▁but ▁v est ▁and ▁p ants , ▁ran ▁straight ▁out ▁into ▁the ▁street ▁and ▁down ▁the ▁long ▁sub urban ▁road ▁to ▁the ▁small ▁play ground ▁which ▁a ▁be nign ▁council ▁had ▁made ▁for ▁the ▁children ▁in ▁the ▁sharp ▁triangle ▁of ▁land ▁where ▁the ▁railway ▁line ▁inter s ected ▁the ▁water ▁- ▁purifying ▁plant .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PRON VERB VERB VERB VERB PART ADP DET DET PUNCT VERB NOUN NOUN NOUN ADP PROPN PROPN PROPN ADV PRON VERB NUM NUM PUNCT PRON PRON PRON ADJ ADJ ADJ ADJ ADJ PROPN PROPN PROPN PROPN ADP NOUN CCONJ NOUN NOUN CCONJ NOUN NOUN NOUN VERB ADV ADV ADP DET NOUN CCONJ ADP DET ADJ ADJ ADJ NOUN ADP DET ADJ NOUN NOUN ADJ DET ADJ ADJ NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADV DET NOUN NOUN VERB VERB VERB DET NOUN PUNCT VERB NOUN NOUN
He had been in Britain for over twenty years and never had any problem or contact with the police except for one occasion when he was with Mum on a shopping expedition and police officers approached him and said, ‘ You fit the description of a guy that has just mugged a woman down the road.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	dashes	PRON VERB VERB ADP PROPN ADP ADP NUM NOUN CCONJ ADV VERB DET NOUN CCONJ NOUN ADP DET NOUN ADP ADP NUM NOUN ADV PRON VERB ADP PROPN ADP DET NOUN NOUN CCONJ NOUN NOUN VERB PRON CCONJ VERB PUNCT PRON VERB DET NOUN ADP DET NOUN ADJ VERB ADV VERB DET NOUN ADP DET NOUN	▁He ▁had ▁been ▁in ▁Britain ▁for ▁over ▁twenty ▁years ▁and ▁never ▁had ▁any ▁problem ▁or ▁contact ▁with ▁the ▁police ▁except ▁for ▁one ▁occasion ▁when ▁he ▁was ▁with ▁M um ▁on ▁a ▁shopping ▁expedit ion ▁and ▁police ▁officers ▁approached ▁him ▁and ▁said , ▁ ‘ ▁You ▁fit ▁the ▁description ▁of ▁a ▁ guy ▁that ▁has ▁just ▁mu gg ed ▁a ▁woman ▁down ▁the ▁road . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB VERB ADP PROPN ADP ADP NUM NOUN CCONJ ADV VERB DET NOUN CCONJ NOUN ADP DET NOUN ADP ADP NUM NOUN ADV PRON VERB ADP PROPN PROPN ADP DET NOUN NOUN NOUN CCONJ NOUN NOUN VERB PRON CCONJ VERB VERB PUNCT PUNCT PRON VERB DET NOUN ADP DET NOUN NOUN ADJ VERB ADV VERB VERB VERB DET NOUN ADP DET NOUN NOUN NOUN
He went outside, shutting the large doors silently and started off down the concrete road.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	down the road	literal	insertion-other	PRON VERB ADV VERB DET ADJ NOUN ADV CCONJ VERB PART ADP DET ADJ NOUN	▁He ▁went ▁outside , ▁shutt ing ▁the ▁large ▁doors ▁silent ly ▁and ▁started ▁off ▁down ▁the ▁concrete ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	PRON VERB ADV ADV VERB VERB DET ADJ NOUN ADV ADV CCONJ VERB PART ADP DET ADJ NOUN NOUN
Go down this road until you get to a traffic ~ light and then turn left.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	determiner-narrow	VERB PART DET NOUN ADP PRON VERB ADP DET NOUN PUNCT NOUN CCONJ ADV VERB ADV	▁Go ▁down ▁this ▁road ▁until ▁you ▁get ▁to ▁a ▁traffic ▁ ~ ▁light ▁and ▁then ▁turn ▁left .	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB PART DET NOUN ADP PRON VERB ADP DET NOUN PUNCT PUNCT NOUN CCONJ ADV VERB ADV ADV
A procession of blackclad dignitaries streamed down the road like a column of soldier ants and came to a halt on the bridge.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	DET NOUN ADP ADJ NOUN VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN	▁A ▁process ion ▁of ▁black c lad ▁di g nit aries ▁stream ed ▁down ▁the ▁road ▁like ▁a ▁column ▁of ▁sold ier ▁an ts ▁and ▁came ▁to ▁a ▁halt ▁on ▁the ▁bridge .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN ADP ADJ ADJ ADJ NOUN NOUN NOUN NOUN VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN NOUN NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN NOUN
Course though they had the bombs drop down the road here, they had a bomb drop just down the road here.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADV ADP PRON VERB DET NOUN VERB ADP DET NOUN ADV PRON VERB DET NOUN NOUN ADV ADP DET NOUN ADV	▁Course ▁though ▁they ▁had ▁the ▁bomb s ▁drop ▁down ▁the ▁road ▁here , ▁they ▁had ▁a ▁bomb ▁drop ▁just ▁down ▁the ▁road ▁here .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP PRON VERB DET NOUN NOUN VERB ADP DET NOUN ADV ADV PRON VERB DET NOUN NOUN ADV ADP DET NOUN ADV ADV
I saw this cat coming down the road	0 0 0 0 0 1 0 1	down the road	literal	identical	PRON VERB DET NOUN VERB ADP DET NOUN	▁I ▁saw ▁this ▁cat ▁coming ▁down ▁the ▁road	0 0 0 0 0 1 0 1	PRON VERB DET NOUN VERB ADP DET NOUN
Or you could go down California Road	0 0 0 0 1 0 1	down the road	literal	combined-other	CCONJ PRON VERB VERB ADP PROPN PROPN	▁Or ▁you ▁could ▁go ▁down ▁California ▁Road	0 0 0 0 1 0 1	CCONJ PRON VERB VERB ADP PROPN PROPN
