I think it's certainly true and I think it one shouldn't be too doom and gloom about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	doom and gloom	figurative	identical	PRON VERB PRON ADV ADJ CCONJ PRON VERB PRON PRON VERB VERB ADV NOUN CCONJ NOUN ADP PRON
Developing countries, it is said, are headed for strong growth, regardless of the doom and gloom that has returned to Europe and the United ~ States.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	VERB NOUN PRON VERB VERB VERB VERB ADP ADJ NOUN ADV ADP DET NOUN CCONJ NOUN ADJ VERB VERB ADP PROPN CCONJ DET PROPN PUNCT PROPN
Silver added : ‘ We 've also got a 17,000 capacity stand under construction as part of plans to make Elland Road a 40,000 all - seater stadium, so it's not all doom and gloom.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	doom and gloom	figurative	dashes	NOUN VERB PUNCT PUNCT PRON VERB ADV VERB DET NUM NOUN NOUN ADP NOUN ADP NOUN ADP NOUN PART VERB PROPN PROPN DET NUM DET PUNCT NOUN NOUN CCONJ PRON ADV DET NOUN CCONJ VERB
But it's not all doom and gloom — the number of vacancies is higher than it was a year ago.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	CCONJ PRON ADV DET NOUN CCONJ NOUN PUNCT DET NOUN ADP NOUN VERB ADJ ADP PRON VERB DET NOUN ADJ
I I was interested in you saying about the doom and gloom which is	0 0 0 0 0 0 0 0 0 1 1 1 0 0	doom and gloom	figurative	identical	PRON PRON VERB ADJ ADP PRON VERB ADP DET NOUN CCONJ NOUN ADJ VERB
YOU can escape the November doom and gloom by booking a low - cost, winter sun package with Inspirations.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	PRON VERB VERB DET PROPN NOUN CCONJ NOUN ADP VERB DET ADJ PUNCT NOUN NOUN NOUN NOUN ADP PROPN
At first sight this is another version of the doom and gloom story.	0 0 0 0 0 0 0 0 0 1 1 1 0	doom and gloom	figurative	identical	ADP ADJ NOUN DET VERB DET NOUN ADP DET NOUN CCONJ NOUN NOUN
Brian Roberts, chairman of Langbaurgh Council's policy and resources committee, said : ‘ It's all doom and gloom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	doom and gloom	figurative	identical	PROPN PROPN NOUN ADP PROPN PROPN NOUN CCONJ NOUN NOUN VERB PUNCT PUNCT PRON DET NOUN CCONJ NOUN
I recognise the importance of this particular game, not only from England's quest to qualify for 1994, but also to lift us out of our doom and gloom.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	doom and gloom	figurative	dashes	PRON VERB DET NOUN ADP DET ADJ NOUN ADV ADV ADP PROPN NOUN PART VERB ADP NUM CCONJ ADV PART VERB PRON ADP ADP ADJ NOUN CCONJ X
It is certainly true that the climate for attracting new recruits to the professions is not improved by continued reporting on the doom and gloom aspects of working in the NHS.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	doom and gloom	figurative	identical	PRON VERB ADV ADJ ADP DET NOUN ADP VERB ADJ NOUN ADP DET NOUN VERB ADV VERB ADP VERB VERB ADP DET NOUN CCONJ NOUN NOUN ADP VERB ADP DET PROPN
He was reacting to the Tory group's comments that the ‘ prophets of doom and gloom’ were incapable of recognising how much the region has progressed in the last 13 years.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	dashes	PRON VERB VERB ADP DET PROPN NOUN NOUN ADP DET PUNCT NOUN ADP NOUN CCONJ INTJ VERB ADJ ADP VERB ADV ADJ DET NOUN VERB VERB ADP DET ADJ NUM NOUN
So amidst the doom and gloom that seems to cloud the the African horizon, we can see that aid does work and in the example I 've just given, that it works indeed for children.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADV ADP DET NOUN CCONJ NOUN ADJ VERB PART VERB DET DET ADJ NOUN PRON VERB VERB DET NOUN VERB NOUN CCONJ ADP DET NOUN PRON VERB ADV VERB ADP PRON VERB ADV ADP NOUN
There's been so much doom and gloom around it's nice to have some good news.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADV VERB ADV ADJ NOUN CCONJ NOUN ADP PRON ADJ PART VERB DET ADJ NOUN
‘ Our experience indicates that the national feeling of doom and gloom in residential property ownership is clearly not appropriate in our region.’	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	PUNCT ADJ NOUN VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN ADP ADJ NOUN NOUN VERB ADV ADV ADJ ADP ADJ PUNCT
So, gentlemen, what I 'm really doing is to show you a bit of the background and the fact that it's not all doom and gloom there is a hell of a light at the tunnel and in matter of fact, we got another lecture on the channel tunnel in a few days time!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADV NOUN NOUN PRON VERB ADV VERB VERB PART VERB PRON DET NOUN ADP DET NOUN CCONJ DET NOUN ADP PRON ADV DET NOUN CCONJ NOUN ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP NOUN ADP NOUN PRON VERB DET NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN
Shopping is the antidote to economic doom and gloom, claims survey Families ‘ spending way out of slump’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	NOUN VERB DET NOUN ADP ADJ NOUN CCONJ NOUN VERB VERB PROPN PART NOUN NOUN ADP ADP NOUN
But the picture isn't all one of doom and gloom.	0 0 0 0 0 0 0 1 1 1	doom and gloom	figurative	identical	CCONJ DET NOUN VERB DET NUM ADP NOUN CCONJ NOUN
It's a silver lining the Chancellor desperately needs amidst the current spate of doom and gloom, most recently this weekend C B I report showing industry in recession.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	PRON DET NOUN VERB DET PROPN ADV VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN ADV ADV DET NOUN NOUN PROPN PRON VERB VERB NOUN ADP NOUN
I ve no reason to get carried away myself … just like I was nt all doom and gloom before the Oldham match.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	doom and gloom	figurative	identical	PRON VERB DET NOUN PART VERB VERB ADV PRON PUNCT ADV INTJ PRON VERB ADV DET NOUN CCONJ NOUN ADP DET PROPN NOUN
It's not all doom and gloom.	0 0 0 1 1 1	doom and gloom	figurative	identical	PRON ADV DET NOUN CCONJ NOUN
Recent news pages have been littered with doom and gloom about company collapses, including some well - known names.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADJ NOUN NOUN VERB VERB VERB ADP NOUN CCONJ NOUN ADP NOUN VERB VERB DET ADV PUNCT VERB NOUN
But, given the doom and gloom already surrounding the earliest silent movies, maybe he wasn't joking at all.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	CCONJ VERB DET NOUN CCONJ NOUN ADV VERB DET ADJ ADJ NOUN ADV PRON VERB VERB ADV ADV
A Unionist past of failure and frustration from the doom and gloom merchants who denigrate their own country and tell us we could not survive without London ; or an independent future of hope, vision and self respect, as Scots regain our rightful place as equal partners in the European family of nations.’	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	DET ADJ NOUN ADP NOUN CCONJ NOUN ADP DET NOUN CCONJ NOUN NOUN NOUN VERB ADJ ADJ NOUN CCONJ VERB PRON PRON VERB ADV VERB ADP PROPN PUNCT CCONJ DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN ADP NOUN VERB ADJ ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP PROPN
This gives us something that hangs, hangs the legislation on, this gives us a chink of sunshine in all the doom and gloom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	doom and gloom	figurative	identical	DET VERB PRON NOUN ADJ VERB VERB DET NOUN ADP DET VERB PRON DET NOUN ADP NOUN ADP ADJ DET NOUN CCONJ NOUN
Eastenders now is all doom and gloom.	0 0 0 0 1 1 1	doom and gloom	figurative	identical	NOUN ADV VERB DET NOUN CCONJ NOUN
However it's not all doom and gloom.	0 0 0 0 1 1 1	doom and gloom	figurative	identical	ADV PRON ADV DET NOUN CCONJ NOUN
The constant exposure to doom and gloom that most of us take for granted can be a source of hidden stress — if you have real problems to contend with you do not need this extra mental burden.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	DET ADJ NOUN PART NOUN CCONJ NOUN ADJ ADJ ADP PRON VERB ADP VERB VERB VERB DET NOUN ADP ADJ NOUN PUNCT ADP PRON VERB ADJ NOUN PART VERB ADP PRON VERB ADV VERB DET ADJ ADJ NOUN
With the depressed economy and appalling trade figures ( improved a little, one hopes, by a healthy Christmas ), I was expecting doom and gloom as I did my recent rounds of the publishing houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADP DET ADJ NOUN CCONJ ADJ NOUN NOUN PUNCT VERB DET ADJ NUM VERB ADP DET ADJ PROPN PUNCT PRON VERB VERB NOUN CCONJ NOUN ADP PRON VERB ADJ ADJ NOUN ADP DET NOUN NOUN
There's been a lot of doom and gloom spoken about ‘ the depressed market’, and certainly the fiscal policy of high interest rates has had the short - term effect that was intended.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADV VERB DET NOUN ADP NOUN CCONJ NOUN VERB ADP VERB DET ADJ NOUN CCONJ ADV DET ADJ NOUN ADP ADJ NOUN NOUN VERB VERB DET ADJ PUNCT NOUN NOUN ADJ VERB VERB
Despite the obvious setbacks, not all is doom and gloom in London's Docklands	0 0 0 0 0 0 0 1 1 1 0 0 0	doom and gloom	figurative	identical	ADP DET ADJ NOUN ADV DET VERB NOUN CCONJ NOUN ADP PROPN PROPN
The prophets of doom and gloom got it wrong.	0 0 0 1 1 1 0 0 0	doom and gloom	figurative	identical	DET NOUN ADP NOUN CCONJ NOUN VERB PRON ADJ
But enough of such doom and gloom ; what's it like working with Guitarist Number One Diamond Geezer, Edwyn Collins?	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	CCONJ ADJ ADP ADJ NOUN CCONJ NOUN PUNCT NOUN PRON ADP VERB ADP PROPN PROPN NUM PROPN PROPN PROPN PROPN
But anyway, the point is, he does actually bring doom and gloom!	0 0 0 0 0 0 0 0 0 1 1 1	doom and gloom	figurative	identical	CCONJ ADV DET NOUN VERB PRON VERB ADV VERB NOUN CCONJ NOUN
‘ It's not all doom and gloom,’ insisted Keegan.	0 0 0 0 1 1 1 0 0	doom and gloom	figurative	dashes	PUNCT PRON ADV DET NOUN CCONJ PROPN VERB PROPN
So much of what has been written is of the doom and gloom variety.	0 0 0 0 0 0 0 0 0 0 1 1 1 0	doom and gloom	figurative	identical	ADV ADJ ADP NOUN VERB VERB VERB VERB ADP DET NOUN CCONJ NOUN NOUN
So I 'm sorry Mr Chairman if the report is doom and gloom but that is the situation that does prevail we will endeavour to work to the best of our ability, or the lack of it but please remember the constraints that we are under and if we have got any views, to stand, and if we do want to help the people in Dundee and we do want to stop the government pilfering the British Rail pension scheme	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADV PRON VERB ADJ PROPN PROPN ADP DET NOUN VERB NOUN CCONJ NOUN CCONJ DET VERB DET NOUN ADJ VERB VERB PRON VERB VERB PART VERB ADP DET ADJ ADP ADJ NOUN CCONJ DET NOUN ADP PRON CCONJ INTJ VERB DET NOUN ADJ PRON VERB ADP CCONJ ADP PRON VERB VERB DET NOUN PART VERB CCONJ ADP PRON VERB VERB PART VERB DET NOUN ADP PROPN CCONJ PRON VERB VERB PART VERB DET NOUN VERB DET PROPN PROPN NOUN NOUN
Far from the atmosphere of doom and gloom which I had imagined, there was far more camaraderie and cheerfulness than is shown nowadays.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADV ADP DET NOUN ADP NOUN CCONJ NOUN ADJ PRON VERB VERB ADV VERB ADV ADJ ADJ CCONJ NOUN ADP VERB VERB ADV
People should stop indulging in doom and gloom and, instead, looks to the future.	0 0 0 0 0 1 1 1 0 0 0 0 0 0	doom and gloom	figurative	identical	NOUN VERB VERB VERB ADP NOUN CCONJ NOUN CCONJ ADV VERB ADP DET NOUN
UP UNTIL Mind Bomb it was easy to see why Matt Johnson had never toured The The during its 10-year life span : the group was never more than a shifting collection of session players and ‘ guests’, songs so devoted to doom and gloom limited audiences to Exit members, the lunacy of the extended format Infected video implied visions far beyond the confines of the stage, and an inflated sense of his own worth would have made the risk of failure too great.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADP ADP PROPN PROPN PRON VERB ADJ PART VERB ADV PROPN PROPN VERB ADV VERB DET PROPN ADP ADJ NUM NOUN NOUN PUNCT DET NOUN VERB ADV ADJ ADP DET VERB NOUN ADP NOUN NOUN CCONJ NUM NOUN NOUN ADV ADJ PART VERB CCONJ VERB ADJ NOUN ADP NOUN NOUN DET NOUN ADP DET ADJ NOUN ADJ NOUN VERB NOUN ADV ADP DET NOUN ADP DET NOUN CCONJ DET ADJ NOUN ADP ADJ ADJ NOUN VERB VERB VERB DET NOUN ADP NOUN ADV ADJ
