Soviet culture is slipping down the drain	0 0 0 0 1 0 1	down the drain	figurative	identical	ADJ NOUN VERB VERB PART DET NOUN
It means, as one parent said, ‘ 19 years of hard work down the drain’.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	dashes	PRON VERB ADP NUM NOUN VERB NUM NUM NOUN ADP ADJ NOUN ADP DET NOUN
Actually, actually the installation date is oh blimey, Pats, you 're going right down the drain, ain't you?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	down the drain	figurative	identical	ADV ADV DET NOUN NOUN VERB INTJ ADJ PROPN PRON VERB VERB ADV ADP DET NOUN VERB PRON
‘ I 'm sure the fans will take this defeat more to heart than me, but it's only three points down the drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	PUNCT PRON VERB ADJ DET NOUN VERB VERB DET NOUN ADV ADP NOUN ADP PRON CCONJ PRON ADV NUM NOUN ADP DET NOUN
It's not just this town that is going down the drain, it is the country.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	down the drain	figurative	identical	PRON ADV ADV DET NOUN ADJ VERB VERB ADP DET NOUN PRON VERB DET NOUN
I can't afford to keep chucking two quid down the drain.	0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	PRON VERB VERB PART VERB VERB NUM NOUN ADP DET NOUN
Why are they allowing the ratepayers and taxpayers of this country to go on throwing money down the drain?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	ADV VERB PRON VERB DET NOUN CCONJ NOUN ADP DET NOUN PART VERB ADP VERB NOUN ADP DET NOUN
The so this alleyway has been here since at least sixteen ninety, probably rather earlier when the house began to go down the drain as it were, down the plughole.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	down the drain	figurative	identical	DET ADP DET NOUN VERB VERB ADV ADP ADV ADJ NUM NUM ADV ADV ADV ADV DET NOUN VERB PART VERB ADP DET NOUN ADP PRON VERB ADP DET NOUN
Oh : car of menace, car of blight Cars the atmosphere ignite Greenhouse warming, Havoc forming Parkinson must see us right We 're au fait with entropy Gaia, Ecosphere, synergy Words for greening But their meaning's A linguistic mystery Oh : politicians must invent Worship of environment Genuflecting by reflecting Words of verdant bafflement Now our water's unfit to drink Too much aluminium and zinc No solution To pollution No - one can stand the stink Oh : public filth and pestilence Highlights private opulence Does the glitter, clear the litter All it needs is pounds and pence GOD REST YE MERRY God rest ye merry, gentle Greens Let nothing you dismay The much foretold apocalypse Is now well under way Not even Mr Gorbachev Can stop the world's decay Oh, tidings of comfort and joy, Oh, tidings of comfort and joy We can't eat meat or hens or fish The farming is too cruel The only food we now permit Is foul organic gruel Irradiated food and veg Now double up as fuel Oh tidings of comfort and joy, Oh tidings of comfort and joy Now everybody wants a car Though noise and fumes are vile The Iron Curtain fractures and The jams stretch back for miles Mobility and liberty Can not be reconciled Oh tidings of comfort and joy, Oh tidings of comfort and joy We think that greenhouse warming will Bring on the world's demise If forests burn it's not just trees but mankind too that fries But all this may be garbage Because scientists tell lies Oh tidings of comfort and joy, Oh tidings of comfort and joy Consumers must buy less to reach Sustainability For galloping consumption is More lethal than TB So much for Third World dreams of fleeing Grinding poverty Oh tidings of comfort and joy, Oh tidings of comfort and joy Unless we stop producing kids The planet will not cope No hope for birth controllers short of Kidnapping the Pope But since the Greens recycle people they May turn us into soap Oh tidings of comfort and joy, Oh tidings of comfort and joy In searching for clean energy The choice is pretty stark The floods that come when coal is burnt will keep us in the Ark But had Lord Marshall got his way We 'd all glow in the dark Oh tidings of comfort and joy, Oh tidings of comfort and joy Dumb animals are much preferrred To flawed humanity Ill - treatment of old people may Provoke insanity But culling seals and whales is judged The worst profanity Oh tidings of comfort and joy, Oh tidings of comfort and joy Now Mrs Thatcher goes bright green A highly suspect hue Her policies have after all Kept filth and squalor blue It's just another way she's found To tell us what to do Oh, tidings of comfort and joy, Oh tidings of comfort and joy With greenhouse gases, PCBs Sulphuric acid rain This fragile globe's environment Is going down the drain It is a cosmic punishment That we can't start again Oh, tidings of comfort and joy, Oh tidings of comfort and joy Melanie Phillips OVERNIGHT FILE	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the drain	figurative	identical	INTJ PUNCT NOUN ADP NOUN NOUN ADP NOUN PROPN DET NOUN VERB PROPN NOUN PROPN VERB PROPN VERB VERB PRON INTJ PRON VERB X X ADP NOUN PROPN PROPN NOUN NOUN ADP VERB CCONJ ADJ NOUN DET ADJ NOUN INTJ PUNCT NOUN VERB VERB PROPN ADP NOUN NOUN ADP VERB PROPN ADP NOUN NOUN ADV ADJ NOUN ADJ PART VERB ADV ADJ NOUN CCONJ NOUN DET NOUN PART VERB NOUN PUNCT NOUN VERB VERB DET NOUN INTJ PUNCT ADJ NOUN CCONJ NOUN NOUN ADJ NOUN VERB DET NOUN VERB DET NOUN DET PRON VERB VERB NOUN CCONJ NOUN PROPN PROPN PROPN PROPN PROPN VERB ADJ NOUN ADJ NOUN VERB NOUN PRON VERB DET ADJ ADJ NOUN VERB ADV ADV ADP NOUN ADV ADV PROPN PROPN VERB VERB DET NOUN NOUN PROPN NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN PRON VERB VERB NOUN CCONJ VERB CCONJ VERB DET NOUN VERB ADV ADJ DET ADJ NOUN PRON ADV VERB VERB ADJ ADJ NOUN ADJ NOUN CCONJ NOUN ADV VERB PART ADP NOUN INTJ NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN ADV NOUN VERB DET NOUN PROPN NOUN CCONJ NOUN VERB ADP DET PROPN PROPN NOUN CCONJ DET NOUN VERB ADV ADP NOUN PROPN CCONJ NOUN VERB ADV VERB VERB INTJ NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN PRON VERB ADP NOUN NOUN VERB VERB PART DET NOUN NOUN ADP NOUN VERB PRON ADV ADV NOUN CCONJ NOUN ADV ADP NOUN CCONJ ADJ DET VERB VERB NOUN ADP NOUN VERB NOUN INTJ NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN PROPN VERB VERB ADJ PART VERB PROPN ADP VERB NOUN VERB ADV ADJ ADP PROPN ADV ADJ ADP PROPN PROPN NOUN ADP VERB VERB NOUN PROPN NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN ADP PRON VERB VERB NOUN DET NOUN VERB ADV VERB DET NOUN ADP NOUN NOUN ADJ ADP PROPN DET PROPN CCONJ ADP DET PROPN NOUN NOUN PRON VERB VERB PRON ADP NOUN INTJ NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN ADP VERB ADP ADJ NOUN DET NOUN VERB ADV ADJ DET NOUN ADJ VERB ADV NOUN VERB VERB VERB VERB PRON ADP DET PROPN CCONJ VERB PROPN PROPN VERB ADJ NOUN PRON VERB ADV VERB ADP DET ADJ INTJ NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN ADJ NOUN VERB ADV VERB PART VERB NOUN ADJ PUNCT NOUN ADP ADJ NOUN VERB VERB NOUN CCONJ VERB NOUN CCONJ NOUN VERB VERB DET ADJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN ADV PROPN PROPN VERB ADJ ADJ DET ADV ADJ ADJ ADJ NOUN VERB ADP DET PROPN NOUN CCONJ VERB NOUN PRON ADV DET NOUN PRON VERB PART VERB PRON NOUN PART VERB INTJ NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN ADP NOUN NOUN PROPN PROPN NOUN NOUN DET ADJ NOUN NOUN VERB VERB ADP DET NOUN PRON VERB DET ADJ NOUN ADJ PRON VERB VERB ADV INTJ NOUN ADP NOUN CCONJ NOUN INTJ NOUN ADP NOUN CCONJ NOUN PROPN PROPN PROPN PROPN
Indeed, unless much more is quickly done, the West's $ 13 billion will go directly down the drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	ADV ADP ADV ADJ VERB ADV VERB DET PROPN SYM NUM NUM VERB VERB ADV ADP DET NOUN
This witticism was lost on him apparently, for without a pause he continued : ‘ It's just money down the drain, you know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	down the drain	figurative	identical	DET NOUN VERB VERB ADP PRON ADV ADP ADP DET NOUN PRON VERB PUNCT PUNCT PRON ADV NOUN ADP DET NOUN PRON VERB
How much money is IBM pouring down the drain with OS/2?	0 0 0 0 0 0 1 0 1 0 0	down the drain	figurative	identical	ADV ADJ NOUN VERB PROPN VERB PART DET NOUN ADP PROPN
Yeah, just as a, as a side issue, I am interested that they 've been growing plum tomatoes because each year I hear of more and more people growing plum tomatoes successfully in this country and while we are just on the subject of diseases and things to control them, you may remember that a few weeks ago we were giving advice on how we should dispose of waste garden chemicals and, and we said you ought to pour it down an outside drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	down the drain	literal	combined-other	INTJ ADV ADP DET ADP DET NOUN NOUN PRON VERB ADJ ADP PRON VERB VERB VERB NOUN NOUN ADP DET NOUN PRON VERB ADP ADJ CCONJ ADJ NOUN VERB NOUN NOUN ADV ADP DET NOUN CCONJ ADP PRON VERB ADV ADP DET NOUN ADP NOUN CCONJ NOUN PART VERB PRON PRON VERB VERB ADP DET ADJ NOUN ADV PRON VERB VERB NOUN ADP ADV PRON VERB VERB ADP NOUN NOUN NOUN CCONJ CCONJ PRON VERB PRON VERB PART VERB PRON ADP DET ADJ NOUN
The EC is already funding a management programme for the threatened wetlands, and according to the Royal Society for the Protection of Birds, the Commission would be " pouring its own money down the drain " if it were to decide to back the scheme.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the drain	figurative	identical	DET PROPN VERB ADV VERB DET NOUN NOUN ADP DET VERB NOUN CCONJ VERB ADP DET PROPN PROPN ADP DET PROPN ADP PROPN DET PROPN VERB VERB PUNCT VERB ADJ ADJ NOUN ADP DET NOUN PUNCT ADP PRON VERB PART VERB PART VERB DET NOUN
Just before we leave, I go into the kitchen and turn on the tap so his hot water can run down the drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	literal	identical	ADV ADP PRON VERB PRON VERB ADP DET NOUN CCONJ VERB ADP DET NOUN ADP ADJ ADJ NOUN VERB VERB PART DET NOUN
18 months ' work down the drain,’ he said.	0 0 0 0 1 0 1 0 0	down the drain	figurative	dashes	NUM NOUN PART NOUN ADP DET NOUN PRON VERB
Eight hundred quid just like that, down the drain!	0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	NUM NUM NOUN ADV ADP DET ADP DET NOUN
And then they all went down the drain when you came to Nottingham.	0 0 0 0 0 1 0 1 0 0 0 0 0	down the drain	figurative	identical	CCONJ ADV PRON DET VERB ADP DET NOUN ADV PRON VERB ADP PROPN
That's an awful lot of training down the drain.’	0 0 0 0 0 0 1 0 1	down the drain	figurative	dashes	DET DET ADJ NOUN ADP NOUN PART DET NOUN
On 31 August 1948 it seemed certain that another glorious Hollywood career was about to be poured down the drain when Robert Mitchum was arrested for smoking marijuana.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	down the drain	figurative	identical	ADP NUM PROPN NUM PRON VERB ADJ ADP DET ADJ PROPN NOUN VERB ADJ PART VERB VERB PART DET NOUN ADV PROPN PROPN VERB VERB ADP VERB NOUN
Since the government's Autumn Statement we have seen increased health service charges, transport increases etcetera and now we hear in the recent Budget the result of Black Wednesday in September nineteen ninety two of which billions of pounds were thrown down the drain that workers will be expected to bear the burden once again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	down the drain	figurative	identical	ADP DET NOUN PROPN PROPN PRON VERB VERB VERB NOUN NOUN NOUN NOUN NOUN NOUN CCONJ ADV PRON VERB ADP DET ADJ PROPN DET NOUN ADP PROPN PROPN ADP PROPN NUM NUM NUM ADP ADJ NOUN ADP NOUN VERB VERB PART DET NOUN ADP NOUN VERB VERB VERB PART VERB DET NOUN ADV ADV
‘ It is time ministers took steps to stop this public money going down the drain.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	dashes	PUNCT PRON VERB NOUN NOUN VERB NOUN PART VERB DET ADJ NOUN VERB PART DET NOUN
Does not that remark demonstrate that we never had an independent nuclear deterrent, as neither President Yeltsin nor anyone else in the Soviet Union accepted it as a deterrent ; and that we have poured tens of billions of pounds down the drain trying to maintain that mystique?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	down the drain	figurative	identical	VERB ADV DET NOUN VERB ADP PRON ADV VERB DET ADJ ADJ NOUN ADP DET PROPN PROPN CCONJ NOUN ADV ADP DET PROPN PROPN VERB PRON ADP DET NOUN PUNCT CCONJ ADP PRON VERB VERB NOUN ADP NOUN ADP NOUN ADP DET NOUN VERB PART VERB DET NOUN
Water quality campaigners say a new treatment works to take nitrates out of drinking water is just money poured down the drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	NOUN NOUN NOUN VERB DET ADJ NOUN NOUN PART VERB NOUN ADP ADP NOUN NOUN VERB ADV NOUN VERB PART DET NOUN
experience down the drain is it's crazy.	0 1 0 1 0 0 0	down the drain	figurative	identical	VERB PART DET NOUN VERB PRON ADJ
System security : neglect is money down the drain	0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	NOUN NOUN PUNCT NOUN VERB NOUN ADP DET NOUN
You might as well take money and shovel it down the drain.	0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	PRON VERB ADV ADV VERB NOUN CCONJ VERB PRON ADP DET NOUN
I scowled at the thought of having to fork out the half - crown to cover his fine, which simply meant another day's profits down the drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	PRON VERB ADP DET NOUN ADP VERB PART VERB PART DET ADJ PUNCT NOUN PART VERB ADJ NOUN ADJ ADV VERB DET NOUN NOUN ADP DET NOUN
He threw a bottleful of his pills into the kitchen sink and tried to get them to go down the drain with the handle of a dishmop.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	down the drain	literal	identical	PRON VERB DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN CCONJ VERB PART VERB PRON PART VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN
It is a pity the needs of users did not rank too highly before £ 400 m poured down the drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	PRON VERB DET NOUN DET NOUN ADP NOUN VERB ADV VERB ADV ADV ADP SYM NUM NOUN VERB PART DET NOUN
It's £ 55,000 of poll tax payers’ money down the drain and, yet again, the bands and gig - goers have to suffer because of crazy council bureaucracy.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the drain	figurative	identical	PRON SYM NUM ADP ADJ NOUN NOUN NOUN ADP DET NOUN CCONJ CCONJ ADV DET NOUN CCONJ NOUN PUNCT NOUN VERB PART VERB ADP ADP ADJ NOUN NOUN
It may help to twist drain rods when pushing them down the drain.	0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	literal	identical	PRON VERB VERB PART VERB NOUN NOUN ADV VERB PRON ADP DET NOUN
These include plungers, wormscrews ( for boring into a blockage and pulling it out ), and scrapers for removing sludge and silt and either pushing it down the drain or pulling it back into the inspection chamber on which you are working.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	down the drain	literal	identical	DET VERB NOUN VERB PUNCT ADP VERB ADP DET NOUN CCONJ VERB PRON PART PUNCT CCONJ NOUN ADP VERB NOUN CCONJ NOUN CCONJ CCONJ VERB PRON ADP DET NOUN CCONJ VERB PRON ADV ADP DET NOUN NOUN ADP ADJ PRON VERB VERB
Now, in the early morning privacy of the bathroom, Matilda unscrewed the cap of her father's OIL OF VIOLETS and tipped three - quarters of the contents down the drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	literal	identical	ADV ADP DET ADJ NOUN NOUN ADP DET NOUN PROPN VERB DET NOUN ADP ADJ NOUN PROPN ADP PROPN CCONJ VERB NUM PUNCT NOUN ADP DET NOUN ADP DET NOUN
My film adaptation of Anthony Delano's richly comic book slip - Up’ How Fleet Street caught Ronnie Biggs and Scotland Yard lost him’cost the not unastronomical sum of £ 600,000 to make, so should it turn out to be money down the drain the BBC will have to face some embarrassing questions about why it embarked on it in the first place if it thought the story might be defamatory.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the drain	figurative	identical	ADJ NOUN NOUN ADP PROPN PROPN ADV ADJ NOUN NOUN PUNCT ADJ ADV PROPN PROPN VERB PROPN PROPN CCONJ PROPN PROPN VERB NOUN DET ADV ADJ NOUN ADP SYM NUM PART VERB ADV VERB PRON VERB PART PART VERB NOUN ADP DET NOUN DET PROPN VERB VERB PART VERB DET ADJ NOUN ADP ADV PRON VERB ADP PRON ADP DET ADJ NOUN ADP PRON VERB DET NOUN VERB VERB ADJ
Oh God, another 10 years down the drain ; More damage for the mirror to explain : Those whisps of grey, new veins across the nose, The growing paunch that half obscures the toes …	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the drain	figurative	identical	INTJ PROPN DET NUM NOUN ADP DET NOUN PUNCT ADJ NOUN ADP DET NOUN PART VERB PUNCT DET NOUN ADP ADJ ADJ NOUN ADP DET NOUN DET VERB NOUN ADP NOUN VERB DET NOUN PUNCT
Still to come on Central News, billions down the drain?	0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	ADV PART VERB ADP PROPN PROPN NOUN ADP DET NOUN
I fear that safety standards will go down the drain as people seek to make most profit.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	down the drain	figurative	identical	PRON VERB ADP NOUN NOUN VERB VERB ADP DET NOUN ADP NOUN VERB PART VERB ADJ NOUN
Do this in a clockwise direction, not anticlockwise or they will unscrew and you could have a length of drain rod stuck down the drain — as well as the original blockage!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	down the drain	literal	identical	VERB DET ADP DET NOUN NOUN ADV VERB CCONJ PRON VERB VERB CCONJ PRON VERB VERB DET NOUN ADP NOUN NOUN VERB PART DET NOUN PUNCT ADV ADV ADP DET ADJ NOUN
Pour it down the drains if necessary.	0 0 1 0 1 0 0	down the drain	literal	inflection	VERB PRON ADP DET NOUN ADP ADJ
‘ Even your shiksas go down the drain when they don't tickle your fancy anymore.’	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	down the drain	figurative	identical	PUNCT ADV ADJ NOUN VERB ADP DET NOUN ADV PRON VERB VERB ADJ ADJ NOUN
The wastes that go down the drain come from two main sources, the textiles themselves and the residues of chemicals employed in treating them.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the drain	literal	identical	DET NOUN ADJ VERB ADP DET NOUN VERB ADP NUM ADJ NOUN DET NOUN PRON CCONJ DET NOUN ADP NOUN VERB ADP VERB PRON
Yeah, talent going down the drain.	0 0 0 1 0 1	down the drain	figurative	identical	INTJ NOUN VERB ADP DET NOUN
As the argument goes on, Roger Sanderson says the time he spends cleaning up instead of working in his factory is money down the drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	ADP DET NOUN VERB PART PROPN PROPN VERB DET NOUN PRON VERB VERB PART ADV ADP VERB ADP ADJ NOUN VERB NOUN ADP DET NOUN
That's why this country's going down the drain.	0 0 0 0 0 1 0 1	down the drain	figurative	identical	DET ADV DET NOUN VERB ADP DET NOUN
In fact — he wants to leave school after O - levels. £ 6,000 a year down the drain!’ rather a loud voice)‘If he wants to be a sheep farmer in Australia?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	down the drain	figurative	dashes	ADP NOUN PUNCT PRON VERB PART VERB NOUN ADP NOUN PUNCT NOUN SYM NUM DET NOUN ADP DET NOUN ADV DET ADJ NOUN PRON VERB PART VERB DET NOUN NOUN ADP PROPN
