‘ Are acts of God designed to show us just how mortal we really are?’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	act of god	figurative	inflection	PUNCT VERB NOUN ADP PROPN VERB PART VERB PRON ADV ADV ADJ PRON ADV VERB
Many others might be described as acts of God — receiving a diagnosis of multiple sclerosis, for example.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	act of god	figurative	inflection	ADJ NOUN VERB VERB VERB ADP NOUN ADP PROPN PUNCT VERB DET NOUN ADP ADJ NOUN ADP NOUN
Life itself is endangered, their enemy is the elements, their tragedy derives from forces greater than they, forces of nature and vengeful acts of God.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	act of god	figurative	inflection	NOUN PRON VERB VERB ADJ NOUN VERB DET NOUN ADJ NOUN VERB ADP NOUN ADJ ADP PRON NOUN ADP NOUN CCONJ ADJ NOUN ADP PROPN
‘ Perhaps it was an act of God.’	0 0 0 0 0 1 1 1	act of god	figurative	dashes	PUNCT ADV PRON VERB DET NOUN ADP NOUN
This is a miraculous and supernatural act of God.	0 0 0 0 0 0 1 1 1	act of god	figurative	identical	DET VERB DET ADJ CCONJ ADJ NOUN ADP PROPN
‘ Sure and wasn't it an act of God that you came at all?’	0 0 0 0 0 0 1 1 1 0 0 0 0 0	act of god	figurative	identical	PUNCT INTJ CCONJ VERB PRON DET NOUN ADP PROPN ADJ PRON VERB ADP NOUN
Where the escape is caused directly by natural causes without human intervention in ‘ circumstances which no human foresight can provide against and of which human prudence is not bound to recognise the possibility,’ the defence of act of God applies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	act of god	figurative	identical	ADV DET NOUN VERB VERB ADV ADP ADJ NOUN ADP ADJ NOUN ADP ADJ NOUN ADJ DET ADJ NOUN VERB VERB ADP CCONJ ADP ADJ ADJ NOUN VERB ADV VERB PART VERB DET NOUN DET NOUN ADP NOUN ADP PROPN VERB
An act of God is usually held to have been the spark which ignited Ceauşescu's ambitions as a town - planner and architect of communism and spurred him to act on them.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	identical	DET NOUN ADP PROPN VERB ADV VERB PART VERB VERB DET NOUN ADJ VERB PROPN NOUN ADP DET NOUN PUNCT NOUN CCONJ NOUN ADP NOUN CCONJ VERB PRON PART VERB ADP PRON
As an act of God, Easter is not accessible to the methods of historical investigation.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	act of god	figurative	identical	ADP DET NOUN ADP PROPN PROPN VERB ADV ADJ ADP DET NOUN ADP ADJ NOUN
A long paragraph presented the acts of God in the Bible as like a mighty drama.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	act of god	figurative	inflection	DET ADJ NOUN VERB DET NOUN ADP PROPN ADP DET PROPN ADP ADP DET ADJ NOUN
Lightning, earthquakes, cloudbursts and tornadoes may be acts of God but there seems to be no English decision in which they have been involved.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	inflection	NOUN NOUN NOUN CCONJ NOUN VERB VERB NOUN ADP PROPN CCONJ ADV VERB PART VERB DET ADJ NOUN ADP ADJ PRON VERB VERB VERB
act of God	1 1 1	act of god	figurative	identical	NOUN ADP PROPN
They therefore adopted the view that faith was not a work because it was an act of God rather than of the human person.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	act of god	figurative	identical	PRON ADV VERB DET NOUN ADP NOUN VERB ADV DET NOUN ADP PRON VERB DET NOUN ADP PROPN ADV ADP ADP DET ADJ NOUN
‘ What I want to grieve is the old Maurice before he was laid so humiliatingly low by whatever it was — a stroke, a deprivation of oxygen, an act of God — we 'll never know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	act of god	figurative	identical	PUNCT NOUN PRON VERB PART VERB VERB DET ADJ PROPN ADP PRON VERB VERB ADV ADV ADJ ADP ADJ PRON VERB PUNCT DET NOUN DET NOUN ADP NOUN DET NOUN ADP PROPN PUNCT PRON VERB ADV VERB
Both in peace and in war death came to man in every guise of terror, so that insurance companies declined to provide against acts of God or the King s enemies, as if these formed a single category.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	inflection	DET ADP NOUN CCONJ ADP NOUN NOUN VERB PART NOUN ADP DET NOUN ADP NOUN ADP ADP NOUN NOUN VERB PART VERB ADP NOUN ADP PROPN CCONJ DET PROPN PART NOUN ADP ADP DET VERB DET ADJ NOUN
Obviously with so many having lost their lives on the disaster, you say that you don't feel it's maybe an act of God int hat sense, that you were picked to to be saved, but erm you don't feel any guilt as such either, o that you were one of the ones and er so many others had been lost?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	identical	ADV ADP ADV ADJ VERB VERB ADJ NOUN ADP DET NOUN PRON VERB ADP PRON VERB VERB PRON ADV DET NOUN ADP PROPN NOUN NOUN NOUN ADP PRON VERB VERB PART PART VERB VERB CCONJ ADV PRON VERB VERB DET NOUN ADP ADJ ADV X ADP PRON VERB NUM ADP DET NOUN CCONJ INTJ ADV ADJ NOUN VERB VERB VERB
Physical security breaches cover occurrences such as theft of equipment, and a number of what might be called ‘ acts of God’— lightning, flood or fire for instance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	act of god	figurative	combined-inflection	ADJ NOUN NOUN VERB NOUN ADJ ADP NOUN ADP NOUN CCONJ DET NOUN ADP NOUN VERB VERB VERB ADJ NOUN ADP NOUN NOUN NOUN CCONJ NOUN ADP NOUN
Aircraft accidents are not caused by ‘ acts of God’.	0 0 0 0 0 0 0 1 1 1	act of god	figurative	combined-inflection	NOUN NOUN VERB ADV VERB ADP ADJ NOUN ADP NOUN
‘ He can excuse himself by showing that the escape was owing to the plaintiff's default ; or perhaps that the escape was the consequence of vis major, or the act of God ; but as nothing of this sort exists here, it is unnecessary to inquire what excuse would be sufficient.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	act of god	figurative	identical	PUNCT PRON VERB VERB PRON ADP VERB ADP DET NOUN VERB VERB ADP DET NOUN NOUN PUNCT CCONJ ADV ADP DET NOUN VERB DET NOUN ADP X ADJ CCONJ DET NOUN ADP PROPN PUNCT CCONJ ADP NOUN ADP DET NOUN VERB ADV PRON VERB ADJ PART VERB ADJ NOUN VERB VERB ADJ
