A wealth of inviting attractions await all visitors who take the plunge …	0 0 0 0 0 0 0 0 0 1 0 1 0	take the plunge	figurative	identical	DET NOUN ADP VERB NOUN VERB DET NOUN NOUN VERB DET NOUN PUNCT
If you favoured sweating it out, you sat around on tiered benches and chatted with your friends until you started dissolving into steam, and then got yourself scraped down by a slave with a sort of sickle thing called a strigil, and massaged, and oiled and perfumed, or if you were a real fanatic you probably went straight from the hot room to take a cold plunge, like sauna addicts rolling in the snow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	take the plunge	literal	combined-other	ADP PRON VERB VERB PRON PART PRON VERB ADV ADP ADJ NOUN CCONJ VERB ADP ADJ NOUN ADP PRON VERB VERB ADP NOUN CCONJ ADV VERB PRON VERB PART ADP DET NOUN ADP DET NOUN ADP NOUN NOUN VERB DET NOUN CCONJ VERB CCONJ VERB CCONJ VERB CCONJ ADP PRON VERB DET ADJ NOUN PRON ADV VERB ADV ADP DET ADJ NOUN PART VERB DET ADJ NOUN ADP NOUN NOUN VERB ADP DET NOUN
Having gained a clear first impression, the next step, before taking the plunge, is to learn much more about the soil itself and the history of the farm.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	VERB VERB DET ADJ ADJ NOUN DET ADJ NOUN ADP VERB DET NOUN VERB PART VERB ADV ADJ ADP DET NOUN PRON CCONJ DET NOUN ADP DET NOUN
Not to be outdone, Pentos also took the plunge and produced its own 48-page, fully illustrated catalogue for all its shops ( last year it took the PN catalogue.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	ADV PART VERB VERB PROPN ADV VERB DET NOUN CCONJ VERB ADJ ADJ NUM ADV VERB NOUN ADP DET ADJ NOUN PUNCT ADJ NOUN PRON VERB DET PROPN NOUN
Equally, as with insulation for example, you will need to work out what long - term savings you could effect by taking the plunge now.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	take the plunge	figurative	inflection	ADV ADP ADP NOUN ADP NOUN PRON VERB VERB PART VERB PART NOUN ADJ PUNCT NOUN NOUN PRON VERB VERB ADP VERB DET NOUN ADV
Before you take the plunge, start by taking a close look at what you 've got.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADP PRON VERB DET NOUN VERB ADP VERB DET ADJ NOUN ADP NOUN PRON VERB VERB
Assuming that you decide to take the plunge, you should if possible determine at the same time whether you are going to practise on the common law or on the Chancery side.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	VERB ADP PRON VERB PART VERB DET NOUN PRON VERB ADP ADJ NOUN ADP DET ADJ NOUN ADP PRON VERB VERB PART VERB ADP DET ADJ NOUN CCONJ ADP DET PROPN NOUN
In these cases I either have to wait for a passing walker and ask for assistance, try to reverse my direction or take the plunge and risk damage to chair and body.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADP DET NOUN PRON CCONJ VERB PART VERB ADP DET VERB NOUN CCONJ VERB ADP NOUN VERB PART VERB ADJ NOUN CCONJ VERB DET NOUN CCONJ NOUN NOUN ADP NOUN CCONJ NOUN
Last Christmas, having loads of time on my hands over the holidays, I decided to take the plunge and make one at least as nice theirs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADJ PROPN VERB NOUN ADP NOUN ADP ADJ NOUN ADP DET NOUN PRON VERB PART VERB DET NOUN CCONJ VERB NUM ADV ADV ADV ADJ PRON
Then some of the younger macaques began paddling in the sea and eventually took the plunge and learned how to swim.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take the plunge	figurative	inflection	ADV DET ADP DET ADJ NOUN VERB VERB ADP DET NOUN CCONJ ADV VERB DET NOUN CCONJ VERB ADV PART VERB
She looked towards the Archdeacon and recognised the signs of someone about to take the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	PRON VERB ADP DET PROPN CCONJ VERB DET NOUN ADP NOUN ADP PART VERB DET NOUN
Take the plunge	1 0 1	take the plunge	figurative	case	VERB DET NOUN
Look for music that takes the plunge into the infinities of outer or inner space, rather than music which paddles through the shallows of everyday feeling.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	VERB ADP NOUN ADJ VERB DET NOUN ADP DET NOUN ADP ADJ CCONJ ADJ NOUN ADV ADP NOUN ADJ VERB ADP DET NOUN ADP ADJ NOUN
The problem which many firms face is overcoming ‘ techno - fear’ and taking the plunge into a new computer system.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take the plunge	figurative	inflection	DET NOUN ADJ ADJ NOUN VERB VERB VERB ADJ NOUN PUNCT NOUN CCONJ VERB DET NOUN ADP DET ADJ NOUN NOUN
The part of the city through which they were walking reminded Zen of Venice, but a Venice brutally fractured, as though each canal were a geological fault and the houses to either side had taken a plunge or been wrenched up all askew and left to tumble back on themselves, throwing out buttresses and retaining walls for support as best they could.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	combined-inflection	DET NOUN ADP DET NOUN ADP ADJ PRON VERB VERB VERB PROPN ADP PROPN CCONJ DET PROPN ADV VERB ADP ADP DET NOUN VERB DET ADJ NOUN CCONJ DET NOUN ADP DET NOUN VERB VERB DET NOUN CCONJ VERB VERB PART DET ADV CCONJ VERB PART VERB ADV ADP PRON VERB PART NOUN CCONJ VERB NOUN ADP NOUN ADP ADJ PRON VERB
So take the plunge now, those of you on the sidelines ; think about a serious attack on the situation, in the knowledge that there are still improvements to make.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADV VERB DET NOUN ADV DET ADP PRON ADP DET NOUN PUNCT VERB ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADV VERB ADV NOUN PART VERB
In practice though only a minority actually take the plunge and turn armchair fantasy into reality.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take the plunge	figurative	identical	ADP NOUN ADP ADV DET NOUN ADV VERB DET NOUN CCONJ VERB NOUN NOUN ADP NOUN
As a housewife and knitting club member, she ‘ took the plunge’ and opened Woolwork nearly ten years ago and Meryl reckons the success of the shop is due to Lena's attitude of giving the same smiling service whether the customer wants a cone of yarn or the latest machine.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	combined-inflection	ADP DET NOUN CCONJ NOUN NOUN NOUN PRON PUNCT VERB DET NOUN CCONJ VERB PROPN ADV NUM NOUN ADV CCONJ PROPN VERB DET NOUN ADP DET NOUN VERB ADJ ADP PROPN NOUN ADP VERB DET ADJ NOUN NOUN ADP DET NOUN VERB DET NOUN ADP NOUN CCONJ DET ADJ NOUN
Heidrick took the initiative in persuading his more cautious partner to take the plunge and set up their own headhunting operation ; he chose an opportune moment.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	PROPN VERB DET NOUN ADP VERB ADJ ADV ADJ NOUN PART VERB DET NOUN CCONJ VERB PART ADJ ADJ NOUN NOUN PUNCT PRON VERB DET ADJ NOUN
Brenda found out more about it and eventually took the plunge to take it up herself.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take the plunge	figurative	inflection	PROPN VERB PART ADJ ADP PRON CCONJ ADV VERB DET NOUN PART VERB PRON PART PRON
Lewis undoubtedly felt that he should, but was nervous about taking the plunge.	0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	PROPN ADV VERB ADP PRON VERB CCONJ VERB ADJ ADP VERB DET NOUN
But for those who take the plunge there is plenty to keep them amused, particularly if they play bowls or golf.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	CCONJ ADP DET NOUN VERB DET NOUN ADV VERB ADJ PART VERB PRON VERB ADV ADP PRON VERB NOUN CCONJ NOUN
At first I was washing up and making the tea, then I progressed to collecting requests before I finally took the plunge and started doing my own programme.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take the plunge	figurative	inflection	ADP ADV PRON VERB VERB PART CCONJ VERB DET NOUN ADV PRON VERB ADP VERB NOUN ADP PRON ADV VERB DET NOUN CCONJ VERB VERB ADJ ADJ NOUN
The couple decided against surgery but 15 years later the failure figure had dropped to only 20 pc and they decided to take the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	DET NOUN VERB ADP NOUN CCONJ NUM NOUN ADV DET NOUN NOUN VERB VERB ADP ADV NUM NOUN CCONJ PRON VERB PART VERB DET NOUN
Until then, our Buying With Confidence section on page 34 explains how to protect yourself when you take the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	ADP ADV ADJ NOUN ADP NOUN NOUN ADP NOUN NUM VERB ADV PART VERB PRON ADV PRON VERB DET NOUN
But with only five runners declared -and two of those pulled out before racing -she decided to take the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	CCONJ ADP ADV NUM NOUN VERB PUNCT NUM ADP DET VERB PART ADP VERB PRON VERB PART VERB DET NOUN
Until then, our Buying With Confidence section on page 66 explains how to protect yourself when you take the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	ADP ADV ADJ NOUN ADP NOUN NOUN ADP NOUN NUM VERB ADV PART VERB PRON ADV PRON VERB DET NOUN
Mandy had assured her it was a cinch, but it was the hours that had made her take the plunge into something so totally out of her realm of experience.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	PROPN VERB VERB PRON PRON VERB DET NOUN CCONJ PRON VERB DET NOUN ADJ VERB VERB PRON VERB DET NOUN ADP NOUN ADV ADV ADP ADP ADJ NOUN ADP NOUN
I took the plunge : ‘ Sergei, for instance?’	0 1 0 1 0 0 0 0 0	take the plunge	figurative	inflection	PRON VERB DET NOUN PUNCT PUNCT PROPN ADP NOUN
And as expected, Rolfe took the plunge in April and acquired the remaining 80.1 % of shares in Brokerage it didn't already own.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	CCONJ ADP VERB PROPN VERB DET NOUN ADP PROPN CCONJ VERB DET VERB NUM NOUN ADP NOUN ADP NOUN PRON VERB ADV ADJ
In the Spring of 1990 we decided to take the plunge and build our own fixed - wing microlight - under the guidance / regulation of the Popular Flying Association and with help from the MW builders club.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADP DET NOUN ADP NUM PRON VERB PART VERB DET NOUN CCONJ VERB ADJ ADJ VERB PUNCT NOUN NOUN PUNCT ADP DET NOUN SYM NOUN ADP DET PROPN PROPN PROPN CCONJ ADP NOUN ADP DET PROPN NOUN NOUN
There are numerous areas within the kitchen environment where energy efficiency can be improved and once caterers take the plunge and decide to choose new technology operated equipment, then improved standards inevitably follow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADV VERB ADJ NOUN ADP DET NOUN NOUN ADV NOUN NOUN VERB VERB VERB CCONJ ADV NOUN VERB DET NOUN CCONJ VERB PART VERB ADJ NOUN VERB NOUN ADV VERB NOUN ADV VERB
Perhaps this article will encourage others to take the plunge and convert, but then again … maybe not!	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADV DET NOUN VERB VERB NOUN PART VERB DET NOUN CCONJ VERB CCONJ ADV ADV PUNCT ADV ADV
Now they 've taken a plunge into the dive computer market and the outcome is the DataMax Sport.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	combined-inflection	ADV PRON VERB VERB DET NOUN ADP DET ADJ NOUN NOUN CCONJ DET NOUN VERB DET PROPN PROPN
On past form, secondary schools in Conservative areas will be the first to take the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	ADP ADJ NOUN ADJ NOUN ADP ADJ NOUN VERB VERB DET ADJ PART VERB DET NOUN
Since over 50 % of us seem to opt for a period of co - habitation before we take the marital plunge, these findings are pretty sobering stuff.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	take the plunge	figurative	insertion-other	ADP ADP NUM NOUN ADP PRON VERB PART VERB ADP DET NOUN ADP NOUN PUNCT NOUN ADP PRON VERB DET ADJ NOUN DET NOUN VERB ADV ADJ NOUN
She put aside this interesting thought and took the plunge.	0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	PRON VERB PART DET ADJ NOUN CCONJ VERB DET NOUN
For some years I have been thinking of buying a word processor but have not yet taken the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	ADP DET NOUN PRON VERB VERB VERB ADP VERB DET NOUN NOUN CCONJ VERB ADV ADV VERB DET NOUN
But once I 'd taken the plunge and got myself organised, I found it wasn't bad at all, and not nearly as difficult as I 'd imagined.’	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	CCONJ ADP PRON VERB VERB DET NOUN CCONJ VERB PRON VERB PRON VERB PRON VERB ADJ ADV ADV CCONJ ADV ADV ADV ADJ ADP PRON VERB X
If rates do go lower, it will be by a marginal ½%-1 %, ; so now could be the time to take the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	ADP NOUN VERB VERB ADV PRON VERB VERB ADP DET ADJ NOUN NOUN PUNCT ADV ADV VERB VERB DET NOUN PART VERB DET NOUN
Every jumper goes through rigorous checks before they take the plunge, including a weigh - in to make sure they have the correct elastic rope for their size.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	DET NOUN VERB ADP ADJ NOUN ADP PRON VERB DET NOUN VERB DET NOUN PUNCT NOUN PART VERB ADJ PRON VERB DET ADJ ADJ NOUN ADP ADJ NOUN
Financial software house Quality Software Products Holdings Plc has taken the plunge and decided to go for a full listing on the UK stock exchange ‘ to exploit the business opportunities’ presented by its newly - launched Universal OLAS product ( CI No 2,116 ).	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN CCONJ VERB PART VERB ADP DET ADJ NOUN ADP DET PROPN NOUN NOUN PRON PART VERB DET NOUN NOUN VERB ADP ADJ ADV PUNCT VERB PROPN PROPN NOUN PUNCT PROPN PROPN NUM PUNCT
It Germanised the few Polish street, town and place names, undertook propagandist ‘ research work’ on historical subjects, supervised the Germanising of family names among those Poles who decided to take the plunge into German identity, took down Polish - language warning notices about venereal diseases from public toilets and instituted a system of bonuses for all teachers and civil servants prepared to move and settle in the eastern provinces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	PRON VERB DET ADJ ADJ NOUN NOUN CCONJ NOUN NOUN VERB NOUN ADJ NOUN NOUN ADP ADJ NOUN VERB DET NOUN ADP NOUN NOUN ADP DET PROPN NOUN VERB PART VERB DET NOUN ADP ADJ NOUN VERB PART ADJ PUNCT NOUN NOUN VERB ADP ADJ NOUN ADP ADJ NOUN CCONJ VERB DET NOUN ADP NOUN ADP DET NOUN CCONJ ADJ NOUN VERB PART VERB CCONJ VERB ADP DET ADJ NOUN
GERSTNER TAKES THE PLUNGE	0 1 0 1	take the plunge	figurative	combined-inflection	PROPN VERB DET NOUN
Tonight Kim and Neil take the plunge and spend their first night together.	0 0 0 0 1 0 1 0 0 0 0 0 0	take the plunge	figurative	identical	NOUN PROPN CCONJ PROPN VERB DET NOUN CCONJ VERB ADJ ADJ NOUN ADV
Clare hesitated, then took the plunge.	0 0 0 1 0 1	take the plunge	figurative	inflection	VERB VERB ADV VERB DET NOUN
The existing 13 practices will be joined by 20 others by the start of next month and a further 25 are preparing to take the plunge in a year's time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	take the plunge	figurative	identical	DET VERB NUM NOUN VERB VERB VERB ADP NUM NOUN ADP DET NOUN ADP ADJ NOUN CCONJ DET ADJ NUM VERB VERB PART VERB DET NOUN ADP DET NOUN NOUN
Are you thinking of taking the plunge, Michael?’	0 0 0 0 1 0 1 0	take the plunge	figurative	inflection	VERB PRON VERB ADP VERB DET NOUN PROPN
Conscious of Sybil at her side, tense as a patient in a dentist's waiting - room, Melissa took the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	ADJ ADP PROPN ADP ADJ NOUN ADJ ADP DET NOUN ADP DET NOUN NOUN PUNCT NOUN PROPN VERB DET NOUN
But they also have a steep learning curve for the uninitiated, which is something to consider before taking the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	CCONJ PRON ADV VERB DET ADJ NOUN NOUN ADP DET ADJ ADJ VERB NOUN PART VERB ADP VERB DET NOUN
Others had already leaped boldly in the expectation that others would follow, that it would prove wise to have been seen to take the plunge first.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	take the plunge	figurative	identical	NOUN VERB ADV VERB ADV ADP DET NOUN ADP NOUN VERB VERB ADP PRON VERB VERB ADJ PART VERB VERB VERB PART VERB DET NOUN ADV
