I had planned to have a word with my Maker before walking on, but I couldn't get in.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	PRON VERB VERB PART VERB DET NOUN ADP ADJ PROPN ADP VERB PART CCONJ PRON VERB VERB PART
Dress underwrites not only class differences but national and racial ones also, and Perkins has harsh words for those who adopt the fashion of other countries : ' this one sinne is so common among us, that it hath branded our English people with the blacke mark of the vainest and most newfangled people under heaven'(p. 211 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	NOUN VERB ADV ADV NOUN NOUN CCONJ ADJ CCONJ ADJ NOUN ADV CCONJ PROPN VERB ADJ NOUN ADP DET NOUN VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT DET NUM NOUN VERB ADV ADJ ADP PRON ADP PRON NOUN VERB ADJ ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ CCONJ ADV ADJ NOUN ADP NOUN NUM PUNCT
I presumed that Prentice had had a word in somebody's shell - like, or maybe nobody was very interested.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	PRON VERB ADP PROPN VERB VERB DET NOUN ADP NOUN NOUN PUNCT ADJ CCONJ ADV NOUN VERB ADV ADJ
Afterwards he had a few words with Hob's wife, the children cowering around her.	0 0 1 0 0 1 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	ADV PRON VERB DET ADJ NOUN ADP PROPN NOUN DET NOUN VERB ADP PRON
In particular, will your erstwhile political columnist, R W Johnson, apologise for the appalling piece of sexism that appeared in NSS ( under a previous editor ) on 7 December 1990, when he suggested that the only way for Labour to win the next election would be for Glenys Kinnock to ' have a word ' with Neil and persuade him to stand down?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	ADP ADJ VERB ADJ ADJ ADJ NOUN PROPN PROPN PROPN NOUN ADP DET ADJ NOUN ADP NOUN ADJ VERB ADP PROPN PUNCT ADP DET ADJ NOUN PUNCT ADP NUM PROPN NUM ADV PRON VERB ADP DET ADJ NOUN ADP PROPN PART VERB DET ADJ NOUN VERB VERB ADP PROPN PROPN PART PUNCT VERB DET NOUN PUNCT ADP PROPN CCONJ VERB PRON PART VERB PART
Seeing as we 've had those words for about a week I should think we do know them then.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	have words	literal	combined-inflection	VERB ADP PRON VERB VERB DET NOUN ADP ADV DET NOUN PRON VERB VERB PRON VERB VERB PRON ADV
It can aim for a high probability of having the right word somewhere in the cohort without worrying too much about the size of the cohort.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	literal	combined-inflection	PRON VERB VERB ADP DET ADJ NOUN ADP VERB DET ADJ NOUN ADV ADP DET NOUN ADP VERB ADV ADJ ADP DET NOUN ADP DET NOUN
But Parks also took memorable portraits for Harpers Bazaar of subjects such as the surrealist patron Edward James, and of Noël Coward, who had some words of advice for the young photographer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	have words	literal	combined-inflection	CCONJ PROPN ADV VERB ADJ NOUN ADP PROPN PROPN ADP NOUN ADJ ADP DET ADJ NOUN PROPN PROPN CCONJ ADP PROPN PROPN NOUN VERB DET NOUN ADP NOUN ADP DET ADJ NOUN
I 'll have words with Sharon on Monday and er, oh I can't, yes I can on Monday I 'm having my hair cut later, but I can come up about nine o'clock and see if she's here.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	identical	PRON VERB VERB NOUN ADP PROPN ADP PROPN CCONJ INTJ INTJ PRON VERB INTJ PRON VERB ADP PROPN PRON VERB VERB ADJ NOUN VERB ADV CCONJ PRON VERB VERB PART ADP NUM NOUN CCONJ VERB ADP PRON ADV
It had the words PRIVATE AND CONFIDENTIAL printed in the top left - hand comer.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	have words	literal	combined-inflection	PRON VERB DET NOUN ADJ CCONJ PROPN VERB ADP DET ADJ ADJ PUNCT NOUN NOUN
Well I will go and have words and I 'll report back to you.	0 0 0 0 0 1 1 0 0 0 0 0 0 0	have words	figurative	identical	INTJ PRON VERB VERB CCONJ VERB NOUN CCONJ PRON VERB VERB ADV ADP PRON
When she finished, Nick had a few muttered words with his colleagues before asking her one or two questions, mostly concerning times, places and names.	0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	ADV PRON VERB PROPN VERB DET ADJ ADJ NOUN ADP ADJ NOUN ADP VERB PRON NUM CCONJ NUM NOUN ADV VERB NOUN NOUN CCONJ NOUN
Each group has a word such as'measurements ' or ' recommendations ', and the object is to see how many other words can be made out of this.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	literal	combined-inflection	DET NOUN VERB DET NOUN ADJ NOUN PART CCONJ PUNCT NOUN PUNCT CCONJ DET NOUN VERB PART VERB ADV ADJ ADJ NOUN VERB VERB VERB ADP ADP DET
Even Captain Goldsborough, looking rather dangerous and disreputable the ladies were all saying — fascinating in fact — in a long, dark driving - cape with a black fur lining, had a word or two to whisper in Linnet's — ear, although he did rather more whispering, Gemma noticed, to the Amazonian Mrs Covington - Pym of whom her mother was so terribly afraid.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	literal	combined-inflection	ADV PROPN PROPN VERB ADV ADJ CCONJ ADJ DET NOUN VERB DET VERB PUNCT VERB ADP NOUN PUNCT ADP DET ADJ ADJ VERB PUNCT NOUN ADP DET ADJ NOUN NOUN VERB DET NOUN CCONJ NUM PART VERB ADP PROPN PUNCT NOUN ADP PRON VERB ADV ADJ NOUN PROPN VERB ADP DET PROPN PROPN PROPN PUNCT PROPN ADP NOUN ADJ NOUN VERB ADV ADV ADJ
I 'll go over and have a word with him.	0 0 0 0 0 1 0 1 0 0	have words	literal	combined-inflection	PRON VERB VERB ADV CCONJ VERB DET NOUN ADP PRON
Some languages have long words of many syllables which are difficult to pronounce at first.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	have words	literal	insertion-other	DET NOUN VERB ADJ NOUN ADP ADJ NOUN ADJ VERB ADJ PART VERB ADP ADV
So if you if you 're having words with Chris if you can say	0 0 0 0 0 0 1 1 0 0 0 0 0 0	have words	figurative	inflection	CCONJ ADP PRON ADP PRON VERB VERB NOUN ADP PROPN ADP PRON VERB VERB
Can you write me a story which has words that I can manage.	0 0 0 0 0 0 0 1 1 0 0 0 0	have words	literal	inflection	VERB PRON VERB PRON DET NOUN ADJ VERB NOUN ADJ PRON VERB VERB
Because he has the word of assurance from God himself!	0 0 1 0 1 0 0 0 0 0	have words	literal	combined-inflection	ADP PRON VERB DET NOUN ADP NOUN ADP PROPN PRON
Action in the majority of adventure stories is seen both to affect and to be affected by character but in the end it is action that has the final word, in the romantic happy ending in which the heroism of man is affirmed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	literal	combined-inflection	NOUN ADP DET NOUN ADP NOUN NOUN VERB VERB DET PART VERB CCONJ PART VERB VERB ADP NOUN CCONJ ADP DET NOUN PRON VERB NOUN ADJ VERB DET ADJ NOUN ADP DET ADJ ADJ NOUN ADP ADJ DET NOUN ADP NOUN VERB VERB
Every culture will organise the world according to its own perceptions of reality ; thus one language may have words which have no equivalent concept in another.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	have words	literal	identical	DET NOUN VERB VERB DET NOUN VERB ADP ADJ ADJ NOUN ADP NOUN PUNCT ADV NUM NOUN VERB VERB NOUN ADJ VERB DET ADJ NOUN ADP DET
The British may say that if the French have a word for it, then le corbeau must be an old French habit.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	have words	literal	combined-inflection	DET PROPN VERB VERB ADP ADP DET PROPN VERB DET NOUN ADP PRON ADV X NOUN VERB VERB DET ADJ ADJ NOUN
Only those with a medical problem which might be aggravated by physical activity should hesitate before stepping into action, but providing they have a word with their doctor first, even severely disabled people will usually benefit from some kind of exercise.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have words	figurative	combined-inflection	ADV DET ADP DET ADJ NOUN ADJ VERB VERB VERB ADP ADJ NOUN VERB VERB ADP VERB ADP NOUN CCONJ VERB PRON VERB DET NOUN ADP ADJ NOUN ADV ADV ADV ADJ NOUN VERB ADV VERB ADP DET NOUN ADP NOUN
She had some words of reproach for Mrs Kinnock too.	0 1 0 1 0 0 0 0 0 0	have words	literal	combined-inflection	PRON VERB DET NOUN ADP NOUN ADP PROPN PROPN ADV
He would generally stop and have a word or two or listen to her.	0 0 0 0 0 1 0 1 0 0 0 0 0 0	have words	figurative	combined-inflection	PRON VERB ADV VERB CCONJ VERB DET NOUN CCONJ NUM CCONJ VERB ADP PRON
What did you Did you have a word for grease?	0 0 0 0 0 1 0 1 0 0	have words	literal	combined-inflection	NOUN VERB PRON VERB PRON VERB DET NOUN ADP NOUN
