It was back to square one.	0 0 1 1 1 1	back to square one	figurative	identical	PRON VERB ADV ADP ADJ NUM	▁It ▁was ▁back ▁to ▁square ▁one .	0 0 1 1 1 1 1	PRON VERB ADV ADP ADJ NUM NUM
because he can read the first two books, now how they 'll do it with him, he 'll have to just look at the pictures and he 'll go back to square one, and I 've had him actually writing his words, doing letter formation, A, B, C, D	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	back to square one	figurative	identical	ADP PRON VERB VERB DET ADJ NUM NOUN ADV ADV PRON VERB VERB PRON ADP PRON PRON VERB VERB PART ADV VERB ADP DET NOUN CCONJ PRON VERB VERB ADV ADP ADJ NUM CCONJ PRON VERB VERB PRON ADV VERB ADJ NOUN VERB NOUN NOUN NOUN PROPN PROPN NOUN	▁because ▁he ▁can ▁read ▁the ▁first ▁two ▁books , ▁now ▁how ▁they ▁' ll ▁do ▁it ▁with ▁him , ▁he ▁' ll ▁have ▁to ▁just ▁look ▁at ▁the ▁pictures ▁and ▁he ▁' ll ▁go ▁back ▁to ▁square ▁one , ▁and ▁I ▁' ve ▁had ▁him ▁actually ▁writing ▁his ▁words , ▁doing ▁letter ▁formation , ▁A , ▁B , ▁C , ▁D	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB DET ADJ NUM NOUN NOUN ADV ADV PRON VERB VERB VERB PRON ADP PRON PRON PRON VERB VERB VERB PART ADV VERB ADP DET NOUN CCONJ PRON VERB VERB VERB ADV ADP ADJ NUM NUM CCONJ PRON VERB VERB VERB PRON ADV VERB ADJ NOUN NOUN VERB NOUN NOUN NOUN NOUN NOUN PROPN PROPN PROPN PROPN NOUN
But the thing is, there's been that many changes now, so having a bloody Labour government is just gon na be back to square one and into reverse you know, and go back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	back to square one	figurative	identical	CCONJ DET NOUN VERB ADV VERB ADP ADJ NOUN ADV ADV VERB DET ADJ PROPN NOUN VERB ADV VERB PART VERB ADV ADP ADJ NOUN CCONJ ADP NOUN PRON VERB CCONJ VERB ADV	▁But ▁the ▁thing ▁is , ▁there ' s ▁been ▁that ▁many ▁changes ▁now , ▁so ▁having ▁a ▁blood y ▁Labour ▁government ▁is ▁just ▁ gon ▁na ▁be ▁back ▁to ▁square ▁one ▁and ▁into ▁reverse ▁you ▁know , ▁and ▁go ▁back .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ DET NOUN VERB VERB ADV ADV ADV VERB ADP ADJ NOUN ADV ADV ADV VERB DET ADJ ADJ PROPN NOUN VERB ADV VERB VERB PART VERB ADV ADP ADJ NOUN CCONJ ADP NOUN PRON VERB VERB CCONJ VERB ADV ADV
Then back to square one.	0 1 1 1 1	back to square one	figurative	identical	ADV ADV ADP ADJ NUM	▁Then ▁back ▁to ▁square ▁one .	0 1 1 1 1 1	ADV ADV ADP ADJ NUM NUM
We 're back to square one,’ said a senior official at Jordan's Foreign Ministry.	0 0 1 1 1 1 0 0 0 0 0 0 0 0	back to square one	figurative	dashes	PRON VERB ADV ADP ADJ NOUN VERB DET ADJ NOUN ADP PROPN PROPN PROPN	▁We ▁' re ▁back ▁to ▁square ▁one , ’ ▁said ▁a ▁senior ▁official ▁at ▁Jordan ' s ▁Foreign ▁Ministry .	0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV ADP ADJ NOUN NOUN NOUN VERB DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN
There is no need to go back to square one ; just a few steps backward is all that is needed.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	back to square one	figurative	identical	ADV VERB DET NOUN PART VERB ADV ADP ADJ NOUN PUNCT ADV DET ADJ NOUN ADV VERB DET ADJ VERB VERB	▁There ▁is ▁no ▁need ▁to ▁go ▁back ▁to ▁square ▁one ▁ ; ▁just ▁a ▁few ▁steps ▁backward ▁is ▁all ▁that ▁is ▁needed .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET NOUN PART VERB ADV ADP ADJ NOUN PUNCT PUNCT ADV DET ADJ NOUN ADV VERB DET ADJ VERB VERB VERB
It's back to square one.	0 1 1 1 1	back to square one	figurative	identical	PRON ADV ADP ADJ NUM	▁It ' s ▁back ▁to ▁square ▁one .	0 0 0 1 1 1 1 1	PRON PRON PRON ADV ADP ADJ NUM NUM
She really is back to square one.	0 0 0 1 1 1 1	back to square one	figurative	identical	PRON ADV VERB ADV ADP ADJ NUM	▁She ▁really ▁is ▁back ▁to ▁square ▁one .	0 0 0 1 1 1 1 1	PRON ADV VERB ADV ADP ADJ NUM NUM
That's our job, so you have to appreciate that that's the job of a journalist, to enquire what is the, the worst and the best aspects of any, of any job, of any, of any interview, and so you really have to do it, and in the sense that you have to if you, you probably have to go back to square one and do maximum research on what you 're being asked about, so, therefore you have more confidence in precising down what your answer is.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	back to square one	figurative	identical	DET ADJ NOUN CCONJ PRON VERB PART VERB DET DET DET NOUN ADP DET NOUN PART VERB NOUN VERB DET DET ADJ CCONJ DET ADJ NOUN ADP DET ADP DET NOUN ADP DET ADP DET NOUN CCONJ ADV PRON ADV VERB PART VERB PRON CCONJ ADP DET NOUN ADP PRON VERB PART ADP PRON PRON ADV VERB PART VERB ADV ADP ADJ NOUN CCONJ VERB ADJ NOUN ADP NOUN PRON VERB VERB VERB ADP CCONJ ADV PRON VERB ADJ NOUN ADP VERB ADP NOUN ADJ NOUN VERB	▁That ' s ▁our ▁job , ▁so ▁you ▁have ▁to ▁appreciate ▁that ▁that ' s ▁the ▁job ▁of ▁a ▁journalist , ▁to ▁en quire ▁what ▁is ▁the , ▁the ▁worst ▁and ▁the ▁best ▁aspects ▁of ▁any , ▁of ▁any ▁job , ▁of ▁any , ▁of ▁any ▁interview , ▁and ▁so ▁you ▁really ▁have ▁to ▁do ▁it , ▁and ▁in ▁the ▁sense ▁that ▁you ▁have ▁to ▁if ▁you , ▁you ▁probably ▁have ▁to ▁go ▁back ▁to ▁square ▁one ▁and ▁do ▁maximum ▁research ▁on ▁what ▁you ▁' re ▁being ▁asked ▁about , ▁so , ▁therefore ▁you ▁have ▁more ▁confidence ▁in ▁pre c ising ▁down ▁what ▁your ▁answer ▁is .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET DET DET ADJ NOUN NOUN CCONJ PRON VERB PART VERB DET DET DET DET DET NOUN ADP DET NOUN NOUN PART VERB VERB NOUN VERB DET DET DET ADJ CCONJ DET ADJ NOUN ADP DET DET ADP DET NOUN NOUN ADP DET DET ADP DET NOUN NOUN CCONJ ADV PRON ADV VERB PART VERB PRON PRON CCONJ ADP DET NOUN ADP PRON VERB PART ADP PRON PRON PRON ADV VERB PART VERB ADV ADP ADJ NOUN CCONJ VERB ADJ NOUN ADP NOUN PRON VERB VERB VERB VERB ADP ADP CCONJ CCONJ ADV PRON VERB ADJ NOUN ADP VERB VERB VERB ADP NOUN ADJ NOUN VERB VERB
She gave a small, tight smile and her grandmother answered it with, ‘ Yes, in more ways than one, we 'll definitely be back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	PRON VERB DET ADJ ADJ NOUN CCONJ ADJ NOUN VERB PRON ADP PUNCT INTJ ADP ADJ NOUN ADP NUM PRON VERB ADV VERB ADV ADP ADJ NUM	▁She ▁gave ▁a ▁small , ▁tight ▁smile ▁and ▁her ▁grand m other ▁answered ▁it ▁with , ▁ ‘ ▁Yes , ▁in ▁more ▁ways ▁than ▁one , ▁we ▁' ll ▁definitely ▁be ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB DET ADJ ADJ ADJ NOUN CCONJ ADJ NOUN NOUN NOUN VERB PRON ADP ADP PUNCT PUNCT INTJ INTJ ADP ADJ NOUN ADP NUM NUM PRON VERB VERB ADV VERB ADV ADP ADJ NUM NUM
Back back to square one again Shel!	0 1 1 1 1 0 0	back to square one	figurative	identical	ADV ADV ADP NOUN NOUN ADV PROPN	▁Back ▁back ▁to ▁square ▁one ▁again ▁She l !	0 1 1 1 1 0 0 0 0	ADV ADV ADP NOUN NOUN ADV PROPN PROPN PROPN
‘ If you go to prison you will simply be back to square one on your release a few months later.’	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	back to square one	figurative	identical	PUNCT ADP PRON VERB ADP NOUN PRON VERB ADV VERB ADV ADP ADJ NUM ADP ADJ NOUN DET ADJ NOUN NOUN	▁ ‘ ▁If ▁you ▁go ▁to ▁prison ▁you ▁will ▁simply ▁be ▁back ▁to ▁square ▁one ▁on ▁your ▁release ▁a ▁few ▁months ▁later . ’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP PRON VERB ADP NOUN PRON VERB ADV VERB ADV ADP ADJ NUM ADP ADJ NOUN DET ADJ NOUN NOUN NOUN NOUN
At that stage any pressure may be such a test for faith that the believer is faced with a choice : Give up or go back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	ADP DET NOUN DET NOUN VERB VERB ADJ DET NOUN ADP NOUN ADP DET NOUN VERB VERB ADP DET NOUN PUNCT VERB PART CCONJ VERB ADV ADP ADJ NUM	▁At ▁that ▁stage ▁any ▁pressure ▁may ▁be ▁such ▁a ▁test ▁for ▁faith ▁that ▁the ▁believe r ▁is ▁faced ▁with ▁a ▁choice ▁ : ▁Give ▁up ▁or ▁go ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP DET NOUN DET NOUN VERB VERB ADJ DET NOUN ADP NOUN ADP DET NOUN NOUN VERB VERB ADP DET NOUN PUNCT PUNCT VERB PART CCONJ VERB ADV ADP ADJ NUM NUM
Shout, they 'd shout something but er well since we 've been living up here, my mother used to give, the man used to come for the order for the grocery, the baker used to come round, the milk used to come round, they all used to come round at she 'd ha she didn't have go out for heavy loads of stuff to bring in it was all delivered, but when they started some new technique of er of ordering by computer, it's going to come back to square one again you know, they 'll be delivering stuff in the same jolly old way hey.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	back to square one	figurative	identical	VERB PRON VERB VERB NOUN CCONJ INTJ INTJ ADP PRON VERB VERB VERB PART ADV ADJ NOUN VERB PART VERB DET NOUN VERB PART VERB ADP DET NOUN ADP DET NOUN DET NOUN VERB PART VERB ADV DET NOUN VERB PART VERB ADV PRON DET VERB PART VERB ADV ADP PRON VERB INTJ PRON VERB VERB VERB PART ADP ADJ NOUN ADP NOUN PART VERB PART PRON VERB DET VERB CCONJ ADV PRON VERB DET ADJ NOUN ADP INTJ ADP VERB ADP NOUN PRON VERB PART VERB ADV ADP NOUN NOUN ADV PRON VERB PRON VERB VERB VERB NOUN ADP DET ADJ ADV ADJ NOUN INTJ	▁S hout , ▁they ▁' d ▁shout ▁something ▁but ▁er ▁well ▁since ▁we ▁' ve ▁been ▁living ▁up ▁here , ▁my ▁mother ▁used ▁to ▁give , ▁the ▁man ▁used ▁to ▁come ▁for ▁the ▁order ▁for ▁the ▁gro c ery , ▁the ▁baker ▁used ▁to ▁come ▁round , ▁the ▁milk ▁used ▁to ▁come ▁round , ▁they ▁all ▁used ▁to ▁come ▁round ▁at ▁she ▁' d ▁ha ▁she ▁did n ' t ▁have ▁go ▁out ▁for ▁heavy ▁loads ▁of ▁stuff ▁to ▁bring ▁in ▁it ▁was ▁all ▁delivered , ▁but ▁when ▁they ▁started ▁some ▁new ▁technique ▁of ▁er ▁of ▁ordering ▁by ▁computer , ▁it ' s ▁going ▁to ▁come ▁back ▁to ▁square ▁one ▁again ▁you ▁know , ▁they ▁' ll ▁be ▁delivering ▁stuff ▁in ▁the ▁same ▁j ol ly ▁old ▁way ▁he y .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB PRON VERB VERB VERB NOUN CCONJ INTJ INTJ ADP PRON VERB VERB VERB VERB PART ADV ADV ADJ NOUN VERB PART VERB VERB DET NOUN VERB PART VERB ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN DET NOUN VERB PART VERB ADV ADV DET NOUN VERB PART VERB ADV ADV PRON DET VERB PART VERB ADV ADP PRON VERB VERB INTJ PRON VERB VERB VERB VERB VERB VERB PART ADP ADJ NOUN ADP NOUN PART VERB PART PRON VERB DET VERB VERB CCONJ ADV PRON VERB DET ADJ NOUN ADP INTJ ADP VERB ADP NOUN NOUN PRON PRON PRON VERB PART VERB ADV ADP NOUN NOUN ADV PRON VERB VERB PRON VERB VERB VERB VERB NOUN ADP DET ADJ ADV ADV ADV ADJ NOUN INTJ INTJ INTJ
If you are totally fed up, one extra bar of chocolate or cake or any one single luxury item is not going to set you back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	ADP PRON VERB ADV VERB PART NUM ADJ NOUN ADP NOUN CCONJ NOUN CCONJ DET NUM ADJ NOUN NOUN VERB ADV VERB PART VERB PRON ADV ADP ADJ NUM	▁If ▁you ▁are ▁totally ▁fed ▁up , ▁one ▁extra ▁bar ▁of ▁chocolate ▁or ▁cake ▁or ▁any ▁one ▁single ▁luxury ▁item ▁is ▁not ▁going ▁to ▁set ▁you ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP PRON VERB ADV VERB PART PART NUM ADJ NOUN ADP NOUN CCONJ NOUN CCONJ DET NUM ADJ NOUN NOUN VERB ADV VERB PART VERB PRON ADV ADP ADJ NUM NUM
You can't really ask the government to do something about the logging when it's owned by themselves, I mean, or rather it's controlled by the powers of the country and the only way to do something there is to boycott their timber, not to pressure the government, and we 're back to, you know, back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	PRON VERB ADV VERB DET NOUN PART VERB NOUN ADP DET NOUN ADV PRON VERB ADP PRON PRON VERB CCONJ ADV PRON VERB ADP DET NOUN ADP DET NOUN CCONJ DET ADJ NOUN PART VERB NOUN ADV VERB PART VERB ADJ NOUN ADV PART VERB DET NOUN CCONJ PRON VERB ADV ADP PRON VERB ADV ADP ADJ NUM	▁You ▁can ' t ▁really ▁ask ▁the ▁government ▁to ▁do ▁something ▁about ▁the ▁logging ▁when ▁it ' s ▁owned ▁by ▁themselves , ▁I ▁mean , ▁or ▁rather ▁it ' s ▁controlled ▁by ▁the ▁powers ▁of ▁the ▁country ▁and ▁the ▁only ▁way ▁to ▁do ▁something ▁there ▁is ▁to ▁boy cott ▁their ▁timber , ▁not ▁to ▁pressure ▁the ▁government , ▁and ▁we ▁' re ▁back ▁to , ▁you ▁know , ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB VERB ADV VERB DET NOUN PART VERB NOUN ADP DET NOUN ADV PRON PRON PRON VERB ADP PRON PRON PRON VERB VERB CCONJ ADV PRON PRON PRON VERB ADP DET NOUN ADP DET NOUN CCONJ DET ADJ NOUN PART VERB NOUN ADV VERB PART VERB VERB ADJ NOUN NOUN ADV PART VERB DET NOUN NOUN CCONJ PRON VERB VERB ADV ADP ADP PRON VERB VERB ADV ADP ADJ NUM NUM
