Keegan keeps low profile	0 1 1 1	keep a low profile	figurative	combined-inflection	PROPN VERB ADJ NOUN	▁Ke e gan ▁keeps ▁low ▁profile	0 0 0 1 1 1	PROPN PROPN PROPN VERB ADJ NOUN
The relative lack of resonance of the boycott can only have indicated to Hitler that he had been right to keep a fairly low public profile on the ' Jewish Question '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0	keep a low profile	figurative	insertion-other	DET ADJ NOUN ADP NOUN ADP DET NOUN VERB ADV VERB VERB ADP PROPN ADP PRON VERB VERB ADJ PART VERB DET ADV ADJ ADJ NOUN ADP DET PUNCT ADJ NOUN PUNCT	▁The ▁relative ▁lack ▁of ▁resonance ▁of ▁the ▁boy cott ▁can ▁only ▁have ▁indicated ▁to ▁H it ler ▁that ▁he ▁had ▁been ▁right ▁to ▁keep ▁a ▁fairly ▁low ▁public ▁profile ▁on ▁the ▁' ▁Jew ish ▁Question ▁' .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP NOUN ADP DET NOUN NOUN VERB ADV VERB VERB ADP PROPN PROPN PROPN ADP PRON VERB VERB ADJ PART VERB DET ADV ADJ ADJ NOUN ADP DET PUNCT ADJ ADJ NOUN PUNCT PUNCT
By December the press, heavily scrutinized by Mussolini, kept a very low profile about it.	0 0 0 0 0 0 0 0 1 0 0 1 1 0 0	keep a low profile	figurative	combined-inflection	ADP PROPN DET NOUN ADV VERB ADP PROPN VERB DET ADV ADJ NOUN ADP PRON	▁By ▁December ▁the ▁press , ▁heavily ▁scrutinize d ▁by ▁Muss ol ini , ▁kept ▁a ▁very ▁low ▁profile ▁about ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0	ADP PROPN DET NOUN NOUN ADV VERB VERB ADP PROPN PROPN PROPN PROPN VERB DET ADV ADJ NOUN ADP PRON PRON
Souness, who is thought to have made special plans to be at tonight's European Cup Winners ' Cup match against Limassol, kept a low profile in court.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	keep a low profile	figurative	inflection	ADJ NOUN VERB VERB PART VERB VERB ADJ NOUN PART VERB ADP NOUN PROPN PROPN PROPN PART PROPN NOUN ADP PROPN VERB DET ADJ NOUN ADP NOUN	▁S ou ness , ▁who ▁is ▁thought ▁to ▁have ▁made ▁special ▁plans ▁to ▁be ▁at ▁tonight ' s ▁European ▁C up ▁Win ners ▁' ▁C up ▁match ▁against ▁Li mass ol , ▁kept ▁a ▁low ▁profile ▁in ▁court .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	ADJ ADJ ADJ ADJ NOUN VERB VERB PART VERB VERB ADJ NOUN PART VERB ADP NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PART PROPN PROPN NOUN ADP PROPN PROPN PROPN PROPN VERB DET ADJ NOUN ADP NOUN NOUN
They kept a low profile in Liverpool's Amazon Studio, rehearsing and working on new material.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	PRON VERB DET ADJ NOUN ADP PROPN PROPN PROPN VERB CCONJ VERB ADP ADJ NOUN	▁They ▁kept ▁a ▁low ▁profile ▁in ▁Liverpool ' s ▁Amazon ▁Studi o , ▁re he ars ing ▁and ▁working ▁on ▁new ▁material .	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB VERB VERB CCONJ VERB ADP ADJ NOUN NOUN
No longer the excuse of keeping low profile actions, hoping for a Labour government because if we haven't got the guts to stand up and fight the government that made these laws, then we 've got no right to challenge a future Labour government that inherits 'em.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	combined-inflection	ADV ADV DET NOUN ADP VERB ADJ NOUN NOUN VERB ADP DET PROPN NOUN ADP ADP PRON VERB VERB DET NOUN PART VERB PART CCONJ VERB DET NOUN ADJ VERB DET NOUN ADV PRON VERB VERB INTJ NOUN PART VERB DET ADJ PROPN NOUN ADJ VERB PRON	▁No ▁longer ▁the ▁excuse ▁of ▁keeping ▁low ▁profile ▁actions , ▁hoping ▁for ▁a ▁Labour ▁government ▁because ▁if ▁we ▁have n ' t ▁got ▁the ▁gut s ▁to ▁stand ▁up ▁and ▁fight ▁the ▁government ▁that ▁made ▁these ▁laws , ▁then ▁we ▁' ve ▁got ▁no ▁right ▁to ▁challenge ▁a ▁future ▁Labour ▁government ▁that ▁in her its ▁' em .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET NOUN ADP VERB ADJ NOUN NOUN NOUN VERB ADP DET PROPN NOUN ADP ADP PRON VERB VERB VERB VERB VERB DET NOUN NOUN PART VERB PART CCONJ VERB DET NOUN ADJ VERB DET NOUN NOUN ADV PRON VERB VERB VERB INTJ NOUN PART VERB DET ADJ PROPN NOUN ADJ VERB VERB VERB PRON PRON PRON
There was nothing she could do about it, other than keep a low profile and stay well out of his way.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	keep a low profile	figurative	identical	ADV VERB NOUN PRON VERB VERB ADP PRON ADJ ADP VERB DET ADJ NOUN CCONJ VERB ADV ADP ADP ADJ NOUN	▁There ▁was ▁nothing ▁she ▁could ▁do ▁about ▁it , ▁other ▁than ▁keep ▁a ▁low ▁profile ▁and ▁stay ▁well ▁out ▁of ▁his ▁way .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	ADV VERB NOUN PRON VERB VERB ADP PRON PRON ADJ ADP VERB DET ADJ NOUN CCONJ VERB ADV ADP ADP ADJ NOUN NOUN
I decided to keep a low profile, after all I was a guest.	0 0 0 1 0 1 1 0 0 0 0 0 0	keep a low profile	figurative	identical	PRON VERB PART VERB DET ADJ NOUN ADV DET PRON VERB DET NOUN	▁I ▁decided ▁to ▁keep ▁a ▁low ▁profile , ▁after ▁all ▁I ▁was ▁a ▁guest .	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0	PRON VERB PART VERB DET ADJ NOUN NOUN ADV DET PRON VERB DET NOUN NOUN
I think it would be extremely prudent of you to keep a very low profile indeed for the next few days. '	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0	keep a low profile	figurative	insertion-other	PRON VERB PRON VERB VERB ADV ADJ ADP PRON PART VERB DET ADV ADJ NOUN ADV ADP DET ADJ ADJ NOUN PUNCT	▁I ▁think ▁it ▁would ▁be ▁extremely ▁prudent ▁of ▁you ▁to ▁keep ▁a ▁very ▁low ▁profile ▁indeed ▁for ▁the ▁next ▁few ▁days . ▁'	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0	PRON VERB PRON VERB VERB ADV ADJ ADP PRON PART VERB DET ADV ADJ NOUN ADV ADP DET ADJ ADJ NOUN NOUN PUNCT
So keeping a low profile avoids getting embroiled in political controversy, which is the proper province of the elected Diet.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	ADV VERB DET ADJ NOUN NOUN VERB VERB ADP ADJ NOUN ADJ VERB DET ADJ NOUN ADP DET VERB PROPN	▁So ▁keeping ▁a ▁low ▁profile ▁avoid s ▁gett ing ▁em bro il ed ▁in ▁political ▁controversy , ▁which ▁is ▁the ▁proper ▁province ▁of ▁the ▁elected ▁Diet .	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET ADJ NOUN NOUN NOUN VERB VERB VERB VERB VERB VERB ADP ADJ NOUN NOUN ADJ VERB DET ADJ NOUN ADP DET VERB PROPN PROPN
But sometimes it's better to keep a low profile.	0 0 0 0 0 1 0 1 1	keep a low profile	figurative	identical	CCONJ ADV PRON ADJ PART VERB DET ADJ NOUN	▁But ▁sometimes ▁it ' s ▁better ▁to ▁keep ▁a ▁low ▁profile .	0 0 0 0 0 0 0 1 0 1 1 1	CCONJ ADV PRON PRON PRON ADJ PART VERB DET ADJ NOUN NOUN
He keeps a very low profile.	0 1 0 0 1 1	keep a low profile	figurative	combined-inflection	PRON VERB DET ADV ADJ NOUN	▁He ▁keeps ▁a ▁very ▁low ▁profile .	0 1 0 0 1 1 1	PRON VERB DET ADV ADJ NOUN NOUN
Although people would turn up every day to join, there was now a group of us who seemed likely to progress to Paris : Alex, Chris, myself, Marius the Scandinavian, the balding Swiss man, two Belgians and one of the Spaniards ( who now kept a low profile ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	keep a low profile	figurative	inflection	ADP NOUN VERB VERB PART DET NOUN PART VERB ADV VERB ADV DET NOUN ADP PRON NOUN VERB ADJ PART VERB ADP PROPN PUNCT PROPN PROPN PRON PROPN DET PROPN DET ADJ ADJ NOUN NUM PROPN CCONJ NUM ADP DET PROPN PUNCT NOUN ADV VERB DET ADJ NOUN PUNCT	▁Although ▁people ▁would ▁turn ▁up ▁every ▁day ▁to ▁join , ▁there ▁was ▁now ▁a ▁group ▁of ▁us ▁who ▁seemed ▁likely ▁to ▁progress ▁to ▁Paris ▁ : ▁Alex , ▁Chr is , ▁myself , ▁Mar ius ▁the ▁Scandinavia n , ▁the ▁bal d ing ▁Swiss ▁man , ▁two ▁Belgian s ▁and ▁one ▁of ▁the ▁Spaniard s ▁( ▁who ▁now ▁kept ▁a ▁low ▁profile ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	ADP NOUN VERB VERB PART DET NOUN PART VERB VERB ADV VERB ADV DET NOUN ADP PRON NOUN VERB ADJ PART VERB ADP PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PRON PRON PROPN PROPN DET PROPN PROPN PROPN DET ADJ ADJ ADJ ADJ NOUN NOUN NUM PROPN PROPN CCONJ NUM ADP DET PROPN PROPN PUNCT NOUN ADV VERB DET ADJ NOUN PUNCT PUNCT
‘ They have kept a low profile and they have basically the same squad as won an All Ireland.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	PUNCT PRON VERB VERB DET ADJ NOUN CCONJ PRON VERB ADV DET ADJ NOUN ADP VERB DET PROPN PROPN	▁ ‘ ▁They ▁have ▁kept ▁a ▁low ▁profile ▁and ▁they ▁have ▁basic ally ▁the ▁same ▁squa d ▁as ▁won ▁an ▁All ▁Ireland .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB DET ADJ NOUN CCONJ PRON VERB ADV ADV DET ADJ NOUN NOUN ADP VERB DET PROPN PROPN PROPN
Dexter sat with the superintendent while she dialled the head of the Press Bureau, who told her his phone had not stopped ringing all day : press and television news editors were demanding to know why Scotland Yard was keeping such a low profile on the Nicola Sharpe story.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0	keep a low profile	figurative	combined-inflection	PROPN VERB ADP DET NOUN ADP PRON VERB DET NOUN ADP DET PROPN PROPN NOUN VERB PRON ADJ NOUN VERB ADV VERB VERB DET NOUN PUNCT NOUN CCONJ NOUN NOUN NOUN VERB VERB PART VERB ADV PROPN PROPN VERB VERB ADJ DET ADJ NOUN ADP DET PROPN PROPN NOUN	▁De xter ▁sat ▁with ▁the ▁super in ten dent ▁while ▁she ▁dial led ▁the ▁head ▁of ▁the ▁Press ▁Bureau , ▁who ▁told ▁her ▁his ▁phone ▁had ▁not ▁stopped ▁ring ing ▁all ▁day ▁ : ▁press ▁and ▁television ▁new s ▁editor s ▁were ▁demanding ▁to ▁know ▁why ▁Scotland ▁Yar d ▁was ▁keeping ▁such ▁a ▁low ▁profile ▁on ▁the ▁Nicol a ▁Sharp e ▁story .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0	PROPN PROPN VERB ADP DET NOUN NOUN NOUN NOUN ADP PRON VERB VERB DET NOUN ADP DET PROPN PROPN PROPN NOUN VERB PRON ADJ NOUN VERB ADV VERB VERB VERB DET NOUN PUNCT PUNCT NOUN CCONJ NOUN NOUN NOUN NOUN NOUN VERB VERB PART VERB ADV PROPN PROPN PROPN VERB VERB ADJ DET ADJ NOUN ADP DET PROPN PROPN PROPN PROPN NOUN NOUN
She knew Jonas expected her to be present, but, in the circumstances, she felt it might be best to keep a low profile and retire early.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	keep a low profile	figurative	identical	PRON VERB PROPN VERB PRON PART VERB ADJ CCONJ ADP DET NOUN PRON VERB PRON VERB VERB ADJ PART VERB DET ADJ NOUN CCONJ VERB ADV	▁She ▁knew ▁J onas ▁expected ▁her ▁to ▁be ▁present , ▁but , ▁in ▁the ▁circumstances , ▁she ▁felt ▁it ▁might ▁be ▁best ▁to ▁keep ▁a ▁low ▁profile ▁and ▁retire ▁early .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	PRON VERB PROPN PROPN VERB PRON PART VERB ADJ ADJ CCONJ CCONJ ADP DET NOUN NOUN PRON VERB PRON VERB VERB ADJ PART VERB DET ADJ NOUN CCONJ VERB ADV ADV
She was advised to ‘ keep a low profile’ in future but was never reprimanded for her conduct.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	dashes	PRON VERB VERB ADP PUNCT VERB DET ADJ NOUN ADP NOUN CCONJ VERB ADV VERB ADP ADJ NOUN	▁She ▁was ▁advised ▁to ▁ ‘ ▁keep ▁a ▁low ▁profile ’ ▁in ▁future ▁but ▁was ▁never ▁rep rim and ed ▁for ▁her ▁conduct .	0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP PUNCT PUNCT VERB DET ADJ NOUN NOUN ADP NOUN CCONJ VERB ADV VERB VERB VERB VERB ADP ADJ NOUN NOUN
Tonight Jamie Robertson, the man at the centre of the row, is keeping a low profile.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a low profile	figurative	inflection	NOUN PROPN PROPN DET NOUN ADP DET NOUN ADP DET NOUN VERB VERB DET ADJ NOUN	▁To night ▁J ami e ▁Robert son , ▁the ▁man ▁at ▁the ▁centre ▁of ▁the ▁row , ▁is ▁keeping ▁a ▁low ▁profile .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN ADP DET NOUN ADP DET NOUN NOUN VERB VERB DET ADJ NOUN NOUN
They keep a low profile here, but this person and her colleagues have been chosen to perform some of the most important jobs on the station, though they 're never seen.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	identical	PRON VERB DET ADJ NOUN ADV CCONJ DET NOUN CCONJ ADJ NOUN VERB VERB VERB PART VERB DET ADP DET ADV ADJ NOUN ADP DET NOUN ADP PRON VERB ADV VERB	▁They ▁keep ▁a ▁low ▁profile ▁here , ▁but ▁this ▁person ▁and ▁her ▁colleagues ▁have ▁been ▁chosen ▁to ▁perform ▁some ▁of ▁the ▁most ▁important ▁jobs ▁on ▁the ▁station , ▁though ▁they ▁' re ▁never ▁seen .	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ NOUN ADV ADV CCONJ DET NOUN CCONJ ADJ NOUN VERB VERB VERB PART VERB DET ADP DET ADV ADJ NOUN ADP DET NOUN NOUN ADP PRON VERB VERB ADV VERB VERB
so it's keep a high profile on the, on useful things and keep a low profile on the, on the others	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	keep a low profile	figurative	identical	ADP PRON VERB DET ADJ NOUN ADP DET ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP DET ADP DET NOUN	▁so ▁it ' s ▁keep ▁a ▁high ▁profile ▁on ▁the , ▁on ▁useful ▁things ▁and ▁keep ▁a ▁low ▁profile ▁on ▁the , ▁on ▁the ▁others	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	ADP PRON PRON PRON VERB DET ADJ NOUN ADP DET DET ADP ADJ NOUN CCONJ VERB DET ADJ NOUN ADP DET DET ADP DET NOUN
Dealers kept a low profile : 80 % of the sales went to private bidders.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	NOUN VERB DET ADJ NOUN PUNCT NUM NOUN ADP DET NOUN VERB ADP ADJ NOUN	▁Deal ers ▁kept ▁a ▁low ▁profile ▁ : ▁80 ▁% ▁of ▁the ▁sales ▁went ▁to ▁private ▁bidders .	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB DET ADJ NOUN PUNCT PUNCT NUM NOUN ADP DET NOUN VERB ADP ADJ NOUN NOUN
