Time will tell.	1 1 1	time will tell	figurative	case	PROPN VERB VERB	▁Time ▁will ▁tell .	1 1 1 1	PROPN VERB VERB VERB
Whether the bloom shape is the ultimate, only time will tell, for there have been other occasions in the development of the rose when a new type has been regarded as the last word.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADP DET NOUN NOUN VERB DET ADJ ADJ NOUN VERB VERB ADP ADV VERB VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADV DET ADJ NOUN VERB VERB VERB ADP DET ADJ NOUN	▁W hether ▁the ▁b loom ▁shape ▁is ▁the ▁ultimate , ▁only ▁time ▁will ▁tell , ▁for ▁there ▁have ▁been ▁other ▁occasions ▁in ▁the ▁development ▁of ▁the ▁rose ▁when ▁a ▁new ▁type ▁has ▁been ▁regarded ▁as ▁the ▁last ▁word .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP DET NOUN NOUN NOUN VERB DET ADJ ADJ ADJ NOUN VERB VERB VERB ADP ADV VERB VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADV DET ADJ NOUN VERB VERB VERB ADP DET ADJ NOUN NOUN
What the repercussions will be in South Africa — where the ageing president, Danie Craven, has threatened to support rebel tours — only time will tell.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	time will tell	figurative	identical	NOUN DET NOUN VERB VERB ADP PROPN PROPN PUNCT ADV DET VERB NOUN PROPN PROPN VERB VERB PART VERB ADJ NOUN PUNCT ADJ NOUN VERB VERB	▁What ▁the ▁repercussions ▁will ▁be ▁in ▁South ▁Africa ▁ — ▁where ▁the ▁ageing ▁president , ▁Da nie ▁C ra ven , ▁has ▁threatened ▁to ▁support ▁rebel ▁to urs ▁ — ▁only ▁time ▁will ▁tell .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN DET NOUN VERB VERB ADP PROPN PROPN PUNCT PUNCT ADV DET VERB NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB PART VERB ADJ NOUN NOUN PUNCT PUNCT ADJ NOUN VERB VERB VERB
Only time will tell whether his revelations will include Why The Lamborghini Had To Go.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP ADJ NOUN VERB VERB ADV DET PROPN VERB PART VERB	▁Only ▁time ▁will ▁tell ▁whether ▁his ▁re vel ations ▁will ▁include ▁Why ▁The ▁Lamb or gh ini ▁Had ▁To ▁Go .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP ADJ NOUN NOUN NOUN VERB VERB ADV DET PROPN PROPN PROPN PROPN VERB PART VERB VERB
Only time will tell, but it's looking good — watch this space for further details!	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB CCONJ PRON VERB ADJ PUNCT VERB DET NOUN ADP ADJ NOUN	▁Only ▁time ▁will ▁tell , ▁but ▁it ' s ▁looking ▁good ▁ — ▁watch ▁this ▁space ▁for ▁further ▁details !	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB VERB CCONJ PRON PRON PRON VERB ADJ PUNCT PUNCT VERB DET NOUN ADP ADJ NOUN NOUN
In Charles Barker they are one of a range of public relations and advertising businesses and time will tell if this is a truly successful strategy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	time will tell	figurative	identical	ADP PROPN PROPN PRON VERB NUM ADP DET NOUN ADP ADJ NOUN CCONJ NOUN NOUN CCONJ NOUN VERB VERB ADP DET VERB DET ADV ADJ NOUN	▁In ▁Charles ▁Bar ker ▁they ▁are ▁one ▁of ▁a ▁range ▁of ▁public ▁relations ▁and ▁advertising ▁businesses ▁and ▁time ▁will ▁tell ▁if ▁this ▁is ▁a ▁truly ▁successful ▁strategy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADP PROPN PROPN PROPN PRON VERB NUM ADP DET NOUN ADP ADJ NOUN CCONJ NOUN NOUN CCONJ NOUN VERB VERB ADP DET VERB DET ADV ADJ NOUN NOUN
' Time will tell, sir ', a colleague remarks, and Hawksmoor replies : ' Time will not tell.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PUNCT NOUN VERB VERB PROPN PUNCT DET NOUN VERB CCONJ PROPN NOUN PUNCT PUNCT NOUN VERB ADV VERB	▁' ▁Time ▁will ▁tell , ▁sir ▁' , ▁a ▁colleague ▁remarks , ▁and ▁H aw ks mo or ▁replies ▁ : ▁' ▁Time ▁will ▁not ▁tell .	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT NOUN VERB VERB VERB PROPN PUNCT PUNCT DET NOUN VERB VERB CCONJ PROPN PROPN PROPN PROPN PROPN NOUN PUNCT PUNCT PUNCT NOUN VERB ADV VERB VERB
Mains and his men have chased after the mobile forwards and only time will tell whether this philosophy of fast - footed men will work in the rough and tumble of test rugby.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	NOUN CCONJ ADJ NOUN VERB VERB ADP DET NOUN NOUN CCONJ ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ PUNCT ADJ NOUN VERB VERB ADP DET ADJ CCONJ NOUN ADP NOUN NOUN	▁Main s ▁and ▁his ▁men ▁have ▁chase d ▁after ▁the ▁mobile ▁forward s ▁and ▁only ▁time ▁will ▁tell ▁whether ▁this ▁philosophy ▁of ▁fast ▁- ▁foot ed ▁men ▁will ▁work ▁in ▁the ▁rough ▁and ▁tumble ▁of ▁test ▁ rug by .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN CCONJ ADJ NOUN VERB VERB VERB ADP DET NOUN NOUN NOUN CCONJ ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ PUNCT ADJ ADJ NOUN VERB VERB ADP DET ADJ CCONJ NOUN ADP NOUN NOUN NOUN NOUN NOUN
Time and further work will tell.	1 0 0 0 1 1	time will tell	figurative	combined-other	NOUN CCONJ ADJ NOUN VERB VERB	▁Time ▁and ▁further ▁work ▁will ▁tell .	1 0 0 0 1 1 1	NOUN CCONJ ADJ NOUN VERB VERB VERB
Time will tell whether this check in the decline will change into significant growth.	1 1 1 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP ADJ NOUN	▁Time ▁will ▁tell ▁whether ▁this ▁check ▁in ▁the ▁decline ▁will ▁change ▁into ▁significant ▁growth .	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP ADJ NOUN NOUN
I find this very difficult to erm, to relate, to relate hard work to the women portraying in, in this, we 've got the postcard of that one, erm it must of been hard work and very tedious, but I think every now and then the moment breaks away and shines through at the back, and I think people like, like Gaugin erm captures those moments and then releases them on the canvass, and I hope that erm by, I hope I 've been able to show you how I use art as a voice erm and a friend as my own work, even though we 've maybe had to do such a sort of hand fist way, hand fisted way, erm, but, I, I 've recently started to re - visit old favourite of paintings and I found that the story they tell sometimes has changed dramatically, maybe sometimes when your very little that, that, you know, sometimes dramatically as well, erm, but I, mostly, most importantly its, its still, I still find them, all of them compelling and challenging and, and something to stride for in my own work, erm, er only time will tell so I 'll finish with the, the last poem which is erm comes from the postcard what's going round which is harvest, its called Patterns In The Grass, Wheat cut and falls, making lion head patterns in the grass, sickle shaped women bend and bow as a naive dressed as a dog steals the evening meal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	PRON VERB DET ADV ADJ ADP NOUN PART VERB PART VERB ADJ NOUN ADP DET NOUN VERB PART ADP DET PRON VERB VERB DET NOUN ADP DET NUM NOUN PRON VERB ADP VERB ADJ NOUN CCONJ ADV ADJ CCONJ PRON VERB DET ADV CCONJ ADV DET NOUN VERB ADV CCONJ VERB PART ADP DET NOUN CCONJ PRON VERB NOUN ADP ADP PROPN NOUN VERB DET NOUN CCONJ ADV VERB PRON ADP DET NOUN CCONJ PRON VERB ADP NOUN ADV PRON VERB PRON VERB VERB ADJ PART VERB PRON ADV PRON VERB NOUN ADP DET NOUN NOUN CCONJ DET NOUN ADP ADJ ADJ NOUN ADV ADP PRON VERB ADV VERB PART VERB ADJ DET NOUN ADP NOUN NOUN NOUN NOUN VERB NOUN NOUN CCONJ PRON PRON VERB ADV VERB PART VERB PUNCT VERB ADJ NOUN ADP NOUN CCONJ PRON VERB ADP DET NOUN PRON VERB ADV VERB VERB ADV ADV ADV ADV ADJ ADV ADJ ADP ADP PRON VERB ADV ADV ADV ADV INTJ CCONJ PRON ADV ADV ADV ADJ ADJ ADV PRON ADV VERB PRON DET ADP PRON ADJ CCONJ ADJ CCONJ CCONJ NOUN PART VERB ADP ADP ADJ ADJ NOUN INTJ INTJ ADJ NOUN VERB VERB ADV PRON VERB VERB ADP DET DET ADJ NOUN ADJ VERB NOUN VERB ADP DET NOUN NOUN VERB ADV ADJ VERB NOUN ADJ VERB PROPN ADP DET PROPN PROPN NOUN CCONJ VERB VERB NOUN NOUN NOUN ADP DET NOUN NOUN ADJ NOUN VERB CCONJ VERB ADP DET ADJ VERB ADP DET NOUN VERB DET NOUN NOUN	▁I ▁find ▁this ▁very ▁difficult ▁to ▁er m , ▁to ▁relate , ▁to ▁relate ▁hard ▁work ▁to ▁the ▁women ▁portray ing ▁in , ▁in ▁this , ▁we ▁' ve ▁got ▁the ▁post card ▁of ▁that ▁one , ▁er m ▁it ▁must ▁of ▁been ▁hard ▁work ▁and ▁very ▁ ted ious , ▁but ▁I ▁think ▁every ▁now ▁and ▁then ▁the ▁moment ▁breaks ▁away ▁and ▁sh ines ▁through ▁at ▁the ▁back , ▁and ▁I ▁think ▁people ▁like , ▁like ▁Ga ug in ▁er m ▁capture s ▁those ▁moment s ▁and ▁then ▁releases ▁them ▁on ▁the ▁canvas s , ▁and ▁I ▁hope ▁that ▁er m ▁by , ▁I ▁hope ▁I ▁' ve ▁been ▁able ▁to ▁show ▁you ▁how ▁I ▁use ▁art ▁as ▁a ▁voice ▁er m ▁and ▁a ▁friend ▁as ▁my ▁own ▁work , ▁even ▁though ▁we ▁' ve ▁maybe ▁had ▁to ▁do ▁such ▁a ▁sort ▁of ▁hand ▁f ist ▁way , ▁hand ▁f ist ed ▁way , ▁er m , ▁but , ▁I , ▁I ▁' ve ▁recently ▁started ▁to ▁re ▁- ▁visit ▁old ▁favour ite ▁of ▁painting s ▁and ▁I ▁found ▁that ▁the ▁story ▁they ▁tell ▁sometimes ▁has ▁changed ▁dramatically , ▁maybe ▁sometimes ▁when ▁your ▁very ▁little ▁that , ▁that , ▁you ▁know , ▁sometimes ▁dramatically ▁as ▁well , ▁er m , ▁but ▁I , ▁most ly , ▁most ▁importantly ▁its , ▁its ▁still , ▁I ▁still ▁find ▁them , ▁all ▁of ▁them ▁compell ing ▁and ▁challenging ▁and , ▁and ▁something ▁to ▁str ide ▁for ▁in ▁my ▁own ▁work , ▁er m , ▁er ▁only ▁time ▁will ▁tell ▁so ▁I ▁' ll ▁finish ▁with ▁the , ▁the ▁last ▁po em ▁which ▁is ▁er m ▁comes ▁from ▁the ▁post card ▁what ' s ▁going ▁round ▁which ▁is ▁harvest , ▁its ▁called ▁Patt ern s ▁In ▁The ▁Gra s s , ▁Wheat ▁cut ▁and ▁falls , ▁making ▁lion ▁head ▁patterns ▁in ▁the ▁grass , ▁sickle ▁shaped ▁women ▁be nd ▁and ▁bow ▁as ▁a ▁na ive ▁dressed ▁as ▁a ▁dog ▁ste al s ▁the ▁evening ▁meal .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADV ADJ ADP NOUN NOUN NOUN PART VERB VERB PART VERB ADJ NOUN ADP DET NOUN VERB VERB PART PART ADP DET DET PRON VERB VERB VERB DET NOUN NOUN ADP DET NUM NUM NOUN NOUN PRON VERB ADP VERB ADJ NOUN CCONJ ADV ADJ ADJ ADJ ADJ CCONJ PRON VERB DET ADV CCONJ ADV DET NOUN VERB ADV CCONJ VERB VERB PART ADP DET NOUN NOUN CCONJ PRON VERB NOUN ADP ADP ADP PROPN PROPN PROPN NOUN NOUN VERB VERB DET NOUN NOUN CCONJ ADV VERB PRON ADP DET NOUN NOUN NOUN CCONJ PRON VERB ADP NOUN NOUN ADV ADV PRON VERB PRON VERB VERB VERB ADJ PART VERB PRON ADV PRON VERB NOUN ADP DET NOUN NOUN NOUN CCONJ DET NOUN ADP ADJ ADJ NOUN NOUN ADV ADP PRON VERB VERB ADV VERB PART VERB ADJ DET NOUN ADP NOUN NOUN NOUN NOUN NOUN NOUN VERB VERB VERB NOUN NOUN NOUN NOUN NOUN CCONJ CCONJ PRON PRON PRON VERB VERB ADV VERB PART VERB PUNCT VERB ADJ NOUN NOUN ADP NOUN NOUN CCONJ PRON VERB ADP DET NOUN PRON VERB ADV VERB VERB ADV ADV ADV ADV ADV ADJ ADV ADJ ADP ADP ADP ADP PRON VERB VERB ADV ADV ADV ADV ADV INTJ INTJ INTJ CCONJ PRON PRON ADV ADV ADV ADV ADV ADJ ADJ ADJ ADV ADV PRON ADV VERB PRON PRON DET ADP PRON ADJ ADJ CCONJ ADJ CCONJ CCONJ CCONJ NOUN PART VERB VERB ADP ADP ADJ ADJ NOUN NOUN INTJ INTJ INTJ INTJ ADJ NOUN VERB VERB ADV PRON VERB VERB VERB ADP DET DET DET ADJ NOUN NOUN ADJ VERB NOUN NOUN VERB ADP DET NOUN NOUN NOUN NOUN NOUN VERB ADV ADJ VERB NOUN NOUN ADJ VERB PROPN PROPN PROPN ADP DET PROPN PROPN PROPN PROPN PROPN NOUN CCONJ VERB VERB VERB NOUN NOUN NOUN ADP DET NOUN NOUN NOUN ADJ NOUN VERB VERB CCONJ VERB ADP DET ADJ ADJ VERB ADP DET NOUN VERB VERB VERB DET NOUN NOUN NOUN
Only time will tell if it is going to be alright.	0 1 1 1 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP PRON VERB VERB PART VERB ADJ	▁Only ▁time ▁will ▁tell ▁if ▁it ▁is ▁going ▁to ▁be ▁al right .	0 1 1 1 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP PRON VERB VERB PART VERB ADJ ADJ ADJ
Only time will tell if homoeopathic treatment has been successful.	0 1 1 1 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP ADJ NOUN VERB VERB ADJ	▁Only ▁time ▁will ▁tell ▁if ▁homo e opathi c ▁treatment ▁has ▁been ▁successful .	0 1 1 1 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP ADJ ADJ ADJ ADJ NOUN VERB VERB ADJ ADJ
Time will tell.	1 1 1	time will tell	figurative	case	PROPN VERB VERB	▁Time ▁will ▁tell .	1 1 1 1	PROPN VERB VERB VERB
Time will tell. '	1 1 1 0	time will tell	figurative	case	PROPN VERB VERB PUNCT	▁Time ▁will ▁tell . ▁'	1 1 1 1 0	PROPN VERB VERB VERB PUNCT
Time will tell, and I put my trust in time, absolutely.	1 1 1 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB CCONJ PRON VERB ADJ NOUN ADP NOUN ADV	▁Time ▁will ▁tell , ▁and ▁I ▁put ▁my ▁trust ▁in ▁time , ▁absolutely .	1 1 1 1 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB VERB CCONJ PRON VERB ADJ NOUN ADP NOUN NOUN ADV ADV
