She picked up a piece of pottery and turned it over.	0 1 1 0 1 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PRON VERB PART DET NOUN ADP NOUN CCONJ VERB PRON PART
Maybe JTR helped pick up the pieces or did he watch the poor man's agony from afar?	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	ADV PROPN VERB VERB PART DET NOUN CCONJ VERB PRON VERB DET ADJ NOUN NOUN ADP ADV
It was Mellor, as junior Home Office Minister, who was left by Mrs Thatcher to pick up the pieces when the last government went badly over the top in its determination to reshape television by deregulation, irrespective of quality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	PRON VERB PROPN ADP ADJ PROPN PROPN PROPN NOUN VERB VERB ADP PROPN PROPN PART VERB PART DET NOUN ADV DET ADJ NOUN VERB ADV ADP DET NOUN ADP ADJ NOUN PART VERB NOUN ADP NOUN ADV ADP NOUN
GPs also complain, quite rightly, that hospital staff making, for example, discharge plans for a group of patients to a new home or hostel sometimes neglect to discuss the plans with the primary care team — normally the local general practice together with its team of doctors, nurses and other specialists — yet expect the GPs to pick up the pieces when something goes wrong.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	pick up the pieces	figurative	identical	NOUN ADV VERB ADV ADV DET NOUN NOUN NOUN ADP NOUN NOUN NOUN ADP DET NOUN ADP NOUN ADP DET ADJ NOUN CCONJ NOUN ADV VERB PART VERB DET NOUN ADP DET ADJ NOUN NOUN PUNCT ADV DET ADJ ADJ NOUN ADV ADP ADJ NOUN ADP NOUN NOUN CCONJ ADJ NOUN PUNCT CCONJ VERB DET NOUN PART VERB PART DET NOUN ADV NOUN VERB ADJ
Fernando Trueba's flamboyant Euro - thriller stars Jeff Goldblum as Dan Gillis, a latter - day American in Paris attempting to pick up the pieces of a failed marriage, approached with an offer to write a screenplay for charismatic first - time director Malcolm ( Dexter Fletcher ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	PROPN PROPN ADJ PROPN PUNCT NOUN NOUN PROPN PROPN ADP PROPN PROPN DET ADJ PUNCT NOUN PROPN ADP PROPN VERB PART VERB PART DET NOUN ADP DET VERB NOUN VERB ADP DET NOUN PART VERB DET NOUN ADP ADJ ADJ PUNCT NOUN NOUN PROPN PUNCT PROPN PROPN PUNCT
He is keen to pick up the pieces again.	0 0 0 0 1 1 0 1 0	pick up the pieces	figurative	identical	PRON VERB ADJ PART VERB PART DET NOUN ADV
Legislation had been passed, at the height of the bubble, to stop the creation of new joint - stock companies, which ruled out one of the ways in which the British had organized their expansion overseas, Walpole, the Prime Minister who picked up the pieces after the collapse, was first of all concerned to make sure that the King and his government did not run into any more trouble, which meant a programme of no new taxes, no wars, no new assertion of authority, and much less expansion than either before or after.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	inflection	NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN PART VERB DET NOUN ADP ADJ ADJ PUNCT NOUN NOUN ADJ VERB PART NUM ADP DET NOUN ADP ADJ DET PROPN VERB VERB ADJ NOUN ADV PROPN DET PROPN PROPN NOUN VERB PART DET NOUN ADP DET NOUN VERB ADV ADP DET ADJ PART VERB ADJ ADP DET PROPN CCONJ ADJ NOUN VERB ADV VERB ADP DET ADJ NOUN ADJ VERB DET NOUN ADP DET ADJ NOUN DET NOUN DET ADJ NOUN ADP NOUN CCONJ ADV ADJ NOUN ADP CCONJ ADP CCONJ ADP
Where did you pick up that piece of salacious gossip? '	0 0 0 1 1 0 1 0 0 0 0	pick up the pieces	figurative	combined-inflection	ADV VERB PRON VERB PART DET NOUN ADP ADJ NOUN PUNCT
Then, abruptly, without a word, he turned away, picked up a piece of copy, and began to correct it with short, violent strokes and swirls of his pen.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	ADV ADV ADP DET NOUN PRON VERB ADV VERB PART DET NOUN ADP NOUN CCONJ VERB PART VERB PRON ADP ADJ ADJ NOUN CCONJ NOUN ADP ADJ NOUN
Erm and it does make it very difficult then for Trading Standards then to pick up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	identical	NOUN CCONJ PRON VERB VERB PRON ADV ADJ ADV ADP PROPN PROPN ADV PART VERB PART DET NOUN
At the age of 67, he probably felt it was too late to try to pick up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	identical	ADP DET NOUN ADP NUM PRON ADV VERB PRON VERB ADV ADJ PART VERB PART VERB PART DET NOUN
It will take a fair amount of skill and cajoling to pick up the pieces.’	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	dashes	PRON VERB VERB DET ADJ NOUN ADP NOUN CCONJ NOUN PART VERB PART DET NOUN
Now, at this very moment, he is trying to pick up the pieces of his life after you have shattered it so cruelly —’	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	ADV ADP DET ADJ NOUN PRON VERB VERB PART VERB PART DET NOUN ADP ADJ NOUN ADP PRON VERB VERB PRON ADV ADV ADJ
Outlining the proposals, which will be put in writing to the Bank of England task force set up in to pick up the pieces after Taurus, Mr Pearson said the key point was that any new system should focus solely on the professional market — leaving the private shareholder with paper certificates and the existing fortnightly settlement system.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	VERB DET NOUN ADJ VERB VERB VERB ADP NOUN ADP DET PROPN ADP PROPN NOUN NOUN VERB PART ADV PART VERB PART DET NOUN ADP PROPN PROPN PROPN VERB DET ADJ NOUN VERB ADP DET ADJ NOUN VERB VERB ADV ADP DET ADJ NOUN PUNCT VERB DET ADJ NOUN ADP NOUN NOUN CCONJ DET VERB ADV NOUN NOUN
' He's just walked in here and picked up any old piece of wood and starting potting balls.	0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PUNCT PRON ADV VERB ADV ADV CCONJ VERB PART DET ADJ NOUN ADP NOUN CCONJ NOUN NOUN NOUN
Athelstan picked up the yellowing piece of parchment and thrust it at them.	0 1 1 0 0 1 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PROPN VERB PART DET VERB NOUN ADP NOUN CCONJ VERB PRON ADP PRON
No, imbécile, pick them up piece by piece.	0 0 1 0 1 1 0 0	pick up the pieces	literal	combined-inflection	INTJ NOUN VERB PRON PART NOUN ADP NOUN
It would be nice to think their affair had meant something to him, and after Seville he was picking up the pieces of his life and had found happiness with another woman.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	inflection	PRON VERB VERB ADJ PART VERB ADJ NOUN VERB VERB NOUN ADP PRON CCONJ ADP PROPN PRON VERB VERB PART DET NOUN ADP ADJ NOUN CCONJ VERB VERB NOUN ADP DET NOUN
My life fell apart, but he had no trouble picking up the pieces and forged ahead with a new woman.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	pick up the pieces	figurative	inflection	ADJ NOUN VERB ADV CCONJ PRON VERB DET NOUN VERB PART DET NOUN CCONJ VERB ADV ADP DET ADJ NOUN
Lee got up and picked up a piece of cross - stitch tapestry from the top of an old record - player and sat down in the rocking - chair, her back to the two young people.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PROPN VERB PART CCONJ VERB PART DET NOUN ADP NOUN PUNCT NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT NOUN CCONJ VERB PART ADP DET VERB PUNCT NOUN ADJ ADV ADP DET NUM ADJ NOUN
He picked up the piece of ornamental driftwood from the mantelpiece and tried to stand it upside down, while he considered this, and his wife's sobs slowly diminished.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	inflection	PRON VERB PART DET NOUN ADP ADJ NOUN ADP DET NOUN CCONJ VERB PART VERB PRON ADV ADV ADP PRON VERB DET CCONJ ADJ NOUN NOUN ADV VERB
Milton Keynes is picking up the pieces and pleased that at least no one lost a life.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	inflection	PROPN PROPN VERB VERB PART DET NOUN CCONJ VERB ADP ADP ADJ DET NOUN VERB DET NOUN
No, but I 'm not, I 'm not in business to run around picking up pieces of wood	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	pick up the pieces	literal	combined-inflection	INTJ CCONJ PRON VERB ADV PRON VERB ADV ADP NOUN PART VERB ADP VERB PART NOUN ADP NOUN
' Pick up a piece of chicken and all the flavours of that dish are on that piece of chicken.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PUNCT VERB PART DET NOUN ADP NOUN CCONJ ADJ DET NOUN ADP DET NOUN VERB ADP DET NOUN ADP NOUN
And the look in her eye says Jill Morrell and John McCarthy have managed to pick up the pieces of their love	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	pick up the pieces	figurative	identical	CCONJ DET NOUN ADP ADJ NOUN VERB PROPN PROPN CCONJ PROPN PROPN VERB VERB PART VERB PART DET NOUN ADP ADJ NOUN
On his way up the paved path between walls of rose bushes he picked up a piece of old iron pipe with his gloved hand.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	ADP ADJ NOUN ADP DET ADJ NOUN ADP NOUN ADP VERB NOUN PRON VERB PART DET NOUN ADP ADJ NOUN NOUN ADP ADJ ADJ NOUN
Niall might be free as far as the law was concerned, but he had been the injured party, the one left to pick up the pieces when the woman he must have loved walked out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	PROPN VERB VERB ADJ ADV ADV ADP DET NOUN VERB VERB CCONJ PRON VERB VERB DET ADJ NOUN DET NOUN VERB PART VERB PART DET NOUN ADV DET NOUN PRON VERB VERB VERB VERB PART
So you pick up the pieces and start turning up a little here and a little— but you get the idea.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	ADV PRON VERB PART DET NOUN CCONJ VERB VERB PART DET ADJ ADV CCONJ DET NOUN CCONJ PRON VERB DET NOUN
Picking up the pieces of your life for you.	1 1 0 1 0 0 0 0 0	pick up the pieces	figurative	combined-inflection	VERB PART DET NOUN ADP ADJ NOUN ADP PRON
Athelstan accused, picking up the piece of yellow parchment.	0 0 1 1 0 1 0 0 0	pick up the pieces	literal	inflection	PROPN VERB VERB PART DET NOUN ADP ADJ NOUN
You may need to use tweezers to pick up the pieces and position them on your egg.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	pick up the pieces	figurative	identical	PRON VERB VERB PART VERB NOUN PART VERB PART DET NOUN CCONJ VERB PRON ADP ADJ NOUN
By the time I got to the end of the course, I was still picking up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	inflection	ADP DET NOUN PRON VERB ADP DET NOUN ADP DET NOUN PRON VERB ADV VERB PART DET NOUN
‘ I 've spent the last four years trying to pick up the pieces!’	0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	dashes	PUNCT PRON VERB VERB DET ADJ NUM NOUN VERB PART VERB PART DET NOUN
After dinner we would gossip, play cards or perhaps walk along the Dee, idly picking up a piece of driftwood here and there along the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	ADP NOUN PRON VERB VERB VERB NOUN CCONJ ADV VERB ADP DET PROPN ADV VERB PART DET NOUN ADP NOUN ADV CCONJ ADV ADP DET NOUN
But unfortunately er it seems to fall on many deaf ears and we the Society as other many charities who deal with animals are left to pick up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	identical	CCONJ ADV INTJ PRON VERB PART VERB ADP ADJ ADJ NOUN CCONJ PRON DET PROPN ADP ADJ ADJ NOUN NOUN VERB ADP NOUN VERB VERB PART VERB PART DET NOUN
Hong Kong Special Report : After the traumas, the colony picks up the pieces	0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	inflection	PROPN PROPN PROPN PROPN PUNCT ADP DET NOUN DET NOUN VERB PART DET NOUN
It is we, after all, who have to pick up the pieces and begin again the struggle to live our lives with dignity, and in freedom from arbitrary and authoritarian policing.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	PRON VERB PRON ADV ADV NOUN VERB PART VERB PART DET NOUN CCONJ VERB ADV DET NOUN PART VERB ADJ NOUN ADP NOUN CCONJ ADP NOUN ADP ADJ CCONJ ADJ NOUN
SUFFERING from hangovers after their intoxicating victory on Saturday night, Hungarian reformers and their temporary allies were split last night on the question of where the new Socialist Party should pick up the pieces, as a marginal hardline faction announced the foundation of the Hungarian Communist Party.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	VERB ADP NOUN ADP ADJ VERB NOUN ADP PROPN NOUN ADJ NOUN CCONJ ADJ ADJ NOUN VERB VERB ADJ NOUN ADP DET NOUN ADP ADV DET ADJ PROPN PROPN VERB VERB PART DET NOUN ADP DET ADJ NOUN NOUN VERB DET NOUN ADP DET PROPN PROPN PROPN
You may be worrying about such people because you are left to pick up the pieces afterwards.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	pick up the pieces	figurative	identical	PRON VERB VERB VERB ADP ADJ NOUN ADP PRON VERB VERB PART VERB PART DET NOUN ADV
