warts and all!	1 1 1	warts and all	figurative	identical	NOUN CCONJ DET
Unconditional strokes come with no strings attached and are given simply because a person is OK with you, warts and all!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	warts and all	figurative	identical	ADJ NOUN VERB ADP DET NOUN VERB CCONJ VERB VERB ADV ADP DET NOUN VERB ADJ ADP PRON NOUN CCONJ DET
But the ' Pacific ' which has led to such thinking is a very different place from that dreamed up by soldiers or geologists, and once again is some way removed from the real, warts - and - all Pacific to which later chapters will be devoted.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	warts and all	figurative	dashes	CCONJ DET PUNCT PROPN PUNCT ADJ VERB VERB ADP ADJ NOUN VERB DET ADV ADJ NOUN ADP DET VERB PART ADP NOUN CCONJ NOUN CCONJ ADV ADV VERB DET NOUN VERB ADP DET ADJ NOUN PUNCT CCONJ PUNCT DET PROPN PART ADJ ADJ NOUN VERB VERB VERB
This is warts and all film making which, though done to good effect, is hardly uplifting.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	warts and all	figurative	identical	DET VERB NOUN CCONJ DET NOUN VERB ADJ ADP VERB ADP ADJ NOUN VERB ADV ADJ
Let people know who you are, warts and all.	0 0 0 0 0 0 1 1 1	warts and all	figurative	identical	VERB NOUN VERB NOUN PRON VERB NOUN CCONJ DET
Mine,’ she cried, ‘ is a warts and all story.	0 0 0 0 0 0 1 1 1 0	warts and all	figurative	identical	PROPN PRON VERB PUNCT VERB DET NOUN CCONJ DET NOUN
But to live through this symphony, to feel what compelled Shostakovich to compose it, you have to have Kondrashin — warts and all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	warts and all	figurative	identical	CCONJ PART VERB ADP DET NOUN PART VERB NOUN VERB PROPN PART VERB PRON PRON VERB PART VERB PROPN PUNCT NOUN CCONJ DET
Written by Peter Corrigan, with first - person inserts from JDavies, this handsome book is about as close as one can get to a warts - and - all picture of an ambitious international player.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	warts and all	figurative	dashes	VERB ADP PROPN PROPN ADP ADJ PUNCT NOUN NOUN ADP PROPN DET ADJ NOUN VERB ADV ADV ADJ ADP PRON VERB VERB ADP DET NOUN PUNCT CCONJ PUNCT DET NOUN ADP DET ADJ ADJ NOUN
No vanity here : the result is a warts - and - all publication intended as salutary reading during management training.	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	warts and all	figurative	dashes	DET NOUN ADV PUNCT DET NOUN VERB DET NOUN PUNCT CCONJ PUNCT DET NOUN VERB ADP ADJ NOUN ADP NOUN NOUN
‘ Our philosophy is an absolute open door policy where people can look at everything, warts and all.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	warts and all	figurative	dashes	PUNCT ADJ NOUN VERB DET ADJ ADJ NOUN NOUN ADV NOUN VERB VERB ADP NOUN NOUN CCONJ NOUN
The following extract from my field notes — warts and all — recording a day's work described by the field officer concerned as ‘ typical’ of his district may help convey a picture of a pollution control officer's job in an urban industrialized area ( rural officers are usually under less pressure of work ).	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	warts and all	figurative	identical	DET VERB NOUN ADP ADJ NOUN NOUN PUNCT NOUN CCONJ DET PUNCT VERB DET NOUN NOUN VERB ADP DET NOUN NOUN VERB ADP NUM NOUN ADP ADJ NOUN VERB VERB VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN ADP DET ADJ VERB NOUN PUNCT ADJ NOUN VERB ADV ADP ADJ NOUN ADP NOUN PUNCT
Warts and all.	1 1 1	warts and all	figurative	case	NOUN CCONJ DET
